http://movie.douban.com/subject/2153527/	新白娘子传奇 新白娘子傳奇
(4星)	 其实我是喜欢小青的……            
(5星)	 我看了4遍，太经典了，音乐，画面，表演，都融入了大量的中国传统元素。中国人家的情节在这个剧中很完美的体现出来了。芝姐是这部剧的灵魂！            
(5星)	 现在还看呢你说~~            
(5星)	 那永远清晰的童年            
(4星)	 一部白娘子,一部射雕,小时候的最爱,这个给4星,后半段看不下去,碧莲神马的实在...            
(5星)	 真心不喜欢媚娘啊！还有许仙被钩心的那段太惹怕了啊！            
(5星)	 我的童年有你            
(NA)	 这个，哈~            
(NA)	 我的最爱            
(5星)	 当时恨死法海了            
(5星)	 现在还是很喜欢呢            
(NA)	 童年的记忆。            
(NA)	 哥和梦梦的对唱太绝人了            
(4星)	 有人没看过这个吗？            
(5星)	 小时候觉得赵雅芝是最美的人了。。。            
(NA)	 这歌是我小时候的代表作，必唱啊！            
(5星)	 白衣飘飘            
(5星)	 千年等一回~~~~            
(4星)	 一种回忆            
(5星)	 從小看到大。            
(5星)	 经典            
(5星)	 我自豪我是80年代生人            
(4星)	 小时候跟着姥爷一起，吃着盐水煮花生，看着白娘子被法海收走，唉……那个恨。            
(5星)	 又把部电视剧重新看了一遍，经典之作就是经典之作，看多少都不会觉得腻            
(3星)	 每次看到许仙都想吐，感觉他像是在和白娘子搞GL。喜欢小青，还有和小青CP的那个男的，只可惜他们的爱情是悲剧            
(5星)	 这个必须力荐，寒暑假必须曲目            
(5星)	 童年的回忆呀~            
(4星)	 那首歌经典，千年等一回            
(4星)	 审美观是这时候树立的吧            
(5星)	None
(5星)	 经典啊            
(NA)	 千年等一回啊等一会儿。。。。            
(4星)	 今天总算圆我儿时的一个梦想——看新白娘子传奇的前面几集。。            
(5星)	 绝对经典&gt;&lt;            
(5星)	 前半部分好看，白娘子的人情世故            
(5星)	 转台的时候逢见必看，经典啊            
(3星)	 当我不知道人妖是什么的时候 我认识了叶童            
(4星)	 赵雅芝一直是我心中最美的几个女人之一，现在也是。            
(5星)	 实在太经典，我已经不知道用啥语言来评论啦            
(5星)	 结尾太仓促了，许仙都没什么戏了            
(5星)	 经典!小学时赵美人在姐姐心中就是第一美人呀,还不会老.看到后来的翻拍片,被雷得找不着被不说,那个气愤啊!每次电视上有放重播,都会停下来看,经典的魅力哟!            
(5星)	None
(5星)	 永恒不变的经典。            
(5星)	 在音乐和黄梅调子包装下，剧情基本退化了能成经典，那九十年代的场景，人物，拍摄手法都带到回忆的味道            
(4星)	 不解释&gt;&lt;            
(5星)	 最爱白素贞变化成人形的情节            
(4星)	 赵姐是不老的传奇啊~~~~            
(4星)	 经典啊经典，千年等一回，前无古人 后无来者            
(5星)	 里面的音乐、对唱至今难忘，无法超越。            
(4星)	 啦啦啦啦啦啦啦啦啦啦啦啦啦啦~            
(5星)	 其实里面的爱情都是悲剧啊~~~            
(4星)	 真成传奇了            
(NA)	 这是至今被大陆电视台重播最多的电视剧，第二名是《西游记》（老版的）！            
(5星)	 童年回忆。。。            
(4星)	 经典不解释！！！！            
(3星)	 老实说我真不大记得了。小时候貌似很喜欢。            
(5星)	 无论看多少遍，都是全身心的福拜，音乐和情感的完美结合，成就了赵雅芝，成就了一段怀旧情怀，至情至性。叶童男装，演技和牛            
(5星)	 介也是台剧啊！            
(5星)	 经典            
(5星)	 神作！            
(3星)	 曾经年少无知            
(5星)	 两个女人唱了多少年的戏啊。。。但是咋就那么赞类？            
(4星)	 老旧的经典，大了已经找不出感觉            
(5星)	 太经典了！            
(5星)	 蜈蚣精那集最吓人了……            
(5星)	 经典绝对是没的说啊，不过自从我知道了许相公是女的演的之后就老觉得两个女淫在一起眉来眼去的好不舒服的说            
(4星)	 儿时的美好回忆 伴随成长的电视剧            
(4星)	 永远的白素贞啊            
(5星)	 这个还用说么，每次寒暑假必播影视            
(4星)	None
(4星)	 小青、我是小白~   哈哈、   那是我第一次觉得蛇是这么善良滴物种、我们要爱戴她们~~            
(4星)	 赵雅芝的白娘子 真是传奇了            
(5星)	 后无来者了吧            
(5星)	 趙雅芝美~            
(4星)	 算经典的电视剧了            
(5星)	 经典            
(5星)	 經典啊            
(5星)	 这么经典，怎么能忘了呢，赵雅芝，心中的女神啊~~~            
(NA)	 - - 幼稚園 7 8歲的的時候看的 還是有一下沒一下的 忘了劇情。            
(4星)	 小时候的赵雅芝            
(4星)	 小时候竟然看了那么多遍。。            
(NA)	 白娘子。            
(5星)	 小时候最爱玩扮白娘子的游戏了！            
(5星)	 oh~            
(5星)	 经典就是经典！            
(5星)	 小时候的最爱~~~赵雅芝真是…            
(NA)	 美丽。            
(4星)	 小时候觉得赵雅芝是世界上最漂亮的女人。            
(5星)	 必播片哈，经典。            
(3星)	 可能没看全，从小不喜欢，与经典无关            
(5星)	 看过的遍数太多了            
(3星)	 受不了叶童            
(5星)	 算是看过- -            
(5星)	 不得不说这可以说是中国第一部蕾丝剧！            
(5星)	 又是经典            
(5星)	 记得小时候记得特别喜欢许仕林            
(5星)	 赵雅芝真的好美啊。下雨的西湖啊断桥啊女扮男装的叶童啊都是经典啊。            
(5星)	 永恒的经典。            
(4星)	 ……            
(5星)	 无数次重播 无数次看~            
(4星)	 小时候看过的电视剧            
(5星)	 最爱 哈哈            
(5星)	 小时候在街上疯玩的时候，每到了下午4点都会乖乖回家，新百娘子传奇开演了。            
(5星)	 真的看了不下十遍了。。。            
(4星)	 男的都去哪了 非得让女的演 不理解啊不理解 更不理解的是 说着说着就唱起来了            
(4星)	 小时候特喜欢            
(5星)	 话说法海和白娘子有JQ啊！            
(5星)	 哪怕到现在我还是想再看一遍            
(5星)	 陪着偶们长大的赵雅芝            
(5星)	 经典啊~            
(5星)	 不可超越的经典。我一度认为：白素贞就是美女的唯一标准。            
(5星)	 还有比白娘子更美的女人吗？！            
(3星)	 千年等一回。            
(5星)	 江南糯软            
(5星)	 经典            
(5星)	 我的童年。。。呜呜呜。。。            
(5星)	 童年的回忆，赵雅芝真美。            
(NA)	 每次播放 都会搬着小马扎 安静的看            
(4星)	 那时很迷啊。。            
(5星)	 搞得我现在看见叶童穿女装还觉得她是变装癖。。。            
(5星)	 白娘娘是我直到现在最爱的银幕美女形象~~~~没有之一！！！·            
(5星)	 断桥相遇，也不过是一场邂逅而已，午夜梦回也便足够。            
(5星)	 还用说吗            
(4星)	 还是喜欢小白，兔子虽年轻妩媚，但仍比不过小白偷法海丹药时明快俏丽。。。小青也很好，最喜欢后半部回归时的样子。            
(5星)	 白娘娘~~            
(5星)	 好喜欢里面的歌            
(5星)	 萌～哈哈哈哈            
(5星)	  百看不厌.             
(5星)	 经典！！！            
(NA)	 一部关于真善美的爱情片            
(5星)	 每天中午午睡起来等在电视前            
(5星)	 这叫做不可替代            
(5星)	 呵呵。。            
(5星)	 小时候看到这种能够到处飞，又有颜色加上去的片子很兴奋有没有~~~            
(4星)	 千年等一回~~等一回哎哎~~那歌记忆犹新。。            
(5星)	 我的妈呀~~~~必须满分！！            
(5星)	 宝山没有和仕林在一起, 再也不相信爱情了...............................            
(3星)	 要是凭当年的记忆一定给5星的，只是前不久又在电视里看到了，神话破灭            
(3星)	 小时候都看过.......演员、造型和说唱形式的成功还有小时候的回忆让此剧空前成功......除此外很普通啦~            
(5星)	 哎，小学的美好回忆，看过很多遍            
(5星)	 娘子~~            
(5星)	 还是给5星            
(5星)	 永远的白娘子            
(5星)	 哈哈，不解释            
(3星)	 多年以后知道许仙是个女的演的，很崩溃。            
(3星)	 我童年的心理阴影。。。。。。冲着赵雅芝现在还长这样才能打三分吧。。。            
(5星)	 绝对的经典啊，感动过多少代人。。。            
(5星)	 赵雅芝太完美了！            
(5星)	 千年等一回。。。。  最有气质的美女            
(5星)	 看多了！！            
(5星)	 没看过的请举脚            
(5星)	 当初想要一头像白娘子一样的长发 现在却仍然短发 当初一直坚信许仙是个哥哥            
(5星)	 太太太经典了~不说了，大家都懂的            
(5星)	 千年等一回啊~~~~~~~            
(5星)	 当年看了很多遍依然爱不释手，我妈说我走在去逛街的路上，半路上听到这个音乐响起马上跑回去看            
(5星)	 儿时的经典！            
(4星)	 童年回忆            
(5星)	 必须好看            
(5星)	 永远的经典。            
(5星)	 80后的记忆啊，要不是今年的雷片，我也不会重温。。真是。。看得偶想哭            
(5星)	 千年等一回 ~~~~            
(5星)	   自从上映，已经过去十九个年头了，赵雅芝、陈美琪、叶童都已到中年，青春不再，而《新白娘子传奇》依旧亮丽银屏，长久不衰。这就是传奇。      白娘子一角深入人心：白娘子集真善美于一身。侠骨柔情、下凡报恩、忠贞不渝，这是她的真。乐善好施、扶贫济困、慈悲心肠，这是她的善。从扮相娇美的赵雅            
(5星)	 原来是台剧，是第一部台剧小清新 = =            
(5星)	 ＝ ＝小时候天天早上9点准时爬起来看阿。。。。            
(NA)	 经典了··            
(5星)	 想起高中班上有个女生是超粉啊            
(5星)	 我想来，我觉得我是被这部电视剧给掰弯的            
(5星)	 最近回顾了一下，居然还是觉得很好看。有些作品果然是可以超越时间存在的。            
(4星)	 就是叶童让我觉得怪怪的            
(5星)	
(5星)	 片尾曲是我唱下来的第一首流行乐。            
(5星)	 经典嘛。。。有得说撒？            
(5星)	 小时候一听见主题曲，就坐不住了，哈哈，赵雅芝，不老的妖精            
(4星)	 当时哪个台都播这个 你懂的 不过大学还是有看的 我也不知羞耻的站在后面一起看            
(4星)	 虽然有时候觉得很俗，但是我俗了好几年            
(5星)	 已经不知道怎么形容这个地位了。            
(5星)	 5星，只为给当时的迷恋            
(4星)	 哈。。现在看很多都好好笑            
(4星)	 娘子 相公             
(5星)	 小时候大爱            
(5星)	 我把她当成我的妈妈一样喜欢。            
(5星)	 经典没的说。            
(NA)	 温婉的白娘子，儒雅的许仙…            
(5星)	 小时候每年都必看的电视剧，到现在白娘子还是我心目中最美的女人~            
(5星)	 小时候的最爱！！！现在都还觉得法海你去屎吧！            
(5星)	 时代经典            
(5星)	 赵雅芝=白素贞!!!            
(NA)	 经典             
(5星)	 经典还是经典            
(5星)	 看多少遍都还是好看~            
(5星)	 就是唱歌太多，有点招架不住            
(4星)	 童年回忆            
(5星)	 小时候过家家不知道扮演了多少次许仙白娘子小青虾兵蟹将了！            
(5星)	 小时候超爱看，白娘子好漂亮啊            
(5星)	 很邪恶的影响了我            
(5星)	 我的千年等一回！！！！！            
(4星)	 当时白娘子是女神！！！            
(5星)	 绝对是童年中的深刻美好的回忆。经典，源远流长，无须多言！            
(5星)	 每年看一次的现在都看不腻也是个奇迹了吧            
(5星)	 哎哟~每次听到这个熟悉的歌声就想起了我的童年            
(5星)	 前天K歌还唱了主题曲的。西湖美景，三月天呐~            
(3星)	 不喜欢。雅芝除外。            
(5星)	 无法超越的经典            
(5星)	 这么经典的一剧我竟然只看了几集，一定要补齐            
(5星)	 那时候觉得白娘子好美，一直不能相信许仙是个女的！！            
(5星)	 我的童年梦            
(4星)	 整个童年都在这部戏中度过。伴随着那首千年等一回            
(5星)	 不老的神话            
(5星)	 绝对经典，伴随我成长。            
(5星)	 多经典            
(NA)	 啊哼啊 啊哼啊 西湖美景 三月天哪~            
(5星)	 好像只是个电视剧~其实绝对是个牛比东西~各种有想法的巧妙融合~            
(5星)	 经典的意思就是说，无论台词，剧情，服装，道具，拍摄技巧等，在十多年，二十多年之后看，还是不out，不会过时。长大了之后觉得，其实法海是爱白素贞的，所有的一切都是因为由爱生恨！！！            
(5星)	 雨心碎，风流泪，梦缠绵，情悠远            
(5星)	 寶山哥。。。碧蓮妹！            
(4星)	 原来每年寒暑假必放的剧集啊。。。经典之作。。。            
(5星)	 (&#39;-&#39;*)  原来 这是蕾丝边么 (￣▽￣&#34;) 许仙和白素贞 白素贞和小青 ＼(◎o◎)／  关系有点混乱            
(5星)	 我....喜欢            
(4星)	 艹 我爱妃最爱唱这歌了            
(NA)	 。。。小时候老想着许仙怎么老晕倒。。。。            
(5星)	 赵雅芝就是我心中的仙女姐姐❤陈美琪就是我心中的仙女妹妹❤谁跟我说赵雅芝只有一米五几的= =，害我误会了很多很多年……            
(5星)	 从此不识叶童是女人！            
(5星)	 小时候就是西游记 白娘子            
(4星)	 小时候会披着纱巾拌蛇精啊~~·            
(NA)	 尼玛一到暑假就整天整天放啊！！！            
(5星)	 一个时代最经典的电视剧。赵雅芝诠释了古代中国妇女的完美形象。叶童演技太牛，真像个善良迂腐的小男人，江明的角色也很有喜感。最重要的是一个温和善良的底层社会，令人神往。            
(5星)	 小时候的最爱！！！            
(4星)	 为着童年的记忆给四颗吧。那时候，都看疯了。            
(5星)	 经典重温！！！            
(5星)	 什么叫一部戏吃一辈子 看这个就知道了。话说回来，小时候一直以为赵雅芝是这世界上最漂亮的女人。长大后才发现美有很多种 哈哈！            
(4星)	 童年回忆什么的。幼儿园。。            
(5星)	 那是超级经典啊            
(4星)	 多古老的片子啊，我说我看过会暴露年龄么==。            
(5星)	 陪我度过童年。            
(NA)	 现在一唱那主题曲就抽风            
(NA)	 当年几乎每个暑假都会看的~            
(5星)	 我认识第一部的偶像剧，在我幼小的心灵里面，赵雅芝是我第一个偶像            
(3星)	 主题曲好            
(5星)	 小时候看过最多遍的就是这部电视剧了吧，搞得去爸妈听到片头曲就发毛，笑            
(4星)	 经典！            
(5星)	 太经典了，我比较喜欢里面的小青陈美琪            
(5星)	 曾经我家有一个从录影店里面租来的录像带，从我懂事开始，印象里每天都在看这盘录像带，最后把录像带看的都是雪花，直到现在，那盘录像带还放在我家书柜里。            
(3星)	 没到暑假就播放 - -            
(5星)	 时代的记忆            
(NA)	 经典            
(NA)	 西湖.......那麼久遠的沉澱            
(5星)	 我童年的最爱啊~            
(4星)	 小时候，把妈妈织毛线的针插头上，披个纱巾，哇靠，真傻呀            
(5星)	 呵呵，20岁之前一直觉得她就是世界上最美丽的女子！            
(5星)	 凄美的爱情故事！            
(5星)	 小学每到暑假寒假就看！            
(5星)	 小时候的回忆。            
(5星)	 今天无意中看了一小部分感觉还是很经典            
(4星)	 當時給趙雅芝絕對驚豔到了，還有當時那個特急捨身人頭也感覺挺嚇人的            
(4星)	 千年等一回！            
(5星)	None
(5星)	 再看，依然美，而且以前不懂的现在都懂了···            
(4星)	 儿时儿时            
(5星)	 在非洲的挚爱，最喜欢小青的声优            
(5星)	 无论过多久，我都会打五颗星吧。            
(4星)	 还是一二还是三年级的时候事情.............            
(5星)	 还用说么这个            
(4星)	 小时候一直想找来看。后来重播了，却是看不下去了。。。            
(4星)	        小时候看这部片只觉得法术光怪陆离，极其有趣。还有那可恨的法海，咬牙切齿太多次。许多年过去，觉得所有的爱与恨都不容易。印象最深刻的是小青爱的那个男子，“忘 忘 忘”。于是男子忘记小青从此陌路。       如果记忆能同时删除未尝不好，怕就怕一人相忘另一人却记得。            
(5星)	 赵雅芝是永远的女神有没有！！！            
(5星)	 千年等一回。。。五颗星是远远不够的            
(5星)	 一直想不通为什么要找女的演许仙！            
(3星)	 外婆很喜欢            
(NA)	 93年            
(5星)	 我勒个去 我对美女的初启蒙啊= =            
(5星)	 女人啊，你的名字叫盲目            
(5星)	 太經典            
(5星)	 很喜欢            
(5星)	 赵雅芝就凭这部剧红遍全中国，叶童也因为这部剧，让人从此忘记女儿身。连小青都跟着红了。            
(5星)	 永爱⋯⋯            
(5星)	 哎呀好经典~            
(5星)	 童年时期陪伴着我的成长的为数不多的国产剧            
(5星)	 我直到现在仍认为白娘子是最美的东方女人。            
(5星)	 放了学跟姥姥家等妈妈接，写完作业后看的！！！            
(NA)	 看完这个。。最后一集。。哎。。虐死了。。感觉小青和白娘子才是一对阿。。。确实更喜欢媚娘。。。白素贞什么都太。。。淡定了。还闪婚诶。感觉她。。。怎么说呢。有没有爱过许仙阿。这样最后各自成仙也不那么伤感了。。。还是喜欢小青阿。            
(3星)	 看过一点点            
(5星)	 哦我当年的茶            
(5星)	 经典。            
(5星)	 最经典的爱情故事，最爱小白蜕变的那一瞬间，极美的！            
(5星)	 最棒的回忆            
(5星)	 永远的经典！！哈哈            
(5星)	 小时候夏天天天追着看啊！            
(5星)	 再没如此经典的回忆！            
(5星)	 经典老片了！~            
(3星)	 如今说什么好~            
(5星)	 儿时记忆，白娘子最美。。。            
(5星)	 童年回忆~            
(5星)	 至高无上的经典！！！！！！！！            
(5星)	 白娘子啊！！！！！！！！！！！！！！！！！            
(5星)	 看了十几遍。。。            
(5星)	 这部电视，真是看了20年了……            
(5星)	 必须看过啊！！经典来的~~让我从小知道还有反穿这种事的。。            
(NA)	 真的看过很多遍……            
(NA)	 披着毛巾被装白娘子，哈哈哈            
(5星)	 经典            
(5星)	 经典！            
(5星)	 白娘子永远是我的女神            
(5星)	 经典的要命！！！！！！            
(5星)	 这部电视剧必须荣膺终身成就国际大奖才行 = =            
(5星)	 白素贞好美啊!            
(NA)	 小时候好喜欢这个            
(NA)	 经典之最啊!!!尼瑪的当初我就以为叶童是个男人~~            
(5星)	 今天看《青蛇》想起来的，五星不解释！实在太TM经典了！禁播那段真TM想念啊！            
(4星)	 我竟然每一遍都没看全！            
(NA)	 经典之作            
(5星)	 有缘千里来相会            
(5星)	 俺喜欢。            
(5星)	 没的说 太经典啦！！看过好几遍呢 很多情节影响很深呢            
(3星)	 真是喜欢不起来呢 说说就唱。。            
(5星)	 唉。。小时候关了电视  自己开始玩摆家家啊             
(4星)	 很小时候寒假里看的 那时候天气很冷 爸妈不在家 和哥哥窝着电视机看连播到天亮 ..            
(3星)	 经典            
(5星)	 白素贞 一代正太的YY对象            
(5星)	 这是小时候每个暑假的必修剧……            
(5星)	 雅芝姐你懂的！！            
(5星)	 很美，很美。            
(4星)	 小时候的爱啊            
(5星)	 每年的暑假必看啊~~~            
(4星)	 在有意识叶童是个女人之后就觉得有点恶心了            
(NA)	 没话可说            
(4星)	 我那时候真心以为许仙是男的啊啊啊啊啊！！！！！            
(4星)	 曾经有段时间每年都会播放啊。            
(4星)	 那头纱很美，有没有？！我那时有的只是蚊帐布。            
(5星)	 西湖美景~~~~三月天来~~~~~            
(4星)	 最近在KTV幾乎每次都會有人唱這劇里的歌。。。大家都老了。。。相當懷舊啊。。。            
(5星)	 话说这个真的不知道看了多少遍了的说            
(5星)	 看过最多次的经典            
(4星)	 记忆中 小的时候 每年暑假 贵州卫视都放这个片子 而我也会一看一下午 现在电视台依旧年年重播 可是 时间不再回来啦            
(4星)	 很长一段时间一直不信叶童是女人！！！            
(5星)	 不力荐不行啊~~~~~~             
(5星)	 小时候和我姐一人披个毛巾被玩cos。。。            
(5星)	 中国蕾丝情节第一剧。            
(4星)	 端庄的白素贞，多年后，一如既往的是人们心中的白衣女神。            
(NA)	 赵雅芝就是我的女神            
(5星)	 很小的时候看的，现在同朋友们说起来都有过拿妈妈的裙子做头纱的经历，啊哈哈~            
(5星)	 绝对是五星的。            
(5星)	 儿时经典啊~伴随我多少个寒暑假啊~赵姐太美了~            
(5星)	 永远的白娘子——赵雅芝            
(5星)	 童年这么经典的片子！            
(5星)	 记得小学六年级时都已经很古老了。            
(NA)	 我想回到小时候和姐姐一起在外婆家看            
(5星)	 再次看到白素贞为救许仕林破塔而出，许仕林抱大腿哭喊呻吟，白素贞踌躇过后毅然跟随法海而去，再次泪奔...            
(NA)	 永远的经典            
(5星)	 不败的经典            
(3星)	 说实话后来看觉得赵姐姐演得怪怪的，当年超喜欢            
(5星)	 有缘千里来相会，无缘对面手难牵，十年修得同船渡，百年修得共枕眠~~~            
(5星)	 它为我日后对真善美的界定起到了巨大的作用 我还记得了一首叫锦瑟的很美的诗            
(5星)	 百年修得同船渡，千年修得共枕眠            
(5星)	 估计没有哪个剧能有这么高的评价了。。            
(5星)	 你播几遍我就看几遍            
(5星)	 小时候的我一直认为叶童是男的。            
(5星)	 这个当时看过好几遍 好喜欢小青和白素贞的那绿坨坨和白坨坨            
(5星)	 大大大师姐的功力非同一般啊！            
(5星)	 看了倚天屠龙，越来越觉得，叶童比雅芝阿姨还美哦！！！！            
(4星)	 哈啊哈，哈啊哈            
(5星)	 算是经典，但也有些地方比较粗糙，电视剧毕竟是电视剧，不是电影。            
(5星)	 小时候痴迷地守候~大概是被白娘娘的美所吸引了吧~一种作为女性的完美~可远观而不可亵玩的高贵的美            
(5星)	 太过经典            
(NA)	 当年的爱情记忆            
(5星)	 以前就模仿白娘子做各种手势            
(5星)	 小青~~~~~~~~~~~~~~            
(5星)	 雅芝姐姐，我滴最爱！我承认小时候真心不知道许仙是女人演的。。。对手指。。最后还有在看哦！嘿~            
(4星)	 青儿，原来是个男儿郎……我当时就震惊了！            
(5星)	 爱这部电视剧需要理由吗，它在我的记忆中留下了难以逝去的印迹。            
(5星)	 很多情节忘记了，但感觉还在。找个时间要重看一次！！            
(5星)	 经典            
(1星)	 从此叶童就是许仙= =            
(5星)	 全国人民每年至少温习一遍的经典！            
(5星)	 经典啊            
(5星)	 我爱赵雅芝！！！！！            
(4星)	 披着妈妈的丝巾或者家里的小毛毯跑来跑去，把自己裹起来假装自己是青蛇或者白蛇。            
(5星)	 小学2年级。。。            
(5星)	 很长一段时间，我真的以为叶童是男的，而且很爱儿子那一段故事            
(5星)	 我的爱，我爹的痛，自从我迷上这部戏后，他连新闻都没得看的，陪我看广告都不能抗议。            
(4星)	 。            
(5星)	 唉呀妈呀，娘~子~~观~人~~小时候的暑假寒假放了必看，不放想看            
(5星)	 大爱            
(4星)	 才看的时候很喜欢许仙的，后来知道他居然是个女的反串的，我当时就不喜欢了            
(5星)	 永远的经典，都不知道在多少个暑假多少遍的看过            
(5星)	 绝逼五星 儿时最爱 千年等一回~等一回哎啊啊~~            
(5星)	 啥都不说了，只是现在看来有点哼哼唧唧的            
(5星)	 跟我妈最大的话题之一            
(5星)	 经典，无需赘言            
(NA)	 无语了，小时候的最爱。我妈说我成天画白娘子快画疯了。            
(5星)	 到现在都喜欢看哈哈哈 以前屎活不相信许官人是女的TAT            
(5星)	 不可超越的经典。            
(5星)	 小时候最喜欢的电视剧，白娘子就是我心中的神仙姐姐。            
(5星)	 经典中的经典，好喜欢里面的角色            
(5星)	 从小看到大 怎么看都不腻            
(5星)	 這個也有？！            
(NA)	 最早看电视看的就是这部            
(NA)	 好吧~ 这是一部暴露年龄的电视剧 另外 我家里现在还有这部电视剧的原声磁带~            
(5星)	 这样的爱情故事吸引了好多人。            
(4星)	 噗- -童年的回忆啊...            
(5星)	 你还记得西湖畔雷峰塔底的白娘子吗？！这个绝对是童年时的经典啊！现在都就能哼出整首歌来。            
(5星)	 经典中的经典阿。台词都看到背的滚瓜烂熟~~~            
(5星)	 永远的经典，剧情加音乐无可挑剔！            
(5星)	 当年别提有多迷~            
(3星)	 演到一半突然唱歌很奇怪呀囧            
(NA)	 好小好小的时候看的连续剧了，还站在奶奶家的被子上面裹着床单飞~             
(4星)	 经典 不用重看            
(5星)	 速速收藏            
(5星)	 经典中的经典！！！我爱白娘子！！！            
(5星)	 这是我看过遍数最多的。。。。            
(5星)	 童年的仙女            
(5星)	 刻录在童年记忆中的电视往事，这是超爱的一部，简直是精神支柱，主题歌或插曲是经常唱的            
(5星)	 这个应该是毋庸多言了~~~            
(5星)	 他们一唱歌我就想快进            
(5星)	 小时候暑假天天盼着它放呀～话说这剧放现在其实很L向啊……            
(5星)	 千年等一回。            
(5星)	 爱到不行的一部片，影响了几代人的一部片，看不腻的一部片。。。看到剧组演员重聚都会泪流满面的一部片，去杭州有一部分原因就为的它            
(5星)	 官人，娘子~~~官人！            
(NA)	 现在看有点恶心有没有...            
(4星)	 小時候每播必看..就算是現在還是會在電視前駐足..趙雅芝是我心中當仁不讓的東方第一美女..女神~~            
(5星)	 小时候的最爱            
(4星)	 虽说很经典。。。。可是受不了女的演许仙。。。。            
(4星)	 那时候一直跟着唱“千年等一回”。。。            
(4星)	 儿时的回忆，赵雅芝真是漂亮啊            
(5星)	 我小学时候可喜欢这个啦！ 有一同学还学白娘子自称叶娘子。。。             
(5星)	 童年的爱情启蒙，经过各个电视台疯狂重播的熏陶之后，杭州和西湖成了我印象中带着神圣光环的圣地，一直梦想着去杭州去西湖，08年底如愿去了，郁闷的是雷锋塔居然要收费，远望了一下，雷锋塔是要恨的            
(5星)	 ，，，，，，，，，，，            
(5星)	 经典嘛            
(5星)	 喜欢 喜欢 很喜欢             
(5星)	 小时候老喜欢了！            
(5星)	 哈哈，太美好的记忆了。小时候常常在大人面前表演自学的白娘子的舞蹈。。。            
(4星)	 女扮男装的够彻底的！其实我喜欢的是小青@Home            
(5星)	 陪我长大            
(5星)	 我喜欢赵雅芝~            
(4星)	 那首主题曲呀。。            
(5星)	 啦啦啦啦啦啦啦、和西游记一样神一般的存在着。。。。            
(5星)	 经典中的经典，上学时，每个寒暑假必看            
(5星)	 清明时节雨纷纷，西湖断桥高处寻            
(5星)	 我甚至都没有看全             
(5星)	 西湖美景三月天呐~~~            
(3星)	 后来一直都觉得叶童是男的            
(5星)	 wow            
(5星)	 谁没看过？！            
(5星)	 ！            
(5星)	 赵雅芝塑造的白娘子形象，无法超越，成为经典。            
(5星)	 这必须看过的，那时候上学每天中午不午睡，就等着看新百娘子传奇，前几天看安徽卫视也在播，有看了看，觉得画面还是那么 好看，白娘子还是那么美！            
(4星)	 无法磨灭的经典。。。小时候的最爱            
(NA)	 很喜欢啊，小时候            
(5星)	 忘记情节了            
(5星)	None
(5星)	 哈哈            
(4星)	 千年等一回            
(5星)	 我全家都知道我喜欢看            
(5星)	 “我有时候在想，你这辈子，到底得到过什么，又拥有过什么？”            
(5星)	 还用说什么吗，经典啊！            
(5星)	 无话可说了。终于明白连四大名著都被反复翻拍，唯独这个片子只敢写续传不敢翻拍啊。            
(4星)	 我喜欢小青，敢爱敢恨            
(5星)	 小时候的最爱！            
(5星)	 啊···我现在都爱看...&gt;&lt;            
(5星)	 看过n遍～～～            
(5星)	 长大后才知道许仙是个女的。。。            
(5星)	 经典。            
(5星)	 并非这剧有多好（当然音乐部分没的说），而是每次看这部剧，就会想起我的童年，在最美好的时光里曾遇见的东西，都是美好的            
(4星)	 记得某年去集训的时候，有人公布了个秘密说，某个台在放这个。当时一时不知怎么反应，这个剧有到这样得地位么。但其实有的吧，只是我不太看感觉不到罢了...            
(5星)	 永远的雅芝姐姐            
(3星)	 小时候挺喜欢的            
(5星)	 经典，无需多言！            
(4星)	 说着说着就要唱起来。。。            
(3星)	 我妈最喜欢看的电视剧。当白素贞被关进雷峰塔时，我妈说谁不流眼泪谁长大了就是一个六亲不认的人。            
(4星)	 后来被恶搞的那些比较好笑啊。            
(3星)	 其一太过冗长，其二叶童真的太丑了，不然我会更喜欢一点儿。            
(5星)	 经典            
(NA)	 太喜欢了  经典类`` 最爱的一部            
(5星)	 赵雅芝我爱你            
(5星)	 实在是很经典            
(5星)	 永远最爱的电视剧！！            
(NA)	 大爱，永远的记忆，看一百遍也不厌烦            
(5星)	 以前··我会把床单挂头上装白娘子···            
(5星)	 经典中的经典            
(5星)	 歌还是很经典的好不好！！看了n遍没有厌啊！！！            
(4星)	 小时候觉得很好看 ，一直很纠结许仙到底是男是女 。            
(5星)	 老天,上帝...曾经的最爱,,我的女神赵雅芝            
(4星)	 童年里暑假每年必放啊~~~~~            
(5星)	 印象深刻的就只有断背……            
(5星)	 童年 童年！            
(5星)	 哈也不说了，年年看            
(5星)	 千年等一回，我无悔啊啊~~~~~~            
(3星)	 千年等一回~等一回~啊~a~            
(5星)	 经典巨作，小青的姻缘可惜了。            
(5星)	 什么都不说了！            
(5星)	 心目中永远的经典，不可取代，因为每个角色都深入人心，不管谁再来演，那个感觉都不对了……            
(NA)	 永远喜欢雅芝姐姐            
(3星)	 还是觉得赵雅芝演的白娘子比许仙老很多= =            
(4星)	 曾经很流行。            
(5星)	 怎么说着说着就唱起来了            
(5星)	 赵雅芝赵雅芝赵雅芝~~~~            
