http://movie.douban.com/subject/2995158/	少年四大名捕
(4星)	 女演员太丑了            
(4星)	 结局果然囧。。。            
(3星)	 除了前2集，都很扯            
(3星)	 撇开最后一集跟台词，这剧真的还行啊...tempo也OK，四个帅哥看得我挺乐呵哈            
(4星)	 四类型帅哥~总有一个你喜欢的~            
(3星)	 完全冲着四少去看。            
(5星)	 挺好看的。桑医生太坏，害了铁手一家。最后没有跟无情在一起我觉得很好。没死已经便宜她了。            
(4星)	 无情，冷血灵的，故事狗血了点，当中拖了点，最后蛮吸引人的            
(3星)	 英雄注定孤寂~            
(5星)	 必须五颗星...我不管它剧情多烂多烂尾多狗血...马明林峰吴卓苗苗再加一个小狮。OMG怎么人那么齐.....虽然看的头昏脑胀...            
(4星)	 男的都很好看，女的都很一般。。。            
(3星)	 挺无聊的……最讨厌桑XX了= =马明和诗韵倒是挺不错的……还是原来的好看= =            
(3星)	 结局实在是。。。不过最喜欢他们四个了～            
(4星)	 无情真2B，追命真可爱，铁手真憨直，冷血真野人。。。开头很好看，结局很狗血。。。桑芷妍这么贱的女人怎么最后还是没死掉？太不爽了。。。最后他们都英勇就义了吗？            
(5星)	 里面的无情感觉跟《雪花女神龙》的欧阳明日“赛华佗”好像  不一样的是前者得到了姑娘的爱情  后者只能成全所爱姑娘的爱情            
(3星)	 TVB的看着都比那几部舒服点。吴卓羲演的冷血还是不够冷啊            
(5星)	 4大帅哥！里面场景还有在丽江拍的！咱同学还当群众演员去了            
(3星)	 林少爷大萌~~这是为什么=3=            
(NA)	 胖子追命            
(3星)	 吴卓羲 林峰 陈键锋 一人一星            
(NA)	 不好不好,还是不好            
(3星)	 如果不是为了无情少爷,我绝对撑不到最后一集..            
(NA)	 林无情的颜不错，但是脱离原著啊……            
(3星)	 我那荒废的大四生活啊，竟然没有标记这一部            
(2星)	 烂剧……            
(NA)	 BG戏多得让人抓狂            
(NA)	 看到10，弃了~            
(3星)	 很无聊的时候看掉了。林峰整部剧几乎都坐在那里，不知道拍完时下盘是不是变大了？吴卓羲前几集都没有台词的，有脸部特写和眼神。看到马国明捶树，然后落叶飘下；看到吴卓羲背着林峰走；看到四个男人躺在草地上吹叶子，叶子还是动画的，吹到吴卓羲那里，另外仨说：哎呀这下没得吹了……我笑的来癫狂了。            
(3星)	 几个女真的不怎么样            
(4星)	 都是帅哥的作用            
(NA)	 觉得林峰演技还是不错的，并不是出身名门的绣花枕头，在演戏方面还是有天分的，其余几个感觉一般，吴卓羲和马国明马马虎虎，但陈键锋有点逊，因为之前看美人心计，觉得一个仪态偏偏的帝王已经印象太深刻了，所以不太习惯他的无赖形象，追命也不是这样的吧。剧中女人太丑，一直觉得TVB的女演员太差            
(3星)	 我匆匆看完这部港剧，就如匆匆拍完这部剧，整个过程感觉都是匆匆的~~~            
(4星)	 四个人，一人一星吧。我恨死那女的。            
(4星)	 其实都唔错啊，就系有几个女既戏比较唔得遮            
(3星)	 被精神虐待的少爷啊            
(4星)	 觉得最大的BUG就是既然绝世神兵那么厉害，咋不研发来打金人捏= =？p.s.我讨厌蔡芷妍。。。把无情骗得都不像无情了(#‵′)            
(NA)	 很浮夸的片子 白白请了无线新5小虎            
(4星)	 还OK...冲着那四只去的            
(3星)	 帅哥+烂剧情            
(4星)	 还不错~            
(3星)	 电视机上看的忘的差不多啦            
(5星)	 忽视原著少爷演得不错~关键是温瑞安气场太强无法忽视啊~无情不应该是哀而不伤，病而不弱的美少年（说英雄里才是青年）吗~还有冷血，人家是充满人性冲动（详见原著中想着小刀ZW那章），但不是野人啊~他那样真的可以做“两江巡抚见到也要下拜的官吗”?还有沧桑的追三爷和温厚君子铁手。。。算了~            
(NA)	 很一般，可惜没有我喜欢的那个演员。            
(3星)	 连这个都可以拍成悲剧……更悲剧的是我直到最后几集才发现林峰的古装超级灵……啊啊可是真的不想再看一遍了            
(3星)	 算是现代TVB还可以的几个，十分讨厌徐子珊。。。            
(3星)	 女人们太弱            
(2星)	 纯粹是为了4个男人而硬撑着看完……            
(4星)	 四个男主都挺不错的说~女的嘛~兰若飞越看越好看哈~桑芷妍也还可以接受~剧情很紧凑~是部不错的剧~            
(NA)	 当初 偶是多么期待啊            
(3星)	 如果把徐子珊换掉，我说不定会打四星的=。=            
(3星)	 为了田蕊妮，这剧真不怎么地。            
(2星)	 云集了大部分我喜欢的港男~            
(4星)	 林峰的古装太公子，太优雅了。。陈键锋还是一如既往的搞怪范..吴卓羲冷酷的一面表现得也是相当不错。            
(NA)	 好吧，系为着马明和诗韵同学。话说小透个条女长得像文颂娴。仲有啊，温瑞安的剧都冇太多场景，来来去去都系同一群人和地点            
(4星)	 恩，是少年的追逐~            
(4星)	 除了林峰，都还行，马国明和李诗韵最可爱了，哈哈            
(3星)	 这里头女的太丑了。。。。。。。剧情太垃圾。。。四大帅哥我都看不下去了。。。帅哥啊，好浪费啊。。。            
(3星)	 第一个案子模仿福尔摩斯纸人成像的说。            
(3星)	 无情的扮相实在是“俊”            
(4星)	 四位帅哥一人一颗星，剧情单薄，逻辑有点问题，内容不丰富~            
(5星)	 嗯嗯。            
(4星)	 阿峯演的无情实在是太好了，好期待阿峯又能演一部相类似的戏。            
(4星)	 不知道什么时候起少爷就一直在饰演这种冷冷的理性男人了~~~爱爱爱~~~            
(4星)	 我讨厌这个结局= =我爱4个帅锅~~~            
(4星)	 四小生            
(4星)	 林峰好帅！            
(NA)	 最近迷上所有典型/非典型的破案类港剧，狂看中，咳咳~~            
(NA)	 为了看林峰什么都要看下去- -            
(3星)	 追命啊，姐心中永远的痛。。。            
(5星)	 终于有一部电视剧弄出一个萌的轮椅还会暗器的翩翩佳公子。            
(4星)	 我的冷追T T            
(5星)	 剧情很精彩。            
(3星)	 其实是蛮好看的~可是徐子珊在里面就太打折扣了~恶心死我了~            
(3星)	 为啥是徐子珊。。。            
(3星)	 冲着陈键峰去的，完全不记得当时讲的是什么了。            
(4星)	 帅锅好多哇~~~剧情还成吧~~~            
(3星)	 我好像看了一半，这个算tvb小生群聚了吧？            
(3星)	 女的必须自动过滤才能看            
(3星)	 我的情情~~~~            
(3星)	 一眾帥哥 一眾醜女。            
(3星)	 这个剧败就败在女主角上了……让人觉得TVB 无美女了呀。。。            
(3星)	 看着编剧一步一步走向nc。。。片子的结局暴雷。ps：冷血超帅。。            
(3星)	 于是无情是个腹黑。无论看多少港剧都无法喜欢起来的演员是徐子珊，你究竟是在什么时候深深地伤害了我我不记得了啊！            
(5星)	 唯一看过的港剧            
(3星)	 好吧，多出来的那一颗星还是给四个帅哥的……编剧的脑子九成九被门挤了……            
(2星)	 林峰！！            
(5星)	 全是帥小生啊，（¯﹃¯）！！！好看，劇情按照分段式的，每節都很吸引，唯一遺憾的就是結局啊，怎麼就四個人抵那麼大群            
(3星)	 三个帅锅和一个打酱油的帅锅。这部戏里发现陈键锋和林峰的美，还有马国明。原本爱的吴卓羲完全是布景，而且搞得脏兮兮的。后面几集快进看的，一是因为夜深了，二是因为情节有问题。TVB是有多浪费这群帅哥们演这部戏。难道是早准备情节不够，面孔来补吗。            
(NA)	 我看不见女人==            
(3星)	 真是够nc的剧情...囧死我了...挖鼻望天...            
(2星)	 真的，不怎么好看~~唉            
(3星)	 最衰有个丑女，影衰晒            
(NA)	 剧情一般，表演一般，演员么，没美女，一般！！！            
(2星)	 陈键锋很帅~~没了……            
(NA)	 结局不喜欢            
(NA)	 。。冲着帅哥去的。。。徐子珊的坏女人路线从此开始。。悲剧            
(2星)	 主要欣赏帅哥，烂剧情            
(3星)	 李诗韵很好看            
(5星)	 四个人我都喜欢，可是不喜欢芷研，她怎么可以一次又一次的伤害无情，还有他们 四个都太笨了，不懂得怎么表达自己的感情 ，看的我遗憾的不行、            
(5星)	 林峰的无情很动人            
(4星)	 轮椅里的少爷            
(3星)	 不喜欢徐子珊            
(2星)	 没什么意思。。。            
(4星)	 林峰白衣飘飘的公子样，charming啊！！！            
(4星)	 哇哇哇。什么烂结局啊~~~徐子珊长的一脸坏人相怎么配我们峯少啊！！！女主没有好看的就游冬还行。。。            
(2星)	 。。。            
(5星)	 帅哥云集            
(4星)	 其实是想给个3.5星，只是最后一幕四个人飞上天太帅了，加到四星            
(4星)	 剧情三星，林峰陈键锋加一星            
(NA)	 BB            
(2星)	 就算四大是重点 也至少找几个登对点的小花好不好！            
(3星)	 TVB真破。            
(2星)	 又难看又丢脸，案件都没有什么亮点，为了学粤语而看，结果听的最多的是“就算是死我也一定要XXX”，而这个XXX的内容真是可以肤浅到叫人崩溃……            
(4星)	 林峰的无情确实很惊艳，白衣公子，也抓人心。苗苗的搞笑路线走的很不错。马国明还是不温不火的。吴卓羲这回当炮灰了。女主最惊艳的就只有徐子珊了。想不到四大里面古装的她还蛮养眼，真佩服幕后的化妆师。剧情很紧凑，节奏不错。就是那些案件都大同小异。没什么新意。            
(3星)	 好了, 对此片的热情维持到第二集就结束了...            
(4星)	 四位帅哥。。  哎。。            
(4星)	 可惜我看大结局的时候睡着了~~555~            
(3星)	 除了CP齐全，还真没什么说的            
(3星)	 还是那句话，古装都不怎么喜欢，虽然有帅哥，但是还不够吸引我            
(3星)	 哈哈哈哈哈            
(4星)	 虽然林峰的痴傻让我对这部剧后半段的发展大失所望。但是还是有聪明的铁手、调皮的追命哥哥和作人肉背景的冷血。四子的大集合，总要捧场的不是。            
(4星)	 当时看的时候完全冲着吴卓羲才看的，那时刚好抽风吴卓羲～不过这里的四名男主角也算是TVB当红的小生了，林峰的演技也挺不错的……不喜欢徐子珊。。。            
(4星)	 我的无情啊！！白衣飘飘啊~            
(4星)	 这里面的林峰不怎么样 有点肥嘟嘟的臃肿倒是冷凌弃 好棒的名字！            
(1星)	 我就是为了看编剧有多健忘的            
(4星)	 有峯少就ok            
(NA)	 哈哈，看男主角就够了，女主角直接忽略            
(5星)	 就是从这里爱上林峰的，很奇怪内。。。            
(3星)	 一点            
(3星)	 以前对戏里面的都是没啥感觉，看了之后狂爱徐子珊。老无和桑桑让人心疼，忘记剧情吧！            
(5星)	 喜欢            
(3星)	 为什么是这几个女主啊！~            
(4星)	 剧情好乱- -但是我很喜欢的。。。            
(3星)	 其实我发现我看过的港剧不是一般般的多            
(4星)	 无            
(4星)	 tvb的F4帮。            
(3星)	 恩 只能说是为了看着四个人 剧情。。。            
(4星)	 因为这片喜欢上峰少和阿曦            
(3星)	 難得TVB 古裝不拍愛情題材的            
(5星)	 好看            
(3星)	 不喜欢徐子珊            
(3星)	 女猪脚真是杯具。            
(3星)	 看不下去= =            
(1星)	 = =            
(3星)	 弱智的案子弱智的神捕。。伤心啊。。。            
(4星)	 噢~~~追无~~~            
(3星)	 吹叶子那段太太太令人YY了            
(3星)	 林峰在裏面真的玉樹臨風了..苗真有趣..結局太冏了 以及徐子珊換掉吧吧吧            
(4星)	 四大名捕只能看演员。。。            
(3星)	 名字应该改为“少年无情”            
(4星)	 还不错啦，主要是男演员都是一线小生，我现在是“奥运六星”粉，哈哈~再加上我最爱的李诗韵。至于剧情，我忘得差不多了~~另外除了徐子珊和李诗韵之外的那两个女的明明就是三线演员嘛，演了这部戏还是接着跑龙套，真可怜~            
(4星)	 不好意思 看帅哥的            
(3星)	 剧情及结尾不说了……不过四个人都还蛮中意的            
(3星)	 恩，TVB四小帅哥。。。眼福大于剧情了。            
(3星)	 哈哈~~林峰...徐子珊~~都是努力的艺人            
(4星)	 在目前为止翻拍四大的剧里，这部相比其他的好些，编剧还算蛮忠诚于原著的人物性格的            
(4星)	 其实我想给五星来着 = w =            
(5星)	 还好，其实蛮有意思的。            
(2星)	 除了四个男主，其它都很杯具            
(4星)	 不错~~就是感情戏这方面咋这么纠结~~            
(5星)	 好看！！！            
(5星)	 还不错啦。            
(3星)	 看颜就够了……            
(4星)	 如果不是基情最多也就三星…………唉难得一部我付出如此多深情的剧…………=口=            
(4星)	 还不错,,4个男主都不错,,可惜女的我都不喜欢            
(2星)	 不带这么改编的。。。吴卓羲在剧里也太可怜了            
(2星)	 有些失望的哦。。。            
(2星)	 不dj林峰            
(NA)	 三爷四爷哟~            
(4星)	 4个主演都喜欢 所以即便剧情很普通 也反复看了            
(4星)	 马明和李诗韵实在太配啦！！！~~感情戏很抢眼噢。。。对林峰和徐子珊的感情线没有任何感觉。。。            
(NA)	 又一部被徐子珊毁了的剧；            
(4星)	 4大小生不能错过            
(3星)	 一星给苗一星给峯一星给我自己竟然还是看完了这种漏洞百出几乎亵渎四大名捕的囧剧呐            
(2星)	 好差，真系差D睇唔落去，纯粹为左睇林峰。。            
(1星)	 我是专门进来踩他的。            
(3星)	 以后再也不看TVB的古装戏了。受不了！如果没有四小生坐镇，真不知怎么看完啊。。。            
(2星)	 无情的无情 冷血的冷血 一看就很假  看不下去了              
(4星)	 睇靓仔阿~~            
(5星)	 超喜欢林峰，迷上了            
(5星)	 纯粹是对帅哥们的致意……            
(5星)	 非常好看！            
(4星)	 男的都很帥，女的就……            
(3星)	 嘛~算是在网上还追看完了            
(NA)	 怎么当初看的时候不记得有吴卓羲啊，光记着少爷和马明了            
(4星)	 四大男主我个个都爱            
(5星)	 够狗血 够tvb            
(4星)	 古装，帅哥，破案，都是我最爱的元素，何况里面的四位名捕都是我喜欢的，所以很喜欢。            
(3星)	 桥段又俗套又牵强            
(3星)	 诶 这个编剧真的好推出去砍了浪费了3个帅哥顺便 女主角真的……诶 有够那个啥的            
(1星)	 林峰很帅...片子太烂...            
(3星)	 不得不承认，看剧的原因是因为TVB几个小生，特别是苗苗，但又怎么样呢，似乎服装师也特有偏爱，把最好看的衣服总给他，因为签的不是全约，所以从没当过什么主角，最好也就是和谁谁谁二分天下，真不爽。            
(4星)	 帅哥比较好看。。。剧情狗血，硬生生把4个人组在一起~~~            
(3星)	 看到第11集，实在看不下去了。推理水平很有限，严重的甚至白到搞笑。有些剧情台词囧到没办法让观众产生共鸣，越看越问自己，我是在看搞笑片么orz对于温瑞安的起名能力我无语了很久QAQ因为别人推冷无的MV于是去看，看完后比较喜欢追命= =||||            
(NA)	 因为此剧，喜欢了马国明和李诗韵            
(3星)	 林峰越看越不错了。            
(NA)	 剧情让我无语，女主角也让我无语，峰少白衣飘飘的无情～～^_^            
(NA)	 因为这部戏，我喜欢他的戏。            
(5星)	 剧情弱智狗血 只能看颜 且男主颜各个比女主颜好看。。。。            
(2星)	 很一般            
(NA)	 后面部分比较狗血            
(5星)	 为什么结局这么惨( ⊙ o ⊙ )啊~~~~~~~~~~~~~~~~~~~~            
(4星)	 可愛嘅苗小追同學~(@^_^@)~ 實中意你啊！            
(NA)	 还好啦 不过有点像偶像剧            
(NA)	 我爱追三爷我爱无情公子我爱小冷我爱铁手兄虽然剧情很弱智            
(4星)	 陈键锋很可愛~            
(5星)	 四大帅哥 呵呵 除了aaron 我就花痴他们了            
(4星)	 峰少的爱情在这里无敌的伤悲。。。            
(3星)	 虽然因为峰少看这部剧  但是女猪配的太失败··难看  剧情老套            
(5星)	 经典剧，不过拍的不好···            
(4星)	 喜欢林峰！            
(4星)	 蛮吸引人的，四大中林峰扮相最佳            
(NA)	 好像坚持到了19集，囧            
(4星)	 冲吴卓羲看的。他才是我的菜。             
(4星)	 tvb当红小生全部出现了，要是没有那些女人该多好……            
(4星)	 结局啊真是雷得我内流满面            
(3星)	 看了几集不是很想看了..            
(NA)	 JQ红果果            
(2星)	 总体来说没有什么特别引人的情节            
(NA)	 阿苗的追命太可爱了，喜欢哦            
(NA)	 25            
(4星)	 看人來著~結尾太蠢了            
(NA)	 自动无视女人们            
(3星)	 基剧！腐·少年四大名捕！XD            
(4星)	 结局比较雷。。匆匆结束的样子，不过林峰还是一样的帅~哈哈            
(5星)	 TVB的四大小生，若是将马国明换成黄宗泽，那就更养眼了。当然，少爷依旧是最帅最出彩的角色。            
(3星)	 看帅哥而已。            
(NA)	 里面的女人..没一个见过            
(4星)	 林峰啊林峰啊林峰。。。            
(4星)	  陈键锋 吴卓羲 ....hiahiahiahia            
(3星)	 追得好辛苦，粤语版剪辑得乱七八糟。            
(3星)	 当喜剧看的~~少爷用粤语叫“芷妍”两个字非常有笑点~~            
(4星)	 好看~哈哈哈~我两天就看完了~            
(4星)	 四个男淫一人一颗星...女人都闪边去            
(3星)	 很一般很一般。。。有帅哥又怎样。。。            
(4星)	 Sammul好帅            
(3星)	 剧情NC到一种境界。。不过看看四小生还是很养眼的。=v=            
(3星)	 我家吴卓羲啊~~~~~            
(3星)	 剧情人弱智不过演员都很喜欢。。。难得的从第一集追到最后一集的，虽然我只是去HC四个男主的。。。            
(5星)	 非常喜欢！            
(3星)	 结局遗憾了我们一帮人，想知道芷研到底那段感情是真的            
(3星)	 一般吧            
(4星)	 忽略掉剧情的漏洞百出和女主的平庸之姿，四个难得一聚的男主就是支持看下去的绝对性理由            
(5星)	 当初为了林峰看的。。不喜欢徐子珊~            
(4星)	 苗Q 冷追果然配 -.-||            
(3星)	 少了黄宗泽，但是还是不错的，因为有苗苗~            
(5星)	 冲着这四个帅哥也值得看呀！！！            
(4星)	 剧情实在很欠扁..可是男人都很好看...            
(4星)	 冲着苗和肉看的。。。            
(NA)	 前半段的无情(强调一下是粤语版)让我在那几周里成了林峰贴吧的常客,也由此了解到探班一族的苦与乐/傻与痴.林版无情与温书里的无情在性格上有巨大的差异,但不知怎地会觉着两者的气质很相合.            
(4星)	 之后去找原著，看了一半发现还没写完，郁闷……            
(3星)	 帅哥配美女的电视剧，剧情一般，看看还是可以的！            
(4星)	 还是养眼            
(3星)	 纯粹为了看帅锅。恩            
(2星)	 上当了 一般~            
(5星)	 帅            
(3星)	 林峰还是这么帅。。虽然造型有点傻            
(3星)	 四个大帅哥 呵呵            
(3星)	 无语            
(3星)	 四个帅GG.马明那张脸依然很正直..越来越喜欢陈苗苗..追命也是很讨喜的一个角色..超讨厌桑芷妍..尤其还是某徐演..            
(NA)	 090523 皮皮            
(2星)	 这么烂的剧我竟然还看了，真是惭愧～            
(4星)	 剧情狗血……不过人还是很满意的~~            
(4星)	 林峰很帅, 啊Ron让我失望了..            
(4星)	 冲着人去的　案件一般            
(NA)	 一部偶像剧            
(NA)	 最后一集    ：“我没这么伟大，我所做的一切都只是为了你，我喜欢的和我关心的就只有你 ，你一直相信我 ，我不能再让你失望。”            
(5星)	 fung forever            
(3星)	 剧情太烂……主要看演员……哎            
(3星)	 从喜感的角度说，很好笑啊，吃吃吃....            
(NA)	 一个字，雷。两个字，弱智。真的很弱智的一部电视剧。编剧是不是以为我们都没智商啊。写这种简单的案子来忽悠我们。场景单一化。所有的案子，都是那一个场景……让我很佩服TVB的节约。里头唯一让我激动的就是那几个帅哥。尤其是马国明，太可爱了。应该说，我是因为马国明才把这部电视剧看完的。不然打死我也看不下去。尤其林峰喜欢的那个白痴女人，看的我纠结的很。又丑又笨，为啥当女主角了呢。            
(5星)	 灵的灵的 第一次会看古装剧看的那么则经的……            
(3星)	 看帅哥的~~            
(NA)	 四小生哦，都是我喜歡的哈哈            
(3星)	 是这部剧让我喜欢上苗苗的。其实林峰也很帅            
(NA)	 人都不错，剧情无语了一点~            
(4星)	 满好看地            
(3星)	 出场就感觉是小说改编，果不其然。出品很久才偶然开始看，原来还蛮好看的。破案喜欢，不过又是为了推翻大奸臣的，不太喜欢这种沉重感。最糟的是一晚上看了8集后直接跳到了最后一集，第二天没兴趣看中间了。。。            
(3星)	 四人很帅！            
(3星)	 哎，以为很精彩，结果很失望，无情很聪明的角色被编剧改的很傻。            
(2星)	 为了吴卓羲来看得 结果编剧把他演那么少还那么丑..结局也恼火得要死            
(3星)	 觉得他们不错            
(4星)	 我加苗小追            
(2星)	 白瞎了这个阵容            
(4星)	 不喜欢结局。。可能太过于崇尚皆大欢喜            
(3星)	 很一般～            
(NA)	 很无聊很无聊太傻了            
(3星)	 偶就看人~            
(4星)	 太逗了~~无情装柯南~冷血有点脏~铁手很老实~~最最最最可爱的就是苗小追啦！~~哈哈哈哈哈哈哈哈            
(5星)	 冷血很帅~~~喜欢            
(4星)	 帅哥如云，十分养眼，扣的一分是因为最讨厌的徐子珊。            
(4星)	 TVB的四大帅哥！感觉马国明有点二百五。林峰演无情并不真的无情。只是可惜了，他被爱受伤。感觉TVB的古装很好看。虽然场景不多。。。            
(3星)	 哈...            
(4星)	 主角都蛮赏心悦目～            
(3星)	 这部剧没有一个女人好看。。太坑爹了            
(3星)	 虎头蛇尾            
(5星)	 TVB昔日力捧的四子，再聚首之日要待何时？！            
(5星)	 十分好看!!!            
(3星)	 老实说，不是冲着四大名捕这个噱头和林峰，我真不会坚持看下去...            
(NA)	 典型的TVB剧情，闲暇之余娱乐一下生活...            
(4星)	 劇情不是很精彩            
(2星)	 哎！！！！真不明白当初为什么每天追看。因为好看的都看过了。            
(2星)	 剧情太烂            
(3星)	 追了10集，放弃。。            
(3星)	 本以为是武打片，没想到是名侦探柯南。            
(NA)	 马国明！！！            
(3星)	 三星给剧中的帅哥哈。            
(NA)	 喜欢都没在一起的结局，这才是少年四大名捕！            
(4星)	 结局实在是太狗血了            
(3星)	 The four            
(2星)	 编剧是NC，瞎了演员和题材            
(3星)	 不是我说剧情真不怎样我完全是去看演员的            
(3星)	 嘿嘿。还行嘛。比较喜欢无情            
(2星)	 TVB依然那么磕碜            
(3星)	 tvb不适合拍古装            
(3星)	 结局有些失望了~            
(4星)	 还少一个黄宗泽            
(NA)	 虽然剧情有很多漏洞，但知道一看，毕竟是“四大名捕”嘛！            
(2星)	 TVB拍武侠片何时能靠谱！            
(3星)	 古装破案剧，虽然有点无聊，但为了林峰同学我还是看完了…感叹总是被女人骗的少爷，啧啧…以及女人们都好丑…            
(3星)	 雷片！！！徐子珊好遭人憎啊            
(3星)	 看在四个帅哥的份上,勉强给个三星吧...            
(NA)	 一般般,女主格外雷人            
(NA)	 TVB四大当家小生的阵容，绝对没得挑，任务性格拿捏的也很到位。吴卓義酷酷的造型很man            
(4星)	 恩恩恩~看的也算是带劲儿了~虽然有点子俗套~但是打发时间来说~这算是部好剧~并且。。从最后1幕来说。。。老娘真的很久没有这么大的“惊喜”了。。。~            
(2星)	 虽然被人骂得很厉害，但是还是要看的……            
(5星)	 其实还是不错的说，尤其是和另外某部比，看完了就两个感觉，一是果然tvb的片子至少能看。第二是对温老爷爷的书产生的兴趣            
(NA)	 林峯好有味道            
(4星)	 第一次蹲点看电视剧，还行ba~~~            
(3星)	 如果把这当作一部古装偶像剧，基本还能让人满意。毕竟在演员和场面上都花了不少心思。第一次看陈键锋演戏，感觉与其他三位相比，他的追命是个亮点。看这类剧集，你最好首先和原著、尤其是历史划清界限。所以四大名捕个性的削弱，硬为他们设计的感情戏，“高科技”武器，乃至蔡京谋反这类荒唐剧情也就不必计较了。            
(NA)	 好中意林峰啊~~            
(2星)	 哎 瞎编            
(4星)	 tv版居然比dvd版少一集，剪掉了46分钟的片子，哎，剪掉的还都是ron的戏份，难道tvb要放弃他......            
(4星)	 感觉是林峰=柯南，什么密室杀人么啊，孤岛啊。。。            
(5星)	 超喜欢这部电视剧~在看第二遍了! (2008-12-05 21:29) 一直听西瓜爸爸在耳边叨叨TVB怎样怎样,当时总觉得这个是电视上随便看看的片子而已,不用下载看吧,不用买碟看吧.没想到机缘巧合的下了这部片子,瞬间就爱上了,没日没夜的看了2天2夜,回味无穷啊!故事情节很紧凑,虽然有的地方会有BUG,不过娱乐嘛,抱着娱            
(3星)	 只是冲着四小生去的            
(3星)	 结局有些仓促，还是传统的港式武打言情片啊，打着悬疑的旗号，其实破案的剧情都是抄袭的。不过总体上来说比其他的四大名捕剧集好的多。            
(3星)	 虽然只是角色安排，但是还是最讨厌无情和姓桑的……真的是无语了，一个瓜，一个贱，还真是配对呢~            
(2星)	 看不下去，各种顶不顺            
(2星)	 吴卓羲呀，就为他看的，结果镜头不怎么多。可恶的是结局编剧太鹾了吧，草草收尾。我喜欢大团圆，俗套却温暖。            
(2星)	 改的实在是有点烂            
(3星)	 除了四小生还是四小生            
(3星)	 虽然主角很有吸引力但编剧太差，有些失望            
(4星)	 林峰,陈键锋,吴卓曦,马国明那个女主角忘了名字,还是喜欢长脸的人,还有喜欢同龄人            
(2星)	 狗血剧情            
(3星)	 演员喜欢。。剧情一般            
(4星)	 终于以龟速看完了。。突然有点舍不得。。            
(2星)	 = = 演员很养眼,至于改编后的剧情嘛……            
(3星)	 由此看是讨厌徐子珊            
(3星)	 为爬墙而去。却和最爱的作者站错了队。捶墙。&gt;&lt;            
(4星)	 吴卓羲 型啊！            
(3星)	 不是一般的难看,是灰常难看            
(4星)	 应该会有续集排吧..            
(5星)	 刚跟完 不错             
(3星)	 马国明 吴卓羲 林峰 陈键锋             
(2星)	 -_-....            
(3星)	 只为颜……            
(2星)	 有点失望            
(3星)	 无情的判断力好强啊！            
(3星)	 纯粹是为了看帅哥！结局有点……            
(3星)	 好多帅哥，剧情一般            
(1星)	 真难看！！！TVB居然没落到弄出这种东西。。。。            
(4星)	 風格已經明顯。無法抹去。重要的還是在劇情。接受度比較高。            
(NA)	 to 超超，哎，没办法，烂到如此我也看完了，不就是为了帅哥么，我容易么我。。。            
(3星)	 TVB就爱讨好师奶，所以女角都很龊            
(4星)	 我爱S4。给那些个无可复刻的回忆作结尾。            
(NA)	 快看完了，男的很帅，女的一般，似乎TVB的编剧越来越抽筋了……不过，还是蛮好看的            
(NA)	 特技不泛滥了，感觉好多了，结局嘛，也挺好的～后半部分情节逐渐俗套了            
(3星)	 马国明 铁手 喜欢 老实人·~~~~~            
(5星)	 正在进行中            
(2星)	 怎么感觉评价不高~的确不好看的啊            
(4星)	 四大帅哥~就是一个看的很大理由            
(1星)	 冲着男人看的,剧情一般            
(3星)	 真是只是用来YY==            
(NA)	 打发时间呗~~看完了，还是觉得只能用来打发时间而已，都拍成啥样了            
(3星)	 因为这个结尾,我决定少一颗星!            
(4星)	 很好。。。。            
(2星)	 太糟糕了，这么好的原著，难得四小生齐集，拍出来的感觉极其粗糙，场景还有特技给人感觉太马虎了，角色塑造也与原著人物感觉相去甚远。            
(3星)	 最后很扯 帅哥们看看未尝不可 哈哈            
(3星)	 我承认我只是冲着四个人去的，我足够庸俗。            
(NA)	 改编水平一般,角色塑造明显不到位唯编剧颇见用心            
(3星)	 一般般啦~喜欢看的都是去看帅哥的。。。。又没有林生。。。。            
(4星)	 TVB四大小生出演，想看看！            
(2星)	 前面ok 后面的话 有种 紧赶慢赶 终于完了的感觉            
(3星)	 soso 吴卓羲在走啥路线啊            
(3星)	 喜欢追命            
(3星)	 太难看,没看完.完全不喜欢徐子珊的说.            
(4星)	 还是觉得港剧比较和我胃口。。呵呵            
(4星)	 就我看到的这十集来说 还算是TVB最近几年比较好的古装电视剧            
(4星)	 4个猪脚的表演都挺有新意呢～            
(4星)	 极为豪华的男主角阵容，就不能配备相应程度的女主角阵容？            
(3星)	 当时真的很喜欢徐子珊的杀手造型。比厉胜男酷很多。            
(5星)	 123            
(3星)	 看SG啦~ 哈哈            
(3星)	 喜欢追命...            
(3星)	 只想说，太浪费演员了，tvb这几年的编剧唉，最传统的强项刑侦剧和武侠剧，都成了鸡肋。。明年不知道家族剧能拍成什么样，虽然在我看来，创世纪之后再无大戏。。说回四大，腐太少，bg又不萌，除了铁手也没一个人he，也是，如果szy最后成功洗白，我会更不爽，其实这种角色完全可以让大家又爱又恨的，还是那句，编剧都干嘛去了            
(4星)	 结局真的太让人郁闷了            
(3星)	 很喜欢这四只。。但是全部毁在那个徐某某身上。。            
(3星)	 很好  很强大            
(NA)	 无聊剧            
(2星)	 看了15集我决定不看了，每次看都睡着            
(3星)	 很香港的古裝劇。。。            
(NA)	 看了开头将近10集 觉着编剧太恶心 么看下去 ~            
(NA)	 有点失望，剧情太。。。。            
(NA)	 都是喜欢的主角！            
