http://movie.douban.com/subject/2347271/	萧十一郎
(4星)	 终于有个fall in love后不是那么白痴任性的女主了            
(4星)	 很不错 喜欢            
(5星)	 30集以上的电视连续剧中,除了&lt;武林外传&gt;,我唯一认真看完而且喜欢到不行的就属这部了吧...PS.一首&lt;转弯&gt;我一听就是好几年...            
(5星)	 百看不厌啊。。。。            
(5星)	 看了书还有其他版本，这版最喜欢的            
(3星)	 大陆 古装 电视剧             
(5星)	 经典啊！！！！！！！！！！！！！！！！！！！！！！！！天呢！！！！！！！！！！！！！            
(3星)	 特技很烂！            
(3星)	 一度很羡慕沈璧君            
(NA)	 他遇见了生命中的她            
(4星)	 朱茵的扮相很惊艳～赞～　吴奇隆一直稀饭的，冲俩人，也要看完额！何况虽然遭非议仍然大团圆结局～～～我就是喜欢这个～            
(NA)	  嗯！            
(NA)	 喜欢朱茵！！            
(4星)	 最后一集十一郎被砍的身负重伤还不还手还要对身边的人笑，真是惊心动魄。            
(4星)	 转弯很好听            
(3星)	 其实算是不错的            
(3星)	 情节老李把早忘记了，现在吴奇隆还在里面耍帅，感觉就有点特老了，当小虎队盛行的时候，这男的耍帅还是很帅的            
(4星)	 萧十一郎一觉很棒            
(3星)	 一般            
(NA)	 就是爱这个版本,就是喜欢死了这一对鸳鸯仙侣.            
(3星)	 于波的连城壁还成，杨俊毅也挺帅            
(5星)	 古龙武侠史上转型之作；古典与现代的完美结合            
(5星)	 wonderful!!            
(4星)	 那一阵子看了《少年王》迷上吴奇隆，看萧十一郎的时候觉得一身黑衣的吴奇隆真的是帅到极端啊            
(3星)	 安徽台的广告做得好，我高一暑假就耗在这些电视剧里了            
(4星)	 主题曲赞！手链赞！！            
(5星)	 超爱！喜欢古龙～尽管电视剧总是被改得面目全非～            
(NA)	 朱茵终究成了花瓶，马娅舒的风四娘很有特点。无怪乎此剧之后，吴奇隆和马娅舒成了一对。于波的连城壁也很好，比较邪            
(NA)	 还是看了，断断续续的看完了。。。我迷萧十一郎而非吴奇隆，呵呵            
(5星)	 我最喜欢的电视剧之一，拍得真的很好。            
