http://movie.douban.com/subject/2279817/	都是天使惹的祸
(4星)	 当时觉得还好看的            
(3星)	 年轻时候总有灰姑娘之类的美梦……            
(4星)	 小孩子看看满有趣            
(4星)	 小时候好喜欢看呀~            
(3星)	 说真的  不记得了            
(3星)	 天使 不好当啊。。。            
(3星)	 当年的李小璐真青葱            
(NA)	 李小璐成名作，每次看任泉都像吃了怪味豆一样难以言喻            
(4星)	 六年级暑假放的，当时感觉也挺好看的，            
(4星)	 “小~如~”！            
(4星)	 看的时候觉得很好看又很搞笑            
(3星)	 简单的纯情三角恋~            
(4星)	 曾经很喜欢，看俩人在一起就觉得很甜蜜            
(3星)	 看过几集            
(NA)	 这是什么时候的事咯，轻松剧。            
(NA)	 儿时回忆怎么能漏掉这部！！            
(2星)	 第一部偶像剧            
(3星)	 居然看下来了。。。            
(4星)	 小时候的那个喜欢啊，偷偷看，原声真好听            
(3星)	 我很喜欢这个的！！！当初演员真是各种美好啊            
(3星)	 儿时的回忆之一。            
(3星)	 还是歌经典啊，金海心的。            
(NA)	 除了李小璐、任泉，还记得郭涛和佟大为呢！            
(3星)	 小时候看的偶像剧？            
(5星)	 最爱的青春偶像剧~任医生白衣利落，小璐俏皮可人，是很多年前的童话。            
(NA)	 哇 小学时候看的了！            
(4星)	 当年大家都还很年轻            
(5星)	 小时候看得很开心呢。            
(5星)	 那时候很爱看啊！！！！！            
(3星)	 哈 那时候超喜欢任泉~其实有点儿像《恶作剧之吻》，笨笨的护士和优秀的医生神马的，不过没那么夸张。。。            
(3星)	 老娘看过哈哈哈哈哈哈哈哈            
(NA)	 演员们都红了            
(3星)	 各种回忆。。。            
(NA)	 童年的记忆            
(4星)	 挺好看的~那时候觉得李小璐长得真美~            
(NA)	 偶像剧启蒙            
(4星)	 超喜欢任泉和李小璐搭配            
(NA)	 好久的电影了，年少的青涩和心动。http://shop58153259.taobao.com/            
(4星)	 我爱看            
(5星)	 那时真的很喜欢            
(5星)	 最早看得第一部偶像剧吧            
(NA)	 哈哈哈~~            
(4星)	 那是觉得任泉巨帅。。            
(3星)	 主题曲印象最深刻            
(3星)	 最早是在报纸上看的分集描述，然后自己脑子里会想象人物，后来看了电视，发现跟我想象中的完全一样！也是我的一个回忆  还把护士生活想的特美好！            
(3星)	 真是神马都看过啊....            
(5星)	 情节好，演员们的演技好，一切都很好~刚出道的李小璐演技的确不错            
(3星)	 现在觉得很无聊的            
(3星)	 为数不多看过的bg肥皂剧之一，当时就觉得任泉怎么那么受呢！            
(4星)	 很喜欢任泉当时，现在看的话，觉得毫无演技啊........            
(3星)	
(4星)	 女主跟我名字一样哈。            
(4星)	 那时候喜欢李小璐啊             
(4星)	 麻麻不让看TV  是“听”完的            
(5星)	 小如真是可爱的要命啊。任泉也是个大帅哥捏！美好的医生恋情啊~            
(4星)	 当时好喜欢任泉            
(NA)	 那时候还不很喜欢任泉，感觉他怪怪的            
(NA)	 小时候觉得李小璐超美。            
(4星)	 个人觉得是大陆里第一部算得上好看的爱情偶像片。            
(4星)	 我真的什么也记不得了   最多一个模糊地印象……            
(3星)	 小时候。。。            
(4星)	 小时候觉得 很美好的一部电视 这是一个美好的桃花源爱情故事            
(4星)	 当年我多么喜欢李小璐，多么喜欢任泉。            
(3星)	 我挺喜欢这部的。李小璐和任泉。任泉哪儿去了？怎么现在一点声音都没了。            
(3星)	 任泉好帅！！！郭涛好猥琐！！！李小璐去死吧。。            
(3星)	 那个时候还是蛮喜欢的亚            
(4星)	 当时很喜欢这部片。。因为任泉和李小璐。。。一直希望他们能在一起。。片中郭涛很讨厌~~~            
(3星)	 小时候大家都爱这种傻逼医疗爱情剧            
(5星)	 当年那么迷恋的一部片子。还和妈妈一起看的。            
(5星)	 任泉小帅哥， 佟大为也不错            
(NA)	 喜欢李小璐。            
(4星)	 这款。记忆啊。            
(4星)	 那会儿看着挺好，年代不同了            
(5星)	 李小璐不再是当年的李小璐            
(NA)	 很喜欢            
(NA)	 欢欢乐乐的轻松剧。李小璐一出来真的很像周迅~            
(4星)	 关于国产电视剧不多的比较欢乐的记忆之一！            
(5星)	 啊啊啊啊啊~~太激动了！超喜欢这部戏的李小璐和任泉！            
(5星)	 这是我第一部从头到尾看完的电视连续剧，虽然从现在的角度看来这部电视剧也就只有一般而已，但是童年是美好的，里面的一些歌曲，如金海心唱的，也都还是很好听的。            
(4星)	 当初看的时候觉得不错,挺逗的,现在都记得护士长的小蜜蜂歌            
(4星)	 林小如？            
(5星)	 天呐  我当年超爱这部剧。            
(NA)	 一个年代的标记啊            
(3星)	 较早接触的偶像片了            
(NA)	 早看的额            
(3星)	 小学时特喜欢的电视剧            
(4星)	 小学的美好回忆，当时觉得太搞笑了。            
(3星)	 以前看的 补上...李小璐很可爱呀~~~            
(4星)	 我是有多无聊。。            
(3星)	 作为那么早的偶像剧，真的很成功呢，李小璐和任泉真是绝佳搭配呀~~据说在台湾也红了一阵儿呢~一点都不恶俗，赞一个~可惜以后也不会有人看了，只能用来怀旧啦~            
(4星)	 就记得郭涛是个混蛋了            
(3星)	 这里面的张延超气质，后来玉观音什么的怎么不对味了            
(5星)	 不知道为什么，当年大爱这部片            
(3星)	 那年李小璐还没整容。。。。            
(4星)	 当年脚得这样的爱情很美……            
(NA)	 只记得主题曲是金海心唱的《别太骄傲》什么的。。。            
(2星)	 小學看的弱智電視劇            
(3星)	 当年很喜欢            
(1星)	 没觉得好看过。            
(4星)	 记忆            
(3星)	 小时候天天守着电视机看。。。            
(4星)	 因为这部电视剧而喜欢上李小璐            
(5星)	 现在大陆的偶像剧没有一部能超越这个，什么奋斗啊，我的青春谁做主啊 看起来怎么一点都不偶像  只想呕吐啊            
(3星)	 我记得小护士挺漂亮的            
(3星)	 纯纯的~            
(1星)	 记得小路把自行车轮胎打爆的镜头            
(NA)	 多萌李小璐啊            
(4星)	 李小璐，任泉            
(NA)	 别那么骄傲            
(3星)	 喜欢张延才看的            
(4星)	 任泉什么的一直都是我爱 金海心的主题曲也是秒死我 后来还买了她的碟            
(NA)	 李小璐还是这时候自然啊            
(4星)	 李小璐你那时候很漂亮知道伐！            
(4星)	 那个时候特别喜欢李小璐，虽然常怪角色傻了吧唧吧……            
(NA)	 都是折翼天使有木有！！！！！            
(5星)	 多少年前的回忆了            
(4星)	 爱这个。            
(3星)	 当年李小璐还是我大爱啊            
(3星)	 为任泉而看。。。实际上很一般。            
(NA)	 任泉可是当初的白马王子呐~            
(NA)	 李小璐那会比现在整完之后的自然多了去了，透着股傻气，本色。            
(3星)	 童年记忆            
(2星)	 周迅 小璐 傻傻分不清楚            
(4星)	 喜欢那个时候的李小璐、            
(4星)	 年幼记忆。            
(NA)	 当时很喜欢金海心那首别那么骄傲            
(1星)	 任泉小卷毛~            
(3星)	 那时还年轻啊            
(4星)	None
(3星)	 我老娘超喜欢李小璐，我就搞不懂了~            
(NA)	 主题曲是我第一次登台的歌！            
(4星)	 推荐是因为那时候很喜欢   其实算是比较喜欢那时候的任泉   主题曲不错~~~            
(4星)	 。            
(5星)	 哈哈哈 那时候的郭涛。。。。。。。哈哈 李小璐从小就很可爱~~~            
(4星)	 那会好喜欢李小璐。。。            
(3星)	 早年的偶像剧，喜欢李小璐和任泉，想来张延已为人妻，而李小璐还是嫩嫩的样子。            
(5星)	 啊。童年。。。            
(3星)	 糟糕。我爱的比你早~            
(3星)	 李小璐现在的假脸...            
(3星)	 第一次看到李小璐，感觉真像周迅啊，那时张延还年轻啊            
(5星)	 太好玩了！！！            
(5星)	 ～            
(4星)	 小学还是初中看的==当时很喜欢啊，呵呵            
(4星)	 记忆中关于此剧的一切都是美好的~            
(3星)	 主题曲很好听            
(5星)	 当时李小璐青葱啊，那个女医生好好看啊~任泉好青年啊。我姐当时刚当护士她就重温这部剧她说你看那个林小如被欺负得多惨我就被欺负得多惨，所以后来我妈让我读护校我坚决！！！不！！！去！！！            
(NA)	 小学的回忆，哈哈哈            
(3星)	 听了那些骄傲，想起若干年前这部电视剧，翻出来看看.....哈哈            
(3星)	 说实话里面一众主角都不是我的菜            
(5星)	 没有理由的喜欢            
(3星)	 矮油 那时候太喜欢李小璐了 ~真可爱~~觉得任泉帅几乎是我这辈子觉得帅的唯一男人了...现在..李小璐你好丑 张延倒是挺好看的 当时没觉得...            
(3星)	 当时我很注意她的好朋友佟大为的这个角色 当时觉得他会红            
(4星)	 主题曲现在还记得            
(4星)	 你欠我一个拥抱~~~~~            
(4星)	 原来 小时候真的是电视控            
(4星)	 李小璐可爱呀            
(4星)	 那时候小璐很好看            
(3星)	 不知道为啥，总觉得女主得长的最甜美最无敌最天真最可爱！            
(4星)	 诶，没整过容的李小璐真的是相当可爱啊            
(3星)	 李小璐啊，这个是小时候的记忆。            
(NA)	 喜欢李小璐，从这里开始。            
(4星)	    李小璐笑起来好甜啊 、            
(3星)	 最近我听到我爸在看这剧（囧~）            
(4星)	 很喜欢的好伐！！！            
(5星)	 当初超喜欢的。            
(4星)	 印象深刻啊，任泉和李小璐~~            
(4星)	 还有点意思。            
(3星)	 哎，我当年看过此片。            
(4星)	 小时候百看不厌的电视剧！！！            
(4星)	 美好的记忆啊！！！            
(5星)	 也是小时候最爱看的电视剧了，那个时候买那些美美的纸条抄歌词，这剧的那么骄傲我至今还保存着，这些电视编织了我们对美美爱情童话的幻想。            
(NA)	 掩面~2000年我也不小了~怎么还追这么幼稚的电视剧啊~这里有佟大为~印象好深刻~反而大家因为奋斗开始认识他~我倒么兴趣了~            
(4星)	 那群清纯的人啊～～～            
(5星)	 真爱多美好。            
(3星)	 早期的青春偶像剧            
(5星)	 我觉得很好看呀            
(5星)	 很喜欢这个喜剧。            
(3星)	 大陆大龄青春偶像剧青涩的鼻祖            
(5星)	 觉得超好看啊！            
(3星)	 曾经很喜欢很喜欢，那种淡淡的感情，含蓄的感情~~~            
(4星)	 当时好喜欢金海心            
(5星)	 当时真的很好看，每次重播还是会看            
(5星)	 BOBO  哈哈哈            
(4星)	 小时候觉得任泉好帅啊……            
(3星)	 不明白那个时候为什么那么喜欢看，可是李小璐演的挺好的            
(3星)	 典型的迷糊灰姑娘和高大全王子的偶像剧模板。那时候是李小璐和任泉最红的时候了吧……            
(NA)	 汗颜啊。            
(3星)	 但是看完超级喜欢任泉和李小璐。。。记得有一段他们不得不分手还难过了好几天来着。。。            
(4星)	 暑假的祸害啊···            
(4星)	 任泉=天使 那是和表妹一起流着口水看着任泉的年代            
(3星)	 中学时的最爱呀，那时都很美好            
(5星)	 小时候看的，可喜欢了            
(NA)	 这我都看过啊....            
(5星)	 国内最爱偶像剧之一，那个时候的任泉很帅啊，虽然有那么点矫情，那个时候的佟大为还没这么贫啊，但是很阳光，那个时候的李小璐还没整容啊，但是很清纯，那首主题歌也很好听很好听！            
(NA)	 妈妈说:护士不是这样上班的!            
(4星)	 童年夏天的回忆，美好            
(4星)	 俊男美女的组合啊            
(4星)	 偶像剧？？            
(4星)	 当年的任泉，当年的李小璐，真可爱            
(3星)	 小时候觉得这剧真TM好看，现在也不怎么觉得了= =            
(4星)	 还不错。            
(3星)	 记得女主特喜欢爱江山更爱美人这歌            
(NA)	 当年任泉一口一个帅，喷泉吻戏看得超激动。现在。。。            
(2星)	 当年陆涛是怎么巴结杨晓芸的。。。            
(4星)	 哎呀 当时迷死这个片了             
(NA)	 小学时候看的            
(5星)	 天使            
(4星)	 只有这个能比肩将爱了吧            
(3星)	 以前上学的时候喜欢看。。虽然觉得演员演得都特假，哎            
(4星)	 泉锅锅啊！！！            
(3星)	 每次都看不到最后一集。我恨广告。            
(4星)	 脑子里还回想着金海心那主题曲呢！            
(4星)	 就是看这个喜欢李小璐和任泉的~            
(3星)	 哈哈哈，连这都有~！            
(3星)	 还记得大结局那天全家人在灯光球场跑着回去看，还有好吃的洋芋……            
(4星)	 1998年            
(3星)	 山楂蛋糕...金海心是不是就靠这个背景音乐红的            
(4星)	 李小璐刚出场的时候我还纳闷周迅脸怎么跟被踩瘪了似的…            
(3星)	 看完这部电视剧让我有学护士的想法            
(3星)	 曾经看过，记不得了            
(3星)	 任泉            
(4星)	 好早以前的事情了。。。            
(4星)	 小茹和我一样，都是麻烦鬼！            
(4星)	 这个绝对是我印象中的青春偶像剧的经典之一阿            
(4星)	 风靡一时的电视剧，记得当时还有人问我“李小璐”和“周迅”谁比较漂亮            
(4星)	 有点像一吻定情的感觉。迷糊女和精英男。那是很爱看            
(5星)	 小时候电视里放，连奶奶都在看啊！            
(4星)	 李小璐原来可真是嫩疼.            
(4星)	 那么骄傲            
(3星)	 当年觉得李小璐美的不得了~！            
(4星)	 初一的时候追这部片，那时候很喜欢任泉，发现我就是一花痴            
(5星)	 那么骄傲 这首歌还是很好听的            
(4星)	 青春小护士，还挺搞笑的。喜欢这剧里的张延，多知性啊。            
(3星)	 记的看的时候还很小            
(4星)	 认识李小璐的作品，第一次看见并喜欢佟大为就是这个，即使他还只是个配角            
(5星)	 任泉和小璐多般配啊            
(5星)	 其实我挺喜欢李小璐的。。。            
(4星)	 任泉大帅哥~~~~~~~~            
(3星)	 以前电视上看过一部分。李小璐是演这个开始火的么？            
(4星)	 记忆中第一部偶像剧            
(4星)	 曾经看了一遍又一遍。            
(3星)	 嗯，偶像剧，情节很无聊            
(3星)	 大家都很青春啊            
(4星)	 很久很久以前看的了…………当时很喜欢            
(4星)	 傻妞~~            
(3星)	 这部戏认识了好多人= =            
(4星)	 那时真的痴迷了。            
(4星)	 那时就觉得任泉这小伙儿挺帅，现在还觉得不错。            
(4星)	 那是多小的时候。。。。            
(4星)	 小学总是看嘛            
(4星)	 当时就觉得李小璐和任泉就是金童玉女最好的诠释！现在李小璐整的面目全非了。。。任泉也不是当初的小白脸了，一脸的沧桑。。。            
(3星)	 卧槽。好老的电视剧！            
(NA)	 = =            
(2星)	 我怎么原来看了这么多乱七八糟的电视剧……            
(4星)	 算是偶像剧吗            
(4星)	 那胖子对邵建波（是这名字吧..）说   如是我的，笑死了            
(4星)	 那时多可爱            
(3星)	 纯不记得            
(5星)	 这是我小时候接触的第一部偶像剧呢``            
(4星)	 青春的小路            
(3星)	 金海心和豆豆唱的主题曲让我怀念夏天            
(4星)	 童年，童年            
(4星)	 第一次听金海心            
(3星)	 当年我也看过一点，任泉和李小璐都不错，很喜欢            
(3星)	 李小璐。。            
(4星)	 经典！李小璐是护士那个            
(3星)	 据说这是大陆第一部偶像剧。            
(3星)	 小时候看的算好的偶像剧了。。。            
(3星)	 纯偶像剧啊~~那是觉得张延好漂亮呀~            
(2星)	 ·········汗            
(4星)	 小时候的记忆            
(3星)	 纯粹冲演员去的～   小璐  任泉   张延都是喜欢的形象^_^v   剧情本身没啥～    个人喜欢张延那样的女人    不知道是不是因为留学回来的女生  身上带有一种稳重    一种能独当一面的感觉……            
(5星)	 好爱那时的小璐，后来就变杨晓芸了，就像大表姐的成长            
(3星)	 当时看得觉得还不错~            
(5星)	 特别可爱的电视剧啊            
(3星)	 如此怀旧            
(3星)	 当年李小璐还是蛮清纯的！            
(4星)	 回家路上偶尔听见那么骄傲，就想起这部让人想谈恋爱的偶像剧。时光啊            
(5星)	 小时候一定最爱这类片子的啊。。大陆的青春偶像剧啊            
(3星)	 李小璐印象很深  其他没了            
(4星)	 记不住是讲什么的了，以前是喜欢看的            
(4星)	 小时候的偶像剧            
(3星)	 我小时候喜欢TAT好傻            
(4星)	 初中时候的萌芽吧            
(5星)	 太强大了~~怀念！            
(3星)	 不喜欢李小璐喜欢主题歌            
(3星)	 原来我小时候看过这么多大俗片啊            
(4星)	 别那么骄傲。。            
(3星)	 多青葱啊。。            
(4星)	 我喜欢这个时候的任泉~我脚得姓任的名字可以叫得很好听。。。            
(4星)	 挺好看的 还记得李小璐晕血的情节            
(3星)	 这个让我喜欢上了李小璐            
(5星)	 199*忘了。。。儿时回忆，主题曲很喜欢            
(4星)	 以前看觉得任泉好帅哦，哈哈哈哈。            
(3星)	 这可真囧            
(NA)	 小时候看的            
(2星)	 小时候觉得啊李小璐怎么就笑的哭的都那么好看            
(1星)	 知道了李小璐            
(5星)	 当时觉得···很好            
(3星)	 想当年俺是多么喜欢这个叫李小璐滴姑娘啊~            
(3星)	 真是很经典，小时候很喜欢看希望小如和邵剑波在一起，为了工作重新剪辑却觉得这个片子不过如此。            
(5星)	 片头曲记忆深刻            
(5星)	 经典剧            
(5星)	 很喜欢李小璐，可爱~~其实觉得李小璐和任泉挺配的，嘻嘻            
(3星)	 泉哥不太给力            
(5星)	 特喜欢张延。。。            
(NA)	 其实我曾经也是电视剧女王！！！！！！！！！！            
(4星)	 高考完超迷恋的一部电视剧。。。            
(3星)	 李小璐真的很像周迅，当年一度认为李小璐比周迅漂亮，时间流逝，才发现周迅才是真正风情灵动的女子，非李小璐能比。            
(4星)	 那个时候还觉得任泉长的白白净净蛮好看...死GAY同志~这部片子骗了我多少心跳~讨厌死了~            
(4星)	 有点喜剧的感觉，李小璐            
(4星)	 小学时的戏了，唉~~            
(3星)	 金海心·那么骄傲            
(4星)	 这部剧印象很深，因为金海心的声音，那首歌非常好听。            
(4星)	 想当年我才上初中…身边的人都很迷恋…呵呵…我当时比较喜欢任泉和张延……那个金莎真的好像好像张延…都很喜欢她们            
(4星)	 凭什么不喜欢呢~~多可爱的电视剧~~            
(3星)	 算是早年的偶像剧了吧...任泉也是个始终不红的美人啊            
(4星)	 太久远了            
(2星)	 傻 透了。            
(4星)	 好看诶，当时喜欢上任泉哈哈哈。            
(3星)	 ……好古老的电视剧= =很小的时候看的了。至今记得男主角在结局跟女主角如何和好的：“提问。”“……回答。”            
(4星)	 因为经典            
(4星)	 当时很疯狂。。。            
(NA)	 这个。。。超级好看的呀！啊啊哈哈            
(2星)	 没看完，电视剧俺都没看完过= =没热情，暑期档，摔            
(3星)	 很有意思的电视剧，受老妈的影响，喜欢医院题材的影视作品。            
(4星)	 当时很迷李小璐 就觉得她像周迅 但又不是周迅...那时候还不认识她 还记得佟大为 恩 任泉当时觉得他很帅            
(4星)	 小清新~            
(NA)	 还不知道张延是张延的时候。            
(5星)	 当年的两位cast多么美好，现在……唏嘘……当年的剧多么美好，现在的NC偶像剧……            
(NA)	 其实小时候蛮喜欢的。            
(5星)	 说起这个寝室的人爆发出尖叫声＝＝            
(4星)	 当时总是期待这个最后小璐和任泉好、            
(4星)	 这个应该算偶像剧么?            
(4星)	 那麼驕傲~~KTV必點            
(3星)	 狗血            
(4星)	 我当年真的好喜欢任泉和李小璐啊……            
(3星)	 小如真的是太笨太普通了，但她有着一颗清纯善良的心，我们大多数女孩都是这样普普通通，何时能遇到爱自己、懂自己、不为钱财美色所动的白马王子邵剑波呢？            
(4星)	 有爱            
(4星)	 唔。。还不错的            
(4星)	 喜欢完全是因为怀念初中时光            
(NA)	 小学            
(4星)	 当时觉得李小璐很美 ~~~后来发现张延比较美            
(3星)	 脑残            
(4星)	 小学的记忆啊。            
(3星)	 几岁看的？            
(4星)	 当初好友爱啊。美丽的爱情哈哈哈。            
(3星)	 任泉很久没拍片了            
(5星)	 很轻松，李小璐在里面很可爱。            
(4星)	 我曾留意过任泉，忽略过大为。            
(4星)	 少数的大陆拍摄的我看起来鸡皮疙瘩起的不那么多的所谓的偶像剧            
(3星)	 两个山炮。            
(4星)	 喜欢那里的李小璐，讨厌现在的            
(3星)	 李小璐单纯可爱            
(3星)	 有那么的护士吗 ？哈哈            
(NA)	 当年的李小璐很青春            
(2星)	 医生和护士            
(5星)	 李小璐好可爱哦。这电视剧很友爱。赞。            
(4星)	 都是天使惹得祸。            
(NA)	 那时候的佟大为不帅，却看着舒服            
(NA)	 那时候觉得任泉那么帅            
(3星)	 欢乐            
(2星)	 小璐。任泉！！ 我当时好像你们真的就在一起哦。            
(3星)	 过去都是美好的〒▽〒            
(5星)	 这货不推介太对不起李小璐了！里面的佟大为很青涩呢！            
(NA)	 大爱李小璐            
(4星)	 李小璐很不錯哈。。。            
(4星)	 但年还是比较偶像的电视剧。            
(4星)	 那时候喜欢啊            
(5星)	 当时真是很喜欢那一对            
(NA)	 都快记不到了。。。            
(3星)	 当时很搞笑啊            
(4星)	 ........            
(3星)	 在当时来说也真的是算 青春偶像剧了吧 喜欢里面院长和小如妈妈的那个故事 哈哈            
(5星)	 当年的任泉好帅啊……            
(4星)	 邵健波你个傲娇帝给我童年留下多少阴影！多少阴影！            
(4星)	 初中的暑假，初中补课前夕的暑假嘛！小璐和任泉为可观点～萌～            
(3星)	 看的第一部偶像剧。很喜欢里面的李小璐，虽然现在看来剧情太普通了啦。            
(5星)	 想当年的高水准大陆偶像剧            
(4星)	 喜欢李小璐扮演的古灵精怪的小迷糊林晓如小护士！            
(3星)	 属于童年的回忆，仍然忘不了小如和剑波一起和一杯奶茶的画面，成了我童年时对恋人的所有幻想……            
(3星)	 又是一部很久前的片子了 现在已经物是人非            
(4星)	 那时候的李小璐多好看多可爱啊~            
(4星)	 那时候可是每天必追的            
(4星)	 小时候真是觉得任泉帅的太过分了...老实说，这的确算内地仅剩的很不错的偶像剧....            
(4星)	 小学时候吧            
(4星)	 青春的记忆，金海心的《那么骄傲》当时好喜欢任泉李小璐，郭涛现在好红，重新看一遍，当时喜欢男生穿T外面罩一件格子衬衣，单薄的身板，被风吹起的衣角最喜欢了            
(4星)	 那时超喜欢李小璐            
(3星)	 如果是十年前刚看的时候，我会打5星。那时的年纪就是喜欢看这种童话都不能再童话的故事。现在对这种剧已经不是那么爱了。            
(5星)	 熊锋~从此认识佟大为~            
(4星)	 李小璐当时真是单纯可爱啊            
(5星)	 看的佟大为的第一部戏            
(4星)	 算是偶像剧启蒙吧==            
(4星)	 当时可心动呢。            
(4星)	 喜欢上以前的李小璐            
(4星)	 我还去听金海心的歌了&gt; &lt;            
(3星)	 曾经的爱。。。囧            
(4星)	 看见这片   就想到童年    看的比较早的偶像剧了吧  这算            
(NA)	 喜欢任泉啊            
(5星)	 给五星是因为 这部电视剧是唯一一部我和爸爸妈妈三个人从头到尾一集不落都看完的电视剧 是爸爸住院每晚我们三人共度的时光            
(4星)	 还可以~            
(NA)	 小学最爱啊~            
(3星)	 好吧，那时最爱小璐            
(5星)	 活泼可爱清新。。。。少有的好看内地偶像剧。。。。那是没有山寨。。。            
(4星)	 给我的感觉好象是我看的第一部偶像剧吧```            
(3星)	 当年看的时候，喜欢死可爱的李小璐了            
(3星)	 从此认识李小璐            
(4星)	 清新的李小璐            
(4星)	 当时小璐好可爱！            
(4星)	 小时候觉得任泉不错的~            
(3星)	 就记得当年有个为了博取医生注意的小护士明明深度近视，还脱掉眼镜，结果糗了。@Home            
(4星)	 觉得挺不错的            
(3星)	 我还喜欢过任泉- -            
(4星)	 那个时候好喜欢李小璐的呀。整天闯祸的小护士。            
(3星)	 这个是很早以前的了。            
(3星)	 天使在哪里            
(4星)	 爲什麽給分這麼低？不至於吧= =            
(3星)	 抽！            
(3星)	 那时候觉得任泉好帅~            
(3星)	 不谈后来的话，当时觉得不错            
(4星)	 当时超爱.            
(2星)	 李小璐比较漂亮的时候。            
(4星)	 小时候傻傻的喜欢……            
(3星)	 年轻的任泉和年轻的李小璐。            
(4星)	 大陆最好看的偶像剧            
(4星)	 记忆最深的就是李小璐把车胎打爆了 好震惊 这小女子好大力气啊            
(3星)	 那时好喜欢金海星的主题曲            
(3星)	 记得以前妈妈不让我看大结局，我还在日记骂她来着⊙﹏⊙b            
(4星)	 李小璐同学你看看你现在的下巴成什么样了。任泉同学你就是去开饭店去了吧，话说当年邵建波还是我的理想型。还有那个片尾曲，改次我要去唱唱。            
(5星)	 记得原先每次放暑假都会演，但是每次不等最后一集播出来，就开学了。。。            
(2星)	 当年的清纯小女子，现在的大韩民女！            
(4星)	 李小璐演的还不错啊。            
(4星)	 很可爱啊~            
(5星)	 好喜欢那首歌的说，金海心唱的~            
(4星)	 李小璐演得好，任泉有点装。            
(4星)	 哦哦哦哦(⊙o⊙)哦曾经暑假连放必看的那个            
(4星)	 老爸喜欢里面自恋的二燕和装凶的护士长。很可爱。            
(4星)	 张延很美            
(3星)	 有时挺现实 有时挺虚幻 可能看的时候太小 没能确切理解它            
(4星)	 一直没有完整的看过，第一次是在剪头发的时候看到的，后来就有一搭没一搭的看着了一点，里面小璐姐好小的哦，那时候的我好像还很小            
(NA)	 只记得金海心的声音了            
(3星)	 可爱的剧情            
(5星)	 对男主角的优柔寡断不待见，但很喜欢女主角。            
(3星)	 其实挺无聊的。当时不是小么            
(3星)	 当时觉得好看死了，可惜已经忘了            
(3星)	 金海心的片头曲加了很多分            
(3星)	 哎~王子和灰姑娘的。。。            
(4星)	 就当年来说这样的偶像剧还是很好看的。现在再看应该不合适了。没想到里面有凌潇肃，一直以为小如从小玩到的好哥们是佟大为演的，我错了。            
(3星)	 年幼无知的最爱啊            
(NA)	 我就喜欢蔡美云... 当时老觉得林小如是个2到不行的小三 ...            
(3星)	
(3星)	 这部剧交给了我两个名词 抗生素 番茄酱            
(2星)	 现在想想太没劲了，我要是用看这电视剧的时间来学习，我是不是可以上哈佛？            
(4星)	 当年很爱看            
(3星)	 第一次看的李小璐的片子            
(5星)	 从曾经很喜欢的一部片子，里面的男女主角都很喜欢，喜欢这种纯纯的爱情，也许其中有些小误会，可是。。。。。。就是喜欢，纪念我的那个岁月的电视剧。。。。。            
(4星)	 很喜欢里面的李小璐，纯真的白衣天使！            
(4星)	 任泉啊任泉，歌儿也好听            
(3星)	 想当年看得多津津有味。。。            
(4星)	 小时候看的 有意思            
(4星)	 原谅它是很早拍的 小时候就觉得好看了            
(3星)	 那个时候看的时候，是什么感觉呢？？忘了。。。。。。            
(3星)	 我相信，她们都是一点点红起来的。            
(5星)	 那个时候多爱啊，那个时候多小啊···            
(5星)	 我看过的第一部偶像剧            
(NA)	 觉得李小璐好看啊            
(NA)	 爱情            
(3星)	 从这里认识了李小璐和任泉。            
(4星)	 当时觉得任泉看起来好干净，小璐很可爱            
(5星)	 多搞笑啊！            
(5星)	 这个当初看得也挺揪心的喂~            
(5星)	 那个我追逐的电视剧...记得从奶奶家骑车回家只为了看这个...            
(4星)	 李小璐在里面很乖啊，任泉也是酷酷的帅.勇敢一点，爱情就来了.            
(3星)	 初一 当年超爱            
(4星)	 以前可喜欢了·~            
(3星)	 那时候觉得李小璐挺可爱的呢~            
(3星)	 好老啊！            
(2星)	 看了一遍全忘了，只记得看的时候是很受不了的感觉            
(NA)	 超搞笑，小时候最喜欢的电视剧之一            
(4星)	 很久以前看的。。。不错            
(4星)	 小学时候的东西吗？            
(4星)	 小时候偷偷看的=..=            
(5星)	 经典呀            
(4星)	 从这部片子起喜欢李小璐~~里相任泉阿蛮嗲额~            
(NA)	 可爱的小璐，帅气的任泉医生！            
(4星)	 李小璐那时候还比较可爱 后来奋斗里的就不好看了            
(4星)	 当时我就注意到了佟大为，还在遗憾这个男孩子挺不错的，就是名字太俗，估计出名不了。。。后来，人家《奋斗》成功了            
(5星)	 李小璐和任泉，帅哥美女的组合。            
(3星)	 有时候剧情很让人难以理解            
(5星)	 那时候看可喜欢可喜欢了 觉得任泉特别帅~~喜欢主题曲 金海心的~            
(NA)	 哎哟李小璐            
(3星)	 喜欢歌~~            
(NA)	 很小的时候看得，那时觉得这特别好看，而且是从这开始喜欢上李小璐的。            
(3星)	 小时候爱看得要命            
(3星)	 这个也太扯了。。。。就记得里面金海心的歌了。。。。            
(4星)	 小时候看的。。。当时不懂。。。看着李小璐挺顺眼的，主题曲是金海心的-别那么骄傲，很好听            
(NA)	 一眼就爱上佟大为呀呀            
(3星)	 护士诱惑            
(5星)	 当年不错的偶像剧            
(4星)	 可爱，好看            
(3星)	 bobo~bo~bobo~~            
(4星)	 可爱的李小璐整容了，无法接受。。。张延也养宝宝去了。。            
(4星)	 当初还是很喜欢的~             
