http://movie.douban.com/subject/4851904/	日本人不知道的日语 日本人の知らない日本語
(4星)	 反正我都不知道。记住了两句话：大丈夫=没问题；一期一会 いちごいちえ。            
(4星)	 虽然傻乎乎的但是真的很适合学习用~            
(4星)	 其实我觉得里面的两个中国人都很可爱 戏份也很多            
(3星)	 等我下决心学日语的时候再看            
(4星)	 据说收视很低，但我觉得不错。哈哈            
(4星)	 日剧还是喜欢有意无意的吧中国人丑化一下。            
(4星)	 恩 过于重复了            
(2星)	 一群老外跟一个日本人瞎闹……            
(4星)	 开始挺有趣现在看出套路了就觉得一般了。。            
(3星)	 这群外国学生其实英文都还不差吧。。。。。。说啥都能听懂，还偶尔吐个嘈，绝对可以的！            
(NA)	 仲姑娘很努力，戏就是不长进            
(4星)	 还是要学的东西好多啊            
(NA)	 有些特色。原来做个对外汉语/日语老师是需要博学的            
(4星)	 搞笑            
(4星)	 日本式励志，加上讲解日语（虽然听不大懂），还是值得一看的            
(4星)	 不得不说 对日语到一定程度进入瓶颈难以突破的人来说 绝对是好东西！绝对！            
(3星)	 剧情一般，作为学习的教材来讲很不错。            
(4星)	 啊，有位童鞋截了全剧的精华图，真是造福苍生~            
(4星)	 2010            
(4星)	 推荐正在学习日语的不妨一看，挺有帮助的w            
(5星)	 人家日本就不会搞对外日语专业来误人子弟啊......班级人数教室办公室跟这边相似度90%，小知识挺多的，卢卡很萌~只是看这么脑残的剧居然用掉一包纸，难道我已经入戏太深？            
(1星)	 简直无敌了!这么好发挥的题材都能拍出这样的二逼片霓虹人我葱白你!            
(3星)	 拜托。。。真的是有好多在教日语诶，不过这剧明星太少撑不起来啊            
(5星)	 我喜欢....而已....适合学日语....            
(3星)	 剧情接近弱智。只能用来学日语= =。            
(3星)	 以为看不下去了，还是看完了，为了女主！            
(4星)	 仲里依纱在里面的穿衣风格真的是一级棒哦~我超爱的❤~剧情也很有趣！            
(5星)	 今天终于看完了最后一集。不仅是很好的学习材料，在剧情上也不乏味，而且充满感情，温馨、幽默~            
(4星)	 我觉得挺好的            
(NA)	 很好看。推荐学日语的姑娘们。            
(3星)	 哎 豆娘你就没三星半么            
(3星)	 这太适合学日语了。。。然后剧情是央视级别的。。。慎看。。。。            
(4星)	 学日语的好教材            
(4星)	 很不错 很好笑 还可以学日语知识！            
(3星)	 看了这个日剧，突然对日语有了追根溯源的习惯。            
(5星)	 裏面的日語很實在.也不深奧.都是日常用語.快速的瞭解日本的文化語言.             
(NA)	 很长知识，最喜欢里面法国人说日语的语气，超级优雅！结局也符合事实，考试只有杰克及格（前面几集提到其他人成绩都很差），没有出现我担心的全员及格这种超现实的结局= =……不过话说几乎每次祸都是春子闯出来的囧            
(3星)	 有点点搞笑，还行吧            
(3星)	 剧情无聊 但日语还是受用的            
(3星)	 相对于聒噪的女主角，配角老外们显得太僵硬了            
(NA)	 看到黑人哥追逐后就弃了= =            
(5星)	 对学日语还真有帮助，第四集的意大利正太亮了。            
(4星)	 全当我学日语了。不过有很多日本人都不知道的日语，我觉得外国人也没必要知道的。比如酱油碟叫做“紫盅”什么的，有点儿偏门的名词了。我就不相信各位都掌握母语中千奇百怪的名词了。            
(1星)	 烂。虎头蛇尾。            
(5星)	 啊啊啊啊啊裏面的意呆好萌啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊             
(3星)	 对学习日语应该有一定的帮助，不过先要懂，这应该不属于初级班            
(4星)	 爲了狗妹多加一星…            
(4星)	 ありがとう、先生。            
(3星)	 弃！应该拍一部上海人不知道的沪语。            
(5星)	 怎么看那个小王都像是宋祖德啊。尤其那对爆牙还有那夸张的表情。            
(2星)	 做为给外国人看的教材来讲可能是不错……但做为电视剧来讲太套路了……四集弃            
(3星)	 作为学习还是看原著的好。女主角不说话不歪嘴巴的时候很像BoA。不像BoA的时候实在是讨厌。看了2集看不下去了            
(5星)	 开学就给我的一个惊喜~好好看啊            
(4星)	 有教育意义呢，学日文看这个不错啊            
(NA)	 我弃了。其实剧是好剧，很适合初学者看，但仲里依纱非主流的打扮实在受不了了，弃了。            
(5星)	 寓教于乐……            
(3星)	 仲里依纱换造型好看了，感觉想VIVIN的模特了。。。猛然觉得日本人有担当了，居然敢让演员这么说自己国家            
(5星)	 大好きなんです！            
(4星)	 看着一群外国人就happy            
(3星)	 做笔记            
(3星)	 一如既往的夸张            
(4星)	 对于教学和学习都很受用            
(2星)	 一帮外国人卖傻.            
(4星)	 学日语的都可以看看，还是能学到不少东西的，不过仲里的表演依然做作。            
(3星)	 看了一集确实觉得日语什么的满奇妙的但是确实是不想再继续看下去了            
(5星)	 课上完了！ 蛋继续疼。。。            
(2星)	 女主角颜不怎么样···看了2集····太难看了··            
(3星)	 用来学日语挺好的，演是演得够差            
(3星)	 那个中国男的哪里找来的阿。。太丢人了            
(4星)	 为什么剧中的中国人会是那副德性啊。。。两个，一男一女。嘛。中国人不能有出息点嘛。要给自己争口气啊。            
(3星)	 日本語～            
(4星)	 不错。。。            
(5星)	 天知道我為啥逆流而上的很喜歡這個劇……撒比西了才一分鐘我就撒比西了T7T            
(5星)	 东京到底哪里有中国人少还没有棒子的语言学校啊!!!!!!!            
(NA)	 蛮不错的、            
(4星)	 女猪脚的造型很涩谷，但没有涩谷大多数MM美，为什么他是女猪脚？？            
(3星)	 不适合初学者看。            
(NA)	 这个时期遇到这部剧，真是戏剧化            
(4星)	 比较怪的作品 不过对于怪内容还不错            
(4星)	 感覺還OK~~繼續追下去~~~            
(NA)	 弃掉，仲里依纱不是我的type，太夸张的表演我很烦            
(5星)	 超棒的！学日语必看！            
(4星)	 貌似看了很多次了            
(NA)	 日语学习推荐            
(NA)	 不带这么乌托邦的吧。2集弃之。            
(4星)	 学日语的好教材~            
(NA)	 可以学习下简单的日语，幸运的找到了有双字幕的，嘻嘻……            
(4星)	 感觉拍得不错，那个黑人好搞笑！            
(5星)	 真的不知道的！            
(NA)	 日本人的演技至我于死地。            
(4星)	 过了这么久终于把它看完了，最开始是因为可以学日语然后喜欢仲MM的潮造型看的，现在依然觉得好看！            
(4星)	 真的对学习日语很有用~            
(NA)	 無法持續觀看仲里依紗的臉,但是喜歡那個外國otaku...好靚仔-_-            
(4星)	 我日语太差了。。。看的越发郁闷@@            
(4星)	 学习            
(3星)	 就一出场的造型我真没认出来 =,=            
(NA)	 一集弃，对外日语啥的，老师好雷人。            
(3星)	 能学习的东西还蛮多的。            
(3星)	 实在不喜欢仲里依纱。            
(NA)	 没看完 抽着看的 不太对胃。。。            
(3星)	 虽然我是蝴蝶结+发带控，但是这戏实在不是我的菜            
(2星)	 好的日本语教学 很烂的剧情            
(3星)	 大概第六集，弃，即使为了每集那一点点可怜的单词也忍不下去了            
(3星)	 夏日~            
(4星)	 好看哎~女主角漂亮性格很可爱，剧集拍的轻松活泼但又不肤浅，还能顺便学习一些日语知识，决定追这个剧了~            
(3星)	 角色感太强啊            
(5星)	 没坚持到最后，头一次弃剧。但是这剧仍然给满            
(4星)	 鹰栖才是最大的亮点~!唯一有演技的存在.....= =            
(4星)	 对于学日语的人、挺有用的。            
(3星)	 好无聊。            
(4星)	 所以杰克桑你是有多富裕啊。。            
(2星)	 弃！            
(2星)	 弃            
(4星)	 支持下本专业            
(4星)	 还蛮喜欢仲里依纱 里面的造型额 蛮有喜感的一部            
(3星)	 1 看不懂没意思   2 实在是太不喜欢女主了！！！            
(4星)	 不错看。长知识了~            
(NA)	 ......            
(4星)	 学习范本。。。            
(NA)	 【ありがとう】这句话确实是很温暖的            
(4星)	 对日语了解些的同学应该更能看懂吧            
(3星)	 又是学生×教师- -只是这次问题儿童换成世界各地的了…            
(NA)	 弃            
(2星)	 老套            
(NA)	 给几分都不合适orz 不过以后我绝对不会re就是了（。            
(4星)	 用来学日语吧...嗯嗯，感谢人人字幕组的双语翻译~            
(3星)	 黑人在哪都是没素质啊。除了那个白心的总统            
(NA)	 路过就好            
(NA)	 呵呵 明天这个时候我也这样了说不定            
(5星)	 甜美辛辣 哈            
(3星)	 太囧了我其实是一话弃            
(3星)	 学日语用，但看完就忘了            
(4星)	 加油把書看了            
(4星)	 对女主着实无爱…            
(4星)	 王好可爱，好像伟良兄啊~            
(2星)	 弃~            
(3星)	 三点五。日语学习片。            
(2星)	 01弃，仲里依纱还是不要卖萌的好            
(3星)	 闹腾的风格            
(5星)	 一期一会            
(2星)	 虽然好像题材新颖一点，但是拍得太SB了，弃。            
(3星)	 女主角不是我喜欢的型 没兴趣了 不看了            
(NA)	 02            
(4星)	 虽然整体很一般（包括故事和技术方面），不过了解了很多新知识而且最后一集的结局也不错，为此多加一星。            
(4星)	 开始只是冲着原田夏希和学日语这个题材，12集看下来竟然没弃，还是有些内容的            
(2星)	 無語了            
(4星)	 学日语的话还有点用。            
(NA)	
(3星)	 3集弃。就是看不下去了= =            
(NA)	 想不到會在＜日本語＞第4集看到Eri呢！看到第６集，時間はない，不看啦。            
(5星)	 可以顺便学日语~            
(4星)	 我觉得胖妹有点萌            
(2星)	 我越想越觉得难看...仲里衣纱你穿的潮么是潮啊！            
(4星)	 いい番組、勉強になりました。            
(3星)	 しらん...            
(3星)	 学学日语还不错。            
(5星)	 关于语言的部分很爆笑啊！！另，开头的公车，某人惊呼那不是公车痴汉的典型开头嘛，加上黑人，口味真重...好吧，我带坏好孩子了。。。            
(5星)	 长知识了            
(3星)	 太傻了，弃之。            
(NA)	 关于日本的日语语言学校的，外国人学了很多日本人不懂得的日语。嗯，我对女主也没什么好感。还有学的日语都没什么实用性。            
(4星)	 12 其实我一直在纠结仲里衣纱有没有整过- -            
(4星)	 “一期一会” 很美的词            
(4星)	 还蛮实用，但是剧情很无聊            
(NA)	 题材比较有意思.....两个美女教师也都DJ......仲里mm...乃就一直这样换装下去吧~~~            
(NA)	 你最喜欢的日语是？            
(NA)	 半路弃            
(3星)	 新老師叫海野凪子XDD又玩這個=P **熱血劇** 10忌諱語、神社 06 忍者(石黑英雄) 09 曖昧:和之精神 03 俠道/11遇上騙子? 05 盂蘭節/07大和撫子? 08茶道/04宅男 02 敬語 01 打工學日語            
