http://movie.douban.com/subject/2154862/	少年英雄方世玉
(5星)	 那首歌好好听            
(4星)	 小学时候看的，记得当时最喜欢方世玉和林晓晓。~~~            
(5星)	 印象深刻            
(3星)	 看几集            
(5星)	 这一版本的还是很好的            
(5星)	 当时的感觉超好的^^            
(3星)	 香港口水剧            
(NA)	 他娘亲很有意思 哈哈            
(2星)	 有点呆。            
(3星)	 忘            
(4星)	 我记得当时超喜欢看的            
(NA)	 怀念TAT            
(NA)	 欢笑和爱            
(5星)	 大起大落            
(4星)	 小学 阳光灿烂的日子~            
(NA)	 令香港亚视收视率上双位数的电视剧。。            
(4星)	 哈哈,高三的时候吧...当时很喜欢...大学里的一个窒友就因为这个剧,网名叫小小,我们也一直这么叫她.            
(5星)	 童年的回忆值五星            
(NA)	 这个电视剧是我大学时候放的，当时张卫健的表演风格还算让人耳目一新。而现在，十年过去了，他还是那样——剩饭炒久了，于是饭粒都炒干了。            
(5星)	 从此喜欢方世玉~            
(4星)	 当年那是非常的火爆啊，只是现在发现张卫健演戏都是一个套路了~            
(4星)	 不知为何多年后再听到片头曲“阳光灿烂的日子，少年要珍惜”觉得十分感概            
(5星)	 六年级暑假的乐子            
(NA)	   世玉和小小....            
(4星)	 那会儿好喜欢啊~~            
(NA)	 挺搞笑的 那时候挺爱看 和老妈一起            
(3星)	 还可以            
(4星)	 还不错            
(3星)	 无厘头            
(5星)	 演员我都很喜欢~~~~演的也让我看着开心            
(4星)	 其实这应该是亚视的作品的 儿时的回忆啊 现在看来也许不怎么样            
(4星)	 这是张卫健的代表作，也是他永远跳不出的框架。悲哀啊。            
(4星)	 小学时期            
(3星)	 小学            
(4星)	 好好笑。            
(3星)	 貌似看过            
(NA)	 小时候的记忆,蛮搞笑的            
(4星)	 现在就只记得名字了            
(4星)	 花姐。            
(NA)	 无论谁演苗翠花都那么可爱～～哈哈            
(3星)	 张卫健蛮好笑的            
(4星)	 好笑阿|||            
(3星)	 南阳台放了不下20遍，终于看腻            
(NA)	 花姐和德哥，这两个称呼父母的名字比较有意思。            
(4星)	 记得最深的是那个主题曲“生活本来就该多姿多彩……”            
(4星)	 从这里爱上了张卫健            
(5星)	 那时候超喜欢张卫健的！            
(4星)	 那时的小小，完全配得上小小这个名字            
(NA)	 只记得那时觉得很逗            
(5星)	 也是张的~ 喜欢他的第一部~ zxl~            
(5星)	 当年太爱这部戏了            
(4星)	 小学时代必看            
(NA)	 特好玩好笑的方世玉 却是想当年            
