http://movie.douban.com/subject/3609075/	蜗居
(5星)	 很好很真实，真实的会让你觉得理想值几个钱呢？            
(5星)	 现实挺残酷的            
(NA)	 蜗居，还要多说么            
(4星)	 性格问题...            
(4星)	 现实中的小三可没海藻那么傻            
(5星)	 看完之后对现实有了进一步的认识。。。            
(5星)	 海青演的真的很真实,&lt;双面胶&gt;,&lt;媳妇的美好时代&gt;&lt;安娜与王贵&gt;连续在电视中放映的这几部我都看过了,剧本好,演义也好,特别蜗居,也我们这样八0后的说出了心声吧,房价,工作压力!            
(NA)	 理想是丰满的，现实是骨干的~~            
(NA)	 和大部分的女孩子一样，看完蜗居，我喜欢上了宋思明，也喜欢上了张嘉译。蜗居，这是反映现实的一部不可多得的片子。            
(NA)	 很现实的一部影片，很多人都说女人别弄丢了身边的小贝。可是，等二十年，三十年以后，小贝一切都有了。身边的人还会是过海藻么？            
(NA)	 。。。。。。海藻应该对小贝诚实的。。。如果是我。。我还是选择小贝跟他一起慢慢赚钱买房子迎接贝克汉姆            
(1星)	 很噁心，實在看不下去了。            
(4星)	 其实，其实真没那么黄，倒是很真实，很感人            
(3星)	 讨厌小贝讨厌小贝讨厌小贝。            
(5星)	 先把2012过了再买房子吧            
(4星)	 觉得很真实            
(4星)	 不想说啥。            
(NA)	 很现实的一部剧            
(4星)	 没有网上说的那么现实吧？还是我就是一个超现实超俗气的人！！            
(5星)	 真实写照。            
(NA)	 我也不晓得为什么就把它看完了            
(4星)	 喜欢看宋家明对海藻好的样子，            
(4星)	 半平米的艰辛……我还是回我家那个小县城买房去吧~~            
(3星)	 题材确实不错...    冲着小文章看的.但是看到第九集就彻底愤怒的看不下去了... 寝室的女女看得比我快.. 因此我看第九集时她已经看到十多集了..就一直听到她那边放出的声音..当听到海藻嗔怪的跟那男的说话时... 鸡皮齐一地.  一愤怒... 关了.. 再也看不下了..            
(3星)	 不太喜欢海藻，因为觉得她不够有内涵。比较同情宋思明的妻子，与之同甘共苦，却被背叛。其它的，不想多说什么。            
(4星)	 所谓现实，不过如此。房子，工作，二奶，中国社会的现实也就这些吧。感谢66，毕竟这只是轻描淡写，不会让人太专注于现实，不过着实的打击了我们这群80后，对现实失望，对自己失望~对爱情没准更失望！            
(4星)	 这是一出已经存在的社会悲剧。充分诠释了：理想很丰满，现实很骨感。            
(5星)	 很现实很写实，像是一把剑犀利地刺进了现代人的胸膛。剧中震撼我的不是小市民的挣扎和房贷的压力，而是宋思明这样一个男人的诱惑，多少走出校园的女孩能抵挡住。            
(5星)	 我一直有个疑问：海藻真正爱的是小贝还是宋思明？            
(5星)	 我一直都没觉得海藻有错，不觉得宋思明有错。有人不喜欢她和宋，是也因为你们不是这样的人，因为你们不用为了生计，不用为了家人背负各种各样的包袱。如果你们是他们，又会是怎么一番情景呢。你们还会在这里义正言辞的说，你这个不要脸的婊子吗。不会了的。            
(3星)	 六六的作品，总是很有感觉。剧集本身一般般，但是炒作手段很是厉害。。            
(NA)	 太现实了            
(4星)	 还是值得看看的            
(4星)	 不知道这部电视剧的走红是不是因为每个人都能在片中找到类似自己的一个人物，一种立场，和一场经历而引起了共鸣？在一个充满欲望和诱惑的城市里，想要坚持自己的原则和理想去生存，真的是很难啊。            
(NA)	 揭示开发商的嘴脸，并引出时尚的新名词“小三”            
(5星)	 看过之后才明白80后一样不容易啊。房子~我们心中温馨的居所，也是心中的痛~            
(NA)	 现实            
(4星)	 此电视剧从拍摄，剪辑，到音效，剧情编辑等各方面的制作上都比以往的国产电视剧有大幅度提升。人总是在理想的爱情与残酷的现实间游走，直到那最终的伤至深处的一刻，爱情终无。当然，也有人追寻到终成正果的美满幸福。打四颗星的原因在于编剧和原著没有走出一种刻意制造出来的“现实”，不够自然。            
(NA)	 谢谢你啦，你又帮了我一个大忙，没办法，人情债我只能肉偿了~~            
(4星)	 看了前半部，后面实在不忍心看一个美少女被一个政府官员玷污了，所以不看了！            
(NA)	 现实的赤裸裸            
(3星)	 很现实，让人心痛            
(3星)	 蜗居应该是写于06、07年的，如今的房价不知作者又该如何感想。&#34;江苏移动欢迎你&#34;的地方都买不起了吧...            
(5星)	 知道广电总局封杀它吗？知道就行，你懂得            
(4星)	 能照进人心的影像都不错            
(4星)	 从痛苦到麻木            
(4星)	 很现实，不喜欢海藻            
(4星)	 喜欢小贝的造型              
(4星)	 很写实，戏中的人物都能在现实中找到其角色，当现实的戏份越来越重，这社会也太虚伪了            
(4星)	 很多现实生活的影子            
(4星)	 看完之后，觉得现实嘛？不知道，残酷？不知道。反正就是一种麻木的心态来对待。看完之后，还不是一样要继续生活。            
(4星)	 现实            
(NA)	 其实蜗居里面也有一些生活的简单小幸福。            
(2星)	 以海藻为中心的道德观严重扭曲，价值观实在是存在问题，社会是很现实，很残酷，可就能因为这个就放弃自尊？教育真的是存在很大问题了。八荣八耻说的还真是很及时，以前一直以为荣辱观是每个人都该理所当然拥有的，看来，我还是很幼稚。            
(3星)	 真是现实啊现实啊~            
(3星)	 太现实，很压抑，但是里面对感情，生活的描写还是很到位            
(4星)	 太现实了~~让人不想又不得不接受            
(4星)	        让我们更加清晰的认识了这个社会！~~  很有启示效果的一部电视剧！            
(3星)	 我就是不喜欢宋思明            
(5星)	 很现实。很真实。            
(3星)	 很多人很触动，而我感觉着实一般。不过很爱第三集里面的海藻，很爱很爱～            
(5星)	 看的人很难受！            
(NA)	 看了6集            
(5星)	 看就是了.. 真的, 不會后悔~!            
(5星)	 无比的现实！！            
(5星)	 情节还是很深刻的。关于小三。关于房奴。关于打拼未来。不管是不是在影射什么现实生活里的甲乙丙丁，觉得都不该封掉，因为每个人都会从中感受到一些意义。            
(4星)	 我之所以推荐，是因为这部电视剧敢小小地反映一下当下的现实生活；我之所以没有力荐，是因为它被阉割得让我觉着很鄙视它，连是个虎头蛇尾的东西都谈不上。            
(4星)	 现实的生活            
(5星)	 什么叫真实，这便是真实。什么叫真相，什么叫生活，什么叫现实。。。            
(NA)	 还好            
(3星)	 还行吧。。。            
(5星)	 国产电视极品。前无古人之作。            
(5星)	 难得能让人一口气看完的国产电视剧,在满电视脑残剧的年代更加难能可贵,真实而世俗的思维让人身临其境,但结局有些牵强的成分,感觉导演在为了通过审核和将全剧的主线在使劲往主流剧的方向拉,这是艺术上的败笔,却也是我们能看到这一出色电视剧的代价            
(4星)	 前面几集好看。            
(NA)	 喜欢刚开始的海藻那样的女孩，            
(5星)	 还不是因为海藻漂亮。            
(5星)	 越是现实的电视剧，越能得到观众的认可，蜗居就是现代社会的一个缩影，百姓希望的是房价的下降，而开发商却是在看这个楼盘是否还有上涨空间            
(NA)	 看书更好            
(4星)	 海藻就是自作孽            
(NA)	 我是最先看的，但是是最后看完的            
(4星)	 火呀！            
(NA)	 都说小说都是真的，历史都是编的，这次我真的信了！            
(3星)	 同情“小三”，崇尚权力            
(4星)	 得失            
(4星)	 较敏感 但源于生活  着眼于小人物的悲欢离合与大时代的灯红酒绿  在当今社会上  算是一部反面的教材   前无古人  后面也很难又来者了            
(5星)	 淡定。。。。            
(5星)	 很好，蜗居小说178页第28行            
(4星)	 好看的~            
(NA)	 小贝不错哈            
(3星)	 开头很靠谱，后来越来越不靠谱。            
(5星)	 不说了。绝对的好片子。            
(NA)	 后面看海藻，我只觉得恶心            
(4星)	 好吧，小贝。            
(4星)	 现实的影子，只愿面对它的时候背后还有阳光            
(4星)	 现实主义啊 有些地方是我一辈子都无法感同身受的             
(3星)	 09必看之电视剧，在周围人的狂评转帖中看的，一般，看不惯宋思明海藻等等，宋太好样儿~            
(NA)	 老悲剧的            
(3星)	 讨厌海藻！！讨厌海藻！！讨厌海藻！！讨厌海藻！！讨厌海藻！！讨厌海藻！！讨厌海藻！！            
(NA)	 现实得一米，影响了我的价值观。            
(3星)	 我妈不让我看            
(NA)	 海清演的郭海萍努力奋斗，值得一看。张嘉译演的宋秘书，告诉我们公务员们的另外一面...真心喜欢小贝童鞋            
(3星)	 话题之剧 剧中火爆的台词 不得不佩服一下编剧 一开始没打算看 竟然在很多人贴图的台词中 引发的好奇心 很现实的一部剧 很多评论说太过现实了 对于剧中人物有着很深的印象             
(4星)	 很现实，台词经典。            
(4星)	 宋思明，唯一的缺点便是有妇之夫..                
(NA)	 这故事有点假            
(4星)	 戏还不错，但总觉得制作有点问题。            
(4星)	 有点过于现实了，不过也真的反映了一些问题吧            
(3星)	 房子，你有么，反正我没有...            
(2星)	 名校毕业，工作九年，税后工资2900，如果不是运气有问题，那就是能力的问题了            
(4星)	 现实            
(NA)	 小贝好可爱            
(4星)	 看到了生活的另一面            
(4星)	 很现实的一部电影。看完有很多感触，其实每个人身边都有一个小贝，只是你没有发觉到他就是小贝。珍惜眼前人。            
(5星)	 很现实！            
(4星)	 还是拿了些东西来做卖点....全民都在看,所以跟风.汗            
(NA)	 写的血淋淋的 但是很现实             
(4星)	 很靠谱,很露骨。            
(2星)	 没什么意思。没什么感触。没什么认识。            
(3星)	 有一条线穿起来            
(3星)	 除了小贝的纯情，所有其他的人都是莫名其妙            
(NA)	 在实验室里看的，作为肥皂剧还不错            
(4星)	 源于生活，却不忠于生活。            
(3星)	 反应了很多社会的真是面，但还是没有想像中那么好看··            
(3星)	 不建议观看，实在是太过于现实，现实的你看到了太多生活的重叠性，和未来的预见性。是悲哀还是精辟？其实这就是我们的人生，在处处小三的世界里面，谁能够心里只有一个人，爱一个人，守住一段情，心无杂念呢？            
(3星)	 大家都在看，所以我就看了，是大三上期末看的。            
(3星)	 奋斗，蜗居，时代精神反映到影视剧里，是要让当下年轻人清醒还是宣扬里面的精神呢？            
(4星)	 小贝真好            
(5星)	 宋思明是我偶像            
(1星)	 看了一集就没看了。反正说的都是我，反正看不看自己都是那个悲剧。            
(2星)	 冲着那赤果果的淫话去看的，当然只挑局部看了            
(4星)	 现实啊现实~            
(4星)	 导向不太好，让大家有一定的对小三的崇拜            
(4星)	 虎头蛇尾            
(4星)	 非常现实，非常的深刻。好心疼小贝。最无辜，却最受伤。            
(5星)	 用房子打到80后            
(NA)	 心里沉静很多我是个懂得反复思考的小事就可以让我想到许多应该怎样去做。好了            
(NA)	 反映现实，特现实，有时现实得看不下去啦，我的眼泪是稀里哗啦的            
(5星)	 比起姐姐。我似乎比较可能成为海藻那种人。这也许是性格的缺陷吧。            
(3星)	 太长了。。。。。。。。。。。。。。。。。。。。弃了.            
(3星)	 现实距离就这样            
(4星)	 怎么也怪不起“宋思明和海藻”来，怎么办？难道是我堕落了？            
(3星)	 争论颇多的一本电视剧 但是还是有看点的 反映了某些社会状况             
(3星)	 虽然现实，却过于悲观，太打击人的斗志了，呵呵            
(4星)	 剧情且不论，但是话很经典。            
(5星)	 很好看，中间有点冗长，不过也是必须，很现实的问题被反映了。            
(3星)	 小三彪悍            
(4星)	 居然评价这么低？有真实感，关注当下社会民生，人物也还行，看客们是不是太挑剔了？            
(5星)	 真实得被和谐            
(4星)	 看吧。看了我们能清醒些。少做些梦，多过点日子。知道怎样的选择大概应该背负怎样的后果，不至于之后抱怨说“年少无知”。别人都告诉你了，再后悔当初，只能说“无知”，就与“年少”毫无关系了。最后送上句“活该”！大家清醒点过吧！            
(2星)	 有人说，这是现代版的《白毛女》：喜儿从了黄世仁，杨白劳从中获利，烧饼青年王大春惨遭抛弃.            
(4星)	 一部让我看得很纠结很沉重的电视剧            
(4星)	 姐姐的幸福建立在妹妹的“悲惨”结局。。。            
(5星)	 大城市的生活虽然很苦，但仍有那么多的年轻人奔赴，不管怎样，努力了就会有收获            
(4星)	 我想要一蜗居 有张大床的蜗居            
(5星)	 很直白很深奥            
(5星)	 在即将毕业的那年~给压力那这~            
(4星)	 喜欢海萍            
(4星)	 很写实            
(5星)	 对中国现实社会的精彩观察，如果能翻成意大利语，肯定火！            
(NA)	 太现实了  现实的有点害怕            
(NA)	 真现实！            
(5星)	 现实            
(4星)	 一个应时代而产生的电视剧，一度受到广大青年的喜爱            
(3星)	 好久没看连续剧了。刚看时觉得很现实，后来想想，夸张的成分还是很多的。也不是很现实。            
(4星)	 爱情和社会价值都被扭曲的国度。            
(4星)	 被现实活生生打败！            
(3星)	 片子本身可能还行，不过我实在是看不下去，让我很是恐惧婚后生活并且对男人失去信心，在海藻沦为小三之前就放弃了            
(NA)	 单纯的喜欢小贝            
(5星)	 男人都要有辆路虎            
(5星)	 牛鼻!            
(NA)	 太真实了，我妈看了都说太像发生在身边的事情了。海藻红了，蜗居时代=80年代~！            
(4星)	 80后的一部凄惨人生剧，也是一部杯具！            
(5星)	 .....真TM现实,,,,,,但是看过2012之后,,,,顿时开朗,,买什么房子,,早晚塌..            
(4星)	 现实生活中，有个朋友，和海藻几乎一模一样的经历。            
(NA)	 六六很爷们            
(NA)	 觉得很现实，就是很现实~  现实到没有谁对谁错~            
(5星)	 不只是现实，简直是残酷            
(NA)	 挺好玩，现实和想象的交织在一起，现实不能那么美好，理想不可能那么完美，也许艺术创造的本质就是这样的            
(3星)	 。。。。。            
(4星)	 生活很现实，很沉重！            
(4星)	 有些人注定要沦为小三            
(5星)	 价值观混乱，房价虚高，公务员命好，大学生做小三可以养活全家人，长的帅气的男人的女人跟人跑了，长的丑的男人的女人最男人忠心耿耿。看完以后最悲剧的还是现在大学生的素质问题。            
(4星)	 看了很有感慨            
(3星)	 狗血。。。不过是六六写滴~            
(NA)	 不错的 国产电视剧            
(5星)	 狠狠地击中80后            
(4星)	 六六的作品都不错  只是这部突然那么多XX镜头 不知是不是出版色的要求            
(5星)	 很久没看连续剧了，不过很好，很喜欢，但是结局不喜欢，莫名其妙的海藻就去美国了喜欢邬君梅的演技            
(3星)	 很多人生的道理在里面。。。 总而言之就是围绕着买房，房贷。拆迁发展出来的一系列曲折的纠结的亲情，爱情，政治故事可以看到各种各样都市里典型的人物（表面风光的贪官。名牌大学毕业的小蜜。受苦受穷的百姓。。）很有意思。。             
(2星)	 看見宋思明就反胃，都一身橫肉了還老裸什麼體            
(5星)	 海藻和宋思明。小贝我也很喜欢。海藻不管是名字还是人都符合我的想象。great            
(NA)	 真的很现实  让人不忍心            
(4星)	 比奋斗好看             
(4星)	 能够被广电总局禁播的电视剧就是接近真实的电视剧，敢于直面生活中的腐败、金钱、人性的交易……            
(NA)	 哎呦。。。            
(4星)	 心有戚戚焉。本以为是部大俗片，却“熟”而不“俗”，剧中人物都能在自己或周围人的某个人生阶段找到丝毫踪迹。海藻想吃25元一个球的哈根达斯却舍不得，从来不买new arrival只买5折处理品；海萍思念远方的女儿想买个电脑却因为值半平米房钱而忍痛放弃。编剧真是很下工夫，剧中的台词也            
(5星)	 看了悲愤，纠结，为了生活人变了，还是小贝好                   
(5星)	 挺现实的一部，适合成长。            
(5星)	 很强很现实            
(3星)	 反映的也只是社会的一小众人..人生有很多种活法。            
(5星)	 看过的大陆的最好的电视剧            
(NA)	 心凉的            
(4星)	 房价问题反映的很好，但是，牵涉进婚外情这个话题的时候，处理得没有那么好。            
(3星)	 很现实吧            
(NA)	 一部把现实沉重的砸入我生活的电视剧            
(NA)	 从头到尾看了，很好看            
(5星)	 其实吧··我挺喜欢宋思明的~            
(4星)	 喜欢小贝单纯的爱，讨厌海藻。            
(4星)	 攒钱买房！            
(4星)	 引人深思            
(4星)	 小三、腐败、房奴             
(4星)	 说一套 做一套            
(4星)	 太现实了，刚看完的时候真的觉得很压抑。            
(NA)	 不喜欢太过血淋淋的电视，生活已经让我们力不从心，还何必庸人自扰地在电视里找寻现实的影子            
(3星)	 个人感觉小说更好看            
(4星)	 呃~ 我觉得我看完希望自己是海萍的妹妹，海藻的姐姐！ 哈哈哈~            
(NA)	 好看，现实！            
(NA)	 每次看到海藻 就觉得很揪心 ……看完后总觉得很现实，让我对未来有点不知所措……            
(2星)	 扯淡            
(NA)	 没看完 不看了            
(4星)	 文章            
(5星)	 这部片是2010的寒假看的最好看的剧，几天看完，一起呵成，看完最后一集已经2点多钟，结局很唏嘘。让人感慨。            
(4星)	 虽有些片面地去截取生活，但却是很真实            
(5星)	 别的不说，这部剧让我思考未来。看看无妨。            
(4星)	 很现实            
(5星)	 现实中的现实。。            
(NA)	 真实，反映当代现实社会，给我们年轻一代上了一社会课，没有任何做做，虚假，很好的一部现实主义题材的电视剧。            
(4星)	 有几个人真的会摒弃海藻的选择            
(NA)	 蚁居            
(5星)	 海藻，我要那孩子            
(4星)	 还行吧，不像那些傻X电视剧，天天拍警察和封建统治者。            
(4星)	 现实不是闹着玩的            
(4星)	 确实有水平，在对的时代拍出了对的戏。深刻。            
(NA)	 很现实。。。房价让人窒息阿             
(5星)	 富二代应该看看            
(4星)	 看到海藻开始放弃小贝后，就不再看下去了；没有权力去评判孰是孰非，只是觉得有些现实，自己该保持些自己的坚持而已！没办法，同样的处境，支持同样的人！所以，支持小贝，尽管他也有不尽如人意的地方！            
(4星)	 80后们            
(3星)	 小贝，好可怜。电视剧过于真实，看的心酸之前看不感觉海藻有什么。但是看到后面。不喜欢海藻和宋，的确，爱情是不分先后的。但是。。人总得讲点良心。当小贝那么对海藻。他转身就可以躺在宋的床上。那还能说什么呢？是真的爱吗？如果宋今天不在这个位置，没有这么多钱。会改变吗？            
(4星)	 真实，只不过为什么六六离婚了            
(4星)	 没想象中的好            
(NA)	     你说在小贝和海藻的关系出现裂痕后，是什么导致了他们的分手！是小贝对海藻的怀疑，还是小贝还是在内心深处不能原谅海藻??            
(NA)	 还是免俗吧，看过不满两集。            
(NA)	 不错,很现实            
(4星)	 难得的好片，反映现实问题。支持            
(5星)	 无敌            
(3星)	 前面把海萍夫妇写得太没脑了，房钱是一元一元地攒能攒下来的吗？是靠吃挂面就能攒下来的吗？！很喜欢小贝，海藻的想法行为也很能理解，顺理成章，宋思明身上的很多特质也中了众女人心中之好，这些点是让我把这部剧都看下去的原因。            
(NA)	 只看过书，没看过电视剧            
(4星)	 先看的书 ，后来断断续续的看了几集            
(3星)	 部分反应了社会的现实。轻易不要动房产。            
(NA)	 推荐            
(NA)	 郁闷~            
(5星)	 可以现实的反应现在人们的生活状态的一部电视剧。由于够贴近现实，才有那么高人气。            
(4星)	 好现实啊             
(4星)	 看的时候感觉很现实，看过很久之后感觉就是那样吧，生活嘛！            
(NA)	 现实            
(5星)	 超现实            
(NA)	 身在大城市的身不由己，反正自己可能是应该逃离北上广的一类人了……            
(4星)	 得有个这样的妹妹才行            
(5星)	 看了2集，我就给五星了。原来以为潜伏是年度最好看的电视剧，但真看了蜗居明白，看的不是故事是生活。我也曾为潜伏兴奋和感动。但看看蜗居就知道那是提古人发愁。很喜欢本局台词，不做作，是犀利但自然的那种。人大会议就应该放放蜗居，中国的社会问题太严重了。为说真话的鼓掌，鄙视封杀SB.            
(NA)	 希望有苏淳的爱情            
(4星)	 残酷的真实 看完之后觉得 人还是糊涂一点好  凡事看得太明白 反而没有了乐趣            
(NA)	 讨厌郭氏两姐妹！！            
(4星)	 可曾记得爱            
(5星)	 现实的写照             
(5星)	 下载观看地址www.mp4ju.com            
(3星)	 哎 终于还是看了它            
(3星)	 什么玩意！！            
(3星)	 太真太现实了            
(5星)	 现实啊现实。。。。难以接受的现实。。。            
(NA)	 我有勇气看完这玩意儿，也算是勇气可嘉            
(4星)	 看了蜗居，我一时成了愤青，其实这个社会就是这么现实，不去看不代表它不存在，人总有一天要面对这个现实，关系网时刻在发挥着它的作用，就看你是否可以去把握、去利用。            
(4星)	 现实~~~            
(5星)	 现实，真的很现实！！！            
(5星)	 现在的社会被一五一十的展现出来            
(3星)	 前10集还能看，怎么后面就又变成高官和二奶了呢！？            
(5星)	 在外漂泊的人的心声            
(1星)	 導向明顯有問題啊~            
(3星)	 越往后越没意思            
(5星)	 一波三折的买房奋斗史，道出了都市无房族的种种困惑，社会实态的反映，漂泊的感觉，未来的迷茫，对社会定位的无措，不安全感和不稳定感。没有了毕业分配，没有了福利分房，赶上了市场经济，房价飞涨，工资却是一直低迷，剧中同时涉及贪官、包二奶等现象。            
(4星)	 海藻堕落得速度太快……贱到底了            
(4星)	 多好的小贝啊，可惜了            
(2星)	 35集的片子没必要拖沓 但这里确没  太过夸张便失去了真实性  臆想的“现实”便是矫情    不过话说回来  现实应该就是这个样子吧 不过整部片子确是演技一般            
(4星)	 无限现实~            
(NA)	 我妈过来的时候和他一起看的，盗版光盘，还老卡，说话还对不上            
(4星)	 很不喜欢海藻！            
(4星)	 现实            
(5星)	 还是很写实很经典的            
(5星)	 简直是现实的翻版，太真实了。可怜的小贝……感情在金钱和权力面前不堪一击啊！            
(3星)	 看到第13集就有点受不了了，最终也没有完整看完，就知道了个结果完事，我擦，从13集开始，我一看到郭海藻就仿佛看到一个大大的贱字在她头上飘啊飘，飘啊飘。犯贱，贪婪还用纯洁和无知来搪塞，郭海藻女士，能不能不要侮辱纯洁两个字？又想当婊子又想立牌坊，太他妈无耻了吧！！            
(NA)	 还行            
(4星)	 我觉得还好。我看着并没有什么压抑的感觉。            
(4星)	 令人纠结的片子。叹息。            
(5星)	 写实            
(4星)	 唯一的地方这有很多都是在我们家那边拍的啦            
(4星)	 贴近生活，给人以生活的启示和思考            
(5星)	 蜗居。真实的社会现象            
(4星)	 看了好郁闷            
(4星)	 探知心理的真实，其实比视觉的真实更可怕。            
(4星)	 没有坚持看下去，看不了过于现实的题材，其实没有那么惨，其实也不全是房子的事儿！            
(NA)	 海青 ，万岁。            
(5星)	 人生来就是不平等的，何必为了纠结那生不带来死不带去的重物而给自己画一个圈。            
(5星)	 生活总会把人磨练出来，买房也是其中的一项。            
(5星)	 所以后来拼了老命买房了，折腾了半年，尘埃落定            
(NA)	 还好吧。。            
(3星)	 值么？            
(4星)	 真实的我只能用不停的快进来逃避了            
(4星)	 真实地有点可怕~~            
(NA)	 梦想和现实的差距。            
(4星)	 喜欢文章，hoho            
(5星)	 找老婆就应该找同学下手比较好。太好看了 超喜欢海藻  宋思明            
(3星)	 哎，俗一次。不过我看的时候还没有火，09年暑假上海台放的。            
(4星)	 难怪被禁播……            
(3星)	 挂面，还是方便面。            
(3星)	 还行看完觉得自己彻底是个穷人真的买不起房子            
(3星)	 看不出什么            
(4星)	 现实的让人可怕            
(5星)	 看哭了两次，都是因为小贝。            
(NA)	 很真实，很残酷，驱使我想要好好学习。            
(3星)	 真现实……            
(4星)	 1、制作还比较精致，没有粗制滥造的痕迹2、情节虽有些勉强，但是仍可以有所收获3、风趣的台词中间还是感受到生活的压力、无奈、残酷4、结局有些仓促和勉强            
(4星)	 我在看蜗居的时候，它还未火，我是一集一集追地方台的，真想不到后来它的反应会那么大。            
(NA)	 苏淳关起来的那一段，马克就如一个多年好友一样帮助海萍，真羡慕阿！            
(4星)	 很经典很现实很讽刺，一口气全部在土豆看完            
(NA)	 看到小贝。。觉得心酸。。。            
(NA)	 海藻是自作自受~            
(5星)	 喜欢这种现实主义题材的作品，作为一部国产剧，已经取得了我内心的共鸣            
(2星)	 你妹，真是个小三的命            
(5星)	 【缺心眼的姐姐和天真的妹妹，苏醇和海萍这两个角色演的不错，海青不愧为第一媳妇，李念的装纯功力有待加强，每次她一纯起来我就想找个盆子吐一吐。】            
(4星)	 不经历苦痛始终无法成长，可怜的两性之爱            
(NA)	 很不错的电视剧！            
(NA)	 很现实......            
(NA)	 奋斗中的人啊！喜欢海萍            
(NA)	 越看越让人恶心，海藻变堕落，不能一味地批判她，不要忽略了，她生活的环境才造就了她，其实最后她想的还是小贝……对于她，只能是又惋惜又同情            
(4星)	 太现实了~            
(4星)	 近两年难得的国产片。没有夏天的电视剧～            
(3星)	 太现实            
(4星)	 很多人都是海藻，或者说海藻是很多人夸张的一面。人性？另外普通人的生存真的很不容易。            
(4星)	 喜欢宋思明            
(4星)	 可以短点            
(5星)	 海萍海藻，人如其名，一个随波逐流，一个依附他人。整个故事，也就是一部房子引发的血案。话说回来，如果海藻不献身，不给姐夫还了那高利贷，剧情或许更绝望，还要做房奴吗？            
(5星)	 若没有海藻那层关系，海萍和苏淳在上海是生活不下去的，也许他们可以慢慢熬着，更多也许他们会在熬的过程中因为鸡毛蒜皮的小事吵翻，关系渐渐破裂。每个女人都想做个好妻子，但生活却是如此考验着她们，久而久之，各种酸甜苦辣            
(5星)	 现实的让人绝望 - -            
(3星)	 女人看女人的一系列事情            
(4星)	 不知道是海清演的戏对我特别有吸引力抑或是其他理由，当去年暑假搁到电视剧频道，看到这部剧，竟然就这样一集一集地看了下去，因为真的是很久很久没有好好在电视剧的黄金档看过一部片子了。反映了社会、反映了家庭：房价过高、金钱利益、真爱抉择、伦理问题…片尾曲唱着“我想大声告诉你”，确有触动。            
(3星)	 大世界，小蜗居。个人的孽个人造，个人的罪个人受。            
(4星)	 轰动全国的电视剧啊~            
(3星)	 哎，这个社会啊！太可怕了啊！            
(4星)	 很真实的一部电视剧            
(4星)	 看了之后，彻底懂得，艺术源于生活，又高于生活，小三有那么好下场的真不多见，虽然许多女孩都梦想变成海藻……            
(3星)	 总算把你给熬完了            
(NA)	 真的不错            
(4星)	 不错是不错，只是打击了我的心            
(4星)	 写实            
(NA)	 不知道这个电视刺痛了谁的神经            
(NA)	 我是海藻。我会选择谁呢            
(3星)	 男人 女人。。都不一定是好人~~            
(NA)	 写实            
(5星)	 很现实。不错，很多台词经典。            
(NA)	 各类人得悲剧人生            
(4星)	 当前社会的缩影……不是吗？            
(5星)	 经典得我就不说啥了            
(4星)	 很现实很残酷~~~            
(NA)	 反映上海社会现状            
(NA)	 没有很觉得什么，个人有个人的看法            
(NA)	 共鸣啊            
(NA)	 也许总有那么一天~我会摆正自己的位置            
(5星)	 每个人的成长之路都是自己走出来的.......            
(5星)	 对白不错，奔主角的漂漂而看            
(5星)	 写实却极端 让人看得胸闷 还有~我想掐死郭海藻            
(4星)	 我也知道一篇文章或是电视电影作品都是虚构的，可是艺术毕竟是来源于生活，也许这么多的事不会全部发生在宋思民一个人的身上，但何尝不可以加到他一个人身上呢？所以今天也就就电视论电视了！从以下几个方面说吧：    一、好和坏。什么是好人，什么是坏人？在整篇剧中有好人吗？纪监书记和市委书记            
(5星)	 真实的现实            
(NA)	 现实的接受不了            
(5星)	 很具争议的电视剧！            
(4星)	 现实，反应的很现实的东西，不管是人生经历还是社会丑恶。六六还有几部作品都不错。            
(4星)	 知道了结局 看了开始就害怕了 变质了的童话            
(NA)	 每个人都在为自己的明天或者，都想过的好，但是自身的价值观不同，造成了选择的不同，也就有了海藻和海萍的截然不同的命运。            
(5星)	 小三。足够真实。            
(4星)	 现实总是残酷的，但是直面残酷的现实需要足够的勇气            
(4星)	 看了！很现实，不错！            
(NA)	 不是每个人的悲剧            
(4星)	 好现实的电视剧。其实挺喜欢里面得对白的，“有了物质上的享受，才会有精神上的享受”，我不知道该鄙视海藻这样的女孩儿还是该同情她，作为一个普通人，我不希望自己有很多钱去过所谓的享受的生活，但我当然也不希望以后会因为生活所迫而去省吃俭用，把方便面想成大餐，为几块钱的交通费揪心，每天一睁            
(4星)	 很现实，也太现实！            
(5星)	 这部剧真的很写实，真的让我受益匪浅            
(5星)	 真实的让人毛骨悚然！            
(NA)	 有点悲观了，还是不看的好并且两个无耻的人，在那谈论爱情，还真以为自己是善男信女呢            
(4星)	 海萍真该在毕业那年选择回家的~~            
(3星)	 很让人纠结 绝大多数人心有戚戚焉 不过我并不看好他 因他实在是太消极 把事情人性分析的太透了未必是好事 我宁愿自己难得糊涂。。。            
(5星)	 宋思明这个男人让人恨不起来。            
(4星)	 看的很纠结~很烦躁~也很无奈!!!            
(4星)	 我喜欢张嘉译，文章的戏有点少            
(4星)	 跟风而已。            
(3星)	 花半小时搞定全集~省了            
(3星)	 面对诱惑，总是太难抉择..很出彩的国产电视剧..N多经典台词!            
(NA)	 是挺现实，但那转头一下子拍下来，让人接受不了，后边也就没看了            
