http://movie.douban.com/subject/2024900/	梦幻情侣 환상의 커플
(5星)	 超低能，劲搞笑！！            
(2星)	 卫视最近尽播这种片儿了            
(4星)	 搞笑！感动。。            
(4星)	 瞧这鬼天气，真叫人不满意！“公主！！”@@ 哈~~最爱女主角            
(4星)	 老早的片子了，很喜欢女主说热热的那种表情~~~~但是千万千万不要去看配音的，傻的可以            
(4星)	 看你这副德行            
(5星)	 很好看~看完可以回味~            
(5星)	 看过的最好看的韩剧            
(4星)	 喜欢，并不是平白无故喜欢            
(5星)	 很搞笑~~            
(5星)	 细节打动人，编排很精心，我笑了很多，懂了很多            
(4星)	 韩mm素颜的时候很漂亮            
(3星)	 男的不帅女的不漂亮也不可爱，但还是看完了，别人猛推荐的结果，看完后有点后悔。            
(4星)	 从豪杰春香到MY GIRL，再到梦幻情侣，一直是很喜欢洪氏姐妹的剧本的。早就应该猜到编剧应该是女性了，这三部剧里，每一步的女主角都塑造得比男主角生动饱满。每个女主角都积极坚强。给人以向上向善的力量。但这是最后一次看洪氏姐妹编的剧了吧。当15集张哲秀和安娜在车站相遇的时候，我就发誓说，要是这个时候张哲秀都不去勇敢表白自己的真心的哈，我以后再也不看她们的剧了。对待爱情 ，一定要勇敢，勇敢去争取，勇敢的尝试。这样，即使没得到，也不会后悔，也可以更容易的整理好心情，继续人生。爱情，遵从自己内心就好了。不要把它当技            
(5星)	 喜欢这类型的搞笑剧！            
(3星)	 不错不错。。不过还是跟喜欢电影。。            
(5星)	 虽然是改变的，还是不错！！            
(5星)	 惊喜            
(5星)	 喜欢韩艺瑟，喜欢罗丧失——哈哈            
(5星)	 韩艺瑟很美啊！！            
(NA)	 那只猫叫公主            
(4星)	 很喜欢安娜            
(NA)	 看了十几遍了~还是觉得好看~            
(NA)	 超级搞笑            
(NA)	 轻松而且好看～            
(5星)	 恩，真的很不错！            
(NA)	 喜欢韩艺瑟            
(4星)	 真是电影,所以不怎么真实            
(1星)	 美国电影改编的，看过原片，所以觉得这个没什么新鲜感。而且那个男主角真不咋地...            
(5星)	 非常搞笑 奇怪周围朋友知道这部剧的不多             
(4星)	 虽然剧情套路化，但是台词很赞，韩艺瑟表现抢眼，九尾狐MM蜕变了，成熟了，更加养眼了，HOHO~~~            
(4星)	 &#34;꼬라지 하고는&#34; ㅋㅋㅋ            
(5星)	 爆笑~~炸酱面炸酱面!!!!这女人的眼神我喜欢。            
(5星)	 还满不错的韩剧.            
(NA)	 很有意思            
(NA)	 很逗的电视剧,笑笑十年少.            
(5星)	 看以前本以为演员不漂亮 肯定不好看不过...很有意思，特别逗，语言很诙谐，细节刻画很好            
(NA)	 从小养成跋扈性格的富家女安娜与生活拮据的建筑师张哲秀阴差阳错结下仇怨。在一次意外中，安娜失去了记忆，而就在现场的哲秀决定抓住机会报复安娜，通过种种证据竟让安娜相...            
(4星)	 喜欢            
(NA)	 没想到逐步电视剧最中吸引我的是其中的音乐，当然剧中离奇却充满现实的情节也让我记忆犹新~~            
(5星)	 又是洪氏姐妹的作品，不错笑~韩艺瑟的演技比我想象中的好很多哪~真的很适合这个角色            
(3星)	 很搞笑的哦，还不错            
(4星)	 剧情还好，名字不搭            
(5星)	 赞            
(5星)	 熬夜看的啊!!!张哲秀就是我梦中的男人            
(5星)	 超级好看．跟之前的韩剧麻烦的剧情一点都不一样，惊喜惊喜．            
(NA)	 这部韩剧值得看，很搞笑的．            
(4星)	 女主個性真可愛            
(NA)	 继续沦陷中的小日子            
(5星)	 很不错的 短剧 哦~            
(NA)	 米酒 炸酱面。。。            
(3星)	 不错，有在凑集的嫌疑，忘了演的什么了            
(NA)	 有钱人真好,但也寂寞.我要做个有钱女,但也不用很有钱.呵呵            
(5星)	 瞧瞧那鬼样子...看完这戏我学会了这句韩语...呵呵            
(5星)	 超喜欢罗丧失！            
(4星)	 女主的口头禅令人印象深刻            
(5星)	 超搞笑！！！！！！            
(4星)	 还不错的            
(NA)	 非常好的一部韩剧！太喜欢女主角了！            
(5星)	 没有宣传，没有很当红的艺人，其实这是一开始最难吸引人去看的原因。可是，只要看了第一集，应该就没法不去看完了吧，呵呵。失忆的傲慢女人和吝啬的厚脸皮的男人，有点俗套但笑料实在太多了，记得我在网吧看的时候，几乎笑得前仰后合，一点形象都没了。果然，这部剧打败了当红炸子鸡《宫》，赢得了最佳男女主角、最佳情侣这些最重的大奖，实至名归。厌恶了眼泪剧的朋友一定要看看这部剧，你不会后悔的。            
(5星)	 剧情老套但是很好笑            
(3星)	 超有个性的女主角            
(4星)	 那只猫，我喜欢            
(NA)	 轻松，搞笑            
