http://movie.douban.com/subject/2248707/	激情燃烧的岁月
(5星)	 很爱这部剧~难忘的桥段太多了~ 孙海英接孙子电话那场戏每次看都会掉金豆。。还有石晶和成栋全这对儿的戏也好            
(4星)	 那个时候也算是一面旗帜呢，一个新时代            
(5星)	 还不错，不过多了就烂了，同一题材，看一部就够了            
(4星)	 爸爸喜欢的。。            
(3星)	 不太能理解的社會            
(4星)	 　　英雄团长石光荣没想到一次激情的遭遇，使自己陷入了一场爱情的持久战，但他以独有的热情和执着，为爱和被爱奋斗到了生命的终点，他爱得那么深，那么无怨无悔……            
(NA)	 hao             
(4星)	 开创了军人爱情题材的一个新角度            
(5星)	 守着电视看完, 少有的            
(4星)	 戏里戏外的岁月都在燃烧            
(5星)	 老老实实从第一集开始看,便会觉出好玩.断章取义观看,可能看不下去.            
(4星)	 以前的人们太可爱了~~            
(5星)	 好看            
(NA)	 八错            
(4星)	 前面还行            
(NA)	 当石晶晶在火车上偶遇胡达凯的片断，每看必哭。“8年了，我象一个战士死守着对你的那份感情。一生能有几个8年？”            
(NA)	 石光荣很像外公啊。。。            
(NA)	 看过几遍，确实有激情            
(5星)	 红色激情~~            
(4星)	 人物塑造很到位。            
(NA)	 糙，但是很男人...生活，就是一天天过的...            
(NA)	 很喜欢那里面的人物~~演得很逼真。。。同时也喜欢里面的背景音乐            
(5星)	 因为它喜欢上了军旅题材的影视片！喜欢上吕丽萍这样的中年演员！            
(NA)	 和外公一起看~他太留恋他们那个年代了            
(4星)	 真的很好看！！！只限第一部            
(NA)	 掀起一片怀旧潮。            
(5星)	 觉得很真实 很像爷爷            
(4星)	 很好的关于人生的电视剧            
(5星)	 石 光荣            
(5星)	 吵吵闹闹的就这样过了一生，戎装军装就这样相伴到老            
(4星)	 尽管他们的结合方式让人难受，但是生活中的磨合还是值得一看。尤其是老了，像小孩子一样斗嘴，真的很好笑            
(4星)	 这个时代还有如此的激情吗？            
(4星)	 这俩人居然后来也结婚了。。当时看好的一部革命后半期的剧，哈哈~            
(4星)	 感动！我们全家都爱看！            
(5星)	 很感人            
(3星)	 后来感觉也就一般            
(4星)	 的确很好看。。            
(NA)	 我不觉得好看 真的            
(4星)	 一二都不错            
(NA)	 随波逐流            
(3星)	 孙海英的经典，一剧成名，可惜不经看，现在怎么看怎么做作。            
(NA)	 那一辈的人呐            
(5星)	 真是有骨有肉的一个剧            
(5星)	 呵呵            
(NA)	 历史也可以这样好看            
(NA)	 关于爱            
(5星)	 do you have parents like them? if yes, then lucky you            
(5星)	 部分剧集看了超过10遍            
(3星)	 没看完            
(5星)	 和老爸老妈一起看的            
(NA)	 很经典的片子阿，每次电视台放的时候都会看，不错不错            
(NA)	 看过一部分，不错            
(NA)	 呵呵            
(4星)	 感觉可好了~            
(4星)	 我和爷爷都爱看            
(4星)	 嘿嘿，好喜欢女儿石晶，美丽大方，理智与情感并重的女人，用弟弟的话说就是：再也找不到我姐这么完美的女人了。            
(5星)	 我喜欢。我喜欢。我喜欢啊！            
(5星)	 演技不错            
(4星)	 老頭真可愛            
(NA)	 如果非要我给这部片子打一个分数，我希望能打比满分还高一分的Score！！            
(NA)	 很感动的一部电视，老了点，可是我依然很享受这种真实的生活，总是不等他们开口，我就会流泪，却心甘情愿            
