http://movie.douban.com/subject/3348511/	暗香
(3星)	怎么看怎么像是中国版的&#34;基督山伯爵&#34;啊~~~有深度的，不俗!
(4星)	拖沓了些许
(5星)	晓明演的角色就是我理想中的老公的类型，好希望能早点遇到啊~~！！！
(3星)	为了看黄晓明去的～
(3星)	不知为什么，看的过程中总想到网文的感觉，并且，其实任选一部拍出来都应该比这出色，精彩
(4星)	觉得整体上还不错，景色很棒，制作也可以~~
(NA)	看的过程人一个个的死，差点以为是郭敬明版的。这个。。 漏洞太多了还有走光的镜头也。还有里面一直出现我喜欢的那首 只差一步就是《闻香识女人》里面的探戈曲头三集我不明白为了什么 完全没意义为了出胶卷多赚点钱吧！一天多就可以看完。。 都来看吧！
(5星)	爱上程远了
(4星)	这么曲折的爱情....
(3星)	国产偶像剧的编剧还有待加强啊！
(NA)	黄晓明的演技啊，无语....
(1星)	太恶心啦。。太恶心了。。糊弄玄虚，装模作样的偶像剧。
(4星)	第一次，有一部电视剧塑造了一个完美男人的形象。
(4星)	还不错
(NA)	喜欢最后的结局，相信真爱的存在！！
(5星)	挺感人的，特喜欢这种绝望黑暗的调调，感觉特带劲儿。
(4星)	除了那些个英文。。其他都OK= =+
(2星)	米莱的影子
(5星)	最后一集 冬天 穿得棉棉的 烟花 相遇了
(4星)	很喜欢程远与伍月之间的每一次对话，其实很温暖很甜蜜…
(4星)	真得表扬一下黄晓明！让我看了整整19个小时！
(NA)	看了11集，实在没兴趣嘞
(4星)	整部电视剧都弥漫善与恶的较量，尔虞我诈的无硝烟的战争，而最后谁都没有胜利。家族，爱情，信仰，百年的诺言，让电视剧比一般爱情剧来的丰富和精彩，值得一看。
(4星)	奢华的排场~比起“爱情”标签，“商战”标签更贴切~
(4星)	程远的各套西服真是让我这个西服控大饱了眼福。情节还是不错的。起码还满紧凑的。
(5星)	看暗香的时候，有点压抑。我怕王珞丹要哭尽所有眼泪，却还无法谢幕。哪怕结局里在鸟巢前的重逢，伍月眼中，依然泪光闪闪。疯狂的爱，在不知不觉中挣扎。面对善良的伍月，程远永远甘心承认，她是他最大的弱点。那句”别伤着自己，我赔不起“再也不会对她讲。南亚机场最后的拥抱，从此他们两不相欠。各奔东西的刹那，悲。伤。如果伍月的记忆根本无法找回了。那会不会是最轻松的结局。这样的回忆，伍月担当不起。被程远一把搂在怀里，她却哭着喊着”我是不是上辈子欠你的了，我怎么就逃不开躲不掉你，我怎么就逃不开躲不掉你。“程远总是说
(4星)	还是不错的
(2星)	完全是为“色”给的分
(4星)	我喜欢黄晓明，哈哈哈哈
(4星)	好喜欢王珞丹。
(4星)	有无数个词可以形容这部电视剧 也许 每个人都不一样 但是作为23岁的我 我很喜欢
(3星)	商界大战~~~虽然剧情有时不够严密，但是金蝉岛的背景设定还是颇有新意的，让人思考家族企业的末落和海外华人的辉煌与磨难
(4星)	我说这是一部我唯一觉得像一点样子的国产偶像剧。我觉得都是GUCCI的功劳。
(5星)	完美组合！
(3星)	编剧太狗屎了，真TM纠结的剧情。好在主角还帅还漂亮。
(4星)	感动了…… 有一种情 叫隐藏。。
(4星)	不管怎么样··比高丽棒子的好看···
(5星)	呵呵，我们嘎的明哦。。。还有我很看好的王路丹。。。剧情也很不错啊，程大的一生奋斗，终在婚姻上是失败的，但第4任程先生程远的事业爱情双丰收可谓是皆大欢喜啊
(5星)	帅哥美女的搭档。
(5星)	很好看，很领人深思
(5星)	超好看
(4星)	看来我得连着看……
(3星)	剧情不咋地 明星加科星
(3星)	复杂得有点揪心，不过，爱情本身还是很美。
(3星)	片花做得还挺小言的
(3星)	只有小明的帅而已
(4星)	还是前几集轻松。越看越纠结。
(3星)	大起大落，人生之乐
(2星)	黄晓明这演技着实有问题~~
(5星)	长时间没有看过这么有悬念的电视剧了，大概真的太久没有看电视了哈。这几天一直守在电影频道等候着。。某天看了一下子被剧情还有人物吸引啦。。伍月好喜欢你里面的性格哈。。还有黄晓明我真的承认你是中国大陆男星里面超帅的哈。。稀饭你们～强烈支持哦！还有很佩服导演同志。。致敬哈！
(4星)	喜欢王络丹，从《奋斗》《我的青春谁做主》到这部《暗香》，一直喜欢，所以看了这部电视剧。感觉感情戏少了点，不过黄晓明的扮相够帅，小衣服忒有形了！
(5星)	超好看··程远超帅··
(2星)	to be honest..王珞丹小姐哭起来真难看
(4星)	剧情始终有看点，让人没有喘息的机会，阴谋重重，最危险的其实是你最亲近的人！
(NA)	看看吧，挺不错的
(2星)	为了小样看得但是王络丹没有突破黄晓明耍帅耍得把演技彻底掩盖了……剧情……有点扯
(3星)	怎么说呢，无聊吧。。。
(4星)	第一次觉得黄晓明帅啊 我母上大人都爱看
(3星)	讲老实话，我是冲着王珞丹去看的。总体感觉还成。。。
(3星)	前半部分好看，后半部分bug实在太多了。。。
(5星)	大陆剧现在进步了。。。。
(NA)	王络丹一贯风格，很喜欢
(4星)	you&#39;re an angel
(5星)	在FINAL时，可爱的室友尽然忍不住通了几天宵把这片子给看完了。。。我还记得我凌晨2点爬起来继续看书时，发现室友正在看暗香；复习到4点，实在觉得要睡了时，室友依然在看暗香，于是微弱的“暗香”带来的灯光伴我基本在4：30入眠了吧。。。后来一个寝室都跟着看了！！确实好看！！！
(NA)	纯粹一部偶像剧 挺喜欢里面的黄晓明的如果剧情可以提高就很好了
(2星)	为皮皮的爱，丽达的爱给了个星。为其他配角的精彩表演给了另外一个星。
(5星)	看过的最好看的国产电视剧~太好看了~
(4星)	挺好看的!拍出点儿偶像剧的味道了.
(3星)	挺自然的演出～
(5星)	是近期看过的最好看的电视剧，让我对国产电视剧刮目
(4星)	前一半的悬念商战不错，可惜后面越来越弱智。。。
(4星)	终于看完了33集的暗香。剧情有点像老太婆的裹脚布，逻辑极差，前后矛盾。但是黄晓明实在是很帅，能看完这部片子，主要还是冲着他，服装非常养眼。王络丹很可爱，还是老一套的调调，她的戏路基本上没有什么改变。
(4星)	大陆电视剧中算是好的了
(5星)	大陆剧中的佳作!
(4星)	看完第二遍,觉得这爱情故事制作的有点拧巴.可是因为有了王珞丹,还是看了不止一遍.黄晓明确实也是很帅的,起码在剧中是的.
(3星)	得得地~
(5星)	很好，王和黄演得很好，我很喜欢这部电视。
(3星)	伍月这角色总觉得不怎么讨喜~GUCCI的衣服蛮灵的~！
(2星)	完全是冲王络丹去的...但是仍被雷得外焦内嫩
(3星)	剧情比较狗血，看在主演还喜欢的份上给三星
(3星)	有点金粉世家的感觉。整体感觉还不错。
(4星)	地方美丽，男主角衣服好看，黄晓明演技很好！！！
(NA)	我喜欢   很好看啊
(5星)	喜欢程远和伍月的爱情
(3星)	被宿舍同事逼着看了一天黄晓明，从第一集到第二十八集，产生严重的视觉疲劳。。。不太像是内地的剧，情节还可以，虽然大部分都被我跟是友猜中了。奇怪的是，该死的人都死了，该在一起的都在一起了，剩下的几集拍什么呀。。。。
(3星)	不愧是GUCCI赞助的服装！够华丽！但同时又有些疑惑：为什么电视剧总是会出现女主角失忆这样的情节？白马王子加灰姑娘这样的格外落俗套的故事什么时候能换成点儿新鲜的？
(3星)	有点太墨迹了，节奏慢，剧情啰嗦
(3星)	看美女不错的～
(4星)	很复杂的家族史+很狗血的偶像剧，真不知道是新鲜组合还是不伦不类……
(3星)	实在看不下去了
(3星)	觉得还是开头的前传最精彩，程家的发迹史……补充下，里面黄晓明的衣服简直太帅，
(3星)	颇有港台风。。没自己的原创，内容也不够新颖，形式也不够洒脱。。。
(3星)	我承认是冲着黄晓明去的~为啥会爱上伍月我到现在还是稀里糊涂的，好吧我确实对王珞丹不感冒，觉得里面还是女二好看~剧情也还有点看头不然我也坚持不下来的~相对来讲，配角都蛮不错的
(2星)	太多BUG。黃曉明還是那麼像猴子。
(4星)	整个片子 做的还不错 里面的黄晓明很帅气 西装够嗲
(4星)	说实话，没有想象当中的好
(3星)	开始看的热情很大，但后面支撑我看下去的就是我看电视剧的原则了——所有电视剧必须都得看完！
(2星)	完全为了王珞丹。
(4星)	就昨天晚上看的我喜欢王珞丹!
(4星)	晓明在里面好帅啊~
(NA)	....和以前看的都不同..但是这爱...在现实中不会有吧...
(NA)	为了看演员而看的电视剧
(NA)	很久没看这么长的电视剧了，一直在看电影，很是坚持，因为喜欢王络丹所以看了，觉得后半部分情节很是拖沓，总体故事不错
(3星)	虽然最初看这部剧有王珞丹的原因，但是看到后来还是有一点失落的，为什么越来越觉得米莱、钱小样、伍月是一个让你呢，同样的语气、同样的性格、同样的有点傻傻的......
(3星)	冲王络丹去的。看完还行。觉得还是奋斗很青春比较好看，比较有激情。
(1星)	编剧太烂了。剪辑也烂。
(5星)	黄晓明演得好帅，好男人~
(5星)	  感觉还不错，里面的黄晓明，真帅！其他形容都有些多余，反正超帅，之前我没这么喜欢他，嘿嘿。不过，我觉得越到结尾越感人，尤其是琳达要自杀那段开始，皮皮的言行，让我哭得稀里哗啦，蛮感人的……感觉他从开始到最后，成熟不少。真好……全剧终，回味，伤感几许，感慨万千……
(5星)	国版007.场面超大。
(NA)	精彩，好看！！看过之后很长时间摆脱不了剧情，一直在想伍月，程远……
(4星)	主要是黄晓明很帅！
(5星)	男女主角在感情中既感性又理性、既真挚又大度，值得敬佩。
(4星)	为了王络丹而去，惊奇地发现黄晓明原来挺帅的....一部豪门恩怨剧
(4星)	不错
(5星)	因为珞丹看的,却中了小明的毒
(5星)	比预想的好看
(4星)	算是不错的大陆剧了
(4星)	内地的偶像剧的一次飞跃，至少从画面、排场上来说是这样的，剧情也很符合偶像剧的套路，男主的演技也相当的不错……
(5星)	我不冲着男主角也不冲着女主角，想说，这样一部30多集的电视剧能让我不用跳的来看，真的不错！
(4星)	有點瘧心...但還真挺好看的
(5星)	挺好看哒~
(4星)	国产片里不错的，结尾的感觉差了一点
(NA)	很喜欢里面的 程远 在这个金钱物流的社会很难的有这样的人存在
(3星)	偶像剧的情节~
(2星)	看了10 集放弃了...什么剧情...
(4星)	暗香，是凋零时残败的美。
(4星)	我喜欢七叔和二姐。
(3星)	黄晓明好帅啊啊啊！！！王珞丹除了会哭什么都不会！！
(5星)	看完之后让我无法释怀
(3星)	和凤一起
(4星)	没看完 看了一半
(4星)	情节太拖沓，看帅哥美女吧。。。
(4星)	黄晓明好帅
(3星)	真完蛋，剧情猜完了
(5星)	黄晓明很帅  
(3星)	前几集让我激情澎湃，后面的让我无奈
(5星)	很棒
(4星)	你会喜欢上
(3星)	漏洞百出。
(4星)	冲着黄晓明！
(3星)	怎么说呢  觉得刻画不怎么细腻
(NA)	丹兒~~~不靠谱的结局呀，比大裤衩还“振奋人心”的鸟巢呀。。。。。。汗都没处滴了
(4星)	浪费了，其实可以拍得更好。。
(4星)	王珞丹该跳跳戏路啦。黄晓明还是不喜欢你，装酷觉着不舒服。
(5星)	情节紧凑，爱恨纠结，十分好看就是了。居然发现编剧是张挺，怪不得拍的时候说剧本有问题，唉，老猫辛苦了。
