http://movie.douban.com/subject/2229596/	东游记
(NA)	 教主            
(3星)	 陪伴我度过某个假期的电视剧            
(3星)	 小时候逃出去看小店里的电视机，印象深刻啊            
(5星)	 喜欢牡丹仙子！            
(NA)	 百看不厌的电视剧            
(4星)	 小时候很喜欢龙三和韩湘子,那时挺希望何仙姑和穿山甲在一起的,因为穿山甲很痴情......            
(4星)	 小时候很喜欢的一部电视剧啊~~            
(NA)	 咆哮！！！！！            
(2星)	 不是一点点囧            
(5星)	 我记得何仙姑！            
(3星)	 九寨沟很美，马景涛里面还蛮帅的            
(4星)	 加的一星给咆哮教主！！！！！！！！！！！！！            
(4星)	 小时候对神话古装很是喜欢，特别这种人多的            
(1星)	 不想回忆！！！！！！！1            
(4星)	 很好看 很喜欢这部戏的情节            
(3星)	 吕洞兵啊。。。            
(3星)	 爱情的部分很扯淡            
(3星)	 ！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！            
(5星)	 教主=。=            
(4星)	 主题曲 很好听 ，外景不错，教主不咆哮时还是很帅的。            
(4星)	 太长了            
(3星)	 郭妃丽是那什么牡丹精吧？忘了            
(3星)	 喜欢白牡丹            
(NA)	 马景涛是那时候我心目中的男神！            
(3星)	 最近好多台再放，现在果然只能当它是喜剧看了。            
(2星)	 还记得这个吗            
(4星)	 伦家好喜欢的说！！！！！！！！亲！！！！！！！            
(4星)	 那时就对马教主的大嘴有很深印象            
(4星)	 那时候超喜欢马哥的 哈            
(3星)	 小时候整天看这个= =            
(2星)	 搞来搞去搞不清楚的一部电视剧，小时候不断地重播……怒            
(5星)	 八仙数一数，吕洞宾，铁拐李，何仙姑，蓝采和，穿山甲……            
(NA)	 哇 我喜欢何仙姑 因为她是个漂亮的好人            
(5星)	 不知道看了多少遍了，马景涛帅到不行，白牡丹也好美~主题曲那个叫感人！            
(3星)	 主题歌还凑合            
(NA)	 ……狗血，第一次知道狗咬吕洞宾这句话            
(4星)	 我喜欢牡丹仙子！不喜欢里面的何仙姑！            
(3星)	 以前觉得咆哮马好帅啊~~~       牡丹仙子无论什么时候看都好漂漂。。。            
(NA)	 郭妃丽啊！            
(4星)	 八仙过海的再演绎~            
(3星)	 白牡丹很漂亮            
(NA)	 当初看得很欢快~            
(NA)	 = = 演员们那。。            
(NA)	 拜见教主！！！！！！！！！！！            
(4星)	 教主收敛些的片子啊哈哈~好喜欢何仙姑和兰采合和一众八仙啊~最讨厌啥啥仙子来着~~~            
(5星)	 景涛当年清新！            
(4星)	 觉得这本里面的教主格外飘逸！！！！！！！！！！！！！！！！！！            
(3星)	 牡丹仙子多好啊，痴心一片的~~~            
(4星)	 纠结            
(3星)	 我明白，寻找真理的路充满艰辛。实现自我价值的方式容易让人迷失。            
(5星)	 外景不错的~~            
(3星)	 居然是新加坡拍的啊。。教主！！！            
(NA)	 其实我曾经也是电视剧女王！！！！！！！！！！            
(5星)	 玫瑰仙子  大爱            
(NA)	 哈哈。小的时候~            
(3星)	 一度为之疯狂            
(3星)	 人森啊，青春啊            
(3星)	 我就记得何仙姑那部分啦，一直想不起来是谁演的。            
(4星)	 唉，当年就希望何仙姑和吕洞宾能在一起，死看不顺眼那虾米白牡丹~~~            
(5星)	 断断续续看了N遍 这个台放完看另外台 囧            
(NA)	 就演那个神马韩湘子的特别喜欢!! 有受的气息~~!瞅着像公孙策~!            
(4星)	 何仙姑三分            
(4星)	 郭妃丽            
(3星)	 是不是坏人就不能变好呢？我印象最深的，却是穿山甲对何仙姑的一如既往。            
(3星)	 当时还不知道咆哮马这个称号，只是觉得吕洞宾好帅牡丹很美……            
(5星)	 不可抹灭的经典            
(5星)	 小时候看的时候更钟情于何仙姑和吕洞宾，而今多年后再翻看心中真正惋惜的却变为白牡丹了...最后牡丹遥遥相望不了前因却会心的微笑让我无比怅惘，一个不明前世，一个欣然远游，不过是天若有情天亦老，然而苍天亘古无变...            
(4星)	 ···            
(5星)	 马景涛超帅！当年这部剧他是亮点！最爱吕洞宾！            
(3星)	 我妈说一听到插曲就头疼，不知道看了几百次            
(3星)	 我居然当初特别迷这个...omg            
(NA)	 牡丹太美了~            
(5星)	 老早老早的就看过。现在看依然很好。            
(5星)	 郭妃丽怎么能好看的这么特别啊？            
(3星)	 起码让我知道鸟是哪八仙~            
(5星)	 我那个时候怎么就那么喜欢捏？            
(4星)	 我当年是真的好喜欢啊            
(4星)	 郭妃丽怎么可以这么漂亮。这辈子对女人没啥指望了            
(4星)	 哇這個太經典了！            
(4星)	 话说这个我很喜欢            
(3星)	 其实我喜欢的是吕洞宾和何仙姑的配对 ==            
(5星)	 这部电视剧应该是我这辈子看的最好看的电视剧之一了。我觉得整部电视据在拍摄的过程中注意到了很多的问题，通篇不仅阐述着佛理，同样也有道家的学说，我局的这部片子的编剧在这方面下了很大的功夫的。            
(4星)	 何仙姑。            
(3星)	 当时挺喜欢龙三和穿山甲。            
(3星)	 唯一记住的是郭妃丽真美...            
(3星)	 景涛 你淡定些。            
(2星)	 我勒个去...还有6.5分呢...            
(3星)	 小时候看的。            
(3星)	 景涛兄            
(3星)	 郭妃丽有一种特立独行的气质，总能第一秒扯走我全部的注意力。            
(3星)	 居然唯一记住的演员是牡丹仙子…            
(4星)	 唉哟，这剧老欢乐的，什么玫瑰牡丹仙子的，上海台每到暑假就重放~~            
(2星)	 我就是讨厌马景涛！！！            
(3星)	 马哥你那会这么美好咋就变咆哮教主了呐。。。            
(3星)	 郭妃丽！            
(4星)	 当年只知道马景涛老喜欢暴青筋怒吼 现在才知道人家这叫咆哮            
(4星)	 那个时候看得不想睡觉，其实是部很用心拍的片子啦。            
(5星)	 帅哥美女一箩筐。            
(4星)	 走啊走啊走，好汉跟我一起走~当初多信么希望何仙姑配吕洞宾，可惜啊            
(4星)	 啊哈啊哈哈 (￣▽￣&#34;)            
(3星)	 很喜欢郭妃丽~~            
(4星)	 没想到小喽喽的穿山甲最后变成大Boss，爱恨让人的潜能无限大……那时候一直想何仙姑和吕洞宾在一起，不喜欢那什么仙子……            
(3星)	 这就是我一边说雷人一边还看的剧……            
(1星)	 磨叽            
(3星)	 又见小马哥 不过我是喜欢郭妃丽的 新加坡女生怎么看起来那么舒服 奇了怪了            
(4星)	 小学可爱看了。。。。            
(NA)	 可以            
(3星)	 为什么我也看过...            
(3星)	 孙悟空居然和龙三结婚了。。。            
(NA)	 小时候暑假一定要看的啊..现在看何仙姑哪能这么难看和穿山甲哈配..            
(5星)	 经典啊|||！            
(3星)	 郭妃丽很漂亮            
(4星)	 主题曲好听！            
(4星)	 当年我也迷恋过教主~~啊啊啊啊啊啊~            
(4星)	 剧还可以,马在里面还算不错,超喜欢郑秀珍,可惜现在不怎么看到了,郭妃丽也不错            
(3星)	 记得以前星期五追这部电视剧老是上学迟到。。。            
(4星)	 喜欢白牡丹            
(4星)	 当年的大爱呀            
(4星)	 好像我从来都很讨厌教主啊|||那会儿好像喜欢韩湘子和蓝采和的～不过感觉韩湘子戏份好多啊，戏份太多我就不喜欢了～～还有什么牡丹仙子的，讨厌啊，连带何仙姑也不是很喜欢。龙三公主还不错，漂亮可爱的。主题歌会唱的，还算挺好听吧            
(3星)	 喜欢何仙姑            
(NA)	 小时候超喜欢看。            
(3星)	 想当年一直觉得吕洞宾跟何仙姑才是一对   对牡丹仙子一直没啥感觉=A=  现在又从头看  里面的特效看的我想抓狂            
(3星)	 哈哈，马景涛演得吕洞宾            
(4星)	 纯喜欢             
(4星)	 原来它是新加坡剧            
(4星)	 我觉得比西游记好啊            
(2星)	 扯淡呢~            
(5星)	 小时候很爱看的，总希望白牡丹能跟吕洞宾在一起得了，但中间似乎还有个何仙姑，也是让人纠结的。。。            
(3星)	 教主！！！！！！！！！！！！！！！            
(5星)	 牡丹~            
(NA)	 小时候的恐怖片，靠，当时从来不敢一个人看，吓个半死。。。            
(5星)	 无比的喜欢当时的吕洞宾！！！！！！狂爱！！！！            
(3星)	 原来东华上仙是咆哮马啊。。。            
(4星)	 珍贵回忆呀，其他什么都不记得就记住了穿山甲！！！            
(4星)	 以前看时没觉得郭妃丽漂亮，之后重看时觉得真美。            
(4星)	 当年印象很深，现在只记得何仙姑和吕洞宾了            
(2星)	 不喜欢新加坡电视台的叙事风格。松散！郭妃丽真心是个漂亮的姐姐！@Home            
(5星)	 我就记得那些女人都好漂亮了~~            
(2星)	 看得太纠结，boss总是死不了，跟大蛇丸有的一拼            
(3星)	 当年超爱听这主题曲            
(5星)	 还以为白牡丹会大红的。那时候多美呀            
(4星)	 當時好迷景濤兄啊- -            
(3星)	 记得1999年在深圳的时候天天晚上看，还因此被批。            
(5星)	 我的童年，有它陪伴            
(5星)	 当初我还在纠结为嘛何仙姑不是跟吕洞宾一对的- -还记得片头曲有一句&#34;天若有情天亦老&#34;......            
(3星)	 喜欢何仙姑和穿山甲…他们是不是还合作演过别的戏？小时觉得韩湘子一段异常残忍。            
(5星)	 景涛又见景涛            
(2星)	 我还挺喜欢郭妃丽的~            
(3星)	 走啊走啊走，好汉跟我一起走。            
(3星)	 小时候对演员演技神马的还没什么概念 ORZ   现在打死估计也不能再忍受他了= =            
(5星)	 马景涛力作            
(3星)	 好看哇，因为人物和情节我还都记得，难得            
(4星)	 第一次看觉得吕洞宾就应该和何仙姑在一起~~再长大一些，喜欢上白牡丹，其实，他一直是爱着她的吧，前世今生。何仙姑其实就是那种红颜知己，可以相伴，不能相爱。看着他们三击掌，果然豪气干云。            
(4星)	 当时喜欢            
(3星)	 八仙的故事~~            
(4星)	 两大游记之一的东游记啊            
(3星)	 这部剧让我记住的就是牡丹，郭妃丽啊郭妃丽            
(4星)	 哈哈，确实是一路曲折            
(5星)	 走遍哪青山人未老 少年壮志不言愁  初中每年夏天湖南台必温节目            
(3星)	 很久的片的             
(3星)	 当时很喜欢，一直记得何仙姑说的一句话。            
(3星)	 一直耿耿于怀为什么吕洞宾不爱何仙姑，看来小时候我就要门第之念了哇            
(NA)	 …………            
(NA)	 何仙姑啊何仙姑            
(4星)	 我爱穿山甲            
(3星)	 郭妃丽长的挺美的，马景涛也不再怒吼了，俊男美女挺不错的            
(3星)	 又是一个我看了不下5,6遍滴不好看的电视剧~            
(5星)	 好喜欢看这个的。            
(3星)	 我那时候觉得教主其实还挺帅的...            
(3星)	 教主！！！！！！！！！            
(3星)	 咆哮帝啊·            
(4星)	 他在我童年就很咆哮呀···            
(4星)	 马景涛！！！！！！！！！！！！！！！！！！！！！！！！！            
(3星)	 小时候真的超喜欢看。            
(4星)	 这部剧也一度让我觉得很神奇 .. 记得当时觉得牡丹仙子特美，特希望吕洞宾跟牡丹仙子成了            
(3星)	 马景涛是男猪脚 吕洞宾 帅嘞~            
(3星)	 对最后一集一直耿耿于怀的偶            
(3星)	 何仙姑。。。            
(5星)	 郭妃丽跟王菲真像 最近跟着电视重温 可以育人的好剧 九寨沟的山水~~            
(3星)	 八仙的故事            
(4星)	 八仙啊~            
(3星)	 马景涛!            
(5星)	 看过的最能折腾最狗血的原创神话剧            
(NA)	 小时候特喜欢的神话剧~~            
(NA)	 最爱何仙姑~~            
(4星)	 马景涛。。。白牡丹很漂亮啊            
(4星)	 当时候觉得吕洞宾何仙姑本来就应该是放在一起的，什么时候都应该在一起的。。。那时候多小多小 啊我。。。            
(2星)	 挺吓人的            
(5星)	 小学假期的必看之作啊！！！            
(3星)	 哇，这部剧，不是一般的老啊，想当年看的时候，觉得再没有比这部更好看的电视剧了。。哈哈，那是还真幼稚呢。            
(3星)	 牡丹好美~            
(4星)	 当时时为牡丹仙子的美给震惊了，知道现在还是觉得她很美很美            
(3星)	 八仙过海            
(4星)	 = =童年的我真的觉得很好看来着。。以上是小学时期的我打的分= =||~            
(NA)	 无语 = =             
(4星)	 印象深刻            
(5星)	 好看！而且我喜欢那个牡丹仙子哇~            
(4星)	 当时喜欢何仙姑~            
(5星)	 新加坡难得的经典之作            
(4星)	 小时候挺喜欢看的~~那个龙三怎么也不老真神奇            
(3星)	 当时很讨厌白牡丹，感觉她是阻挡吕洞宾和何仙姑的元凶            
(3星)	 我以前跟着大伙一块看的电视剧真是多哇~            
(2星)	 和西游记后传有的一拼！            
(NA)	 哇这个里面真的有我喜欢的靓女！            
(4星)	 心中有一个牡丹？！            
(4星)	 吕洞宾和何仙姑，这两人好有爱。            
(4星)	 编剧服装道具演员都符合一部耐看电视剧的标准，小马的电视剧我不反感的不多，这就是其中之一。            
(4星)	 何仙姑还是很漂亮的            
(4星)	 蛮虐的            
(4星)	 当时觉得很好看。现在看来，难看的古装剧太多了，这个其实不错=..=            
(4星)	 小时候超喜欢的- -            
(3星)	 中间吕洞宾中邪的那一段真纠结            
(3星)	 牡丹仙子郭妃丽            
(3星)	 我比较喜欢看有关轮回的部分            
(3星)	 怎么这些古装还是新加坡拍的。。。八个神仙，各有各的故事。其实这个片子是沾光还珠2，不然怎么可能在电视机前待这么久。。。。            
(NA)	 久远的记忆。            
(NA)	 总是看不全            
(2星)	 我当年是打心里讨厌这片，但湖南台老放            
(3星)	 风景不错，剧情有点扯            
(4星)	 咆哮帝演吕洞宾....            
(NA)	 小时候的最爱之一。那时候不懂为什么很喜欢吕洞滨。             
(3星)	 咆哮的马哥            
(3星)	 剧情还不错吧，觉得那是的马景涛蛮帅的~            
(3星)	 本来想给四星怀念一下童年的 但是猛然想起还有咆哮教主的存在，，手抖了一下 变三星了，，            
(5星)	 堪称经典  九寨沟之行由此而来            
(4星)	 第一次迷上爱情……            
(3星)	 哈哈，竟然还看过这个。。             
(3星)	 我好像比较喜欢有点科幻的片            
(2星)	 神仙，妖精也太丑了吧。            
(4星)	 小时候觉得还不错            
(5星)	 郭妃丽好美            
(4星)	 我真喜欢那个主题曲。。            
(3星)	 什么新加坡剧？不都是大陆人么            
(4星)	 童年剧！当年追的很欢~~            
(4星)	 吕洞宾被蜘蛛精迷住那段…害我做恶梦…至今记得            
(3星)	 没有咆哮的小马哥。。我好想他和何仙姑一起来着，可是两个人都一本正经的当着神仙。。            
(4星)	 儿时的回忆，虽然当时没太看懂。            
(4星)	 新加坡/从这部剧学到了只有：狗咬吕洞宾,xxxxx            
(4星)	 嘻嘻~八仙过海~            
(3星)	 曾经的暑假。暑假。            
(4星)	 很早很早了,那时候觉得吕洞宾跟韩湘子都很帅,靠            
(4星)	 哈哈            
(NA)	 我还能唱出片头            
(5星)	 我赛....这个我喜欢的不得了啊            
(3星)	 原来是新加坡拍的额。。。貌似是小学时候看的。、、            
(4星)	 觉得穿山甲很执着，执着的可怜！            
(4星)	 啊~~何仙姑~~牡丹仙子~~            
(3星)	 哇~八仙过海~看过好几遍~咆哮教主的白衣形象在这里到达巅峰了~            
(4星)	 四星给郭妃丽和郑秀珍            
(4星)	 穿山甲那令人厌恶的嘴脸 印象深刻            
(5星)	 小时候还挺喜欢看的            
(3星)	 何仙姑大美，涛哥你擦亮眼睛啊...亮眼睛啊...眼睛啊...睛啊...啊...            
(3星)	 我还记得小学时候跟好朋友披着床单演过这出戏。。。            
(4星)	 马景涛演的相当好。。            
(4星)	 以前每次放都会看            
(2星)	 不论是上仙还是吕洞宾，都负了白牡丹            
(4星)	 新加坡的片子和香港台湾的片子一样，光看画质就看得出来~白牡丹好漂漂~            
(3星)	 忘不了绑红绳那一幕            
(4星)	 童年剧。当时多么心水仙姑跟吕洞宾啊，Y的那牡丹仙子硬是来插一脚，讨厌死了。主题曲好听。            
(4星)	 记不清具体了，只是好像最后被穿山甲的那番真心表白打动了。可惜，何仙姑爱的是吕，对他只是师徒而已。            
(5星)	 龙三公主是最爱。            
(4星)	 喜欢op还有吕洞宾~我去，吕洞宾竟然就是景涛兄！！            
(3星)	 喜欢主题曲，还有牡丹仙子的美人痣            
(NA)	 我的神，外婆，换台好不？            
(4星)	 景色真好..小时候对电视上的感情都很入迷:p            
(3星)	 记忆中的古装片。。哈哈。。还不错吧。。八仙过海各显神通。。比现在古装片拍的好。。            
(2星)	 吕洞宾、何仙姑、在一起在一起在一起...从小就希望他俩在一起...            
(3星)	 后半完全是教主的情感纠葛史            
(4星)	 当年看了好多遍的片子啊            
(4星)	 我就喜欢景涛兄和仙姑暧昧            
(4星)	 东方姐姐的何仙姑也很惊艳，九寨沟真是人间仙境啊！            
(4星)	 我想哭了。 吕洞宾与何仙姑！            
(4星)	 好想重温            
(5星)	 小学看的经典电视剧。。mark一下！            
(4星)	 op            
(NA)	 对里面的蓝采和很深刻            
(4星)	 记得结局巨雷无比，八仙合体为超级吕洞宾（完全就是一唱京剧的造型）……            
(5星)	 吕洞宾~~            
(NA)	 歌好听            
(4星)	 喜欢龙三公主。。            
(4星)	 当时就觉得咆哮马演的吕洞宾还帅，还有白牡丹好美            
(NA)	 以前很萌何仙姑和吕洞宾            
(4星)	 吕洞宾和牡丹            
(3星)	 马景涛可真帅……            
(4星)	 新加坡电视剧            
(2星)	 我的天，这部真是怪力乱神啊。            
(3星)	 何仙姑。。。吕洞宾。。。            
(3星)	 穿山甲 - -            
(3星)	 很傻很天真的时候 还守着看的            
(4星)	 当初看的时候，对穿山甲是又恨又爱。            
(4星)	 当年就喜欢穿山甲            
(4星)	 牡丹仙子好美啊~            
(3星)	 于是开始了我对吕洞宾和白牡丹的情愫啊            
(4星)	 小学和初中暑假之必看            
(2星)	 曾经很喜欢            
(3星)	 很明显的，歌比戏精彩。            
(1星)	 教主啊            
(3星)	 当时觉得里面的何仙姑很漂亮 是郑秀文她姐么            
(5星)	 小时候看到最后一集没电了，急的猴子一样到处找电视看。穿山甲痴情的真可怜，何仙姑怎么长的那么奇怪的            
(NA)	 新加坡的片也就那样了            
(4星)	 那白牡丹终究是错过了            
(4星)	 经典            
(4星)	 我一直认为吕洞宾跟何仙姑有一腿，牡丹仙子很漂亮            
(3星)	 两年前重新看过了一次，剧情冗长而罗嗦，但是仍看的津津有味。教主身披道袍负剑翩然的东华比白衣吕洞宾更让我喜欢，至于爱情部分，老实说穿山甲比所有人都令我动容            
(5星)	 我家胖虎左后腿被门挤了，因为我大晚上小初中生看电视不睡觉，天天被我姥姥骂，结果跑到我姥爷那屋找个小垫跟小狗似的趴地上睡觉，装可怜......后来在我家铺地板刷油漆之后强制性的霸占来了小屋当做自己的房间，可惜上了高中一夜之间我家把房子都卖掉了去东洲开超市~\(≧▽≦)/~啦啦啦            
(3星)	 挺有趣味的，哈哈，想看景涛不嘶吼吗            
(4星)	 小时候追的新加坡剧~~            
(4星)	 那时候我喜欢韩湘子            
(4星)	 小时候的记忆            
(4星)	 我好想再看一遍啊，当年一真以为仙姑是郑秀文            
(NA)	 呵呵，小时候会跑到楼下小妹妹家看…当时不知道马景涛是谁。等等…制片国家/地区: 新加坡？是吗？            
(3星)	 特效真好笑            
(3星)	 教主狂吼！！！！！！！！！！！！！！！！！！！！！！！！            
(3星)	 片尾曲是什么            
(5星)	 迷死我了，这景致。            
(NA)	 咆哮教教主威武！！！！！！！！            
(3星)	 咆哮马。。            
(NA)	 小时候特喜欢            
(4星)	 居然看到了这个！小时候很喜欢的            
(3星)	 上个暑假又看了一遍            
(NA)	 当年我喜欢百牡丹！1            
(3星)	 新加坡剧 咆哮帝师主角 大多数人喜欢牡丹仙子 我喜欢 何仙姑～            
(4星)	 当年好喜欢看这种神话剧啊！！！            
(3星)	 新加坡 马教主 要淡定            
(4星)	 马教主在里面还算正常~            
(3星)	 呦呦，迷过马景涛版的吕洞宾还            
(3星)	 还不错            
(3星)	 教主在这里面和那个何仙姑很配            
(NA)	 就是这部电视，认全了八仙。            
(3星)	 马教主的怒吼，那性感的鼻孔            
(3星)	 想起来真是烂片啊            
(4星)	 牡丹仙子她偏偏那样痴。            
(4星)	 我完全是凭着对郭妃丽的美丽容颜的花痴才给了那么高的星的~            
(3星)	 。。。。            
(NA)	 还是应该给三半？马景涛的吕洞宾还是很帅的说~~那时候才开始知道八仙是哪些人~~            
(2星)	 怪怪的            
(3星)	 对很多情节都不感冒，倒是挺喜欢龙三，以致后来一直都挺喜欢林湘萍的            
(5星)	 儿时的回忆，对我来说这剧很经典，当年大爱何仙姑！推荐！            
(2星)	 主题曲我喜欢            
(3星)	 原来是九寨拍的 美啊！小时候年少无知啊 通过这部奇怪的电视剧才知道了八仙~            
(4星)	 小时候挺爱看的            
(4星)	 看那会儿特希望吕洞宾和何仙姑好            
(3星)	 喜欢穿山甲~            
(4星)	 喜欢            
(2星)	 新加坡的电视剧怎么就是这样无聊又拖泥带水?            
(4星)	 太经典了            
(4星)	 偶觉得还不错啦~\(≧▽≦)/~            
(3星)	 教主洞宾威武 拜一拜！            
(5星)	 怀念！放多少遍看多少遍啊！！            
(5星)	 只能说我个人超级喜欢            
(5星)	 可以说是新加坡最经典的一部剧集了，太赞了，吕大仙被演绎的那么帅啊，特技效果也那么棒！            
(4星)	 儿时的美好记忆～那个时候很喜欢何仙姑来着……还觉得咆哮哥很帅……嘛……不过主题曲到现在还是很喜欢～            
(NA)	 啧啧，那个片尾曲当时还听得我心情激荡呢~            
(3星)	 小时候看的~~            
(5星)	 马景涛我曾经的梦中情人            
(4星)	 当时觉得蛮好看的……            
(3星)	 大美女郭妃丽~            
(4星)	 才知道这是新加坡拍的  汗了            
(5星)	 印象中的牡丹仙子非常美丽，额头中有颗美人痣，让我念念不忘多年。最后一集终于飙泪了。            
(4星)	 喜欢何仙姑 讨厌牡丹 至于咆哮帝吕洞宾 感觉很复杂             
(4星)	 以前觉得锦涛很帅啊啊啊啊            
(4星)	 白牡丹啊白牡丹。幸福总是那么远            
(3星)	 好小的时候看的……            
(4星)	 八仙过海            
(5星)	 喜欢吕洞宾经典            
(4星)	 那个吕洞宾啊~~            
(3星)	 我只看郭妃丽。            
(2星)	 咆哮教主            
(3星)	 嘻嘻            
(2星)	 讲八仙的            
(3星)	 甚是讨厌马景涛~但，九寨沟的风景不错！~            
(4星)	 形象特清新            
(4星)	 何仙姑和穿山甲，我好邪恶。片头的咆哮教主很销魂            
(4星)	 小时候。。喜欢。。。寒假陪我渡过。。。很有爱的剧。。。            
(3星)	 牡仙子丹还真香艳呀            
(3星)	 喜欢龙三            
(3星)	 很喜欢和马景涛演对手的人，好像是白牡丹吧?            
(4星)	 小时候觉得巨好看            
(4星)	 一入深宫里，无由得见春。 题诗花叶上，寄予接流人。            
(3星)	 没明白吕洞宾和何仙姑到底什么关系~            
(3星)	 一直都记得，最后的最后，她抬起头，和所有的凡人一起，好奇又兴奋地看着飞过的他们，叫了一声——八仙！            
(3星)	 牡丹仙子是美女！！            
(5星)	 神话传说的经典            
(4星)	 就记住了狗咬吕洞宾这个词~~            
(4星)	 太喜欢了，好看            
(4星)	 小时候很喜欢            
(4星)	 新加坡版的八仙都成了美丽帅气又多情的哲学家些，连主题曲都如此《任逍遥》：划一叶扁舟，谁愿与我共逍游？天若有情天亦老，不如与天竞自由。            
(4星)	 当年看的时候，非常喜欢吕洞宾和何仙姑这一对~            
(4星)	 九寨沟，让人魂牵梦萦的地方。            
(NA)	 想当年，我还多小啊            
(NA)	 特技太垃圾            
(5星)	 何仙姑~~~龙三~~~~~            
(3星)	 结尾曲有感觉            
(3星)	 一世又一世~牡丹~何必呢~            
(4星)	 某几个假期很喜欢            
(3星)	 看的我脑袋有点疼。。马景涛演的吕洞宾，无语~~            
(4星)	 最喜欢的版本 新加坡            
(3星)	 呵呵~當年看了很多遍，不知道爲什麽~            
(3星)	 很早以前看的 记得有八仙 当然喜欢何仙姑啦 那个龙女很好看啊            
(3星)	 是年纪小小的时候很爱看的电视剧~不管怎样，回忆是很美好滴~            
(5星)	 有一段时间老喜欢的，天天等到9点在看到10点睡觉。            
(1星)	 何仙姑配穿山甲。。。OMG            
(4星)	 曾经真的很喜欢这个剧            
(3星)	 何仙姑和那个穿山甲？印象挺深的..            
(3星)	 又有那种变得魔性的桥段，怕怕            
(3星)	 想不到马景涛演个神仙也没忘延续吼叫派风格。。            
(5星)	 九寨沟那是一个美啊，还有演何仙姑的那个，现在还是觉得漂亮            
(NA)	 假期偷看电视的节目之一。。。当时为马教主的吕洞宾深深着迷            
(NA)	 ！            
(4星)	 小时候很喜欢，小时候的感觉            
(4星)	 小时候看的很欢            
(5星)	 经典 我那时候可爱看            
(3星)	 狗咬吕洞宾！哈哈            
(2星)	 乱七八糟            
(5星)	 主题曲，情节，CAST我都爱，经典。继《新白娘子传奇》后最爱的神仙剧。            
(4星)	 乱云飞渡仍闲游            
(NA)	 喜欢白牡丹            
(5星)	 小时候的最爱之一。那时候不懂为什么很喜欢吕洞滨。            
(3星)	 白衣飘飘还是很帅的。            
(3星)	 3.5星。            
(4星)	 偷偷看的            
(3星)	 不知道小时候怎么这么喜欢。。。            
(5星)	 何仙姑 龍三 韓湘子             
(3星)	 记得以前是先放《错爱今生》的，然后再放这个，因为这2部里面几个演员都相同的！            
(3星)	 小时候很喜欢的奇幻电视剧，跟西游记还是差一点            
(3星)	 演的是八仙吧，现在想起来新加坡的电视剧都这么个味道~            
(2星)	 看完十几年了吧。。。只记得当时我就不喜欢            
(4星)	 看的时候，超想让吕洞滨和何仙姑去滚床单的，可是现在却真的不记得他们有没有滚了……            
(3星)	 原来是新加坡拍的。。            
(3星)	 难得涛哥不演琼瑶剧了            
(5星)	 爱了很多年，爱情圣典            
(5星)	 小时候老喜欢这部剧了。。。            
(3星)	 回忆起初中的疯狂……            
(3星)	 这个还是不错的，但是有些地方有点离谱的说~            
(4星)	 每个暑假都在放，蛮好玩的，看了好多遍。            
(4星)	 马景涛依旧很咆哮，可那时还年轻的我，觉得他帅的掉渣！长发白衣，一把破扇子一直耍，我真怀疑自己当年的眼光！            
(3星)	 应该看过。            
(4星)	 真的，比起国内改编的唏哩哗啦烂到无敌的片子来说，这片子很萌，很多台词很可乐~            
(3星)	 景涛大哥            
(2星)	 我曾一度觉得咆哮哥很帅……            
(3星)	 东华上仙的胡子万岁，主题曲万岁，韩湘子万岁。            
(3星)	 咆哮教主            
(4星)	 满喜欢            
(3星)	 因为西游记 所以小时候特追东游记。            
(3星)	 哇噻~~~除了我真的还有人看~~~            
(3星)	 我一看见马景涛就起鸡皮疙瘩~            
(5星)	 超喜欢牡丹仙子和白衣飘飘的吕洞宾。            
(5星)	 马景涛是第一个看上的男人，脸，和他手里转悠的扇子            
(3星)	 我那时候很喜欢兄洞宾和仙姑配的…………            
(3星)	 喜欢何仙姑的扮演者            
(4星)	 最喜欢郭妃丽，好美。            
(3星)	 我真的觉得吕洞宾和何仙姑在一起多好。。。我多喜欢他们在天地之极的三击掌。。。那不是爱是什么。。。            
(4星)	 当年很好看            
(4星)	 小时候超迷的电视剧~            
(3星)	 就记得何仙姑了~            
(NA)	 很喜欢牡丹仙子            
(3星)	 一般            
(2星)	 只记得主题曲片尾曲很好听，小马哥不咆哮的时候还是比较帅的            
(4星)	 现在肯定不能看了，给四星是小学的时候很爱看            
(5星)	 景色美，音乐好听。很有诚意的电视剧            
(3星)	 很喜欢东游记里的主题曲还有吕洞宾和牡丹仙子之间的爱情            
(4星)	 嗯，比西游记好看~            
(3星)	 九寨沟的外景，够美~            
(5星)	 妃丽郭            
(4星)	 八仙过海　各显神通　牡丹仙子很美　但是最爱何仙姑            
(4星)	 情；竟然至今还记得结局的画面，仙姑在一把幢在缅怀穿山甲，好像是            
(4星)	 小时候看的，那时候觉得很好看，尤其听到“走啊走啊走，好汉跟我一起走”那歌，记得里面有个千年情劫啥的            
(4星)	 小学时候全班讨论的焦点啊~~~            
(3星)	 一直以为是新加坡的片。。。怎么马锦涛混在里面。。。            
(4星)	 童年的回忆呐~有一阵很迷恋~            
(4星)	 小时候觉得牡丹仙子好漂亮            
(3星)	 老感觉马锦涛是色B……            
(3星)	 这个神话啊            
