http://movie.douban.com/subject/2189642/	北京人在纽约
(4星)	 千万里那歌一听，就好像穿越到了那个年代，小时候还看不太懂            
(4星)	 北京人在扭腰。。            
(5星)	 也是一经典了            
(5星)	 IF YOU LOVE HIM, BRING HIM TO NEW YORK            
(4星)	 曲子，太经典了。还有一种感情，其实当时根本不懂，就是接受了            
(5星)	 俺是王启明，阿春在哪？            
(4星)	 外面的世界            
(5星)	 王启明，我操你姥姥            
(4星)	 好老            
(3星)	 那时太小，应该是没有真正看懂。            
(4星)	 挣扎            
(5星)	 印象最深的居然是剧中女儿当时的一场情感戏 - -             
(3星)	 看得时候还太小            
(NA)	 那一幕            
(5星)	 小学最爱            
(NA)	 这里是天堂... 这里是地狱...            
(4星)	 姜文的演出很出彩……            
(5星)	 我最喜欢的电视剧            
(4星)	 90年代初大陆的上乘之作            
(NA)	 这是我接触的第一步电视剧 很好            
(5星)	 咱家女人的最经典。宝贝老大，千万里追寻你。            
(4星)	 只记得姜文演过这部片了。。。            
(4星)	 今安在……            
(5星)	 跟冯小刚有关，跟姜文有关，跟纽约有关。            
(3星)	 只记得听到刘欢叔叔的歌很难受~            
(3星)	 小学时候。跟着母亲看过。寒冷的冬季。记不住情节。却对这部片子有着很深的印象。            
(5星)	 姜文            
(4星)	 北京人在扭腰            
(4星)	 至今留给我印象最深的是姜文最后把仅有的钱赌掉了。            
(5星)	 老冯早期的片子            
(5星)	 刘欢的歌唱的真好！            
(NA)	 是不是從一開始，你就註定溫柔並且剛烈            
(4星)	 生活，现实            
(5星)	 如果你爱一个男人，送他去纽约吧；如果你恨一个男人，送他去纽约吧            
(5星)	 感情怎么会那么不堪一击？            
(NA)	 电视剧比小说好看不少            
(4星)	 8.5分，打四星。            
(NA)	 那个时代的迷惑！            
(4星)	 |1384:2488|            
(5星)	 当年我一定看疯过囧！            
(4星)	 印象深刻            
(NA)	 “千万里我追寻着你，可是你却并不在意。。。”            
(4星)	 怀旧            
(NA)	 好看            
(5星)	 小时候的记忆！经典！            
(3星)	 貌似当年很前卫            
(4星)	 当年的经典啊~            
(5星)	 无法更牛了，电视剧说台词儿的技巧，精髓都在这儿了。内容对现在泡羊水的人都有借鉴意义！            
(5星)	 看艾未未！            
(NA)	 这是电视剧            
(5星)	 Nice one!  Fantastic!            
(5星)	 王朔是才子阿春啊，心里的痛我至今也不明白为啥就女人坚强了就应该受伤            
(5星)	 那时候不要太火哟~            
(3星)	 主要是那时候偶太小了看不怎么懂            
(5星)	 老爹超喜欢            
(4星)	 小时候跟着爸妈看。            
(5星)	 太经典了~~~我还是喜欢那个时候的姜文~！            
(4星)	 王姬            
(NA)	 大李……            
(NA)	 王启明 我操你大爷！            
(5星)	 最后结束的话 我现在还记着 ：王启文 ，我草你妈对你好是情分 不对你好是本分 需要自己奋斗             
(5星)	 天津人也在纽约……            
(4星)	 很多年之后我才知道它深入我心。            
(5星)	 姜文！            
(5星)	 当我留学之后，几经风雨再看这个片子怎么看怎么哭。            
(NA)	 去？还是不去？            
(4星)	 从小就喜欢看            
(4星)	 挺无奈的            
(5星)	 难得的电视剧            
(5星)	 各自为各自的宿命奔波            
(4星)	 没有什么比这个能让国外漂泊的游子们更能感觉到贴切，即使过了几年十几年，依旧是那么真切，道理仍旧是那些个道理，你说呢？            
(5星)	 上大学以后还重新看过            
(4星)	 多年前的经典            
(4星)	 是我知道姜文的开始            
(5星)	 喜欢奋斗的感觉~~~            
(3星)	 不错            
(4星)	 time time again            
(5星)	 虽然有很多穿帮的镜头可我仍然喜欢姜文            
(3星)	 我瞧不起美国，就是从这部片子开始的~            
(4星)	 大陆很难得的有思想的电视剧            
(4星)	 太酷了姜文~~            
(5星)	 经典            
(4星)	 在那个时候这是一个潮流，无论它是天堂还是地狱，无数人潮顶礼膜拜            
(5星)	 如果你爱他，就送他到纽约，因为这里是天堂如果你恨他就送他到纽约，因为这里是地狱            
(5星)	 哪怕是十几年前的电视剧 现在看来仍然那么贴心 生活就是这样吧 有了这样丢了那样 看着这样想那样 究竟哪样好 只有自己知道            
(5星)	 我王启明到纽约了。            
(3星)	 当时很有感觉            
(NA)	 姜文、王姬谁能忘记？time and time again,你是我的唯一            
(5星)	 曾经的故事。            
(NA)	 小时候看电视剧，这部很精彩，歌很熟            
(NA)	 经典中的经典~！            
(NA)	 千万里我追寻着你            
(5星)	 那一代出国人的缩影            
(4星)	 没有太多的印象 但是直到影响了一代人            
(4星)	 这部电视剧对十几年前的我产生了很大影响            
(4星)	 我的童年            
(4星)	 国外生活的折射 生命总归是困苦的            
(NA)	 很喜欢刘欢的那首歌            
(5星)	 主题曲印象最深了            
(5星)	 对于国外对于现实的残酷的了解，从这部电视剧开始的            
(4星)	 没看完            
(4星)	 说老实话，看的时候压根不知道是这部片子            
(NA)	 19970701            
(4星)	 唉  都是 出来闯荡的  容易么             
(3星)	 没小说好看            
(4星)	 千万里我追寻着你。            
(5星)	 当时很火的一部片子，虽然看的时候还小，但印象蛮深刻的。            
(3星)	 我当时觉得王姬还真是漂亮得不行            
(3星)	 这些童年的电视剧……            
(NA)	 这部片子对我的影响大大的不好，因为他我排斥出国，尤其美国，人们都觉得美国是第一大国，我的眼中那就是个找罪的地方，总觉得到处是敌意的眼睛，抢劫谋杀，出了国门就要睡地下室，没完没了的体力劳动，人家才不管你的手以前是拿什么的，统统刷碗，包洋葱的干活。家人费了很大精力才让对出国消失了敌意，不过这部片给我的阴影实在是太大了，不想再看了            
(NA)	 童年的回忆了～～            
(4星)	 小时候看的，只记得里头有着无奈            
(4星)	 小时候看的电视剧，让我了解了海外游子的生活            
(4星)	 电视剧            
(5星)	 time and time again~最爱姜文！            
(NA)	 不懂的那个年代            
(NA)	 我为咩就只记得限制级镜头……            
(NA)	 代表了中国电视剧的一个时代            
(4星)	 让我们最早直观看到了大洋那边中国人的生活            
(4星)	 故事早就忘得差不多了，记住了姜文。            
(5星)	 喜欢            
(NA)	 从中学看到现在，每次都有新的领悟            
(NA)	 看过一部分            
(5星)	 第一次看到外面的世界            
(5星)	 这是演技派的代表，更重要的是，推出的时间紧扣当时的“时代主题”-大众的            
(NA)	 喜欢那段台词“if you love him bring him to NewYork, for it is heaven...........”            
(5星)	 一个带着记忆的中国人在纽约的点点滴滴，喜欢姜文，喜欢片中荷尔蒙味            
(4星)	 和父母一起看过的电视剧            
(NA)	 圣经类            
(NA)	 NYC启蒙            
(NA)	 小时候听过广播剧..几乎一集不落            
(NA)	 小时候            
(4星)	 如果你爱一个人，就送他去纽约，因为那里是天堂；如果你恨一个人，就送他去纽约，因为那里是地狱。            
(NA)	 北京人在纽约            
(5星)	 一言难尽            
