http://movie.douban.com/subject/2228525/	男才女貌
(4星)	 看看吧，其实林心如还是很漂亮的，陆毅也很帅，只是情节没什么吸引人的，看多了就觉得没感觉了            
(3星)	 好看好看。            
(NA)	 拍的太假了            
(4星)	 陆毅在里面很帅            
(NA)	 都市版的灰姑娘故事，当时充满着爱情幻想……            
(3星)	 算是探讨了一下现代都市女性的生活状态            
(NA)	 青春剧            
(5星)	 人也好看 剧也好看            
(2星)	 一般            
(3星)	 苏拉是林心如演的最喜欢的角色            
(5星)	 好看            
(4星)	 总体来说,刚开始的调调很好啊, 可是越来越走下坡. 阿杜的他一定很爱你很配这剧呢..从这剧认识了于小伟.            
(3星)	 算是国产的偶像剧了吧。。。没什么深刻印象            
(NA)	 想看的时候就拿碟出来看            
(3星)	 初中记忆            
(5星)	 我小时候的启蒙教育片，必须打5星~            
(4星)	 爱情童话。看了又看。            
(3星)	 忘记了。            
(4星)	 还不错！            
(2星)	 为了那首歌吧。。。            
(NA)	 当初逃婚那段真爽~哈哈，唯一的印象了。片尾曲好像是阿杜的。沧桑的声音啊。            
(NA)	 记得真的很好看 苏拉苏拉~ 陆毅只在这里帅一点啊            
(4星)	 中学时代爱上的偶像剧。那时候就羡慕她们的身材。真好哇。            
(5星)	 于小伟。。美男。。，魅力。。小胡子。。            
(4星)	 还挺阳光的事实上...            
(3星)	 我应该是看过的            
(3星)	 女主的名字真是够特别。            
(3星)	 不喜欢林心如，陆毅的话，除了在他的第一部经典电视剧永不瞑目中觉得他帅之外，后来就再没那种感觉了            
(3星)	 很简单的故事。            
(3星)	 支持于小伟!!            
(3星)	 泡沫泡沫，不过我年轻的时候还是有一点喜欢陆毅的，他是个好男人哦~            
(2星)	 这还是中央8播的吧            
(4星)	 喜欢哦 哈哈哈            
(5星)	 看了12遍~迷恋上海这座城            
(4星)	 初三时看的，那时还很愿意看呢，哈哈~            
(2星)	 好吧，我承认，当年我看得很有劲            
(4星)	 大陆拍这种偶像剧的如今都去哪了呢？            
(NA)	 有点脱离实际！            
(4星)	 灰姑娘的故事？？？            
(3星)	 那是和朋友一起迷恋            
(NA)	 看过一点点            
(2星)	 有些忘了 好像没看完            
(3星)	 无新意的剧情            
(NA)	 林心如过气了。。诶。。            
(NA)	 老早以前看的啊 都快忘了            
(4星)	 这部剧让我觉得林心如好漂亮啊！！            
(NA)	 喜欢            
(3星)	 只记得心如和曾黎两个美女……还有阿杜唱的主题歌～            
(3星)	 时间如梭啊我久远的小学时代            
(NA)	 木看完。啥时候再看。            
(NA)	 苏拉 颜颜哎 ~！            
(3星)	 陆毅好帅            
(4星)	 女的 180度态转变  原来             
(3星)	 我仿佛听到了 阿杜抽气式的声音            
(4星)	 初中毕业的暑假，在家煲的电视剧。考完的那个下午，在沙发上看cctv—8            
(3星)	 当初央8播的……央8吧没记错的话OTZ            
(NA)	 不记得剧情了，只记得阿杜沙哑的声音唱着悲凉的歌            
(3星)	 just so so。            
(3星)	 不喜欢林心如，不过她演的苏拉还可以            
(5星)	 那个时候好喜欢陆毅噢 林心如也好漂亮  大陆阳光电视剧~~            
(3星)	 偶像剧　有钱帅哥和美丽才女            
(NA)	 到现在还是不喜欢阿杜。            
(NA)	 简单的都市爱情情节  不想看第二遍            
(5星)	 我当初爱惨了里面的陆毅和林心如，真的是男才女貌啊~            
(4星)	 还记得主题曲：他一定很爱你            
(4星)	 那时大家还真的是男才女貌…            
(5星)	 超喜欢            
(3星)	 其实并么有非常出彩的感觉            
(5星)	 我看了6遍，别的就不多说了!            
(4星)	 当初还是颇追了一番的啊~~很久以后在周末大放送里面看到~还是蛮好看的·不错不错·            
(3星)	 女配都很美哈~            
(4星)	 曾经的感觉很好，后来不喜欢陆毅了            
(4星)	 帅啊，美啊。            
(3星)	 曾黎是亮点            
(4星)	 据说有些景是在上大拍的。            
(4星)	 一直觉得颜如玉很漂亮~            
(3星)	 颜如玉首次被抛弃的时候印象深刻            
(4星)	 美丽的林心如和俊朗的陆毅，时光不反。            
(4星)	 美女很多，哈哈            
(3星)	 没看得完貌似~~~            
(NA)	 喜欢苏拉这个名字~            
(4星)	 呵呵 看完这个，我也想当导游啦~可以撞到钻石王老五啊~~            
(NA)	 我的姐姐觉得曾黎比林心如美，但我不懂得。            
(3星)	 男才女貌            
(3星)	 MS当时是央视8套播的吧？            
(4星)	 是　男貌女貌            
(NA)	 帅哥美女啊！还有延长校区的草坪，哈哈            
(NA)	 两个主演蛮有突破的            
(2星)	 雷!            
(5星)	 都市时尚剧，俊男美女耶            
(3星)	 蛮轻松的好剧，只是太没意思了~~            
(NA)	 其实蛮好看的。阿杜的歌也好听。            
(NA)	 那个时候狂迷这部电视剧~~~初中吧~~~O(∩_∩)O            
(4星)	 都市爱情~~            
(NA)	 害人之心不可有，防人之心不可无...            
(2星)	 没意思            
(3星)	 国产的拍成这样也不错了..            
(5星)	 好浪漫好美。            
(NA)	 高考的时候还惦记着，现在想真不值得。            
(NA)	 可以~~不错···            
(NA)	 部分            
(NA)	 河婆记忆            
(2星)	 太假了            
(3星)	 我怎么會看過這么多SO CALLED 大陸偶像劇啊。。。。。            
(2星)	 再怎么烂，我也看完了，算了            
(3星)	 还行            
(3星)	 CCTV8            
(4星)	 以前很喜欢陆毅应该是在看永不瞑目的时候开始的吧            
(NA)	 00            
(NA)	 典型的青春偶像剧 喜欢苏拉            
(NA)	 曾经还挺喜欢看的            
(5星)	 最浪漫的……            
(NA)	 就觉得曾黎挺漂亮的,然后剧情还行,很多年前看的了            
(4星)	 真的很耐看 美好的生活是人人都憧憬的 我也不例外            
(4星)	 尽管很讨厌林心如。不过剧本身还是不错的。            
(3星)	 完全是看林心如            
(4星)	 美女~            
(3星)	 打发打发时间看看            
(3星)	 当年高三时曾很喜欢剧中上海所呈现的“都市感”，明媚，阳光……甚至它一度成为我为高考而努力奋斗的动力，仿佛走过高考，我将迎接的也是“男才女貌”的生活……历史系女孩的找工难也让我惶惑……            
(4星)	 当时自己期望的就是这样的爱情            
(4星)	 高三的暑假。因了苏拉读的也是历史，才认真地关注了她的命运            
(3星)	 这剧让我记起一帅哥于小伟            
(3星)	 曾黎真是美到爆！古典气质            
(NA)	 初三..畢業            
(3星)	 还行！            
(NA)	 很好看，友情 爱情 都是一个过程 一个需要煎熬的日子            
(NA)	 很喜欢林心如清纯的样子            
(2星)	 驚覺……自己原來看過這麽多肥皂劇            
(3星)	 好吧，我又一次不记得剧情了。            
(NA)	 不好看            
(3星)	 不错的都市情感剧            
(NA)	 特想特想有那么一段爱情，让我的心不在空荡荡的            
(4星)	 2006            
(3星)	 挺无聊的，倒是决得男二、女二不错。            
(3星)	 romantic alittle~~            
(1星)	 一般            
