http://movie.douban.com/subject/2989755/	命中注定我爱你 命中注定我愛你
(5星)	为啥这么老套的情节我还追得那么夸张
(4星)	暴紅之作！！！！！！！！！
(3星)	拖沓了点
(4星)	还挺经典的
(4星)	歌不错
(1星)	磨磨唧唧，无聊，真不懂为什么有人喜欢……
(5星)	情节一定会被山寨的
(5星)	当年追剧追的辛苦啊
(3星)	为什么收视那么好，我到现在都没想通。
(4星)	后面太拖沓了...
(2星)	还是不喜欢，不喜欢女主角额，男主角忽略
(4星)	喜欢主题曲
(NA)	我的快乐会回来的
(5星)	我也就看过这面一部偶像剧了
(3星)	陈楚河帅一点
(4星)	觉得挺好看的。陈乔恩有一种亲和的美丽，就是没有攻击性的美丽，所以给人感觉特别舒服。
(NA)	不错啦。
(5星)	2010-01-25 
(2星)	后面恶心了
(4星)	额有点言情小说的通用套路。不过还素让人哭个不停。
(4星)	大学校园网不断更新看完的
(5星)	我的最爱情侣档~~~！
(5星)	我要变成欣怡儿！！！
(4星)	除了儿时看的流星花园，这是目前喜欢的台湾偶像剧，剧情演员都OK，
(4星)	有一个为爱而改变的女人..
(5星)	~
(5星)	这部戏彻底奠定了陈乔恩在我心中的地位...  她演的真的太好了。那睁着眼睛泪水直直往下掉的表情，越看越心疼。很特别很出彩的一部台剧，从头到尾，都很好。
(5星)	爱
(5星)	第一次看到时就挺喜欢的,五星是最初的感觉.不过现在也还挺好.
(NA)	啊
(NA)	陈乔恩很棒
(4星)	我们的爱是唱一半的歌 时间把习惯换了 伤口愈合 也撤销我再想你的资格。
(2星)	我怎么看了这个片 有些事情是我们无法控制的 
(3星)	傻嫩嫩的东西~~~大家都说好看好看~~~我怎么说呢？
(3星)	阮经天还是很帅的
(4星)	一度很喜欢~
(4星)	哎当年冲着阮经天去看的 还算不错吧 我指前半段
(2星)	无聊 狗血
(3星)	越后越撑不下去，没看完……
(2星)	有点狗血的感觉。
(NA)	[2009.09]　我的快乐，会回来的 
(5星)	看哭了看哭了！
(3星)	怎么陈乔恩的片子总是乡土气息题材
(NA)	狗血的呕像剧
(3星)	偶像剧典型中的典型
(5星)	呃 我真的喜欢这部偶像剧啊
(4星)	断断续续看的 
(4星)	= =很萌小天~！
(NA)	陈楚河神马的
(3星)	我不喜欢阮经天。。
(5星)	女主角金牛座,鉴定完毕.还真是像啊~
(4星)	让我这一把年纪的情何以堪
(5星)	阮经天好帅
(3星)	真是因为我喜欢阮经天 喜欢的不行了
(NA)	绝对是看过的最好看的！！
(3星)	不明白为什么收视率会那么高。
(5星)	真的哭死了....平平无奇的剧本, 被他们演绎的出色. 同样狗血的桥段, 就能这么感人. 
(5星)	唯一一部不2的台剧~陈欣怡去上海之后的蜕变是亮点~~
(4星)	看看偶像剧，好放松啊~~~
(5星)	我不是很喜欢看偶像电视剧，但是这部例外。
(3星)	2008年的夏天看的。还不算恶心，还可以看的偶像剧。
(NA)	没完整看过...和恶2打对台..完全吸引不了我= =
(5星)	我在它还是预告的时候就很看好 而且希望乔恩的旺夫运能带红小天 果不其然。
(NA)	白痴偶像剧是我看了会后悔的。所以以此为鉴，以后再不看这种偶像剧！
(4星)	连我哥都看。。。
(4星)	那会儿这部大约是在各式人等不同的MP4里面看完的吧。。。
(NA)	芒果台无限播放之烂片
(1星)	我连一颗星都不想评其实！
(3星)	还可以吧。。
(NA)	难得看回偶像剧
(3星)	还是以前的欣怡好
(3星)	前面和室友一起看的觉的还行 后面放假了自己一个人就没动力看了 呵呵
(3星)	阮经天很可爱，尤记得阮经天在船上，陈乔恩在岸上，阮问为什么要“陷害”我。陈以为他问爱情，她说我会先“爱上”你的。
(5星)	催泪弹！！！
(3星)	哇咔咔~
(3星)	能换个女主角不
(5星)	我最爱的偶像剧
(3星)	 陈乔恩演的电视剧  看过几部都还可以 
(4星)	对台剧不是特别感兴趣，但这部电视剧确实蛮好看的，能吸引人看下去。虽然听到这个名字会觉得有些俗。就像有些甜点，看上去很朴实，但其实比有些华丽精致无比的甜点要好吃，呵呵，世俗的一个小常理吧……
(4星)	成就了阮经天啊
(5星)	算是我没觉得特别狗血的偶像剧，还是毛子给我推荐的哦！！！
(4星)	主题曲让人想哭
(5星)	这不是一般的爱情偶像剧。是将人们现实想做而难以实现的事情，通过男女主角演绎，引起共鸣，值得推荐
(2星)	偶像剧啦~~~笑过就够了。
(2星)	不知道为神马就是不喜欢陈乔恩
(5星)	命中注定我爱你，你知道么？呵呵
(3星)	硬着头皮看完的...不解释
(3星)	剧情有点扯
(4星)	丑小鸭是怎么变成白天鹅的
(3星)	太长了，完全看不下去，果然我只是喜欢LUCAS，不是小天同学
(4星)	高中时很迷
(4星)	我喜欢~
(5星)	符合少女幻想
(NA)	善良，一点一点感动着爱的人。
(NA)	我幻想自己也会偶遇王子虽然不太现实 欣怡在历尽坎坷后还是收获了爱情 
(5星)	又一经典~~~曾经很喜欢过阮经天呢~~
(5星)	好看搞笑。剧情很吸引人啊~
(3星)	其实还蛮搞笑的 但是让我在电脑面前一直看 就没办法了！
(5星)	这是我记忆里唯一记得我哭得超级伤心的，就是陈欣怡被车撞了宝宝也撞掉了那儿。虽然狗血，不想去追究其他，只为我当时的眼泪，必须给五星恩。再没有那么看电视哭过了。只为眼泪。
(4星)	必须看过
(1星)	不知道为什么就是忍受不了这个剧
(4星)	前面不错，后面有点拖，乔恩真心旺！
(4星)	唯一一部让我心动感动的偶像剧
(4星)	还不错 讲话不嗲哈哈
(NA)	好看
(3星)	咋咋呼呼
(5星)	最喜欢的 百看不厌的 不知道为什么的着迷！
(5星)	偶像剧这样就很好了
(2星)	啊，陈乔恩后来的样子真的很漂亮诶...其实再不同的人在一起，也不是不可能吧。
(3星)	狗血偶像剧，不过我也算看下去了= = 用来解压不错~
(4星)	看第一次，笑。看第二次，哭
(4星)	当时很喜欢小天呢
(4星)	还是不错的，当时喜欢的一塌糊涂，为此精心追过的剧。。。。。
(3星)	额···喜欢低能儿。还有当中其实我没怎么看
(3星)	芒果台天天放。。。不嫌烦啊
(NA)	还好啦~~台湾言情剧的调调！！
(NA)	2008
(5星)	最喜欢的台剧了
(4星)	爱情喜剧片。看着舒服又欢喜。
(NA)	这么一看，我还是看了不少台剧的~
(4星)	很少碰偶像剧了。慢热型的片。后面有点拖。算不错。
(2星)	被人拉着看的 呕像聚
(2星)	唉。。。 首先不喜陈乔恩 再者。。。 没有看出这部剧有多么好。。。
(3星)	还不错
(1星)	蠢
(5星)	近几年看过最好看的台湾偶像剧之一。。
(4星)	轻松搞笑,就是有点拖沓
(3星)	虽然为了小天看  但是完全看不下去……好吧 回家把白歆惠跳过看完
(3星)	那首半情歌…
(5星)	不错的
(3星)	一遍过，表示不会看第二遍。为毛这剧这么红？o(╯□╰)o
(5星)	其实我只是怀念我们一起看这部剧的那段最好的时光
(5星)	目前看过做好看的电视剧了！
(5星)	很好看的剧，搞笑又幸福，看完之后更爱小孩子了
(3星)	不感冒
(4星)	还不错
(5星)	便利贴女孩
(4星)	超级羡慕陈欣怡，超级喜欢阮小天。
(5星)	记得看到小片花时起，就开始小小期待这部剧。乔恩和小天这搭配，真赞。让这剧成为台湾偶像剧收视的NO.1 
(3星)	断断续续也就看完了
(3星)	13点的收视率怎么来的
(3星)	便利贴风靡的岁月
(3星)	能跟着看完的都是伟人
(4星)	小天天。我完全是为了你才看完的...
(4星)	虽然慢了点，不过跳着看看还是不错的。
(5星)	连我都能从都看到尾！很可以了！
(NA)	欣怡 真的有好多人叫这个名字。
(4星)	这是灰姑娘的故事吧。很狗血 却依然让我沉迷。
(5星)	哭了数不清多少次。
(5星)	╮(╯▽╰)╭ 喬恩和小天我都喜歡~
(3星)	偶像剧的桥段都一样啊。。。
(5星)	话说我挺想进道格拉斯事务所
(5星)	小天的成名作，演技不错
(5星)	小天好帅帅~
(3星)	刚开始的时候很好看可到后来就越来越没有意思了
(NA)	其实偶像剧有时候也有感动点啊。。。。
(3星)	演技不错 ，剧情很给力 。个人原因不太喜欢男女主角。
(3星)	肥皂剧、但是还是喜欢看
(4星)	很喜感的偶像剧，关键乔恩演技出色。
(4星)	赌一把幸福的筹码。
(3星)	高中的记忆
(5星)	小天小天！
(5星)	可惜虽收尾，BB无左后跟着的故事也烂了
(4星)	&#34;加油,陈欣怡&#34;
(4星)	好看的 很搞笑 中間又有段蠻感人的~
(4星)	唯一一部追的台剧，不过后面就开始无聊了
(3星)	记得这剧风靡的时候正值期末考试，但是我们女生17个人，个个都在看……而且一星期只有两集……
(5星)	我爱上台湾偶像剧了。
(4星)	稍微有点瞎，哪有前后差那么多的，夸张是有的！开头很不错啊，生米煮熟饭~~
(5星)	超级爱这部剧~~~
(5星)	大爱小天~~~个人认为他和乔恩真的很般配~~~
(5星)	阮经天成名作~当年的电视剧新人现在变金马影帝了~
(4星)	超出了我的想象
(NA)	超好看 真的
(NA)	让我对台剧又有信心的一部剧，小天运气好啊~~~
(3星)	有悲情，有温馨...还行...
(4星)	阮经天很可爱呀
(4星)	迟了很久的添加
(5星)	看过的最好滴脑残偶像剧啦~
(3星)	台剧的特点永远是又臭又长。。。
(4星)	刚出的时候疯狂追··还不错
(4星)	由此爱上陈乔恩等一干人。。
(4星)	我最爱看的台湾偶像剧。
(5星)	居然看的是粤语版，不过没关系，还是很可爱！
(3星)	消磨时间还可以，很台湾，很偶像剧，btw，林美秀永远是亮点，哈哈
(4星)	我弱智诶..
(4星)	很可爱的故事 感觉特言情
(5星)	很不错的台湾偶像剧哦！
(NA)	烂俗的情节，不过小天蛮帅的
(3星)	陈乔恩是旺夫命啊，跟她搭戏的那主角都红诶~
(3星)	………………星空卫视在播时我还很坚持的每晚定点收看，顺带着父上母上也跟着接受了|||| 这种苦逼女遭遇完美爱情，男人不珍惜后来反倒追的剧情看得我都快成苦逼女了。现在唯一最深的印象就是和家人一起看到结尾曲时，母上一句：这个男的唱得好腻歪……（托额
(3星)	我也曾爱看偶像剧
(3星)	前10集破好看，后10集太拖沓，我到现在都还没看完。
(5星)	大学寝室的美好回忆 有在我熟悉的地方取景哦:)
(NA)	第一次是偶然，第二次是必然，第三次是命中注定。
(3星)	够二。。。
(NA)	我好喜欢陈林西施女士儿哦……
(4星)	看这部戏就是觉得蛮搞笑的~呵呵~
(4星)	让我放松的偶像剧
(3星)	后面没意思
(4星)	最后几集翻来覆去地纠结。好几次我都以为结束了……= =
(4星)	一开始太劲爆了点。其实后面还行的。@Home
(4星)	拍的比较sb，粉丝很多，我怕砖头
(5星)	莫名奇妙觉得很好看。。。越活越幼齿回去了。。。喜欢陈乔恩。。。
(5星)	哇塞 超好看的~~小天天 超可爱 ˋ( ° ▽、° ) 口水ing... 
(3星)	没看完。到中下部分，我就看不下去了。纪存希让我很抓狂。应该结局是喜吧。
(4星)	各种命中注定。
(NA)	曾经一度迷上阮经天
(5星)	喜欢！！！
(2星)	尽管小天同志是因为这个红的，但他要不拍这个我会更爱他……
(3星)	结局要不要这么雷啊。
(NA)	骨折在家闲的无聊。。看了之后非常无语。。
(5星)	我爱阮经天！
(3星)	太拖了，没有传说中那么经典。阮经天不错，陈楚河大爱，白歆惠你脸真是大，锦绣二人组的《我的快乐》很好听。
(3星)	哭死
(NA)	除了Dylan童鞋，不喜欢不喜欢不喜欢。。。
(5星)	多年没看台湾剧~去年看完后觉得哎哟阮经天太帅咯哇~~~剧情虽然还是俗不过真的蛮好看的嘿嘿
(4星)	便利贴女孩啊。。
(3星)	那我无聊嘛...台湾呕像剧耗时间最合适
(4星)	追这个剧的时候简直是痴迷。还是很有特色的偶像剧，可惜最后几集为了凑长度有些狗血了。
(2星)	我姑姑这个年纪也看过这片子，还觉得好看。
(5星)	国庆假期回到家中 吃了睡 睡了吃 还加看偶像剧 青春吧 印象中是几年前的台剧了 还看得我津津有味 诶~~
(3星)	吵吵闹闹的爱情故事，老套，但同样浪漫
(3星)	好无聊耶
(NA)	我妈比较爱看
(3星)	糟蹋了阮经天
(4星)	Likeable  characters &amp; comical plot
(3星)	虽然老套。虽然我也不爱看台剧。但还蛮温馨的。
(5星)	最爱的电视剧。床戏那段导演真火爆啊，弄了一堆飞机大炮来表现，哈哈。
(4星)	王子的耍赖
(5星)	因为看了这部剧，才开始喜欢阮经天。我觉得他演的很用心，很真情，很能让观众产生共鸣，跟着他的情绪起落。这部剧的成功不是偶然，应该是厚积薄发！加油，小天！！
(4星)	唯一一部每一集都看过了的电视剧 
(3星)	我觉得是从这部开始，台剧有些尺度上滴变化o(╯□╰)o~
(4星)	蛮好看的
(4星)	很少看台湾的偶像剧，但这个剧我却从头到尾都看完了，非常喜欢。
(3星)	纠结
(3星)	我居然的熬夜看偶像剧
(2星)	到底为什么会红。。。。。呢？
(5星)	台剧看的不多 但是这部很有爱 现在回想起来 估计只是爱阮经天的帅气吧
(4星)	小天好帅
(5星)	超龄观看偶像剧，从头笑到尾，间或淌点眼泪。
(5星)	阮经天,你太帅了.
(NA)	哈哈，小天真可爱。虽然希望有情人终成眷属，可是石安娜也很让我心疼。爱情跟事业，有时连一步都不能走错？
(3星)	偶像剧我都喜欢男配啊 啧啧 
(5星)	for you and for memory
(5星)	明知道是童话，也看得欢乐
(3星)	我大学时候寝室人等着更新看，后来我也在不屑中跟着看了- -，貌似是我看的唯一一部台湾剧，还可以，觉得还好没想象中那么不堪。觉得这样就算很不错了，对，你不能奢望太多。
(4星)	没看完。。典型休闲肥皂剧。。
(1星)	烂片！
(3星)	我真的是生病在家没办法才看的，即使是跟湖南卫视经久不息的nc偶像剧相比，其他也真的没有频道可以看了。Dylan很帅很气质。
(3星)	搞笑爱情喜剧。
(NA)	看完后竟然有点喜欢上了阮经天了。。
(3星)	我觉得阮经天挺帅的啊，怎么在这个片子里长得好像很娘的蜡笔小新一样。。。。郁闷~便利贴女孩，从心理学上说这种从小不被注意的女孩对男人就是会太好，而别人回报给她一点她就感激的不得了。这是偶像剧，所以她得到男主角的爱，现实生活中这样的女生通常不被珍惜。女孩子，还是要骄傲些才是对自己好
(3星)	陈欣怡。
(4星)	很狗血。阮经天很帅= =……很狗血。很狗血。很狗血…………
(NA)	偶像剧尺度一路看涨
(4星)	好久没有看偶像剧了，跟着电视看了几天，还行。
(4星)	挺好看。
(5星)	我对我的叛逆很惋惜……曾经我曾错过，现在我因为缘分而再次相遇！“便利贴”这个词让我感同身受，但是很奇怪的是我看完全集后反而激发了我对明道和陈乔恩这对荧幕情侣喜爱！我不是应该会喜欢阮经天和陈乔恩这一组合吗？更奇怪的是我现在觉得我好像真的相信有命中注定这回事了……
(4星)	好久没看偶像剧了...  偶尔为帅哥发发花痴 为狗血剧情开开怀也不错啦
(4星)	偶像剧不能免俗，但是在这个范围里也算是战斗机了
(3星)	一遍可以，没法多看几遍
(NA)	这个片子是在同学的引诱下看完的，但是到最后还是很喜欢纪存希这个角色。他注定是个好人。
(3星)	高高瘦瘦，头发QQ，眉毛长得像毛毛虫的那只...早有耳闻，听了大致内容就没兴趣看，太搞了...放假回家，偶尔看到剧情，回来跟，好好...虽然说有太多的不平凡才演绎出这么一桩闹幸福，但是我仍然想要等那个和我一起见证奇迹的人我的命中注定 等你
(4星)	喜欢陈欣怡去上海后的改变~
(4星)	剧情编的的有点狗血啦~~但男女猪脚还是表演很到位的，两人之间有火花~~很稀饭~~
(3星)	纪存希真是个大大的烂好人，像张无忌一样连自己喜欢谁都不知道，真苦了他身边的女人了可怜的欣怡看了拍卖会那集还提到仲董事长（仲天琪）和夏之星夫妇捐赠的珠宝才知道这个和放羊的星星是同一个导演、编剧、制作人还是星星好看 
(4星)	最后一部偶像剧
(NA)	抱着纸巾看完的，不过是因为感冒了~~
(NA)	很喜欢陈欣怡，因为有太多像她一样的便利贴女孩了，好用不黏手，不用的时候可以随手丢掉，明明不是小妹，确要做打杂的工作，当时感觉很像我们所以开始看，慢慢的喜欢上了欣怡和存希~~里面的喜剧部分很好笑，感情戏也拍得很动人。
(4星)	呵呵，刚看到湖南台还在演，虽然看过很多遍了，但还是觉得很好笑唉~
(3星)	高中的时候，捧个MP4在晚自习的时候看，前面堆起书。看到陈欣怡流产那点，哭得哦。哈哈，貌似当时加减还在上面讲题。
(5星)	第一次看的时候感觉非常良好 迷死了 还特地跑去上海参观拍摄地
(NA)	飞速看完，等着板子长出来。
(5星)	喜欢存希！
(1星)	不值得看。小成本。翻来覆去就那么点地方那么点人，演技超一般，剧情超烂
(NA)	阮
(3星)	搞怪加可爱吧...
(3星)	额。
(4星)	除了第一集经不起推敲外后面的内心戏太强大了
(NA)	妈妈喜欢
(4星)	断断续续终于看完啦~~~~有点明白当年为什么会那么火 很轻松很好笑 也有感动到
(NA)	嘿嘿 爱死小天了。。。
(5星)	曾经我的最爱！！现在也一直都爱
(3星)	女人最好的蜕变就是在受过伤以后。
(4星)	时不时看看这种不需要思考，而且美好到不真实的爱情片，是很有益身心的！
(4星)	很意外，我居然还觉得挺好看的。呵呵。
(3星)	典型的台湾风格，前面还不错，后面就有点。。。三星半吧
(3星)	傻乎乎的
(4星)	现在看看真是蛮BC的，从此片开始关注阮经天
(NA)	搞笑
(3星)	一般般
(4星)	曾经心里的偶像剧NO.1。乔恩演的那个自卑怯懦却善良体贴的陈欣怡能引起人的共鸣。
(4星)	那时候，刚拍拖不久，我们都看这部电视！
(NA)	大半夜我爸爸睡觉，我和我妈妈看这个电视剧哭的稀里哗啦的。
(4星)	08年台湾大戏 我们09年才播...每次都是这样...害我网上看一遍，买盘看好几遍~ 其实我也不是故意的...就经常一部剧看好几遍...话说有的台词我都能背下来了！
(4星)	介于这是我高三和高三暑假那段时间等着一集一集的出，所以用那时的水平说这好好看，破10了什么的，现在我只会说我看过，还不错。。。反正都是什么小情绪小怀恋。反正是因为当时喜欢某女喜欢疯了，看完了就发现某天我一点都不喜欢她了，讨厌说着什么什么第一。go hell
(1星)	看了几眼，白痴一样的，2死了
(4星)	不得不先晒一下数据，本剧在台湾单集平均收视率达10.91，成为台湾电视史上收视率最高的偶像剧，并且获得2008年“第四十三届金钟奖”节目行销奖、戏剧类节目奖。不过我不太喜欢陈乔恩和陈楚河，当然，这部电视剧例外，《命中注定我爱你》和《放羊的星星》一样，一段时间也是我舍不得删的东西。
(4星)	这部片子对我有意义
(4星)	前面还行，后面拖得。。。
(5星)	小天~
(4星)	当初还真是每周追着看
(5星)	陈乔恩再次旺夫~
(NA)	挺好看的 当时多迷恋啊~
(4星)	是又不是肥皂剧……好吧，我承认我就是一纠结之人~~
(3星)	太扯了
(4星)	我喜欢Dlyan。音乐很棒。
(4星)	R讲我不看完就不是她朋友。我还不想因此少一个朋友。
(3星)	小天也太摇摆不定了嘛
(3星)	妈妈和我一起看的= =
(3星)	便利贴女孩的转身还蛮励志的！
(4星)	好看！帅帅的小天！
(3星)	剧情有一点点慢。看一遍就够打发时间的了
(5星)	命中注定我看你。
(4星)	幸福如履薄冰
(4星)	算不错的偶像剧了啊，只不过还是虎头蛇尾就是了- -
(5星)	很精致的台湾偶像剧， 一集一集追到最后，耗费了我备考的很多时间，让人欢喜让人忧！
(5星)	wow~！阮经天，帅气！
(4星)	想我当初一集集的追的那个辛苦啊~~~~~
(5星)	我承认我就是喜欢灰姑娘故事
(5星)	挺喜欢这部偶像剧的
(NA)	喜欢纪存希的“死小孩”的性格
(4星)	又是小眼睛～
(NA)	比较长啊，不过阮经天真的非常可爱呢，看完萌生了要嫁这么可爱的男人的想法，哇哈哈
(NA)	大学看的第一部偶像剧
(5星)	哇塞 超好看的~~小天天 超可爱 ˋ( ° ▽、° ) 口水ing...
(5星)	好看
(5星)	嘿嘿~~~~我是花痴啦，喜欢陈乔恩哦~~~
(4星)	纪存希...
(5星)	哎...
(1星)	陈乔恩ex
(3星)	其实只是演员演得还行，剧情实在很一般
(4星)	第一次是意外，第二次是偶然，第三次就是命中注定。以陈林西施尔女士为代表的配角夸张的表演相当出色！
(2星)	极其极其极其的讨厌陈乔恩！超做作的好伐 
(3星)	剧中许多台词和搞笑情节设计挺好，但总体还是一部俗套的灰姑娘和王子式台湾偶像剧，不明白为何收视这么高
(4星)	对陈乔恩无感~当时看完还没明白小天怎么那么红，后来倒是越看越顺眼了。
(4星)	当时追的挺开心，后来觉得剧情很傻
(4星)	还不错的台剧，虽然不喜欢女主啊，但是小天很可爱
(NA)	经典话 便利贴女孩
(3星)	。。。
(4星)	其实还好
(4星)	我已经第三次在台剧里看见陈欣怡家那栋房子了
(4星)	分明是白烂言情剧，每一次煽情都恰好敲在点上，唉
(3星)	刚开始追的时候很着迷，后来剧情太拖而且情节发展走老路了
(4星)	竟然也能看的哭到稀里哗啦
(5星)	擦，大爱特爱。
(4星)	真的蛮好笑的咯……
(4星)	那时流行呕像剧
(4星)	那么多的命中注定~
(4星)	爱情如履薄冰
(4星)	只是觉得配乐恰到好处而已
(NA)	虽然知道梦想很丰满，现实很骨感，心里也一直对这种所谓的王子梦BS，但不可否认的是，在内心深处，在被现实刺伤后的心，还是隐隐地抱有幻想。每每跟自己说不要对偶像剧的爱情抱有希望，没有期望也就没有失望，但是···也许这就是女人，对爱情，永远都会有一丝渴望，渴望降临在自己头上的那一天
(3星)	偶像剧...哎
(5星)	超好看！！！超喜欢！！！
(4星)	中毒太深
(5星)	风靡一时啊~~~好喜欢好喜欢小天！！！~
(5星)	是少数几个我觉得还不错的台剧
(NA)	4
(5星)	这个爱情故事有点瞎~~ 但是还蛮感人的~~ 
(4星)	♥ 朴实如我，耀眼如你，如何才能真正地走在一起？
(3星)	一般般
(4星)	不知道为什么生病就喜欢回忆，想这个想那个，突然想到这个电视剧，决定要再看一下，就算是纯粹为了打发时间，可是总是不尽如人意，记得第一次看这个剧，是2008年还是07年，一个下雨的周六，印象很深，然后就每天抱着不要让爸妈知道我偷上网的心情看到最后，现在看却思考万千，变的是人不是电视剧
(4星)	“便利贴女孩”这个称呼很贴切，尤其欣赏中间那段虐的和在上海的剧情！这剧就应该停在陈欣怡去上海后改变了自己，和Dylan神父幸福得生活在一起~寄生虫是我看到过最不适合当老公的男主了，处处留情优柔寡断，如果不是阮经天那张搞笑的脸去演，这男主会被骂死~而且最后几集实在是太闹剧了
(3星)	没有想象中好看，受外界影响才看的，还行。
(5星)	中间部分还是很感人的。
(NA)	太夸张了  从浦东走到朱家角
(4星)	以前看 还哭了 现在看 米感觉啊
(NA)	小天。。好看。。
(4星)	话说那年寒假前回家的几天，和马涛在宿舍一起看完……两个男人……
(4星)	越到后面越拖沓
(NA)	我就是来看笑话的.
(5星)	超爱~
(4星)	灰姑娘，大帅哥。台剧经典范本
(NA)	不会的不会的 嘿嘿 便利贴》？
(5星)	命中注定我爱你，那谁来爱我呢。2010年，我遇见你，是一个不美丽的意外。
(3星)	当年很红，不知为毛其实很一般的典型的台湾言情小说不过配乐灯光不错而且越到后来因为收视越高，三立为了广告费越拍越拖拉，19、20集可以搞定的硬拖到24集= =
(5星)	好喜欢~~~
(4星)	小天不错,没有像丹和霞那样追剧情,某一段还是让人很纠结的.
(5星)	唯一喜欢的偶像剧，其实也不是很偶像，有点yy
(3星)	后面情节有点儿拖沓。
(4星)	看看也無妨
(4星)	这个也很不错，赚了很多的眼泪。但看后会有过往云烟的感觉！不会像《恶作剧之吻》那样记忆犹新
(3星)	陳喬恩你要不要別那麼裝啊，傻缺。
(4星)	很台湾，看完没很在意阮经天，倒蛮喜欢陈乔恩
(3星)	乌六六，乌七七，哈哈哈，太好笑了。
(3星)	没感觉~
(4星)	剧情还是那样！丑小鸭变白天鹅，不过就是因为这部戏，突然发现眉毛粗粗的小天很有魅力！
(5星)	挺不错的，虽然有点不真实。
(5星)	那时候觉得非常好看的~
(2星)	看来我这样的伪现实主义者完全不能接受台湾的偶像肥皂剧。。。
(5星)	哇哈哈哈哈~最爱最爱爱到不行~
(5星)	喜欢Elaine。
(4星)	后面越来越差
(3星)	剧情雷的销魂死了。。。
(5星)	很搞笑。。。也很感人。。。
(4星)	变身～～
(4星)	一口气看完。
(NA)	同属高三时候为数不多的消遣用……偶像剧就是这样~
(4星)	傻傻的剧，但是配角都很出彩，陈乔恩也演得很赞。
(5星)	超越恶作剧成为本人心目中最佳偶像剧～!!从此迷上小天啊...........
(NA)	耳熟能详的配音旋律
(4星)	还蛮突破的……虽然情节还是偶像剧的情节，但是有感人，可惜又有点烂尾……
(5星)	很揪心。
(5星)	可爱的电视剧，可爱的阮经天
(4星)	好玩~
(3星)	恩·还算可以··
(3星)	Dylan~
(3星)	话说是为了阮经天看的。。。第一遍看还可以。。。
(3星)	不喜欢
(3星)	后面有些拖沓，没必要加那么多意外。。。
(3星)	其实很纳闷阮经天因为此剧爆红，凑和
(4星)	开头那段床戏够浪漫
(3星)	@2008
(5星)	看完心里总有隐隐的伤痛，不知道为什么。可能是太不容易了吧。
(5星)	命中注定。
(4星)	女主角有点波折，好歹最后是挺好的，看完了我都愿意听里面的那几个插曲和主题曲了
(5星)	看完这部偶像剧，正式加入热爱小天的行列！
(NA)	妈妈很喜欢
(5星)	这个 这个 大爱！总有那么几部片子看多少遍都不会腻！
(4星)	从这部剧开始接受陈乔恩。。。。
(5星)	自己看过，和ex看过
(5星)	个人觉得非常好看，值！两种风格，两种心态！
(2星)	虽然知道偶像剧离生活很远，却还是不能停止对做作的打击。
(4星)	所有4颗星都给小天!
(2星)	我到现在还不懂当年这片为什么那么红
(4星)	很搞笑的。最喜欢里面的阿母~~真是叫人好感动！
(3星)	对于大热的剧集，我一般都看得比较滞后。小小说，看了会让人很想谈恋爱，以至于我不敢看，想谈恋爱而不可岂不是更悲哀？开头不错，虽然比较不现实，但是作为偶像剧给人浪漫感动就够了，后半段稍显拖沓，两位主演演得都不错，尤其女主相当自然
(5星)	我爱上了阮经天。
(4星)	搞笑、可爱、情节紧扣，只是我不赞同剧中的价值观~~欣怡这样的女孩在现实中绝没这样的好运，而安娜其实也不会这么讨人厌，存希呢，应该有点幼稚吧，Dylan，我只能说这是剧情需要安排的角色~~
(5星)	第一集很荒唐，可是越看越会被吸引。记得当时每周追1集追的很是辛苦~圆满。
(3星)	有一部偶像剧，消磨一下时间
(4星)	前面不错 后面剧情实在太拖沓！弃！
(3星)	她给我最后介绍的电视剧。她说这像我们的故事。她说我像女二号。嗯、我知道我该杀青了。
(5星)	半情歌好好听
(2星)	怂恿大家上错床，影响不太好
(4星)	恩，委培下学期每周必修的一门课
(NA)	无聊时候的消遣
(5星)	呵呵 假期回家看的 真的很搞 而且很赚人眼泪 半情歌也超好听
(1星)	恶心
(3星)	剧情还是不错的
(4星)	眼镜娘
(4星)	纪存希，你偷了我的心呐~~~~
(4星)	结局过头了,不用刻意描写陈欣怡变成独立女强人了吧
(3星)	还好啦 
(2星)	不喜欢陈乔恩
(4星)	前半段真的很好看，从陈欣怡转型开始，感觉就有很多多余的很扯的剧情~
(5星)	第一次看偶像剧看的这么认真，好看~
(4星)	看了恶作剧之后，你就变得有点寡而无味咯
(5星)	很好
(4星)	一次脱离现实的旅行
(NA)	俗片一个
(3星)	阮经天迷人的小眼。。话说没明白这片子凭啥成为台湾收视率最高的偶像剧，挺普通的啊
(4星)	弥补我爱情的空虚，很受用。眼泪也得到了宣泄。
(3星)	我好像已经过了看台剧的年龄了~
(5星)	昨天晚上梦到了。
(3星)	阮经天翻身之作，台湾偶像剧新一哥的诞生。
(5星)	演得都很到位，不少感人的戏码，唉~~陪着掉了不少眼泪
(5星)	很精彩！
(4星)	前半部分很搞笑~后面都越来越不行了。。。不过小天还是很帅
(1星)	不喜歡！！！！！！！！！！！！！
(3星)	大二看的。首尾拍得不错，中间拖沓。
(4星)	千疮百孔，拖沓，但意外会让人记住的好片
(4星)	我的快乐，会回来的……
(4星)	最后在学校看的片子
(2星)	超没真实感假得离谱！！！！爱 恶作剧之吻！！！
(5星)	很溫馨很感人！值得重溫！
