http://movie.douban.com/subject/2043283/	王子变青蛙 王子變靑蛙
(NA)	余绮创造的神话永不忘！老鸨表现也很入神！
(3星)	看多许多遍，中间很搞笑，但是结尾太匆忙了
(1星)	疯了，我竟然曾经因为这片推掉了去电影院看黄金甲的机会。。磕死 后悔啊
(2星)	太肥皂了
(4星)	喜欢~
(3星)	陈乔恩的片子。每部都感觉很真实。07年。
(5星)	这是我最爱的电视剧啊~~评价怎么不高呢？这可是收视率超过流星花园的诶~支持小明~~~
(NA)	……还需要说什么么？
(3星)	当时看的时候还很喜欢明道。。后来看了命中，觉得还是小天帅
(4星)	主题曲好听
(3星)	那段时间被逼着看的
(5星)	永恒经典……
(2星)	打发时间
(1星)	放正時段
(5星)	通过这个片子认识了明道，当时疯狂迷他，觉得他演的单均昊太帅了，也是这部剧捧红了陈乔恩
(5星)	喜欢的第一部偶像剧
(3星)	名字取的还是挺有创意的。弄得我每次念错。
(3星)	............很红
(3星)	算是很早的偶像剧了~~~
(5星)	經典。
(5星)	得了精髓的典型偶像剧，还不错
(4星)	因为这部戏,狂迷了明道一阵..由此看了&lt;冒险王&gt;,赞!
(4星)	其实这剧放到现在来看，绝不会是05-07的收视冠军。剧情制作都一般。只是它上映的时候是05年。台剧之路尚在起步之时。这是他得天独厚的优势。
(5星)	第一部喜欢的台湾偶像剧
(2星)	其实满呆的
(NA)	蛮好看的电视剧 虽然还是属于泡沫剧啦~放放花痴~明道在真爱里面唱的那个“玩”好可爱~因而也就无条件喜欢这部戏咯
(4星)	还行，没恶作剧有feel
(4星)	一开始不觉得怎样，之后越看越想看
(NA)	记忆中的最爱~~~~~经典（仅限前十集）~~~~
(4星)	5次断断续续
(5星)	我喜欢明道~
(5星)	怎样 我就是爱明道不行么 哈哈
(5星)	当时的明道可是我心目中的青蛙王子，可爱、温柔又阳光
(NA)	[完]
(NA)	当时很喜欢，过后觉得也就那样吧= =不过乔恩在里面表演很搞笑~
(4星)	这是我看的明道的第一部片子，他与陈乔恩演技都不错~很喜欢~
(3星)	现在发现以前电视剧还都挺像的
(5星)	第一次看感动的一塌糊涂。
(4星)	连续两个假期安徽台都在放，于是我就躺在床上看完了这部肥皂剧
(5星)	喜欢~~
(2星)	男女主都不喜欢ORZ
(2星)	结尾草草的
(5星)	记忆
(4星)	O(∩_∩)O哈哈哈~这个绝对经典，从动作到台词到其间小小的创意，搞乐~
(4星)	迷了一阵子明道
(4星)	台剧里质量算上乘。
(3星)	迷魂計
(2星)	我就没喜欢过明道演的戏
(4星)	很傻很开心
(3星)	还行
(4星)	童话的牵扯，还不错。只是情侣来回换的让人汗
(3星)	!
(2星)	不要看不要看，那些人怎么可以看个十几遍，我搞不懂了。
(NA)	刚开播每个礼拜天的九点半就守在电视旁。
(3星)	我还是更喜欢阮经天~
(4星)	至今为止 我仍然觉得它开创了台湾偶像剧的新时代
(4星)	喜欢坚强、善良的女孩，带着一点执着与小把戏，显得可贵而有趣
(NA)	好早以前看的。。当初超多女生喜欢明道。。。囧
(4星)	命中已注定，是我太任性~主题歌朗朗上口嘛
(3星)	想当初某人HC得。。
(NA)	一个颠覆的童话故事 王子变青蛙….　　一个以嫁给有钱人为人生目标的功利女孩　　一个以事业成就衡量人生价值的冷酷王子　　一个意外让王子与女孩的人生产生交集
(3星)	断断续续，不过总算看完了。我承认，明道有时候看起来真的有点土，不过，即便如此，还是很帅~除了他，我真的觉得其他人的真的不好看……
(5星)	主演都很赞哦~
(NA)	哎 着实的偶像剧 没有什么涵养 看这种电视 我有时候就是这样的幼稚 
(5星)	永远活在我梦想中的茼蒿王子
(3星)	忽略配角
(2星)	我不喜欢这两个人。
(NA)	[2008.01]
(3星)	没看完
(5星)	明道
(1星)	恶心无比
(4星)	拍的演的都不错
(5星)	心目中最喜欢的一部偶像剧、经典！不可超越...
(NA)	明道，大爱
(NA)	昨天我又把結局再看了一遍 氣 還是不明白為甚麼焦點全放在葉天瑜和均昊身上 十分心疼芸熙... 
(5星)	从此爱上明道的戏~
(4星)	灰姑娘的故事永远不过时
(3星)	比较喜欢明道演的那个角色——茼蒿
(5星)	俄 看过不下两遍了
(2星)	在我眼里 它远不够经典
(4星)	我很喜欢的偶像剧吖~~哈哈哈
(3星)	当年被人硬拉着看
(5星)	永远看不腻的
(4星)	如果喜欢看台湾偶像剧的m&#39;m，可以看看这部片子，不过这又是抄袭韩剧的，最后一支舞请于我一起有类似的情节。
(2星)	每个女人也许都渴望拥有一个便利商店。
(4星)	还不错啦 喜欢陈乔恩才看的~
(2星)	烂片千千万
(NA)	后知后觉，在明道大红大紫时我才翻出来看完这部超经典电视剧，突然间“爬墙了”好几个月呢，嘿嘿
(4星)	蠻好看~歌也蠻好聽~有點突破~媽媽喜歡明道那個角色~
(3星)	没撒大印象。。。
(3星)	没感觉
(NA)	明道，演什么就像什么。
(5星)	好喜欢好喜欢～
(5星)	几年来看过的还算不错的偶像剧
(2星)	少年，假期，电视
(3星)	不知道为什么会有那么多人喜欢看
(4星)	乔恩演技就是好～～
(4星)	刷新了偶像剧的收视记录，前半部分真的很好看，但是越看越没意思，还算可以吧，要是不这样虎头蛇尾就很完美了~
(1星)	看过此片我真想像茼蒿一样失去记忆
(4星)	一段爱与童话的故事
(2星)	嗯。。。。小白台剧~
(NA)	台湾本土的偶像剧，拍的不错
(4星)	喜欢，有很多值得回味的情节
(4星)	都是失忆闹的。茼蒿啊…… 
(NA)	很喜欢徐子騫。
(3星)	断断续续的看，不知道有没看完。
(5星)	我喜欢茼蒿
(3星)	我··居然···好像··看完了··
(4星)	很浪漫的爱情剧~~当时看完真的很沉浸其中。。但事后觉得有点梦幻不切实际。。
(4星)	依旧的台偶，不过是稍微有点特色的台偶
(4星)	花痴持续发作。。。
(5星)	很喜欢。很喜欢明道；陈乔恩演技也不错。难得让我喜欢到下下来看的偶像剧，电脑里保存了很久，虽然后来是在是因为内存不够要删了。再说一下，喜欢明道，哈哈。接着就追着去看他在电视台拍的外景游历节目《冒险王》。
(5星)	，哈哈，真的很好笑；(*^_^*)
(5星)	因为这两部电视剧才喜欢男女主的，剧情最好的偶像剧，虽然有命中注定我爱你与它媲美，但还是喜欢这个多一些。
(2星)	某个夏天看的 年少无知才浪费时间在这部戏上 当时只想问，明道凭什么摆出那副不可一世的样子呢？他凭什么呢。。。
(NA)	明道  嘿嘿
(5星)	怎么老喜欢这种童话故事呢
(5星)	在博崽家看的~
(5星)	所谓偶像剧，这样就够了
(3星)	喜欢那个快乐的气氛
(5星)	最喜欢的偶像剧，看过至少两遍的偶像剧
(4星)	还行吧
(3星)	还算不错的偶像剧，无聊时可以看看，后面有些拖沓
(5星)	超喜欢~妈妈也喜欢看哦 ~~
(3星)	没一个美型男。。
(1星)	傻乎乎
(4星)	真正喜欢的第一部也是目前唯一的一部青春偶像剧，超喜欢单均昊那种人~~
(5星)	很好！
(5星)	最最亲爱的我家Ethan
(3星)	看，因为明道帅
(3星)	o(∩_∩)o...06年夏天在广东珠海实习时每晚和同宿MM一起等着看这个，嘻嘻
(5星)	百看不厌，除了人物造型..
(NA)	又是个搞笑的
(NA)	看的时候是盛夏。
(NA)	由此觉得明道很帅
(2星)	高三的时候我们整个班的人中午都不吃饭，就看这个啊~十分无语
(4星)	童话般的漫画似的电视剧被明道吸引
(NA)	某个时间段的口水
(3星)	还行
(4星)	还不错额
(NA)	就因为徐子骞才看上娇滴滴的吧？
(5星)	陈乔恩+明道 绝配组合哈 
(4星)	太红了，就看了。
(NA)	支持乔恩``````
(4星)	在个电视台的轮番重播之下，我看了好多遍
(5星)	超爱..完全喜欢这个剧本..
(NA)	明显仿的韩剧。不过比那个要命快很多。很不错
(NA)	等待属于我的爱情
(5星)	永远的经典
(3星)	现在看来是比较老套的剧情了
(NA)	同样寝室看的 男的真丑啊啊啊 伤眼啊啊啊
(4星)	我也没看完啊 但是还算是不错啊 陈乔恩不错啊
(3星)	眼睛大大的女一号 还不错
(NA)	哈哈 
(5星)	我看了很多很多遍  其实非常感人 不要对明道有偏见呀 男人关键在有腔调
(4星)	明道好可爱
(5星)	不知道到底看了几遍~~
(NA)	曾经最爱的偶像剧
(5星)	明道的演技和魅力撑起了整部戏
(5星)	一部剧的好坏与收视率无关，与包装宣传更是不沾边，这本身就是一个完美的童话，只献给那些懂得珍惜纯真的人。
(NA)	里面的青蛙太逗了
(5星)	挺经典的， 插曲很好听
(NA)	很好看的弱智情节电影
(5星)	哈哈哈哈~~~~我爱陈乔恩~~好玩~~
(5星)	很不错
(4星)	有同学很喜欢
(NA)	浪漫
(3星)	看烦了。
(4星)	灰姑娘的故事
(1星)	就算看过吧,只看了点点,确信看不下去了
(5星)	喜欢所有。除了后来的撞来撞去有些乱以外。
(NA)	明道还不错
(4星)	看了此剧之后，不再讨厌明道了~~~
(NA)	被逼看,实在不喜欢出演人物
(NA)	明道长的还不错
(4星)	安徽台整天都播想不看都不行。
(5星)	恩 。。很好。。
(5星)	里面有专业的酒店管理知识的背景，制作很精良，听说至今也是台湾地区偶像剧中的精品。
(3星)	还不赖也
(4星)	陈乔恩的片总有一套不同的搞笑风格
(NA)	好玩~
(NA)	王子变青蛙
(NA)	尾没看
(4星)	明道的演技在台湾偶像剧里算自然的了.
(5星)	当时看觉得很好看诶...
(3星)	这个，还行吧
(NA)	还是明道就是陈乔恩不是我喜欢的
(5星)	我的朋友中毒很深，到现在还是超喜欢明道。
(NA)	2007看完之后，开始喜欢不够帅的明道。他让我感觉到，即使是演偶像剧，也需要一份事业心。
(4星)	挺好玩的
(5星)	看了几遍了呢？我也数不清了
(NA)	那時..看得我..快愛死了..
(NA)	爱了就爱了吧
(NA)	挺好看的~~
(4星)	上大学时在朋友家看的，清楚的记得当时的不屑和看后的喜欢，天~矛盾的人~
(NA)	2005年
(5星)	近年难得的佳作~！
(4星)	传说中的高收视...
(2星)	驚覺……自己原來看過這麽多肥皂劇
(NA)	很久前看了
(3星)	搞笑`
(3星)	如果不是一周一集，收视率也不会这么高吧。。。
(5星)	经典之作
(NA)	发现小明
(4星)	算是一类电视剧中的经典，不过之后的就不喜欢了
(3星)	宣传的不错，所以观看了，明道和乔恩很般配，演技可嘉！
(3星)	主题曲倒是好听
(5星)	最好的偶像剧
(NA)	喜欢乔恩单单纯纯的样子。
(3星)	看个消遣而已
(NA)	当王子变成了青蛙，他才遇见了生命中的真爱。
(NA)	破了我备研不看连续剧的自我承诺的剧，那一年啊，因为有你而多了很多的哦开心
(NA)	抄袭韩国的《最后之舞》，鄙视下！
(4星)	因为这部剧爱上明道
(5星)	很喜欢！！！
(5星)	喜欢维美而有始有终的东西，这部剧感情丰富而又不乏幽默！
(4星)	不错
(5星)	经典中的经典 不看人生不完整啊~~~
(NA)	很好看
(NA)	安徽电枢台
(5星)	very good
(4星)	搞笑
(3星)	去年看的 看太多遍 终于视觉疲劳了
(5星)	剧情很好，很喜欢
(5星)	非常非常难忘
(5星)	太好看了堪称经典
(3星)	冰
(NA)	目前我最喜欢的一对银幕情侣
(5星)	喜欢乔恩
(3星)	good
(NA)	小柯推荐给我看的台剧~将就能看完~
(4星)	我竟然也会看台剧= =|||
(NA)	很喜欢单均昊！
(NA)	有些细节还是比较好玩
(4星)	.
(5星)	一个颠覆的童话故事 王子变青蛙….　　一个以嫁给有钱人为人生目标的功利女孩　　一个以事业成就衡量人生价值的冷酷王子　　一个意外让王子与女孩的人生产生交集　　冷酷的王子失去了记忆变成落难的青蛙　　女孩以为捡到了一个来路不明的偷渡客　　奴役他、修理他、用尽各种方式占他便宜　　却不知身旁的这个人正是她梦寐以求的超级贵公子　　一段爱与童话的故事----王子变青蛙　　大男人主义的均昊在订婚大喜日前为了收购观美渔村改建成新的观光景点偕同未婚妻芸熙来到此，岂料在路上竟会遇到一个专门欺
(4星)	喜欢就是喜欢,不管是王子还是青蛙,只要真爱在心中!
