http://movie.douban.com/subject/4812751/	成均馆绯闻 성균관스캔들
(4星)	 当时看的真揪心            
(2星)	 有什么好看的不就是朴有天么            
(5星)	 好好玩。            
(NA)	 古装萌剧呀.很有爱            
(NA)	 帅哥美女的组合            
(4星)	 看完后最大的感想是：宋钟基的皮肤真好呀····            
(5星)	 完全就是我的菜。哈哈。一直以为现在的自己不为俊男靓女所感动，只求一份平淡真实的感情，但是看了这部剧，发现自己还是很喜欢佳郎那种温吞水似地爱情。也很欣赏桀骜那种深情，侠骨柔肠。            
(5星)	 真挚的爱情令人心向神往            
(4星)	 可爱滴女主姐姐…你肿莫可以整得肿莫口耐…男二和男三好基…貂蝉姐姐也很枪斯。最挫的就是男主了……这么长时间都看不出来……还是男三天然黑比较好~            
(4星)	 宋钟基            
(4星)	 宋钟基 大爱啊 朴有天的嘴唇及其性感            
(5星)	 很有爱，是真的            
(4星)	 女林是亮点哈哈            
(NA)	 开始很好看，后面就不是很喜欢了            
(4星)	 挺好看的古装剧  画面很不错   故事也没有很俗套   就是结局有一点唐突。。              
(4星)	 歌不错            
(NA)	 韩国，史            
(NA)	 很有意思。            
(3星)	 拖沓的剧情，只能红出个最萌的男三            
(NA)	 跳着跳着看,,,,挺好玩的,,            
(NA)	 值得一看            
(5星)	 虎头蛇尾，前面太拖沓，后面结尾的很仓促            
(5星)	 有天演技不错!  挺搞笑！            
(5星)	 女林！！！！！！！！！！！！！！！            
(2星)	 剧情好拖沓，字幕烂又看不懂            
(5星)	 看完以后满脑子都是佳郎啊佳郎！！你是要有多迷人啊！！！！！！            
(NA)	 有天这个面瘫角色还行            
(5星)	 去年，我因为这个电视剧感受到了不一样的欢乐和开心。谢谢。也是我自己的经典作品之一。咔咔            
(4星)	 美男剧！在我心里女主是大配角！！！！主角是那三个男人啊！            
(4星)	 开头很闷，但越看越有意思！！！            
(5星)	 好看呦~~            
(5星)	 宋钟基好萌啊！！            
(4星)	 演员长的还不错，剧情也还可以            
(4星)	 挺搞笑的～            
(4星)	 花枝招展            
(4星)	 喜欢具荣夏            
(3星)	 感觉越到后面越不想看了~            
(5星)	 大爱宋钟基，韩国古装里最禁看的一部了，近期最值得看的韩剧之一            
(5星)	 볼 만한 드라마...            
(4星)	 欣赏女林 豁达的性格与人生态度 韩剧里难得的好剧吧            
(3星)	 这女的长得多女啊。。。。。还看不出来。。。我爱女林啊！！            
(5星)	 这样曼妙的青春，谁看了都会感动的，成均馆成为了令人向往的地方。            
(3星)	 为神马我感觉不是那么滴好看捏。。难道我审美观有问题哈！            
(4星)	 就是私心 這麼高分            
(5星)	 花美男还是很养眼的~剧情也不错~很腐啊~看到过最逗的评论是：这是一个讲述“男四喜欢男三，男三喜欢男二，男二与男一互相爱慕”的故事~哈哈，看了这剧超喜欢宋钟基啊~怎么会有男人把那么多鲜艳的颜色都穿的那么好看拟(⊙o⊙)？！(*^__^*) 嘻嘻……            
(3星)	 我只想说我真的看不下去....不过我倒是挺喜欢宋钟基类型的嬉皮男~~            
(5星)	 女主角比较耐看，最爱有天            
(4星)	 花了三天 窝在床上看完了 就说了我不看电视剧的嘛！特别是这种类型了你的。看完了心里又是空荡荡的感觉烦死了！剧情和人物一直在脑子里去不掉，，哎呀呀！虽然千篇一律，不过还是不错的啦~            
(5星)	 蛮搞笑的            
(2星)	 盗版的梁祝，棒子可以有点创意吗            
(3星)	 男二和男三赤果果的JQ！            
(4星)	 古装又靓丽的韩剧！朴有天完全颠覆了我对他以前形象上的偏见。其实也是很俊朗又很正气的男人啊~女主角虽说是整的，但是完全看不出痕迹，令人惊艳！男二男三也超级有爱的~            
(4星)	 好多帅哥啊。。。。改编版的花样少男少女~~~            
(4星)	 大爱女林！            
(3星)	 还不错了，挺有意思的电视剧！            
(5星)	 那热血中的青春！带着些许暧昧和对未来满满的自信，我们需要的也不正是这些么~            
(4星)	 推荐因为宋钟基~~ 有天演技实在太差。。。。            
(4星)	 男男CP有爱~            
(4星)	 有天     我居然一口气看了9集     中间特好看，哈哈            
(5星)	 十年 一切都好            
(5星)	 好看啦~韩国版梁祝嘛~帅哥美女~wuli亚仁啊!!!~`            
(4星)	 本来一直不喜欢看韩国的古装，怎么看怎么怪，这部剧在无聊致死的时候捡起，从前往后，从后往前都看过，本来觉得宋钟基演的太出彩了，后来发现朴有天演的呆呆固执书生的样子还挺可爱的，话说我时从这部剧知道朴有天是谁的，汗死~            
(NA)	 还不错            
(NA)	 崇拜金允熙 喜欢具容夏！            
(5星)	 好好看哦。有天好可爱~宋钟基也好可爱~女主角皮肤感觉是吹弹可破的那种！还有在信遇到女的会打嗝哦。。剧情好好看！            
(4星)	 可爱的古装剧  人物都很鲜明              
(4星)	 我也好想女扮个男装，去混乱一个大米那样可爱的小书生哟~            
(NA)	 看的时候一直在找钟基的脸，好美哦有他在，何必要女主角呢，唉            
(3星)	 这我有看！！！这我也看！！！            
(5星)	 男朋友培养女朋友的片子一定要支持            
(3星)	 真的是高开低走哦 刚开始还蛮好看的 后面真的爆无聊            
(5星)	 韩版梁祝，古装版F4，再加一点罗密欧与朱丽叶……老桥段故事新编，竟然相当有趣且画面人物养眼——好久没看到感觉这么哈皮的韩剧了，对于仍旧是韩剧一贯的烂尾就无视掉算了。4.5星，强推！            
(5星)	 大通！！！            
(NA)	 喜欢男二和男三！！！            
(4星)	 啊~~里面的人都好帅啊~~~~我这个花痴~~~            
(5星)	 宋太有爱            
(5星)	 女主角很可爱，这片子有点像是美男啊的古装版！            
(NA)	 一部连配角都是美男的剧~            
(5星)	 有天好帅气啊            
(5星)	 0.0            
(5星)	 女林~钟基~            
(3星)	 男女主不行，其他人都还可以            
(3星)	 认不出来那是女的的人都是傻逼 不过有时觉得朴有钱还挺逗的 我当时就在想是谁的脑袋前后左右都这么圆 默念3.1415926...            
(4星)	 有天对这种一板一眼的人物刻画的还不错，小宋同学古装挺带劲，女一号长着个风骚脸却要表现个清纯小少女，着实非好感            
(5星)	 北方有佳郎，遗世而独立            
(4星)	 完全就是古装版的美男            
(5星)	 有天的演技是惊喜            
(5星)	 百看不厌~!! &gt;&lt;。 女林桀骜尊素有爱旳存在。            
(4星)	 好喜欢女林哦~~~~爱死了。整体来说，一般好看喇            
(3星)	 额  还蛮喜欢の 俊男美女 养眼啊            
(4星)	 很搞笑。男主角显得很青涩            
(4星)	 钟基啊，你不带这么可爱哒，撩的我精神恍惚~~~悲情男二号又出现了，可怜死了……小配角们演得都很出彩，男女主，你们还是哪凉快哪恋爱去吧~~~            
(5星)	 PARK YUCHUN 》》》2010年12月31日晚》》》我的小王纸》》》骄傲的            
(5星)	 最心爱的亚仁的剧~爱到无法自拔            
(NA)	 很好看。            
(4星)	 这一年来bug最少，剧本最好的韩剧            
(5星)	 为朴有天~~ 朴敏英也超可爱的~            
(4星)	 除了那个惊悚级整容后的女主角,其他一切都还好..宋钟基的笑实在太美好了~            
(4星)	 男1234都不错            
(4星)	 到后面有点米耐心拖沓神马的            
(3星)	 韩国古装版的F4            
(4星)	 养眼 心情愉悦            
(4星)	 虽然我知道它是打着时代剧名号的偶像剧 虽然我知道它是美男的古装版 但是！还是很好看嘛！要笑点有笑点要美男有美男！最重要的是 常年被日剧虐得人生灰暗的我 始终有颗不死的乙女心以及——看韩剧的时候 无脑人 模式 on！            
(5星)	 好看，但结局太草率~~            
(4星)	 韩国版梁山伯与祝英台，还不错，很喜欢宋钟基。            
(4星)	 很有爱的~哈哈            
(4星)	 当时还是看的很欢乐的。            
(5星)	 真得觉得他演得太好。            
(5星)	 是看的众多韩剧里第一部古装的，最初是因为有天主演才坚持的，但到最后发现真的是不错的片子，里面的几个演员也都表现不俗，女林和桀骜都很喜欢呀！！不管是什么理由，都得给五星！            
(4星)	 动作部分有些粗制，古装校园故事蛮有趣，好吧我承认我有私心，为了我的璀璨二人组-女林*桀骜，这两位男2号的光芒完全盖过男女1号，最高票当选年度最佳CP是有理由的。            
(NA)	 看了好多次了...男主性格太大爱了....看着纠结的原则主义者,心花怒放鸟            
(5星)	 剧情还不错 不是泡菜剧一贯的脑残女主路线 也不是生硬拖沓的误会神马的 女主也长得不错 所以颇能接受            
(4星)	 一号，二号，三号，四号            
(4星)	 喜欢女林            
(NA)	 看的内个字幕太烂了太烂了。            
(4星)	 是因为朴有天而看。但历史剧并非我所爱，是这种枝杈不少的韩剧。之后看了原著的译本，还是原著更加有爱。有天，作为第一次出演的新人，李善俊这个角色塑造得很不错，很喜欢。一句话，他把李善俊演活了。            
(NA)	 很可爱，觉得大学生活白过了~            
(4星)	 开始是为了朴有天去的，结果觉得最出彩的是女林。男一女一是用来讲故事的，男二男三是用来yy的。            
(3星)	 完全冲着宋钟基去的太惊艳了  至于剧情也就那样吧 韩剧都差不多的说            
(4星)	 男人真是很帅 T T            
(4星)	 朴有天的荧屏处女作，虽然演技稍有生涩，但是魅力还是依旧。宋钟基和刘亚仁是剧中的绿叶，但是这对隐约的CP给古装剧带来了活力！            
(3星)	 烂尾！至今没看完结局~ 俊男丑女片 迷小宋 喔唷 谁能告诉我女主每次沐浴时的伴乐是什么？            
(5星)	 追求梦想的权利，是谁也不能剥夺的。 俊男美女回到古代而已，全剧依旧透露着青春的气息。             
(5星)	 搞笑死了            
(5星)	 ㅎㅎㅎㅎ..            
(3星)	 头一部剧是我三个男主角都觉得好，真是各有千秋啊！            
(4星)	 蛮搞笑。还不错。            
(4星)	 虽然有天得了很多奖什么的，可是看得时候还是最爱钟基oppa            
(5星)	 女主角的眼睛真的很漂亮，喜欢桀骜这个角色，剧情自然是不用说了            
(4星)	 故事还算新颖，演员演技不错            
(4星)	 嘿嘿~有天不错啊~            
(NA)	 看到第七集真的看不下去了|||。。。为了大米看到第七集我真的够了，为了听JYJ的歌看到这一集真的够了——这部戏的编剧快去屎好吗！！！！！！！！！！            
(4星)	 不正经的女林 不羁的桀骜 嗷嗷~最爱这两位            
(4星)	 朴甜甜让我惊喜了，本来没抱多大期待，但是看了两集后意外发现这个角色诠释得很好啊~~~一直觉得他有激起母性情怀的特质，总算听到有人有同感了~~~故事编的也不错，演员更是，都很养眼，很和谐            
(4星)	 女林实在太可爱了~桀骜太闷了~不过一样可爱~哈哈~男主角嘛~~~~~~            
(5星)	 纯洁而又新鲜的校园恋情，气息迷人，引人入胜，            
(4星)	 可爱宋钟基……可爱刘亚仁            
(NA)	 很轻松啊。。居然是由美，还有超爱宋钟基            
(5星)	 令人眼前一亮的韩剧！剧情不突兀，演技自然。最重要的是男一是朴有天！            
(5星)	 很搞笑，但是让人不得不爱的一部古装剧。            
(5星)	 有天你那呆呆的书生样实在是太萌了！！~&gt;.&lt;~            
(4星)	 非常不错的一部,值得一看~            
(5星)	 大爱呀            
(4星)	 具容夏。。。            
(2星)	 真难看            
(4星)	 在中、在中、、、、            
(4星)	 如此脑残的BJ如何对得起四只在里面的表现啊            
(5星)	 2011.2. 有天让人眼前一亮，已经是成熟男人般帅气了。宋钟基表演很出彩~            
(3星)	 还行 就是故事的结构性不大好 一大堆人除了搞笑 没有亮点            
(5星)	 男男CP超级给力！            
(5星)	 喜欢的不得了!            
(4星)	 李善俊。不错。            
(3星)	 结局太烂            
(4星)	 难以相信这是有天第一次演戏，在中说，很难接受啊！那是因为演得好。            
(4星)	 宋中基我是为了你            
(5星)	 垂涎四人帮一人一星  各种搞笑酱油一星  这剧的人物都忒有存在感了ps 桀骜女林必须在一起！！            
(4星)	 最萌女林，  砰然心动很久了            
(3星)	 秉承韩剧一贯的套路~~要不是宋钟基，此剧已经让我追不下去。。            
(3星)	 有的时候魅力不在于剧集本身，而是追剧的过程。我不能不说，初用电视看的时候，没有字幕+古文法真的让人很头痛            
(NA)	 没看完 我妈喜欢            
(NA)	 一直都蛮不错，可是后面结束的也太仓促了吧？！            
(5星)	 女扮男装的桥段，很喜欢。算得上梁祝类型的。            
(4星)	 不仅是俗俗的bg之爱有趣，连淡淡的bl也有趣呢~            
(3星)	 为我钟基和亚仁            
(5星)	 朴有天作为新人演员的首部古装剧。。出色的表演能力让他成为了当之无愧的三冠王！            
(5星)	 太有爱了~绝对带着偏见看的            
(NA)	 三个主要的演员演的都不错，角色的选定很符合剧情的需要，之前觉得是古装剧没有冲动看下去，但是朋友一再要求，看完了，有一种意外的感觉！意外的搞笑！            
(NA)	 最喜欢看的一部片子            
(5星)	 很早就迷上韩国古装剧，从黄真伊开始。这部也很搞笑。            
(4星)	 那麼萌的女林就值得了阿            
(NA)	 我很喜欢。。            
(3星)	 宋钟基好有爱啊！            
(4星)	 韩国版的梁祝，情节还是一如既往的韩剧风格，不提也罢。话说看这剧最大乐趣就是欣赏女林和桀骜的互动，一生有这样的知己足矣            
(4星)	 第一集撑过去，你会发现这部剧太有爱了，呃，女猪暴露以后可以快进着看。。。            
(5星)	 乍一看是古装片，以为很枯燥的。。。谁知看后才发现还是挺好看的。剧情也不错。演员也都是帅哥美女呢。。Good！！            
(4星)	 毕竟可谓是美女帅哥，再加上本人很喜欢有天和宋钟基，但剧情确实不太好看            
(4星)	 女林好可爱好抢镜啊，那一身身行头，美绝了。桀骜那小子可是心疼死偶了，动不动就伤了虐了的。这部开始几集食不知味差点弃了...往后看看倒是还不错...把古装拍得偶像剧兮兮的真好。垂涎四人帮，古代F4O(∩_∩)O~~最后好囧，还带书行房事，不熟练一刚╮(╯▽╰)╭            
(3星)	 前一部分还蛮好～            
(5星)	 不只是韩剧的韩剧 超越韩剧的韩剧            
(NA)	 古装F4，哈哈，东方神起最棒了            
(NA)	 喜欢那份纯粹义无反顾的感情            
(4星)	 没有我想的那么难看，果然心理建设很重要。宋钟基比有天有看头啊            
(5星)	 很有爱~~            
(3星)	 挺耐看的            
(3星)	 我只是喜欢宋钟基啊~~~            
(4星)	 冲着有天去看的，但是宋钟基 也太出彩了点            
(5星)	 好看死了好看死了。。。继美男之后最喜欢的最喜欢的。。！！！            
(4星)	 喜欢女林，嘻嘻。同意举手            
(4星)	 开头还行。但是。。后三集一直在电脑存着，到现在也没看。不得不说，我弃剧了。            
(3星)	 看着看着睡着了。。虎头蛇尾的感觉~~女的演技太差了，难道整容之后表情都会变得单一么？            
(4星)	 超❤유천~~~~女猪水汪汪的眼睛太~迷人了！(*^__^*) 嘻嘻……            
(4星)	 看第一集的时候几乎想放弃，但我想越过这道坎，后面的一定好看，毕竟是称道声一片的剧，果然，后面好看起来。本来也不喜欢韩国古代剧。但这个和一枝梅都不错。而且男一男二男三都喜欢。还有那个眼神冷起来很像黄晓明的反一。。            
(2星)	 两星给宋钟基！~             
(4星)	 宋钟基兮~&gt;.&lt; 结局好有爱~~！            
(4星)	 女孩子清澈的眼睛和小长圆脸，以及各色男角。结果果然还是喜欢男三的贪玩。            
(NA)	 喜欢宋钟基在这里的角色~~            
(4星)	 3.5，不自觉总是想到梁祝            
(4星)	 追得很辛苦 之前·            
(4星)	 宋钟基快去演个男一号 让我饱饱眼福！！！！            
(5星)	 垂涎四人帮            
(4星)	 支持我把这片10集以后看完的只有具容夏了，我可是具容夏，眨眼的表情太萌了（捂脸..&gt;.&lt;..)            
(5星)	 为了美男们 五星 阿天哥继续给力哦~            
(5星)	 大爱的剧~~~~            
(5星)	 我喜欢!             
(5星)	 第一部 惹人爱的韩国古装剧  男男cp大爱            
(4星)	 三星给剧情 一星给best CP~朴大米这个男主从开始打酱油 一直打到15集 后来总算有存在感了~女林还真是不知道遮掩自己对桀骜的感情啊~哈哈哈哈！            
(5星)	 前面有些无聊，想着又是烂片，没想到后面真的越来越给劲，我喜欢~~大家都好有爱 啊            
(5星)	 最爱！            
(3星)	 我好喜欢具容夏啊！！！我觉得我喜欢的类型是不是又丰富了一种啊～虽然宋钟基也是单眼皮，哈哈！那我到底是喜欢具容夏，还是喜欢宋钟基，还是喜欢宋钟基演的具容夏咧？啊啊啊！！！好喜欢呐！！！！他就是让我看下去的原动力啊！！            
(5星)	 虽然也有点我越来越活回去了的想法，但是还是要承认这部是让我觉得很好看的韩剧。在三年后才突然觉得我还蛮喜欢Micky的，只能说，同桌，我对不起的“耳濡目染”啊~            
(4星)	 没想象中的好，太含蓄了 姐看得累            
(5星)	 =0=导演很坏噢。差点让我们天哥变成GAY            
(5星)	 怎么会有人不喜欢男一哪？？？真的是要不行了。不过说实话四个主角确实都挺有魅力的。唯一让我觉得美中不足的就是结尾有点无厘头了，我还期待拍个续集之类的那~~再说一遍，我真的好喜欢男一！！~~            
(4星)	 韩国式的梁山伯与祝英台            
(NA)	 非常好看的古装题材剧 剧情有点像《梁山伯与祝英台》，只是结局不是悲剧而是喜剧，镶嵌在韩国的历史中，别有一番味道。朴有天可爱的表演，朴敏英帅气的扮相都让这部电视剧被很多人喜爱，是不可错过的一部精彩电视剧哦！            
(5星)	 有天 宋钟基 刘亚仁 一定一定要看 太好看了！女主也很漂亮 剧情也好！            
(5星)	 许久看不进去韩剧了，春节在家却看了这个。            
(4星)	 挺有意思的            
(3星)	 宋钟基是男主就完美了            
(NA)	 精彩搞怪的四人帮，还蛮像古代版F4耶！！            
(5星)	 是时下比较流行的题材，有点腐，但都很可爱。。电视剧能拍着那么轻松，真不容易。。看着不累，男女主角都很帅。喜欢            
(2星)	 无聊~纯打发时间            
(5星)	 哈哈，简直无法形容对这部戏的喜爱程度……大爱大爱！！            
(4星)	 又正气又腐，又有趣又虐。果然最好看的还是小儿女情态，男主把这种分寸把握得很好，而且有儒生气，居然是歌手出身。            
(5星)	 好看            
(NA)	 韩国古装剧还是不错滴……大爱桀骜。恩。            
(4星)	 宋钟基每集都帅死我了。真的好帅。激动。            
(4星)	 耶~~~~~~~~~~~~搞笑的古代大学校园四人组~            
(2星)	 都看到第八集了始终无爱            
(4星)	 集梁祝 美男啊和一枝梅为一体。。。            
(5星)	 很好的古代校园剧            
(4星)	 朴有天完全大爱！支持甜甜~！！            
(5星)	 姐姐说她也喜欢这个韩剧！理由是因为是BL的？？？？            
(5星)	 又腐又有爱。。。男1男2男3都是我的菜。。。节奏太慢是缺陷。。还有除了男1男2男3地其他男性格都打了鸡血。。。好吧，5颗心给我心爱地男1男2以及男3~~~~~他们都是我滴~~~~~~~            
(5星)	 很轻松的古装韩剧，除了《一枝梅》这个算不错的了。对于有天，他在东方神起里是没啥印象，只看过综艺片里有他，比较腼腆，不过大多数青春偶像的男星好像都被包装的很腼腆。这部剧中对宋钟基印象深刻，帅~~            
(5星)	 f3和杉菜            
(5星)	 宋钟基啊            
(4星)	 男3 灵            
(3星)	 纯粹看大米            
(4星)	 我，具龙河呀！哈哈！            
(4星)	 多么养眼的电视剧啊~宋钟基好Q~            
(5星)	 制作精良，剧本出色，演员全部给力。            
(4星)	 还是很有青春气息的一部哈。。春天=V=            
(3星)	 根本不想看完，女主的眼角开得极为不成功，总忍不住拿眼线笔给她补上，朴有天一个表情演完整部，也算是狠角色了，听闻坏男一酒后袭警，哇哦~~~真是成事不足败事有余的主儿呀！            
(4星)	 这里面的男银让我看完了这部剧~            
(5星)	 好欢乐的.            
(5星)	 嗯~            
(4星)	 看韩剧的N种好处...........            
(4星)	 演员找得太完美了~            
(NA)	 撇开男女主角不说，女林和某位，感觉很暧昧，（¯﹃¯）口水            
(4星)	 剧情不错！            
(3星)	 别人推荐的，我也只是为了看看宋钟基。            
(NA)	 虽然只看过一次啦，但是也猜到了整个过程，有仟演得真不错。。。            
(3星)	 都跟我说好看，但看到第三集的时候还是弃了            
(4星)	 剧情就是F4+梁山伯与祝英台～            
(5星)	 哈哈~评论什吗的最好了            
(5星)	 大米的剧，虽然很不喜欢古装，还是看了，还是很不错的            
(NA)	 喜欢女林的唯美及小聪明；大物的努力执着；佳郎的呆；桀骜的不羁            
(4星)	 我反而不是喜欢主角，我喜欢女林具龙河            
(5星)	 三男一女的模式？如果是这样的话，果然男二男三更让人满意哈哈哈。尤其小宋如此花，全泰秀在全爱里的笑点我终于明白了...../这个剧告诉我们男二男三永远比男一给力，因为男二男三也可以是一对的，哈哈哈。            
(4星)	 好萌            
(5星)	 四位主角实在太可爱了.音乐画面都很好.很出色的电视剧.            
(5星)	 T T            
(5星)	 喜欢啊喜欢..桀骜女林都好有爱            
(4星)	 WHC，我是有多爱你啊~~~不过，是蛮好看的啦 (拜托大家，至少要对得起所吃的饭，好好干吧）（是嘛……别忘了他一直在看着你）（因为只有这样，看着我背影跟我走的家伙，也才能像个人一样活下去）傻傻的一往无前的世界，一定要有结伴而行的伙伴，才可以一起把虚妄的东西当成梦想，这样笑着走下去            
(3星)	 虽然是米的 还是 可以的哈~ 追星的可以看看的~            
(4星)	 不错，不错，所有的演员都很不错，最爱女主            
(2星)	 帅哥很多，及其无聊            
(NA)	 男神请见女林~~~这片子选角很成功~~            
(5星)	 东方神起！            
(5星)	 有天表情变化小，确实没了发型问题之后是帅哥一枚。朴敏英女装比男装好看太多了。桀骜和女林的暧昧也许之前听说得太火热了，于是实在没觉得了不起，但两人分别我都是很很很喜欢的。配角们都很好，包括左相和掌议和掌议他爹他妹。其实个人觉得原名“成均馆儒生的日与夜”更美好啊。绯闻太噱头了。            
(4星)	 基本上是一口气看完的剧，第一次这么讨厌男一，话说上大学那会我还蛮喜欢东方神起的，看来还是角色设定不得吾心啊。舍友更狠，说比起桀骜和女林，男一又丑又没用。于是乎，我俩边看边腐，满心YY她家桀骜和偶家女林终成眷属。            
(3星)	 男主女主太狗血  剧情太狗血   演员还算可以 待见宋钟基 只有女林这个角色是正常人吧            
(5星)	 越看越有意思            
(4星)	 为了有天才看这个剧的~~很不错哦~~~虽然结局实在是有点囧到了= =            
(5星)	 真的很不错，温馨单纯励志美好。            
(4星)	 哈哈哈，结局搞笑了一把，PS 桀骜应该和女林在一起啊！PPS 朴有天怀挺，接下来继续看雷普利小姐。。。            
(4星)	 起初对朴有天没有抱多大希望，毕竟是歌手出身。只不过他的演技还是使我眼前一亮。第一次演戏就演的很到位。cool。            
(3星)	 看了几集挺无语的，棒子思密达总是想把这种文化纳入自己名下。无耻之尤。以后不看韩剧了，不想继续做个自相矛盾的人= =            
(5星)	 超级好看啊啊啊啊啊 啊  比九尾狐好看            
(5星)	 都很可爱的演员，拍出不一样的梁山伯与祝英台            
(5星)	 事隔N年之后再看的第一部韩剧，一见钟情啊~~            
(4星)	 桀骜和女林两个人物很棒！尤其是女林~让人无法自拔的喜欢他！男主的性格实在让人不敢恭维……最后几集寻找金陵之书又拖沓又无聊，快进看完了。            
(5星)	 手法细腻+上三个不同类型不同性格的美少男啊+清新的女主。看这戏就任君选购。            
(5星)	 我一开始是为了钟基去看得 还是很好看的哈 每一集都很激动 哈哈 只要大家挺过第一集 = =            
(4星)	 其实我更喜欢男2的表情 好可爱             
(3星)	 只有美颜。所以我不是快进就是暂停。            
(5星)	 很不错的剧~因为有天来看的，有天演这种不苟言笑的角色还真蛮适合的。看着看着就特别喜欢小胡子和丝绸男啦。小胡子这种悲剧男二号总让人很揪心的，很喜欢他的性格，很赞很赞！女林是最给力的一个了，看到他就相信没神马问题了，这个人的表情真是无敌了，太美了。这俩人真不是一般的配啊。。。            
(3星)	 中国版的梁山伯与祝英台么，看了几集没看下去            
(5星)	 有爱的男123            
(5星)	 钟基实在是太帅了，就是冲着他去看的            
(4星)	 大部分人都是冲着有天去看的，然后爱上男二男三，不得不说，男二和男三实在是太有爱了！！！当然女主和有天之间的那种暗涌看得我那个荡漾啊~~~是我今年看完的第一部连续剧！            
(4星)	 喵～男人们都去拍电视剧了=b=            
(4星)	 子曾经曰过：三人行，必有奸情~            
(3星)	 那些烂尾的剧，看到我为你们流泪的心了吗            
(5星)	 好喜欢这里的宋钟基            
(NA)	 女林。想看到他笑脸，整个世界都是阳光~            
(5星)	 帅哥美女 HAPPY ENDING 我很喜欢古装帅哥啦 虽然古装的剧情难免落于制度神马的俗套 但是总体还是不错的 男二和男三比男一有感觉的说 娃哈哈哈哈哈            
(4星)	 不喜欢男主 超爱两位男二            
(5星)	 看了两遍 不知道怎的脑抽 还买了碟 就是 春儿 我想你            
(3星)	 政治，正直。古装版花样男子+花君，女主角长得够清丽，不错。            
(3星)	 同类电视剧中，感觉最差的了。。。            
(4星)	 为了男三给四星。。。            
(2星)	 前面几集主要是萌女林，后面觉得男猪也不错，到最后越来越失望，白追了            
(5星)	 从头到尾看完的韩剧也就那么几个，但成均馆绯闻很好看，我本来就爱痴情男二，像“是美男啊”里也一样，总之我爱死桀骜了！            
(5星)	 有天有天            
(2星)	 话唠么···看不下去            
(4星)	 诶 只要是有天吧            
(NA)	 这部片子让我发现了个帅哥。            
(5星)	 开始觉得一般。后面越来越好看啊。我的有天啊。钟基啊。桀骜啊。~~太美好了。            
(5星)	 年底演技大赏时，4个人配成了两对，宋钟基和刘亚仁？！            
(4星)	 全部分数打给女林            
(5星)	 郎才女貌，垂涎四人帮~嗲死了~~            
(4星)	 昨天看完了，友情、罗曼皆具。充满“珍惜”情感的电视剧            
(4星)	 第四颗星给有天            
(5星)	 好一出梁山泊与祝英台啊~~那男几也很帅~            
(4星)	 钟基还是妖孽点好看啊~ 三个美男啊             
(5星)	 是继&lt;原来是美男啊&gt;我最迷的韩剧了。。。四只之间的热血青春及友谊令我着迷。。大物 佳郎 桀骜 女林 四个人各有特色 特色鲜明~~~              
(3星)	 我们李群老师是去韩国客串了书店老板么·怎么会这么像= =···女林.妖孽啊妖孽            
(4星)	 唇部特写也太多了吧，导演表现春心萌动太没创意了。女林貌似双性恋啊，不过最可爱的就是他了。            
(5星)	  PA 完美的演出~            
(4星)	 越看越有味道&gt;&lt;看完城市猎人再来看这部的 朴敏英似乎总是那几个表情 佳郎帅啊、、男三太萌了啊&gt;&lt;            
(4星)	 有天有天            
(4星)	 宋钟基这个卖萌卖腐专业户！╯_╰            
(NA)	 看完这部剧后超爱朴有天的。憨憨的样子很可爱！            
(5星)	 打嗝的那位太可爱了            
(3星)	 男色 男色 搅基吧~            
(5星)	 太好看啦 特别是“出柜”的时候  真是激动            
(5星)	 冲着有天看，看完爱上了女林            
(NA)	 不错的影片 很喜剧            
(3星)	 大米的表现不错~            
(NA)	 完全为MICKY追的这剧            
(5星)	 有天很帅的啊啊~~不过更喜欢桀骜~ 具河龙很可爱啊哈哈~~~            
(5星)	 到处充满了小暧昧~            
(4星)	 我喜欢各具特色的帅气四人帮，最喜欢能创造奇迹的佳郎。            
(4星)	 我喜欢那个总是笑呵呵的家伙。            
(4星)	 宋钟基好帅~~~            
(NA)	 我是因为太寂寞了啊~            
(NA)	 这部剧完美的展现了 女王受（女林、夏仁守），忠犬攻（桀骜）的模板，尤其是女林啊，堪称女王受的范式！！            
(5星)	 我喜欢看古装剧，这个超爱，想不到有天的演技也不是不错滴~~~帅哥满满~~暧昧满满啊~~~            
(3星)	 前部分还行，后面越来越无趣。            
(4星)	 看宋钟基            
(4星)	 吻戏超过2次!!!所以四星!!            
(5星)	 很可愛的一部劇，輕松又搞笑~            
(NA)	 因为演员才看的，因为演员才喜欢的，其他的好像一般            
(4星)	 古装版花君。打着幌子谈恋爱。前半部还是比较喜欢的，喜剧+振奋人心。但因为是韩剧总免不了要进入俗套，后半部跳着看完的。结局确实不现实，不过既然只是个古装校园偶像剧，就不追究这些，只图看个开心。            
(5星)	 我喜欢女主我喜欢女主我喜欢女主！ 我喜欢男三我喜欢男三我喜欢男三！            
(NA)	 据闻是古装片入门的好选择~/请忽略关于政治深度方面的探讨，只看养眼的部分就好，青春什么的、成长什么的、伤痕什么的、初恋什么的、男色什么的、闷骚什么的、傲娇什么的、腹黑什么的、颓废什么的、萌得肝颤什么的，最讨厌了&gt;&lt;            
(3星)	 恩....看完很久之后再来回想一下....其实蛮一般的.....我就是个配角控            
(3星)	 女主角的腰真心的细- -我好羡慕            
(4星)	 原来良山脖与猪蝇苔也是棒子地斯密达            
