http://movie.douban.com/subject/2156704/	包青天
(5星)	 儿时回忆            
(3星)	 就记得包黑炭那句展护卫            
(4星)	 小时候特别喜欢那个展昭！            
(NA)	 童年；             
(4星)	 金超群的包拯最经典了。            
(5星)	 这个算是我爱悬疑推理的鼻祖吧？            
(3星)	 哈哈！            
(NA)	 春去春会来，花谢花会再开，只要你愿意，只要你愿意，让我划向你的心海——多么囧的主题歌            
(4星)	 不错            
(4星)	 小時候聽曲兒就跟著唱、「海風由過飽青天、鐵面無私辨總監」。驚堂木一拍、那句「大膽」、是我最愛的橋段。            
(4星)	 多谢展护卫前来搭救            
(5星)	 经典无可替代。            
(5星)	 看了好多遍~            
(4星)	 何家劲好帅的好嘛！            
(5星)	 开封府尹            
(4星)	 小时候心目中是大英雄~            
(5星)	None
(4星)	 童年回忆呀！            
(4星)	 无垢好漂亮            
(NA)	 真不知道一共多少集，记得当时六集一个故事就有好多部。            
(4星)	 演员选的超好！儿时的记忆~！            
(5星)	 多少英气的展昭啊            
(5星)	 展护卫            
(NA)	 没看全过   200多集            
(NA)	 最靠谱的一版            
(3星)	 只记得主题曲了            
(4星)	 呀呀 这个啊  何家劲啊 帅呆了当时            
(NA)	 小时候一直纠结内个月牙是怎么回事            
(4星)	 现在觉得包拯说话在唱戏，所以重拍的都不看            
(NA)	 以前很迷  现在就那样            
(4星)	 那個年代的經典            
(3星)	 呵呵，小时候洗澡的时候看。            
(4星)	 哈哈，童年的回忆啊~包黑子包大人！            
(NA)	 只记住了片头曲和展昭- - 包大人那张脸貌似有点吓到年幼的我……            
(4星)	 其实恶搞的也很好看            
(4星)	 这个绝对是经典！            
(4星)	 这个包青天的形象给我留下了深深的烙印啊。。。            
(5星)	 看了这部戏之后特意把《包公案》找出来看了~            
(5星)	 小时候看过的电视剧            
(4星)	 开封有个包青天，铁面无私辨忠奸。            
(5星)	 开封有个包青天~            
(5星)	 很小的时候就看过了吧，至今都还记忆犹新，那时候的我们不懂得很多，只是单纯的盲目的崇拜包青天，觉得他是正义的聪慧的。            
(4星)	 开封有个包青天啊啊啊            
(4星)	 展昭是我小学幻想的对象&gt;&lt;            
(5星)	 展昭就是我第一个花痴对象！！！！            
(3星)	 开封有个包青天 展昭超级无敌帅~            
(5星)	 主题曲！！            
(3星)	 就记得黑寡妇一案了            
(4星)	 十几个人围着看一部电视剧的年代已经远去            
(NA)	 经典！            
(NA)	 两百多集啊...水木在看的...            
(4星)	 就是小时候看的了，好久好久。。。            
(NA)	 靠谱包青天！            
(4星)	 。。。狗头闸伺候！             
(4星)	 童年的我是多么爱看电视剧。。。            
(4星)	 开封有个包青天~~            
(5星)	 曾经的记忆            
(3星)	 多少年前的事了，我都忘了            
(4星)	 居然有200多集……            
(5星)	 小时候的记忆 展昭好帅            
(5星)	 话说曾经十分喜欢穿红装的展昭，何家劲的版本            
(4星)	 哈哈            
(4星)	 开封来了个包青天            
(5星)	 经典之作，何须多赞言            
(4星)	 童年回忆            
(4星)	 哈哈谁没看过？！            
(4星)	 那时候我也想给自己的脑门上画上一个月亮··            
(4星)	 小时候就觉得展昭帅+n            
(NA)	 怀念展昭~            
(NA)	 想到包青天的形象永远就是他            
(5星)	 用心拍出的片子 經典中的經典            
(NA)	 我老爸爱看啊。            
(4星)	 少年时代喜爱的片子，让包公的形象定格在这个月牙~！            
(5星)	 开封有个包青天，铁面无私辨忠奸            
(3星)	 儿时的回忆啊。。。            
(5星)	 很小的时候看的，现在都忘记了······            
(5星)	 这个经典啊            
(4星)	 记得人鱼传说            
(4星)	 小时候狂迷展昭            
(3星)	 小时看还挺害怕的。            
(3星)	 老爸家装了有线电视之后，我第一眼看到就是在放包青天啊～～记得某人超迷这个电视的，我却完全无感啊！觉得金超群演得真做作，在游龙惊凤里就还不错啊。还重拍，OMG，有这么好看吗。。展昭好像还蛮帅的？某人的贴画曾让我惊艳了一把啊～还有那个主题歌，矮油，我一唱就走调，因为没就听过啊|||            
(5星)	 包青天=金超群            
(3星)	 现在想起来有点汗。。。            
(3星)	 包公代言人            
(NA)	 爷爷的最爱啊...每天晚上陪着老人家必看啊...            
(5星)	 好！            
(5星)	 哈哈哈哈哈哈哈哈哈哈哈            
(5星)	 这都是小时候的回忆啊            
(5星)	 最佳的包青天+展昭组合。            
(5星)	 虽然剧情是很狗血了，不过这个版本的演员都最有架势，当年爱死了。            
(3星)	 当年爱死展昭了            
(5星)	 经典。            
(5星)	 当年大爱的连续剧啊！展昭很帅，包青天很酷，公孙策很有味道！有木有！有木有！            
(5星)	 经典老片了！~            
(4星)	 童年的回忆，夏天的傍晚，洗个澡，喝一瓶芬达，看包青天，美死了。            
(NA)	 展昭巨帅所有女的都特苦啊            
(NA)	 不要把狗头铡虎头铡搬出来！我会关电视的！            
(4星)	 已经忘完了，当时也是看着凑热闹~~~            
(NA)	 特别喜欢展昭            
(NA)	 很喜欢展昭            
(5星)	 何家劲扮演的展昭  当年的梦中情人啊 哈哈            
(5星)	 完全童年么~~~            
(5星)	 新鸳鸯蝴蝶梦            
(5星)	 给以前的片子打分，总是高一些，小时候的事情，回想起来，总是特别美好。包青天是我小时候看过的l印象最深刻的破案片            
(4星)	 经典啊~~            
(5星)	 这是一部教化意义很浓厚的片子，但不得不说里面正义与情意的表现，尤其是展昭与包拯的这种君子之交很是打动我！这也许就是真正的朋友吧！            
(4星)	 那時的何家勁真的是非常的帥            
(5星)	 昨日像那东流水            
(4星)	 现在我还会唱“开封有个包青天”~儿时的记忆啊~            
(3星)	 经典古装悬疑剧，多亏有了包拯啊……造福子孙的不止验尸那些经验，还有他的一生            
(4星)	 那一阵每天洗脚必看电视剧 第一次感觉到追电视剧的煎熬            
(4星)	 儿时经典，展昭太帅了。            
(5星)	 昨日像那东流水……看了这一版，看谁都不像老包，除了金sir            
(3星)	 黑脸包公+绝对师爷公孙策+玉树临风功夫佳的展护卫，三个男人一台戏！            
(4星)	 哇塞！            
(4星)	 展昭也是我的男友梦想呀            
(4星)	 。            
(4星)	 那时开封有个包青天            
(5星)	 虎头铡。。。            
(5星)	 最喜歡這一部。            
(3星)	 小时候觉得展昭就是白马王子阿!现在看怎么那么丑            
(3星)	 剧情神马的真的忘的差不多了，主题曲还是有点印象的。            
(5星)	 为了看展昭和白玉堂追来追去......            
(4星)	 小时候             
(5星)	 刻录在童年记忆中的电视往事，多年以后剧情模糊而主题歌或插曲总是回荡在脑海里，自小就对有正义感的电视剧一见钟情！            
(5星)	 包青天说话语速太慢...            
(4星)	 展昭大概就是我们这一辈儿人对英雄的定义了~            
(4星)	 音乐不能忘！            
(5星)	 在公公的家陪他看錄影帶，看得放下手上要做的事，忘記光陰，跟隨劇情起伏到最後的《新鴛鴦蝴蝶夢》            
(5星)	 必须看过的，当时为了看何家劲，每天跟看白娘子一样，一集不落！            
(5星)	 当时红透全球华人地区的电视剧啊！我也被深深迷倒过！连黄安也因为唱主题曲而被捧红了。包青天、公孙策和展昭还是这三人演得最经典！            
(5星)	 昨日像那东流水            
(4星)	 人人都爱展护卫            
(2星)	 小时候很喜欢，长大了越发不喜欢的那类影视。            
(4星)	 其中几集水平特别高，个人相当喜欢，比如鱼美人和那个将军夫人叫离垢的几部。            
(5星)	 爱看，那个歌很好听            
(NA)	 展昭啊            
(4星)	 展昭！展昭！！！            
(3星)	 开封有个~ 包青天~            
(NA)	 童年童年！开封有个包青天…            
(4星)	 虽然很怪，但是很经典            
(4星)	 永远的展护卫            
(4星)	 很不错的台剧            
(5星)	 噔噔噔噔噔噔噔噔 噔里个愣，噔噔噔，噔噔噔噔噔噔噔噔 噔里个愣，噔噔噔~ 开封有~~个 ~ 包青天~~~~~~！            
(3星)	 该电视剧奠定了包青天，展昭和公孙策在我心中的形象！！！            
(5星)	 童年的美好回忆            
(4星)	 开封有个包青天~~~            
(4星)	 果然我小时候不爱看动画片，喜欢大陆和港台的这种侦探、悬疑阿之类的剧            
(3星)	 小时候一放学就抱着电视喜欢看...            
(4星)	 经典原班人马组合            
(5星)	 師爺~我一直都好口水你的~（¯﹃¯）            
(5星)	 看了又看，百看不腻            
(5星)	 真的很经典，儿时记忆最深的，一个是新白娘子传奇，一个是包青天            
(4星)	 开封有个 包青天            
(4星)	 开封有个包青天......            
(5星)	 想起那个包青天审采花贼            
(NA)	 -_-||| 其实我没有多少印象            
(4星)	 新鸳鸯蝴蝶梦            
(NA)	 基情，七侠五义。            
(4星)	 不知道为嘛 这首主题曲。。我永远唱成。。开封有个 武则天。。            
(3星)	 擦 200多集阿 根本只看了一半都不到            
(NA)	 包包~            
(4星)	 幼儿园时候看的貌似 很喜欢展昭            
(4星)	 吓死个人。            
(4星)	 金超群的包青天，何家劲的展昭，王朝、马汉、张龙、赵虎，龙头、虎头、狗头铡是小时候对包拯的全部印象。            
(3星)	 这个，太难忘记啦！让我深深记住一个词——先斩后奏！            
(4星)	 经典            
(4星)	 展昭很帅~            
(5星)	 看过的第一部电视剧~            
(4星)	 经典的包黑子            
(4星)	 还是喜欢老版的            
(5星)	 何家劲那个幕后花絮。。。喷            
(5星)	 展昭好帅……            
(4星)	 主要是看展昭            
(3星)	 开封有个包青天……主题曲依然回荡中……            
(4星)	 喜欢展昭            
(3星)	 = =            
(5星)	 8            
(2星)	 给两星的原因是因为我觉得这剧太可怕了，每个单元剧里都是刘雪华，真是千年老妖啊。            
(3星)	 童年啊~            
(4星)	 南方有个包青天，铁面无私~~忘记了            
(3星)	 歪歪嘴的展昭~~开封有个包青天，XXXX辨忠奸~~            
(3星)	 说实话，看过是看过，内容都不怎么记得了，只记得那个主题歌……            
(NA)	 昨日开封发大水冲走展昭两条腿展昭没有腿怎样飞            
(4星)	 小时候喜欢的电视剧之二            
(1星)	 看过的            
(4星)	 包青天经典珍藏版。。。            
(5星)	 开封有个包青天            
(4星)	 很能判            
(NA)	 。。。            
(4星)	 儿时的经典之片            
(NA)	 童年回忆，经典            
(4星)	 快记不清楚了...            
(4星)	 开封有过包青天，铁面无私辨忠奸……            
(4星)	 御猫展昭，正义使者。            
(NA)	 从来只见新人笑，有谁听到旧人哭。            
(3星)	 犹记得，展昭挺英俊的，智勇双全            
(3星)	 展昭！            
(4星)	 肥音……            
(5星)	 包大人太有派了！            
(4星)	 喜欢            
(4星)	 偶爸最爱，然后受其影响，这部电视剧还不错            
(3星)	 全忘了，当年所有人都觉得展昭特别帅是不是？            
(NA)	 小时候的记忆            
(4星)	 童年童年！            
(5星)	 七侠五义            
(5星)	 小时候看的，非常经典，何家劲那个时候帅呆了……            
(4星)	 记住的是开封有个包青天，还有新鸳鸯蝴蝶梦~            
(4星)	 一度除了金超群，谁演包拯看谁不顺眼            
(5星)	 展昭哥哥！            
(5星)	 据说我小时候最爱那只乌龟==            
(4星)	 小时候最喜欢的展昭            
(4星)	 最好的包青天。            
(4星)	 都看了多少年了还是觉得好看啊。            
(4星)	 歌声飘荡十几年啊。            
(5星)	 印象最深刻的是真假状元。。。最怕的是狸猫换太子和鱼美人。。。最遗憾当年未看的是 五鼠闹东京            
(NA)	 昨天还梦到何家劲            
(4星)	 小时候就冲展护卫看滴            
(NA)	 谁敢说没看过            
(5星)	 每个故事都不尽相同，各有千秋，铁三角组合经典永存            
(NA)	 哈哈，还看了新版的，还是迷的要死啊            
(4星)	 很萌那个展昭啊！！            
(4星)	 太多经典的小故事，虞美人、狸猫换太子是印象最深的两个            
(NA)	 包大人。。。。。            
(5星)	 展昭展昭！！！还有里面的配乐，经典！！！            
(NA)	 貌似小学我们 还角色扮演呢~ 展护卫可是人人都抢的角色~ 我苦比的就是那个贼~！            
(5星)	 好长的剧呀，开头和结尾的歌都很好听。            
(4星)	 曾经。            
(3星)	 童年            
(4星)	 王朝马汉张龙赵虎，威武~~~            
(4星)	 剧情稍显拖沓，里边有些台词虽然文绉绉的，但是我很喜欢，比如狸猫换太子里太监对心爱的皇妃说的话。其实我全忘了，就觉得很深情。            
(5星)	 开封有个包青天···            
(NA)	 还用说吗，包大人            
(3星)	 属于80后的回忆            
(NA)	 月牙            
(4星)	 最初的包青天记忆展昭很帅很帅很帅            
(3星)	 今天的主题是怀旧么...            
(5星)	 想当初小小年纪就对何家劲花痴....NND            
(4星)	 现在都记得姑姑家一柜子的包青天贴纸            
(3星)	 小时候夏天，边啃西瓜边看~            
(4星)	 破百集的古裝劇             
(3星)	 有这么长吗？            
(3星)	 虎。。。。。。。。。。。。。。。。。。。。。。。。头闸！！！！！            
(5星)	 小時候連糖紙上都印著            
(4星)	 童年  龟爷爷和龟孙子            
(4星)	 开封有个包青天，铁面无私辨忠奸……连歌曲的印象都那么深刻            
(4星)	 是孙树培。。。。。经典。但是包公很唱戏的感觉。。。展昭是亮点。。。。。            
(5星)	 下了好几个月才下完一百五十多集。展大侠，童年曾经为得这个狭义英雄的封号而跟朋友们大动干戈，最后如愿以偿了，我得了展昭的封号，多么幼稚又多么好玩啊            
(4星)	 正气            
(5星)	 本来是想打四星的，这两天看了几集，就想打五星            
(4星)	 记得小时候把展昭的贴纸跟着小甜甜的贴纸贴满了老爸老妈的床头柜……            
(4星)	 何家劲！！！            
(5星)	 牛逼的包大人，帅气的展昭，记得还有几个以鼠命名的盗贼。。。            
(4星)	 当初觉得时候破案还是有点可怕的。            
(3星)	 隐约记得有的地方还挺恐怖的。            
(4星)	 爱看铁三角。            
(4星)	 记得歌曲和帅展昭~            
(4星)	 经典            
(5星)	 童年的回忆            
(5星)	 展昭，最帅的御猫            
(4星)	 记忆最深刻的是“狸猫换太子”那段，真是狠毒的手段            
(4星)	 很经典。            
(3星)	 有一集里好像包青天的月亮亮了！            
(4星)	 恐怖片~            
(3星)	 开封有个包青天，何家劲啊，小时候喜欢看他~~            
(4星)	 小时候最爱看了            
(4星)	 何家劲的展昭迷死人~            
(3星)	 我竟然看过这个            
(5星)	 超爱~            
(3星)	 贼长            
(5星)	 童年时大爱了~            
(4星)	 老黑            
(5星)	 为神马要用鸳鸯蝴蝶梦做片尾曲？            
(NA)	 在这部电视热播的时代背景之下，有着一个我很凄凉的故事！！！            
(NA)	 展护卫！            
(4星)	 展昭            
(3星)	 还记得年幼时的那些小事吗？多么小的事都是大事……都可以让生活充满愉快的感受……            
(3星)	 断断续续看了一些，没太多印象了            
(5星)	 可是我就是很喜欢展昭！！！！！！！！！！哼！！！            
(5星)	 包黑子就不用说了，我心中金超群就是包青天，包青天就是金超群，其他人演的包青天纯属胡闹！！！还是玉猫展昭何家劲，那个时代的超级帅哥，班上女同学没人不喜欢他，小摊还有卖他的不干胶，攒零花钱买啊~~书本都贴，哈哈哈~~怀念！！多么经典啊~比现在的肥皂剧强多了！            
(4星)	 经典            
(5星)	 哈哈            
(5星)	 展昭展昭展昭展昭展昭展昭展昭展昭展昭展昭展昭展昭展昭展昭展昭展昭            
(4星)	 超爱主题曲            
(4星)	 包大人~~            
(NA)	  小时候看的             
(5星)	 红衣少年，承载了那个年纪的我对于异性一切最美好的想象。            
(5星)	 小时候看得激动死            
(4星)	 儿时，像看露天电影似的很多人在一家院子里看电视，很是热闹。。。            
(4星)	 当时觉得很好，哈哈            
(4星)	 展护卫是我童年的偶像            
(5星)	 话说展昭是我心目中第一个黑马王子。。            
(4星)	 爷爷的脸似包公那么…………黑            
(3星)	 多少年前看的了啊。。            
(4星)	 小时候只记得 台湾有个包青天这词儿 果然台湾货            
(4星)	 展昭和五鼠什么的= =            
(5星)	 小時候很喜歡cosplay            
(5星)	 年少的我是多么的喜欢展昭啊            
(NA)	 开封有个。。            
(4星)	 開封有個包青天~            
(4星)	 当年迷展昭迷得一塌糊涂啊            
(5星)	 小时候最喜欢展昭了            
(4星)	 印象还在过去。。。            
(5星)	 有来只有新人笑，有谁听到旧人哭            
(3星)	 竟然是奶奶的最爱。。。喜欢何家劲。。但后来，他老了。            
(NA)	 太经典了！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！            
(5星)	 这个太给里了！我高三又看了一遍            
(5星)	 展昭 何家劲！            
(5星)	 何家劲实在是太帅了！            
(3星)	 铁面无私辩忠奸            
(4星)	 展昭绝对美型            
(4星)	 想看新版的。            
(4星)	 小时候就为了看展昭。。            
(4星)	 我爹最爱新鸳鸯蝴蝶梦了，我娘现在还拿他说事。            
(4星)	 最美好的年少的回忆。            
(4星)	 很小很小的时候，觉得那个时候的何家劲版展昭真是帅啊~            
(NA)	 很多很多回忆！当年的何家劲帅呆了！            
(5星)	 永远的经典！！！！！！！可惜一去不复返了！！！！！！            
(5星)	 情节基本模糊，只记得何家俊的帅脸..            
(3星)	 可以            
(4星)	 童年的回忆啊            
(4星)	 噢犹记得展昭很英俊啊！            
(4星)	 当是个还年轻现在老了，当年演包拯的演员很老，现在越来越年轻了。开封有个包青天，铁面无私辨忠奸。            
(4星)	 儿时的记忆            
(3星)	 这不经典吗？展昭不帅吗？            
(4星)	 金超群=包拯            
(4星)	 多谢展护卫前来搭救。。            
(5星)	 喜欢武侠小说的我，很小的时候就看了《三侠五义》，从而喜欢上了展昭，而包青天更是成为清官的代名词            
(5星)	 中国的福尔摩斯、金田一，so……= =b            
(4星)	 还是小时候的电视剧靠谱啊...            
(4星)	 永远的展昭啊，我不看翻版，绝不看            
(5星)	 展大人……            
(4星)	 噢，展昭            
(NA)	 剧情完全记不到了 有关电视剧最早的记忆            
(4星)	 新包青天里这些演员一点儿都没有老啊！！展昭还是这么帅！！            
(4星)	 开封有个包青天~~铁面无私辨忠奸~~这个谁都会唱的了            
(4星)	 小时候还老在想他脑门前面那个月亮跟美少女战士里面滴东东是不是一个东西做的~啊哈哈·~~            
(4星)	 开封有个包青天。            
(5星)	 太神了            
(3星)	 只能拿来杀杀时间            
(3星)	 记忆中的黑脸加月亮就是包青天            
(4星)	 回忆。            
(NA)	 原来我喜欢的就是公孙策叔叔类型的            
(5星)	 如果包青天不是河南开封的就更好了..            
(3星)	  童年回忆。            
(4星)	 小时候觉得展昭好帅好帅            
(2星)	 正义            
(5星)	 原先喜欢展昭。现在还是喜欢老黑。            
(5星)	 最好看的电视剧！！！            
(5星)	 包公就应该长这样。            
(3星)	 没有什么印象了            
(5星)	 当年全民都追看啊！~至今觉得何家劲的展昭帅得独一无二            
(3星)	 片头片尾曲  对老片都是歌曲印象深            
(5星)	 看来看去，这么多包青天，老版的包青天最好看了。原来我从小就喜欢破案的啊。            
(4星)	 展昭 小时候的偶像噻！！            
(NA)	 只记得片头曲，哈哈            
(NA)	 童年啊童年 我爱爷爷            
(3星)	 小时侯在姑妈家和堂哥玩,然后不知道咋的说到我喜欢包青天头上的月亮,姑妈脱口而出&#34;你别用刀在自己头上刻一个啊!&#34;- -当我是弱智儿童么..虽然现在已经基本记不得电视剧的情节是什么了,但还是经常想起这段轶事,哈哈            
(3星)	 这歌是个人都会唱吧            
(3星)	 昨日像那东流水~            
(4星)	 哈哈哈哈 展昭~            
(5星)	 主题曲和电视剧一样有名            
(3星)	 太正经，不好玩。            
(4星)	 不得不提的电视系列剧～不知道有多少，只记得一直在播，最后金超群就成了包青天！            
(NA)	 主题曲记忆犹新~            
(5星)	 展护卫！！！！！！            
(5星)	 金超群演的包青天太深入我心了，之前看了新包青天，还是金超群演的，还是印象中的包青天……当然最不能忘的是何家劲的展昭，那时真的很帅            
(5星)	 我小时候最喜欢看了！！！每晚和妈妈守在电视前，一到杀人斩头的镜头我双手掩着眼睛在伏在妈妈大腿上。啊哈哈，其实现在我知道不可能会有这镜头的！            
(5星)	 现在回过头看看这部电视剧真可谓经典了，对人物造型、台词对白、场景设计都十分考究啊，哪像现在的古装戏都NND扯淡，跟没历史常识一样            
(4星)	 V5~            
(5星)	 200多集？看来我也没看完过            
(4星)	 被黄金铁三角重拍了的经典~            
(5星)	 八贤王！！！            
(4星)	 主题曲很火啊 被小朋友改成很....的歌            
(4星)	 要不是现在电视里还在播，我已经没有这段记忆了。只记得小时候很喜欢~呃~那个月牙~            
(NA)	 威………………武…………            
(4星)	 年幼无知的时候觉得展昭好帅，哪知道现在还有回剑入鞘没插准的囧事。。            
(4星)	 小时候~            
(4星)	 额~史上最包青天的包青天,史上最展昭的展昭,史上最公孙策的公孙策..剧情在十几年后归零了,只记得当年巨萌此三人组~(当然现在也萌,不过方向腐了些~=口=)            
(4星)	 包大银！            
(4星)	 这主题曲喜欢跟大玉儿混在一起哈哈            
(5星)	 陪我度过灿烂的15岁            
(5星)	 何某我爱你&gt;///////&lt;            
(5星)	  哦  展昭......哦 公孙策~ 唉包青天播完 我就多一个外号....            
(4星)	 看到集数，吓到了            
(4星)	 小时候热爱展昭。            
(5星)	 童年的经典回忆，威严的包大人，帅气的展护卫……            
(NA)	 这是回声你懂么？            
(4星)	 当时真的不知道什么叫做电视剧,现在全都是经典!!!            
(4星)	 经典。            
(3星)	 从小开始yy展昭 好帅啊啊啊            
(4星)	 经典就是经典。那首主题曲我至今还会唱。            
(4星)	 这是肥音你懂吗~            
(5星)	 初中。。肯定是假期的下午回3，4集连播。老包脸上的月牙包一直是看点。。印象很深的是有报道很多，有女生因为展昭太帅而自杀了。哈哈。            
(5星)	 以前看过，今天重新下载来看，何猫猫好帅            
(4星)	 我记得有潘迎紫的……            
(4星)	 这一版大刀阔斧的~            
(4星)	 老妈一直追着看，自己隐隐约约有些印象，剧情似乎还不错。            
(NA)	 大人威武~            
(5星)	 开封有个包青天~            
(5星)	 我靠。。我现在才知道这玩意有两百多集啊，少年闲少年闲，少年生活好滋味啊。。。。            
(4星)	 来人呐～虎头铡伺候～开铡～铡！            
(4星)	 我当时挺喜欢展昭……可是他总是跟在包黑黑后面，当年我还年纪小，没看出来奸情的味道……唉……            
(5星)	 哈哈，单纯那首主题曲现在还在唱就很赞了不过，包拯很有意思            
(NA)	 那头上的月牙会发光吧？            
(NA)	 巨小巨小看的……只记得有一集要砍头了吓得躲到卧室里，隔一会问一句死了没~            
(5星)	 wow~            
(5星)	 外婆最爱            
(5星)	 当时我天天守着电视机过日子            
(5星)	 两个无法超越的人物：金超群的包青天，何家劲的展昭。            
(5星)	 超z1用~            
(4星)	 包青天！！！哈哈哈哈。            
(4星)	 歌很好听~            
(5星)	 以前贴月牙在脑门上            
(4星)	 不记得讲什么了，但我小时候非常非常非常喜欢这个展召            
(5星)	 这个版本好经典啊，我清楚记得是过年春节那会放的，一天到晚吃饭、吃晚饭都要守着看，一家人都爱看，好怀念~            
(NA)	 包大人, 最近您很紅！            
(4星)	 铁面无私辨忠奸            
(5星)	 内牛阿，我还会唱“开封有个~包青天~”atv配音！            
(5星)	 模糊的儿时回忆            
(5星)	 毫无疑问的儿时经典，包青天系列所有人物形象自此定格。            
(5星)	 这个看过是必须的，和外婆一起看的，小时候太小了，就记得包包脸很黑，有个月亮弯弯，展昭是最帅的，其次是白玉堂，王朝马汉的衣服不错，瞟了下新版的哪门都觉得陈世美是被秦香莲害死的，那个新的秦香莲就很可恶，一手把自己的老公推上了断头台，不像原来的那个秦香莲我觉得他们多可怜来的，都没得米吃            
(3星)	 我知道我很无聊……前一阵还在笑话别人，可是包青天真的是我的菜，还有那个已经被解构得不成样子的片尾曲……            
(NA)	 鸳鸯蝴蝶梦            
(4星)	 为了加这个老子几乎决定要开始加电视剧了！            
(5星)	 唉....看完这部电视剧....总觉得现在的生活怎么就有点缺憾呢....            
(4星)	 看了一部分             
(5星)	 “展昭，你一心求死，有如夏日蝉儿 ，不值  不值 啊”            
(NA)	 小时候特别喜欢看展昭受伤。。。跟着哭。。。伤好了又破涕为笑觉得人间正道那个沧桑。。。重温时发现有很多情节性错误。。。一直以为展昭跟鱼美人终成眷属了（因为小鱼用一个什么珠子救了展昭，后来才发现这哪跟哪啊==）            
(4星)	 正气             
(3星)	 儿时记忆碎片。。。            
(5星)	 里面的女人都太美了 太聪明了            
(4星)	 包拯.公孙策和展昭都成了经典            
(4星)	 小时候还是很喜欢的哈。            
(4星)	 狗头铡~~~虎头铡~~~张龙赵虎王朝马汉~~~哈哈哈，很喜欢这版展昭。。。印象很深的是血云幡。。。            
(5星)	 ..            
(5星)	 这才是经典！！！！            
(5星)	 开封有个包青天。            
(4星)	 太经典了            
(4星)	 何家劲版的展昭是谁也无法超越的，太帅了            
(4星)	 昨日你家发大水，冲掉展昭两条腿~~~~            
(5星)	 开封在哪里，说起来还要多谢1930的中原大战，意料不到。            
(4星)	 台词真是文绉绉得紧……            
(5星)	 正义感爆棚的一部剧展超是个好男人好捕快好大侠，但不是个好情人            
(5星)	 最老版是经典中的经典啊            
(5星)	 这个拍了太多部了，看不全不怪我啊。。。            
(3星)	 我就是想说秦香莲的儿子叫春哥啊。            
(4星)	 看多少年了，破案神马的最有爱了            
(5星)	 重新再看一遍，何家劲的展昭依然迷人~~            
(4星)	 老爹至今还对新鸳鸯蝴蝶梦情有独钟            
(4星)	 小时候,包拯是正义的化生，何家劲的展昭是侠义的代言....            
(4星)	 开封有个包青天            
(4星)	 小时候特稀罕这剧因为何家劲~            
(4星)	 这是一看就不可收拾的经典…………黑月亮！            
(4星)	 小时候觉得包青天怎么那么像阎王爷？。。。。            
(5星)	 开封有个包青天，铁面无私辨忠奸。            
(3星)	 儿时的经典~            
(4星)	 新鸳鸯蝴蝶梦            
(4星)	 公孙先生最帅 展昭第二            
(NA)	 展昭老矣，尚能饭否= =            
(3星)	 算蛮经典的国产电视剧。。看着长大的。。包公形象深入人心。。配角也都蛮不错。。编的蛮好很有中国古装味。。            
(5星)	 记得有好多古装美女            
(NA)	 怀旧经典            
(4星)	 气质的公孙先生~            
(4星)	 最喜欢这个版本的包青天            
(4星)	 当年的展昭是萌物啊            
(NA)	 我最爱的小昭昭和小白白。            
(3星)	 我还是喜欢陆毅的少年包青天，虽然这部是正房,但太没挑战性了, 不过在这个腐败的社会,能不能多几个青天大老爷呢!            
(3星)	 這部裡面的包拯，招展，還有那個師爺印象最深刻            
(4星)	 何家劲的扮相真不是一般的好，至今难忘            
(NA)	 开封有个包青天，铁面无私辨忠奸，王朝马汉来相助，一代女皇，武则天。            
(4星)	 替补剧称雄的奇迹！除了某些单元略显粗糙外其他无可超越            
(3星)	 最近热播。            
(4星)	 印象最深第一部            
(3星)	 。。。            
(3星)	 看过部分。。            
(3星)	 看了一部分，那时候上高中，没看完。            
(3星)	 太老了。。。。            
(5星)	 好看哪！！最最最經典了！！俺跟俺爹百看不厭啊！！            
(NA)	 真黑。。。            
(4星)	 前一个评价的白娘子。。。好吧...展护卫...你娶了白娘子吧.....我一直都以为有句歌词是：铁面无私坐中间...王朝和马汉在两边......................前几天才发现原来是：铁面无私辨忠奸...王朝和马汉在身边...........囧里个囧            
(4星)	 展昭尊是帅啊~~~~~~帅捏~~~~~~~~~            
(NA)	 还是93年的剧情好看~~            
(4星)	 而是看的，现在居然有翻拍，人都老了啊。。。。            
(5星)	 包爷爷在我心中就是这样哒。            
(NA)	 新的吗？            
(NA)	 还想看……            
(3星)	 那个包青天很有腔调。。。            
(5星)	 开封有个包青天！！            
(5星)	 小学时代的很多个中午，记忆都是《包青天》。世事的不公，人情的冷暖，正义的稀缺和可贵，似乎都是通过《包青天》了解的。如今的新版，还是那班人马，可已不是当时的感受。            
(4星)	 展昭很帅 不过我最爱锦毛鼠 哈哈            
(NA)	 哇塞。这个年代久远了。看这个是在我狂吃方便面的年代。。。            
(4星)	 金超群 何家劲            
(NA)	 不好看            
(5星)	 儿时的记忆            
(NA)	 呵呵，共同记忆            
(4星)	 只记得当时年纪小，跟着大人一起看。。            
(4星)	 我家里还有8几年时候的何家劲海报。虽然扎满了针眼还有被不知道什么虫子咬过的痕迹，但是那些过去的人总会有人去记得，所以我们都不要后悔。            
(4星)	 最好看的一版了~~~            
(5星)	 85后 我们懂的！            
(5星)	 我小时候以为人是会轻功的            
(NA)	 当时萌展昭萌的啊...            
