http://movie.douban.com/subject/4891786/	夏家三千金
(2星)	 这货竟然80集！弃！            
(3星)	 蛮好看的嘛～我一个晚上追了八集～没想到总共有八十集…虚弱…            
(NA)	 就一部悲催使，扯淡剧，各种幻想，而且还有点悲情            
(3星)	 太假了剧情。            
(3星)	 是看人的剧。。。太言情了。。言的一塌糊涂。。。            
(2星)	 完全冲着唐嫣那段去的。。            
(2星)	 傻瓜言情偶像剧...老妈一个人看的大笑不止，我跟老爸两人坐在边上不停地批判加摇头...海报跟剧照看起来还真不傻...            
(3星)	 有点假~~有些片段太牵强了不过唐嫣还是蛮漂亮的哈            
(2星)	 我就是这样陪我姐耗时间的..            
(5星)	 我喜欢天美。最讨厌孙晓菁            
(2星)	 这个剧本简直有辱我的智商啊啊啊            
(4星)	 今天大结局，虽然之前看过全剧剧情介绍，但是还是不过瘾哈哈            
(NA)	 我一直不喜欢唐嫣这种类的女生。傻过头就不是可爱了而且又那么烂好人吗？太die了。在老家陪伯母看的哈哈。            
(3星)	 陪着老妈的饭后小甜点            
(1星)	 烂到极致，烂到想知道最后怎么收尾。。。。            
(4星)	 格美党。            
(1星)	 就看过最后一集。能不能就不给星了。。实在是 好难看。 QV也变不好看了。哎 算了。            
(NA)	 怎么能他妈这么长!!!            
(3星)	 我靠靠靠！！我对天美的喜欢和支持也不足以浇灭我想扇夏友善和孙晓菁的冲动啊！！！！！！！            
(4星)	 角色外形佳，演技一般！            
(1星)	 我忍不住骂编剧和导演了，除了唐嫣是看点外，实在看不下去。越往后越不像话。受不了了            
(NA)	 天美不简单！喜欢善良、执着！            
(5星)	 天美，格美恋~很美的~期待爱情真善美            
(3星)	 听到唐嫣那句好痛哦！我瞬间凌乱了、不多说，起码是安徽卫视的，三星起            
(1星)	 巨脑残。。。。            
(3星)	 还真演80集啊。。要墨迹都什么时候。。            
(3星)	 受不了真真～太二了            
(2星)	 看一集四十几分钟的电视剧我只需要20分钟，因为只看天美            
(1星)	 看不进去            
(NA)	 严立恒好可爱的啊~~~~ 有人和我一样喜欢夏正松的嚒            
(2星)	 比琼瑶还琼瑶            
(2星)	 为了唐嫣去看的，不停地skip skip skip，还是受不了比琼瑶还琼瑶的剧情 = =            
(3星)	 小严跟天美在一起的时候好可爱呀，力恒也很可爱。我都爱。。。            
(4星)	 帅锅~美女的云集~~不过都是女人的勾心斗角…………呃……太让世人误解了~~            
(3星)	 片子虽雷，但胜在俊男美女            
(2星)	 没看完。。。算了。            
(4星)	 女人啊，吃不消这么毒的。希望善有善报。            
(4星)	 看帅哥4星半，看剧情3星，所以勉强给个4星            
(4星)	 不好看，但是也追着看了。哈哈，            
(NA)	 恶毒的友善！懦弱的皓天！大骗子晓菁！又是一部琼瑶剧。。。再也不看了，看的我很生气。。。            
(4星)	 我想要天美和严立恒在一起。            
(2星)	 肿么办。没有电视可以看的前提下看见坏女人就觉得她这么有光芒。            
(4星)	 一不小心看了            
(4星)	 喜欢看唐嫣，喜欢里面的天美。然后喜欢邱泽这个很低调的男生。            
(3星)	 虐死我了 给三星都4因为可爱的天美~~~ 想到她要被虐个50多集9心疼啊 为了看到她最后得到幸福只好忍啊忍的看下去了 个死严格 责任害死人叻            
(5星)	 太喜欢天美了,真的像&#34;天一样美&#34;,电视剧也很好看!            
(3星)	 完全在绕着看邱泽的戏份...            
(4星)	 天美~~严格~~            
(3星)	 糖糖：一种带着灵气的美            
(3星)	 三千金太沉。。            
(3星)	 其实可以拍的更短些。有些情节太冗长了。            
(2星)	 俗。糙。            
(4星)	 脸很好看。。。但是也太长了            
(5星)	 大爱天美 严家帅锅~            
(1星)	 萌上个新帅哥~~·这个是最大的收获，~            
(2星)	 邱泽和唐嫣那对还是很有爱的~~阴谋太多，纠结了点~不会真的有80集这么恐怖吧……            
(3星)	 分数怎么那么低- - 我觉得蛮好看的啊。。。就是格美太虐了。。。T_________T。。。            
(3星)	 ~~冲着唐嫣来看的~~其他的都是浮云~~戚薇演技很好也~~            
(NA)	 狗血。。。            
(5星)	 我看得很纠结！！！            
(2星)	 张檬装可怜，还配音！！！！            
(3星)	 唐嫣真漂亮！张檬的演技太差了            
(2星)	 我的打分比较温柔             
(2星)	 我想知道这80集是怎么拍的！！！！！竟然80集！靠！！！！！！！！！！特么的为什么非得男一和女一配对，就不能男二和女一什么的吗！！！就戚薇演得不错！大概坏角色比较好演？比较生动？            
(1星)	 被迫所看狗血剧            
(2星)	 以为会有御姐，结果是三个女人争风吃醋            
(4星)	 只喜欢看天美和严格之间的戏..其他戏我都是带过去的..陈楚河多好一人啊..但跟真真之间的戏实在是太没感觉了..真真虽然演的是善良的苦情女..可惜我却一点都不觉得苦情啊,,看着她被欺负..不会觉得她可怜..也不会心疼..真真这角色，没演好啊..还没戚薇演坏女人来的抢镜            
(4星)	 我居然那么有毅力，把这么纠结的一部电视剧看完了，不过从62集开始看了~~~            
(3星)	 哎。我不喜欢真真。不喜欢不喜欢。还是让戚薇和陈楚河一起算鸟。            
(NA)	 真不敢相信我竟然看完了整整80集。。太虐人了            
(3星)	 哎哎，浪费了唐嫣邱泽陈楚河啊啊。杨真真什么呀。            
(3星)	 只看邱泽和唐嫣 还有陈楚河 哈哈             
(3星)	 每次浩天他妈出来我都有掐之的冲动            
(2星)	 一开始还行，后来吧！！！！真是太。。。。。。。。。。。。。。。。。狗血！！！！！！！！为了陈楚河，两星            
(3星)	 就是不喜欢夏友善……为了唐嫣              
(3星)	 其实我想看的是“白羽”            
(2星)	 个人总结:一千万不要喜欢上长的帅又心软的男人 二 披着纯情外表公然出轨的女人最招人厌 PS看完这部电视之后我再也不要看唐嫣的任何电视了 看了我就倒胃口~~~            
(1星)	 这样的电视剧居然也有人拍有人演。。。唐嫣啊唐嫣            
(4星)	 喜欢唐嫣啦~所以看咯~            
(2星)	 没有逻辑            
(3星)	 只看格美，不解释。            
(2星)	 像及了台湾偶像八点档。。。剧情老套啊╮(╯▽╰)╭            
(4星)	 剧情还不错            
(2星)	 不容易啊 整整80集的狗血剧 我竟然看完了...            
(3星)	 我说演员怎么看着这么眼熟呢，原来是邱泽&amp;陈楚河大帅哥啊~~~就是配音很奇怪，情节很八点档……白痴……            
(4星)	 不怕男人坏，就怕男人贱            
(3星)	 只喜欢唐嫣和邱泽的部分！            
(4星)	 虽然剧情小雷，但就爱天美和严格这一对~            
(2星)	 唐嫣、7V、张檬的配音是在太烂了！还有她们演得都太夸张！烂片！@Home            
(NA)	 唐嫣太可爱了！            
(3星)	 剧情太拖沓了。            
(3星)	 剧情纠结得有点假...            
(3星)	 这电视剧，从剧情上来看，太扯了。从技术上来看，后期收声，太逊了。            
(5星)	 这是台剧不是大陆剧，这是台剧不是大陆剧！！！！！            
(3星)	 给唐嫣加分            
(3星)	 表示翻版台湾剧情。但是还将就看吧。重温下少女的王子公主。            
(3星)	 没有想象的好！！！！            
(3星)	 完全是冲着唐嫣才看的 可是已经要看不下去了            
(4星)	 纠结丫！！！！！！            
(1星)	 这个剧情和台词，看一集就那么多漏洞，叫人怎么看啊啊啊啊！！！浪费演员……= =            
(3星)	 天美严格立恒的戏份还有点意思, 其他一律快进~            
(2星)	 冲着唐嫣、戚薇来的，虽然帅哥美女一堆，但是剧情跟老太太的裹脚布似的，看了预告 就知道剧情了，整部剧没有动力往下看了            
(1星)	 各种矫情与表情做作的汇总 剧集也共冗长的说 PS:我是来看唐嫣的            
(3星)	 向传说中的七公主靠拢么？看不下去了            
(4星)	 期待期待啊~~~主题曲和片尾曲都好听呢不过听说貌似有80集啊？！！！            
(2星)	 看了个开头，中间瞟了两眼，又看了结尾··唉，可惜了唐嫣和戚薇，生生把一部偶像剧拍成了家庭伦理狗血剧！            
(3星)	 看啊看就懒得往下看了……            
(2星)	 (第十集弃)其实都是跳着看的,还看不下去            
(3星)	 當初是因為有唐嫣 所以看的 後來又是因為唐嫣 所以才堅持著終於把這部80集的片子看完了            
(3星)	 很养眼的三对儿啊~~我猜和《佳期如梦》、《一起去看流星雨》是一个导演，果不其然就是一个导演…            
(3星)	 三颗星给立恒那张脸和戚薇那还算不错的演技             
(NA)	 乱七八糟看完了.太多,受不了            
(1星)	 我想给负★，拍些喃JB东西，我艹了么，40集已经够曹奈呢啦，还不得，还要再来40集，艹。扯淡，纯扯淡。。。            
(4星)	 最后的结局好！            
(3星)	 后面太纠结。。。不为了唐嫣早弃了            
(3星)	 有够纠结的，唉，能产生戏剧冲突的人物及性格全都聚集在一起。但最大的特点，就是男人的优柔寡断，拖泥带水。唐嫣，戚薇演得不错。            
(2星)	 拍得有点浮夸...总觉得戚薇和另一个人很像，但想不起是谁...受不了那谁妈妈的势利劲...孙晓菁比夏友善更贱...            
(3星)	 断断续续看了点。。狗血啊            
(2星)	 果断弃            
(NA)	 结局还能再欢乐点吗            
(3星)	 太长了。。。剧情太狗血了，可惜了立恒啊。。。            
(1星)	 戚薇！！            
(2星)	 除了海报，就没什么可取的了，虽然当时冲着陈楚河和唐嫣对这部剧充满期待            
(4星)	 有一颗星是给我们家糖糖和邱泽的呀。王子和公主的组合呀。虽然我承认剧情很弱智 但这种家庭伦理剧就是很抓人呀。哈哈 我沉迷了。继续第二部 爱情真善美。请虐的更凶一点吧。            
(4星)	 冲唐嫣，给个高分，其他人滤过            
(3星)	 开学了,弃.....            
