http://movie.douban.com/subject/1453238/	海贼王 ワンピース
(5星)	 one piece 是真实存在的，就在我们的梦里...            
(5星)	 14年动画的最爱            
(5星)	 誰是醫生。醫生。快找醫生來。再見醫生。            
(5星)	 我是要成为看完海贼王的男人             
(5星)	 一口气从头看到了311，终于疲惫了该放一放了            
(5星)	 热血沸腾            
(5星)	 动漫界前无古人恐怕也难有来者的极品！            
(NA)	 绝对经典的动漫，真希望自己有这么一群朋友！            
(5星)	 绝对热血...强力推荐            
(NA)	 大爱！            
(5星)	 最爱~无争议~            
(5星)	 ONE PIECE!!!            
(5星)	 最高            
(NA)	         好看是不用说的，全力顶、  希望我有生之年可以看到路飞当上海贼王            
(5星)	 经典中的经典啊            
(5星)	 我爱海贼王！~            
(5星)	 ./            
(5星)	 全宇宙最最好看！。。只是希望在我有生之年可以看到完结。。Orz            
(5星)	 我的圣经            
(5星)	 经典中的经典！！            
(5星)	 OP最高!            
(5星)	  人物性格鲜明，特别喜欢路飞的简单与笃定、卓洛的果断与坚定。就是，有时觉得情节发展的过慢，一件事讲好多集，消磨人看的欲望。笑。越看到后来越发现每个人物都好有爱啊。当然最大的亮点自然是友情跟梦想啦，热血民工嘛~            
(5星)	 最爱最爱的动画，泪流满面很多次，是真的感动，而不是被煽情煽的。看过的都懂op的好。尾田就是神人啊。            
(5星)	 永远的经典            
(5星)	  不知道什么时候才能完，才刚到鱼人岛啊~~~~~！ 不过我会一直看下去的~！            
(5星)	 我喜歡~            
(5星)	 爱~            
(1星)	 垃圾            
(4星)	 后来人物越出越多后……就不看了……            
(5星)	 正在追。。。            
(5星)	  最爱~            
(5星)	 看得我废寝忘食            
(5星)	 唯一让我坚定的想要抱着孙子一起看结局的动漫。            
(4星)	 看过一点点。            
(5星)	 年轻时的热血与感动            
(5星)	 我喜欢.那股劲头！ 哈哈哈. 大崔送我的公仔还有画集..我会好好珍藏 哈哈..             
(5星)	 我笑了又哭了            
(5星)	 完全热血少年向~~大爱索隆            
(4星)	 童年的梦啊            
(5星)	 因为，你是我的朋友。            
(4星)	 太长了            
(5星)	 我心里永远的No.1            
(4星)	 一向是漫画党            
(5星)	 在豆瓣上我从不推荐电影。我不得不说，海贼王超越了我所看过的任何一部动画片，甚至是任何一部电影。在不久的将来，我相信它可以成为一代人，甚至几代人的一种信仰，就像圣经那样。            
(5星)	 大爱路飞~            
(5星)	 最爱的。太经典了            
(NA)	 看着不停哭，，，            
(5星)	 热血啦            
(4星)	 没看完，太多了            
(4星)	 总觉得它就是比火影死神强            
(3星)	 这部片子教育我们，只有天赋异禀，才可以追求梦想。如果我只是我，我将何去何从。            
(5星)	 无数颗星！！            
(5星)	 好看是好看...就是....太...长长长长长............            
(4星)	 给力            
(5星)	 我会一直看下去            
(NA)	 最爱            
(5星)	 看过最棒的动漫。            
(NA)	 看这部片没有后悔，不过不知道又一个十年要怎么熬过去。。。            
(5星)	 唯一一部现在还在跟的动漫。。。希望在我30岁以前WT大神能把他画完，少休刊，谢谢。。。            
(5星)	 2025            
(5星)	 不想说什么，对于海贼迷而言，说多少都没有意义            
(5星)	 关于记忆 已经不再看了 彻底的放下了            
(5星)	 必须五星！！！！绿藻头俺看到你的第一眼就森森地爱上了你！！！但剧情能不能不要这么长？能不能？？？            
(5星)	 非常好看            
(5星)	 不说！            
(5星)	 如果艾斯没有死的话。。。就好了            
(5星)	 路飞 带我去冒险吧~~            
(5星)	 一直都在追 从未停歇            
(5星)	 超喜欢。。。            
(5星)	 每个人心中都有一个海贼梦            
(5星)	 想念那些在老師眼皮底下桌子下面看海賊王的日子啦!            
(5星)	 很感动的一部动漫···在我心中一直第一的动漫···            
(5星)	 神作            
(5星)	 跟蓝蓝爱同同一样，我爱海贼            
(5星)	 太TMD冗长了            
(5星)	 想起豆瓣也有动漫的嘛，大爱，最爱！            
(NA)	 我的海盗梦            
(NA)	 这个决定要顶!!经典的经典!!!            
(5星)	 一部又深又浅，又喜又悲，又空虚又充实，又幻想又真实的好片子~~            
(5星)	 我有正版漫画，哼~            
(5星)	 绝对热血！！            
(5星)	 万年海贼动画党            
(5星)	 好看            
(5星)	 随着死神和火影的越来越无趣，我对海贼的期待是越来越大，争取还看10年            
(5星)	 尊敬的尾田先生，您是在为千千万万的梦想家们编织一个热血沸腾而绚丽多彩的梦想王国。谢谢！            
(5星)	 没什么好解释的。            
(5星)	 故事情节很老套，可是细节很动人            
(5星)	 要怎么表达我对你的喜欢            
(5星)	 很棒，剧情起伏，很多伏笔，已经连载了10多年了我还在看            
(5星)	 超喜欢漫画 动画有点看不动啊            
(4星)	 路飞~            
(5星)	 有热血有感动，庆幸没有错过            
(5星)	 最愛的動畫！沒有任何動畫可以超越            
(5星)	 我太爱这部片子了！它可以说融入了我的生命中···            
(5星)	 還有完沒完阿..阿..阿.            
(5星)	 One piece !UUUUUUUP!            
(5星)	 最爱的动漫！            
(5星)	 动画实在是太拖了。。。每集一共22分钟，片头曲2分半，上集回放3分，广告＋下集预告30秒，剩下14分本篇里再有一半的回忆，丫的还让不让人看了。。。            
(5星)	 地球不再了            
(5星)	  帅气！！！！！！！！！            
(2星)	 我不明白那些说作者具有天马行空想象力的人是不是大脑都没进化，右脑没进化所以觉得作者具有想象力，左脑没进化所以才会说的出口。我也不喜欢这种风格，而且不明白里面到底想表达的，更不明白这部漫画到底哪里于热血励志有真正关联。情节，角色都可以在现实里找到对应，作者果然是把月亮看成烧饼的摩羯            
(5星)	 这是一部让我感受最深的一部动漫，我感谢你的存在，伴我成长。我将对你追随到底。            
(5星)	 让我一直追着的动漫，让我一直坚信我的梦想并追求的动漫，推荐给所有追随自己梦想的人。。。。。非常好看，也非常感人。。。。            
(5星)	 最爱的动漫之一，一开始没找到腐点，后来经人指点，发现有索隆和山治这一别扭cp就更加的决定得义无反顾的追下去了！            
(5星)	 我最爱的动漫。同伴和梦想，一起去远方、            
(5星)	 10年之内  很难有超过海贼王的动漫作品  希望到时能跟自己的孩子一起看            
(5星)	 路飞~！！！！索隆~！！！！！罗宾~！！！！！！！！！乔巴~！！！！！！！！山治~！！！！！！！！！！娜美~！！！！！！！！！乌索普~！！！！！！！！！！！我爱你们爱你们爱你们~！！！！！！！！罗杰~！！！！！！！我最爱你了·！！！！！！            
(5星)	 超喜欢，坚持到底~~~            
(5星)	 终于。。赶上啦~~~   ！！！  482、610            
(5星)	 MINA！            
(5星)	 不看海贼王的人生是不完整的！            
(5星)	 哈哈 竟然有这个 爱索隆            
(5星)	 神作            
(5星)	 超爱~~            
(5星)	 男人的梦想，自由地驰骋在大海上吧            
(5星)	 唯一还在追的一部动漫            
(4星)	 动画片剧情节奏太慢了            
(5星)	 热血漫画 不管原作还是动画 都挺不错的 相信“伙伴”这个词的力量            
(5星)	 梦想与责任。还有，同伴。            
(5星)	 无限膨胀中……            
(5星)	 老是看的热泪盈眶，边上得放个沙袋            
(3星)	 怎么就是没火影吸引我呢。。看了130集。。看到乔巴出场。。。            
(5星)	 不多说了            
(NA)	 看到60集，发现才开始进入航线            
(5星)	 超爱！            
(NA)	 很好 很天真            
(5星)	 恩，我也要当海贼            
(3星)	 没追完            
(5星)	 看到五百集，马克一下！不然我怕十年后这东西还存在于我的&#34;在看“里= =            
(5星)	None
(NA)	 纯热血+友情！！=w=            
(5星)	 大爱！！！            
(5星)	 不用多说            
(5星)	 这就是传奇。            
(5星)	 热血 梦想 友情 青春            
(5星)	 梦想，友情，海贼王教会了我不少生活上找不到的东西。看了很感动。史上最强大的动画！有时发现动画真的比现实社会好太多了...            
(4星)	 好看的动画片无一例外都犹如老太太的裹脚布又臭又长，没完没了，我已经忍受了一个火影忍者，不能再忍受海贼王了，所以只能看到中间放弃。            
(5星)	 看了不下10遍的第一集才看了下去  结果一发不可收拾            
(5星)	 最爱的一部日本动画            
(NA)	 好看还有内容！而且还有永不言弃的信念，没有火影那麽墨迹，没一集都是高潮，作者好像看了很多书，喜欢旅行，很多其它国家的东西都在里面，这是日本动漫一大特点。            
(5星)	 没别的，大爱！！            
(5星)	 真想给12分。。。。没有一个电影或者电视剧可以让我又哭又笑的。。。。            
(4星)	 很好，同人不了            
(3星)	 夸张的画风有点不太适应，前100集很无趣。跳着看又不爽。先放一放吧。            
(5星)	 对于这部动漫，还能说些什么好？我想打7星！大爱路飞！大爱索隆！大爱女帝！乔巴好可爱！            
(5星)	 很喜歡的一部動畫。充滿想像力。            
(5星)	 其实   我最喜欢的   是红发……            
(5星)	 有生之年能看完么！~尾田你要撑住啊！！            
(4星)	 尼玛我想给四星半的说。            
(5星)	 继龙珠后的最爱！            
(NA)	 印象不深 不过还好            
(5星)	 索隆 你永远是我一辈子想嫁的男人~~            
(5星)	 色彩色彩            
(5星)	 海賊王に　俺はなる！！真希望找到这样的伙伴啊！            
(5星)	 非常好看，大爱。            
(5星)	 梦想与青春 不需要理由            
(5星)	 好话不多说好漫画好动画照四方。            
(5星)	 有太多令人感动的情节，有太多鼓舞人心的情节！            
(5星)	 最爱OP!            
(5星)	 热血！热血沸腾！一会儿哭一会儿笑友谊万岁            
(5星)	 好看。。            
(5星)	 一定给五星 有十星没有啊啊啊啊 ！！！！！            
(5星)	  最爱~            
(5星)	 我是一个忠实的动漫迷，从上初中开始，就开始迷上日本动画。海贼王就是其中一部，也是我最爱的一部，不管是动画还是漫画，我都不错过。这么经典的动画，让我一追就是8年，现在看着草帽海贼团的各位都有了成长，很是兴奋啊，希望他们在伟大的航线上越战越勇，路飞，一定会是名副其实的海贼王的            
(5星)	 才想起来还有这个没评……我一看果然是9分以上啊啊啊啊啊            
(5星)	 路飞~可爱死了！嘿嘿~有时候看的笑的肚子痛~有时候却又看的两眼泪汪汪..诶~~~            
(NA)	 爱看            
(5星)	 其实大家都被蒙骗了 这是部基片 因为路飞不是想当海贼王 而是想当海贼王的男人            
(4星)	 每集的前话介绍太拖沓。还有，主角是Ace啊啊啊啊！！            
(5星)	 毋须多说 永远无法超越。。            
(5星)	 哥要当程序员中的海贼王            
(5星)	 此一动漫超越无数部励志影视。            
(4星)	None
(5星)	 看完了一刚。。。快完结吧快完结吧            
(5星)	 草帽海贼团：【船长】路飞、【剑士】卓洛、【航海士】娜美、【狙击手】乌索普、【厨师】山治、【船医】乔巴、【考古学家】罗宾、【船匠】弗兰奇、【音乐家】布鲁克　             
(4星)	 搞笑再多点呀~~~吼吼哦            
(5星)	 我们没有随着龙珠长大，而是伴着OP成长。这是这个世界的幸事            
(5星)	 热血不解释            
(5星)	 必须的！！！！！！！！！！！！！！！！！            
(5星)	 其实我也是一个海盗            
(5星)	 经典经典经典，充满冒险的旅程，天马行空的想象力，奇异的岛屿，梦幻般的伟大航路，还有总能让我开怀一笑的剧情，爱死了。            
(5星)	 用最肤浅的评价就是：一部让我看了笑到肚子痛，但同时又能让我哭得稀里哗啦的动画！看完它之后，我对别的漫画失去了兴趣            
(5星)	 最爱.            
(5星)	 我整个大学时代只看了一部连载的动漫，就是这部。            
(5星)	 对我来说 或许是毒品 也许不过是二手烟而已            
(5星)	 不用说            
(5星)	 ！！！！！            
(5星)	 必须牛            
(5星)	 一直没完，一直好看            
(5星)	 不理解不给5颗星的人，最彪悍的动画，没有之一，不需要解释            
(5星)	 力挺到底~~~~~~~~            
(5星)	 搞笑，励志，感人            
(5星)	 大学那阵子，兄弟几个天天想出海，我首当其冲来着。。。            
(5星)	 one piece！我也想要一个梦想，可以为之去死一样的奋斗的梦想            
(NA)	 看了就觉得生命还是有希望的，给力的片            
(NA)	     你是在等你的船长，还是决定由自己来当那个船长？            
(5星)	 ！！！！！！            
(5星)	 动画那拖沓的剧情快点进展吧= =            
(5星)	 耶耶            
(5星)	 这就是梦想。另。追漫画是一个体力活.            
(5星)	 每周就指它跟兄弟抓鬼活着呢……            
(5星)	 最爱，索隆            
(NA)	 要是可以拥有一个想路飞这样的男朋友该多好啊~~~呵呵 ~~            
(5星)	 忘了是用怎样的根性追上的动画和漫画..每个人很都喜欢            
(5星)	 我最喜欢的动漫之一            
(5星)	 有梦很好。。            
(4星)	 前面的很好看 后面的很长很狗血            
(NA)	 虽然是漫画虚构的人物，但我对他们为了梦想而不惜一切的精神非常赞扬，这该需要多么强大的内心啊            
(5星)	 无法自拔的深陷其中 让我如此微笑 如此感动 如此清晰的看着远方             
(5星)	 OP才是王道~~欢笑与泪水交织的长卷~~OP已经不是一种喜好~~而是生活的一部分！            
(5星)	 高中相当爱的一部动漫，看得热血沸腾....哈哈哈            
(5星)	 =。=不解释。            
(5星)	 热血漫画 最爱            
(4星)	 偶非常爱看介锅            
(5星)	 毫无疑问，这是最吸引我的一部动画了，D的意志！            
(5星)	 我喜欢梦想，喜欢可以托付后背的伙伴，喜欢至死不渝            
(5星)	 神作.其他神马都是浮云.不解释,            
(5星)	 这个年头 还有人不看吗？？            
(4星)	 相当不错的一部动画            
(5星)	 男人之志            
(5星)	 怎会那么好看。。。。            
(5星)	 目前最好看的动画片，看了海贼王，我觉得火影的画风有些差            
(4星)	 浪漫的冒险。有个非常棒的开始，就看结局如何了。             
(NA)	 很好很强大，灰常值得看啦            
(5星)	 the best anime ever            
(5星)	 真的是一部笑中带泪的漫画            
(NA)	 香克斯~小冯~~乔巴！mua...最近新宠~            
(1星)	 史上最垃圾动画，必须果断打1星，海狗死全家            
(NA)	 大爱的~~            
(5星)	 能有多给力就有多给力，除了更新太慢了。。。。            
(5星)	 超爱！            
(5星)	 热血动漫 我爱里面各种给力的男女主角            
(5星)	 虽然因为商业需要而有所拖沓，但空岛一役令人泪下也就决定了他必然超越其他两大民工漫的地位            
(5星)	 心情不好时看能迅速转好~            
(5星)	 赞            
(5星)	 对于这样一部好看的作品，追到现在没有停过，还有什么需要多说的呢            
(5星)	 最爱的动漫之一。。！            
(5星)	 最棒的。            
(5星)	 这可是经典啊经典            
(5星)	 最初的熱血...            
(5星)	 路飞，哈哈，我喜欢那样的男孩子，单纯、讲义气、有胆识。            
(5星)	 如果说 要评一部最喜欢的动画的话 海贼王是当仁不让的王者            
(5星)	 我们这一代人缺失的。都可以在这里面找到。梦想，信仰，信任，友情，奋斗。。。等。。在海贼王里面。我得到的是我的人生。。是我的未来            
(5星)	 力荐            
(5星)	 划时代神作~虽然还没有结束……            
(4星)	 梦想~~初三的记忆            
(5星)	 学生时代的重要回忆。经典之作。            
(5星)	 没的说!棒!            
(NA)	 哎呦~海贼你个销魂的，尾田你个销魂的..各种的好看啊~~            
(5星)	 超爱！            
(5星)	 最爱哟            
(5星)	 我是熱血少年郎，我愛OP！！！TMD，如果不是OP裡面的喬巴，我根本不會選擇到醫生這個悲催的職業，說到這點，還真是有點恨意了            
(4星)	 仍旧在追·····            
(5星)	 天马行空的想象力            
(5星)	 力荐这个我想已经不需要任何理由了            
(5星)	 这不仅仅是一本热血动画 这是一个关于梦想 关于信任 关于同伴的新世界。            
(5星)	 这个绝对是经典            
(5星)	 还用说什么吗！必定继龙珠之后，又一漫画巨作！            
(5星)	 除了灌篮高手 最爱就是op了            
(NA)	 我的挚爱！！！            
(5星)	 最爱，没有之一。            
(5星)	 海贼王，总是让你又哭又笑。让你既感动于他们的友情，又心疼于他们的命运。一部及梦想与奋斗与友情于一身的漫画，让你不得不喜欢。            
(5星)	 这个如果不推荐那我还推荐神马？！？！？！            
(5星)	 热血什么的最感人了！            
(5星)	 因为畏惧着集数一直保持距离，不小心看了之后才发现一周一集的速度太折磨人了            
(5星)	 你懂的.            
(5星)	 对于海贼王，我只能说经典。太旧的作品，如龙珠幽游白书乱马等可能不是很吸引我，但对于海贼王，却是恋上了心头，目前比较紧追漫画，毕竟动画方面太拖了            
(5星)	 对于这部作品，我语言的苍白实在无法表述它的伟大！            
(NA)	 热血！            
(NA)	 热血、、最爱            
(5星)	 最爱！！            
(5星)	 大爱、            
(4星)	 总会有些情节让人大笑不止 ，有些情节让人斗志昂扬，虽然不太喜欢那些不合时宜的搞怪，不过，还是很不错的。尤其喜欢索隆            
(5星)	 Ｍｙ　ｌｏｖｅ            
(5星)	 夢、仲間、力についての童話。。            
(5星)	 神作，绝对的！            
(5星)	 “人不会永远一个人的，大海很大，总有你的朋友在海的那一边等着与你一起去冒险”。友情与梦想杂糅着独特的“不死”硬伤，火影用生命的脆弱来表现梦想与友情，而海贼则相反——生命的强大。这种热血青春的动漫最终都逃不出“七龙珠魔咒”的苍白窠臼。对我来说又是种精神鸦片混沌似的煎熬。总是无力面对            
(NA)	 很好看！            
(5星)	 追到完。            
(5星)	 必须5星！友情第一！            
(5星)	 忘了看到第几集了，好像是450多还是460多，妈呀。            
(5星)	 经典不解释~~~一直追            
(5星)	 太多的感动瞬间 力荐！！！            
(3星)	 传说中的民工漫……其实也不算看过= =            
(4星)	 哈哈···            
(5星)	 永远的 “海贼王”            
(NA)	 哈哈  喜欢            
(5星)	 永远的最爱！有我唯一的坚持！            
(4星)	 青春热血梦想            
(5星)	 one piece是真实存在的             
(5星)	 神作！！！            
(3星)	 太长太多了 就像在打游戏升级 每经历一个故事人物便升一级 每次几乎都是一个模式  虽然也有喝多喜欢的东西 但是一集一集看下去的耐心是没有了……             
(NA)	 现在还在看            
(5星)	 心中第一,永远第一            
(5星)	 现在的王者，估计也是未来十年的王者。            
(5星)	 世界上最好看的漫画            
(5星)	 喜欢路飞，因为90后不知道，所以更喜欢            
(5星)	 非常好看            
(5星)	 路飞 ，你好口爱。            
(5星)	 神作！！毫无疑问。。 永远的海贼饭！            
(5星)	 很喜欢的动画片            
(5星)	 路飞sama~~            
(5星)	 这个好看   就是更新慢            
(5星)	 我的最爱~~~~            
(5星)	 动漫界里的里程碑，陪我度过了很多个日日夜夜。            
(5星)	 当梦想遥指方向，自当打造一艘大船扬帆起航！            
(4星)	 還可以，更喜歡死神，這個沒跟上後來            
(3星)	 从开始到现在，减个星            
(5星)	 人的梦想，是不会终结的。。。            
(3星)	 动画版也就这么回事了……            
(5星)	 有泪有笑有梦想，很励志的一部片，就是有点长。。。            
(5星)	 我看过最好的动漫！            
(4星)	 单纯的热血少年漫画，看着路飞，步入成年社会的我们感到陌生么？            
(5星)	 对于被世界公认的一部鸿篇巨制，我再说什么也是多余的。            
(5星)	 热血动漫            
(5星)	 神作之一            
(NA)	 人的梦想是永远不会停止的            
(NA)	 非常有意义的日本动漫，故事中的路飞凭着真实大胆赢得一班非常信赖的伙伴，向着“海贼王”的名号 一直冒险一直向前。            
(5星)	 改变了许多人 以后也会改变更多 很少带有日本动漫对中国青少年的洗脑思想            
(5星)	 今生挚爱~！！            
(NA)	 我是OP fan~            
(5星)	 没有时间 哎。。好想跟上进度~            
(5星)	 要不是因为~  我又怎么会看它的时候如此激动            
(3星)	 只能看一次的东西            
(5星)	 是因为梦想，山治，海贼，自由看的这部动漫，直到爱上他。            
(5星)	 止不住的笑，止不住的泪，然后止不住的一个劲的往下看！热血！友谊！亲情！梦想！赤裸裸的渴望！改变世界的决心！这个弱肉强食是世界，胜利就是正义！            
(NA)	 最喜欢的动画片            
(5星)	 ONE PIECE。我的精神支柱。            
(2星)	 动画变得越来越拖沓……            
(5星)	 看了才知道~            
(5星)	 01年开始看，海贼王给了我太多惊喜太多感动，感谢尾田            
(NA)	 好得没有道理 就是能让人感动 让人热血 这是唯一让我流泪的动漫             
(NA)	 太完美了，很好看            
(NA)	 中意路飞和卓洛            
(5星)	 一直告诉自己，要像香吉士一样成为优秀的厨师。这个愿望，到今天都没有忘记。            
(5星)	 luffy 的精神是我们的追求            
(5星)	 不看海贼王  是一生的遗憾。            
(5星)	 必须五星            
(5星)	 挺好            
(1星)	 民工漫            
(3星)	 高考后追的            
(5星)	 是我人生最爱动漫。坚持看下去。            
(5星)	 无理由，最爱的动漫            
(NA)	 非常好的漫画，每一次看都觉得回归i自己。因为它，一直记着梦想。            
(5星)	 给力            
(5星)	 好看，好看。喜欢乔巴！！            
(5星)	 梦想&amp;友情            
(5星)	 我不能随便怀疑热门动画不好看。否则只会让自己走上不归路。            
(5星)	 海贼王。。。我一定要把你看完~~~~~~~~~~~！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！            
(3星)	 不是特别喜欢，感觉情节很繁琐冗长。            
(5星)	 青春啊。。。            
(5星)	 集数: n    以上啥都说明了。。            
(5星)	 ！！！  最爱！！！              
(5星)	 爱路飞就像爱爱丽丝那么的爱。。            
(5星)	 超爱的。就是太长了。            
(5星)	 看没之前对动漫如此的不噱,看过之后我不噱别人对我的不噱-只因为他们没看过!            
(5星)	 没日没夜的            
(5星)	 王道！            
(5星)	 神作中的神作~~~            
(NA)	 影子            
(5星)	 又出海了啊啊啊啊 啊  真激动~~~~~~~~            
(5星)	 最爱的少年漫之一啊 为什么一部热血漫画可以不断不断的把人感动到热泪盈眶XD！草帽团，向着梦想进发吧~！            
(4星)	 還是漫畫給力。。            
(5星)	 超越七龙珠了。。。。            
(5星)	 最爱的动漫。            
(5星)	 我的最爱，难以忘怀/            
(5星)	 最爱的漫画            
(5星)	  路飞 最高~~            
(5星)	 你也太多了吧你。            
(NA)	 我记得那时是亚视先开始播的。另外不怎么喜欢动画版。            
(5星)	 终于跟上 进度了。。。            
(5星)	 为何要艾斯死啊……焚蛋……( ノ▼曲▼ )ノ            
(5星)	 每周必看            
(5星)	 真好看啊真好看!!怎麼會這麼好看!!            
(5星)	 多次被感动，设定很精彩            
(5星)	 wuli 山治能歌善舞。会打架会烧菜，又长得像龙之谷的牧师。最近大爱ace！！好man啊            
(NA)	 让我狂笑又狂哭~            
(5星)	 哇哇哇哇！！！！！ ZORO            
(5星)	 一开始看真的有些打不起精神，但是看着看着就成了全部的精神。            
(1星)	 不好看            
(5星)	 神作不解释            
(5星)	 曾经我绝对不会有耐心看连载这么长的动漫，可是当我第一次看到海贼王的时候，我被他们的热血和友情所感染！！另加上精彩的场面和不错的人设，我坚定了看下去的信心，并爱上了它～            
(5星)	 1            
(5星)	 乔巴乔巴乔巴！！            
(5星)	 这辈子看过的最好看的动画片之一，个人觉得可以与之并论的就只有《SLAM DUNK》了。追了9年了！            
(3星)	 唉，，好长!            
(5星)	 我迷上在冬天深夜看海贼王了……            
(4星)	 路飞一定是射手座哒~            
(5星)	 D 信念            
(5星)	 刚开始看的时候觉得没相像中的那么好看，不过越到后面越精彩。结果很快的就把470集的海贼看完 了 。早知道就省着点看了，现在正是加入等待的行列，╮(╯▽╰)╭纠结死我了、、一个星期一集 啊wt还真是够折腾人得 啊、、烦烦烦、、            
(5星)	 大学毕业那年  跟寝室宁哥看   看到三百五十多集   再也没看过   不过这不影响我喜欢            
(5星)	 we are~ we are~on the cruise!            
(5星)	 超级无敌无懈可击极力推荐            
(5星)	 最爱.            
(4星)	 看得起起落落的，好看的时候一天下来几十集连着看，连吃饭都做电脑前面，不过无聊的地方也不少，看了一点就直接跳过。梦想，热血，这样的日本动漫实在太多，但是我觉得只有one piece才有这样的独特魅力，不能说它是最成功的，却让人永远有理由往下看。很棒。one piece。            
(5星)	 好看呀真心好看呀&gt;&lt;            
(NA)	 我的最爱！不过要等到他出完还要好久了，估计将来会和我的孩子一起追着看呢            
(5星)	 越看越上瘾的漫画            
(5星)	 我的最爱？……好吧应该算的！            
(5星)	 极力推荐。超棒的。从初中看到现在！！1            
(4星)	 看不下去鸟啊。。            
(5星)	 啥都不说 自己看吧             
(5星)	 不错，就是觉得不错            
(5星)	 神作            
(NA)	 有梦就不怕输。何况我不会输。            
(5星)	 打算专心看漫画了~~~放弃动画~~~55555%&gt;_&lt;%            
(5星)	 本命啊本命            
(5星)	 特喜欢！            
(5星)	 很爱很爱滴！！！            
(5星)	 好看立志            
(5星)	 心中的最爱            
(NA)	 超爱的动漫，为它哭过，笑过，很喜欢            
(5星)	 励志，感人~~            
(5星)	 很好看，也很感动            
(5星)	 伙伴，热血，传奇，幽默，几乎可以用所有褒义词来形容它，到现在我还是在追它            
(5星)	   支持    一直喜欢            
(5星)	 史上最强动画片!!            
(5星)	 聽說ACE死了，那OP我也不要追了。            
(5星)	 不喜欢海贼王的人们，只有一个原因---你们没看过！            
(5星)	 muki酱..            
(4星)	 动画原创部分各种无耐心。。其实还是漫画好。。OTL            
(5星)	 让人记起曾以忘记的梦想~            
(5星)	 必须顶~！            
(5星)	 看着看着，一晃好几年。如今再次聚合，莫非是最终的小宇宙爆发。。。一爆又是10年            
(5星)	 经典            
(5星)	 现在仅存的好动画了            
(5星)	 热血 冒险 很好 推荐            
(5星)	 因为你是我的伙伴！            
(NA)	 还没看完            
(5星)	 看得一次次想流泪的动漫...            
(4星)	 画面不错，可惜我看的字幕差半分钟~            
(5星)	 日本最牛！！大爱！！            
(3星)	 适合5-8岁观看            
(NA)	 给我从天而降一个山治吧！~            
(5星)	 还没看完，追不下去了，老了哎。            
(5星)	 毫无疑问的十星!            
(5星)	 非常好看！！   给人力量的动漫！            
(5星)	 俺はルフィ。 海贼王になる男だ。            
(5星)	 恶补中            
(5星)	 把那么多不可能放在一起，变成可能，因为“我们是伙伴”~            
(5星)	 ZORO我的神            
(5星)	 感觉从280集开始，第二部正式登场了。            
(NA)	 保留想法            
(5星)	 大爱             
(5星)	 最爱海贼王！勇气、友情、坚持、集体。。。。            
(5星)	 无条件力荐！！！！！！！！不要问我原因！只要你是位热爱漫画的青年！！！            
(5星)	 爱看的就是爱看~~            
(4星)	 开头挺好的。娜美。类似于西游记的冒险故事，但又有很大不同            
(5星)	 你能想象到的一切都是我爱海贼王的理由            
(5星)	 大爱大爱！！！ 尾田老师还要再画多少年呢            
(5星)	 每周都有个期待            
(3星)	 东映的长篇还能怎么样            
(5星)	 不抛弃，不放弃。            
(5星)	 纯少年！纯热血！            
(5星)	 教会你怎么做一个人！            
(5星)	 超级喜欢            
(5星)	 很给力的漫画            
(5星)	 啊哈哈哈 话说我也300多集了 不容易啊            
(NA)	 亲爱的rufi            
(5星)	 看上瘾了~~鲁夫，索隆，娜美，骗人布，香吉士，你们要挺住~~~~            
(5星)	 剧情绝对赞 WT万岁            
(5星)	 最给力的动漫，目前没有之一            
(5星)	 青春，熱血，讓我們燃燒吧            
(5星)	 每周的期盼            
(5星)	  神作 中的 神作、             
(3星)	 看过些，就没啥兴趣了            
(5星)	 唯一能让我哭的，无论什么都替代不了，            
(5星)	 我的爱啊爱啊爱啊            
(5星)	 opopopop~            
(5星)	 WT仔快让伙伴们见面啊~~            
(4星)	 中间最好看，让我哭过很多次。现在几乎不怎么追了，原因太拖了。            
(5星)	 史上最强！            
(5星)	 巨爱！            
(5星)	 为了伟大航路！            
(5星)	 能给六颗不？不，能给六百颗不？            
(NA)	 大好き            
(4星)	 一口气看了一百多集，之后就再也没看过。每个人的故事都是沉淀又温馨。太拖沓，而且不断的战斗、加入新角色、再战斗……对于女生来说太累了            
(5星)	 海贼王。海贼王。怎么能不力荐。            
(5星)	 头脑简单的路飞~真正的男人~            
(4星)	 漫畫的精彩完全在動畫上體現不出來            
(5星)	 简直没有什么悬念的5颗星            
(NA)	 动漫迷一定不能错过的一部热血作品！            
(4星)	 很热血阿~很男儿啊~为什么我也在看呢？            
(5星)	 大爱海贼王~~虽然没追下去~~但是我爱索香啊！！            
(NA)	 同期无人能够超越的海贼 ...  ONE  PIECE            
(5星)	 我终于知道你为什么这么喜欢海贼了，他们每一个都负责搞笑哈哈哈哈 我就来我就来~我一直追赶你的脚步            
(5星)	 喜欢路飞为梦想而奋斗，喜欢索隆为梦想而执着。也喜欢弟控的艾斯和野心勃勃的克罗克达尔。            
(5星)	 一辈子有这样的同伴一路航行，足以！！！            
(NA)	 友谊与人性的正确指引，团队的维系立足与什么！            
(5星)	 不看海贼非男人            
(5星)	 哈哈 经典            
(NA)	 op~!!!            
(NA)	 OY  极力推荐            
(NA)	 13集左右            
(5星)	 最爱路飞~！            
(5星)	 友情。。热血 感人。。而且还搞笑，。。            
