http://movie.douban.com/subject/1790377/	新娘18岁 낭랑18세
(4星)	 有点傻 不过还好            
(3星)	 因为智慧才看的。还行吧。            
(5星)	 片子很可爱，李东健也很帅！！~            
(4星)	 还行。韩剧，都这样，欧巴桑。            
(3星)	 還不錯..            
(4星)	 姥姥超爱看~ 还说“你以后找男友，就找这样 这小伙不错 ”。。。            
(4星)	 18岁的朗朗与初恋老公的婚后甜蜜生活，好哦。            
(4星)	 好傻啊的~~            
(5星)	 我一般喜欢看前面的情节            
(NA)	 很有韩国文化背景的编剧...比较新鲜的话题...其他都...一般...            
(3星)	 以前有真很喜欢   当时看了一半  过半部分找不到了   所以就更加强烈的想看 觉得很喜欢  现在看来  一般了            
(4星)	 大叔很可爱。。o(∩_∩)o...哈哈            
(NA)	 好久前看过的剧，当时来讲确实不同！            
(3星)	 老实说没评论的那么好看            
(2星)	 看过很多这种类似的之后，突然觉得很无聊啊            
(4星)	 蛮生活的~~            
(3星)	 哈哈这两个人超配的，可爱的单眼皮女生。可爱的李东健的大眼睛~            
(4星)	 为了李东健看的电视剧            
(3星)	 闹腾的女人让人讨厌！            
(3星)	 小眼睛的女主角。大叔。            
(5星)	 当时看真觉得挺好笑的，而且觉得单眼皮的韩智慧很可爱。            
(4星)	 我爸爸喜欢女主角            
(NA)	 很喜欢韩智慧~            
(3星)	 第一部搞笑韩剧，大叔~~~            
(3星)	 当时看完巴黎恋人超喜欢李东健。然后去看了这个。挺闹腾挺喜庆。李多海。。。实在想不到后面的MY GIRL可以这么惊艳。            
(4星)	 女猪脚不算漂亮，男猪脚很挫~            
(3星)	 一般            
(3星)	 妈妈很喜欢。可惜他们分了。            
(4星)	 偶的眼光真好，那时候就觉得坏坏的女二号李多海真不赖，果然人家主演《我的女孩》大红            
(3星)	 女主角很搞笑            
(4星)	 他们为什么没真的在一起/。？            
(5星)	 儿时的美好回忆。五星            
(5星)	 最喜欢的韩剧之一，不管是现实还是剧内，男生女生都很搭哎！            
(3星)	 从来没看完整过~~            
(NA)	 陪伴我度过上GRE的日子            
(2星)	 星空卫视放的吧            
(5星)	 超级搞笑~~创意十足丫~~~~            
(4星)	 哎。。韩智慧干吗要和李东健分了。。            
(5星)	 喜欢的不得了            
(3星)	 哦，这俩人都不怎么喜欢，为了打发时间看的，不过男主突然坠入爱河那一段蛮搞笑，没想到的是李多海竟然演那个过气女友，真是的，虽然很知性，我还是喜欢她在my girl里的样子。            
(5星)	 看了这部片我才开始连续看李东健 韩智慧的片子  不过看来看去 还是觉得这部  还有我的B型男友啊 好像 好看 哈哈            
(NA)	 大叔 唯一的印象            
(4星)	 李东健很喜欢，女主角配不上            
(3星)	 告诉我们，法律界的男人是多么有地位。            
(4星)	 大叔啊~~亲切呢            
(3星)	 太羡慕了，大叔真的是这世界最好的男人啊。简直到了完美的地步。            
(4星)	 银幕上的情侣            
(3星)	 说话太嗲了。。。            
(3星)	 勉强消遣吧！            
(4星)	 婴儿肥的女生最可爱            
(5星)	 搞笑            
(3星)	 挺可爱的 看起来很轻松 适合调节心情            
(NA)	 十八岁的新娘确实是可爱了些            
(3星)	 还好是比较短小的，姐姐和检查官朋友更可爱            
(NA)	 韩智慧好可爱~            
(4星)	 还算可以看，虽然不喜欢韩智慧，但是故事确实可以看            
(5星)	 喜欢大叔            
(4星)	 剧情很好！男主女主超级般配            
(4星)	 最早看过的韩剧之一  也是影响我对韩剧看法的韩剧之一             
(3星)	 也是定情之作阿            
(3星)	 不好看            
(5星)	 婚姻生活的指南            
(4星)	 反正我喜欢····嘿嘿            
(4星)	 喜欢他俩　            
(5星)	 2009            
(3星)	 不知为啥  韩智慧总是没存在感 anhuitv            
(5星)	 那时候  每天都等在电视机前看            
(3星)	 轻松，搞笑！！            
(3星)	 一部电视成就了一对情侣。            
(NA)	 大叔很可爱的啊····检察官  多么向往的职业啊            
(3星)	 韩智慧不晓得哪漂亮了·            
(3星)	 本人看过的极少数韩剧之一            
(4星)	 诙谐搞笑中蕴含了人性中的点点温情            
(NA)	 爱上他爱上她爱上它~就是这样，无论是大叔，还是可爱的贞淑~            
(4星)	 搞笑            
(4星)	 很轻松的电影，很喜欢他们            
(3星)	 那时候挺喜欢看的。。。            
(NA)	 纪念纯真的岁月。韩剧，看了以后，会让你活在幻想的世界里            
(NA)	 闹剧            
(NA)	 挺好笑的            
(4星)	 喜欢韩智慧，喜欢她那迷人的小眼睛~~            
(NA)	 很早以前看过，不是很推荐            
(NA)	 熬了一个通宵看完的            
(3星)	 前半段超好笑么            
(4星)	 韩智慧            
(4星)	 不错啊            
(5星)	 超级喜欢大叔            
(3星)	 对一般韩剧都不怎么看好~            
(4星)	 女主很可爱            
(5星)	 看了N遍，韩国客户到我们公司来的时候，客户说里面的男女主角本来就是两夫妻，呵呵！            
(NA)	 好看            
(NA)	 喜欢他们俩。。。            
(4星)	 我想效仿来着...效仿不来啊...            
(4星)	 听好玩的呢……            
(NA)	 不明白中文的剧名。。            
(2星)	 女的不好看~= =            
(NA)	 很搞笑            
(5星)	 我最喜欢~            
(4星)	 搞笑            
(3星)	 瞧瞧李多海现在已经成什么样子了，现在她的鼻子和嘴巴，越看越怪了。当初很美的            
(NA)	 喜欢大叔啦            
(5星)	 好笑哦。。为爱也有牺牲。            
(5星)	 very good 东健就是和谐            
(5星)	 搞笑            
(3星)	 大叔一词的由来~            
(NA)	 我没看完啦....那也是看过对不对~嘿嘿            
(3星)	 爱情需要的是激情，婚姻更看重的确实责任与默契。            
(3星)	 瞎胡闹吧            
(5星)	 我超爱看这部韩剧，嘿嘿            
(5星)	 第一部韩剧~~   很有趣啊 宗家媳妇ＶＳ憨憨的检察官老公            
(3星)	 第一次看到了，韩国的宗室礼仪。            
(4星)	 N年前，很搞笑            
(3星)	 最搞的是。。接吻的时候。。放屁了！            
(2星)	 还是因为韩智慧。。。            
(4星)	 完美大叔~~            
(4星)	 两个人因为拍这部片而相恋，如今早已劳燕分飞。  叫男人 大叔基本上就是从这部片里学过去的。            
(5星)	 演技好赞            
(4星)	 超级可爱的韩剧，呵呵！            
(4星)	 大叔。。。。。听女主角这样叫，还是很可爱的大叔是个很好的男人，有句话是这么说的“即使我不爱她，但是她是我太太，我就不可以做对不起她的事！”如果男人都这么想，估计就没有小三这个词了            
(4星)	 呵呵~~虽然分手了~~但是这部剧挺可爱的~~            
(3星)	 有一段时间风靡所有电视台的。。。            
(5星)	 很有趣的故事            
(5星)	 从来不看 木奉 子戏的我,还是承认这部狗血,同时可爱多过狗血的电视剧把我萌了一把!!            
(3星)	 无聊时还能拿来消遣            
(5星)	 呵呵！我也想18岁就嫁人！可是这梦想没实现            
(3星)	 有点意思。            
(4星)	 盗版D看了很多遍的。。现在智慧成熟多了。。            
(3星)	 韩智慧好漂亮！！            
(2星)	 满搞笑的，韩智慧干嘛后来去开双眼皮，小单老可爱了            
(NA)	 他们为什么要分手啊，好配的啊            
(3星)	 挺好玩的。爱情也可以这样。            
(4星)	 哈哈 好搞笑的            
(4星)	 不错            
(4星)	 很好玩。            
(3星)	 呵呵 一般吧            
(2星)	 打心眼里并不喜欢韩剧偏偏演员也不喜欢，剧情是重复了又重复，所以必然没了兴趣。            
(5星)	 不是叫朗朗与检察官吗            
(5星)	 &#34;小女子....(balabalabalalalal)&#34;--贞淑的口头禅。《出师表》--贞淑的唯一特长，也是爷爷喜爱贞淑的原因。&#39;&#39;阿塔希....(大叔)&#39;&#39;--囧，这部剧彻底丰富了‘大叔’这一词的内涵，以及其广泛的推广流行，功不可没！！！&#39;&#39;国家的未来令人堪忧啊&#39;-哈哈            
(NA)	 有点青涩的爱情故事            
(4星)	 单眼皮的女生，笑起来好漂亮，不是，不是漂亮，是怡人心扉，真的很清爽，羡慕(*^__^*) 嘻嘻……            
(4星)	 想当年因为这部剧喜欢上韩智慧跟李东健            
(4星)	 搞笑            
(4星)	 俩人的美好作品，可惜现在分开了，看着真是唏嘘啊！            
(4星)	 挺好玩的            
(NA)	 好喜欢韩智慧的            
(5星)	 哦呵~竟然没收藏这个么……看了两遍哟~非常喜欢~我家大叔嗯~！            
(4星)	 我妈说这两个人长得好，女的很显小，每次看到韩智慧都像看到熟人说：“这不是那个小妮儿吗。”            
(3星)	 .....一度无语.            
(NA)	 一般吧~            
(4星)	 好好笑，哈哈。我有那个的铃声，咕咕咕~            
(NA)	 韩剧基本上都一样。            
(3星)	 好看的单眼皮女主            
(3星)	 剧情比较离谱了··            
(NA)	 那时候我们也很年轻啊            
(3星)	 有点白痴~            
(4星)	 我最爱的韩剧情侣            
(4星)	 (*^__^*) 嘻嘻……好玩            
(3星)	 看了前半段觉得还满好看的。后面没看完。            
(5星)	 本以为他们在现实生活中也会相守一生，可...            
(3星)	 大叔            
(3星)	 都不是我很喜欢的演员，不过剧集还不错啦！            
(4星)	 高中的时候跟同学逃课去她家里看的。汗一个。怀念当时啊。            
(3星)	 娱乐佳品            
(5星)	 还怀念他们在一起的时候啊。            
(4星)	 like my  girl with me，he he~            
(NA)	 贞淑还真是好命            
(NA)	 无聊            
(5星)	 從高中看到現在 看了十幾遍 太經典了            
(4星)	 喜欢上他们两人的电视剧不过还是分手了            
(5星)	 第一部看的韩剧，记忆深刻            
(NA)	 韩智慧还是这样比较好~            
(NA)	 大老公小老婆，这样的爱情也很温暖            
(3星)	 牛奶与咖啡            
(4星)	 哈哈！和家人一起看的            
(3星)	 我也想            
(5星)	 智慧好可爱吖~~            
(5星)	 这个很好看呢，两个人都是演技派的，超喜欢的两个人合作啊~~~推荐~~诙谐幽默的一部剧~~~很不错很不错~~            
(3星)	 偶看过的韩剧之一            
(3星)	 很有韩剧的特色，挺有趣的主题，蛮搞笑的开始，拖沓的过程，按常理出牌的结尾。            
(4星)	 so cute            
(NA)	 我是看韩剧的大俗人～            
(4星)	 断断续续看完的 还好            
(3星)	 俏皮的小新娘，很多情节很好玩。            
(5星)	 至今为止最喜欢的韩剧            
(5星)	 当时很喜欢李东健和韩智慧的组合，现在差不多忘了吧，有机会再重新找两集看看            
(5星)	 轻松            
(5星)	 李东健和韩智慧很配...            
(NA)	 曾经一度痴迷~            
(3星)	 覺得一般一般...            
(5星)	 搞笑的片子            
(3星)	 男女主角都不算美人，可是看着还蛮舒服~            
(3星)	 一般般啦            
(3星)	 其实，挺一般的...            
(NA)	 过于幼稚，，除了主角亮眼，其他非常差劲            
(NA)	 不喜欢！！！            
(4星)	 还行，看看一个女人如何让不喜欢自己的男人喜欢上自己的，以及婚后生活的技巧            
(4星)	 逗乐            
(NA)	 悲哀……            
(3星)	 韩智慧            
(3星)	 感觉就是拉长版的《我的小小新娘》            
(5星)	 进大学前妈妈同事借片子给我看的，当时就觉得很好看，后来果然很火，外地台一直重播重播，我看了都快吐了            
(NA)	 喜欢他俩!智慧越来越好看了~~~            
(NA)	 韩智慧的小可爱，积极乐观            
(3星)	 真的有这么帅又好的&#34;大叔&#34;么?!            
(3星)	 还好吧            
(3星)	 韩智慧挺可爱的            
(3星)	 喜欢那个小丫头            
(3星)	 啊!!!!!!!!东健哥哥,我没在做好丽友的广告~~~            
(NA)	 喜欢、大叔和贞淑！            
(4星)	 大概是从这里看上韩智慧的，除了某些过程编剧实在太机车之外，都挺好            
(4星)	 还行            
(3星)	 一般            
(2星)	 韩国男女结婚难，男女比不协调可真够麻烦的！            
(4星)	 韩剧            
(5星)	 他们是分手了么？ 真是奇怪 朗朗和检察官的故事真是不错啊            
(3星)	 ==没意思            
(4星)	 太搞了。。。其实挺喜欢他们这对的。可是为什么分手了呢            
(4星)	 小丫头太懂事啦            
(4星)	 还算不错            
(5星)	 简单的喜欢吧~曾经李东健和韩智慧因为这部电视剧成为恋人~而现在~一切不在~所以再也不想看这部电视剧~看了就是泪水~            
(4星)	 有趣的喔            
(4星)	 呵呵……            
(3星)	 一个小女人的爱情故事            
(3星)	 一直觉得李东健少了那么点男人气。            
(4星)	 浪漫~老少配也不错！            
(3星)	 年轻的，果然就是强大的            
(4星)	 今天看了结尾 真的很感人...            
(3星)	 从没想过嫁人是可以作为一种可以写到志愿表上的东西……            
(3星)	 一点都不好看。很无聊。            
(NA)	 很搞笑，很温馨，暖暖的幸福...            
(3星)	 讨厌那个在我们这的那个名字了,什么啊!刚开始听别人说的时候,我还以为是什么呢            
(2星)	 不喜欢女主角的长相~~            
(3星)	 背景音乐很搞笑~            
(4星)	 越来越觉得李东健浑身散发这性感的魅力。。。。            
(4星)	 蛮搞笑的也蛮温馨的            
(NA)	 大二时还在燕子矶时看的。记得还是在信管的宿舍那边看的。呵呵。时间过得好快。            
(4星)	 可爱的贞淑和大叔~            
(NA)	 还好,不过好象没是么印象了,哈哈,蛮搞笑的.韩智慧,不错,有种特别诚恳的眼神.            
(3星)	 比较肤浅            
(5星)	 怎么分了呢            
(5星)	 好看,歌也很好听            
(4星)	 HOHO~~`            
(NA)	 我发现我看的都不完整            
(5星)	 第一部我看得韩剧吧...好像是~            
(4星)	 我妈挺喜欢的            
(NA)	 哈哈。。。相公。。。            
(5星)	 喜欢韩智慧            
(5星)	 讨厌韩智慧            
(5星)	 男女主角现实生活就应为这部戏在一起咯            
(NA)	 有点意思，呵            
(NA)	 哈哈 大叔            
(3星)	 女主角还算可爱            
(5星)	 大叔万岁！大叔，智慧~~~萌翻！！            
(2星)	 看了几集            
(3星)	 也是没看完。。。            
(3星)	 剧情还可以韩智慧的表演让人印象深刻            
(4星)	 搞笑~~~~            
(NA)	 一般般            
(2星)	 不爱看            
(5星)	 与出师表大叔的爱情故事 哈哈            
(NA)	 男猪太囧            
(5星)	 看了以后觉得韩智慧的单眼皮很可爱哈            
(NA)	 很轻松可爱的喜剧。 喜欢～ 还有爷爷的感人。 ^^            
(NA)	 新娘18岁             
(3星)	 汗！n年前的故事            
(NA)	 呵呵            
(4星)	 笑了不少            
(4星)	 喜欢韩智慧。。。            
(NA)	 可爱可爱            
(3星)	 一般般            
(3星)	 为了东建看的。。            
(NA)	 可爱的女孩变女人            
(NA)	 大叔，这个称呼现在听起来还是很熟悉.            
(4星)	 有意思的片子            
(NA)	 被迫            
(3星)	 虽然剧情有点儿夸张，但还是蛮喜欢那一对儿的~            
(3星)	 仔细看男主角的脸像大妈，郁闷！不过有些桥段还蛮搞笑的            
(5星)	 当年的大爱。            
(3星)	 搞笑            
(3星)	 这也是无意看到的。很弱。。。滴说。。。不过，很喜欢李东健和韩智慧这对，可惜怎么后来分手了呢。。。？            
(3星)	 新娘18岁            
(3星)	 这部电视剧造就了一对情人，但是分手了。韩智慧，还是现在漂亮啊。            
(5星)	 中文配音版的韩智慧更可爱            
(5星)	 十八岁的新娘还是个小孩，和心爱的大叔假结婚，开心地当家庭主妇，笑料不断。不过在故事的最后，女孩开始寻找自己的梦想，升华得不错            
(3星)	 出师表青年！            
(4星)	 不错不错!            
(NA)	 同豪杰春香一样难看            
(NA)	 喜欢贞淑!            
(NA)	 搞笑中带点温馨 让我有点喜欢上看韩剧 为的是那一点点感动            
(NA)	 人很滑稽搭配很奇特            
(5星)	 看了无数遍都喜欢的            
(5星)	 真是太可爱了~哈            
(NA)	 呵呵            
(4星)	 真的很逗耶。            
(5星)	 很搞笑！！！            
(3星)	 比较喜欢            
(NA)	 搞笑~            
(5星)	 很搞笑  从头笑到尾            
(3星)	 好玩            
(3星)	 搞笑就是生活。            
(2星)	 很弱智的剧情            
(3星)	 还行            
(3星)	 囫囵的看过……            
(3星)	 女主角缺缺的~挺可爱~李东健呢！帅啊~帅啊~帅~哈哈            
(NA)	 喜欢真挚善良的女孩子            
(NA)	 好看，好笑，放松            
(4星)	 大叔～小眼的丫头，嘿嘿            
(4星)	 这个年龄差距是第一米黄团子最喜欢的            
(NA)	 适合一家人看。。            
(4星)	 韩智慧满可爱            
(NA)	 好玩            
(NA)	 怀念的一对啊~            
(NA)	 好搞的   呵呵            
(4星)	 太逗了~            
(4星)	 “大叔”这个称呼从此变得亲切            
(3星)	 6.3             
(NA)	  韩国搞笑爱情剧            
(4星)	 喜欢李东健            
(4星)	 只要相信爱，会实现的！            
(4星)	 无意中看到 然后就有意地看下去```很幸福很可爱的一对...韩智慧真的很耐看...            
(NA)	 新娘18岁            
(NA)	 08.5            
(3星)	 据说他们分手了：（            
(NA)	 好搞笑的撒，东建和智慧的处女作            
(NA)	 我喜欢这样的感情            
(NA)	 。。。。            
(NA)	 新娘18岁            
(3星)	 其实还挺弱智的一部剧            
(5星)	 超级好玩啊很喜欢出师表少年啊~            
(5星)	 经典好剧            
(4星)	 还不错            
(4星)	 挺搞笑的。            
(2星)	 有点浪费时间            
(4星)	 喜欢~            
(3星)	 竟然还是和宿舍人看的……            
(4星)	 每集都有笑点 也很温馨            
(NA)	 值得看,很逗的            
(3星)	 有点意思            
(NA)	 喜欢这对情侣            
(3星)	 音乐很好玩            
(3星)	 早婚的故事。我也要。            
(NA)	 好看好看的            
(NA)	 2004年       又名: 开朗18岁 / Nang rang 18 seh            
(NA)	 中文名叫《朗朗与检察官》很奇怪的名字            
(5星)	 看似深刻的道理，却以轻松诙谐的方式呈现。            
(3星)	 喜剧，刚播出时还算流行。最喜欢里面的爷爷～李多海在里面不咋地，my girl里好多了～            
(NA)	 我觉得还是找一个大点的男朋友好            
(5星)	 掀起韩国喜剧风            
(NA)	 曾经那么迷韩剧            
(5星)	 我不知道为什么翻译成朗朗            
(NA)	 学校电脑房看的另一部 我的大一啊            
(5星)	 因为，像我跟大叔一样。            
(5星)	 很好笑的            
(4星)	 在搞笑之余,也深深的体会出了浓郁的亲情.做事要怀有一颗衷心.            
(3星)	 有点儿闹~            
(4星)	 很是搞笑，感觉比full house好看。            
(NA)	 他们两个真的很配。            
(4星)	 很好看,无数遍回味!            
(4星)	 很好笑的电视剧            
(5星)	 其实是好多年前看的片了~但是还是很喜欢~            
(2星)	 老实说，我看到十几集的时候就没有再看下去了。我确实很爱李东健在里面的造型，但.....我觉得该剧实在没有什么内容可言，挺无聊的...            
(3星)	 很可爱的故事            
(NA)	 看過的 不覺得那個女主角好看            
(NA)	 我，还在等待梦想砸醒。或许，找到一个让我宁愿不惜一切也要执着坚持并努力打拼的梦想，本身就是一个梦想。            
(NA)	 东健和智慧的定情之作            
(NA)	 不错            
(3星)	 我妈很喜欢            
(3星)	 喜欢，女的很聪明，从来不让自己受委屈．            
(NA)	 爆笑 不错 寒假看的 和妈妈一起            
(NA)	 可爱的女孩！            
(4星)	 就如标签说的            
(5星)	 不错，是个愿意为爱付出的女孩子            
(NA)	 按他们的婚后生活真的很有意思！            
(3星)	 不太喜欢女主角，她应该和李多海的角色换一下            
(NA)	 123            
(NA)	 我会和我命中的大叔有这样的爱情吗？            
(3星)	 真没觉得有多好看。2010.12.11            
(5星)	 笑死人不偿命            
(NA)	 喜欢大叔            
(4星)	 李東健跟韓智慧假戲真做的韓劇 XD 我真八卦阿..            
(NA)	 很好看            
(3星)	 居然韩国人也要背《诫子书》            
(3星)	 开始怎么看都觉得俩人不搭,但是剧情会慢慢带动你的~            
(4星)	 不错！            
(NA)	 韩智慧表现不俗，我觉得李东健还是适合演正面角色~~            
(4星)	 出师表            
(NA)	 很搞笑~~            
(NA)	 新娘18岁            
(NA)	 不知什么时候开始流行这种忘年恋,可能是很容易出喜剧效果.如果真有这种爱情,开心与心酸应该各占一半吧.            
(4星)	 李东健长得好像CAMEL呀！！            
(3星)	 还好            
(NA)	 搞笑的大叔和妻子            
(5星)	 回忆，还会有吗？            
(4星)	 搞笑，很好看呀            
(3星)	 好像也没看完            
(3星)	 韩剧 新娘18岁 李东健 韩智慧             
(5星)	 李东健．韩智慧．            
(3星)	 轻松。。。不过故事俗套了点            
(4星)	 大学接触的第一部韩剧            
(NA)	 李东健李东健李东健            
(3星)	 搞笑中不乏真情...            
(NA)	 太一般            
(5星)	 搞笑             
(4星)	 很老套，却依然心动．            
(3星)	 老妈爱看的韩剧之一            
(3星)	 喜剧            
(4星)	 故事挺可爱的　我还挺喜欢的　就这样拉            
(4星)	 东智恋啊            
(4星)	 被宠是一种幸福            
(3星)	 虽然剧情老套，但里面的真实感确是其他偶像剧不具备的            
(4星)	 现实中他们也是一对呢，好幸福            
(NA)	 看完第一集后就彻底地迷上这个韩剧了～            
(3星)	 挺搞笑的，爱情其实就这么简单！            
(NA)	 一般            
(4星)	 太搞了 要看下            
(5星)	 呵呵，喜欢            
(2星)	 无聊            
(3星)	 新娘18岁            
(NA)	 没有看完，觉得这大概就是韩国人真正的长相            
(NA)	 2005.10            
(NA)	 喜欢让人轻松的一切            
(5星)	 很好笑，但是知道一定要用真心来爱，才会有真爱啊            
(5星)	 可爱的贞淑啊还有ajashi~            
(5星)	 哈哈大叔！            
(3星)	 ..            
(3星)	 我也想早早结婚。            
(4星)	 gaga            
(4星)	 还好            
(5星)	 优质的韩剧，是由李东健与韩智慧主演，剧情走俏皮喜剧路线，很好看～            
