http://movie.douban.com/subject/2154743/	封神榜
(3星)	 小学时候的电视。印象最深的有个侏儒娶个美女。            
(5星)	 幼儿园时候看的~= =！~            
(2星)	 我居然看过这个，，当时还买过书看貌似，，太雷了            
(NA)	 第一次看的神话剧            
(5星)	 当鬼片看的电视剧            
(4星)	 可吓人            
(3星)	 小时候看的，都没什么印象啦，家里还有一套书！            
(3星)	 那时候我还不懂事            
(3星)	 无语。            
(4星)	 绝版苏妲己            
(NA)	 经典            
(3星)	 当时的条件虽然简陋，但还是觉得拍的不错。妲己印象很深刻。            
(4星)	 是小时候最经典的记忆呀。习惯重温。            
(2星)	 不知道为什么，对中国古代的神话小说总是没什么兴趣。。。            
(5星)	 最爱杨戬~~            
(3星)	 只记得妲己小姐了 还有画质很粗糙            
(NA)	 好年轻的说            
(4星)	 妲己长得很吓人            
(3星)	 把生命化作那朵莲花，功名利禄全抛下~            
(NA)	 当年被吓到了！卡特片！            
(4星)	 还是有阴影啊            
(4星)	 幼儿园记忆            
(NA)	 就记得苏妲己            
(5星)	 谁又何尝不YY当时的妲己呢，哈哈            
(5星)	 封神榜啊！！！！！现在的孩子都不懂的不懂的不懂的！！！！！！！！            
(NA)	 那时候这片子的片头简直就是恐怖片啊~~            
(4星)	 比较经典的 就是武打动作傻了一点            
(5星)	 启蒙老师。。。            
(3星)	 苏妲己~            
(3星)	 妲己真好看。。。在那个家看的，小时候不吃饭都要看啊            
(5星)	 小时候看着啊~~服装有爱~~帅哥有爱~！！一切都那么有爱~！            
(4星)	 当时喜欢看的神话就《西游记》 《封神榜》 《新白娘子传奇》            
(4星)	 经典            
(NA)	 妲己美死了！            
(3星)	 我就记得片尾曲挺好听的            
(5星)	 小时候似有似无的回忆，很美后的，但现在看来布景什么的稍显简陋了，但一直都那么美好            
(4星)	 小学1年级就开始看的，印象最深的是传说中的菜盆！那一坑的蛇啊！            
(5星)	 小时候就爱看神话~            
(3星)	 有几个情节小时候觉得好吓人            
(3星)	 小时后看的怕。。。            
(4星)	 当年的傅艺伟是我见过的最漂亮的女人~            
(NA)	 这个 好老啊、、、            
(5星)	 永远的经典            
(5星)	 小时候            
(4星)	 那时候的道具服饰很前卫啊，个个都是三点式，比基尼，与性别无关，激情四射啊！外加一句，傅艺伟，我妈一直跟我说她很漂亮，即使现在朱颜已改。            
(4星)	 很纳闷那时候人的衣服为什么穿那么少，尽管那些法术之类基本都是浓烟加灯光做出来的，在那时已经很不错了。傅艺伟演的妲己是最漂亮的狐狸精            
(NA)	 挖心那集至今记得，人没了心还活着，分明医学片嘛！            
(4星)	 小时候真觉得傅艺伟就是苏妲己就是狐狸精。。。但是好漂亮~~            
(4星)	 苏妲己……狐狸精（儿时记忆）            
(4星)	 其實童年看的時候並沒有完全察覺出傅藝偉姐姐的漂亮            
(4星)	 小时候看的了！            
(4星)	 现在还记得小时候看完妲己吃心那里，吓得好几个晚上睡不着            
(4星)	 小时候觉得服装太前卫露的太多了……            
(4星)	 这个苏妲己无敌了，记忆犹新啊            
(4星)	 断断续续的看            
(4星)	 嘿嘿，看过，好看            
(4星)	 小时候非常喜欢那个妲己，觉得太漂亮了，尤其是她的衣服。不过之前电视上重播，看到妲己身上那么多艳俗的花还是囧了一下自己小时候的审美。            
(5星)	 那个时候迷得那叫一个死去活来。。。其实我一直都很喜欢这部的各种设计。。。而且我打小HC的毛病就从这里开始吧。。。            
(4星)	 服饰很雷，但是美女很真也很多            
(4星)	 童年记忆中绝对的玄幻            
(4星)	 这个估计是中国最“先进”的动作片了，那个打斗场面，呵呵……很怀念啊。            
(3星)	 武打场面尊滴8敢恭维，-_-||| 可是，偶好稀饭傅艺伟！            
(3星)	 妲己！            
(5星)	 记忆犹新            
(4星)	 那时候人还挺帅的。。妙极            
(4星)	 那时候都能恨死妲己了··            
(5星)	 喜欢这部封神榜是因为喜欢这部戏得大多数演员，特别是妲己的演员。            
(4星)	 我记得土行孙钻地的时候超级搞笑            
(5星)	 那个时候能把神话故事拍成这样就叫经典            
(5星)	 经典中的经典，无法超越。            
(NA)	 妲己那一句娇滴滴的“大王”，真是让人骨头酥            
(3星)	 太久远了……            
(4星)	 道具真简单啊~~~            
(4星)	 都不大记得情节了，就记得傅艺伟被赞为第一美女神马的            
(NA)	 当时很喜欢看~            
(NA)	 小时候应该看过的～～后来又重播过好几遍。印象中不是特别好看啊，不是特别喜欢看            
(3星)	 只记得傅艺伟好漂亮            
(4星)	 神作曲            
(NA)	 小时候不睡觉看这个···            
(1星)	 最不适合拍真人版的作品            
(4星)	 不得不说，片尾曲很好听。。让生命化作那朵莲花，，，，，            
(4星)	 90年代拍的 很不错            
(4星)	 小时候看得很揪心            
(4星)	 挖眼那段现在还能把我吓到~!!!            
(3星)	 剧情很好，演员也很好，送三星只是因为受不了剧中人希腊式衣物和希腊式建筑。负责该剧的布景和服装是火星人吧？            
(4星)	 傅艺伟最美了！！            
(4星)	 很小的时候看的，那时只知道姜子牙很牛B            
(4星)	 小时候总不敢看片头的炮烙            
(NA)	 我就记得小时候看这个吓一点一点忘外躲最后躲到了门后面            
(5星)	 这个封神榜是太尼玛好看了            
(NA)	 灰常玄幻，灰常吓人，而且对儿童来说还有点色情的电视剧啊 = =            
(5星)	 傅艺伟不要太漂亮哟..              
(4星)	 哇 童年            
(5星)	 这部戏在当年我好喜欢看啊 觉得二郎神 哪吒 包括姜子牙都好帅好帅啊还有纣王很残暴 妲己很妖媚            
(5星)	  童年回忆             
(5星)	 湖南台重播来着            
(4星)	 这也算是经典吧，有很多经典的场景啊，印象最深的是妲己，那个尾巴…………            
(5星)	 听音乐就喜欢            
(5星)	 印象深刻童年最爱            
(4星)	 虽然制作粗糙，但任然记得妲己漂亮的样子            
(4星)	 初中借宿午饭时 看！            
(NA)	 儿时的记忆，中午匆匆吃晚饭去邻居家看，奶奶掂着小脚去找我，怀念，祭奠，每晚都会梦见你，很想很想你            
(3星)	 当时就觉得：上古的时候化妆好现代啊~            
(5星)	 这是我更小时的回忆 我记着吃人肉包子的那一幕 全家都睡了 就我一个还在看 突然就一个流着鲜血的脸出来了 吓倒是没吓到 只是有阴影了            
(5星)	 那个时候觉得妲己进宫那一刻美如天仙~            
(5星)	 傅艺伟真是漂亮啊。。。            
(4星)	 记住了傅艺伟和那个头箍            
(5星)	 小时候对妲己惊为天人...现在看着也不错            
(4星)	 花开花落，花开花落~~那时候觉得傅艺伟真漂亮啊            
(5星)	 台经典了，小时候做梦都做到这个，那时候觉得美女就是傅艺伟这样的啊！！我很喜欢姜子牙的阿~还有那个比干的心印象太深刻了！            
(NA)	 这版最美了             
(4星)	 真比现在的好多了！让生命化作那朵莲花。            
(5星)	  这部也太经典了吧，美人！服装！剧情！哦哦噢            
(5星)	 经典  几代人心中的封神榜都定格在这部了            
(4星)	 。            
(4星)	 傅艺伟很漂亮            
(4星)	 一生的经典            
(4星)	 怀旧系列            
(NA)	 厄~ 女主和她饰演的苏妲己是我爹的梦中情人…… -_-!            
(4星)	 记得小时候还没装有线电视，在村里的广场里由爸妈抱着观看，每晚播放几集结束已是半夜十一点半，散场回家吃已煲好的蜜枣，啊，童年的蜜枣，超有感觉，以此纪念未忘怀我的童年。            
(3星)	 经典的不该重新看的……            
(4星)	 傅艺伟版的苏妲己经典            
(NA)	 刻录在童年记忆中的电视往事，主题歌都会唱的，多年以后剧情都记不清然而主题歌或插曲总是回荡在脑海里，最喜欢姜子牙，哪吒，三目神将            
(5星)	 美呆了的妲己，帅爆了的杨戬。。。            
(NA)	 还怪吓人的其实。            
(4星)	 可以说演员里边每一个是大腕，特技也不出彩，但就是好看。            
(NA)	 商朝的人们早已知道现在的印度阿三是什么样的穿着了            
(4星)	 还是跟我爷爷奶奶一起看的。            
(4星)	 就记得妲己了。。。            
(NA)	 小時候瞅誰誰都漂亮啊~~~            
(NA)	 必须看过的，爷爷喜欢看，还经常讲封神榜的故事给我听，那时候觉得妲己真美啊~            
(3星)	 這個版本有點嚇人啊~~~            
(4星)	 其实这个是很不错的电视剧            
(4星)	 傅艺伟很好看很好看~            
(5星)	 哈哈哈哈哈哈哈哈哈！            
(5星)	 花开花落，花开花落。            
(NA)	 小时候看过，记得那是妈妈最喜欢看的电视剧之一。而看了《封神演义》的小说之后， 我觉得还是电视剧好看。。。            
(5星)	 小时候被吓得不敢看，我一直以为这是个恐怖片。            
(4星)	 妲己很美，伯邑考哪吒什么的都很帅~~            
(4星)	 那时觉得超级好看, 期待暑假/寒假都能重放, 但都没有哎            
(4星)	 哪吒真帅            
(4星)	 神话色彩很浓厚，现在看也有趣，有些东西不是特效可以代替            
(5星)	 各种演员都很经典！除了道具粗糙点儿，不过那个年代做到这样已经不错啦。            
(NA)	 没啥印象            
(NA)	 说实话。我看服装总让我想到希腊人。。。。。。            
(4星)	 啊……大王~~~            
(4星)	 小时候看的有点怕怕。            
(4星)	 妲己 妲己            
(4星)	 虽然范爷就长了个狐狸精样，但是傅艺伟她不可超越有没有！            
(5星)	 史上第一步大白天把我吓哭了的电视剧            
(NA)	 曾经无数次模仿剧中人物，呵呵             
(2星)	 念在普及了一本古典小说的份上，加一星。            
(2星)	 当时很害怕什么鬼呀神呀的            
(4星)	 片头那三块石头——也许是三颗星球啥的？            
(3星)	 花开花落 花开花落 悠悠岁月长长的河            
(3星)	 没看完，他们的衣服都好奇怪的            
(NA)	 儿时的记忆            
(NA)	 80后的回忆            
(4星)	 cult!!!!!!!            
(4星)	 比干的心            
(5星)	 把生命化作那朵莲花~~            
(4星)	 小时候还是很喜欢的            
(4星)	 妲己的经典版本。虽然服装好奇怪。。。。            
(4星)	 我觉得不错啊            
(5星)	 根本就是女娲一个人在瞎搞            
(2星)	 妲己的衣服= =            
(5星)	 当时觉得妲己不错挖！！            
(5星)	 小时候的最爱~            
(3星)	 所有的妲己都很美。各种雷装，即使小时候我也这么觉得            
(4星)	 漂亮的苏妲己，只记得这个了，汗......            
(NA)	 儿时恐怖回忆之一。            
(3星)	 其实，已经记不得了，因为那个时候我老妈不许我看，说小孩子不能看这种片子            
(5星)	 妲己绝逼美~            
(4星)	 小时候就觉得很色情            
(4星)	 小时候陪老爹一起看的            
(4星)	 小时候害怕很多情节，现在应该好点了吧            
(1星)	 道具粗糙，CG太烂            
(5星)	 80后都看过吧            
(4星)	 那时候咋那么爱看呢......            
(5星)	 人生第一部恐怖片。            
(3星)	 傅艺伟还是漂亮啊            
(4星)	 有的演得怎么那么假。。            
(5星)	 妲己刚入宫的时候真是惊为天人.            
(4星)	 记忆里 凌晨两点还偷守着电视旁观看            
(4星)	 妲己娘娘你真美❤            
(3星)	 不是我的菜，不过拍的确实不错            
(NA)	 这版妲己也好看。            
(3星)	 78            
(5星)	 “把生命化作那朵莲花。。。”毛阿敏的歌声仿佛还在耳边飘荡，蓝爷爷的长须白发和傅阿姨的灵动双眼相当的深入人心。虽然那个年代设备不够先进，但电视人的专业水准和职业良心还是很对得起观众的，质量比现在的妖鬼蛇神好到哪儿去了！            
(3星)	 基本忘了内容，妲己出现时的情景还记得            
(5星)	 帅            
(5星)	 经典            
(5星)	 常常纠结于呐吒和杨戬哪个更帅的问题            
(5星)	 看过无数遍 哪吒是我小时候的梦中情人            
(3星)	 我祖祖最喜欢姜子牙，哈哈            
(3星)	 冲着妲己看的            
(5星)	 主题歌非常的好听。            
(5星)	 每天放学回家第一件事就是打开电视看这个，有时候实在来不及回到家，就跑到离学校近的同学家先看完再回家            
(4星)	 经典            
(4星)	 这就是童年            
(NA)	 这个版的挺魔幻的。。。小时候被人心神马的吓到诶。。。服装很魔幻！            
(NA)	 尾巴要出来了，我却着急去了厕所            
(4星)	 小时候 看过几多遍的电视剧之一 当时觉得妲己真的就是狐狸精的代言，这种印象留在脑海中不知道持续了几多年····            
(3星)	 花开花落！在当时这算是大尺度电视剧了，那些飘渺在风中的大腿啊～～            
(4星)	 那个妲己是小时候的梦想之一……            
(5星)	 演狐狸精谁能再超越傅艺伟呢？冰冰就省省吧            
(5星)	 最经典。            
(5星)	 小时候看得可害怕了，什么骷髅啊酷刑啊妖怪啊，各种特效~还记得傅艺伟的妲己太美了，还有那首片头曲什么~传说~。这些留在我们记忆中的片段            
(NA)	 这个妲己很美艳            
(4星)	 大概就有记得，老版本果然好看：目            
(NA)	 记得小时候过年的时候大家一起看的            
(5星)	 太经典了，当年拍的很认真            
(NA)	 告别，无休的征战            
(3星)	 应该是小学时候吧，当动画片看着，那时就觉得傅艺伟演的妲己还有扮相很性感            
(4星)	 当年觉得很好看，确实不容易了。            
(5星)	 我无比可爱淘气青春靓丽的哪吒哥哥啊~~            
(5星)	 太好看了。            
(NA)	 没啥印象了            
(4星)	 有印象的是土行孙还有比干被挖心            
(4星)	 拍的一般的好剧本片子，最漂亮的妲己            
(4星)	 小时候很爱看            
(5星)	 看到过的最美的妲己~~            
(4星)	 为虾米我觉得这些好看捏？……            
(NA)	 啊，我是一个无心的人。=王=            
(5星)	 道具很假很简陋，但小时候非常喜欢看，我还记得比干死得很惨……            
(3星)	 小时候看的时候，比干被妲己剖心那点，家人还不让看~            
(4星)	 不知道为什么，小时候除了爷爷，都不让看这个，说小孩子看了不好..现在都没能看全，觉得都像希腊男人，            
(3星)	 小时候最爱看这个啦            
(4星)	 小时候会半夜爬起来观摩的神剧~对神秘世界的憧憬从此打开了一扇大门            
(2星)	 记得是同学间谈论的焦点 那会家里没电视 幼小的心灵很受伤呵呵            
(4星)	 每集都盼着狐狸精出场。。。            
(3星)	 每首歌都好听，歌词尤其好！            
(3星)	 什么叫奇葩，这才是            
(4星)	 好看！            
(4星)	 最帅的哪吒，很美的妲己            
(4星)	 恐怖片！！！            
(3星)	 神奇的服装。            
(NA)	 妲己真漂亮！            
(3星)	 妲己演得太好了。            
(5星)	 小時候玩過不少封神榜的角色扮演遊戲，女孩兒都爭著演漂亮的妲己，我是例外，要么演紂王，要么演姜子牙，哈哈哈哈~            
(NA)	 就是喜欢妲己。那个时候那么小，居然喜欢个坏美女。。哦，坏妖女。。            
(5星)	 当今社会的浮躁无法成就如此的杰作            
(5星)	 小时候看过，相当好看。            
(5星)	 傅艺伟的妲己真是传神，以后每次看到妲己都想起她            
(5星)	 杨戬哪吒雷震子啊~~            
(4星)	 小时候曾经用呼啦圈当过哪吒的乾坤圈飞过!            
(3星)	 当年的妲己还挺惊艳的            
(5星)	 就记得妲己真美啊！            
(5星)	 不是表扬上海人，这部封神榜比后面翻拍的强多啦。            
(3星)	 回忆            
(3星)	 我不喜欢看。但是其它小朋友很喜欢。            
(3星)	  小时候  每次看到挖眼睛的时候 都紧紧闭上眼             
(3星)	 小说我就不喜欢            
(5星)	 神的神作            
(3星)	 小时候觉得里面人烂遭的            
(4星)	 好像把纣王的二儿子的情节改得很厉害，帮助周武王打他爹去了，还加了一段感情戏。            
(5星)	 很经典！            
(3星)	 小时候超喜欢的            
(5星)	 封神演义是我至喜爱的一本演义小说，“愿生命化作那朵莲花。。。。”这是永远也难忘的歌，这里的哪吒，姜子牙，武成王，妲己，武王，伯邑考。。。。。每一个演员都栩栩如生。            
(NA)	 那个年代的演员都是表情严肃的            
(3星)	 =。=            
(5星)	 集灵异，悬疑，惊悚，三级，侦破为一体的旷世巨作！            
(5星)	 我喜欢杨戬~武王的王后长得很漂亮~            
(4星)	 小时候看的就是个热闹            
(4星)	 我最想成为雷震子 有双会飞的翅膀            
(5星)	 看到这个我想到包青天            
(3星)	 全是妖孽神马的。            
(NA)	 愿生命化作那朵莲花，哈哈            
(4星)	 我爱傅艺伟。。。            
(4星)	 小时候啥都好美好＝3＝            
(5星)	 傅艺伟啊，那个年代对美女的最好诠释，直到现在看还是。。。武王好帅啊，哪吒好有爱啊。。。            
(5星)	 不错            
(4星)	 经典...            
(NA)	 小时候睡觉前大人只要讲一句“狐狸精来瞭”，我就钻被窝里睡觉了~            
(5星)	     小时候连重播也不会放过，充满外公家的童年回忆  从此片开始在幼小的心灵种下了惩恶扬善的种子            
(4星)	 那朵莲花            
(4星)	 花开花落，花开花落，悠悠岁月，长长的河，一个神话就是一个传说。儿时经典。            
(4星)	 小时候看滴            
(3星)	 傅艺伟的妲己最美了            
(4星)	 小时候有点看不懂。            
(5星)	 花开花落，花开花落，悠悠岁月，长长的河，一个神话就是浪花一朵，一个神话就是泪珠儿一颗。可能就是那时候我有了得阑尾炎的苗头。            
(4星)	 小时候看的剧里比较好看的一部~            
(4星)	 傅艺伟演的妲己，媚惑勾人            
(5星)	 就记住了傅艺伟演的妲己，好漂亮啊~            
(4星)	 想起的是种种变态的杀人手段            
(3星)	 儿时的恐怖片。。             
(5星)	 OP，ED还是那么的给力。。            
(5星)	 傅艺伟的妲己最美啦            
(4星)	 傅艺伟绝对的美女！现在电视剧是看不下去了！可是傅艺伟的美貌牢牢记在心里！            
(3星)	 小时候看这个会怕            
(4星)	 小时候的经典记忆            
(3星)	 让生命化作那多莲花            
(5星)	 就是有些想看的演的太少，厌烦的演的太多            
(4星)	 给力啊给力            
(4星)	 残忍恐怖的神话经典            
(5星)	 那古典与现代气息杂煣的音乐，那仙风道骨的画面，一代经典            
(4星)	 小时候最爱看的电视剧之一~~            
(4星)	 傅艺伟真漂亮            
(1星)	 打戏就跟绣花似的.            
(4星)	 蓝天野            
(NA)	 那时候最痛苦的就是爷爷奶奶姑姑二爸等每天晚上都要看这个电视……熬了好多天……终于大结局了！我好开心！！！            
(4星)	 某妖怪肚子里那一幕是我最初的恐怖片记忆……            
(4星)	 经典老片            
(5星)	 不得不说当年妲己让我年幼的小心灵蠢蠢欲动，那种心灵最深处的喜欢跟道义上正义的抵触让我纠结到第一次青春期发育，不幸的是那年我高二~            
(5星)	 最好看的一版封神榜，从此傅艺伟就是我心目中苏妲己的形象~~            
(4星)	 当年看的好害怕.            
(4星)	 妲己太美，哪吒太萌，故事太渗            
(5星)	 我们儿时美好的回忆啊。            
(5星)	 天道才是大道。允许女娲娘娘小心眼。帅哥多到爆棚，美人柔情无限。            
(5星)	 小时候看的，那时候的傅艺伟好漂亮哦            
(5星)	 儿时心中永远的经典！            
(4星)	 小时候看的时候，觉得妲己穿的好少哦哈哈哈            
(4星)	 傅藝偉演妲己~            
(5星)	 当年追着看的            
(3星)	 仅仅看过，印象很模糊。。。            
(4星)	 那时候觉得真不可思议！            
(4星)	 小时候放托梦的时候吓死我了。。。            
(3星)	 我去 那个妲己 真心狠啊            
(5星)	 天天和妈妈一起看，因为姜子牙像去世的外公            
(5星)	 对我的影响实在太大了，我的小时候记忆不是上海摊不是射雕神马的，是这部剧，姜爷爷太V5了            
(5星)	 半夜爬起来抱着黑白电视看            
(NA)	 美女屁股后面会长尾巴！            
(5星)	 最美妲己            
(5星)	 中国最棒的古装科幻神话剧：封神榜说第二，只有西游记敢说第一。两个经典电视剧现在翻拍、重拍的这两部都是想赚钱的和赚噱头的。强烈鄙视            
(5星)	 这才是 经典呀             
(NA)	 被吓到了            
(NA)	 很好看，没有一些乱七八糟的东西。            
(4星)	 小时候觉得这个狐狸好漂亮            
(4星)	 还不错。经典的故事            
(5星)	 那时候觉得片头曲刚上来好恐怖的！            
(4星)	 恐怖啊            
(4星)	 这也是记忆中的了吧。。。我森森的记得妲己引诱那啥王子的那段。。。傅艺伟真是美人啊。。。            
(4星)	 我自从开始研究他的武打动作一顿乱喷。。            
(3星)	 这个版真早            
(4星)	 我记得最深的就是那句&#34;大王&#34;            
(5星)	 小时候我喜欢它死了            
(4星)	 版本太多了！~~！~！~            
(5星)	 小时候按时坐在电视机前等待的电视剧，内妲己美得            
(3星)	 现在看服装什么的很雷~可是傅艺伟好美呀！！！            
(5星)	 那个时候就觉得傅艺伟好漂亮  还有就是那个随时都能够哼两句的  愿生命化作那个神话            
(3星)	 当年的经典，现在看有点。。。            
(4星)	 乔庄滚水坝边的暑假            
(4星)	 其实我们自己的电视剧也是很棒的,可生不逢时, 在那个港台剧盛行的年代            
(4星)	 有几集还是很恐怖的！比如比干被挖心肝啦，吃母亲的肉酱啦。后面打仗就好接受些了。对了，妲己很pp            
(NA)	 傅艺伟好漂亮            
(4星)	 最经典的封神榜，最美的妲己            
(4星)	 这个也是经典            
(5星)	 当年还在上小学的我是和爷爷一起看完的全剧，每天我和爷爷都会像小孩子一样准时地守在电视机旁等待着熟悉的片头曲响起。如今爷爷离开了我，但愿他也是封神榜中死后被封成神的人。我爱爷爷...            
(4星)	 妲己美女，伯邑考帅哥。            
(NA)	 只有封神榜新版旧版都接受都看了……            
(NA)	 回忆。            
(NA)	 为毛里面的造型让俺想到：摩登原始人但得妖娆能举动，取回长乐侍君王            
(4星)	 傅艺伟那个小妖精~~            
(4星)	 童年的美好回忆啊。那时候的制作怎么看着比现在的还强很多！            
(4星)	 小时候又爱看又恐惧            
(NA)	 小时候老脚的很黄很暴力= =            
(4星)	 小时候多喜欢啊。。。            
(5星)	 比新版的好多了。            
(3星)	 老版本了，傅艺伟演的妲己            
(3星)	 小时候看过，记得当时看妲己变狐妖那段还蒙上眼睛不敢看；现在看该剧早已谈而无味矣...不过也该算是国内早期的优秀剧作之一（同类型如：西游记、红楼梦等）            
(5星)	 傻兮兮的，傅艺伟真是大美女啊            
(5星)	 - - 好假的电视剧 但是很有爱哈哈哈            
(3星)	 小时候的回忆。            
(5星)	 真他娘的经典，马景涛的简直没法看            
(5星)	 当年超迷，每到珠江台播的时间就跟堂弟搬把小凳子坐在电视机前，全神贯注地看，唯恐错过了一个小细节，看完才长输一口气放松下来。觉得妲己很美。有时一些打斗场面还不敢看呢。N年后还有电视台重播，才发现片头曲是谭咏麟唱的！            
(5星)	 真好看            
(5星)	 妲已在我心里就是长这样了。真得很美呢，当时觉得这姐姐真美，只是为什么是坏人。经典剧。            
(3星)	 童年回忆            
(5星)	 想当年，边吃饭边看封神榜，一集都不肯落下啊~~童年的回忆！            
(5星)	 最爱看的一部封神榜。~            
(4星)	 现在还会唱主题曲            
(4星)	 这个版本真有爱。            
(5星)	 现在看起来也是很好很好的，同样这部电视剧，就这个名字，也是万难超越的，尽管那时候条件怎样的简陋，也比今天的电视剧要好看。            
(5星)	 每次电视台重播，都会看，那时候的人都是认认真真拍电视剧            
(4星)	 那            
(4星)	 烟火式的法术。            
(5星)	 让生命化做那朵莲花 功名利禄全抛下 让生命传诵神的逍遥 我辈只须独占潇洒 告别无休的征战告别不息的撕杀 让血泪化成一段神话～～一直觉得这片很高科技，很道风仙骨，很有古韵味，很神话～还有蓝天野的姜子牙            
(NA)	 那时候觉的妲己好漂亮呀~~~~            
(4星)	 小时候觉得他们衣服穿的好少哦~爱妃。。。            
(4星)	 其他版本都是扯淡！            
(4星)	 让生命化作一朵莲花            
(NA)	 每年暑假            
(NA)	 童年阴影之N            
(4星)	 有几个镜头吓到我了，童年阴影。            
(4星)	 童年的记忆            
(NA)	 傅艺伟真美            
(3星)	 傅艺伟美            
(5星)	 好神奇的哟            
(3星)	 神的传说            
(4星)	 傅艺伟怎一个美字了得。还有那个姬伯驿考，眉目如画，玉立如松。            
(3星)	 傅艺伟演的妲己好            
(NA)	 哈哈，是挺CULT！            
(4星)	 還記得比干掏出來的心。。            
(4星)	 妲己,真特么漂亮!!            
(3星)	 少年时的名著阅读,美丽的妲己            
(5星)	 经典啊，怀念！小时候觉得妲己好漂亮又好坏，演的真好。充满神话的故事情节很有趣。            
(3星)	 傅艺伟的眼睛            
(5星)	 小时候让我又爱又怕的电视剧。            
(5星)	 傅艺伟版的妲己是无法超越的            
(4星)	 小时候还觉得这片很色情……            
(3星)	 我家那里还有封神宫呢            
(5星)	 比现在拍的乱七八糟的强多了            
(3星)	 现在还记得雷震子的发型。            
(4星)	 好久好久以前            
(5星)	 经典啊~            
(4星)	 封神榜，榜榜榜，里面有个大王~            
(4星)	 炮烙估计是很多人的童年阴影吧=   =             
(4星)	 我只记住了挖眼睛            
(5星)	 其实很后现代            
(4星)	 很神奇的片子那一个裸露的- -不像是1990屠洪纲的歌曲也不错            
(5星)	 妲己姐姐好漂亮的，可惜是坏的~            
(4星)	 我特喜欢看狐狸精露出狐狸尾巴            
(4星)	 演员最有神韵...            
(5星)	 小时候的我认为傅艺伟才是美女。            
(5星)	 好吧，我承认我好色。傅艺伟演的妲己那么坏，咱还是光喜欢看她。            
(NA)	 一直觉得这部是很喜欢的，至少记忆中只这样的，那时天天盼着电视放，然后到了现在又看到了，原来很多东西就只能是停留在某处，不要随意的去翻动它            
(3星)	 小时候老喜欢看这个了= =            
(4星)	 我。。。。我喜欢的人是妲己！            
(5星)	 虽然那场景服装啊实在有点太希腊风了  但是妲己还美啊  最经典的版本了            
(4星)	 妲己真的是美翻了！            
(4星)	 小时候大人们都说这个狐狸精好看～            
(5星)	 太好看，也太神奇了，苏妲己真的很漂亮，而且我觉得当时拍得好大胆哦            
(4星)	 小时候看的            
(5星)	 依然是儿时回忆，尽管妲己没有范冰冰妖艳，但依然记得当年小心脏那个扑扑通通哇。片尾曲至今回味。            
(3星)	 看过点            
(NA)	 和我家系有关的电视剧。            
(5星)	 每个人的故事都是一个经典~~主题曲亦然~~            
(5星)	 当年最喜欢雷震子的造型，酷毙了。这版的姜子牙形象深入人心。服装很符合年代，露胳膊露大腿的。歌曲很赞            
(5星)	 其实我觉的这个版本在人物方面选的还不错··            
(4星)	 小时候的爱很喜欢前面的主题曲汤镇宗当时好帅            
(4星)	 1990年            
(4星)	 虽然妲己坏到死了，但还是觉得傅艺伟是很漂亮的            
(3星)	 周迅演小狐狸精~   《婆婆媳妇儿和小姑》的那个媳妇儿演妲己、算是很漂亮、但总觉得和我期待的妲己少了点妖媚~            
(3星)	 小时候的经典，现在已经看不下去了，最美的妲己            
(5星)	 小时候最爱啊~  漂亮的妲己·漂亮的哪吒~            
(5星)	 呵呵，记忆所能达到的最早的极限            
(3星)	 当年有些镜头把我吓着了            
(3星)	 小时候觉得太吓人了            
(5星)	 虽然特效很烂服装很雷，但这部就是给人一种无法超越的感觉            
(4星)	 喜欢傅艺伟            
(4星)	 夏威夷风情呐~~            
(5星)	 以前的女演员都好漂亮哦~小时候看只觉得哪吒好看，现在才懂得，那叫正太~~~童年过家家的参照物            
(3星)	 我咋都是对主题曲记忆深刻            
(5星)	 小时候看的老吓人了。。            
(3星)	 小时候看的都没啥印象了。。不过算蛮经典的名著改编国产电视剧了。。            
(NA)	 这部电视剧是被看完的            
(5星)	 经典！！我要雷震子的翅膀。。。。            
(4星)	 花开花落啊花开花落 悠悠岁月 长长滴歌～            
(4星)	 这可能是我最喜欢的国内电视剧了，很小的时候看了，印象深刻。演员很棒，服装很漂亮，可就是太短了，要是拍个百十来集就好了            
(5星)	 有史以来最美的妲己。            
(3星)	 让生命化作那朵莲花            
(4星)	 这个....就不摆了            
(4星)	 怀旧~            
(5星)	 最经典的妲己            
(5星)	 喜欢傅艺伟 还有儿时的《昨日晨风》            
(5星)	 五星是因为在当时的时代，它是无法超越的。神的传说，那首主题曲至今仍是经典            
(4星)	 当年很喜欢的一部电视剧。            
(3星)	 傅艺伟那时太漂亮咯            
(4星)	 在我心目中，只有傅艺伟才是妲己。            
(5星)	 两星给傅艺伟 其他三星全给哪吒！！^ ^            
(3星)	 儿时觉得很好看            
(4星)	 真真滴童年的回忆  我觉得纣王好老不帅              
(4星)	 暑假，牛奶            
(4星)	 经典之一，《三国演义》《西游记》....            
(NA)	 我小表妹长的超级像里面的妲己。。。。超级媚。。。他今年才八岁。。气质是天生的。。。            
(4星)	 当生命化作那朵莲花。。。            
(5星)	 哈哈 今天是经典老片的回忆吗            
(5星)	 这个版本的，我绝对看过五遍以上。            
(4星)	 傅艺伟超美艳的~她这个角色演得很经典            
(4星)	 挺好看，算是我看过的第一部奇幻类的影视作品吧。            
(3星)	 年代久远，所以画面感很不好            
(4星)	 小时喜欢的经典。            
