http://movie.douban.com/subject/4848097/	点解阿Sir系阿Sir 點解阿Sir係阿Sir
(2星)	 为了钟嘉欣看的，没有让我失望，这部戏很颠覆她以前的角色。不过除了她，整部剧都浮夸过头了            
(2星)	 不喜欢陈豪            
(2星)	 陈豪在里面太做作了，不过讲实话这个路子比较适合他（非黑……）            
(3星)	 陈豪很搞笑，杨怡是圣母，嘉欣大翻身，Ron打酱油            
(3星)	 有点。。。内个            
(4星)	 吴卓羲戏份也少了点吧            
(3星)	 .....结局不能在一起            
(3星)	 太过分了,连钟嘉欣都给配了马国明,却给我家吴生配路人!!!!!!!!!吴生说,不要说对不起,该说对不起的是我,因为喜欢上你却没能让你喜欢我,心碎一万次.Mb.            
(4星)	 豪怡配加吴卓羲~~~~~有诚意的说            
(4星)	 miss koo好可爱            
(3星)	 钟嘉欣在里面演的真好····            
(NA)	 接头时两个人永远都穿的让人一眼认出~哈哈            
(3星)	 这部剧剧情一般，罗sir （陈豪 ）在剧里很神经大条，有点神经质了~            
(3星)	 =3=            
(2星)	 我想知道，TVB怎么就堕落成今天这个样子。。。。。。            
(NA)	 happy ending啊            
(3星)	 剧情真的好混乱，好混乱！！！            
(3星)	 太吵了，，老大不小还装嫩。。。            
(NA)	 总觉得这部剧很雷人            
(3星)	 MO在里面好搞笑~有他的镜头我都会笑的~钟嘉欣在里面的角色MISS KU，蛮好的，有改观哦~挺讨厌LUOSIR这个角色的，很贱，不喜欢。。            
(3星)	None
(3星)	 最近在看的一部港剧。。。虽然剧情依然老套，但全当消遣呀。。。可以偶尔看看。。。            
(4星)	 中意啊！哈哈！看了开心！            
(2星)	 第一次看钟嘉欣觉得不讨厌，还蛮喜欢滴~~            
(4星)	 真的好有意义的说！~喜欢陈豪在片尾的解说！！K4也很可爱很赞哦！            
(3星)	 为什么我的看点永远是酱油！            
(2星)	 哎，港剧没落了，阵容很喜欢，但是很剧集失望            
(3星)	 校园题材再加上黑社会，怎么也不会难看到哪里去。不过看到后面越来越担心罗SIR要怎么收场了，不管怎样都深深的伤害了Carman。结局有些是为了圆满而刻意设置的感觉，觉得没有前面的内容精彩。钟嘉欣的这个角色真的是很讨喜。            
(3星)	 校园片真不好看，也没有我中意的演员。这样的情节居然拍30集之多，想不通。            
(5星)	 还是不错的~~~            
(2星)	 编剧有点二。。            
(3星)	 我觉得钟嘉欣要感谢Carman这个角色，没以前那么讨厌了            
(4星)	 你说你说。感情怎么可以用来利用。BUG的ending、            
(3星)	 讨厌绝对男主 不过学生戏还可以 编剧很讨厌 罗Sir很讨厌            
(4星)	 陈豪做喜剧真系都ok得            
(3星)	 洪爷是亮点            
(NA)	 太牵强的剧情设置。            
(1星)	 就凭罗SIR这种丧心病狂的卧底行为也能是警察所为，还好像解释得很合逻辑。这部就直接1星了。外加很吵，太他妈的抄的。陈豪一样是演浮夸，这部好讨人厌啊！            
(3星)	 我不喜欢钟嘉欣，但是我对古嘉岚很有好感，这个角色真的很让人心疼，其次喜欢的是蒋洪，黑社会老爸真的很萌啊，其余主角们都太浮夸，剧情无力。。            
(3星)	 唉……            
(4星)	 其实TVB的结局都某一定系皆大欢喜滴            
(4星)	 到最后不知编剧想表达什么了            
(3星)	 让人蛋疼的结局            
(3星)	 是我喜欢卡司。但是剧情太傻了。            
(NA)	 非常之失望，看到11集了，吴卓羲也露几次面，不追了！            
(4星)	 我多希望罗sir就这样和miss koo结婚... 然后和倪峰ceci四个人幸福地生活一辈子.... 5555555             
(NA)	 不可错过的阿RON            
(2星)	 无聊到爆.. 陈豪呢个形象一d都唔讨喜.. 睇5落去了            
(1星)	 一个做作的老师和一群 脑残孩子的故事。情节做作，表演夸张，看了一集后再也没有点下一集的冲动了。有钱拍这样的片，还真不如拿钱去洗碳！            
(5星)	 好看~！陈豪很搞笑啊~            
(1星)	 本来是冲着Ron看的，结果前半部罗乐林的戏份比Ron还多，我还以为他才是男二 囧。真tmd讨厌陈豪演的角色，要是真在现实，这种卧底早就被揪出来了，还想私下对程sir做点小动作，卧底就该太平点！钟嘉欣这次完全的眼前一亮，不仅变漂亮了，演技也不错！这几年的tvb剧是越来越不能看了！            
(5星)	 因为这部剧，开始关注吴卓羲~~~真的很为钟嘉欣的角色而感伤。感情无非就是被骗。            
(3星)	 男女主角太不招人待见了            
(3星)	 开始看有点浮夸、琐碎，没太多动力追下去，十多集后紧凑起来了，明白了导演就是要拍得这么夸张。            
(4星)	 钟嘉欣可怜死了            
(3星)	 居然中意冷冷冷到死的钟MM，我是不是有受虐倾向啊~~~~阑尾            
(3星)	 钟嘉欣的演技有了很大的提高呀，很突破            
(NA)	 虽说有卓少，但是还是很垃圾            
(3星)	 吴卓羲颜开始老了，555。每次看到陈豪那张脸，我就觉得好笑，这是为毛啊为毛啊，明明他长的很大叔。            
(NA)	 陈豪的演技又上了一个台阶，虽然这个角色很“贱格”，但他刻画的还是很生动的。            
(2星)	 不好看            
(1星)	 非常不好看！！！中途放弃了            
(3星)	 22集弃。虽然想冲着miss koo看完的，但是极品男主实在不能忍。。            
(3星)	 偶不稀饭陈豪大叔！！！            
(5星)	 陈豪确实比吴卓羲成熟            
(3星)	 么想到 最后 陈sir跟miss cool么在一起啊..            
(2星)	 看剧情发展吧，实在是，对港剧的信心是看一部少一点了= = 没看完，太难看了！            
(NA)	 短发Miss Ho很靓~~~            
(5星)	 喜欢，轻松快乐，继续看ing。。。结局两集没看。。。            
(3星)	 片尾曲里的两位狂帅！从不指望你是部好剧~烂尾。            
(3星)	 所谓主角到第7集才正式出现。。我去            
(3星)	 早已退却的教育热情在这片里又找到了。越来越喜欢陈豪。            
(3星)	 马国明客串了一小下哈            
(NA)	 從開頭就挑戰我的耐性，棄～～            
(3星)	 配音实在让能无奈。            
(4星)	 ok,之前有点无语，看到后面还挺好看的。不是一般的校园剧            
(3星)	 陈豪变顺眼可爱了好多，Ron却没那么帅了，还是真的剧情影响人的看法吖~~港劇總是虎頭蛇尾，最後弄個善有善報，惡有惡報，希望在明天就結束了。鈡嘉欣這次演的角色真讓人心痛~~~            
(5星)	 几好睇~哈哈!!!            
(2星)	 陈豪一直都是那么错其的。            
(4星)	 超搞笑，中段开始的悬疑部分蛮精彩，幸好该剧在中考前一个月结束，不用再牵挂，中考可以专心考了……个人认为6.3分不公平。            
(4星)	 快速看完~钟嘉欣果然不笑反而能让我有点好感，吴卓羲在里面帅的！最后一集新的开始新的希望，虽然有点小做作，但还是不错的~——2011.8.12            
(5星)	 无聊时睇几好啊……            
(3星)	 木有小胡子啊、、、            
(3星)	 坦白说看到中间很无聊，但最后几集看得我每集落泪啊！大爱钟嘉欣，很有突破！            
(3星)	 图个乐儿            
(4星)	 进兴的化学我不懂            
(4星)	 结局一般。            
(4星)	 看到carman的泪眼，听到她撕心裂肺地哭，心都碎了，但愿天下间的情侣永远不要有隐瞒和欺骗            
(3星)	 某RON童鞋，你这酱油打的。。。            
(3星)	 就27集好看= =            
(3星)	 tvb老了，不给力了！！！            
(1星)	 实在看不下去TVB年度最X大概要颁给这部了为什么是陈豪他现在还演这种剧唉            
(2星)	 看到17集，彻底弃了。这部戏除了钟嘉欣有所突破外一无是处，PS，她姐还不错。            
(3星)	 我的吴卓羲 羲羲哥 在里面他太武断了 我不喜欢             
(3星)	 不是吴卓羲,应该不会看吧.很反感剧中的陈豪            
(1星)	 第一集就无聊死我了            
(NA)	 陈豪演技越来越浮啊。。。假到一个不行 完全还在公主嫁到咩            
(3星)	 我不喜欢这里的陈豪 有点做作 Linda和杨怡 阿Ron 这种卡司必须看的 可惜剧情不给力 看到后面有点厌了            
(5星)	 后头马国明册来真额四特惊喜了~哈哈哈            
(NA)	 成出戏好gag=O=            
(4星)	 30集完~            
(3星)	 不知从第几集开始，我突然发现还是值得追下去的            
(3星)	 30集有点拖，钟嘉欣好惨，哭戏演的不错.最后还是有希望的            
(NA)	 陈豪，你不耍宝的时候其实很可爱，耍过极限就不行了。你真的不是Bosco的年纪，更没有佘诗曼那种天生的喜感。            
(3星)	 哇 要不要介样呢 学霓虹拍搞笑热血剧 不适合啊 还是宫斗啊 破案啊 金融啊比较适合捏            
(3星)	 说垃圾的人都听不懂粤语吧，桥段是老了点，但陈豪够搞笑啊，            
(3星)	 开始剧情挺搞笑的,特别是陈豪演的那个罗SIR,谁能想到他后来竟然当了警察的卧底呢?结尾的三集都太拖拉了,有总草草收尾的感觉,总的来说还是不错的.            
(3星)	 难得有一部我竟然完全唔讨厌钟嘉欣，仲有D中意她~~~演这样的就好不要老演那种弱智的            
(4星)	 新鲜~            
(3星)	 看完这部戏，觉得剧情有点肥皂剧，比较拖沓，一般般。            
(2星)	 看不下去了...            
(3星)	 额 不太喜欢陈豪在里面的角色额 还是希望和miss cool一起  其实感情最好的还是ceci和charles 唉 可惜啊   马国明出来打了个酱油。。            
(3星)	 很多人都看不下去啊，但我现在还能接受            
(2星)	 拜托，不需要那么弱智吧？？？            
(3星)	 陈豪不过不失，杨怡中规中矩，吴卓羲一贯耍帅，钟嘉欣是个亮点~            
(2星)	 超级没意思，嗷比你可千万别看，看在这电视剧陪我画图的份上，我才给两星的~            
(2星)	None
(3星)	 最终看不下去了，弃剧            
(3星)	 如果结局能尽人意就好了，莫非想拍续集？27集看着最惊心动魄，最纠结！            
(2星)	 最后一集两集的还算有点 点            
(3星)	 倒数第几集，罗sir写信（遗书）那集还值得一看            
(2星)	 神马东西 一集果断弃之 TVB敢不敢表再这样下去了            
(1星)	 无聊死了            
(3星)	 这部电视剧我全是冲着吴卓羲来的！！！已经很久没在tvb上看到他了!!但是到第五集还没出现，等死我啦！！关键这电视剧纯粹打发时间，没看下去的欲望！！哎!!我该继续追下去去看吴卓羲吗？ps：吴卓羲与钟嘉欣的首次合作还是很新奇滴！！            
(4星)	 挚爱杨怡的短发，但角色最爱misscool，当然少不了宅男莫泽基朱敏瀚            
(3星)	 輕鬆劇種 才發現是教育電視羅樂林好正！還有喜歡陳豪和蔣志光刻意的情侶裝結果究竟是想怎樣            
(3星)	 阿ron是唯一看点，无奈剧情实在太烂~            
(2星)	 没看完，确实浮夸做作。            
(NA)	 看了四集，感觉还不错啊~！            
(2星)	 无聊            
(4星)	 结局太仓促，反倒结局前几集不错。。            
(3星)	 看卡司就没兴趣了= =而且虽然不喜欢钟嘉欣，但Carman真的太可怜了，最后的结局神马玩意儿啊= =编剧去吃shi好了！            
(NA)	 期待杨怡和陈豪~刚开始看陈豪的位置较吴卓羲还是比较靠前的啊，杨怡则和钟嘉欣并列。唉，落寞了。            
(4星)	 想看吴卓羲来着～            
(NA)	 差！            
(3星)	 不好看~如果没有夹心我肯定是给两星。。            
(3星)	None
(3星)	 最后一集有国明哥哥~~~            
(3星)	 一開始有被豪哥驚嚇到了。真的 ！| 雖說有那麼點爛，但我覺得還是有可看的地方 ，關於社會、教育什麽的~            
(3星)	 为band 3的学生加多一星好了            
(3星)	 演员都是喜欢的，剧情不吸人，跳着乱看的。            
(3星)	 ED的陈豪超级帅啊，哈哈哈！！！            
(3星)	None
(3星)	 还蛮搞笑的，这个感情纠结太狗血了。            
(3星)	 我只能说 无聊时的好消遣 但是钟嘉欣在里面好美丽 好喜欢            
(3星)	 吵死个人。。。刘家豪的剧越来越难看了。。看一集就弃了            
(NA)	 弃。            
(3星)	 看了17集，没兴致看了            
(4星)	 好看            
(4星)	 只能说我不喜欢这样的结局            
(3星)	 Miss cool那part比较好看，Charles，Ceci，Carmen，阿华的对手戏好看，Ron就是来配戏的，杨怡没出彩的地方。Miss cool已然成为上半年我的女喜，紧接姜羌            
(2星)	 这部片子就是个大BUG啊，编剧搞得校园剧像伦理剧，三角恋里的罗SIR太贱，陈豪演技太浮夸，吴卓羲就是个骗收视的大龙套，剧情不连贯倍感跳脱，无奈了啊！            
(4星)	 结局还不错吧~~miss cool应该多拍点的...这部剧唯一的亮点了 杨怡一开始不错 后来也有点炮灰了....如果miss cool和miss ho在一起 那多好~~            
(NA)	 点解拍成咁样。。。陈豪啊我的天啊这是神马东西啊。。。            
(3星)	 虽然卧底有点假不过校园生活真的好美好好怀念，在我大学毕业前。            
(3星)	 马国明最后一集点睛之笔啊啊 他直接从女拳剧场杀过来的吧头发囧。            
(3星)	 看不来，真心不喜欢杨怡短发，最后马明出场小惊艳了一下            
(NA)	 终于等来羲羲了            
(3星)	 看到最后突然觉得还是很不错的，满脑子都在飘春风化雨四个字，囧ing，马明出场顿时萌倒我了，一贯大团圆解决，我也一贯的泪奔了。            
(3星)	 绝对是冲着陈豪和吴卓羲去的            
(3星)	 还好！！！            
(3星)	 看到后面越来越好看            
(2星)	 越来越受不了陈豪耍宝。            
(3星)	 以极快的速度看了5集，超级无聊，弃之            
(3星)	 好無聊啊，浪費了吳卓羲！            
(3星)	 夹心= =+++多少人赞 我还是= =+++            
(4星)	 后期部分虐了点，其他都和一般的校园题材剧大同小异，孩子们最终被感化，然后在XX比赛中拿到优异成绩，但还是会感动！话说不能怪罗sir，人家情非得已，我只喜欢我的Miss Koo，程文力就是打酱油的~不过这部剧大家演技都有进步~尤其是钟MM，马国明这个大客串好帅啊~            
(4星)	 &gt;_&lt; 阿mou好浮夸~~~~            
(4星)	 越看越有味的剧，结局实在是！哎……不舒服。马国明的酱油不错，和钟嘉欣挺配。罗sir同miss ho到底！点算！！！            
(3星)	 前面好傻，后面好正经。。反差真大~            
(3星)	 2集 弃 演员不坏 内容实在不敢恭维            
(4星)	 好陳舊的故事tvb的劇情來去都差不多            
(3星)	 陈豪演的表情也太夸张了，觉得不容易看下去，要不是配角还行，真的看不下去了。            
(3星)	 不能因为害怕付出没有回报,就不付出            
(3星)	 酱油仔继续打着酱油...编剧你敢把结局写得再无趣一点嘛...            
(3星)	 终于可以甩掉最近的鸡肋剧了~~            
(NA)	 看到后来 有点看不下去            
(3星)	 非常的不喜欢里面的人的性格，尤其是主角两个= = 所以看的一路很火大            
(1星)	 从第一集开始就看不进去。年度最差剧本            
(NA)	 最强阵容!!!            
(3星)	 Ron就一打酱油的好不好 Miss Ho跟程sir才比较配嘛            
(3星)	 雖然小鬍子陳豪和小帥哥吳卓羲我都很喜歡~可是這種題材還真是撐不下去丫。。。            
(3星)	 除了男一号，另外三个都很喜欢！！为什么老有陈豪这个丑人来玷污整部戏~  晕死~  好丑啊~  美女与野兽。。            
(NA)	 哎。。            
(2星)	 看不下去            
(NA)	 麻痹这狗屎结局都不知道在说什么枉我熬夜看完！！            
(3星)	 太挫了。            
(NA)	 吴Ron你就是个打酱油的 你说你哪部戏圆满了            
(3星)	 终于让我对钟嘉欣改观了。觉得有必要把弃下的囧探看下。            
(3星)	 阿Mo             
(3星)	 我真的失望的要死。要不是MO 杨怡 RON和钟嘉欣这些老戏骨我真的看不下去了。。。123集真的无聊到暴 56还不错 对不起我又追新剧了……            
(4星)	 陈豪在后面的歌曲很好听            
(3星)	 反正不喜欢罗sir 也不喜欢Miss ho！            
(3星)	 真的好难看~~还好我只是看打酱油的吴卓羲！！！而已。。            
(3星)	 我能不能忽略陈豪......            
(3星)	 如果最后罗sir是和夹心在一起我就多给一颗心...可惜不是...            
(3星)	 阿RON被酱油了...看的是程sir剪辑版 所以也算爽了 可是这样的故事编排 这样的配对 这样的屡次被拒绝外加身心受挫 不过瘾啊不过瘾 !!!开始觉得夹心不错了~~            
(4星)	 最后一集的结局也太他妈的CCTV了吧，毁了整部剧。。。。            
(3星)	 这片子拍20集差不多了，虽然还不错。陈豪真是太搞了，为什么每次他和上头接头的时候一定要穿情侣装呢，马国明为什么总是会在最后时刻出现呢。我其实还是觉得罗sir还是当差的好嘛。PS：中间穿插的普通话真是汗。Miss Ko的姐夫对她姐还真是没话说，虽然他是黑社会的。            
(3星)	 真的很搞笑，哈哈哈。            
(4星)	 陈豪我还是挺喜欢的，但是这种为了破案做卧底而欺骗感情的手段我也不敢苟同。。。            
(2星)	 片尾曲里的吴同学太帅了！！！看到15.5看不下去了。。。比心花放还假            
(3星)	 毛啊大烂咖...看了30集啊....就为了看一分钟马明的客串嘛！！！！！！！！贱男圣母大乱斗啊...Miss Cool好惨啊...大烂咖！！！！！！大烂咖！！！！！！            
(3星)	 前面20集都不错。。。自从四角关系纠缠不清后大打折扣。我的linda她太可怜了。杨怡我想看你演金玲而不是三好。。。你懂吗？？？            
(NA)	 夹心妹妹你赢了！！            
(3星)	 陈豪嘅白色紧身裤,杨怡嘅发型同短裤,钟嘉欣嘅发型睇到我非常纠结.            
(3星)	 片尾竟然有马明客串.同Linda一起,有点惊喜.            
(1星)	 没有最差只有更差，越看后面越恶心，19弃~！当初看就是个错误！！！！            
