http://movie.douban.com/subject/2248757/	铁齿铜牙纪晓岚
(NA)	 话说我都看全了            
(3星)	 那会真是什么台都在播……            
(5星)	 初中晚饭后的节目，每天的节目，那样有规律            
(5星)	 喜欢张国立演的纪晓岚~~~            
(3星)	 不记得了= =只记得一还行，越往后越腻歪……只能冲着王刚走……            
(3星)	 我喜欢和珅            
(NA)	 外婆的最爱            
(3星)	 谁说书生百无一用            
(4星)	 只评一部好了，故事挺精彩，但拍多了就会像康熙私访一样臭掉了。            
(4星)	 奶奶最喜欢看            
(4星)	 我打吊针陪了我2个月的电视剧            
(4星)	 一部不如一部            
(4星)	 没看全            
(4星)	 早年看的了……就记得是纪晓岚的事……            
(4星)	 这个挺好看的            
(4星)	 我很喜欢看！            
(5星)	 看纪晓岚和和珅斗，其乐无穷啊…            
(5星)	 很有意思类            
(5星)	 铁三角            
(NA)	 爸爸很喜欢看的电视剧            
(2星)	 情节有些白痴，一代才子居然变成了一个烟鬼。            
(5星)	 第一部其实很不错丫            
(NA)	 不一般 喜欢            
(4星)	 老无语的            
(4星)	 当初看时觉得还不错，现在想想有够YY            
(5星)	 有点想买和纪生财那对摇头娃娃了            
(4星)	 不错哦            
(3星)	 还不错呢            
(4星)	 喜欢            
(4星)	 不喜欢张铁林            
(4星)	 爽快~~~            
(5星)	 陪妈妈看的时候，喜欢上啦~            
(3星)	 还行            
(2星)	 = =！            
(3星)	 喜欢结尾曲            
(4星)	 和珅和纪晓岚的斗嘴啊 很不错啊            
(NA)	 一部骂人不带脏字的片子            
(3星)	 戏说戏说            
(4星)	 热热闹闹的，打发时间很好用            
(NA)	 干爹的经典            
(NA)	 斗智斗勇，很过瘾            
(NA)	 搞笑却又智慧 哈哈            
(2星)	 么感觉。。。。            
(5星)	 诞生了传说中的铁三角。邹静之的剧本很精彩。            
(NA)	 还好            
(4星)	 铁林皇帝还是有自己的特色。。。            
(NA)	 铁三角作品～～XD～            
(3星)	 一般般            
(NA)	 铁齿铜牙纪晓岚            
(3星)	 挺搞笑的！            
(4星)	 喜欢小月姑娘            
(3星)	 老妈最爱看的            
(4星)	 张国立终于不当皇上，改当大臣了。            
(3星)	 也是跟爸爸一起看的            
(4星)	 不错不错……            
(NA)	 还行            
(3星)	 一般            
(5星)	 轻松搞笑而不失深度.可爱的三个人...还有清澈的音乐...            
(NA)	 喜欢            
