http://movie.douban.com/subject/2138507/	奋斗
(5星)	 我最爱的电视剧，看了好多遍            
(4星)	 反应了一部比较真实的80后的电视剧。里面无数的经典台词。里面的米莱与夏琳。喜欢上文章。            
(5星)	 哈哈O(∩_∩)O哈哈哈~台詞好玩            
(NA)	 很舒服，尤其是对白，很给力，就像渴了后有杯冰可乐的FEEL            
(3星)	 一开始在通辽电视台看完了 距正式播出早了一年 于是在热炒的时候没看 自然没赶上奋斗的热潮 对米莱无爱立领也太猥琐了吧 喜爱向南+v+            
(2星)	 一部贫嘴剧，一部富二代荒唐史，一个从没有体验过走投无路的人，却声称自己是在奋斗。一个问亲爹不叫爹，问养父也不叫爹的人，号称代表80后，难道天下的80后全都无情无义？我不知道这部片子到底代表了谁，反正不是沉默的大多数。。。            
(3星)	 他们说我像陆涛…好像是个偏贬义的评价噢…            
(NA)	 向南是榜样啊            
(2星)	 我就不骂了，实际看着剧之前我一直认为李小璐是最大的明星            
(4星)	 腔调不错            
(3星)	 我就爱他们贫            
(5星)	 青春的标杆~~ 他不是偶像剧~~~~~~青春 梦想 爱情 励志 未来 奋斗            
(4星)	 赞            
(4星)	 苏小明演得太好了, 尤其是对着灯看钱的真假那块儿XD            
(1星)	 何为奋斗，富二代台球喝酒换夜生活来换去地没工作叫奋斗，靠            
(1星)	 亲爹是地产商，养父是国土局，靠！奋根毛啊？            
(NA)	 不觉得哪里特别好看经典了除了抬杠呛人的对白            
(4星)	 米莱那样的我只能说太电视剧了但是 马伊俐，我还是蛮喜欢这样的女孩的            
(NA)	 你家建筑读四年。你亲爹房地产商，养父规划局领导，你丫还从那儿装逼着忧伤！            
(5星)	 曾经很迷恋··            
(4星)	 虽然名字叫奋斗，但是整部剧里面，没有几个人是真正奋斗的，别样的奋斗。            
(NA)	 哪里奋斗了            
(4星)	 我喜欢华子            
(1星)	 这狗男女一见面就很在一起了还看毛啊    典型的装逼片供人意淫            
(3星)	 我一直觉得很普通 很普通阿            
(NA)	 奋斗中。            
(4星)	 还是能引发对自己人生的思考的。毕竟符合年轻人的口味。            
(4星)	 不是讲人生的，只是讲爱情的。实属文不对题型命题作文。            
(4星)	 高中时的最爱            
(3星)	 它的题目和内容把一部本应很好看的爱情片弄得如此媚俗。            
(5星)	 就算做作 就是土逼 也是好的            
(5星)	 对我来讲就是每年必定重温几次的好片            
(4星)	 真的要奋斗            
(5星)	 米莱，男人心中的完美。欣赏这种爱就无私的付出。每个人都奋斗着，为了梦想，有的人破碎了，有的人流失在社会的洪流中。而有些人，苦苦挣扎着，为了最初的梦想。            
(NA)	 台词很好            
(5星)	 经典            
(4星)	 喜欢米莱是必然！            
(NA)	 一遍遍，才能解决一堆惑，一堆年岁的惑。            
(4星)	 还是不错滴            
(2星)	 没人奋斗            
(4星)	 大陆最值得一看的电视剧。            
(4星)	 就是去看下王珞丹的，没看出奋斗在哪里？            
(NA)	 真实写照啊   看着看着就产生共鸣了。。他们讲的话太好听了            
(NA)	 那些属于80后的青春与梦想            
(4星)	 挺贫挺逗乐的。            
(NA)	 米莱            
(NA)	 我喜欢这里的每一个人             
(5星)	 喜欢的、、            
(4星)	 当时看还是不错的，我觉得这是打着青春励志的幌子的爱情片，令我印象深刻的是杨晓芸和向南那段爱情。最喜欢华子和向南            
(4星)	 各种富二代            
(5星)	 神经兮兮的吐槽剧            
(3星)	  为了扯淡而扯淡！            
(5星)	 很喜欢            
(5星)	 看豆瓣装B的伪文青评论——大陆剧就是矫情，给一颗星，虽然我没看过            
(5星)	 奋斗，除了陆涛的身世极其胡扯，其他我都爱            
(3星)	 激昂贫嘴的生活！            
(4星)	 捧红了那么多人……            
(3星)	 就因为先有米莱的，我就是喜欢不起来陆涛和夏琳            
(3星)	 陆涛这个傻逼            
(5星)	 我就他妈要打五星，谁都别拦着            
(NA)	 不错            
(4星)	       如果天真还有幻想，就看看这个。使我们怀念我们曾经幻想的生活。            
(5星)	 我很焦虑，非常焦虑！            
(3星)	   很贴近生活~ 说话很幽默~            
(4星)	 每个人都有那么个梦想。也许很艺术很有想法 也许很微小 世界这么大 谁离了谁不是活 就是觉得少了什么。奋斗到最后是什么 为了什么。没有目标的人就像行尸走肉一样可怕 无论是在哪里、            
(5星)	 奋斗吧            
(5星)	 我认为，这是我看过的真实的青春励志片~            
(2星)	 这片子讲的是奋斗？真的是奋斗？            
(4星)	 看了两遍。第二遍是看了《蜗居》后为重拾生活信心而看的            
(4星)	 米莱有毛好的 我就要马伊琍。。。            
(4星)	 几年前，非常喜欢，其中包括着对爱情的向往，为事业、家庭而奋斗，每一家都有每一家的生活方式，从底层，小市民，白领，到高层，描写的很详细，演员的演技也非常好            
(3星)	 没有看完，这不是真实的生活，谁的家庭能给你们这么多呢。就是现实中充满理想的年轻人在忙碌的没有任何收获的一天工作过后寻找的一丝安慰罢了。            
(4星)	 奋斗吧            
(2星)	 一群人成长的的故事，原本是想这么写，但是随着剧情的深入，这就变味了，不再是当初想象的样子了。            
(3星)	 太扯了            
(5星)	 石康老师最好的作品还是晃晃悠悠和在一起            
(5星)	 5分全给的台词            
(4星)	 其实没有觉得特好看,但是觉得看了心情好=]            
(4星)	 我愿意等待 只为做伱的米莱            
(3星)	 纯粹冲着王珞丹去看的            
(3星)	 没看出来他们怎么奋斗了            
(3星)	 喜欢华子的潇洒与大气。            
(5星)	 相对来说，还是比较接近现实生活。            
(4星)	 放假没事又看了一遍终于从硬盘里删掉了。            
(4星)	 每个人都很贫 也就没意思了 喜欢华子 其他人全是做梦呢 哪见你们奋斗过了            
(5星)	 多好阿这些演员            
(4星)	 那会儿确实挺爱看的            
(2星)	 什么都有了 最后说我要的不是这个 真汗！！            
(3星)	 其实可以给四星，但里面的陆涛和夏琳实在太让我反胃了~~            
(4星)	 也是80后回忆之一            
(3星)	 也许有很多道理 也许会给人些启示~但一定要助长小三之风么？难道还没到那个岁数没理解？太浮夸~            
(3星)	 总觉得没有舆论认为的好            
(5星)	 不管别人怎么说 自己喜欢就够啦            
(5星)	 喜欢夏琳和陆涛 敢爱敢恨 怒放的青春            
(2星)	 奋斗里没看出几个真奋斗的。。。            
(4星)	 虽然很假，但是很舒服            
(5星)	 搞笑死了            
(1星)	 没啥可看的，看过一遍除了YY的女子发现生活作风都不检点，并且没机会后直接降到2星。另外到一星的原因是有人竟然拿着破玩意当生活模板，可怜的孩子啊，家里没镜子就去公共厕所照照 啊。您的脸也许像屁股，但绝对不和人的脸一样            
(2星)	 哈哈，你为神马打分那么低啊，我也只是嫌弃它穷得瑟+废话多而已            
(1星)	 真是没觉得他们有多奋斗。            
(3星)	 除了编剧扯淡外就剩下煽情了            
(3星)	 就会耍贫嘴，还能有什么有价值的，那些奋斗的故事虚妄到如此地步，何处有奋斗精神体现？有钱公子哥玩呢            
(5星)	 马伊琍怎么可以这么瘦？？？@！！！            
(3星)	 看这部剧个人因素比较多            
(4星)	 还挺有意思的            
(4星)	 音乐选的蛮靠谱            
(4星)	 有这种朋友圈子真是太完美了            
(3星)	 这么前途一帆风顺的人。。。还没有华子好，我喜欢米莱，王珞丹            
(3星)	 我爱米莱  讨厌夏琳            
(3星)	 这里除了米莱和向南两个让我喜欢的角色，其他的都让人觉得恶心。夏琳惺惺作态，抢了好朋友的男朋友还假装多么对不起。陆涛更王八蛋，把别人努力维护的感情一竿子打死。一群禽兽在一起讨论怎么发财，呸。            
(4星)	 贫嘴 不靠谱            
(4星)	 觉得挺励志的~            
(4星)	 2            
(2星)	 F++k you，Jason。            
(3星)	 我想你们了！！！            
(1星)	 凭什么演俺们80后的故事？            
(5星)	 大爱            
(4星)	 其实   这些只是人生的一小部分。            
(4星)	 是这部电视剧让80后彻底火了一把。不过说到底还是只有华子一人在奋斗而已。            
(4星)	 光看他们用京片子互相埋汰就值4颗星啦            
(NA)	 相声电视剧            
(4星)	 当时疯狂的书都偷偷买来看了。            
(5星)	 对米莱很有感觉            
(3星)	 除却台词和人设空无一物，情节从逻辑上根本站不住脚。励志你个锤子啊！早打出爱情片的旗号不就没人喷了。            
(4星)	 喜欢华子，最喜欢的姑娘是露露            
(2星)	 什麼破玩意，我看完是需要多麼大毅力！            
(4星)	 不是你的夏琳，更不是你的米莱。            
(1星)	 不得不说 让人恶心的电视剧 女朋友换来换去             
(3星)	 死了就永远休息了 活着就得折腾折腾...            
(4星)	 三个女人里，最不喜欢的是杨晓芸，她谁都不爱，但却想找一个只爱她、对她百依百顺的人；夏琳，一开始挺喜欢的，后来就觉得她那股子清高劲儿太过了点，太作；还是米莱好，想什么是什么，大大咧咧，但她感情其实很细腻，而且很懂事，什么事情该做什么事情不该做，她心里都透透儿的            
(NA)	 我也要一个loft            
(5星)	 五星给奋斗里面华丽的京城 让我禁不住想家            
(4星)	 台词很好。但是不喜欢其中任何一个角色。也许这就是青春，倔强，因为知道输得起            
(5星)	 就是喜欢，没有理由。            
(5星)	 最爱            
(3星)	 能不看吗？电视上狂轰滥炸！            
(NA)	 曾经我觉得我就是夏林。            
(5星)	 轰轰烈烈爱过一场 疯过一次 只是结局到底会怎么样呢？生活还在继续            
(3星)	 奋斗有点矫情了            
(5星)	 多少年来就完整看了这一部电视剧。            
(5星)	 我喜欢里面的音乐            
(2星)	 实在看不下去，没看完            
(4星)	 看完这部片子，我想起青峰在小巨蛋演唱会上说的那番话，如果你不想成为你的长辈所期望的样子或是这个社会所期望的样子，那么你就必须为自己的理想勇敢地站出来，温柔地，推翻整个世界。            
(5星)	 经典之作            
(5星)	 其实很经典  而且我觉得演员们都演的很棒             
(4星)	 多经典，星光璀璨的，看得还乐呵            
(3星)	 完全是冲着小灵珊去的            
(4星)	 以前喜欢米莱，但是因为《左边》这首歌现在十分讨厌她。            
(NA)	 青春需要金钱来垫底。            
(4星)	 ：）            
(4星)	 囊卡有点假            
(4星)	 还行吧。。            
(5星)	 很喜欢奋斗这种题材            
(5星)	 好演员，好励志，喜欢这群好演员。那个年纪看得满腔热血，虽然故事脱离了实践操作性。            
(3星)	 领证那集有意思。片头曲不错。            
(4星)	 台词            
(5星)	 就是很喜欢。            
(1星)	 不知道如何评价，片中的男女猪脚都充满了孩子气，似乎没有理智的存在。            
(3星)	 情节好扯，戏剧性太强了些，不过也因此有了悬念和“好看”的可能。好多是在清华拍的~最近好喜欢文章啊~喜欢米莱和华子，其他一般，极其不喜欢陆涛和夏琳，还能再做作点么……？            
(4星)	 看曦娃子花痴米莱...我就跟着无聊的看了...            
(4星)	 主题曲不错            
(5星)	 我们这一代的记忆            
(4星)	 里面的人物都很经典            
(3星)	 至今不明白。            
(3星)	 总觉得好几年前就看过了            
(4星)	 不切实际            
(4星)	 教你玩转LOFT富爸爸，穷爸爸            
(5星)	 熊猫吧呷            
(3星)	 一点都你妈的不奋斗            
(NA)	 佟大为很爱说话            
(2星)	 看一下，否则就OUT了            
(4星)	 挺逗            
(3星)	 对于普通人来说，其实是不太现实的奋斗……里面的京味儿没有石康写的浓，还是推荐看书吧，虽然都一样一样的……            
(5星)	 玩勺子把去！！            
(4星)	 略假略矫情，但给了人希望。            
(5星)	 经典，不解释            
(NA)	 幽默诙谐            
(4星)	 夏琳            
(NA)	 就这样的青春~~~什么都是夸啊~            
(3星)	 说是《奋斗》从头到底没“奋斗”啥事儿，讲的就是一帮70后演80后的爱情。男主人公是一个夜郎自大，专靠女人还极其不孝的流氓，简直禽兽不如。但是导演还对这样的为人和价值观大加褒奖，使片中无论谁都对陆涛奉若神明，难道现在的社会已经那么扭曲？            
(5星)	 我喜欢华子            
(4星)	 好看，很真实的电视剧            
(5星)	 ……片名起的真低調            
(5星)	 喂，说的就是你。整天抽中南海，一遍一遍看奋斗，有意思吗你？想起奋斗，就想起那时和兄弟几个天天在家喝酒发呆的日子            
(4星)	 要的是concept of life,              
(5星)	 大为而来            
(3星)	 一逼的烦男女猪            
(NA)	 呸呸呸            
(5星)	 是不是里面的主人公太理想化了，生活好让人羡慕            
(4星)	 红了米莱成全了马伊琍和文章             
(4星)	 就是太虚了            
(4星)	 也看了好多遍了，感觉讲的就是我们这帮孩子的事儿，很多地方都感同身受~喜欢米莱，一直在诅咒陆涛和夏琳，但人家还是在一块了……没劲！            
(5星)	 由此爱上王珞丹            
(4星)	 看一遍还行，不能多想。            
(NA)	 这是我最喜欢的一部电视剧 唯一一部 我爱里面的向南 陆涛 米莱 夏琳 爱他们每一个人 爱他们的生活方式 爱他们对生活的态度            
(3星)	 3.5，无聊暑假的消遣。还是有一定思考价值的。            
(3星)	 没见主角怎么奋斗            
(3星)	 半            
(5星)	 喜欢 百看不厌            
(2星)	 都很恶心            
(4星)	 我的米莱小姐              
(NA)	 爱更多的是坚守 因为是我们选择了拿起            
(4星)	 虽然没有太多的励志剧情 但经典台词我们都记得             
(5星)	 我有书……            
(3星)	 就是有点异想天开            
(5星)	 给力！            
(4星)	 喜欢            
(4星)	 没见到所谓的奋斗.            
(3星)	 整部剧的人都很不生活化，看看就算了，对编剧相当无好感            
(5星)	 对我的影响太大了。            
(5星)	 挺青春。挺快乐。挺养眼。足够！            
(NA)	 就是男人的yy之作            
(1星)	 这片红的惊悚，但基本没法看，陆涛凭什么牛逼？            
(5星)	 人生总是充满奋斗血泪史的。。。。我想说。。。我欣赏米莱。就是这样。            
(5星)	 兄弟一辈子的情谊！            
(5星)	 记住了米莱，记住了王珞丹。米莱在酒吧唱的那首左边，听的让我心疼。是呀~我等你，等你，等你，你没结婚了，我等你，结婚了，我也等你，我等你等你，等死你！            
(3星)	 其实，我也曾“奋斗”过...            
(5星)	 奋斗啊！经典中的经典啊~~~~~台词太牛了            
(5星)	 很给力 让我爱上了文章            
(4星)	 总之我觉得是成功的大陆剧            
(3星)	 喜欢华子            
(4星)	 还不错的说            
(4星)	 的确反映出了一些现在的社会现状。            
(4星)	 米莱的爱情态度不可取；里面的爱情模式都挺典型的，很多人都能找到自己的影子；对白也比较有趣儿；但赵宝刚后面几部电视剧一直都是这个风格，看多了就感觉净在耍嘴皮子，没什么新鲜感了。            
(2星)	 我没有看见 奋斗。            
(5星)	 当时很喜欢~            
(4星)	 有一部分有共鸣            
(4星)	 很多经典台词  我等你等你 等死你！            
(3星)	 主要是为了米莱。其他的 般般吧。陆同学就算了 忒夸张。            
(2星)	 看了3集，确实看不下去了            
(5星)	 我爱米莱。。。不喜欢夏琳。。这个电视是告诉我们再倔强的女人都离不开男人吗？？？            
(4星)	 感觉片中真正奋斗的只有华仔，其次是出了一种爱叫米莱。总之，为永远的80后~            
(NA)	 爱情——一次寻求“对等“”同类“的长途跋涉 不知道目的地在哪一天遇到            
(3星)	 看在华子的面儿上            
(2星)	 台词搞笑！            
(5星)	 现代剧中算是很顶尖的了，虽然有点激烈了，但是还是很真是的反映吧～另外我挺喜欢瑶瑶的～嘿嘿            
(NA)	 里面有奋斗的 也有不需要奋斗的...            
(3星)	 看不下去，不觉得哪儿好            
(NA)	 跟现实严重脱节            
(4星)	 就是喜欢夏琳，什么时候我喜欢也要抢来，该有多少呢            
(4星)	 总有人说这部剧很假，可这是一部连续剧，本来就不是生活。只要你怀有梦想，被这部剧激励了，那就可以了。奋斗的剧情早已记不清，可有一句话却时时刻刻回响在耳边：我必须去奋斗，一刻都不能等。            
(5星)	 少有的看过并且喜欢的电视剧            
(5星)	 很给力，很喜欢向南            
(3星)	 主要太不要看男主角了            
(4星)	 别矫情            
(4星)	 这个大家都知道，也就不说了            
(4星)	 喜欢陆涛的养父，心疼米莱，讨厌夏琳。            
(NA)	 高中的时候看了好几遍，特别喜欢里边的北京腔。我喜欢杨晓芸和向南            
(4星)	 剧本经典 演员漂亮            
(5星)	 关于这部片子到底励不励志，理不理智先不提。我是有多么喜欢米莱，杨晓芸和向南。            
(3星)	 不想再看第二遍 打发时间            
(4星)	 我喜欢他们北方人的斗嘴耍贫 南方人只有羡慕的份儿了            
(3星)	 太多话唠了。只是不喜欢！            
(4星)	 心碎乌托邦……            
(5星)	 你别说不经典。。            
(3星)	 怎样才是奋斗，有一个富翁的老爸，一个有权的继爸，一个有钱又对他好的前女友。这就是？奋斗？贴上80后。            
(5星)	 赵宝刚新一轮给力的开始……            
(5星)	 给在进入拼搏期之前的我的内心一次格外奇妙且热烈的感动和代入。            
(5星)	 觉得还是挺好看 、现实呐 。            
(5星)	 上大学的时候看的，我们的青春我们的奋斗~            
(4星)	 李小璐和文章吵架的部分很好笑            
(4星)	 认识王络丹并且喜欢上他，这是一部讲述青春和奋斗的故事，是我们的写照吧...生活中总是会有类似的人出现...            
(5星)	 这篇好！            
(5星)	 奋斗青春            
(5星)	 觉得真好看。            
(4星)	 励志而又现实, 有梦想,有事业, 有爱情, 有亲情, 这就是年轻的璀璨....            
(3星)	 看着觉得有点不知所云啊，不过部分剧情有亮点，台词听着很爽，仅此而已            
(NA)	 你不是喜欢米莱么，我就是米莱。            
(NA)	 第一次见到陈大发就是在这部里面…            
(3星)	 瞎闹吧            
(NA)	 看过几集            
(NA)	 一部讲诉80后的创业，爱情电视剧            
(2星)	 原来奋斗的意义就是有个有钱的老爸，或者有个有钱人的女儿爱着你，然后你就做什么都可以。最后，当你做完想做的之后，还可以拍拍屁股自命清高的说我不认同你们这些有钱人的做法。            
(4星)	 有点假，但是还是喜欢的            
(2星)	 切~不装逼枉少年~~            
(5星)	 奋斗吧            
(NA)	 奋斗            
(4星)	 生活永远是最重要的事。倔强的人，也许真的要孤独到最后，才会退后一点点。。。温存，永远是真挚的。            
(5星)	 大学的日子            
(4星)	 快奋斗成为富二代的爸爸吧！            
(NA)	 超喜欢            
(4星)	 喜欢米莱，喜欢杨晓芸，喜欢向南。            
(3星)	 这也是这类最早红的了 看到后面有点看不下去            
(5星)	 让我得到改变的一部电视剧~            
(3星)	 奋斗呗            
(5星)	 不可不看的经典            
(NA)	 他妈的贼好看            
(4星)	 1星李小璐1星文章1星王珞丹1星华子            
(5星)	 就该喜欢！            
(3星)	 其实是个扯淡片            
(5星)	 其實，還是有揭露生活的一些本質...自己也該努力了...            
(5星)	 这里无所谓什麽奋斗 我们怀念的 我们享受的是青春            
(5星)	 新感覺            
(4星)	 我希望自己就是陆涛            
(NA)	 奋斗你妹，想表达的东西是积极向上的，但过程，不太给力～            
(4星)	 恩，不是每个人都有个有钱的爸            
(3星)	 很多人推荐看这部 -.- 一直么时间....            
(4星)	 因为太了解你所以才会伤你太深。奋斗，你的目标在何方？            
(NA)	 当时看觉得是扯淡，现在想觉得更是如此            
(2星)	 扯淡            
(5星)	 = =這貨絕對的時代精品！            
(2星)	 只见风花雪月 穷爸爸和富爸爸 其他配角的奋斗不该做剧名呀            
(NA)	 不喜欢米莱的死缠烂打和所谓“痴情”。 识趣的离开是一种姿态，即使回头之后心里不免阵阵痛楚。            
(5星)	 迷茫            
(3星)	 喜欢米莱。            
(3星)	 除了华子  谁在奋斗啊 一个过的比一个好  不真实   语言搞笑 哈哈哈  这个必须承认            
(5星)	 来回看了7遍~            
(NA)	 就是不大现实 演的也挺喜得黄            
(4星)	 国产剧中能数得出来的好看的电视剧了            
(2星)	 片名应该叫《折腾》            
(4星)	 呵呵，奋斗，我看过为数不多的电视剧还是国产的            
(NA)	 向南            
(5星)	 5颗星，全给米莱。            
(1星)	 一群小资青年装逼的成长史            
(NA)	 未来将来我要努力的去奋斗            
(4星)	 奋斗吧~             
(1星)	 这几个傻逼究竟哪奋斗了？            
(4星)	 原班也再拍不出来这样的了。            
(1星)	 演技啊。。。能不能给力点。。            
(5星)	 看完奋斗，每个男人都会爱上米莱。却不知道，每个女孩都曾是米莱。            
(1星)	 奋你妹啊！胡了八扯！你给我搞三爹来，每个必须都有权有势，然后我也边撒钱边喊“妈的人生没意义啊~~~”我深情想告诉你一句：我了个去~            
(3星)	 大学毕业后现实总是残酷的~            
(NA)	 结婚那集。            
(4星)	 米莱            
(5星)	 看了5遍地。。苦逼电视剧。。。            
(NA)	 喜欢看书远远多过电视剧            
(3星)	 有点不真实            
(5星)	 当时第一时间就看了的，喜欢米莱那种女孩…………^_^            
(5星)	 长大了以后很少有毅力把一部电视剧看完了。虽然结局挺令人欣慰的，可是最后当杨晓芸吹响哨子让向南回来的时候，我突然对她有一种深深地厌恶。可能爱本来就是自私的吧。我在想，不管以后会遇到什么，我还是会一直喜欢奋斗这个词的。            
(3星)	 话痨            
(3星)	 那个时候很振奋，现在想想。。离我们太远。。            
(4星)	 喜欢米莱 喜欢王珞丹 故事脱离现实 但是里面有些细节还是觉得不错            
(4星)	 米莱36句让人忘不了的话            
(5星)	 不同人為了不同的夢想奮鬥，只不過最終走向不同的方向，但至少是自己的道路。            
(4星)	 很能得瑟。80后一下子被点燃了。            
(3星)	 太yy了..            
(3星)	 台词很贫，演员不赖，就是剧本。。。            
(5星)	 喜欢啊喜欢            
(4星)	 这部片子让我们看到有个好钱的爸其实比奋斗要重要，哈哈。            
(1星)	 靠爹奋斗和一对狗男女的爱情故事            
(3星)	 就剧情来说，就是一群不务正业的年轻人的写照，最有看点的属于陆涛的内心矛盾的斗争，但是这些方面导演没有去刻画，所以剧情完全没有表现出导演所想表达的            
(NA)	 跟着潮流和大家一起看的，其中那种唯美，那种要风得风，要雨得雨的事情是大家所向往的，可是现实生活中又有多少人能有那种条件呢？还是靠自己的努力去奋斗吧！加油！            
(5星)	 佟大为呀！李小璐呀！文章呀！这就够了呀！            
(4星)	 其实，向南。            
(4星)	 开头好一点，后面有点狗尾续貂的感觉            
(4星)	 还不错，不过没有我的青春谁做主好。            
(4星)	 当时真不喜欢夏琳……            
(4星)	 北京人的生活方式，听着他们唱着小时候的流行歌曲，看着他们的分分合会~            
(5星)	 虽然被一群70后拍得的变味 但是还是很喜欢看            
(4星)	 我挺喜欢米莱的~            
(5星)	 那年高三啊 我们的青春啊~            
(2星)	 别没事就扯80后……            
(5星)	 给我太多可以去想的方向和胆量。            
(2星)	 拍得还成。。就是底儿不敢苟同。。人物设定太差石康这人我虽然dj。。可丫得多蔑视80后才能给人物都定成了这样。。            
(3星)	 解闷儿            
(3星)	 喜欢文章。            
(5星)	 丹姐。            
(4星)	 米莱 夏琳            
(2星)	 有钱爸爸就是好~            
(5星)	 灵珊.大爱            
(4星)	 喜欢杨晓芸与向南这对活宝            
(4星)	 前半段当喜剧看，喜欢马伊琍剧中的造型。            
(NA)	 就是从奋斗开始觉得王珞丹不错            
(3星)	 年轻就是好            
(5星)	 让我学到了一些东西，有代入感，赞~            
(3星)	 第一遍看的挺HAPPY，再看就发现假的要死，不过话说回来，这就是剧作法。            
(4星)	 陆涛为什么没有跟米莱在一起 哪怕米莱再爱他  一句话 四个字  门当户对             
(3星)	 当相声小品看个乐子，太脱离实际            
(2星)	 这不叫梦想            
(5星)	 喜欢！~            
(3星)	 陆涛叫奋斗么？            
(4星)	 一群80年的青年，为了自己的梦想不断的奋斗，友情，爱情，事业。。。。            
(1星)	 我赶脚没有任何优点            
(5星)	 不错。。。。            
(4星)	 杯具是快毕业那年看了奋斗，有身价过亿的老爸，有夏琳有米莱，有房子有奥迪，自由自在挥霍金钱精力和激情，还TMD喊“这不是我想要的生活”，我勒个去！！！            
(4星)	 太扯了吧，一出来就有个几千万的爹，还奋斗个毛啊            
(5星)	 杨晓芸！！！！            
(4星)	 蛮喜欢杨晓芸            
(3星)	 大陆电视剧也就看看赵宝刚吧            
(1星)	 傻逼一样            
(5星)	 米莱            
(3星)	 勵志個屁！            
(4星)	 典型的80后生活            
(4星)	 耍嘴皮子            
(5星)	 呵呵 不知道怎么说，对于80后，这是一部现实剧，对于其他年代的人，是一部偶像剧            
(1星)	 一群从来不会独立生存的寄生虫和社会的人渣，他们的奋斗靠22年没见过面的父亲，靠自己被判了的初恋情人。傍大款，傍富婆，还有被判与后悔。他们的奋斗竟然只有成功没有失败，除了华子倒书陪的800RMB。             
(4星)	 内地多拍拍青春剧，市场还是挺大的。剧本好，够青春。            
(4星)	 十分梦幻，那个什么乌托邦来着，太浪漫了。            
(3星)	 没有什么青春励志的感觉，有什么都不如有个好爸爸。            
(4星)	 没有认真的从头看到尾过，只是在睡梦中 迷迷糊糊把主题歌学会了。            
(5星)	 影响了我的价值观，看了三遍，算是脑残粉么            
(4星)	 一部奋斗，让我对生活充满了希望            
(4星)	 贫啊贫啊的 你就习惯了            
(NA)	 就是个扯。。。            
(2星)	 奋斗个大头……            
(4星)	 初三时候看的,很喜欢.现在回想下觉得一般.            
(NA)	 假，陆涛还不是有个厉害的老爸            
(4星)	 我爱米莱 我爱杨晓芸。            
(5星)	 【2010/12/10】我是高一暑假在我们金华的地方台第一次看的，当时就果断能红。            
(4星)	 我很好~~             
(4星)	 向南杨晓芸的段子好几个印象深刻的            
(5星)	 这里有段历史。。            
(3星)	 挺没劲的一部片子。。。            
(5星)	 值得我们年轻人去奋斗，不错            
(4星)	 怎么可能有那么一个乌托邦            
(4星)	 不错的故事。人物塑造的很棒。就是还是缺乏了一点真实            
(NA)	 也比较喜欢看，喜欢听他们的北京调            
(4星)	 什么米莱一次，曾经以为很忧伤很韩剧很煽情，现在觉得很幼稚            
(2星)	 没看完，不喜欢            
(5星)	 太逗乐            
(1星)	 谁能告诉我这里面到底是谁在奋斗？！米莱陆涛就是对富二代，夏琳动不动就要去法国，搞得法国像她家后花园似的。。。。也就华子杨晓芸他们还在为自己奋斗吧，这电视剧好看在哪里？？？            
(4星)	 米莱都好了～我什么时候好～呵呵            
(3星)	 有点夸张！            
(4星)	 没有奋斗只有富二代            
(5星)	 一起奋斗            
(4星)	 捧红了剧中人，不得不说赵导演拍片的眼光毒啊。            
(5星)	 很感人....从头至尾..            
(3星)	 其实  不真实，看陆涛这个人越看越烦，看完有种想抽丫的冲动            
(3星)	 要的不是这些…………这些……你妹。            
(3星)	 真不是我的菜，主要是演员选得和角色本身差距，有几个不爽            
(5星)	 很震撼人的片子，石康写的很好，导演导的也不错，但是当看书的第二本的时候，陆涛跟夏琳分开的时候，我觉得人生观价值观都颠覆了。有那么一种爱情叫命中注定，就像夏琳陆涛必需要在一起一样，当他们分开了，我接受不了。但愿电视剧拍出来不要这样~            
(5星)	 有很多话想说、、、            
(4星)	 确实很奋斗。            
(3星)	 其实不是很真实不是么？            
(4星)	 耍嘴皮子很不错            
(3星)	 我有两个好爸爸            
(4星)	 看着看着，变了            
(4星)	 除了搞笑，不知奋斗为何物。            
(NA)	 拍给电视剧，80后的电视剧，喜欢。。。            
(5星)	 大爱，，            
(4星)	 台词不错。            
(1星)	 男主角不奋斗名利双收，配角（例如华子）奋斗，女人跑了，本也赔了。主角还有2好爸爸，原来不是他奋斗的好，是他妈奋斗的好。            
(NA)	 每个人都有属于自己的奋斗 自己的梦想            
(4星)	 夏琳这个三儿，还还挺讨人喜欢的。            
(5星)	 很经典！            
(NA)	 很不错的电视剧，我喜欢里面的 米莱 陆涛 向南 华子 小灵仙 最让我各应  恶心的就是内  夏琳  （第三者）  看见她就她妈不爽               
(4星)	 经典的青春电影了，虽然不是每个人都像故事中的人那样的。            
(5星)	 我其实就想认真看看你欣赏的米莱。            
(3星)	 也就是看过而已            
(5星)	 你说那段日子 是不是 就是奋斗得日子。            
(3星)	 不励志啊！            
(4星)	 看米莱啊...            
(5星)	 文章~~            
(4星)	 专为文章来，给哥哭一个            
(4星)	 够长 够精 够直白            
(4星)	 算是还可以吧            
(4星)	 减肥真的很重要 学习李小璐            
(5星)	 很多人说它不真实，其实，就角色来说我觉得还是很真实的，虽然陆涛的背景设置是有点。。。。不过每个人的性格刻画都很好，好像很多人喜欢米莱，我依然如故的喜欢夏琳~~            
(NA)	 很喜欢 语言很经典            
(3星)	 劇情很扯，根本太崇拜資本主義了些~ 過頭了!            
(4星)	 过于理想化主义            
(3星)	 有点假            
(NA)	 看过一部分，不过看的采访文章比电视剧本身多            
(NA)	 感慨很多，无法形容，只能废话            
