http://movie.douban.com/subject/1294791/	机器战警 RoboCop
(5星)	 小时候看的 那个好看啊...            
(4星)	 很小的时候看的了            
(5星)	 好片，很早看的            
(4星)	 从动画片 来的 很久的片子了            
(4星)	 墨菲 这个名字唤起我的记忆            
(4星)	 这个电影告诉我，城市的控制者都是一帮坏家伙            
(4星)	 你有权保持沉默，你的所有话都将成为呈堂证供            
(3星)	 怀念！            
(4星)	 很好            
(3星)	 看完了也没什么感觉。            
(NA)	 ……            
(4星)	 这样都能把到妹            
(4星)	 小时候看完这片，吓得一夜没睡着。从此便迷上了科幻片。            
(5星)	 真是喜欢这个悲情系列            
(3星)	 俺都看完了…|捂脸。            
(3星)	 儿时的记忆是美好的            
(5星)	 小时候第一次看还是那种大的黑色的录像带            
(4星)	 我的天。。。小时候啊小时候。            
(4星)	 儿时最羡慕的            
(4星)	 BDRip：http://www.verycd.com/topics/2760948/            
(5星)	 我小时候就被这种身份的困惑感所吸引住了.很神秘,很有趣的一部电影.            
(4星)	 初中时在cctv6看的，大部分情节都记不起来了            
(4星)	 小时的经典            
(5星)	 那个年代的经典，之后许多年还在买它的玩偶            
(4星)	 三流的演员,二流的特效,却造就了一部一流的电影.            
(NA)	 当是在录像带里看的。            
(5星)	 我小时候不知道看了多少遍            
(3星)	 总是觉得影片的格调比较灰色，混乱的治安，机械战警悲惨的身世和遭遇，看完了不太舒服。            
(NA)	 永远的墨菲            
(3星)	 20年前的片子拍的跟40年前的一样            
(4星)	 小时候超喜欢~~~~！！！            
(3星)	 断断续续的看的，没啥感觉            
(3星)	 小时候看，觉得好厉害～            
(5星)	 儿时最美好的记忆之一， 机器警察莫菲 这几个字在嘴巴里怎么着也反复了500遍了吧。 那个雄壮的主题曲现在仍然清晰的在脑海里播放着。            
(4星)	 好久好久了。            
(4星)	 童年的回忆            
(4星)	 那个 年代的经典            
(3星)	 很老，还可以            
(4星)	 好看            
(4星)	 好瓜            
(3星)	 童年的记忆，又是一个三部曲            
(5星)	 也是小时候看的            
(3星)	 没意思            
(3星)	 常见的美国式的个人英雄主义,不过我必须承认我们的生活还是需要英雄的。            
(4星)	 idea很吸引人            
(4星)	 还有霹雳五号~~            
(NA)	 曾经很想摸摸冷硬金属下的皮肤是不是还是软的            
(4星)	 墨菲 墨菲 我爱你~~~~~O(∩_∩)O哈哈~            
(4星)	 儿时记忆。            
(4星)	 小时侯一直觉得这哥们很酷。            
(4星)	 这片还有多少人记得            
(4星)	 小学的记忆            
(4星)	 小时候看的，剧情已经忘了，不过当时觉得很好的            
(5星)	 莫非！！！            
(3星)	 小时候很哈墨菲啊            
(5星)	 好像是很久以就看了……到底有多久了囧RZ            
(4星)	 儿时的回忆            
(5星)	 2011.7.27于家中又看了一遍原版的，坑爹的央视你居然剪了这么多。。。            
(4星)	 小时候的最爱。            
(4星)	 好看！墨菲            
(5星)	 当年的炫片            
(3星)	 N年之前，当时还是个小屁孩            
(3星)	 呵呵，小时候的最爱！当时就想，如果这样的好警察可以结婚就更好了            
(4星)	 幼儿园的偶像。。。            
(4星)	 牛逼化妆，牛逼表演，牛逼氛围，牛逼暴力。            
(5星)	 我18岁之前看过的大片一律五星，呵呵。            
(4星)	 小时候            
(4星)	 一个善良的人            
(3星)	 铁人的起源。            
(4星)	 童年里，那个人叫Murphy。            
(4星)	 当初看的时候满喜欢的            
(3星)	 那时候挺喜欢的            
(5星)	 Nice!            
(4星)	 无比怀念那个时候的科幻片            
(5星)	 有如今的眼光看，可能已经不入流了，但是当时的确是震撼到无语            
(NA)	 记不住内容了。但是这个形象还是很深刻的。            
(3星)	 我幼稚园那会儿看的了吧！            
(5星)	 绝对感动我的动作片            
(4星)	 初中看的  不错            
(5星)	 想看科幻片看得眼泪横飞么？            
(4星)	 很老的片子了            
(5星)	 总有淡淡的悲伤            
(4星)	 小时候看过的            
(3星)	 铁棒插下去很有感觉的说～            
(4星)	 小时候的最爱            
(NA)	 太久忘记了            
(5星)	 儿时所爱            
(3星)	 系列，喜欢科幻电影的可以追一追 虽然老旧一点            
(5星)	 小时候印象就很深,就是记不得名字            
(4星)	 小时候很喜欢的阿            
(3星)	 爽快的暴力            
(3星)	 因为8位游戏机 所以看            
(4星)	 有空重看看            
(4星)	 do not arrest the maker             
(5星)	 我还记得这个！            
(4星)	 粉嫩小嘴儿            
(3星)	 小小时候的回忆            
(4星)	 Cool            
(3星)	 墨菲？            
(3星)	 久远的记忆            
(4星)	 童年            
(4星)	 我的朋友叫我墨菲            
(5星)	 狂经典，呵呵            
(NA)	 人生中看的第一部好莱屋电影            
(4星)	 2010-11-03 頗酷的，不過劇情安排好多缺點.. ED-209樓梯那段是故意搞笑還是怎樣？在樓梯間打滾時好像『這不是肯X基』的廣告，音效還真像個哭鬧的嬰兒            
(NA)	 我很怀念这部我看了很多遍的片子            
(4星)	 经典机器人            
(NA)	 怀念啊，cctv6总是播出的电影            
(NA)	 早期电影频道播过～还有同名游戏            
(3星)	 老片子            
(4星)	 小时候很喜欢啊~            
(4星)	 童年的回忆 只为纪念            
(4星)	 太多回忆            
(4星)	 小时很爱看            
(NA)	 学校组织在礼堂看 还是删节版            
(3星)	 留个纪念。古老啊。            
(4星)	 小时候熬夜看的            
(4星)	 儿时的经典，记得我还买过他使用的那种样子的玩具枪。            
(NA)	 好小好小时候的英雄形象            
(4星)	 又一个小传奇            
(3星)	 童年            
(4星)	 墨菲！儿时的偶像啊！            
(NA)	 小的时候梦想的玩具            
(3星)	 可能不是我喜歡的類型,但當年賣座很好.            
(NA)	 机器战警            
(4星)	 还算比较经典            
(5星)	 经典啊            
(4星)	 经典的科幻题材电影，至今记忆犹新            
(5星)	 最早在脑子里有深刻印象的电影，读小学时候看过的场景至于记忆犹新。            
(4星)	 悲情英雄            
(4星)	 你叫什么?:墨菲            
(3星)	 动作可真慢呀            
(NA)	 小时候看的，很经典了            
(3星)	 主角转弯有个性            
(3星)	 小时候看很好看，现在。。。            
(4星)	 有时间想再看一次，童年的记忆~~~            
(4星)	 小时候看的 电视放了多次 还行吧~            
(4星)	 小时候最喜欢看的片子之一，经常模仿里面的机器人的动作            
(4星)	 Sci-fi 经典阿            
(4星)	 现在看这片子有点傻，但当时自己还是个傻小子，看得很激动！            
(4星)	 经典啊            
(NA)	 还不错            
(4星)	 墨菲。。当你转动手中的枪。。我就认出你了            
(4星)	 帅            
(3星)	 动画片不错的，但拍了真人电影就不怎么样了，也许是年代较早的缘故吧。            
(NA)	 很经典的一部科幻片。            
(3星)	 小时候的最爱            
(NA)	 小学时候,学校包场电影,当时看的很激动            
(4星)	 墨菲!            
(4星)	 美国人就是先进``            
(3星)	 喜欢            
(4星)	 经典啊            
(4星)	 想当初这样的电影还是很受欢迎的            
(4星)	 小时候第一次看到这类型的片子，那个震撼啊！            
(5星)	 经典            
(4星)	 墨菲阿，以前好喜欢的一部电影            
(4星)	 这个片子属于名气大的类型            
(5星)	 童年的回忆            
(4星)	 小时候看的，当时那个震撼呐            
(4星)	 90年代初，看这个东西我激动死了。有血有肉，故事完整，是个精心制作的好片子            
(4星)	 很小的时候喜欢看的.            
(5星)	 Nice shooting,son.What&#39;s your name?Murphy.            
(3星)	 上小学时看过，那时觉得很好看            
(4星)	 儿时的回忆            
(NA)	 儿时很喜欢            
(NA)	 赤裸裸的暴力总是能让人热血沸腾！            
(NA)	 挺火暴            
(4星)	 小时看了觉得太神奇，被炸散了还能改造成这么酷            
(4星)	 机器战警1            
(4星)	 在精神文化生活部发达的童年，这部片叫做震撼            
(4星)	 那时候小啊，觉得美国真是太可怕了            
(4星)	 NB            
(4星)	 这部片子已看过N久,记不清是ROBOCOP1还是2,但主角的形像深深地刻在我的脑海里.            
(5星)	 就当时来说，不错            
(3星)	 某些坚持 以另一种形式出现            
(5星)	 保罗·范霍文（Paul Verhoeven）            
(4星)	 8错            
(5星)	 完美的管弦乐令人震撼            
(4星)	 什么时候能有这样的机器人            
(4星)	 小时候把它当恐怖片看的……因为我害怕摩菲那个披着人皮的半机械小脑袋……            
(3星)	 其实我不记得我看的是哪部，看过几部了……            
(4星)	 机器人警察！            
(NA)	 06年7月30日看[铁甲威龙.1].Robocop.1987.XviD.AC3.5ch.jsac-2CD版DVDRip,收录            
(NA)	 好旧的电影            
(5星)	 少时偶像            
(5星)	 童年看的比较牛逼的片子！            
(4星)	 也算曾经的经典。            
(3星)	 很早很早的看过的，不是很记得了…            
