http://movie.douban.com/subject/3873960/	我的青春谁做主
(3星)	 - -看这片子完全是因为看奋斗的时候倍喜欢米莱和华子...这里面他们在一起了- -...so...            
(4星)	 喜欢小样~不喜欢清楚和霹雳~感觉周晋好假            
(NA)	 很好看很震撼            
(NA)	 高齐嘎嘎            
(3星)	 迷茫的时候鼓励过我~            
(4星)	 听着臭贫就够了，复制就不必了。            
(4星)	 额。其实现在看也会看不下去的。。            
(NA)	 唯一欣赏的是朱雨晨王珞丹那对儿，虽然赵子琪的眼睛很大            
(4星)	 我在中间寻找自己。。。            
(5星)	 好看            
(3星)	 印象中最喜欢那个知性的            
(NA)	 很励志的故事，三个个性迥异的表姐妹互相支持，为自己的未来奋斗的故事...            
(NA)	 看不下去。小样挺可爱。            
(3星)	 本来想给四星，但是剧中做作的地方多了点，还是扣掉一颗星            
(4星)	 台词不错，还是小样儿招人稀罕。            
(4星)	 喜剧            
(5星)	   那个..词很棒            
(5星)	 追求幸福额的路上  我的青春我做主            
(NA)	 不要鄙视我&gt; &lt;&#34;不得承认高齐的台词很棒..^^            
(NA)	 喜欢啊~            
(4星)	 挺实在的 很好的体现了80后的甜酸苦辣以及生活的辛酸            
(5星)	 怎么说也是80后的故事            
(4星)	 前面是奋斗风格，从小样的爸爸出事后，，整个格调就有点伤感。看的我闷闷的            
(3星)	 我只喜欢里面那个雷雷~~~是叫这名吧            
(5星)	 很棒，台词很绝            
(3星)	 就看看小样，其他人一概忽略            
(3星)	 太假……间接导致北京人口爆炸            
(5星)	 喜欢钱小样。。            
(4星)	 有些教育意义的  尤其是姥姥的一些话 和霹雳与其母的沟通 高齐有时候也能说出点颇有感慨的话来 呵呵            
(3星)	 那仨妈，加上老太太，凑一起，对话特有意思。其他的，看过就算。            
(5星)	 一个片，看了让人热血沸腾~小样的执着，青楚的努力~嗯~~            
(4星)	 青春的气息~            
(4星)	 诙谐幽默的故事情节下的人生好教材            
(4星)	 比奋斗真实            
(5星)	 很适合现在的年轻一代看。            
(3星)	 有点小脑残            
(3星)	 没看下去            
(4星)	 还行吧，比奋斗好看点，喜欢李霹雳，那种留学孩子的描写，很真实            
(3星)	 有王珞丹就得支持。            
(5星)	 好片子 啊            
(3星)	 不喜欢大团圆结局            
(4星)	 很好看  好喜欢里面的钱小样 和方宇            
(3星)	 是个傻逼都得开Q7，你要是开个Q5都不好意思跟人家打招呼            
(4星)	 还蛮有感觉的一部片子，看得年轻人热血沸腾的~            
(4星)	 有几个凌晨 就看了              
(4星)	 王珞丹 加分！            
(NA)	 ~~何必呢·~·太理想化了也许~            
(3星)	 结局太假了。。。            
(3星)	 改变了爸妈对我的态度，精神文明建设的重要性可见一斑。            
(4星)	 还是很经典的。。看完后，还是对自己的状态想了想            
(5星)	 我们的青春我们自己做主！青春的故事，感同身受            
(4星)	 喜欢  青春。。。嘿嘿。。。            
(5星)	 一部看了很有共鸣很有思想的“青春”史歌            
(3星)	 钱小样真闹腾。于是网络世界出现了各种X小样。            
(3星)	 三星半            
(5星)	 剪短而精湛的对白 句句引人深思            
(4星)	 现在的青春就是这样了            
(4星)	 不喜欢王珞丹........我还是喜欢北大女~~            
(3星)	 我觉得剧情有点扯，不过有的台词还是比较经典的            
(NA)	 没有奋斗看着爽！            
(4星)	 喜欢小样~就这样~            
(5星)	 没有为什么，就是喜欢追逐梦想的感觉。            
(4星)	  觉得很经典 喜欢这样的青春剧            
(NA)	 只剩下小样儿比较逗了，剧情感觉离生活太远。难为作者了，来源于生活高于生活的尺度不好把握啊            
(4星)	 里面的台词是一绝啊，挺喜欢王珞丹的，反正是happy ending，所以没什么不喜欢的地方            
(5星)	 青春就要自己做主。            
(4星)	 寻找青春的影子。            
(5星)	 应该要想钱小样那样的努力生活，就算平平淡淡，也是充实而快乐的            
(4星)	 正好上演到我的青春时            
(NA)	 一般吧~~有点乱            
(4星)	 七个女人，三个男人的贫嘴戏            
(3星)	 本来挺喜欢王珞丹的，这个里面就演白痴了            
(4星)	 比奋斗好看多了~！我喜欢赵子琪干练干净的打扮和王络丹的可爱清纯。            
(3星)	 大陆的偶像剧啊！虽然很青春 但也很虚伪            
(3星)	 号称从不看国产片的我，难得看了一盘            
(4星)	 比较喜欢朱雨辰，但是钱小样的这种性格社会上不存在，包括即使存在，也不一定会有像他那么好的家庭            
(4星)	 我对于陆毅的“我从不虚以委蛇（WEIYI读作weishe）”绝望了……            
(NA)	 还可以            
(2星)	 看了这剧，开始讨厌王珞丹            
(3星)	 没奋斗好看，不过朱雨辰在里面比奋斗里面帅            
(3星)	 没那么好看            
(4星)	 难得好看的国产片呐            
(NA)	 爱死小样了。            
(3星)	 高齐不错呵呵            
(4星)	 我喜欢小样，我也在走小样路线。小样的路虽然曲折，但是她有爱~            
(3星)	 挺好看的            
(5星)	 我的青春谁做主            
(4星)	 真实的80后            
(4星)	 一个三代家庭 的 故事            
(5星)	 看了以后我超想去北京            
(5星)	 看一次哭一次！            
(3星)	 看点，王珞丹。            
(5星)	 每一次看，都有给我思考和让我积极向上的感染力            
(3星)	 最近才看的，一般般            
(4星)	 我的青春我做主            
(3星)	 没有奋斗好看，有点儿脱离群众啊            
(3星)	 三姐妹的青春爱情故事，有任性的执着，有叛逆的成长，有感性下的理性，他们都活得肆意。但是那是电视剧，不是现实中的女孩可以实现的，有很多地方只是美好的愿望。            
(3星)	 现代剧  还行吧            
(5星)	 哈哈哈，怎么说呢？我就是爱钱小样            
(3星)	 钱小样语录~~~经典            
(3星)	 有点扯            
(5星)	 90年的看看啊            
(4星)	 怎么说呢，其实蛮现实的。不管怎样，从中学到了一点，长辈的话大多都是为了孩子们好，不管是从哪个角度出发，只有孩子们能不能接受的问题。            
(4星)	 以青春为代价的成长电视剧总是比现实有着一个更令人有个满意的结局            
(NA)	 很好的一部电视剧，我的青春我做主！！！            
(5星)	 还是有现实意义的~            
(4星)	 青春很短暂~抓住每一个机会~为了梦想拼搏！！            
(4星)	 2010.1中            
(5星)	 hao            
(3星)	 比奋斗差远了            
(4星)	 虽然不很现实，但可以让人精神焕发地生活            
(NA)	 还行吧，仿佛看到了《奋斗》的影子。            
(5星)	 亲切            
(4星)	 唉...我们暑假犯生的终极剧本...            
(4星)	 这明明是一部电视剧嘛！很多句话说得很透彻，像是一面镜子，把我们充满大坑的青春照的一清二楚。我更希望它是一个指向标，帮我指明前进的路，给我希望，照亮前方。            
(4星)	 钱小样不错，马大妈总爱装嫩            
(4星)	 比奋斗好多了。我爱高齐高齐高齐高齐……            
(NA)	 我觉得陆毅这个角色很单薄，内涵不够            
(3星)	 个人还是比较喜欢奋斗。            
(5星)	 我的救命稻草            
(3星)	 和《奋斗》一样充满了青春的斗志，看了的确会受鼓舞，喜欢姥姥的睿智，蕾蕾的有想法，小样的坚持。但是始终觉得像夏琳和青楚那样看似完美优秀的人，太假了。。。如果再过几年，我会觉得这片子矫情，或者太不符合现实了，但现在还没进入社会的朋友们，没体会到社会真正的险恶，咱们看看还是蛮好的~            
(4星)	 用手机看的，没有深刻的印象            
(4星)	 自我感觉比奋斗好。            
(4星)	 人家就那么一拍，你就这么一看，逗个乐就行            
(4星)	 虽然演员演戏像在读对白，但是有些台词确实很有道理。            
(NA)	 剧情还是有点假，呵呵，冲着演员去看的~            
(4星)	 部分语言相当雷人~..            
(NA)	 喜欢钱小样和方宇的爱深深地触动了我。重要的不是在哪里而是和谁在一起。。            
(NA)	 太不现实了            
(NA)	 我喜欢蕾蕾。。。            
(3星)	 典型的中国式结局，就图个乐呵呗            
(5星)	 我的大爱～            
(5星)	 我不是李霹雳~~            
(4星)	 钱小样            
(NA)	 我的青春当然是我做主咯~ p.s.某老师说：青楚作为女律师，嘴边挂着“为我们公司做这个做那个”，这种讲法是不对的，因为把律所作为公司是违法的，律所是事业单位，律所和律师都不以营利为目的，律师的职责是维护当事人合法权益、维护法律正确实施、维护社会公平正义！            
(5星)	 华子和钱小样...你们好好地在一起！            
(4星)	 就是养眼            
(4星)	 青春，撒开，就是自由。            
(5星)	 很好~            
(NA)	 小样~~            
(3星)	 感觉不到被打鸡血的感觉，因为她们成功的看似都太简单。但是小样的台词很经典~            
(5星)	 喜欢高齐！！！            
(5星)	 青春 就是敢爱敢恨，敢做敢当，敢付出敢奋斗敢拼搏，最后躺在被窝里享受一切幸福的时光            
(4星)	 青春真的是用来浪费的？            
(5星)	 还是最喜欢高齐了....这种男人太完美了            
(NA)	 羡慕他们有目标 有愿望 有劲去奋斗            
(5星)	 当时是在两三天内连续给看完了。。觉得很很很喜欢钱小样那样的人。。高齐这个人大概是大家最爱的了吧。。青楚这样的人我倒觉得不太现实，结局也太过草率。她妈结局像个什么似的突然就同意他们在一起了，是感动了么？            
(3星)	 和奋斗一个导演，还是很假            
(4星)	 就算开不起A5、Q7，当不成青年才俊。但依然可以追逐“一粒米乐半年”的蚂蚁的幸福。我也想要个钱小样那样的女朋友！            
(3星)	 比起奋斗，差不少            
(NA)	 值得一看，但不值得学习            
(NA)	 感覺算是奮鬥的續集吧，不得不說的是霹靂的老媽說話真是經典啊            
(NA)	 喜欢王珞丹            
(4星)	 喜欢霹雳的敢作敢为。也喜欢小样的乐活精神。            
(3星)	 现实中会有这样的 吗？            
(4星)	 你是喜欢我还是喜欢我？            
(3星)	 算不上励志的励志电影            
(3星)	 那个小妹挺逗得！            
(3星)	 还不错            
(5星)	 我爱小样~            
(4星)	 同假            
(3星)	 这是某个人的青春！            
(4星)	 看了这个电视，我一拍屁股，来了北京            
(NA)	 有点想看第二次，，            
(4星)	 前一半非常不喜欢小样儿～            
(NA)	 我的地旁听我的。            
(NA)	 ME~!!            
(5星)	 比奋斗更真实            
(NA)	 比较喜欢的一部电视剧,            
(3星)	 虽然故事离我们的现实生活有段距离，但是看完之后还是很受影响，几个女孩子都有自己的生活目标和追求，这也是当下好多年轻人欠缺的，看完之后我还是很有干劲的，不能这么颓废下去了，也得趁年轻做点什么，有这些收获就够了。            
(3星)	 在秦仔的介绍下看了这部片子，三代人之间的亲情，三代人之间的代沟，中年人对待感情的心理，年轻人对爱情的追求。每个年代人有每个年代的活法。            
(3星)	 不如《奋斗》精致，不见得多么真实，但几个妈妈的形象还是很生活的。钱小样的一些狠话着实够味。            
(NA)	 很喜欢钱小样            
(5星)	 还不错啊            
(5星)	 我觉得这个电视剧还不错，尤其是小样和。。朱雨辰，他们一直在努力，努力才有未来            
(4星)	 喜欢王珞丹，看了这部电视剧，不过还不错，剧中的老太太可真是如圣人一般，欣赏。女人搭台唱戏，蹦的欢！            
(3星)	 不好看，乱七八糟的。虽然这样但是看的时候还是哭得稀里哗啦，爱情总归是伟大的感人的            
(NA)	 我的青春。            
(3星)	 算是奋斗的延续吧，但总觉得没有奋斗好看...            
(4星)	 我也不想当护士～～～            
(3星)	 啊。 = =还算可以。内些有志向有理想的人呢啊            
(NA)	 因为王珞丹而看，还行……            
(NA)	 小样的爱情挺真实的~            
(5星)	 经典的人物对白，独到的人生感悟，向上的人生态度，一部让我久久回味的青春物语。            
(4星)	 喜欢小样~~我们还能张狂多久？？~~。。。            
(4星)	 还不错，不过我觉得奋斗更好看，喜欢小样！            
(4星)	 喜欢王珞丹，所以就在第一时间看了···虽说她爸爸受伤了以后是她蜕变的时刻，可也是我不太爱看的片段~            
(3星)	 梦想            
(4星)	 唔错唔错            
(4星)	 真贫~            
(3星)	 钱进来 钱进箱 钱守住丫 小样            
(5星)	 虽然有点吵、不过不管付出了多少代价..真的是自己的青春自己做主了            
(NA)	 洋溢着的青春   和现实比较起来有一定的差距但是是无聊时候的良方               
(3星)	 感觉不真实            
(4星)	 我妈最爱            
(5星)	 经典啊~~~我喜欢王珞丹！            
(5星)	 喜欢钱小样那对~~~            
(3星)	 梦想            
(4星)	 在蜗居把人拍死之前它依然是延续了理想主义的乌托邦。            
(NA)	 羡慕蕾雷 崇尚小样 青睐高齐             
(NA)	 喜欢王珞丹的感觉 总是那么青春 我们的青春我们自己做主            
(4星)	 喜欢看生活化的电视剧。。。            
(4星)	 国产电视剧正在像真实的生活靠拢~~            
(5星)	 就是喜欢            
(4星)	 姐姐推荐给我的，看的时候不住的捧腹啊！超喜欢小样儿的说话风格，想要一个那样的妹妹~可以当都市童话看，呵呵。            
(4星)	 也还行吧            
(4星)	 演的不错，剧情比《奋斗》更现实些，不过搞什么报仇的，感觉有点跟整体气氛不搭            
(5星)	 蛮适合我们80年代的            
(3星)	 活在奋斗的阴影下            
(5星)	 喜欢。霹雳、小样            
(4星)	 好看但是不实际            
(NA)	 喜欢王珞丹~            
(4星)	 “爱情是一件特美丽的事。        爱情，与其说是两个人的相处形式，不如是说我们心里面的一种感觉。相恋也好，单恋失恋也罢，虽然说结果迥异，但是都体会到了爱的滋味，甜蜜忧伤痛苦，哪种是我们享受爱情的形式~干嘛因为满足不了就把爱情弄得那么不堪呢。那不是爱，是占有。...&#34;經典            
(NA)	 不错不错            
(4星)	 主题鲜明，打发时间也OK            
(3星)	 感觉比奋斗还不现实。。            
(NA)	 《奋斗》的姊妹篇，名副其实。特喜欢里面的京片子味。            
(4星)	 喜欢小样儿～            
(5星)	 貌似又是一度掀起一阵浪潮吧            
(4星)	 带着青楚的理智追求小样的爱情，是不是很傻很天真？            
(2星)	 我的青春大学做主 我的青春党做主            
(4星)	 很温暖的家庭            
(5星)	 喜欢经典的台词，还有王络丹~~贼喜欢她            
(NA)	 。。。。            
(5星)	 一样的石康的作品，充满现代的气息，不落俗套~            
(4星)	 为什么我无法喜欢上钱小样呢？好像所有人看过之后都觉得钱小样好可爱，却只有我觉得她太过了！            
(5星)	 珞丹珞丹我爱你 还喜欢高齐 剧中的生活太过梦幻了 哎            
(5星)	 没看过奋斗，就得不错~老爸老妈也看了~呵呵            
(5星)	 比奋斗还要好！            
(4星)	 比电视剧更彷徨的青春相比，是当时的自己。            
(5星)	 虽然离现实还是有很大差距，比如有钱有权的家庭背景和亲朋好友~不过从某种意义上来说，也算是相对而言比较贴近生活，符合我们这代人想法的了            
(4星)	  喜欢钱小样            
(3星)	 忘了是为什么硬是看完了            
(3星)	 2009年看的三部电视剧之一~貌似没有青春的表现~最好玩的是哪位做生意的妈妈~台词很逗~            
(4星)	 叛逆是每个人必经的历程~            
(4星)	 喜欢在臭臭长长的细节中找到自己影子的感觉。青春期pk更年期；自我实现vs社会认可；还是要坚信：little things make life great。            
(3星)	 高齐同志，您真不容易            
(5星)	 同感            
(4星)	 不可多得的国产偶像剧,不过始终是梦.            
(5星)	 我没看过奋斗，只看过这部。我已经很多年没看过大陆的电视剧了，感觉还是挺清新的，大四毕业前。男人都喜欢青楚吗？因为她真的看的清楚吗？            
(4星)	 高齐高齐 我爱高齐            
(NA)	 好看            
(4星)	 又是经典的台词，但还是更喜欢奋斗的台词些~            
(2星)	 看了两集没看下去            
(5星)	 台词写的倍儿棒！爱上京片子，爱上年轻的激情            
(5星)	 棒！            
(NA)	 都够贫的~~            
(4星)	 美好的青春            
(NA)	 必须我做主            
(3星)	 比奋斗好            
(4星)	 恩 好像差不多            
(4星)	 不太现实- -没这么好的父母            
(5星)	 青春 励志我觉得比奋斗好啊            
(4星)	 看了后哭了 很触动  对我迷茫的人生 我的未来又会如何            
(4星)	 嗯 不错！            
(5星)	 小样很可爱！~故事也还蛮好看的饿！~            
(2星)	 有点矫情！不喜欢里边的赵子琪说话太刻薄            
(3星)	 这片很假也很俗，并且高估了北京的消费实力，但是就是看得下去。            
(5星)	 我喜欢很喜欢非常喜欢 看完了难受 是因为我不是小样吗 还是因为某人不是方宇            
(5星)	 孩子的一生如何走下去，自己选择，父母应起得作用只是提提建议的辅助作用，在不违反原则的情况下给子女留广阔的自由天空。             
(4星)	 太不够现实了 还是没有奋斗好看            
(4星)	 三个不同家庭 有三种不同的教育模式 存在着三种不同问题 可是他们在一点上无比的统一 那就是孩子的未来掌握在他们手里,孩子应该按照他们想的去走人生.三个不同的女孩,三种不同的对抗方式 可都是为自己争取自由和掌控自己的青春.             
(3星)	 情节很假。。            
(NA)	 里边的台词很多挺不错的,&#34;死亡是物质的消亡是死胡同&#34;很欣赏他们的生活态度,也喜欢他们的生活状态,只是那些离我都太遥远,毕竟是现实,毕竟还是电视剧            
(3星)	 冲着钱小样语录            
(5星)	 很好，对青年有积极的指导意义            
(4星)	 适合80后的看            
(3星)	 更喜欢编剧的写作能力，越来越多的王朔的那套东西，听着过瘾，没觉得戏多好看，就这感觉            
(4星)	 样儿～还闯祸不？！            
(3星)	 就为了看钱小样儿，但情节比奋斗感觉更贴近生活            
(4星)	 小样            
(5星)	 很爱。            
(5星)	 “可怜天下父母心，爱我不是帮我做决定，让我自己做决定，一个人决定”好看，演出了现代年轻人与老一辈的思想撞击            
(5星)	 喜欢小样 很喜欢。            
(4星)	 向錢小樣同學學習~            
(3星)	 叫你猜！            
(NA)	 这部片我在暑假是看了,说真的，这部片真的很符合我们现在的年纪看！3姐妹各自代表了我们现在的年轻思想，说到底我还是喜欢小样的青春风格↖(^ω^)↗            
(4星)	 不错            
(NA)	 向上，            
(NA)	 像奋斗一样的感觉            
(5星)	 自己的事自己做主            
(NA)	 很喜欢，喜欢里面每一个人所扮演的人物性格，赵青楚的纯粹，钱小样的成长，李霹雳的执着，            
(5星)	 启发很大...            
(5星)	 喜欢小样            
(5星)	 超棒。不喜欢奋斗，但特喜欢这个。            
(3星)	 挺一般的电视剧，被讨厌的原因多半是它太高调……事实上一个电视剧能改变什么呀，别太高看它了行不            
(4星)	 仅此一遍！            
(5星)	    太喜欢王珞丹了，            
(NA)	 又很远～～～·            
(5星)	 喜欢小样的性格            
(5星)	 很喜欢很喜欢的一部剧. 反复看. 反复读台词. 喜欢小样.            
(5星)	 越到后面越感动！！丫的里面的男的都太好了！女的也太好了！总之就是太好了！虽然爱的坎坎坷坷，跌宕起伏，却让人看到了爱的力量~此生唯爱，无怨无悔！每个人都感动着我，青春啊，这就是青春！大爱高齐！！！这个男人太完美了！很帅的一部剧！或许前面不怎么样，但越看越爱！            
(NA)	 好看            
(4星)	 看了，主题应该是老套的了，但是结合了现在的青春励志，值得一看。            
(5星)	 看到完            
(3星)	 那个那个叫王珞丹的，我也不知为什么就是看她比较感冒，就《奋斗》里面的那个腔调，也能形容是女强人？晕S！！！这个剧集里面嘛，真做作，看看人家赵琳嘛！            
(5星)	 非常喜欢里面的台词，还有王珞丹            
(4星)	 我的青春我做主!            
(NA)	 小样很好。            
(NA)	 奋斗的姊妹篇            
(4星)	 青春是需要奋斗的 在现实中给人希望~             
(5星)	 青春最大！            
(5星)	 最喜欢钱小样            
(5星)	 个人觉得比奋斗好看……            
(4星)	 还行             
(4星)	 比《奋斗》少了很多扯淡，不过依旧有不合理之处。方宇和高齐告诉我们：先下手为强！不过尽管如此，高齐依旧最为华丽惊艳！最爱王珞丹！            
(NA)	 没多好看            
(5星)	 爱死这部片子……            
(3星)	 看过蜗居后还是觉得理想主义比较适合我            
(NA)	 没日没夜一天一夜，看完了这部剧，三个女孩都各有特点，喜欢小样的自在和个性，喜欢青楚的睿智和理性，喜欢霹雳的亮丽和敢作敢为，看看他们的生活，为的是不让自己忘记我也是个年轻人，该做年轻人的生活，有着年轻人的样子            
(4星)	 看了一遍。。看懂了不再看了            
(4星)	 给我一个高齐吧···            
(4星)	 比起蜗居来说。这个真的很青春。            
(3星)	 这小台词写的            
(5星)	 因此喜欢上丹总            
(4星)	 看了让人奋进            
(5星)	 青春自己创造！            
(4星)	 还是挺好看的。            
(4星)	 当做幽默剧来看            
(4星)	 王珞丹。            
(5星)	 喜欢王络丹呀。期待赵宝刚的下部剧作。喜欢里面的京味儿话。哈哈。            
(4星)	 有点悲剧才是生活啊。            
(3星)	 谁做主又有什么所谓，拼得过老天爷吗            
(5星)	 我喜欢钱小样的话“我这么喜欢你，你喜欢我一下会死啊！”            
(NA)	 有点小幻想。。            
(4星)	 一群女人的故事            
(NA)	 我的未来不是梦            
(3星)	 跟奋斗差不多，一个样。。。看不看两可。。。            
(5星)	 喜欢小样！            
(4星)	 还可以，比奋斗更现实点。            
(4星)	 人太多太杂了。米莱升级咯、            
(4星)	 不喜歡王珞丹了.......            
(3星)	 至少没有骂的理由            
(5星)	 80后必看奋斗篇。            
(4星)	 钱小样太可爱了~~~~            
(NA)	 喜欢王珞丹，喜欢朱雨辰            
(4星)	 高齐~里面の高齐，心碎乌托邦            
(5星)	 觉得和奋斗是两种感觉，更喜欢奋斗，这部片子更多的激励年轻人对爱对理想应该执著追寻，对真理也是。好片。            
(4星)	 比《奋斗》现实了很多，不再仅仅是个人小小的世界。            
(4星)	 喜欢            
(4星)	 这花儿真好看，一看就知道是假的。            
(5星)	 最爱之一            
(NA)	 为了王珞丹看的。            
(5星)	 台词很经典~~~            
(3星)	 不喜欢男女一号，非常的不喜欢。            
(4星)	 如果连爱都不行，还有什么能够抵得住消磨            
(5星)	 看了几遍了，有意思！            
(3星)	 受不了赵宝刚每次选的男演员，上一部是佟大为，这一部是陆毅            
(4星)	 喜欢小样和钱进来            
(NA)	 赵宝刚的就没有不好看的~            
(4星)	 青春，值得自己去奋斗，去争取，虽然沉重，但是沉的珍贵！            
(4星)	 小样可以的!            
(4星)	 还好。看了第一集我就一直想知道像钱小样这么普通的人是怎么在北京闯荡下来的，最终会怎么样。看到最后一集我知道了，还是靠关系。一点失落感~~~~            
(3星)	 励志励志励志，其实没什么志可励。            
(3星)	 忒假            
(2星)	 扯            
(4星)	 当爱情跟现实冲突的时候，你会选择哪一个？            
(5星)	 看了好几遍            
(4星)	 我觉得这个片子说白了也就是讲了&#34;年轻&#34;多么&#34;年轻&#34; 爱憎分明 喜欢就是喜欢  自己最清楚            
(NA)	  王珞丹 , 哦耶            
(4星)	 很多人都在说“奋斗”和“我的青春谁做主”很不现实，但无可否认，这两部片子的确很火，尽管见仁见智。其实，赵宝刚的这两部戏从制作的角度出发无懈可击，只不过，对于很多人来说，片子里的人和事都过于可望而不可及了一些。            
(1星)	 我看了一集就受不了了...往死里看不下去。            
(4星)	 小样的爱情..            
(3星)	 陆毅那张嘴脸看着就想bring out!            
(4星)	 推荐的只是台词。            
(5星)	 看够了外国的战争片回来，再看到小样方宇，我发现，自己离生活很遥远。大学看到过的电视剧，越狱已经忘记了，奋斗还有点模糊的影子，遥远的青春记得还算深刻，小样和方宇让我感动了。江一燕演的周蒙也曾让我欣喜，但那样的形象依然只能在故事里出现。小样是生活中的凡夫俗子，方宇也似曾相识            
(4星)	 比1好看            
(5星)	 要努力,为了咱的audi.....            
(5星)	 呵呵，我们喜欢的小样儿·~~gaoqi完美的男人··~~~~            
(4星)	 蛮好的 台词欠缺幽默吧            
(3星)	 导演想说的东西是好的，但就是没想好怎么说。喜欢王珞丹！            
(4星)	 前半段还是有点儿现实的，后面就有点儿离谱了。不过还是比奋斗真实了些。            
(5星)	 不错的……            
(4星)	 是啊~~我也想问 我的青春谁做主？            
(4星)	 是一部比较贴近生活的剧~语言很生动~这部剧很流行哇~不看的人就OUT了~            
(3星)	 总的来说还可以，电视毕竟是电视            
(3星)	 幸福就是猫吃鱼，狗吃肉，奥特曼打小怪兽            
(3星)	 谁都做不了主            
(4星)	 律师也不好当            
(4星)	 如果愛都不行 還有什麽可以抵擋時光的消磨            
(4星)	 轻松            
(3星)	 贫呗            
(NA)	 最近朋友说了句经典的话：看完奋斗对未来充满憧憬，看完我的青春谁做主斗志昂扬地投入到奋斗的洪流之中，看完蜗居突然觉得奋斗有啥用呀……            
(NA)	 青春自己做主呗            
(4星)	 我觉得可以            
(NA)	
(4星)	 陪了我一段时间            
(3星)	 恩 要有为自己青春作主的勇气 大家庭的生活还蛮有共鸣的             
(5星)	 老子就是喜欢= =            
(4星)	 你有什么不开心的事啊,说出来让大家开心开心~~            
(3星)	 现实而又富有活力的一部青春偶像剧！激励我们80后应该为自己的理想去努力，不要有太多的顾虑和牵挂！青春，就是有着大把时间和精力去奋斗的年龄！就是可以不顾一切敢爱敢拼的年龄！即使失败了，我们也无所谓！因为我们本来就一无所有！因为我们还有足够的机会重新东山再起！！忽忽~~~            
(NA)	 哈哈，林林姐也在煲这个呀~~~            
(NA)	 从《奋斗》到《我的青春谁做主》到《蜗居》，送给80后的我们吧！            
(NA)	 流行时不都看吗            
(3星)	 小样我爱你！！~            
(5星)	 他们说的话很实际            
(4星)	 终于看完了，，感觉很是意犹未尽啊，虽然感觉不是那么特完美，但是也很是满足了我的胃口，，一时半会还平静不了，，，总结一下：我喜欢高奇，太酷了，最酷的就是他            
(4星)	 只能说人们一般关注并共鸣与自身巨类似的事物。            
(3星)	 真空中的理想主义；完美男人PLUS完美女人            
(4星)	 完全不理解某集赵青楚打赢遗产官司得到一大笔直接买红色奥迪，所有理由都是借口，那时候小样爸爸正缺钱呢，她怎么能这么用呢！！！铁定追高齐~~~台词很不错            
(NA)	 不看奋斗不看蜗居。就是一直理想主义然后真实生活。雷蕾雷蕾雷蕾~（*@ο@*）             
(NA)	 剧情假对白假表演假            
(4星)	       我的青春我做主，拒绝依赖，为自己的理想而努力奋斗。YES!            
(3星)	 一般一般            
(4星)	 最喜欢 小样 因为觉得自己和她很像 这辈子什么都做不好 坚持不住 但是对待感情我可以做的很好 很坚持             
(NA)	 我的青春我做主            
(3星)	 如果青春。那么，我们还是那样。            
(2星)	 我是真的很不懂这部剧啊不懂啊不懂。。一星给超人姥姥和美女三姐妹~看了评论后决定给高奇的逻辑一星。。            
(4星)	 王珞丹 舒服            
(4星)	 编剧编的已经开始部分接近真实生活了。            
(4星)	 钱是王道，其余扯淡，这类片不看就知道这个主题，还是看了，不错            
(5星)	 大爱啊，青春一族必看！            
(3星)	 和妞妞在自习之余看完的…            
(NA)	 青春，我早已没有了青春            
(4星)	 个人觉得这部剧集并不比《奋斗》差，在诸多地方更有特色，至少接近了一点我们的生活，而不会从天而降一个富翁老爸。我对该剧集的太多是看过就可以。青春的生活是不可复制的，不求过程一样，只求他们的率性就好。赵宝刚导演虽是锅炉工出生，但他捕捉社会年轻人的思想确实非常厉害。            
(5星)	 台词句句是经典~~看了后1/3多~~喜欢里面所有人物的个性，尤其是女青年~太强势了！！！《奋斗》的背影~坚持，执着，独立，有主见，敢爱敢恨，敢做敢当！！！我的青春我做主！插曲——《只为了你》好好听~~有些歌需要意境才会觉得好听~~看了电视剧会感觉超好听~~            
(5星)	 幸福就像猫爱吃鱼，狗爱吃肉，奥特曼爱打小怪兽！            
(5星)	 喜欢里边所有的台词，这才是80后心声的片子~不撞南墙不回头~！为什么不翻墙呢？            
(3星)	 看了一半没坚持看完，囧            
(5星)	 我喜欢钱小样            
(2星)	 2星半            
(3星)	 我的青春我做主            
(4星)	 高齐真是绝世好男人            
(2星)	 娱乐            
(4星)	 谁也做不了主            
(5星)	 这部电视剧里最可贵是姥姥的开明和三个母亲态度的转变，可惜在现实中这还真是可遇而不可求            
(5星)	 一部让人很激动的电视剧，原声带有一段时间让我很痴迷。我知道，我痴迷的不是音乐，而是那一种状态。奋斗不止，自强不息！            
(4星)	 中国近几年难得的好电视剧啦，但是导演为了突出矛盾似乎设计了太多矛盾的桥段            
(3星)	 有些虎头蛇尾，有点好            
(5星)	 少数我不愿意错过一集的电视剧            
(4星)	 有一种稀有生物叫做高齐            
(4星)	 全看王珞丹和朱雨辰去了~            
(3星)	 絮絮叨叨吧，很不喜欢赵子琪            
(3星)	 终于结束了……            
(NA)	 经典的对白 精彩的故事            
(NA)	 痛疼的青春，大家付出太多，得到的也不会让你失望            
(NA)	   一般，不怎么喜欢！！            
(3星)	 感觉里面最牛的是姥姥            
(NA)	 小样儿太闹听了，还是米莱的感觉好~青楚和霹雳都不错~            
(3星)	 顺利的人扼住命运的喉咙不顺的人被命运扼住喉咙其实都是命做主            
(3星)	 小样太闹了，蕾蕾很有性格~~最后皆大欢喜            
