http://movie.douban.com/subject/3732807/	双头犬 オルトロスの犬
(4星)	 看这个我经历了三个阶段 先开始觉得这设定各种既视感和女警官去看龙崎时微妙的有种抄袭沉默的羔羊那段—到中间觉得剧情还不错 有些地方挺内涵的讨论人性什么的—最后的结局太……基了……什么叫我知道你的爱很深 你一切都是为了我 还双双殉情未遂 最后还来个老套的擦肩而过真是狗血……总体来说还行            
(4星)	 最后居然是兄弟生死恋尼玛！            
(5星)	 两大帅哥啊~嗷嗷~            
(5星)	 天使与恶魔是命运共同体。            
(5星)	 如果我有点致人死地的能力恐怕会乱用吧，笑一个            
(3星)	 这操蛋的SB结局...要换俩人演估计一集也撑不完可泷泽你帅得太过分了...还有忍成为啥啥剧都有你在打酱油...            
(NA)	 就为了看龙泽SAMA，实在无聊的紧            
(4星)	 女主 完全被无视了            
(3星)	 设定不错，剧情记得一般了。            
(3星)	 日剧多年来的路线是时候换换了……            
(NA)	 就是基啊！！兄弟！！            
(5星)	 有龙泽PAPA就足够            
(3星)	 J+前后辈共演takki+66+81。其他没了。            
(3星)	 人帅 剧。。。就那样吧 反正也是冲着Takki去的            
(3星)	 还是...一般            
(4星)	 阿亮真帅。。。            
(5星)	 轮了两遍的剧啊！！第二遍看到血槽全空泪流满面在床上翻滚啊。被哥哥弟弟的真爱瞬间击毙了啊！！！因为对66和腹黑大头龙的真爱所以是5颗猩啊！            
(4星)	 三颗星给藏叔！没有你这部片子就失去了意义；一颗星给龙泽秀明，果然是J+唯一欣赏的美男子；最讨厌水川麻美的长谷部，蠢女人，死去吧！            
(3星)	 太...太挫了....            
(3星)	 看毕。=200910=当年是为了水川MM追的剧？=20110917=            
(4星)	 瀧，澤，秀，明，真，好，看。// 錦戶亮也加分了。// 人性。// 總之就是每個角色都很棒。// 兄弟情什麽的最腐了。// 結局猜到了。            
(4星)	 亮酱颜最高的时候~            
(NA)	 ryo的眼睛！Tackey的泪痣！            
(4星)	 我只知道小亮每次NG都是因为隔takki太近了 不好意思地低头笑了            
(5星)	 剧情相当紧凑~前面情节满吸引我的不知道后面会不会烂尾呢？            
(3星)	 一般一般吧            
(NA)	 岂止是基.....            
(4星)	 我只是把曾经的记忆留下来~~开篇的时候曾经在想，救人的手究竟可以怎么做坏事~~~原来，说起人性，，我还是败给日本人啊~~~            
(2星)	 09年真出了不少阵容强大，剧本不如眼的多拉马            
(4星)	 66演的不错~~~很温柔也很无奈的男人~~            
(5星)	 6爷的片要一个一个的过！！！            
(5星)	 越看越觉得其实这部剧挺好看的~            
(3星)	 帅哥也挽救不了的烂剧情啦~全剧是在混乱的逻辑与奇怪剧情中度过~不过未了takki硬撑下来的~结局不错~能力相互抵消~意料之外~            
(5星)	 通过这剧掉进了总长的无底洞，心甘情愿！！！            
(3星)	 剧情有点俗，但过程还是蛮有亮点的，给亮点+1星吧            
(5星)	 太好看了！！有帅哥有情节有哲理！！            
(3星)	 我都忘了我看过了！！！            
(3星)	 情节设置欠合理，几条线穿插表现也不够清晰，可以看到的是贯穿始终的暧昧+虐心。虽然还是令人感动了，但要不是泷泽秀明那么好看。。估计不会看到最后一集吧。            
(NA)	 结局没看。。。。            
(3星)	 又是一部很变态的日剧            
(5星)	 漫画改编的剧情就这样了，就花痴泷泽秀明了（¯﹃¯）            
(3星)	 兄弟呀            
(5星)	 让人值得去思考的事情            
(4星)	 我觉得他应该是想拍出一部主旨很深刻的电视剧。但是在我眼里除了JQ什么都不剩了……            
(3星)	 有日剧惯有的我不喜欢的风格 但是想要探讨的问题还是挺有意义的            
(4星)	 Takky演坏的，Ryo演纯良真是奇怪(~_~;)完全反了嘛，诶            
(4星)	 卧槽主要是看男人来的&gt;_&lt;            
(5星)	 好看！！！            
(3星)	 還行            
(3星)	 看人吧            
(4星)	 开头有点闷，看进了倒是听不下来了（笑）。还有真是够基德噗。            
(5星)	 最初还觉得两个小受能干啥。后来没有调侃的心情了，真的好喜欢龙崎。如果最后他们两个都死去也不是个坏结局            
(2星)	 无聊            
(4星)	 泷泽养眼，臣司这角色就是个苦逼，锦户亮真是很下垂眼            
(3星)	 剧情毁了卡司            
(4星)	 我喜欢龙崎！！！            
(3星)	 好的故事 可是这情节 这台词 都很不给力啊 唉  浪费了亮和泷泽的演技啊            
(4星)	 不错~            
(5星)	 本来就是冲着takki看的，他这些年出的日剧月来越少了，这部不能算是经典，但在我看来自从演了《太阳的季节》以后，他的眼神越来越冷酷犀利了，和那个《西洋古董洋果子店》的可爱越来越远了，成熟了吧。            
(5星)	 为什么兄弟之间不告白呢~            
(3星)	 从第一话直接跳到最后，看了那个传说中很腐的结局，于是时隔四年TAKKI再次主演的剧就这样鸡肋一般地结束了。            
(5星)	 为什么分数不高？我觉得很好看，小亮的部分看得我纠结死了。。。。心疼。水川麻美也超有气质的！            
(3星)	 兄弟什么的是很萌，可是说不上来有种沉闷感            
(2星)	 很好的创意，很烂的剧本，情节混乱，前后矛盾的地方太多，逻辑不通的地方太多，还有那可能从任何时间突兀出现的片头曲或片尾曲…            
(3星)	 “每一集总有龙泽唆使亮亮杀人的戏份，每一次亮亮在杀与不杀之间的挣扎是最让我激动的。” 笑            
(4星)	 其实我一直觉得这部剧没有女主，或者说女配都可有可无……            
(4星)	 兄弟啊~有爱~            
(5星)	 推荐，很高端。            
(5星)	 papa的魅力真的没话说！第三集 呢个大臣问他想要什么 他回答爱 好戳泪点有木有啊！            
(NA)	 几集，弃。哪怕是永远的泷泽秀明，都留不住想弃剧的心。            
(5星)	 两个人其实都是天使性格。            
(4星)	 有的地方還蠻扯的麼⋯⋯各種演技阿⋯⋯            
(3星)	 就是看看小明的            
(5星)	 09TBS夏金十            
(3星)	 哈哈 哈哈哈 哈哈哈哈            
(5星)	 “我知道你爱我”噗噗~~~~~~            
(4星)	 帅哥就是吸引人啊~~~不过这剧引发了我对人性的思考。。            
(3星)	 哈?讲了什么来着            
(3星)	 让我看到这么多矛盾的地方，其实剧情挺不错的，就是没主次，不能把观众带入情绪。泷泽秀明气场强大啊~~一个细微的表情都那么帅。为什么龙崎爱女警，是因为他早就认识到了人性，喜欢纯粹性格的女人么？女警不讨人喜欢啊            
(4星)	 给结局4星 偏偏就喜欢这个结局。最后终于想出来了 演白川加奈的女纸是演《恋空》里 美嘉的朋友的那个女纸            
(4星)	 第一部追的日剧 应该也是唯一一部            
(3星)	 无语..太弱了，明明感觉设定还不错的。            
(5星)	 亮是总受            
(3星)	 都是我本命我还是没坚持下来好羞愧TAT TAT            
(2星)	 看了一半看不下去了            
(4星)	 剧情很狗血，泷泽很帅，最后一集堪比琼瑶阿姨煽情大片。。总结：很腐很欢乐。。            
(3星)	 剧情很烂啊…………            
(4星)	 人爲了對自己重要的東西，真是可以背叛一切，放棄一切吧。人性啊。龍澤跟錦戶亮兩人，好養眼啊~~~亮啊~~你能不能不要這麼受啊！！特別是你跑步。龍澤你完全是個攻啊！！！腐吧~~！            
(3星)	 看过几集 设定太科幻？诡异？非现实？……            
(5星)	 不错的剧，看这部剧完全因为亮，最近一直在看亮的作品，发现他演绎的大部分角色都是，温柔或深沉的，很帅的说，最近很喜欢他            
(3星)	 打着腐女必追的旗号 结果是两兄弟 作孽哦            
(4星)	 冲着6爷去看的。剧情不错，演技也不错。不过= =我就是弃了。看了前2集和最后一集。            
(4星)	 有的地方还是蛮有笑点            
(NA)	 上帝之手和恶魔之手            
(5星)	 给你五星 哈哈！就因为我猜到结局。            
(5星)	 一口气看完的!!实在是大赞!!!又帅又有演技!!            
(3星)	 明明就是两兄弟的基情嘛。。。摊手            
(4星)	 兄弟禁恋            
(2星)	 四集果断弃            
(NA)	 狗血...            
(4星)	 故事很好。。不过感觉结束太快了。。            
(NA)	 我能说我只是看了一点点么            
(NA)	 泷泽秀明好帅            
(4星)	 虽然很好，但是总觉得美中不足。            
(3星)	 还行吧。这个片子。。貌似当时看的时候我还是很紧张的。。            
(4星)	 题材很新颖~~泷泽秀明有些老了……            
(NA)	 泷泽秀明原来就是演L的那个呀。。。帅归帅，可惜太矮了。。。            
(4星)	 腐！最后烂尾。            
(4星)	 咳，6.            
(4星)	 喜欢锦户亮 就去看了 剧情还可以的              
(4星)	 最后那是。。。烂尾啊，我就觉得be了            
(3星)	 此片告诉我们闷骚好人只能去搅基            
(5星)	 爱上小亮了～～～结局好棒！            
(5星)	 低期待有大大大大惊喜 亮大爷！            
(4星)	 總長演得不錯....亮爺也很棒... 時隔這麼久 終於又看到總長了...激動！！            
(4星)	 异能哦。。。            
(3星)	 剧情很狗血 男主角很帅            
(5星)	 挺不错的剧情和演员。泷泽~好帅啊！ 我不要花痴了、可是。。。算了            
(5星)	 看完最后一集 我风中凌乱了 但敢肯定的是 这是一部腐剧。。。本来期望水川姐姐可以跟谁在一起的 最后她不仅打了酱油 还把我也彻底腐化了。。最受不鸟两帅锅的深情对望了。。。            
(5星)	 神之手/恶魔之手。。大爱泷泽秀明=-=            
(4星)	 总有点虎头蛇尾的感觉，难道是看完前几集，期望过高了。总之，值得一看！            
(3星)	 2個帥哥。。            
(2星)	 要说什么啊这是            
(5星)	 五颗星为了泷泽秀明和锦户亮~泷泽gg这么多年长得更正啦~即妖孽又man！声音也好听！最后一集的最后二十分钟让我彻底沦为腐女~哈哈哈！            
(NA)	 还没看完，找机会继续看。            
(4星)	 好腐的片啊，takki+66果然绝配。人性神马的，真的都浮云了。为结局那一小段加了一颗星。以上。            
(4星)	 你们这样没营养的耍帅是不正义的！！！            
(3星)	 看了一半弃了。。。因为它最后越说越离谱已经不可能说圆了，亏我开始还很期待这部片来着，因为最初设定真的很强大。。。可惜了这么好的设定。。。            
(5星)	 我了个去你俩就这样了？！要虐死我么要虐死我么……我连一个拥抱都没等到啊囧……            
(5星)	 泷泽秀明的演技真的没话说，他讲一句台词就能让我连贯情节眼泪瞬间掉落。相较之下锦户亮有点失色。女警察也还不错吧，还蛮希望和泷泽秀明在一起的。最后开放式结局也很感慨啊~            
(4星)	 其实龙崎是个温柔的人啊。。。。有颗柔软的心呢            
(4星)	 因为有光            
(4星)	 中间有段看不下去...跳到了最后两集....泷泽大神对不住了            
(4星)	 不错            
(4星)	 最后到最后才发现不错。。。            
(4星)	 Taki不多的剧之一（这家伙还真是有够自恋的，自恋到把66都比下去了，不过毕竟是前辈啊）            
(2星)	 太狗血了。。            
(3星)	 擦虽然我已经一直在拉进度了但不得不吐的是这剧的结尾也忒狗血了吧...            
(3星)	 剧情太白，只为两男主的颜            
(5星)	 大和谐的结局让我决定给满分，就算剧情再狗血不真实，但绝望中的一点纯洁，黑暗中的一丝光，总是能打动我            
(4星)	 泷泽秀明~~以及受亮~            
(4星)	 我还觉得挺好的            
(3星)	 一攻一受很和谐,每次Ryo杀完人后自责的小表情简直萌翻了.            
(3星)	 除了俩男主真的木有什么好看的……泷泽都已经长的看不出小时候的样子啦……            
(3星)	 剧情设计不紧凑 看着暗调的主演们 很犯困 同类型中 绝对比不过《魔王》            
(4星)	 兄弟情啊！            
(4星)	 结局太狗血- -让人家兄弟俩幸福的生活在一起很难么- -可惜了人家两个人的眼神交流T T            
(3星)	 黑皮大战头哥            
(3星)	 开始学汉尼拔真的是.......总之太拖沓,也无紧张感.就很想知道结局,结果还是没坚持下去....            
(4星)	 虎头蛇尾···            
(4星)	 看完之后一直在找亮爷受的RPS我容易么…            
(5星)	 我的爱爱爱爱爱爱爱爱爱爱爱爱爱爱！！！！            
(4星)	 还以为最后兄弟殉情了，噗= =|||臣司赛高，凉介偶尔抽风但关键时刻还是能拧过来的。尼玛最烦那个装逼女警。熊切父子很感人，小光演的不错。大根神马的除了开头就没看到= =。。。。。。。。以上            
(3星)	 我弃了 对着泷泽的爱看的 但是追着好累 就弃了 哪天翻来再看吧            
(2星)	 只有头哥的颜能看，让头哥治痔疮什么的实在是太刮三了            
(3星)	 我好像是看了一二集，然后看了简洁后直接看了结局嘿嘿……            
(4星)	 结局很狗血，最后一幕很温馨            
(4星)	 泷泽的角色臣司，令人欲罢不能的哀伤少年啊~。            
(4星)	 就从设定和泷泽还有KYO的脸上来说，。也绝对有资格列为腐剧！而且。觉得龙泽一直在调戏小亮啊= =+            
(2星)	 。。。。这是个毛？！            
(NA)	 锦户亮的眼睛很深邃……            
(4星)	 泷泽秀明。。            
(NA)	 不记得当初因为很么原因没有看下去了。。。明明具备了日剧所有的卖点。。。            
(3星)	 这剧要不是泷泽撑起来了，别人演肯定挺sb的。。            
(4星)	 一晃从魔女的条件到现在喜欢泷泽秀明已经有10年了，长大了，我也长大了。。。            
(5星)	 充满爱的地狱，最终解脱的幸福            
(4星)	 如果不是最后一集那个烂尾，完全可以五星啊~泷泽完全没老啊，低沉的声音太帅气了！倒是锦户亮看着更老啊……            
(3星)	 两男主实在是喜欢呀~~~            
(3星)	 锦户相当受= =            
(NA)	 浪费了帅哥 不看了            
(2星)	 烂片            
(3星)	 我记得我看过            
(3星)	 說實話我看到一半看不下去了。。            
(4星)	 - -不给力的剧情。。。给力的JQ            
(4星)	 很不错，除了女刑警蠢了点，不过这是套路，总需要这样一个人嘛            
(3星)	 为了小光追的剧.            
(4星)	 好吧 这玩意= =             
(3星)	 本来很有爱的设定，结尾太囧了。兄弟二人携手为患世界，玩个天翻地覆多好，日剧干嘛一定要有教育意义。。。            
(4星)	 喜欢得不得了啊~papa            
(3星)	 木有看完。。。原来这个也腐。。。OTL            
(4星)	 情节很脑残，道理很深奥。又浅显。日本人啊日本人。            
(4星)	 看到后面突然觉得好看起来了。。。            
(3星)	 为了演员看完了            
(4星)	 受死了            
(3星)	 其实除了结尾仓促了点,创意还可以= =            
(4星)	 不同的立场 不同的观念 感人的兄弟情 为神马最后要不遇见啊 啊啊啊啊啊啊啊啊啊啊            
(5星)	 结局不够甜啊啊啊啊！！！！            
(5星)	 知道我打五星是为了什么么。这部剧明显就是为腐女服务的嘛 = = 什么“我知道，你爱得太深了。你都是为了我。”能不能更狗血一点啊.......两兄弟深情对视神马的最有爱了。女主是浮云~~~~            
(4星)	 好吧 我对于质量不想多说。。。只觉得不够腐~！            
(3星)	 3话弃            
(4星)	 兄弟两谈一把吧            
(4星)	 竟然被最后一集感动了            
(4星)	 杀人一定是不对的，救人一定是对的，这就是世人的逻辑。            
(4星)	 中间哪些动画是怎么回事儿啊！不要这么潦草吧！！            
(5星)	 泷泽秀明。。。简直是完美的人物设定            
(4星)	 一切事物都是有双面性的。            
(2星)	 要啥没啥的剧，剧情中二，女主碍眼，脑补不能，纯看takki            
(4星)	 【亮爷剧】            
(5星)	 虽然不是那么那么的完美。。有点节奏慢。。但感谢它总是在绕口的讲道理。。越来越喜欢日剧。不那么简单。。            
(3星)	 “孩子们每天都在成长我要用我的手推着他们的脊背往前走。”洞洞你居然正直了！= =噗            
(4星)	 泷泽秀明，你敢再帅点么？            
(4星)	 就记得当时看了觉得大头颜真好啊 然后跑去看魔女的条件去了。            
(5星)	 看的時候想說看完一定要寫篇長篇大論的文章，可看完卻什麼也寫不出來，什麼都不想說，但心裡卻會像很多矛盾的種種，因為很多東西是沒辦法評價的對錯的，所以我還是保持沉默好了......            
(3星)	 剧情中途不错，结尾很平凡。            
(3星)	 刚开始觉得很一般，看着看着就觉得还不错。。            
(5星)	 兄弟萌 求年上            
(4星)	 这里的讨论真不纯良耶 你们真的是在看剧集嘛~            
(4星)	 兄弟情什么的，大爱            
(3星)	 这俩人长得都不是我的菜……尤其这女的更是个败笔……怎么嘴巴就一直长不正啊，一直都是歪着嘴，显得很不屑似的，讨厌的要死……不过俩人演的都不错……            
(4星)	 光看这几张脸就足够了...~~            
(3星)	 四不像            
(4星)	 两个帅哥相当养眼，嘿嘿嘿~~            
(NA)	 绝对是很好的题材，人性中善与恶的碰撞。【自私】的主题已经完完全全的渗透在了主旋律之中。*萌心大动*①小光的买毒品的真不是盖的，比起薮的黑社会之子真是霸气全满！②碧井老师，您的裤裆真是让我看你不顺眼-_,-            
(5星)	 很好很好 暧昧档            
(2星)	 剧情漏洞还能再多点么！！！！            
(4星)	 在善与恶的临界线上，让你看清世人的嘴脸！            
(5星)	 充斥着神秘气息的剧~~思考着犯罪与赎罪、善与恶的主题~~~兄弟再如何也是兄弟，最后一起跳河的场面，让我哭了很久很久~~~~            
(4星)	 很喜欢。            
(5星)	 泷泽和亮哥都很会挑剧本。            
(3星)	 沢村敬之這個角色塑造的很失敗。            
(NA)	 哈哈 原还以为是两个脑壳的狗~            
(5星)	 66和takki表示很有爱啊你们简直是帅死了！！！！            
(4星)	 锦户亮那一笑  世界都亮了            
(4星)	 一黑一白、一正一邪。            
(3星)	 奇迹般的坚持看完了            
(3星)	 看了开头，我就知道是这结尾。。。            
(4星)	 喜欢结局~            
(1星)	 - - 拖着看完，雷剧            
(4星)	 其实还蛮好看的呀。。。揭示人性黑暗面            
(4星)	 为神马有这么顺眼的主演三人啊，papa66和麻美我爱湿你们了。。            
(4星)	 剧情一般，两个男主角都很有腔调            
(4星)	 泷泽秀明，那个气场，震撼。            
(4星)	 时隔多年，再看龙泽，在以往帅的基础增加了man的味道，大爱！            
(3星)	 后半截狗血，但是水川和龙泽美            
(NA)	 Ryo！！！Takki！！            
(5星)	 泷泽秀明太帅啦~            
(NA)	 兄弟爱啊，绝对的羁绊。            
(4星)	 结局有点失望            
(3星)	 还行，看人哦、、、            
(3星)	 我是真的很有腐的潜质啊            
(2星)	 剧情太拖拉了            
(2星)	 2            
(3星)	 あさみ还是和244配            
(4星)	 看完才发现好腐            
(4星)	 帅气！！怎一个帅气了得            
(5星)	 好看……            
(3星)	 就算泷泽秀明在，我也对本剧的监督很无语！还有女主！表奇奇怪怪的让takki亲亲！！            
(3星)	 日本银最喜欢的东西: 新世界&amp;心脏麻痹....            
(3星)	 一直觉得这俩长得神似.....剧情还是日本人一贯爱用的诡异设定...还好吧...我喜欢锦户亮..嗯            
(4星)	 其实多有人生哲理的有关生和死。泷泽秀明在里面真冷酷，呼呼~锦户亮也比以往帅！            
(4星)	 能力与命运            
(3星)	 最烦这种故弄玄虚的装逼戏码 节奏慢 水川大妈无时无刻不是一脸便秘样 看在2男猪的份上给3星            
(NA)	 为 什 么 我 就 觉 得 锦 户 亮 比 泷 泽 秀 明 帅 了            
(3星)	 剧情好没说服力，帅哥养眼，一集半弃之....            
(5星)	 我儿子的光彩被takki盖过去了。            
(2星)	 不是画虎不成，是画犬都没画成            
(4星)	 纯看帅哥的。。            
(2星)	 为了我家Ryo酱强忍着看完了= =            
(3星)	 他们说这是腐女yy的片子他们说泷泽秀明在调戏锦户亮            
(3星)	 基情不足啊~            
(4星)	 都是帅哥呀 六爷~~            
(3星)	 美男。            
(4星)	 如果我受了小伤，那神之手不必救我，请相信我的愈合能力，即使慢了些，如果我受的是致命伤，那神之手请不要救我，因为那是我的宿命。任何人都不能成为神            
(5星)	 一部很深刻的片子。其实龙崎和碧井都是很痛苦的人，然而真正造成他们杯具的并不是一个二个的个体，而是人类内心深处的贪婪和欲望。不过最后结局还是挺好的，看到很欣慰T T            
(3星)	 剧情蛮弱的。            
(NA)	 一集路过。            
(4星)	 这个世界需要恶魔就如同需要上帝一样            
(3星)	 结局比较无语            
(3星)	 各种悲情的苦瓜脸，6酱真是一幅受虐样……哀怨的水川mm，我还是喜欢你的笑脸……            
(3星)	 好题材没拍好，没有水川给2星            
(4星)	 有点像探讨人性的《死亡笔记》，可惜这个世界上没有かみ的说！            
(4星)	 冲着都是我喜欢的演员给了4星，但是当时播的时候，我没有坚持看下去，因为不爱看            
(4星)	 好坏的辩证论            
(NA)	 猪脚兄弟很帅            
(NA)	 亮爷走上了虐剧之路...            
(3星)	 最终话真是狗血。            
(NA)	 01.弃            
(5星)	 故事有意思会一直想追下去 两兄弟很萌            
(NA)	 4            
(NA)	 这是我看得第一部日剧，日本的电视剧节奏快但是不让人觉得突兀，比韩剧有意思多了。虽然人物不一定很美型，内容不一定很唯美，这部也没有CP，但是还是很萌那纠结的兄弟爱。            
(4星)	 男人化的泷泽秀明！            
(3星)	 亮亮亮~！！            
(3星)	 整部对中二还有腐充满了爱与膜拜，中二的老师，中二的女警，中二的研究员，再加上神经质的更年期大妈议员，心理扭曲手段拙劣却把自己比为CIA的无脸大叔，混合拍摄机位瞬间把傲娇哥哥的形象各种高大了 会魔法的蜀黍就是能得到loli的青睐 验尸官打了一圈酱油后去调戏正太们了...吐槽满点啊            
(5星)	 蛮有深度的电视剧，描述了人性的灰暗以及对美好生活的希望            
(3星)	 有点失望，死亡笔记+魔王的感觉            
(4星)	
(3星)	 是我期望太高了吗。。。火花呢火花~~            
(5星)	 我觉得最温柔的是司臣，比凉介的温柔更温柔。果然是没女主角很大的事，果然是兄弟情深。            
(4星)	 神奇？            
(4星)	 有点半吊子了，据说想拍成美剧的模式，殊不知日本人还是拍日剧的模式好，如果走日剧的虐心路线说不定会更好。剧中两大帅哥男主当然是看点，本来女警和龙崎的爱情戏也应该是看点，却不了了之了。但是关于生死，关于神魔，其实有很多值得思考的地方。            
(5星)	 兄弟的羁绊啊！            
(5星)	 超喜欢。。两大帅哥+精彩故事。。很妙的剧本。。尤其是看到泷泽秀明还是这么帅而且更酷了。。锦户亮演的也不错。。喜欢呀。。            
(3星)	 总觉得锦户亮的眼睛怪怪的            
(4星)	 仍然鉴定为腐物，但果然不出乎意料之外地冒出了比腐物等更深刻的内涵什么的。神的治愈力量却使人疯狂，而死亡却可以肃清这一切。这是一种相当有趣的制衡。能力不重要，重要的是使用者。事实证明它后面没有烂掉……仍然是那个气氛如雨后深秋般冰冷，无论哪方面都精准戳中我猥琐萌点的剧。四星半了。            
(4星)	 一集弃。            
(3星)	 小无语            
(4星)	 收视惨淡的。不过还是不错的。            
(4星)	 兄弟爱神马的~啦啦啦            
(NA)	 其实我就想知道龙崎一开始就知道凉介是他的亲弟弟弟吗？？            
(3星)	 这个剧情，感觉完全没思路啊。。狗血了            
(3星)	 泷泽和小亮都不错，水川的存在则比较鸡肋            
(4星)	 我不相信他们最后离这么近都没看见——！！            
(4星)	 锦户亮很适合小阴郁。            
(5星)	 看看人就好            
(3星)	 有点乱，刚开头以为是科幻探究人性，结果是政治和人性。            
(4星)	 成熟后的龙泽开始脱离偶像的光影，情节剧情的张力刚刚好，就结尾有些失色。            
(5星)	 真的很！好！看！啊！为什么评分只有这样那？？？我觉得完全不比MR.B差！！！9.7分！            
(4星)	 很精彩的一部片子            
(2星)	 最后那酷似狮子王的一举抵消了我对TAKKI的爱，让我不由得对编剧说一句：TMD真是糟蹋了两位J家帅哥啊~~~另：J家出品，必有JQ，本剧真的很腐很有爱~~~            
(4星)	 有点意思            
(5星)	 很精彩            
(4星)	 虽然后面很狗血 老实说三个主角的演技不俗啊 泷泽看起来真的很强势 剧情确实-.-唉····三个演员倒是不错了···            
(4星)	 根据漫画改编的剧，还不错            
(3星)	 剧情一般 实在无法把ryo和真么温柔的角色联系起来（LF印象太深。。。）还有 俩人也忒让人腐了吧            
(3星)	 要不是看在两大帅哥的份上...这个片子实在是味同嚼蜡            
(3星)	 跟着同学看的，主要是对主角比较熟悉。可是，剧情，是不是有点太扯......不过，龙泽同学和小六六的敬业精神（在这样的剧情面前）让人感动哈哈哈            
(4星)	 结局bingo~前半部分更加紧凑            
(3星)	 为了asami快速拉完。。。            
(4星)	 这是我完整看过的2部日剧中（其实没看过多少日剧= =汗……）的一部，演员眼神很到位，剧情冲突也比较紧凑。OST很棒！作为资深草根OST粉，我认为这是井筒昭雄做的最好的一次配乐，音乐元素相当丰富。            
(2星)	 失望            
(3星)	 冲着泷泽去看的，原本还在想泷泽怎么老是跟老女人演对手戏，后来才发现原来真正的精髓是“兄弟爱”啊。。。最后一集里一句“你爱得太深了”让我雷了一下。不过不管是哪种爱，片中都暧昧得可以。。。感受有三：1、水川绝对是个鲁莽冲动的警察2、开头不错，可是结局让我有点莫名。既然神力消失了为            
(2星)	 什么乱七八糟的~可惜了我的takki和亮爷~            
(4星)	 看人的，但故事也很有可看性            
(3星)	 觉得概念不错，可惜比起死亡笔记之类的有点差距，不够神秘。            
(4星)	 反正我是兄弟控就是了。            
(2星)	 無聊。            
(5星)	 那么多帅哥真养眼啊！！！！！            
(4星)	   看完后  心里有些难受            
(3星)	 纯粹看帅哥            
(3星)	 兄弟大爱啊~~哭的淅沥哗啦的，虽然结局有点烂尾的感觉，不过不错啦~~            
(NA)	 很好看            
(3星)	 ………………………………无言以对            
(4星)	 最近感觉很多日剧虎头蛇尾的，结局总是不可避免的狗血。。能不能给个像话点的。。于是有没有觉得臣司有点像火影的鼬大的？。。            
(5星)	 大爱小亮。            
(3星)	 生涩……            
(3星)	 看在男主角都很美型的份上，忽略了很多剧情崩坏。。。            
(3星)	 剧情太扯了，喜欢水川MM            
(4星)	 除了兄弟爱，一切都是浮云= =……            
(5星)	 两大帅哥主演，漫画改编，编剧想象力十足，剧情比较吸引人。嘿嘿 不错的说！            
(4星)	 我只能说 太帅了~            
(4星)	 我就是为了看锦户亮 和泷泽秀明没有关系            
(5星)	 和《魔王》一样，超级经典，超级感人，超级好看！大爱啊！！！            
(4星)	 结局扯了点            
(3星)	 兄弟之爱            
(3星)	 泷泽太帅了，别的没什么            
(4星)	 很喜欢三个主角！结局是啥意思???            
(4星)	 泷泽秀明..太喜欢了...            
(4星)	 三星的剧情，但是作为腐女，加一星。            
(5星)	 我喜欢的纠结剧            
(3星)	 腐剧，小碧老师很美。编剧可能是白痴吧。            
(3星)	 很一般。。。            
(5星)	 泷泽秀明，帅啊~~~            
(4星)	 算是冲着演员看的，剧情，剧情就是浮云…………看完想掐死编剧，和接受差别太大- -            
(5星)	 牛B            
(3星)	 冲着6爷看的。具体情节不敢恭维不过我希望我能拥有神之手            
(4星)	 喜欢大头~~哇哈哈~            
(5星)	 真的很不错，希望大家能看看            
(NA)	 还行吧 不过最dj的还是水川麻美~御姐美眉            
(3星)	 到后半部分才提起兴趣啊 前面几集都是在半梦半醒间看完的- -||            
(2星)	 虽有两帅哥主打 但是我还是弃了Orz。。。            
(5星)	 还是神之手牛叉            
(5星)	 个人觉得蛮深刻，蛮好看的，看到全剧终时有种想流泪的感觉，很喜欢            
(4星)	 前面几集一度想打 三分...不过后面挽救回来了~最后的结局还以为 警察小姐会和龙泽在一起...            
(4星)	 拥有神之手的恶魔之手的天使            
(4星)	 冲着俩男人去的。完全折服于评论。            
(3星)	 一集弃 不对味儿            
(4星)	 日本人想象力真是丰富的让我汗颜啊            
(3星)	 剧情 有点看不懂 不过 我爱腐点            
(3星)	 去年追了一个暑假啊，那悲催的结局啊，ASAMI才是主，ASAMI是唯一主，说是4年不理的泷泽担收视我都为他桑心。这悲催的编剧在此剧之后还为我们贡献了更多的囧剧，TBS求您换个有正常逻辑与审美的小学生可能都强点儿。            
(4星)	 本来是很有爱的题材，但是故事情节有些拖沓，虐的不够啊啊啊啊啊基可修~！            
(3星)	 除了美艷的頭哥和受受的六爺，其他都可以無視            
(4星)	 没死为什么没在一起呢~有点小虐啊~            
(5星)	 这么多年了，泷泽秀明怎么都没变啊，还是那么帅！！            
(4星)	 这剧后劲比较足，属于越到后面越好看那种。发现原来泷泽秀明很帅啊~~~            
(5星)	 兄弟年上            
(2星)	 腐剧            
(3星)	 2            
(4星)	 泷泽好美啊……            
(4星)	 泷泽秀明笑起来比酷酷的时候好看 锦户亮走起路来很可爱的 感觉像孩子一蹦一跳             
(3星)	 看帅哥，忽略充满了BUGS的剧情。。。。            
(3星)	 其实我觉得吧。。让他们两个在一起挺好的。。。都这么帅的。。            
(4星)	 这片是腐向的吗？？。。。女主没有存在感 虐到最后一齐便当。。。大桥上送满杀必死。。。真好呀。。。。            
