http://movie.douban.com/subject/1899616/	与青春有关的日子
(5星)	 高三看的~爱死他们耍嘴逗贫了~~~            
(5星)	 我心目中第一的国产剧。            
(4星)	 我们坐在高高的骨朵上面听妈妈讲那过去的事情            
(3星)	 在《血色浪漫》之后的又一部文革时期的青春片，前半段还不错，到后面感觉有点狗血，里面很多精彩的台词，比较出彩的是那个吴胖子，还有飙歌的那一集            
(4星)	 旧时代的糜情。            
(5星)	 狼狈的青春才是那样的激情肆意，这才叫活过            
(NA)	 经典啊！好电影！五彩青春与特殊时代背景的鲜明对比，引人深思            
(3星)	 对那时候的文章有很深的印象。            
(5星)	 一代人的青春，虽然没有经历，但在电视剧中也已有感受            
(4星)	 文革那段日子            
(NA)	 好重的京味            
(NA)	 第一次看了2遍的52集电视剧            
(5星)	 时间过得好快啊%&gt;_&lt;% 那时候最喜欢卓越            
(4星)	 经历过这片子里的一部分生活，有同感。            
(3星)	 文章式            
(2星)	 扯得太多就没意思了            
(5星)	 特别好看，看了无数遍            
(5星)	 印象最深的电视剧 没有之一            
(4星)	 老实说，人物性格刻画的比《血色浪漫》好很多，但是故事主线太单一，李白玲最后死了，卓越也死的冤枉，该死的却没死。导演叶京的编故事能力实在赶不上都梁。歌曲很好听，自打看完这个电视剧，我每天都在哼哼“往事只能回味”和“那些哥们们”，很有感觉。总的来说，真实表现了那个浮躁的年代。            
(NA)	 1            
(5星)	 重播几遍看几遍            
(5星)	 一生中毒 一生受用            
(5星)	 很有感触的一部电视剧，有泪有笑。            
(NA)	 特别好看            
(5星)	 唉   感慨  也学会了很多！            
(5星)	 至今为止，百看不厌的一部电视剧            
(5星)	 原来青春可以这么来过~            
(NA)	 曾经美好的回忆            
(5星)	 断断续续也不知道自己有没有看完···怀念小时候的大院时光···            
(3星)	 可以当成阳光灿烂的日子的平庸版，看了一些资料后想起来了，高晋和高洋，也就是叶京他哥和叶京自己。再想想看，阳光里的羊搞也长得很像叶京呢。            
(5星)	 最喜欢的电视剧之一            
(2星)	 话赶话儿            
(4星)	 那些自以为是，又愚昧无知的青春。  那些闹腾的及时行乐的青春，消逝在我们渐行渐远的回忆里。曾经我们以为我们长大啦，只到有一天我们发现我们真的长大了。            
(5星)	 很喜欢的一部！~            
(5星)	 怀念过去美好逝去的时光~~~            
(5星)	None
(NA)	 短暂的青春，你还能记得多少？            
(5星)	 优美的台词。怪异的人格。            
(5星)	 怎么啦？？？蹲着拉！！！      从此喜欢上了白百何            
(4星)	 我喜欢            
(NA)	 卧槽，我得承认我完整看过            
(3星)	 那个年代特有的情怀而已~任务关系不能理解~即使得到空前解放，感情上也太乱了~            
(5星)	 52集的电视剧5天看完，直接导致短期内不想再看到有活人操着一口京片子跟我说话。全剧就是王朔充满优越感和自恋气息的自我探讨，以及为了毁灭冯小刚而毫不留情地吐槽披露、卓越死前大喊的一句“我自横刀向天笑，留去肝胆两昆仑”真心感动了我。            
(4星)	 经典言语挺多，可惜没美女            
(3星)	 和舍友一起看的            
(5星)	 牛逼            
(NA)	 看到某些人名，我就想起了王朔的《看上去很美》，当初以为有关联，到现在也还是不明白…不过文艺文艺就行，不能当饭吃。            
(3星)	 大结局还行，其他不怎么样，这种友情不要也罢            
(5星)	 台词是亮点            
(5星)	 如果你年轻过，如果你正年轻，都值得一看。            
(4星)	 一到现实，什么都可以变，也就显得以前的情义多么珍贵也多么虚伪，不想看了，我在乎的只是曾经的青春，不是残酷的现实。             
(4星)	 与青春有关的日子,一去不返了            
(5星)	 那个与青春有关的日子            
(5星)	 今天之所以区别于昨天，恰恰是因为昨天的感受依然在我们心中            
(4星)	 和心跳有染，于青春无关。。            
(4星)	 刚开始感觉剧情有点不能接受，慢慢的就习惯了。这帮孙子，都他妈一副嘴脸，一副怂样。见一个爱一个，见两个就爱两个，见6万万人估计妈的都能爱；见不到就装可怜，博取同情，再把同情转为爱。            
(4星)	 喜欢那个叫卓越的小子            
(5星)	 太经典了，看几遍都不腻            
(5星)	 值得回味。            
(4星)	 一小撮人的孤芳自赏            
(5星)	 必须看52集的。            
(4星)	 俩字。青春很牛逼。            
(5星)	 大爱。            
(5星)	 太多经典的台词，太多动人的场面            
(NA)	 喜欢那种激情洋溢的感觉！            
(NA)	 没看全，不过叶京导的都不错            
(5星)	 其实看完了，还是当初看《血色浪漫》那时候的感觉，那个年代的人总是有一种我说不出来的感觉，总能吸引我            
(5星)	 怀念            
(5星)	 不多说了，对于这部。满分            
(5星)	 对王朔小说最好的诠释的一部电视剧            
(4星)	 青春有关的岁月......            
(3星)	 喧嚣、浮华，到最后其实都是平静.......            
(NA)	 在我还那么年轻却不觉得的时候特喜欢地一部片字            
(3星)	 尼玛剧集太拖沓了 刚刚看还觉得挺好看  后面实在是看不下去了             
(4星)	 与你有关            
(NA)	 绝对不是最好看的,却是最触动我的。            
(5星)	 咳~~很感动。。            
(3星)	 不知道为什么，突然厌倦了这种腔调。            
(4星)	 后半部分拖延了故事的架构            
(5星)	 认真看认真听，肯定有收获~            
(NA)	 好            
(5星)	 还是佟大为和文章搭戏好看            
(4星)	 冲着佟大为才看的50多集不是一般的长，里面男女关系不是一般的乱。难道那个时代的人就那么的开放            
(5星)	 真的喜欢            
(5星)	 是可以重温的电视剧之一            
(5星)	 真心喜欢            
(3星)	 没有血色浪漫好看我觉得。            
(5星)	 曾经一度把与青春有关的日子和阳光灿烂的日子搞混~            
(5星)	 爱情，这里有！百珊，我爱你！            
(4星)	 我爸妈喜欢！！！            
(5星)	 好电视剧，热血，青春，友情，爱和背叛！！！            
(4星)	 今天之所以区别于昨天，恰恰是昨天的感受依然在我们心中！            
(4星)	  支持呀               
(NA)	 不觉得怎么好看，不过大多镜头实在广州拍的哦            
(NA)	 27 ，弃。实在受不了李白玲了！！最喜欢的还是卓越和百姗那一对。            
(5星)	 现在看来，我会觉得此剧很胡闹。但是考虑到那样的环境和年代，我想我还是理解了。人从生下来那一刻开始就在马不停蹄的成长，童年青春，一切一切都是暂时的。往事只能回味，只因时光如此美好 2011.6.15            
(5星)	 看过两遍，结结实实被感动了，，，，不过现在很功利的准备结合着王朔，用它写个期末小论文            
(5星)	 看得我呀，每集没落下，结局那段文字我还专门跑去抄一遍，每天早自习读啊读。。。            
(3星)	 20110614今天看完的。前面很喜欢，有点虎头蛇尾了。            
(5星)	 对于那个年代，充满着好奇。            
(5星)	 缝裤杂··小刚导演悲催了            
(4星)	 当时9喜欢卓越来着~            
(5星)	 玩儿的就是心跳，这就是青春；发现父亲那代人比90后还有想象力，还有激情，还更荒淫；其实是一群流氓混蛋的日子，但看的就是荡气回肠；随性而为可能正是我所羡慕与追求的；我们永远是生活的孩子，很多事情永远也figure out不了。            
(3星)	 对佟大为总是无感。            
(5星)	 因为曾经有一段时间很喜欢王朔的某些作品，而正巧在青春的时期读过这本书，然后就看了。总会有一些美好的东西留下，也总会因此而失去很多。            
(5星)	 那段疯狂而又悲催的日子            
(4星)	 那个年代的人生活也这么乱套？？？            
(NA)	 我比较喜欢的一部电视剧            
(5星)	 那个年代想成为第一代暴发户就要下海，当时去广州并不是特别明智，如果去海南会更好，圈几块地卖卖当做原始积累            
(5星)	 很经典            
(5星)	 我多爱那种生活。            
(NA)	 与青春有关的日子里,我们曾一同看过            
(4星)	 值得珍藏的年代            
(NA)	 太扯，荒诞！比血色浪漫差            
(4星)	 青春的激情与残酷            
(NA)	 除了高洋这名字，其他都挺喜欢的。            
(NA)	 原来剪掉了20集，难怪看起来别别扭扭！            
(5星)	 今天之所以区别于昨天。。。            
(5星)	 那会看的时候，半夜里刮着大风。现又想起看了。             
(5星)	 空气在颤抖，仿佛天空在燃烧~            
(5星)	 中间20集拖了3年才看完。但最后一集看得我啊。。。爽坏了            
(5星)	 有关父母青春时候的记忆……            
(5星)	 我什么都不想说。你看了就知道了。            
(NA)	 说不出原因，就是喜欢看。            
(5星)	 很喜欢那个年代的人事物。。。。            
(3星)	 第一次看见文章的时候            
(NA)	 老板的奋斗            
(3星)	 叶公好龙的“叶”古时发音she四声。所以导演叶京说：“哥们名字叫射精。”            
(NA)	 这片忒长 想说的东西就多了 真是看前面时候觉得这片太好看了 能给5星看后面时候不耐烦的很 两星都多吧 絮叨不 拖沓不。看点是多 音乐都不错。 叶京是多不待见冯小刚啊 冯裤子这角色够窝囊的。。最喜欢碴琴的那段。            
(3星)	 偷幼儿园的向日葵，一起从楼上往过路人身上吐痰玩，美好的童年，悲惨的童年，一去不复返，一直重复，然而令人厌倦            
(NA)	 很爱看的一部片子            
(4星)	 非常喜欢的一部电视剧 如果中间的剧情能在精炼点 就更好了            
(5星)	 今天终于看完了，第二遍。。。            
(5星)	 吸引你看完它的，不是剧情，不是角色，而是它的真实，台词和当代年轻人永远不将体会确依旧令人向往的关于青春的日子。            
(3星)	 北京人臭贫            
(NA)	 有感觉。            
(5星)	 生长在那个年代也不差，有这么多回忆            
(5星)	 这是我最爱的中国电视剧。可惜它只播了13集就被禁播了。还好，我下全了52集，推广有功！看完总忍不住问：冯裤子就是冯小刚吧？瞧那像的！有多少人被台词给影响了？看着戴蛤蟆镜的人总想说：你长的真像从湄公河底爬出来的越南狗特务！还有卓越的名言：卑鄙是卑鄙者的通行证，高尚是高尚者的墓志铭            
(4星)	 好吧 我室友说他们太乱了 太暧昧了            
(4星)	 稍微有点儿长不过真好看            
(5星)	 我最爱的电视剧 每每想起都想流泪            
(5星)	 青春就是他妈的一切！@！！！！            
(NA)	 比较喜欢佟大为。哈。            
(5星)	 喜欢里面的文章            
(NA)	 一通乱、。            
(5星)	 52集，久久不能平静。            
(NA)	 大院儿里长大的孩子都会爱看，导演很有才。里面儿有各种不同的“北京话”，经典。个人认为比血色浪漫好看。            
(5星)	 今天,之所以区别于昨天,恰恰是因为昨天的的感受依然在我们心中             
(5星)	 最最最喜欢的国产电视剧了。。。            
(5星)	 贫吧贫吧，接着贫吧！贫着贫着，我们的人生向前向前向前~            
(NA)	 一个激情燃烧的岁月，一段似曾相识的青春。            
(5星)	 对这部电视剧想说的太多了            
(1星)	 一帮傻逼            
(5星)	 今天,之所以区别于昨天,恰恰是因为昨天的的感受依然在我们心中 ！            
(3星)	 這青春怎麼看都太殘酷了點            
(4星)	 垮掉一代的茫然~            
(4星)	 我们都是愤青！            
(NA)	 属于那个年代的所有回忆。            
(5星)	 曾经 热血沸腾. 美好的青春             
(NA)	 又复习了一遍的时候 发现还是最喜欢卓越 矮油            
(5星)	 责任            
(NA)	 《与青春有关的日子》是由王朔的几个小说改编的剧本，讲的是七十年代军队大院的事儿。一群小伙伴中有个叫做冯裤子的，特别爱假装牛B，但是实际上特别怂。冯裤子和艾未未是好朋友，还一起在纽约混过，艾未未总是嫌他开车太慢。2011年，艾未未被抓了，冯裤子一声都没吭。            
(4星)	 里面的人物性格大多不喜欢，但它的确是刻画出了人性很复杂的一面。            
(5星)	 07年看的 现在没事也老重复看            
(5星)	 偏爱！            
(4星)	 在这里，我喜欢文章了。            
(4星)	 谁能侃过这部电视剧 我服谁 ；一群狗男女们的混乱淫乱史；前边很好看 后边有点烦；经典台词太多；今天之所以区别于昨天 恰恰是因为昨天的感受依然存在            
(5星)	 想给十颗星            
(4星)	 无论什么时代，青春都是一样的过，轻言说爱的年纪，商海淘金，哪怕被骗，穷得连炒河粉都吃不上，但却还在苦苦挣扎，誓要做出一番大事。最后两手空空，却留下了值得一生回味的经历与体会。            
(4星)	 很喜欢那个年代的剧，动荡的年代，不羁的青春，贫嘴的北京腔将他们的故事讲得幽默、哀伤和怀旧。            
(5星)	 还想再看一次。            
(5星)	 最喜欢卓越！            
(5星)	 太爱太爱这部电视剧了 虽然最后大家的下场都不太好 但是卓越死了的时候还是感觉很震撼 就那么死了            
(5星)	 青春             
(3星)	 我看过我深刻记得，但是我又忘了，然后他们怎么了？            
(4星)	 四星半            
(NA)	 很好            
(3星)	 看的不是时候            
(5星)	 我喜欢的，我喜欢的，我喜欢的。            
(5星)	 挺好的连续剧，很少看连续剧的            
(5星)	 看tm四五遍了，贼喜欢；没想到的是，我也走的这帮人的路子，来广州落脚了。            
(4星)	 看一遍难受一遍            
(5星)	 编导叶京本人开始、华谊兄弟、王朔、冯小刚最明显了。。。主题也算的上青春残酷物语了            
(4星)	 可以看            
(5星)	 随你大小便。            
(4星)	 想想还是看过的电视剧多点            
(5星)	 喜欢这主题曲            
(4星)	 這京片子了，久違了，真好聽！            
(5星)	 那泛黄的热血澎湃的青春。            
(NA)	 还不错            
(NA)	 说到青春就会想到的那群人 ... 都好么？            
(5星)	 喜欢卓越            
(5星)	 我最爱的电视剧！正如姜文在《阳光灿烂的日子》里表达的一个意思，那时的中国贫困动荡，但人们单纯善良心中充满理想热情。            
(4星)	 没看完……呃，感觉有点无聊，他们那哪是与青春有关的日子，那是浪费生命的日子……            
(5星)	 列宁同志已经不发烧了！            
(4星)	 我怎么就认识你们这一群流氓？            
(4星)	 列宁同志会不发烧的，他会不咳嗽的，前途是光明的，道路是崎岖的。。。            
(5星)	 不管你正青春年少，还是垂垂老矣，或是正远离青春，你都能从这部作品里找到自己的影子            
(4星)	 前面看着还会觉得他们无忧无虑的骗吃骗喝挺好的，越到后面越觉得这群人最后落到这个结局是自作自受。人总要为自己的所作所为负责的。            
(NA)	 一不小心又翻到这片子，我决定找个时间再认认真真看一遍。。            
(4星)	 后来才知道是王朔的            
(4星)	 断断续续，终有了断。真情流淌，为书绝佳            
(5星)	 谁丢了时间，丢了你。            
(5星)	 那么顺溜的话，2006年的夏天，有机会完整体验            
(5星)	 还是喜欢白百何！ 这种电视剧散发出的怀旧气息最吸引我！            
(4星)	 爱死卓越了。。。            
(4星)	 喜欢那个年代人和人之间的感情。            
(5星)	 看过很多遍，还买了正版的碟回来收藏~连爸爸妈妈都很喜欢看，最喜欢的人物是乔乔和卓越~卓越死的那一段看的哭了稀里哗啦的~            
(NA)	 与青春有关的日子。每个人的青春各不一样，但各有各的精彩。            
(5星)	 我爹最爱            
(5星)	 爱经典的台词 更怀念逝去不复返的日子 看看他人的评论 还能找到一些爱这部剧的理由             
(4星)	 后来就很混乱了 基本无法理解            
(5星)	 羽凡、文章给我印象很深            
(4星)	 最爱12集，碴歌，好轻扬。            
(4星)	 能够把人带回那个年代~            
(NA)	 剧本 演员 导演都不错，就是中间有点冗长。            
(5星)	 很喜欢啊~            
(5星)	 我们时常怀念那些与青春有关的日子，那些纯粹的友情，若干年后，我们会是怎么样的呢？            
(3星)	 佟大矫情            
(4星)	 那个年代 那个故事            
(4星)	 喜欢这种调调的片子            
(NA)	 中间有部分是真的很无聊            
(3星)	 我还以为 是怎么呢 王朔的 玩的就是心跳 正在看            
(4星)	 剧情反胃，但青春飞扬            
(5星)	 nb的电视剧 上学时候的记忆 看了好几遍            
(5星)	 高三的日子。。。和zy看的基本都是。。。            
(3星)	 看到童大萎方言瞬间崩坏 怎么不让朔爷本人演多带劲。            
(4星)	 印象深刻的电视剧，文章在里面很清秀可爱            
(5星)	 苏大啊~~            
(5星)	 未曾经历，却努力感怀；身处青春，却未曾明白可以说，年代虽然变了，但是我想，那样的青春，那样的日子，那样的孩子，放在今天，同样精彩。只是很多人不明白，不理解。            
(3星)	 有点自恋的剧            
(3星)	 貌似冯裤子暗指小刚            
(NA)	 没看完，但我喜欢            
(4星)	 真实而让人不平 虚伪而让人愤愤    就是有点墨迹            
(5星)	 童年的回忆。            
(5星)	 我妈说这里面没一个女孩是好东西            
(4星)	 又名 京痞风云录            
(NA)	 太乱了            
(NA)	 长镜头 和 调度             
(5星)	 唏嘘            
(2星)	 凌乱的男女关系。            
(5星)	 巨好            
(4星)	 我们前途或许也不再是无限的，其实它又何曾是无限的？            
(4星)	 在生活面前我们还都是孩子，其实我们从未长大，还不懂爱和被爱....            
(NA)	 看过一集算不算看过~~~~浏览了一下简介跟评价，不太想一集集看下去了~~~            
(4星)	 好多集            
(4星)	 一星减在剧情有点拖沓，导致我回忆那块没怎么看懂。对那段荒唐的岁月很多不可理解，但确实拨动了我内心深处。            
(4星)	 台词很经典            
(5星)	 这个没有看完，但真的好看。            
(5星)	 只有经过刻骨铭心的青春，才得知生活并非想象的那么简单也并非想象的那么复杂！            
(1星)	 痞子王作品的重复与叠加。中国近年来不可多得的烂片之一，无内容，无逻辑，无意义。捏着鼻子连连快进，勉强看完，之后有种要吐的感觉。有人将之与《血色浪漫》相提并论，个人感觉这是对《血色浪漫》的侮辱。虽然两部剧故事开始的时代背景相同，此外毫无相似。剧名与青春有关，实际是对青春最大的扭曲。            
(5星)	 太好的电视剧，看了N遍             
(4星)	 前半段非常之NB，但是到了后半段开始倒腾石头开始就看不下去了            
(4星)	 就是你啦~那种青春的节奏感，永远都是过去的日子。            
(5星)	 冯裤子你裤子呢。。别哭了。。            
(5星)	 太经典了，过瘾。            
(NA)	 长大的涵义除了欲望，还有勇气责任和坚强，以及某种必须的牺牲。。。我们浪费掉了太多的青春，那是一段如此自以为是又如此狼狈不堪的青春岁月。有欢笑，也有泪水；有朝气，也有颓废；有甜蜜，也有荒唐；有自信，也有迷茫。我们敏感，我们偏执，我们顽固到底地故作坚强；我们轻易地伤害别人，也轻易地被            
(5星)	 今天,之所以区别于昨天,恰恰是因为昨天的的感受依然在我们心中             
(4星)	 我还是喜欢小说，电视剧最后有点乱。            
(5星)	 好看            
(4星)	 你们都不结婚吗，好吧。            
(4星)	 美好的童年~~            
(NA)	 岁老但能反应现实社会，真实质朴。            
(2星)	 搞女人拍婆子鸡让我很反感。            
(4星)	 我们都有一去不返的青春，都有纯纯的心            
(1星)	 好烂啊            
(5星)	 恩，严重鄙视一下电视台播的简洁版            
(5星)	 迄今，对我触动最大的电视剧            
(4星)	 那一年，我还上高中。那一年，文章还没这么火。那一年，乔乔还叫白雪，不是白百合。可其实从那会儿开始，我就很喜欢他们俩。当然我也喜欢佟大为，只是开始的要更早，因为初中时妈妈说他很像我同班的一个人。            
(5星)	 京城60年代生人的成长青春回忆录            
(5星)	 喜欢那个疯狂的年代！！            
(5星)	 所有的往事都会渐渐幻化为一种情愫···默默侵蚀内心最深处的那根弦            
(NA)	 我们浪费掉了太多的青春，那是一段如此自以为是又如此狼狈不堪的青春岁月,有欢笑也有泪水,有朝气也有颓废,有甜蜜也有荒唐,有自信也有迷茫,我们敏感,我们偏执,我们顽固到底地故作坚强,我们轻易的伤害别人,也轻易地被别人所伤,我们追逐于颓废的快乐,陶醉于寂寞的美丽,我们坚信自已与众不同,            
(4星)	 《玩的就是心跳》            
(5星)	 碴歌挺逗的            
(5星)	 贫            
(5星)	 怀念八零年代，那个连做爱，酗酒，打架都有梦想的年代。我很喜欢，这是从前的感觉，我很喜欢，这是现在的感觉，可现在不知为什么多了一点疑惑，我为什么喜欢？那个年代，像是穿着满是尘土的靴子，骑着破旧的摩托车，一路狂奔，没有浮夸。URGE，将今天的生命献给昨天的热情。            
(NA)	 我看过 我耻辱            
(5星)	
(NA)	 我们从小就一块儿偷幼儿园的向日葵，从楼上往过路人身上吐痰玩儿~ 美好的童年！            
(4星)	 八十年代让我瞠目结舌……            
(NA)	 2010-04-10~04-22看完了，有点失落，再没有这么好看的片子了。            
(3星)	 ……我只能说你看的时候千万不要看原著。这样你或许还能好受点……            
(5星)	 心情随着片头曲开始起伏荡漾。让自己感动和流泪的片子。最爱高晋。            
(5星)	 喜欢叶京，很难超越这部作品。PS：一定要看全本儿的。            
(NA)	 遥远的故事总是与青春有关            
(4星)	 好几年前看的了，看似欢笑其实挺憋屈的一剧。冯裤子！！冯大导演！！！            
(2星)	 N角恋，他妈的有劲没！            
(5星)	 好片儿            
(5星)	 经典啊 写的太真了 太牛B了            
(5星)	 也许每个时代的青春都是这样：一起欢乐，一起悲伤，然后各自离去。美好的东西总是短暂的，这大概是一种悲哀吧。            
(5星)	 表面上是一帮京片子柴火妞的糜烂生活.......            
(NA)	 喷子王最吸引人的，但角色戏份太少，或许就是戏份少才....            
(4星)	 记录了那个时代的青春，和每一代人的青春都有一样的地方，叛逆，追求自由，无拘无束，毫无畏惧。            
(4星)	 虽然还是有些粗糙，但除了那些以历史为蓝本的连续剧。这是唯一一部看到中间还不知道剧情走向的片子。            
(5星)	 什么也不用说，想要学这么耍嘴皮子，学北京人怎么贫吧，只是剧情后边稍稍罗嗦了。            
(5星)	 青春永远在逝去以后最美 而当下 都是寂寞和无为的             
(3星)	 好歹陈羽凡和白雪成了，也算52集没白贫~     16弃            
(5星)	 我们浪费掉了太多的青春，那是一段如此自以为是、又如此狼狈不堪的青春岁月，有欢笑，也有泪水；有朝气，也有颓废；有甜蜜，也有荒唐；有自信，也有迷茫。我们敏感，我们偏执，我们顽固到底地故作坚强；我们轻易的伤害别人，也轻易的被别人所伤，我们追逐于颓废的快乐，陶醉于寂寞的美丽；我们坚信自己            
(4星)	 毕业前看的，二十年后，也会有电视剧说我们的青年时代            
(NA)	 怀念我的青春 喜欢主题歌            
(5星)	 和老娘看的，但是还是很喜欢看~            
(5星)	 这是我看过有关军大院最好的连续剧，没有之一....叶京是我心目中的连续剧头牌！            
(1星)	 我怎么觉得越到最后越扯淡越难看了呢，也就前几集还能看吧            
(NA)	 充满了理想和矛盾的年代。            
(5星)	 一部经典剧。            
(5星)	 一部我一度放弃观看的电视剧，他的情节深入我心，我不忍看到结局！            
(5星)	 ！！！大爱！            
(5星)	 片子色彩旁白看上去有点忧郁，但是里面人物台词特搞笑很经典。看了好多次，最喜欢里面的卓越。            
(4星)	 蛋疼呗。。。我向毛主席保证！            
(5星)	 我们浪费掉了太多的青春，那是一段如此自以为是、又如此狼狈不堪的青春岁月，有欢笑，也有泪水；有朝气，也有颓废；有甜蜜，也有荒唐；有自信，也有迷茫。             
(4星)	 怎么看都是喜欢卓越~            
(5星)	 很多集，但却很吸引人要看完            
(5星)	 让人纠结的电视剧。            
(5星)	 我不知道断断续续的看了几遍，我只记得她和我说的看了那么多的佟大为，他的角色总是暧昧的，我很赞同            
(5星)	 叶京的玩伴有冯小刚，王朔，海岩，王中军。我们也很难不把电视剧的人物套在他们身上。比如里面的冯裤子就像现在的冯小刚。事实上写的也就是他们。            
(5星)	 很好看，推荐            
(5星)	 我就一个礼拜没出门，看完睡睡完看。喜欢这部电视剧，但是绝不再看类似的了，一部足以，回忆多了，伤人，时间是把杀猪刀。            
(3星)	 那个年代的人就是这么痞            
(5星)	 吐痰玩。            
(4星)	 我们也许都有过这样那样的一段青春的时光，混沌或精彩，我们都会把它铭记~永生不忘！那些在青春记忆里的朋友们，似乎会随着时间的流逝渐行渐远，到把彼此遗忘，但曾经美好的岁月，还会或深或浅的留在心上。            
(5星)	 经典之作            
(4星)	 一年前看过的，现在还有许多镜头无法忘怀，白玲的随意的爱.卓越对朋友的忠诚，高杨最后的悔悟            
(5星)	 血色浪漫2            
(NA)	 最喜欢的一部剧……            
(NA)	 很好看啊            
(5星)	 月亮在白莲花瓣的云朵里穿行。。。            
(5星)	 血色浪漫2            
(4星)	 复杂跌宕的青春            
(5星)	 谁看谁知道。            
(NA)	 姐姐你别生气了，弄的我都不好受了            
(4星)	 乱，前面比后面好看            
(5星)	 无论什么时代的什么人，青春总归是会逝去的，内牛满面啊            
(5星)	 贫，真贫，但是很美好~~~~~            
(5星)	 无法忘怀的青春            
(5星)	 大陆最牛逼的电视剧！没有之一～            
(3星)	 一个混乱的时代里的少数族群的放纵            
(5星)	 卓越太惨了            
(5星)	 看的我迷迷糊糊的。文章从这个电视剧开始，就每部必哭了~            
(5星)	 花了大半年才把这部剧看完，拖得有点长了，但是看完觉得这种剧就应该这样慢慢看。感触太多了，喜欢这种风格！            
(4星)	 确实有些拖沓，都没看完过。喜欢里面查琴那几集。            
(5星)	 好看            
(5星)	 ~            
(2星)	 可惜了一个好名字            
(2星)	 烂片，看着迷糊            
(4星)	 一个字，乱。。            
(NA)	 那时起开始喜欢文章            
(NA)	 不错的回忆。服了王朔的贫嘴功夫！            
(3星)	 前面还带劲 越往后好无聊            
(NA)	 　从小就一块偷幼儿园的向日葵~~从楼上往过路人身上吐痰玩~ 　　 　　嘿,你这人太不讲道理了,长这样还让不让我们活了? 　　 　　空气在颤抖，仿佛天空在燃烧 ,是啊，暴风雨就快来了！！ 　　 　　你家有地道到你家去吧 　　 　　没动静,没动静就是快了 　　 　　布哈林是叛徒 列宁            
(5星)	 好喜欢好喜欢的一部剧，比奋斗什么的好太多了。            
(3星)	 到后来就看不下去了，记住了其中一段插曲            
(5星)	 美好的童年            
(4星)	 只能说是那个时代的产物，了解一下那个时代吧            
(NA)	 拿60年代70年代的事儿说事儿 虽然很无聊我更怕以后的孩子连自己的事儿都没的说            
(5星)	 贼喜欢！            
(4星)	 他们的关系很混乱很混乱很混乱很混乱很混乱很混乱很混乱很混乱很混乱很混乱很混乱很混乱很混乱很混乱很混乱很混乱。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。            
(4星)	 时光易逝永不回，往事只能回味            
(5星)	 看了很有激情  情节真的不错            
(NA)	 这样的青春才无怨无悔！            
(4星)	 茬琴那段刘会员他们那帮人有几个人演的特别可笑  还有牛逼的吴胖子 演的真特棒 冯裤子还有那个公安局的老头 澡堂的大胖子 and so on            
(5星)	 看完后、觉得那真的是个荒谬的青春            
(5星)	 喜欢这种北京范儿 顽主 贫 损 逗乐 却不停地在成长 经历了很多很多 生死离别 友谊却不会变质 青春吖~玩的就是心跳             
(5星)	 无论什么年代,北京青年,总是带有北京人特有的懒散与傲慢.成长是刻骨铭心的一个过程.            
(NA)	 看的不全            
(4星)	 很轻的话语，厚重的青春            
(4星)	 看的我热血boil            
(NA)	 那个天下第一贫~~~这个戏的编剧绝了            
(4星)	 虽然又拖又慢，但每当那首歌响起，还能再看下去。。。。。。            
(5星)	 我唯一一次看电视剧哭的稀里哗啦。王朔说，这就是我所说的一直想拍的红楼梦般的作品，让叶京先拍出来了。            
(5星)	 每个演员都是演技派的，看完这个再活学活用，泡妞无敌了！！！            
(5星)	 至今对我影响较为深刻的电视剧 忒好看了            
(4星)	 还不错            
(NA)	 看得我哭得死去活来的  从来不为主角哭            
(4星)	 我就纳闷，奋斗都能火，这部剧为啥没火。            
(3星)	 贫            
(5星)	 陪着我妈看的。虽然没有时代的共鸣，但是确实是很写实，很幽默            
(5星)	 很有感觉的一部剧            
(NA)	 超级喜欢...            
(5星)	 一部让我久久不忘的电视剧！！            
(5星)	 很棒！            
(5星)	 震撼心灵的。。与青春有关的日子   总是美好得令人心痛            
(NA)	 很棒的电视剧            
(5星)	 一句话，我最爱的电视连续剧。那些对白忒有意思了。而青春，从来都是残酷物语            
(NA)	 特别。真。            
(4星)	 看的初衷是那时候疯狂迷恋佟大为            
(5星)	 那感觉，看戏的也入戏了。。            
(5星)	 如果生命只剩下最后几十个小时，我会看第N遍这部电视剧。。            
(3星)	 扯蛋的片子            
(4星)	 前半部太牛逼了 后半部就裹脚布了            
(4星)	 李白玲是我当年的梦中情人，而乔乔至今我仍然喜欢。            
(2星)	 太不给劲了。。。弃            
(NA)	 来听北京话            
(5星)	 虽然没经历那个年代，但是却感觉自己就置身于那个年代，我也有过那样的青春——从小就一块偷幼儿园的向日葵， 从楼上往过路人身上吐痰玩~——啊！美好的童年！！！            
(5星)	 人不风流枉少年，人不猖狂枉少年，人不冒险枉少年，打打架，泡泡妞，我不属于那个时代，却深刻感受到那个时代青年的血气方刚，对，年轻就是最大的资本，趁着年轻，就要干一番轰轰烈烈的大事            
(4星)	 喜欢这类的连续剧，例如奋斗，我的青春谁做主，恩。。。婚姻保卫战            
(5星)	 理想的年代            
(5星)	 突然想起~            
(5星)	 还能说什么呢～以演员们的年纪能把故事演绎到这个程度，很不错了～            
(4星)	 我特喜欢一群人碴歌儿那段戏~无限羡慕中！            
(NA)	 超喜欢的一部电视剧！            
