http://movie.douban.com/subject/6026046/	雷普利小姐 미스 리플리
(5星)	 弃            
(4星)	 不一样的感觉             
(3星)	 12集弃            
(4星)	 懂得爱护自己的才是真正伟大的爱情。            
(3星)	 恩 完全冲朴瓜君去的 但多海真的有美到 追韩剧什么的最考验耐性。－_＋            
(1星)	 整容后的李多海好丑，李多海不知为何演的也很假            
(5星)	 啊？噢？哈哈哈心肝            
(3星)	 李多海真是性感啊！女神。又是一部没有看完的泡沫脑残韩剧。            
(3星)	 是我看的第一部韩剧！还好！            
(4星)	 谎言小姐.多海开始演坏女人了~结局，应该是很悲的吧~            
(3星)	 看演员不能看剧情            
(3星)	 好温柔的有天，身材好赞的李多海。。。            
(5星)	 精致的男女主角 韩剧就算没有剧情 也是很养眼的 李多海漂亮得可以让所有女子嫉妒吧 谎言就像是一个个的圈套 有人设就会有人钻 不得不说 没有哪一个谎言是任何一个人的错 是整个给它营养的环境造就的 但是再不堪的生活总会过去的 我们什么时候都可以重新开始 电视剧只不过是用最美好的手段解释这个道理            
(3星)	 姜惠贞都是当妈的人了，实在不适合装嫩啊~弃了            
(NA)	 开放式的结局。。。。后来到底有没有在一起呢            
(5星)	 果断弃剧了有没有= =于是为了玉春而五星啊            
(NA)	 估计要悲摧。编剧问题最大，李多海一哭就象哮喘。……我果然弃了！            
(4星)	 李多海 真瘦             
(3星)	 李多海皮肤和身材真好，虽然脸跟My Girl时期看着明显有差别。            
(NA)	 女一太悲情，眉头总是深锁着，女二太浮夸，受不了她总是一惊一乍的。。中和一下比较好            
(4星)	 每个谎言下都是心酸的往事 李多海演技一级棒这次            
(1星)	 完全冲着李多海看滴 当年《我的女孩》是多么的好看哟 剧情苦逼呀！！！果断弃剧了            
(4星)	 眼神好到位，第一集的分            
(3星)	 金承佑后半段就是打酱油的。李多海的角色实在让人喜欢不起来。别把从小被母亲抛弃的阴影作为长大后不择手段欺骗他人的理由。            
(4星)	 女一李多海已经整残了，女二也老的那么明显            
(NA)	 这女的为啥可以随时随地跷班啊？才几集啊？已经多少次了            
(5星)	 过于恶毒的女人让人无法接受...适可而止吧编剧sama            
(3星)	 一星给前四集，刚开始剧情还是很紧凑很好看的，一星给各位演员，一星给平山阿加西后几集突飞猛进坚定表达的爱情。            
(2星)	 也太低估男人的智商了~~            
(2星)	 有天也无法阻止了……弃            
(5星)	 逻辑终于不走传统韩剧路线了            
(NA)	 浪费了好卡司！垃圾！用力过度！            
(4星)	 看起好有共鸣            
(4星)	 且看着吧。弃了，好纠结的情节- -            
(5星)	 李多海真的蛮漂亮            
(NA)	 李多海真是漂亮啊漂亮！！！剧情。。我无力。。太纠结            
(2星)	 又是一个加速看完的。。。= =            
(2星)	 两个聪明男人被一个夜场小妹耍得团团转？编剧是在考验我们的智商么？PS：李多海变成大美人了，没整容？            
(3星)	 李多海的演技越发纯熟，剧情也很好。比同期的韩剧更能吸引人。看了这部剧，还是对大米无感啊~~~对最后几集吐槽无力，大米的演技还有待提高啊！            
(3星)	 有种一路黑化到底 5集弃            
(3星)	 5集之后iouduiyu李多海的魔鬼身材和有天的面瘫表情彻底免疫 明明都是吸引我的元素啊 果然在我眼中也就是个中年偶像剧            
(3星)	None
(4星)	 不记得结局了，还是我没看结局？            
(3星)	 前面还不错，后面就弃了            
(2星)	 看到一半，看不下去了~            
(2星)	 很少一部韩剧的女主角，让我看的恨得咬牙切齿的，这部竟然就是让我看的想抽人啊！~~            
(5星)	 我爱你.            
(4星)	 挺有深度的剧情，颠覆了以往韩剧的俗套，另外李多海非常惊艳啊            
(5星)	 &gt;&lt; 心肝儿            
(4星)	 结局不喜欢！结束的太草!            
(3星)	 弃！            
(NA)	 放弃了，            
(NA)	 剧情真不是我的菜 不过男女主我喜欢            
(4星)	 李多海真的太瘦了。2011.8.26            
(NA)	 弃            
(4星)	 为东方神起中最会演戏的朴有天而看            
(3星)	 不错哦            
(5星)	 又不是不知道PC的口味原来这样……我这是做什么 对不起了欧尼 果断弃剧好了 你会理解的吧~~            
(5星)	 李多海真是个很棒的演员啊……            
(4星)	 结局挺好，没有给个大欢喜也没有给个大悲剧            
(4星)	 看了几集果断弃剧。 女主的性格让我爱不来。 虽然李多海在里面的穿衣打扮+身材很诱惑人啊~ 可惜。 有天也不是我的菜。 果断弃！ 但是剧情本身不能否认还不错。 狗血有一点点也难免。            
(3星)	 这个结局编得，太仓促了吧，只能归为偶像剧。还有啊强烈投诉那个配乐，能不能再突兀一点，听觉暴力嘚~            
(3星)	 完全是为了有天和李多海的组合啊~剧情太无语了，看不下去看不下去了。。。豆瓣就不能出一个“放弃观看”的选项么？            
(3星)	 为什么要把女主角演得这么坏！！编剧用力过猛了，这是一个伤心的故事啊，瑕疵很多。。。            
(3星)	 为李多海做作的演技弃~            
(4星)	 要不是有心肝儿我真心看不下去....男人的眼睛都瞎了吧 张美丽撒谎不眨眼的本领和徐迎美真有的一拼！这戏我挺喜欢平山武的            
(3星)	 放弃了啦。 颠覆我价值观。            
(3星)	 编剧有毛病，看了半天觉得没写出她想表达个什么东西，要现实又不现实的感觉，但对男女主喜欢，勉强给三星            
(3星)	 弃剧            
(2星)	 剧情好无聊啊 毫无新意 演员演技僵硬做作 没意思的韩剧 弃之            
(5星)	 难得会有一部韩剧被吸引。多海欧尼演技真的太好了，而且身材居然那么好！比跟二哥拍一日的时候更瘦了。三哥依旧帅气但很崩溃32定位= =#姜惠贞好像张柏芝跟张瑞希混合体，很美~~~            
(3星)	 演技很好的几个人。剧情有些冗长，几乎是台词堆砌起来的。            
(3星)	 唉，老太婆的裹脚布            
(3星)	 没看完的苦逼剧。弃。            
(3星)	 07弃 怎么越看越别扭 更别提那编剧            
(3星)	 看到后面就没了兴趣，用谎言往上爬的美丽女人。            
(4星)	 Micky有天的演技有进步很多~善良专情的富二代角色很适合他~没有华丽开篇~却在中后程发力开篇邪恶~最终归于爱和真心~最后一句台词，“她对于我来说就像是心脏一样，我爱她”。            
(3星)	 编剧实在是幼齿   这么好一个题材的电视剧硬是到头被他写成了一个弱智剧  枉费了几个主演的大好演技！！这么多可挖掘的感情线路全荒了   看在主演的演技上给三星  真是  要不一星不值！            
(5星)	 如果你是美里~你也會這樣做嗎~~~            
(NA)	 李多海脸僵到不行，演的又很差，剧情无亮点。6集弃。            
(NA)	 李多海真是漂亮 身材也好 但是男一很男二 我实在是看不下去 太老 太呆 放弃            
(5星)	 这是我看过的ZUI残忍的爱情纠葛，残忍在我不知道那是真的还是假的。有天啊~我伤不起了~~            
(5星)	 喜欢李多海~            
(4星)	 虐人的压抑啊。。。(～ o ～)~            
(4星)	 朴Micky跟女二在一起的话，我就给五星。。。第三集之后，我弃剧了。。。            
(5星)	 全为我家大米~~~            
(4星)	 惊艳于李多海的演技 200%的名演技            
(4星)	 看得太揪心了 没看完 表示之后有空一定会去补档的~！怎能错过有天呢 ku lu ji~            
(NA)	 纯看人,5集后弃            
(NA)	 最后真的是忍无可忍，结局没看明白，不过没所谓啦            
(5星)	 学会爱自己才是最伟大的爱。            
(3星)	 最后莫明奇妙的没在一起            
(3星)	 太暗黑了...弃....            
(4星)	 很期待剧情的发展            
(NA)	 不能再看了。。。            
(2星)	 不好看 直接弃            
(3星)	 男主的继母是女主的亲生母亲，果然还是狗血了。            
(1星)	 完全不能理解这部片子，两个被美色迷得晕头转向的男人，女主到处撒谎骗人周旋于两个男人之间，除了可恶没有可怜的感觉。            
(NA)	 开始感觉情节还蛮吸引人的.. 可是后来感觉就有点累赘了呢~!!            
(4星)	 有天，我是为了你才继续看的~！！！            
(3星)	 演员强大的表演力弥补了情节的老套。尤其喜欢看剧中任何两人的pk，精彩又赋有哲理。李花副会长气场很强啊。前14集竟然都没有拉着看。美丽明显是开始几集角色塑造的成功，自从喜欢上皇太子后性格魅力全无。有天的第一个发型更自然。最后竟然发现那个初时让人万分讨厌的平山武才是真性情和真爱。            
(3星)	 冲着有天追得这部剧，但是主题有点沉重。李多海已经整容整得变成充气娃娃了，看着很不舒服，但是我居然狗血的看完了。有天演技要继续提高啊。            
(NA)	 弃了 李多海整过头的脸不忍心看了            
(3星)	 看了两集开始期待，但是编剧越编越。。。。破绽太多。。。女主让人太不有爱了。。。多海演得有些过了。。。表情那么夸张旁边人老早应该看出倪端来了。除了多海的花容月貌看不出张美里哪点让人喜欢了。。。里面的男一男二都是美色当前不用大脑思考的。看到第十集再也看不下去了。。。直接看结局            
(3星)	 李多海太漂亮了太漂亮了在里面，期待这个雷普利小姐会给观众怎样的故事。            
(NA)	 人吃人的社会            
(5星)	 朴爷太养眼。。。。虽然编剧脑子进水了。。。            
(3星)	 蜜丝多海美翻了            
(3星)	 女主气场太弱了。。老是哭哭啼啼柔柔弱弱的，动不动就泪盈满框。小白兔就别出来混了嘛            
(2星)	 没感觉，不过，不得不说李多海的皮肤很好。            
(5星)	 剧情不错 期待期待             
(5星)	 有天fighting~收视率要破20啊~            
(2星)	 可惜了两位好演员和强大的设定，编剧各种不给力，讲不圆的故事            
(3星)	 只看了前两集跟最后一集，朴小生的发型不错的            
(3星)	 就算有我家甜甜，也果断三星！就算是需要更深刻刻画人心的电影主角也是要有光明面的！何况一部拿来消遣的电视剧？让观众追看是要有个理由的！女一整颗心都是黑的，被二男中邪一样穷追，女二除了脑残之外没有任何情商上的优点，编剧大妈不想干了？            
(3星)	 无力吐槽。。。。            
(2星)	 唉···放过我吧！真是看不下去了！李变形的脸看的我的表情也扭曲了！大米我还是相当有爱的！            
(4星)	 居然是这样的结局哦 没在一起一刚--            
(2星)	 决定开始看是因为海报的创意很不错  继续观察            
(4星)	 我就是大叔控~~~金承佑我赞你~~~            
(3星)	 李多海真是偶像演技派！            
(3星)	 不追了            
(3星)	 要不是朴有天肯定不看。            
(2星)	 李多海的脸假得让人心生恐惧            
(4星)	 李多海漂亮的一米啊。。当然我们朴爷萌萌啊。。。            
(4星)	 我终于看完了~~~虽然不是那种很欢快的电视剧，而且我看得真的很困难，但还是值得四颗星的~~~            
(2星)	 编织着无数的谎言还那么好命，童话啊童话~~~            
(3星)	 05， 没有兴趣继续看下去            
(3星)	 结局令人失望。            
(NA)	 感脚会向狗血的方面发展 现在已经能稍微看出来美丽小姐的妈妈是玉贤偶吧的继母了不是么 诶 女二很有爱啊 希望是HE...            
(4星)	 米爷是最大的看点。            
(4星)	 张美丽干脆腹黑+耍手段到底，会更好看吧！1星给有天！            
(3星)	 有点虎头蛇尾。希望有天的下一部戏别再演贵公子了。明确自己爱的方式才是最伟大的爱。            
(NA)	 不知多久没看韩剧了...但是。。。但是为虾米 结尾多半都是男女猪share一个妈捏。。。            
(3星)	 由一个谎言开始的故事，虽然知道真相来临的那天就是地狱，可是却无法停下脚步。最后才认识到学会爱自己才是最伟大的爱。            
(3星)	 这剧闷死了~            
(4星)	 演员全被这破烂剧情糟蹋了。。。。            
(4星)	 为自己犯的错付出了代价，好可惜最后不能在一起。。。            
(5星)	 李多海。。。腹黑女也能够让两个男人深爱不已。我觉得最近的TVB都没法达到这部剧的高度了            
(NA)	 就第一集來說，不錯~李多海小姐的髮型是我的理想啊~~~            
(5星)	 二货太帅了~！！            
(2星)	 不知道Mr.Ripley的人大概不能理解美丽的心理走向吧             
(NA)	 1.5集弃            
(4星)	 这个故事不就是想告诉大家伪造学历没神马好下场么...            
(5星)	 有天又是好好先生。  要么笑要么面瘫。            
(3星)	 不是因为朴有天真没有追下去的动力  张美丽小姐真是恶心到我了 = =            
(4星)	 大米的演技越来越好了，不过剧情太悲伤了            
(5星)	 私心为天哥，五星.....即使这样我还是弃了，天锅锅，偶对不起你啊，下次选个喜一点的剧吧！！！            
(3星)	 杀了编剧。好好的CAST都毁了。4集弃            
(3星)	 四个主演都是我的菜~朴有天太帅了吧！！            
(1星)	 为了朴有天看的 but!!!!OMG!!!!竟然和老男人那啥。。。O__O&#34;…            
(5星)	 那个结局真的是...编剧是没吃饭吗？这么不给力...            
(3星)	 虽然有天在里面很腼腆，是我喜欢的型。但剧情真的让人很不舒服~还有李多海真的整残了，脸是扁的，悲催。。。            
(4星)	 结尾好无力。。。            
(3星)	 一共就这么十几集，为毛还是觉得剧情无比的狗血和拖沓。。。。。。果然韩剧看不得。。天天啊，挑个好剧本呗            
(5星)	 神一般的演员，猪一样的编剧，是我没有料想的，不过还是感谢ripley，让朴有天这条演员之路走得更好。            
(2星)	 多海姐姐怎么这么闹心 朴甜甜怎么也这么闹心 以后不是脑残饭的戏绝对不看!            
(NA)	 过于沉重 看着累            
(5星)	 有天！哈哈！            
(NA)	 弃- -            
(NA)	 真的，看得我好纠结！ 我深爱的micky 演的究竟是什么啊？？ 太恨呢个说谎的女人！ 奇怪的是 我竟然为了男三号而感到伤感！！！ 莫名其妙嘛！            
(2星)	 为了有天坚持到现在是在是、、、            
(3星)	 题材不错~ 可惜剧情还是弱了些 李多海演的太用力了些            
(NA)	 这名字让我想起来Talented Mr. Ripley==快进快进地看了一点儿点儿。韩剧果然不适合我。            
(2星)	 我要不是为了多海和有天 我绝对到第5集就不跟下去了的... 最后还整这么个结局...            
(3星)	 有点压抑            
(NA)	 我居然看完了……配合女人的香气第五集，守护boss一起看，然我感叹这五年做的不后悔的事就是喜欢他们。            
(3星)	 这个剧没有好好看            
(4星)	 善良 温柔            
(3星)	 朴甜甜又被定性为家世好，人品好，相貌好的公子哥儿了~~李多海身材好劲爆呀！！演技也不在话下/其实这戏有点没有迎合到大众口味，题材太压抑，看得我一直出戏，尽管主演的演技都很出众，但好演员也扛不住烂剧本~~后期的戏码比较精彩，但也有够雷人的，人类的头颅真心有够脆弱又坚强~~结局不明~            
(4星)	 后半段开始大叔有点打酱油。大米的演技还是不错的。但是不太喜欢认母的那段 有点刻意。            
(3星)	 不是很喜欢这种风格,弃            
(4星)	 最起码不拖沓~            
(2星)	 让人不能忍的难看。。            
(NA)	 朴大米加油啊            
(5星)	 给天哥哥的五星，不好看 = =            
(3星)	 期待小天的演出~            
(3星)	 猜到了的悲情结局。多多说是她演的最累的一部戏。我看着也累。            
(5星)	 你知道的，编剧就是有点脑残，我就是冲着有天来的，我就是因为有天打了五星~剧情十分狗血，而且是家庭伦理剧，与社会问题无关……有天演技很好，与本剧也无关……            
(2星)	 关注！密切滴！            
(3星)	 棄劇            
(4星)	 你如果认识从前的我，也许你会原谅现在的我.            
(2星)	 看完再评 个导演 不行！            
(3星)	 我只能客观来说，剧本烂透。演员真的都很棒。但我最爱的一直就是朴有天。加油~下次演个喜剧吧~            
(NA)	 虽然是本命。。看不下去老。。。            
(4星)	 男二号真心的不好看！为什么不叫男三号来演男二号啊！都说男二号是给观众爱的，这个大叔真心的爱不起来啊！这电视的结局有点仓促！李多海的演技真的很赞！当然大米也好！！又帅！哇哈哈~但是张美丽这个角色真心让人讨厌！            
(3星)	 女2男3            
(3星)	 就这么结束了说，编剧太水了。。。            
(3星)	 对编剧后半段的处理很无语。            
(3星)	 编剧和女猪脚都有大脑进水了的嫌疑... 单纯为了有天看的            
(3星)	 题材不太适合我- -看了前几集，弃。            
(3星)	 苦逼剧。看到李多海JJ和大叔接吻那里对自己说，弃了吧。            
(1星)	 绝对的烂！有负分的话绝对是负五星！这一星是给努力的朴有天。磨练了演技。            
(5星)	 似乎领悟到了编剧想要传递给我们的那种道理。。。。。            
(3星)	 之前追剧追得相当有心无力，有天你还是先在成均馆程度的吧，一下子演黑暗剧显稚嫩。洒狗血不遗余力的片子。            
(4星)	 这女人哪能可以这么幸福的同时被两个这么为他付出的男人求婚~羡慕嫉妒恨            
(5星)	 有点郁闷，最好看的居然不是朴有天和李多海的感情戏，而是亲情戏，哎，看来他两不搭呀            
(3星)	 多多2星 有天1星            
