http://movie.douban.com/subject/1790373/	我的女孩 마이걸
(4星)	 李多海翻身之作啊！！这片当年看得好搞笑啊！            
(NA)	 同样大学记忆 喜欢            
(5星)	 冲着俊基去的，大爱~~~~            
(NA)	 歌挺好听            
(4星)	 李多海挺可爱的，呵呵，喜欢她在里面的装扮            
(NA)	 非常好            
(4星)	 当年很喜欢            
(NA)	 不错            
(5星)	 那叫想当年啊，姐迷东旭oppa也是一塌糊涂D.....            
(5星)	 很喜欢的韩剧，被感动            
(4星)	 回忆，回忆，很多回忆。            
(5星)	 看得很开心的韩剧，不纠结不拖沓，节奏明快我喜欢            
(5星)	 最爱的韩剧            
(4星)	 也是看通宵的说。            
(4星)	 当时因为这戏，很喜欢李俊基，每一次他哭，我就觉得好可怜。。。但后来实在是哭太多了，我都被他哭得崩溃了。。。四星。。。            
(NA)	 可爱 搞笑            
(5星)	 可爱的女主角~~严肃中透着男人味的男主角~~！            
(3星)	 那些被爱情蒙住双眼的人，总也发现不了身后那个温暖的心，那个敞开的怀抱，和那双永远以你为焦点的眼睛。            
(4星)	 又看了一遍，还是喜欢功灿。。。            
(5星)	 准基啊，看得我好心痛            
(4星)	 很久以前看的了，当时觉得很不错的~~~现在觉得里面的歌都很好哈~~~            
(1星)	 完全没明白为啥那么红。。。            
(3星)	 作为电视儿童，著名的芒果台1遍又1遍的重播此剧 说没看过也真是难啊这片子就听到老是XX先生 XX先生 XX先生的叫 累不累啊             
(3星)	 我就是喜欢李准基            
(NA)	 搞笑            
(4星)	 悲剧的Junki…            
(NA)	 喜欢，喜欢，很喜欢            
(5星)	 我觉得很好笑啊~~~带点喜剧的我喜欢            
(4星)	 因为这个彻底喜欢上可爱的李多海  古灵精怪的   哈哈            
(3星)	 湖南卫视老放，看腻了，太韩剧了。            
(5星)	 如果你能坚持过前两集李多海过于谄媚的脸，你就会疯狂的爱上此剧的。此剧节奏很好，张弛有度，不拖沓，人物表现也很到位。最后甚至会很感动。非常值得一看，推荐下。            
(5星)	 当年追着看的。开心得一塌糊涂。美好的回忆。            
(5星)	 大二就看了，然后就是反复地看，看到多海的可爱样，很逗乐，可惜，这个女孩子整什么容，现在的那种脸跟面具似的，紧绷不自然。。。虽然，我觉得多海和赵薇一样是个很努力有心的人。。            
(3星)	 无语了。我当年看过的PC剧真多。            
(3星)	 俊基兄 我是配角控。            
(5星)	 我喜欢            
(4星)	 除了国产就是韩剧的毒害。            
(5星)	 李俊基诶            
(1星)	 无看点            
(5星)	 比较短的一部            
(5星)	 很可爱的女孩  可爱的服饰和配饰            
(5星)	     我基本不看韩剧，但这是我最喜欢的一部韩剧。李多海，很棒！            
(3星)	 第一次知道李准基            
(4星)	 李俊基在这部电视剧里就是个悲剧.......一厢情愿男二号的代表            
(NA)	 这个幼稚的偶像剧居然曾让我心动不已，哎～～可见我的肤浅～非同一般～80分            
(4星)	 现实中要是有契约婚姻，契约兄妹什么的该多好啊            
(4星)	 高中时特喜欢的~            
(5星)	 李多海的衣服太好看了            
(3星)	 为了李准基才看的，不过，不错            
(3星)	 当年看得我相当纠结～～～真是悲喜交加            
(NA)	 以前看过。            
(5星)	 最喜欢的一部韩剧，挺好看的，里面的人物也都很经典~            
(5星)	 灰姑娘的故事            
(4星)	 李俊基啊，太虐他了吧。看到一半都不忍心看了            
(3星)	 女主若无其事的撒谎，其实心里很痛的场景。。。还有男主挺帅的，男二，额，不是我欣赏的style，小细长眼睛男人，额。            
(3星)	 不明白为什么会红            
(4星)	 李多海的笑容好看呀            
(NA)	 女猪脚表情不是一般的丰富             
(5星)	 这部也很嗲～～～～            
(4星)	 少数看过的韩剧之一            
(5星)	 心中最好看的一部韩剧了吧，爱情，是不是真的需要谎言呢？            
(4星)	 看哭了好几次呢。。            
(NA)	 不知道为什么听到那首歌，就想再看一遍。只为了.........            
(4星)	 很awesome的一部了，经典可以说把，反正可怜了李俊基，演的2号。但是真的还蛮好看，主要是李多海，三个李。。忘了，自己看把。还是06年的，现在也说不上来哪里好看了。现在情感麻木很久了            
(4星)	 每次都萌男二，而且男二每次都是被拋棄。為毛為毛？？？            
(4星)	 喜欢剧中的服饰~            
(4星)	 骗子与少爷的契约爱情~            
(4星)	 没有看完。但第1第2集看了3遍，真的很好笑            
(5星)	 薛功灿不帅啊            
(4星)	 音乐不错            
(3星)	 反正都一样            
(3星)	 李多海比起新娘18岁里面的造型年轻了很多啊。            
(NA)	 薛功灿（¯﹃¯）            
(3星)	 为了看李俊基看的 后来发现李东旭也不错凹            
(4星)	 喜欢功灿             
(5星)	 看了7遍,终于厌了。...哈哈.....喜欢的            
(3星)	 李多海很可爱            
(NA)	 因为它爱上李俊基            
(NA)	 很励志，女孩儿很可爱。            
(5星)	 超爱，搞笑、浪漫、感动，节奏很明朗，表演很喜欢！对李俊基的角色充满同情！            
(5星)	 两个字：大爱！            
(4星)	 看韩剧为了啥 就是为了养眼            
(5星)	 上大学的时候刷夜看 大学毕业又刷夜看了一遍            
(4星)	 当时很喜欢东旭呢            
(5星)	 很好笑~~  而且李多海现在都黑漂亮了，不是可爱哦~~            
(4星)	 比较骄傲的是拉着条条一起看的。            
(5星)	 开始喜欢这个人            
(5星)	 我说谎，但我很善良。            
(5星)	 多海美眉的各种表情~            
(NA)	 李准基啊，好惨的男二号            
(NA)	 看了五六遍呢，每次看还是哭得惨······            
(5星)	 我超爱的一部电视剧            
(3星)	 当初系因为李俊基去睇D，不过男女主角都几可爱            
(NA)	 契约下的爱情            
(4星)	 曾几何日被男主角穿风衣的样子深深地打动鸟~            
(5星)	 很久前看过            
(5星)	 喜欢李俊基，于是看来王的男人，非常滴妖媚。真要命            
(NA)	 喜欢她的闹腾 嘿嘿            
(5星)	 灰姑娘与王子的故事。。。            
(4星)	 那时候超爱男主，主题曲也好好听            
(5星)	 绝对赞！看过三四遍了，还是喜欢，堪称经典韩剧，还有豪杰春香一起            
(4星)	 李俊基 李多海 李东旭 经典特三角            
(5星)	 16集  百看不腻呀            
(4星)	 你会万福的~            
(4星)	 好久之前看的，韩剧剧情虽然有点脱离生活，但是能给人轻松就够了            
(5星)	 当时看时候哭得差点背过气，属于悲喜交加类的            
(NA)	       还是喜欢男一号那忧郁的眼神^-^            
(4星)	 太久之前看过了。唯一一个韩剧中的女主角是不笨的。            
(4星)	 很多很多人喜欢的一部韩剧，觉得还行，却没有太多喜爱            
(5星)	 李俊基我爱你～            
(5星)	 喜欢~            
(3星)	 幼稚韩剧，不过依然有那么点点喜欢，音乐很煽情啊！            
(3星)	 不喜欢里面的李多海            
(4星)	 很喜欢的韩剧之一~~            
(4星)	 都是有个人原因的 比如李东旭这个人之类的            
(4星)	 哈哈哈挺有意思灰姑娘的曲折成功记            
(4星)	 很不错的剧，当时就觉得李多海演技真好，后面看到男二都杯具，但还是很值得看的            
(3星)	 还好吧            
(3星)	 大一的时候看了好多遍，然后大三了，芒果台那配音版的，偶尔没事也还是可以和一帮室友看的津津有味。。。。            
(5星)	 喜欢里面的女主角的坚强和性格，可爱多娇。            
(4星)	 李多海，美丽的女孩            
(NA)	 用谎言守护他们            
(4星)	 反正我不是为了看李俊基的。。话说，李东旭挺耐看的，越看越帅，楞角分明~~~            
(3星)	 契约神马的V5            
(3星)	 最不爽的是李准基的结局啊。。。            
(5星)	 我看完的第一部韩剧            
(3星)	 娱乐。。。            
(5星)	 很有喜感，无聊的时候看挺消磨时间的。是一部可以看好几遍的剧。            
(3星)	 看一遍觉得还行            
(4星)	 为了李俊基才看的             
(5星)	 算是我能完整看下来的韩剧之一了，多不容易            
(5星)	 最喜欢的韩剧之一            
(NA)	 佩服李多海的搞笑功力！            
(4星)	 小周同学好可爱啊~            
(3星)	 不理解大家为什么那么喜欢            
(NA)	 韩剧总是搞笑啊搞笑啊然后又悲伤起来了            
(3星)	 都被芒果台放烂了...            
(5星)	 看了很多遍啊~            
(3星)	 会有福报的~            
(3星)	 在它还没被大规模滥播的时候，我已经第一时间在网上点来看了。评价：一般。当时被李东旭的西装造型萌到。            
(4星)	 本来是为了看李俊基，但是看完又喜欢了李东旭。            
(5星)	 看完觉得男女主角就必须在一起　            
(4星)	 我是带着对李多海的恋恋不舍开始看这部剧的，一看又被震撼了，这角色的性格转变的也太快了吧，不过这个是喜剧，把我看得像个白痴一样老是傻笑，更震撼的是把水也吸引住了，他连夜下了花两天全部看完，到底还是水牛啊。。。            
(2星)	 想不通这部戏为啥会火，男主角不帅，剧情也挺无聊的。            
(NA)	 我们家东旭哥            
(5星)	 好剧。            
(3星)	 功灿说“我们私奔吧”，看到这，我败了。李俊基就是个酱油...            
(5星)	 我也看韩剧            
(4星)	 俗的不行的剧情啊...可是就这样我和老妈不可自拔的陷入了            
(3星)	 配乐出色.莫扎特啊莫扎特你是多么可爱啊!!!            
(3星)	 还行，男主曾让我花痴过            
(5星)	 搞笑 但是不喜欢结尾            
(4星)	 还是男主帅气~~            
(5星)	 又是我迷恋的一部韩剧。在大学里看的。只记得自己像个疯子跟着李多海一会开心一会心痛。不记得自己看了多少遍，但我还是喜欢这样剧中的李多海。            
(3星)	 薛功灿先生。多嗲的呼唤。            
(4星)	 开始看的时候很喜欢，经过后来湖南卫视一播，就觉得好恶俗好恶俗了~~            
(5星)	 看的伤心死...            
(2星)	 话说最近看了一部啥,都认不出李多海了...            
(4星)	 第一次看韩剧是这部。。。            
(5星)	 我非常喜欢的一部韩剧。缺少勇气了，不开心了就会看。每次都能给我勇气，和去面对的力量。            
(NA)	 好看好看~~~不过男 女主角都不是好好看~~            
(5星)	 最好看的韩剧            
(5星)	 发现我看过的韩剧也不少啊，我还年轻呢~哈哈~            
(2星)	 看到一半就不想看了            
(5星)	 这是我看完了的第一部韩剧。很是感动，也是从这个时候开始喜欢李俊基的，叫人心疼。韩剧里的女主角好像都是差不多命运！            
(3星)	 讨厌李多海，冲着剧末来了春香梦龙，给点星吧。            
(5星)	 帅气的李准基 在剧中静静流泪的时候让人跟着一起心疼            
(5星)	 爱是无法说谎的……            
(4星)	 女主角古灵精怪，男主角憨厚木讷~~呵呵，女生比较喜欢看的韩剧            
(2星)	 不喜欢女主剧情也俗套            
(2星)	 制式韩剧。男主某些角度还算帅吧。男二狐狸眼，不喜欢。女主和金三顺长得像，不知道是不是整的，还算有亲和力。            
(4星)	 很搞笑的女主角，舒服的剧情            
(4星)	 哈哈，很好玩呀~看的时候很开心的片子。。李多海挺漂亮的~            
(4星)	 薛功灿先生。            
(3星)	 都说这个比豪杰春香好看 我觉得没有 而且我觉得男主角不够帅 女主角还行 李俊基那时还不错 现在不喜欢他了            
(4星)	 还记得高一那会宿舍熄灯后躲在被窝里看。            
(5星)	 李多海美得来啊~~搞笑~            
(NA)	 perfect            
(5星)	 最爱的一部韩剧，音乐用的非常好。            
(5星)	 会下雪的水晶球。            
(5星)	 摘桔子那一段真的太搞笑了            
(3星)	 韩剧就是韩剧，永远是两男两女，契约变着玩，李俊基在上面还不错，挺man的            
(4星)	 配乐很不错            
(3星)	 我没看完。            
(4星)	 原来很讨厌后来发现原来和我们最像的是徐正雨            
(4星)	 正雨那含着泪红红的眼睛，真让人心疼~~~            
(5星)	 开始喜欢李多海，喜欢李东旭。            
(5星)	 我妈很喜欢李多海~            
(NA)	 = =女主不好看            
(5星)	 还是很经典！            
(4星)	 女主整的很像宋慧乔~~男主一般~不是很帅~~~但是剧情很搞笑~~~也不乏韩剧套路式的罗曼蒂克~~~~            
(5星)	 政宇是我第一个喜欢的            
(NA)	 搞笑            
(3星)	 记得当年看的时候，很是喜欢。现在想起当年看的时候的我，很是喜欢啊~            
(4星)	 更喜欢李东旭《说不出的爱 》中的年轻气。            
(5星)	 说什么好呢。。。my can是这么来的 也已经不在了            
(5星)	 有演员，有剧情。偶像剧翘楚了吧。瑕疵在结尾，有点太巧合了            
(3星)	 当年喜欢的是薛功灿。            
(NA)	
(4星)	 大一时，笑翻了            
(4星)	 看的不多的韩剧之一，重温了下，还是最喜欢俊基了！！            
(4星)	 李俊基的角色更让人爱，男主显然黯淡了            
(NA)	 就那样吧。喜欢李多海的造型            
(3星)	 我只是為了看李多海小姐。            
(5星)	 插曲都很棒，情节也很感人，蛮不错的protagonist，BAXIA!珠裕邻，O(∩_∩)O哈哈~            
(NA)	 一般，也看完了，谜韩剧            
(5星)	 很喜欢男女主角，被中国引进后毁了            
(5星)	 看过有5、6、7、8遍了吧，大爱！Happy~happy~day~            
(3星)	 主题曲蛮好听的 欢快活泼的那种            
(NA)	 很喜欢里面的幼邻            
(3星)	 我有个同学喜欢的不得了= = 感觉一般            
(3星)	 男主角着实没有男配角来的醒目            
(5星)	 第一次知道李多海，就是这部片子，还不错，女孩的人生经历很丰富！太会说谎老！            
(4星)	 我喜欢李东旭            
(NA)	 很有意思            
(5星)	 真喜欢薛功灿。            
(3星)	 还是不太喜欢李多海的演技，有点做作            
(5星)	 love!!!            
(4星)	 开头特好玩，后面就变成悲情。放眼望去，偶像韩剧都这样，郁闷。            
(4星)	 李俊基            
(4星)	 李多海My Girl确实蛮搞笑。。呵呵。。看看想笑。。            
(5星)	 高中时最喜欢的一部韩剧。            
(4星)	 喜欢男1女1~韩剧看的不多，这个很喜欢~            
(5星)	 搞笑~温馨~~多海好美啊。。好可爱。俊基太秀气了            
(4星)	 傻傻的看傻傻的乐就够了            
(NA)	 在我喜欢那首my girl 之后的几个月，它开始铺天盖地            
(5星)	 很喜欢滴不多的韩剧之一            
(4星)	 挺搞~            
(4星)	 看到后面有些拖沓~前面还挺逗的！            
(4星)	 由 歌 而入 电视剧想看看这是一个怎样的故事？            
(4星)	 很搞笑啊~~挺喜欢女主的。。。结局总要虐一下，韩剧风格            
(5星)	 养眼啊···            
(3星)	 也许韩剧都有个通病，就是前段铺垫太多太搞笑，以至于结尾导演不晓得怎么收尾，而烂尾告终。            
(5星)	 经典            
(4星)	 爱情宝典！！！！！！！            
(NA)	 ちょーよかった！            
(4星)	 薛功灿是太太太太太帅了。。。。那个什么世萱的是在太太太太太丑了。。。            
(5星)	 第一次见到李俊基，哇塞，有感觉~~            
(5星)	 当时有段时间学女主说谎话，，哈哈~男二更有爱            
(4星)	 李多海现在整容整的太厉害了            
(NA)	 我爱功灿            
(NA)	 407            
(4星)	 我喜欢~            
(4星)	 当年看得欲求不满，被李俊基迷得七荤八素，后来被马桶台给毁了！            
(4星)	 嗲~~~            
(4星)	 不是很喜欢准基、这个气质啊。。李多海不错捏～            
(NA)	 那个时期喜欢看的            
(5星)	 经典  经典 经典             
(5星)	 百看不厌的精典~            
(5星)	 很好很好，男女主角都很漂亮，很会演戏            
(NA)	 酷            
(3星)	 韩剧总是这种傻姑娘配优质男的故事 姑娘真的是很傻很天真 然后就只剩善良 总是有个恶毒的女二号在衬托            
(5星)	 无论是否放弃，希望都不要以后后悔，现实没有这么多的巧合。。。。。。。            
(3星)	 也算比较经典的HE韩剧~现在李多海都整成啥样了。。。恐怖啊            
(4星)	 不同的时候看的感觉都不一样，现在看就觉得没意思了。            
(3星)	 女主角给人感觉很傻。            
(5星)	 看了很多遍，大爱，O(∩_∩)O~，其他就不多说了            
(3星)	 前半段还是不错滴，往后就开始拖啊拖            
(5星)	 我亲爱的准啊~MY GIRL里面让人心疼的准啊，看了五遍还是看不腻啊！！！            
(4星)	 不错，看了几遍了。喜欢李东旭！            
(5星)	 冲着男2去的~            
(5星)	 最爱的韩剧 永远的经典            
(5星)	 搞笑帅气            
(4星)	 我居然看了3次~~~            
(5星)	 我的爱情没有谎言。            
(5星)	 我最爱的薛功灿！这剧集简直百看不厌，无聊的时候，随便点进去，就可以再看完一遍！太经典了！！！            
(4星)	 前面几集很好看 就酱。。后面pass直接结局就好            
(4星)	 喜欢李多海~            
(3星)	 难道我对偶像剧不来电了？            
(4星)	 那时的李多海真是太可爱了~            
(4星)	 大家都差不多看过把            
(5星)	 我觉得这部很经典，很好看            
(4星)	 很久以前的            
(4星)	 大爱李俊基！            
(4星)	 我最后一部韩剧            
(3星)	 完全是为了准基而去看的..            
(5星)	 很好            
(3星)	 重播了不晓得多少遍芒果台····            
(2星)	 当无聊时看韩剧，我们越来越无聊。            
(NA)	 李多海在里面很出彩的是她的穿衣打扮，这部戏中，三个主角都爱            
(4星)	 可怜的男二啊~            
(5星)	 其实我喜欢的一直是李东旭……大爱~这部戏我也看了好多次了~            
(5星)	 我不知道中了什么邪。。。。男猪脚帅呆了！！我也想要。。。。            
(4星)	 当时风里边的台词，那些谎话，哈哈哈哈            
(4星)	 配乐很好听            
(3星)	 姐弟恋            
(4星)	 喜欢喜剧的开头，不知为何到最后总是苦情；明白了无论何时都要微笑            
(4星)	 很轻松，喜欢这类电视剧            
(1星)	 女主角演得夸张 李俊基让人接受不了            
(5星)	 呵呵，多海最终找到了自己的归宿，虽然有些苦，但还是走过来了，能给别人爱的人，应该可以得到更多的爱吧~~            
(5星)	 好看，很好看。            
(5星)	 好看好看，歌很好听，女主角好漂亮，剧情也喜欢 总之就是很不错！喜欢~            
(5星)	 挺好玩            
(4星)	 女主做作了一点            
(5星)	 李多海！            
(4星)	 前部分真的很逗，音乐也好听。后面就有些拖沓了。女主一直在吃，让我很无语。。。            
(2星)	 无聊。。            
(4星)	 本来是五星的，可惜芒果台放得太多了........            
(5星)	 天呐，这个女孩子是我见过的最会扮可爱的            
(5星)	 故事感人            
(4星)	 关于小三成功的故事            
(3星)	 完全是被迫接受型的。有段时间各个电视台狂轰滥炸，于是无奈看着这个狂装可爱的女生和基本没表情的男生谈一场似是而非的恋爱。            
(5星)	 很好看的说！！国语的配音也挺好听的呢~~            
(4星)	 = =很早前看的            
(3星)	 两星给李多海            
(5星)	 李多海的眼睛会说话            
(4星)	 又开心也有难过～爱情神秘的让人看不透，我们又该如何～～～            
(4星)	 我喜欢男2            
(3星)	 李多海演得很可爱，李东旭很帅。            
(5星)	 这个剧不错            
(5星)	 最喜欢的韩剧之一！            
(4星)	 很轻松的片子 喜欢薛功灿xi 只是多海mm现在整容整过了头。。。            
(3星)	 男主很帅很帅。            
(2星)	  = = 我是真的觉得没什么意思啊...可能是男角都不对胃口然后画质太浓吧...            
(4星)	 搞笑的剧情+煽情的剧情，喜欢插曲            
(5星)	 韩剧里我最喜欢的男人,哦,是李东旭啦,不是李俊基啦            
(4星)	 笑中带泪的韩剧，我喜欢HAPPY ENDING。            
(5星)	 合适的时候碰到的合适的电视剧，非常细化，只能给五星。            
(5星)	 “我的爱情不是谎言”            
(4星)	 闹哄哄~利多还是新娘十八岁里出来嗲~！            
(4星)	 李准基的脸太媚了，男主角装可爱的表情太萌了。            
(4星)	 前面挺搞笑，后面挺感动            
(NA)	 谁也超不过这个！！！            
(3星)	 李多海挺俏皮可爱的            
(4星)	 看了三次，每次都能让人笑得很开心。            
(5星)	 人和衣服 好看歌曲  好听 never say goodbye爱情  好动人            
(NA)	 无鸟时看看，很好~            
(4星)	 李俊基很有魅力的一部            
(3星)	 虽然套路但是还是忍不住看完了。严重喜欢李俊基。经常有看的想哭的时候，觉得自己怎么这么呆啊这样的狗血剧情都感动。可是还是好感动好感动。没办法，看韩剧就像是傻瓜一样的被牵着鼻子走。            
(NA)	 又一部韩剧。            
(5星)	 这是第一不让我喜欢上男二号的电视剧  不是男一号不好 而是男二号的真挚和付出让我移不开眼睛  “李俊基”shirt这部片子让我记住的名字            
(4星)	 小學的時候巨愛= =~            
(NA)	 男的怎么总那么帅            
(4星)	 李东旭在里面实在是帅的可爱~李多海也让我喜欢~            
(NA)	 是看过的为数不多的韩剧之一，是目前唯一看过两遍的韩剧。韩剧总是很磨矶，很无脑，但人生或许在简单的逻辑中更容易得到满足。时隔四年，那样日以继夜地看完，还哭得稀里哗啦，或许哭得还更凶了            
(4星)	 高二圣诞去网吧看的，俏皮轻快的剧情，喜欢珠裕邻的乐天。啊，啊，李东旭在里面演的让我犯花痴了，捂脸。            
(4星)	 李多海好看！            
(5星)	 唯一一部看过n遍的韩剧 编剧真的很赞            
(5星)	 看了那么多的韩剧那么多的电视剧最喜欢的韩剧最喜欢的电视剧的主题曲目前为止还是我的最爱            
(4星)	 裕邻总结的骗人的三原则：厚颜的诡计，堂堂的诬赖，死死的硬撑！真是经典呀。原来以为李多海挺胖的，其实身材还蛮好。李东旭看久了才觉得帅一点。李俊基在这里扮相太妖，但许多细节真是让人感动。            
(NA)	 每个人都更喜欢那个不容易得到的人，嗯，人都喜欢自做孽，对于喜欢自己的总是装作看不见。偷橘子那级太搞笑了            
(3星)	 初恋男友变残TT            
(NA)	 我太喜欢李多海了，这是我最喜欢的一部韩剧            
(3星)	 很可爱、里面的歌曲也会唱了的哦，(*^__^*)             
(3星)	 我是没有完整看过一部韩剧的，连《宫》都差最后几集，所以我也厚着脸皮弄我看过一丁点儿的韩剧上来啦~这个看过几集，嗯，无感~            
(5星)	 看了好多遍了，至今在我心中排名韩剧第一。            
(4星)	 韩剧嘛，不都是那样吗，每次嘛，我不都爱上男二号嘛……            
(5星)	 2005年，爆红的韩剧都走了幽默轻松的剧情，没有了哭哭啼啼唯美的爱情戏，更贴近民众的心。李多海一个聪明机智，鬼灵精怪的小女生把周友林这个角色的性格诠释的很好，我认为至今她是最符合周友林性格的演员。            
(NA)	 时间刚好。            
(4星)	 我没觉得李俊基有多好，比平时的他缺少太多魅力了！            
(4星)	 翻煲~1            
(NA)	 奶奶看的比我还起劲            
(4星)	 很欢乐的，让人看得很开心很快乐并能一直看下去的好片子。推荐。多海很漂亮很可爱，俊基很帅，东旭很帅。            
(3星)	 无感，有点做作。。。            
(4星)	 我多想有个那样的哥哥和那样的骑士。幼玲，你真的好幸福……            
(4星)	 这部电影让我喜欢上了李俊基，同时很不喜欢李多海            
(5星)	 最最最喜欢            
(5星)	 大一的回忆丫。。。真是的最喜欢的一部韩剧了            
(4星)	 很喜欢            
(3星)	 女主角不算漂亮，男主角也不算很帅            
(5星)	 虽然很做作  但当年真的觉得李多海超级可爱的说                
(1星)	 应某人的介绍，熬夜看完的一部。李俊基的眼泪还是斜着飙出去。像一枝梅里的剑痕。            
(NA)	 百看不厌。 好听的配乐， 心碎的表情， 和难以抑制的爱～～            
(NA)	 搞笑死了            
(3星)	 音乐不错。内容凑合。人，算了            
(NA)	 喜欢李东旭            
(3星)	 湖南台播了*年了            
(4星)	 挺搞笑的。也算是风靡一时的韩剧。悲情的男二号。俊基啊~            
(3星)	 挺有意思的。            
(4星)	 怎么说呢～整体剧情完全是浪漫满屋的翻版～但是女主很可爱呀～看到最后不知不觉地就被感动了呢～开始看的时候只想给三颗星的～但看到最后，觉得四颗星还是很值得的～            
(3星)	 这个也没觉得好看 李还不是男一            
(5星)	 当时为徐正雨感到不平，为什么就不喜欢他呢？后来明白有些感情是强求不得的。。所以后来在慢慢接受薛功灿，这个男人也是不错的。但比不过徐正雨。。。最后的玫瑰真心疼。。。            
(3星)	 李东旭=美男            
(5星)	 经典~不愧为经典~            
(5星)	 最喜欢的两部韩剧之一，认识李多海，也从此喜欢上李多海！很搞笑！            
(NA)	 蛮感人，蛮浪漫的            
(5星)	 喜欢，灰常喜欢，下雪的时候不由得会想起裕玲~~~            
(3星)	 完全是冲着李準基才看的剧，李多海的表演有点过，不喜欢。准准的个人魅力就不用说了^_^    不过发型有点。。。。后来才慢慢习惯            
(NA)	 跟个女孙悟空似的。。。            
(5星)	 哈哈哈欲罢不能            
(3星)	 李多海的眼睛很有灵气            
(4星)	 面对韩剧里的假情节尚且盼望有情人终成眷属，现实中的自己为何要轻易放弃。。。p.s. 超爱李多海可爱的小表情：）            
(4星)	 好看好玩            
(5星)	 这是我第一部看的韩剧,从此后就迷上了韩剧了!喜欢它有笑有泪,,虽然一开始听不习惯韩语...这部韩剧依然是我心中的经典!!            
(5星)	 快看烂了，但是还是喜欢。            
(4星)	 不喜欢男主            
(4星)	 很搞笑，看了心情很好            
(5星)	 喜欢薛功灿！！！            
(5星)	 湖南电视台啊            
(5星)	 话说，这部戏我看了好多好多遍！！   剧情轻松。。满足了自己的少女美梦！！            
(5星)	 很开心的轻喜剧，虽然这两个主演之后演的戏我都不爱，但他们在这部戏中的火花四溅，很搞笑的剧            
(5星)	 大爱之一~~经典呀~~薛功灿、徐正雨~剧情虽然仍是灰姑娘与白马王子~四角恋……但是难忘啊~            
(4星)	 高考的时候因为数学考的很烂心情不好，所以一直看到12点多……但是第二天考试却发挥的不错……不知道是不是要感谢这部片子……呵呵            
(NA)	 很有趣            
(2星)	 各种各样烂。            
(5星)	 原来5年后重温仍然觉得“东旭偶罢迷人依旧呀~~~”为毛看剧的自己少不了捶胸顿足祭奠死去的花季雨季~            
(3星)	 李多海只有一个表情，连拍广告也那个表情            
(4星)	 虽然男一也挺帅的但我就是喜欢男二于是这个片子就自然看的很纠结。。。            
(5星)	 最爱            
(5星)	 很搞笑的片，喜欢男主角            
(4星)	 某人看了6遍。。            
(4星)	 偶像剧            
(4星)	 姐因为小夹子最近成韩剧控了。额。姐看这部剧看疯了。MARK！            
(5星)	 当时迷死了            
(4星)	 女2号永远很讨厌,男2号永远好可怜...            
(NA)	 最爱的韩剧之一~            
(NA)	 我也想在困难的时候出现男二号！！            
(5星)	 喜欢。            
(3星)	 女主角不喜欢~            
(5星)	 虽然是喜剧，但是绝不肤浅。末尾的告白是最经典的。            
(3星)	 扯            
(NA)	 我一度认为这个就是理想型了。            
(5星)	 李多海太可爱太漂亮了 剧情很棒！害我高考前还疯看！唉~后悔吗 不知道啊            
(5星)	 看了很多遍都不会腻的好韩剧            
(4星)	 高中看的，感动的啊那时，呵呵~~不过真的很好看！            
(5星)	 最爱看的韩剧之一 收藏 经典             
(3星)	 李多海在这里面挺漂亮~            
(5星)	 我真的灰常喜欢那场憋哭的戏。太真鸟。            
(NA)	 毛某人看了六七遍，在她心目中，还没有一部剧能超越它。。            
(5星)	 好看呀！虽然看了很多遍还是很喜欢，男女一号掩饰不住的爱情的感觉在剧中流淌，真是既搞笑又温馨，好久没有看到这种电视剧了，有真的感觉在！            
(4星)	 说不上来 其实没什么深度 但就是在看的时候让人能轻松下来 这对我来说就是韩剧的意义所在吧            
(NA)	 男女主角长得挺标致的，呵呵，剧情还好吧，不像台剧，对唯美爱情还有兴趣的看看，还不错            
(3星)	 娘诶，女主啊，你多大了            
(NA)	 大爱            
(5星)	 李多海那表情。。。赞。。。            
(3星)	 看的时候觉得还行，看完也就那样。            
(3星)	 又一部和媽一起看的韓劇~            
(NA)	 我的最爱啊,看了很多遍,还是很喜欢            
(3星)	 韩剧，看来看去模式都差不多了，李多海的表现在里面也算可圈可点了            
(5星)	 每次心情不好的时候就会打开My girl，喜欢看幼林为了自己的爱人说谎心痛，把辣椒说成不辣，把喜欢说成不喜欢，自己承担一切苦痛。这个女孩没心没肺，不会体谅自己，却把安心留给功灿。爱，可以这样伟大吧            
(NA)	 辣的可以说不辣；喜欢的可以说不喜欢            
(NA)	 李俊基在这部剧里很man！            
(5星)	 目前看过最多次的韩剧。千万别看国语的，一定要看原声的。音乐很好，剧情紧凑。很喜欢李多海的衣着及表情。            
(3星)	 女主角和男主角完全都不是我喜欢的类型。。。            
(4星)	  俊基姐~ 你还要多帅咯~            
(4星)	 唯一看过的韩剧``还觉得很不错``- -||``我爸妈也这样觉得- -!!!``喜欢李多海在这里面的造型``            
(NA)	 薛功灿！！！！            
(NA)	 其实就OST好听点             
(5星)	 看了N遍都没腻。。。俊基，最爱~~~ HOHO            
(5星)	 高中时，同学推荐，结果。哎，不小心看上了            
(3星)	 虎头蛇尾..当年很爱李俊基...            
(4星)	 高中看的，当时还跟姐姐说有个韩剧不错。            
(4星)	 是冲着李俊基才看的            
(5星)	 这是经典之作~看了N遍            
(NA)	 就是奔着准去的            
(5星)	 很喜欢李多海的表演            
(5星)	 以前很喜欢的剧。            
