http://movie.douban.com/subject/1761848/	夏娃的诱惑 이브의 모든것
(5星)	 韩国的梁朝伟，太有魅力了，无法抗拒啊。            
(4星)	 夏娃的诱惑，我喜欢这个翻译，非常扣题。尹享哲太完美的男人，善美人如其名，金素妍的表演非常到位。            
(5星)	 很喜欢学长和善美，喜欢他们的故事，这个故事和其他的爱情故事很不一样，学长一直都在包容着善美。很喜欢善美，喜欢她的单纯善良和可爱。            
(NA)	 当年看的第一部泡菜剧，十分喜欢学长这个角色，一边看一边跟同学讨论小细节。现在主演的几个人变化都很大，不过张东健保持得很好啊~当老板了更帅……            
(5星)	 ！！！            
(5星)	 经典韩剧，完美男主，并不是每一个甄善美都能有一个学长，可以发现她的好，惜若珍宝。            
(4星)	 没看完。只记得幼正哥那忧伤的眼神。            
(5星)	 zuiai，2011.10.5又重温了一遍，自此再无出其右者，看过此剧，再无韩剧。。。            
(4星)	 剧情还很不错，就是有点老了，主角穿的服装现在看有些土气了。            
(5星)	 第一部韩剧啊             
(5星)	 看的第一部韩国偶像剧啊            
(5星)	 无论如何 还是要当一个善良的人            
(4星)	 还是我妈妈推荐我看的```但是看完就觉得嫁男人就得嫁张东健这样的~~            
(5星)	 至今都不落俗套的韩剧，太经典了，除了完美的学长，其他人物个性都很真实            
(5星)	 接触韩剧是从这部开始的            
(5星)	 金素妍的迎美真是惊艳到骨髓！            
(5星)	 小学看的了            
(5星)	 我看的第一部韩剧。            
(5星)	 全心全意给给五星。。。！！！            
(4星)	 唉 童年的回忆啊。。。妈妈爱看……            
(5星)	 佑振对善美说其实我很羡慕尹理事，因为他能看到你的好，他发现了你的美好，并因此而爱上了你，我羡慕他。戴上脚链，是最温柔的刹那流转。            
(5星)	 滕老师力荐。。。片头片尾都很好听            
(4星)	 张东健啊张东健啊张东健啊。。。            
(5星)	 这个，真不错~            
(5星)	 就是因为这部戏，爱惨了男主与女主！！            
(5星)	 很喜欢这部韩剧，剧本精良，各大主角配角表现都很抢眼，最近三年每年都看一遍，哎，什么时候我不再做梦而是认认真真的生活啊            
(5星)	 只爱女二男二            
(5星)	 最爱！            
(4星)	 张东健！真的帅啊！            
(4星)	 绝对为了张东健            
(4星)	 张东健当年真是太帅了~~            
(4星)	 前后照应得不错            
(4星)	 做个像善美那样的女孩，就会遇到尹享哲吗？哈哈            
(5星)	 把我看到哭~年轻时代还真是容易感伤啊~哈哈~            
(5星)	 经典！！！！            
(4星)	 小时候巨爱看            
(4星)	 那时候恨迎美恨的直咬牙，不过，金素妍是比蔡琳好看多了            
(NA)	 悲催的韩载锡怎么又被撞死了。。。。            
(5星)	 看哭了一次有一次  那时的善美并不漂亮 那时的学长并不算帅 那时的英美很坏  那时的佑正很傻   就这样 留给我的  确是一场永远不会醒的梦            
(5星)	 最爱的韩剧，最爱的学长和善美。还有，迎美，没那么讨厌了，同情与理解            
(4星)	 我妈偶像···第一部韩剧···            
(5星)	 中间太纠结我都跳过去，但是这结尾每次看都让我哭得哟....真善美真是好女娃！！我也要一个！！！            
(3星)	 善良过头了真的也很讨厌。            
(NA)	 没看全，初中时看的，当时凤凰卫视播，我们一下晚自习就跑同学家小卖部看            
(5星)	 喔喔~~金素妍太美啦~~~蔡琳的角色固然好，可是这种灰姑娘和白马王子的故事太不实际，不如像迎美那样争取。佑振死得时候伤心死我了。            
(5星)	 十年后重温，张东健还是那么的帅~            
(4星)	 又无意见看了，还是很喜欢张东健的薄嘴唇和好脾气。            
(4星)	 经典            
(5星)	 当时好喜欢这个剧~男二死的时候姐都快哭死了            
(4星)	 里面是不是有个佑正哥，太苦情了！            
(5星)	 还是很喜欢            
(5星)	 这部让我认识了蔡琳            
(5星)	 又是一部思密达，谁叫我当年看了 呢            
(2星)	 果时劲中意蔡琳同张东健            
(5星)	 第一部韩剧，凤凰卫视中文台播的。            
(5星)	 学长是最佳老公人选!!!            
(5星)	 超爱的~~！！美美滴！            
(NA)	 千遍不厌            
(5星)	 经典韩剧啊！！！            
(4星)	 那是的蔡琳，那是的金素妍......所幸张东健还没变。            
(5星)	 小时候真被cl萌翻鸟            
(NA)	 呀~那时候很喜欢金素妍的            
(4星)	 学长~            
(5星)	 看的第一部韩剧，也是最爱的一部。            
(4星)	 断断续续看的，每个角色都演得入木三分，是个圆满的大结局啊。            
(NA)	 十年了~ 看过一遍又一遍 不开心的时候 就看 看完心里就暖暖的            
(5星)	 从初中到现在一直都是我的最爱！！            
(4星)	 真善美 假恶丑            
(3星)	 曾经青葱的学长，三颗星都给你。            
(5星)	 难忘的经典            
(4星)	 很早之前看的，当时觉得还蛮好看的，现在看来好土气哦            
(5星)	 我的韩剧启蒙老师……            
(5星)	 经典中的经典。其实我蛮同情迎美的，有她的逻辑在。            
(5星)	 重温了很多次的韩剧            
(3星)	 两极化严重……            
(5星)	 就是太他妈的经典了.            
(5星)	 “你的出生带给我希望，我希望带给你幸福”。每每想到张东健说的这句话，就感觉特别温暖和甜蜜，嘿嘿！            
(5星)	 爱死了。。。。尹享哲太完美了            
(4星)	 看完后喜欢的是坏坏的女二= =+            
(5星)	 啊，张东健啊……            
(4星)	 在我个人历史中，这可是开山鼻祖，就是现在看都觉得很不错，虽然那时候的妆有些许的惊人……            
(4星)	 真讨厌那个女的啊。。。怎么那么坏。            
(4星)	 那时蔡琳还没有疯狂的整形，还能动脸。            
(5星)	 如果不是全部，就等于零            
(4星)	 女播音员的故事。顶喜欢~            
(NA)	 看这个我就喜欢上了主播的~             
(5星)	 唯一一部看了无数遍的电视剧。“我好高兴有你，你带给我无限的希望，我希望带给你幸福。”            
(5星)	 也是经典大爱~ 当时就好想以后找个姓真的 以后也给孩子取名叫真善美啊~东健偶吧真是太帅了~Over~            
(5星)	 高中看的            
(4星)	 被现在国内的《爱上女主播》给丰富了下            
(5星)	 当时特别喜欢张东健扮演的理事，觉得那是真正男人的代表！后来的韩剧超脱了这个模式，男主角开始变得搞笑可爱起来。            
(4星)	 蔡琳的卷发当时觉得好可爱~            
(5星)	 最爱的经典之作~也是完整的看过最多遍的韩剧            
(5星)	 太久太久以前的韩剧当时还是小孩子但是每天就被这所吸引。。关键是当时是在追电视啊。。。万恶的电视台一堆广告。。。            
(5星)	 很老的电视剧了。那个时候真的很喜欢看。里面的音乐也很好听~            
(5星)	 第一部看的韩剧，我爱金素妍，讨厌蔡妍！！！！！极致的！！            
(5星)	 每个人都有现在必须去做的事情！            
(5星)	 喜欢第2男猪脚，第2女主角。。。。。            
(3星)	 我还没看完的时候推荐我来我家的同学看，她没看完走了，只留下对蔡琳的美好印象，我也没看完，若干年后陆续补完了，但是已经没有悸动。张东健最帅的时候还是医家兄弟吧？！            
(4星)	 第一代的韩剧~~~            
(5星)	 太经典了            
(5星)	 时隔多年再次重温，依然很治愈            
(3星)	 早期中接触韩剧经典中的一部，太喜欢张东健了            
(5星)	 小时候真觉得 尹享哲就是完美的王子了。。            
(4星)	 好看好看            
(3星)	 始终是偏爱韩载硕，不喜张东健，从《天桥风云》开始，到现在韩还是苦逼的结局；迎美难道不比善美真实么？            
(5星)	 对于善美，我是男人我也会情不自禁地爱上她；我是女人我也会情不自禁地极度她.....            
(4星)	 当年觉得挺好看 貌似是一家人看的呢            
(5星)	 我爱徐迎美，更爱尹理事            
(5星)	 最花痴的韩剧。。一如既往            
(5星)	 每年必看一次的啊            
(5星)	 我永远的最爱            
(5星)	 好看！！            
(4星)	 第一部让我爱上韩剧的韩剧~~            
(5星)	 完美男主角张东健，完美女主角以及完美的女二号。特地买了这部剧的碟            
(5星)	 韩剧中的经典            
(4星)	 曾几何时张东健大叔在我心目中的地位极为高            
(5星)	 我喜欢张东健            
(4星)	 爱恨纠缠。唉。。佑振对那谁真是没话说。            
(4星)	 我接触的第一部韩剧。。。            
(NA)	 很早的一部剧 重温还是有不错的感觉            
(5星)	 看不够            
(5星)	 小学时候很喜欢的片子            
(4星)	 俊男靓女，善良的人总会好的            
(4星)	 经典韩剧了            
(5星)	 最近再看了一次，发现这部剧真是好，每个角色都是那么的出彩，徐迎美这个坏女人真是坏啊，无论是形象还是气质的方面。张东健真是帅啊，每个女人都期望背后站着的这么个男人。还有这部剧神奇的地方在于虽然是10年前的剧了，但是妆容，服装、发型的任何一个方面都没有过时耶            
(5星)	 我最爱的韩剧            
(NA)	 我们都爱坏坏女            
(5星)	 记得那一年在合肥学游泳。            
(NA)	 經典的老韓劇            
(5星)	 简直是韩剧中的翘楚            
(5星)	 爱的第一部韩剧。            
(5星)	 第一个爱上的韩剧            
(4星)	 我爱尹享哲~(@^_^@)~            
(4星)	 我记得还是凤凰卫视放过的            
(5星)	 爱            
(5星)	 当年最喜欢的是坏坏的徐迎美。            
(5星)	 最喜欢的韩剧 经典            
(NA)	 看过很多遍的故事。。。说出为什么。。。很美好的。。。我想全剧只有在最后一集的最后时刻那女主角才上演亲吻一幕时，这点现在很多电视剧都做不到了吧。。。            
(3星)	 高中同学一直在说的情况下看的 现在看到这部电视剧 还会想起她 效果 ^-^            
(5星)	 熬了熬，想去英国留学大概念头就起在这个电视剧上            
(5星)	 小时候跟妈一起看的～喜欢一开始在英国的部分            
(5星)	 爱上 女主播 爱上心中的“真善美”            
(NA)	 太经典了            
(3星)	 想当初很是喜欢啊，就是那时候很喜欢蔡琳还有张东健。感觉很好！！            
(NA)	 我看多少遍都不会厌烦的片子love it            
(5星)	 这个绝对经典之作，我妈当年甚是无情的说她喜欢女主角胜过她亲生女儿啊~            
(4星)	 可是世界上真的会有真善美小姐吗?            
(5星)	 至今为止想起来仍然很温馨 没后悔看过 也许会重看的韩剧 哈哈是个美丽的童话呢            
(5星)	 当年很红啊..            
(5星)	 不知不觉看过这么多韩剧.....非要说出最喜欢的.....一定是这部            
(4星)	 那个尹理事无人能超越啊……            
(5星)	 太爱这部了，经典，蔡琳真的好可爱，东健哥真帅啊            
(5星)	 第一部印象深刻而且深深喜欢的韩剧，很经典。最喜欢前面几集张东健头发放下来的样子            
(3星)	 喜欢张东健和蔡琳~·by the way  后来发现金素妍的演技真的不错。由开始的的恨之入骨到后来的喜欢 嘿嘿            
(NA)	 看过无数变，白看不厌的电视剧。             
(4星)	 哎，只有电视里才有那么好的男人。            
(4星)	 学长好，好学长            
(5星)	 真正意义上的接触韩剧。            
(5星)	 完全是经典啊。。。            
(5星)	 这个必须看过啊            
(5星)	 想当年老喜欢张东健了，现人都结婚咧。            
(4星)	 花季时喜欢真善美，这会儿喜欢徐迎美，心智不同了吧~~~            
(5星)	 想当年我还买了这个的VCD……=  =             
(5星)	 和我一天生日的东健哥哥~~            
(5星)	 经典啊            
(NA)	 我爱死这部韩剧了，百看不厌            
(5星)	 徐迎美太幸福了            
(3星)	 当时很喜欢张东健捏            
(5星)	 经典的韩剧，小时候的回忆            
(4星)	 最爱的学长。            
(4星)	 当时的大爱~            
(NA)	 看过三十遍            
(5星)	 最爱迎美            
(5星)	 张东健老帅了~~~~            
(4星)	 很早之前看过的韩剧，完美学长和真善美学妹的完美爱情~~很愉快的看了，并且憧憬着这般美丽的爱情......唉，那时年少，那时爱做梦。            
(5星)	 经典啊。张东健和蔡琳            
(5星)	 小时候会恨所谓的坏角色，现在却觉得几乎每个人都有可爱之处，只是立场、经历与性格不同而已。  这部韩剧启蒙，还是很有爱的              
(4星)	 好怀念！心目中最帅的~            
(5星)	 韩剧貌似就看过这部和《汉城奇缘》吧。。。其实蔡琳这里面太过圣母而张东健又太过王子了 。。。。            
(5星)	 超爱尹享哲            
(5星)	 我喜欢徐迎美，以前的韩剧真的没那么NC啊。。。            
(5星)	 张东健演的学长真是让人没话说啊……            
(5星)	 比中国那个好看多了，女二真的给人印象很深            
(5星)	 善良。            
(4星)	 当时看的真疯狂            
(3星)	 小学看的- -            
(4星)	 蔡琳的娃娃脸好可爱~~            
(5星)	 好喜欢学长啊。            
(5星)	 恩，很喜欢这个故事的说，目前真是各种翻拍~~~            
(4星)	 现在重看感觉必然会不一样了，可我不想重看了。            
(5星)	 喜欢了十年的韩剧还有。。。张东健            
(NA)	 迎美啊..我们都爱你             
(4星)	 曾经多迷的一部电视剧。。。            
(5星)	 我是很喜欢迎美和善美的            
(5星)	 从小学看到大学，看过不下10遍但现在仍然会想看的电视剧。            
(5星)	 超爱这部电视的！暑假又看了一遍还是觉得好看            
(NA)	 记得那句：既然伤了我的心，你至少应该过得幸福才对。            
(5星)	 最爱            
(5星)	 oh，学长            
(3星)	 那时候。。。            
(5星)	 以前在凤凰卫视看的~大爱金素妍~~0 0许迎美~~            
(5星)	 哎呀。我曾经的年少轻狂梦啊~~曾经多讨厌金素妍来着，着实证明了她演的有多好~            
(3星)	 看的第一部韩剧吧 真怀念啊那时候还是个小孩呢            
(4星)	 这应该算是我看的第一部韩剧            
(4星)	 我的妈。往事不要再提。。看看现在浙江台拍的那个怂样。            
(4星)	 喜欢张东健~~~            
(5星)	 经典！~~            
(5星)	 还是初中时            
(5星)	 啧啧啧。看了这部电视之后对女主播那叫一个崇拜。            
(5星)	 第二部接触的韩剧哦~~            
(4星)	 完美的男人。《一个陌生女人的来信》            
(5星)	 真的没有更好的了            
(4星)	 比较早的一部韩剧，还不错            
(5星)	 最喜欢的韩剧，至少到目前为止            
(5星)	 人生中第一部韩剧            
(5星)	 最爱~            
(4星)	 喜欢早期的蔡琳，很可爱，张东健那时候也很年轻帅气啊！            
(5星)	 我超喜欢的一部韩剧啊，喜欢蔡琳            
(4星)	 怎么会有那么包容的人            
(4星)	 也有我很多的回忆，16岁的夏天 。            
(3星)	 车祸            
(NA)	 张东健啊张东健            
(5星)	 估计会是我这辈子最喜欢的韩剧了……            
(5星)	 真善美，你怎么阔以仗着学长喜欢你，就能在他对你爱情里为所欲为！！！            
(4星)	 善美，我喜欢你。要说出这种话...我非常不习惯。            
(5星)	 这可是经典，不光我看了好多次，我妈也喜欢哈！！！就是因为爱这部韩剧，去了剑桥荡舟河上，那叫一个激动得啊，都要老泪纵横了~~~~~~张东健，我和我老妈都爱你~~~~~~~            
(5星)	 第一部韩剧!!            
(4星)	 很少看韩剧，但觉得这部不错            
(4星)	 经典韩剧，我看过的第一部韩剧            
(NA)	 张东健真的倍儿帅            
(5星)	 迎美是那样一个女子，你感受着她的恶毒，但你却恨不起来她。无法否认的，失忆后的她那么美。            
(5星)	 看迎美只是觉得心疼。            
(5星)	 十年前看的第一部韩剧，最爱影响最深。现在，只希望琳一切都好，希望你幸福！            
(4星)	 喜欢蔡琳~            
(5星)	 小时候喜欢~            
(4星)	 。剧情干净            
(4星)	 也就偶像剧吧，千万别动大脑。            
(5星)	 看N遍我都愿意、、、            
(4星)	 古老啊 国内韩剧先驱            
(4星)	 那时的他们...很青涩            
(3星)	 张东健可不可以不要那么帅啊~            
(5星)	 很早就看过的韩剧            
(NA)	 看过很多遍，堪称经典，高中到大学到毕业都回顾过，像这样的片子看的时候想到的都是自己成长的轨迹，哦，这里，当时看的时候我在想什么，我过的是怎么样的生活，当然，现在我是不太敢太多碰触这样的片子的            
(5星)	 无意中又听到里面的插曲，很有再看一遍的冲动。            
(5星)	 可不可以打六星??            
(4星)	 是我看的比较早的韩剧了   看完只觉得那个坏女人好坏好坏~！            
(5星)	 我最爱的韩剧之一，那个年代的韩剧，不仅仅是梦幻不切实际的爱情，还有励志的人生。我喜欢尹享哲那样柔情的看着善美，对年幼我来说，那已经是爱情的全部。            
(5星)	 这是我心目中韩剧的巅峰。百看不厌，因为学长的温柔。            
(5星)	 觉得金素妍真是演得好            
(5星)	 原来很早就在电视剧上看到过彻头彻尾的腹黑男，张东健无法超越            
(3星)	 当时觉得金素妍好漂亮哦            
(4星)	 06.7 不错的韩剧            
(5星)	 学长`            
(5星)	 呵呵， 很久很久之前看过的~~~            
(5星)	 大爱，张东健简直把白马王子这词语表现得淋漓尽致，喜欢最后那集迎美哉孤儿院的笑容            
(5星)	 我和妈妈都相当喜欢的韩剧~！也是我唯一认真完整看过的韩剧。            
(4星)	 &#34;有人曾經這麼說過,年輕的時候會想要談很多次的戀愛,但是隨著年紀增長,終於領悟到愛一個人,就算用一輩子的時間還是嫌不夠的.&#34;            
(5星)	 经典 太经典             
(4星)	 好久远 啊。喜欢张东健！            
(5星)	 小时候看的经典韩剧啊            
(5星)	 蛮喜欢的，尹翔泽~~~~好喜欢这里面这两对恋人，一对是甜蜜的，一堆事苦涩的，我能理解迎美因为失去了太多而产生的那种嫉妒和欲争夺一切的恨，我也很恨她的不知珍惜和挑拨离间，但在最后……原来她的爱也是那么的深啊~~~善美纯是傻人有傻福            
(NA)	 这个就不用说了，经典之作，“救赎之爱”，它算是第二名吧：） 95分            
(4星)	 当年喜欢的是善美，现在却为迎美痴狂。金素妍不一般啊            
(5星)	 看过看过看过n~~n~~n~~n遍~~~~~~            
(5星)	 喜欢迎美            
(4星)	 多年前看过的韩剧            
(5星)	 经典啊经典            
(5星)	 最爱的韩剧，张东健扮演的是无敌好男人!            
(3星)	 看过三部韩剧中的第一部，由于时间太久远，内容完全忘记了，只记得“真善美”。            
(4星)	 看看图片...我都能想到那个中文配音~囧            
(5星)	 听到那主题曲就觉温暖            
(5星)	 超爱。学长完美，佑振很伟大。            
(5星)	 這大概是我一生鍾愛的東西了            
(4星)	 能给人温馨的就是好剧            
(4星)	 当年的蔡琳很可爱，金素妍让我很无语            
(5星)	 超爱男主，理想情人！            
(5星)	 心目中的经典。即使现在很痛恨有像善美这样善良到无知女主角的剧，可丝毫不减弱我对这部剧的喜爱，或许每个姑娘内心深处都希望自己身边蹦出个“尹理事”            
(5星)	 经典！~            
(5星)	 学长和善美,是我见过最心动的爱情.            
(NA)	 喜欢学长            
(5星)	 超级喜欢的剧集            
(5星)	 完美的学长，每个女人的梦想啊。。。            
(5星)	 经典，永远不落伍的情节和演出！            
(5星)	 永远的最爱~   每个人都有必须要现在做的事情~！            
(5星)	 貌似是看的第一步偶像剧，在邻居姐姐家看的。  后来再看，还是觉得蔡琳晓得很灿烂，张东健很阳光，金素妍很精致，韩在石很深情！            
(5星)	 张东健真的很帅很帅。            
(5星)	 经典！！！            
(5星)	 五星！必须的！            
(5星)	 我这是看第多少遍啦？            
(5星)	 一段记忆。。            
(5星)	 重温.凌晨.哎哎哎...            
(4星)	 我记得那年我上大二吧，宿舍凑钱买的，每天刘老根演完就是看这个了！            
(NA)	 最早认识的金素妍            
(4星)	 经典老电视剧，那时候的蔡琳真可爱。            
(5星)	 最早看过的一部韩剧，超爱。            
(NA)	 张东健啊张东健            
(NA)	 甜甜的故事            
(5星)	 初中那会看的超爱蔡琳和学长！~~现在看也一样~            
(5星)	 经典            
(4星)	 最近又重温了一遍。好喜欢学长啊。            
(5星)	 亲情,友情,爱情,工作, 这部剧写了很多东西,很喜欢,而且音乐也很好听.             
(5星)	 我的志向启蒙者啊!            
(5星)	 “学长”~~很流行的一句吧            
(5星)	 这么多年的最爱~            
(NA)	 大爱东健蜀黍···            
(3星)	 东健锅锅、、            
(5星)	 电视好看音乐也好听~            
(4星)	 第一部韩剧 头儿开的不错            
(3星)	 回忆。。。            
(5星)	 第一部非常喜欢的爱情剧，学长、享哲哥、尹理事最后还是战胜了一开始喜欢的佑振哥，学长是完美的恋人……            
(5星)	 ……还是陪妈妈 一起看张东健            
(5星)	 老片子了            
(4星)	 觉得不错吧，看了一半，我大概知道了后面的内容，为了要赶暑假作业，就不看了吧，不过我想说，内个巴黎恋人的女主角在里面太难看了吧，张东健很帅我发现了，蔡琳内个时候胖胖的，很可爱，男二也很帅            
(NA)	 但是觉得金素妍真漂亮，虽然她演的是个反派...==!            
(4星)	 两个痴情的男主角，也许真的只是童话。            
(4星)	 学长学长们在哪里。。            
(NA)	 AAE——唯爱的韩剧，记忆里唯一的经典，永不褪色的童话。            
(NA)	 学长  如果我也有这样的学长  立刻嫁给他            
(4星)	 很早以前了吧            
(5星)	 这大概是俺唯一一部看完了全集并且看了不止一遍的韩剧了吧～学长和善美都是俺的嫁！TwT            
(5星)	 永远的经典。            
(5星)	 爱一辈子的~每次看到学长看着善美的眼神，都觉得好温暖、好幸福啊！看了几年了，每个假期都还会温习一遍，反反复复地看，一些喜欢的情节都烂熟于胸了，台词什么的都可以脱口而出！嘿嘿~大爱学长！            
(5星)	 高中看的，那时很风靡。。。吵喜欢里面的音乐。。。you can&#39;t say... ...只是再也回不去了。。。            
(3星)	 灰姑娘童話。            
(5星)	 好看            
(4星)	 第一部喜欢的韩剧            
(2星)	 还算可以的韩剧，后面就开始要死要活了。            
(5星)	 真善美            
(5星)	 真善美            
(5星)	 感觉没有谁能把简单的小情话说得有学长那么让人动心。            
(5星)	 看了无数遍。超级爱蔡琳和张东健！            
(4星)	 主题曲好听~剧情也不错~主播的故事，题材选得好~            
(4星)	 之前不太喜欢蔡琳的~不过看过之后，喜欢蔡琳了。。            
(NA)	 哎呀 张东健啊张东健 我为啥就那么喜欢你呢？            
(3星)	 在看了很多遍以后，我开始偏向迎美。            
(NA)	 我不喜欢让迎美有这样的结局。            
(NA)	 我的最爱！！！！看多少遍都不会厌。            
(5星)	 这个剧也是超经典啊~~~            
(4星)	 经典韩剧之一，学长是我心中的理想。            
(5星)	 最爱            
(5星)	 棒子版新闻女郎。但很好看。            
(4星)	 我要学长那样的男人            
(5星)	 这么多年 依然喜欢            
(5星)	 喜欢的一部韩剧！百看不厌，里面有世上最好的学长！            
(5星)	 张东健给蔡琳戴上脚链的一刻。。。            
(4星)	 喜欢徐迎美。。。。。。。            
(4星)	 坏女人有爱，女主无感            
(5星)	 由此爱上张东健。            
(2星)	 无感            
(5星)	 最爱之一            
(NA)	 终于尹理事也结婚了……            
(5星)	 简直就是童话故事嘛！！善良的善美，毒辣的迎美，完美的王子~~            
(5星)	 第一步韩剧，很好看            
(5星)	 “你只需要看着我，然后走过来，就对了。那个时候一定不止我一个对着电视拍手叫好“            
(5星)	 最喜欢的韩剧。。喜欢没道理。。在Cambridge男女主角相遇真是比徐志摩再别康桥还灵呀。。羡慕。。            
(3星)	 金素妍不错            
(4星)	 张东健太TM帅了，绝对亚洲第一美男，偶像。享哲，榜样啊。            
(4星)	 经典了，的确不错            
(4星)	 这辈子再也找不到比它更好看的韩剧了            
(3星)	 小时候的韩剧            
(NA)	 张东健还是大草一棵！            
(5星)	 看了快十遍            
(5星)	 经典            
(5星)	 当时大爱啊            
(5星)	 温柔述说的童话            
(4星)	 张东健太帅，太深情了……            
(5星)	 集合了mm幻想的白马王子的所有优点...            
(5星)	 年轻真好~~~            
(4星)	 很久很久看的了            
(5星)	 多年来没有一部再能超过它的韩剧            
(5星)	 灰常灰常怀念这部片子。            
(NA)	 我好像看过            
(5星)	 我的第一部韩剧啊啊啊 啊啊 啊啊   ~~~~            
(5星)	 当年大爱~~            
(NA)	 特别爱善美            
(5星)	 嘻嘻，曾经很迷恋            
(5星)	 看了八年了，太太喜欢了            
(4星)	 如今再看，依然觉得张东健帅到无敌。哈，现在和我妈一起看的，马上大结局。            
(4星)	 真善美很可爱，张东健为莫那么有魅力啊，简直就是完美男人啊            
(5星)	 爱上张东健的笑            
(5星)	 喜欢的            
(NA)	 那时候韩剧不雷啊。。            
(5星)	 我喜欢的第一部韩剧            
(5星)	 爱上你们的爱情。            
(5星)	 张东健坚定的眼神            
(5星)	 完美的经典。            
(3星)	 那是很久很久以前 在我还没有讨厌南韩的时候            
(4星)	 跟大多数朋友一样~~~~很小的时候看的~~~            
(5星)	 学长好帅哦~            
(5星)	 善美有尹理事的守护真好，羡慕~~            
(5星)	 是英国好不好~            
(5星)	 如果可以的话，我想给六个星~~蔡琳的笑容和眼泪融化了我的心~~~            
(5星)	 我看的第一部韩剧            
(5星)	 张东健!            
(4星)	 蔡琳很美结局很浪漫            
(5星)	 张东健很阳光很帅！看的时候真的好讨厌迎美呀，这女人心太狠了            
(4星)	 很喜欢~~~尤其是那个主题歌            
(5星)	 尹理事太有魅力了！四个人都演得很好            
(5星)	 这部韩剧会永远留在我的心中            
(5星)	 10年后看还是一部好剧~~            
(NA)	 大学时看的            
(5星)	 很好看 张东健里面的角色演得让我很心碎            
(NA)	 N 年前看的。善良女子得到白马王子，玩心计的坏女人最终失败这样的情节大多数女孩子都喜欢吧。            
(NA)	 蔡琳的那个角色说明：塞翁失马，焉知非福            
(5星)	 剧中的金素妍演技真棒！            
(NA)	 张东健的学长满足了无数少女对爱情的幻想            
(4星)	 当时很迷啊            
(5星)	 这是我最爱的一部韩剧。反反复复的看了好几遍，最近在家又温习了两遍，还是很喜欢。学长、善美的爱情不由的又让我和某波陷入无限的幻想之中。。。。            
(4星)	 人生的第一部韩剧 怀念啊            
(4星)	 ~最爱蔡琳！            
(NA)	 完美的尹享哲            
(5星)	 我最爱的一部偶像剧，童话般的爱情，温馨暖人。            
(5星)	 小时候在凤凰卫视看的，虽然现在很反感棒子，但当时真的感动了我            
(5星)	 看了n遍了。。。太好看。。。喜欢学长！！            
(5星)	 学长~            
(4星)	 棒子就这片还不错            
(5星)	 经典主题曲 you can&#39;t say            
(5星)	 真经典。。。            
(5星)	 第一部韩剧 至今难忘东健oba            
(4星)	 张东健好帅            
(5星)	 小时候看的，不太记得了，有时候重温一下。            
(NA)	 金素妍小姐的演技……            
(NA)	 鲜看的韩剧...金素妍真的是...太赞了...            
(5星)	 喜欢那个时候婴儿肥的可爱善良的甄善美~~~喜欢那个时候温柔贴心又很帅的尹享哲学长~            
(5星)	 呀呀呀 又是一个看了好多遍的            
(5星)	 这么多年 还是那么爱            
(4星)	 　　我也想要个学长！！！！            
(5星)	 很经典            
(3星)	 我不喜欢纠结的片子。那个时候超讨厌蔡琳的角色，然后也就讨厌蔡琳了，因为她为什么可以拥有那么多呢。现在嘛，蔡琳是我最喜欢的韩国女演员，哈哈~            
(5星)	 经典！！            
(5星)	 尹享哲绝对的理想型啊！！原来又叫ALL ABOUT EVE            
(4星)	 最早接触的韩剧之一~            
(4星)	 我妈最爱= =金素妍有演技            
(5星)	 没看过这部就不叫看过韩剧。经典中的经典，我的最爱呀！从初中到大学，一直不曾改变。            
(NA)	 人生第一部韩剧            
(5星)	 经典中的经典。            
(5星)	 我喜欢徐英美            
(4星)	 张东健是毒药，那时我还是个loli，从此喜欢上这只大叔            
(5星)	 先是看完励志的女主播故事，再是看完现实的巴厘岛的故事。无论是在民还是尹理事，都曾是那么深的进入我的内心。看到尹理事弯下腰给甄善美戴上脚链的那刻，她灿烂的笑了，而很久不做童话梦的人也开始有那么隐约期待着了            
(4星)	 成就了每一个主角。            
(4星)	 白天又快进看了几集。2011/11/27            
(5星)	 我的最爱            
(4星)	 看了很多遍。            
(5星)	 经典            
(5星)	 老电视剧有老电视剧的好,里面的坏人再怎么坏也透着股人情味儿，那就是她知道自己坏，所以她坚定地坏下去，她知道自己要下地狱还是坚持当坏角。因为人从生一开始有些东西决定我们的角色。            
(5星)	 想当年是多么热爱啊！！~            
(5星)	 经典经典，东健哥哥！            
(4星)	 喜欢载硕            
(NA)	 很小的时候看的。。。挺不错的            
(5星)	 没错，对许迎美一见钟情！从喜欢，到紧张，到厌烦，到遗憾，到宽慰，到祝福。一点点都没有快进，视线从来没有从这个女人身上移开过，即使看着她在仇恨嫉妒中逃脱不出来，也不曾想过抛弃她，至多想语重心长地劝劝她。最后结局还算幸福吧，没有爱的人了，还回来一颗会爱的心，也好，很好！            
(5星)	 我看过的第一部韩剧             
(5星)	 高中时代的韩剧 印象深刻的是女主角的烈焰红唇 尹理事至今都是心中最最理想型男人的典范宽容 真诚 另外 有品位 有钱。。。            
(5星)	 无法超越            
(5星)	 通过这部剧，爱上了天使面容，魔鬼身材的素素。当然，张东健也成为了我喜欢的第一个韩流偶像            
(NA)	 迎美演得真好~~~            
(4星)	 初中时候多喜欢呀。            
(4星)	 在老娘还不懂毛叫韩剧的时候无比稀罕韩载硕……            
