http://movie.douban.com/subject/1786753/	天国的阶梯 천국의 계단
(4星)	 俩字儿：悲催。            
(4星)	 曾经一度很迷恋啊，，最喜欢小时候的戏份，喜欢白成炫            
(4星)	 都是眼泪            
(5星)	 太悲催了            
(4星)	 喜欢男猪脚            
(4星)	 从头哭到尾            
(4星)	 我妈看了无数遍，然后我居然就跟着她看了一遍~            
(4星)	 为什么是这样的结局呢，这样的悲剧让我印象深刻啊。。。            
(3星)	 ...哪天欲哭无泪的时候看看这个不错             
(4星)	 虽说韩剧的经典套路，女主善良，命途多舛，悲情，但总是那么好运有帅帅的男主来拯救。羡慕嫉妒恨，超喜欢权相佑呀，甚至一度要下血本去买他代言的三星手机，嘿嘿            
(3星)	 唯一看过的一部韩国悲剧，发誓从此不涉猎此类剧~金泰熙比崔智友好看100倍~            
(4星)	 很喜欢。            
(4星)	 又是一死去活来的 韩剧就喜欢叫人要死要活            
(NA)	 很久以前看了，哭死了。具体写的啥现在也忘了。            
(NA)	 冬季恋歌的孪生妹妹            
(4星)	 高三总是偷着看            
(3星)	 催泪弹 从第一集开始 就灰姑娘了丫 看的不要太不爽哦            
(4星)	 韩剧一贯的催泪            
(5星)	 哭死人。可是感觉静书不够给力。            
(4星)	 一言以蔽之，纠结            
(3星)	 是不是只有我自己觉得崔智友很乡土啊？她哪里称得上女二金泰熙的一点半分呢？还有！这种电视剧是不是一下生产的太多了啊！再这样下去观众的眼睛要得癌症了啦！！            
(3星)	 金泰熙真的好漂亮 不过那合不上的大白瓷牙 真不舒服            
(4星)	 泪奔了好么！！！麻痹我在地下室嚎啕大哭，我妈还问我是不是有病了&gt;.&lt;            
(4星)	 很多爱：诚俊对静书，泰华对静书，静书对诚俊……冰场上的旋转木马很美……PS：女人，当一个男人真的不爱你的时候，又何苦那么犯贱，折磨了别人更折磨了自己……            
(5星)	 这么感人居然得分这么少，滚回去看浪漫满屋把            
(5星)	 我总是喜欢他们小时候的样子            
(3星)	 刚看过悲伤恋歌，其实和这部一样，故事没有什么新意，但却爱上了权相宇，那般柔情的眼神，赚了不少的眼泪。            
(4星)	 多年前看的了            
(3星)	 为啥崔智友老演个什么得绝症的角色            
(3星)	    一生看过这么几部韩剧。            
(3星)	 起因就是我很喜欢权相宇            
(4星)	 当时真的很喜欢，算是悲情剧吧。觉得诚俊哥这样的男人好帅，但现实中可能很少吧。崔智友，确实是悲剧女王，很会哭，演得也确实不错，但和金泰熙比起来，确实没那么漂亮。也很欣赏泰华哥那样的男人，为了爱的人幸福，自己可以放手，甚至可以为了给她眼角膜而自杀，爱的太深了……            
(1星)	 智障坏人，好人更是智残            
(3星)	 受不了崔智友装嫩了            
(4星)	 太  悲伤            
(5星)	 对于现在的我来讲这部剧最大的看点当属金泰熙+李莞+朴信惠+白诚铉。这部剧确实在我心里超越蓝色生死恋 成为那个年代的第一            
(2星)	 我中学那会儿都看不下去了。。。可见这剧情是有多脑残。。。            
(5星)	 最喜欢里面车城俊帅帅地走过的样子            
(5星)	 崔姐姐还是很有气质的。以前觉得权相宇很帅，现在觉得完全是残的啊嘞。。。            
(5星)	 权相宇那眼神。。。            
(4星)	 很后面才补看了，只能说，真是恶到极端善到极端最后又是绝症，剧名你胜利了。            
(4星)	 经典剧，可男女主好老气啊。。            
(3星)	 电视里都播了多少次了...苦情啊~~~唉~~            
(2星)	 假            
(3星)	 好吧 完全就是标准的韩剧模式 哎            
(5星)	  权相宇唯一帅的一次。            
(5星)	 太经典了~已经收藏            
(4星)	 权相宇不错 虽然不喜欢崔智友............            
(3星)	 金泰熙那叫一个坏啊            
(3星)	 该死的悲剧。            
(4星)	 权相宇啊权相宇！当年是相当迷啊！哈哈哈哈哈            
(5星)	 催泪！！！            
(3星)	 老套            
(3星)	 没意思，就是没意思            
(NA)	 看过N遍，感动            
(NA)	 从来没觉得这是一部悲剧。男主永远相信女主。这难道不该足够了吗？还能再多求什么？            
(3星)	 我曾经看过的韩剧：狗血的剧情，标准的韩剧，多少年前看的唯一没变的评价就是金泰熙真漂亮。            
(3星)	 好郁闷好郁闷            
(5星)	 想当年让我苦情一个礼拜都没办法跳出来那种悲伤的情绪...            
(5星)	 很美很悲伤            
(5星)	 毕竟一起感动过，韩剧就韩剧吧            
(2星)	 就是不喜欢权相宇，真莫名            
(3星)	 仅仅是催泪的狗血剧罢了            
(5星)	 我心里最纯洁的电视剧            
(NA)	 高一那年冬天，迷权相宇都不行了。一颦一笑呀，那个爱。、            
(4星)	 哭得好幸福            
(3星)	 tag：哭 死 可悲的男二号            
(3星)	 太肉麻            
(3星)	 狗血了。。。            
(NA)	 那眼泪王子~~哈哈            
(4星)	 还不错~~~不过后面有点拖~从这部剧开始认识朴信惠~喜欢上李莞^^~~~            
(4星)	 看的时候完全控制不住情绪呀！权权太大众情人了，恶女太让人想砸电视机。            
(3星)	 失忆，眼瞎，绝症，应该算史上最悲催的韩剧女主角了吧。。。还记得那时很多人迷权相宇那纠结的眼神。。。            
(3星)	 后面太长了，女主角太苦了            
(4星)	 又是一个悲剧。。不喜欢            
(1星)	 哭个不停的戏            
(3星)	 权相宇好帅            
(4星)	 权相宇~~~            
(4星)	 安徽台放过有八百遍了吧 韩国人真厉害啊 我爸看了都掉眼泪。。。朴信惠现在也红了~Over~            
(4星)	 有一个关于失忆的故事            
(4星)	 节奏慢得一塌糊涂 冲男1女2  给个4星好啦            
(NA)	 整个一催泪弹，不是很喜欢            
(3星)	 虐心。。。            
(3星)	 外婆连看了几遍，我是半集都忍受不了。这么哭眼睛不痛啊            
(5星)	 哭死去了            
(4星)	 赚我眼泪最多的韩剧。。            
(5星)	 我觉得很好呀  当年看的时候哭的一塌糊涂的  怎么喜欢的人不多呢    是我的偶像剧鼎盛时期喜欢的            
(3星)	 初一 那时候多么的喜欢权相佑啊            
(NA)	 老长老长了            
(3星)	 俗套            
(3星)	 金泰熙亮点，剧情无比拖沓            
(2星)	 太扯了，巨星上阵都不行            
(4星)	 权相宇很man            
(4星)	 哭得淅瀝嘩啦            
(1星)	 拖拖沓沓 隔夜饭都要呕出来了            
(4星)	 以前看的时候哭死了~            
(4星)	 韩版爱情剧。王子与灰姑娘的故事。老一套。不过以前却很喜欢。            
(3星)	 我就是觉得权相佑长得不好看啊~~而且觉得权相佑跟玄彬长得太像了~~            
(4星)	 呵呵  第一次深深感动  以后再看就觉得没感觉了            
(NA)	 某台正在播的时候看了3分钟。从权相宇崔智友到申贤俊（为什么我记得他叫申俊贤？），金泰熙，不用看剧情我就知道金泰熙这位长相凶恶的美女又演刻薄的女二了~哎哎~又臭又长韩剧啊~且又是非亲生兄妹感情系列~看在权相宇的份儿上，看了3分钟，是在无法忍受金泰熙了，漂亮是漂亮，凶恶那不一般凶恶。            
(4星)	 非偶像实力派            
(3星)	 白痴电影，我用2x的速度看的，都看哭了。            
(4星)	 把婶婶 妈妈 上下邻居哭惨的            
(4星)	 那还是上高中的日子……            
(4星)	 妹妹电视台每次放她都会看一遍至今已经不知道看了多少次了            
(3星)	 悲的有些扯。。            
(3星)	 太悲情了，不喜欢。            
(3星)	 韩剧就是哭哭啼啼 死去活来 不过主角养眼的话 我就喜欢            
(2星)	 我妈灰常喜欢            
(4星)	 大结局和妈妈一起看的~            
(5星)	 金泰熙还真漂亮            
(3星)	 原来  老早看的  结局好悲。。            
(5星)	 天国。            
(3星)	 那个悲催啊，哭昏过去            
(3星)	 金泰熙 蛮美的……            
(5星)	 金泰熙。。= =            
(NA)	 妈妈很爱看。。            
(2星)	 典型的狗血韩剧            
(4星)	 几乎是唯一 让我哭过的 韩剧            
(3星)	 就是要你哭就对了~金泰熙即使做坏女人也很美            
(3星)	 又见苦情崔智友·······            
(3星)	 动不动就狂奔，不打电话，不坐车，看得我很累感觉为了悲情而悲情，OVER了            
(3星)	 有点冗长做作~~            
(4星)	 造型不佳            
(3星)	 “经典”的韩剧，青梅竹马，失忆，绝症，韩剧的惯用手法来了个大集合啊            
(4星)	 那时候超迷么            
(4星)	 挺感人的            
(3星)	 喂 老线路。。            
(3星)	 那年初中的故事。一如既往的杯具。韩剧的印象，就是这样形成的。            
(3星)	 看到他们俩，我就知道是个悲剧。静书最后还是走了。            
(3星)	 反正也被煽情了。            
(4星)	 当时还小 觉得太好看了。。现在回过头来 发现 编辑真不是一般的变态 狗血。。            
(4星)	 小孩儿的时候真好，羡慕青梅竹马            
(3星)	 为了眼泪而眼泪，太悲伤太虚假。            
(4星)	 坏女人也能这么美~~·            
(NA)	 挺耐看的男女主角            
(4星)	 每次看都好感动。            
(4星)	 还不错的。            
(3星)	 看了快忘记了…当初和我妈看的  -  -            
(3星)	 太悲情了，哎~韩剧的老套路！            
(3星)	 绝症            
(NA)	 权相佑你多让人失望 太疯了            
(NA)	 就是喜欢权相宇的悲剧，可惜女猪脚次了点            
(3星)	 李莞不错            
(NA)	 挺悲凉的            
(3星)	 里面哭得太狠了…服！            
(3星)	 金泰熙很美.....            
(NA)	 我还看过中国大陆翻拍版的~            
(NA)	 炯炯有神的剧情，纳闷为什么那么多人会哭？！            
(3星)	 不得不说，故事的后半部分实在是过份拖沓了。。。            
(NA)	 又是一部催泪片～～85分            
(4星)	 能够拯救灰姑娘的，只有王子吗？            
(4星)	 蓝色升级版 为撒我对小时候纯纯的感情完全没有抵抗力呢~            
(5星)	 权相宇            
(4星)	 只记得狂哭了。。。            
(4星)	 第一部完整看完的韩剧。            
(3星)	 觉得天国的树比这部好看多了            
(3星)	 又是悲剧            
(4星)	 因为你像权相宇，所以我看了            
(5星)	 简直就是一部要人眼泪的韩剧            
(NA)	 女主角长的忒老了            
(5星)	 权相宇的眼神总是那么忧伤            
(5星)	 想哭。            
(2星)	 后面只想女主快点死！            
(4星)	 很喜欢这部片子的剧情以及男女主角之间的真爱。            
(5星)	 在大学寝室里，半夜三更的，小林同学在隔壁床呼呼大睡，我却边看边流泪。。。            
(1星)	 题材真的无语了            
(2星)	 有一部骗人泪水的电视剧。。男女主角真的好可怜...            
(3星)	 韩剧的经典套路：妹控 绝症 灰姑娘 富二代 悲剧结尾            
(2星)	 三颗星给男女主            
(1星)	 看了心里难受            
(4星)	 很赚人眼泪的一部韩剧。剧中一次又一次的擦肩而过总是揪住观众的心，每每看着权相宇那双哭红的眼睛，似乎要比崔智友还要让人不忍。演员很靓，表演很真，很喜欢。还有国版的一部，断续也看过一些，但总归味道不对的样子……            
(2星)	 2星是给权相宇的！崔智友实在是太难看了！！怎么长的那么烦人啊！剧情也烂！没看完。里面的金泰熙还成天一副苦大仇深的样子。坑爹呢啊            
(3星)	 哎就觉得那母女让我恨啊            
(NA)	 4            
(4星)	 小眼睛的权相宇~            
(4星)	 纯粹喜欢男主神马的。。。            
(2星)	 无限的反复啊反复，就看到那几个人在那跑来跑去，不知道在干什么。            
(4星)	 韩国的感人桥段。。            
(5星)	 情节很丰满很感人~女二号很标致。。            
(3星)	 只为看 权相佑 。            
(5星)	 最气愤的韩剧            
(5星)	 权相宇。。。。            
(3星)	 受不了韩剧…看了第一集和最后一集，大致了解了，就这剧情            
(5星)	 哭死            
(4星)	 还蛮感人的~不错~            
(NA)	 上天真的不好啊，没有庇佑他们            
(4星)	 小时候看这种剧总要流很多很多眼泪，现在想来其实这剧很俗呢~~不过男儿为了女一号自杀的那段确实很感人~~            
(3星)	 这个颠来倒去就差随口一句说出真相，啰嗦到20集            
(4星)	 权相佑哭的真是伤心啊 当时就奇怪他哪这么多眼泪            
(2星)	 受不了            
(5星)	 哭死。。。            
(NA)	 狗血，女二的演技很过。            
(4星)	 那时候看了两次            
(5星)	 看的第一个权权的电视剧~~            
(NA)	 为什么这么低分(⊙o⊙)？。            
(3星)	 除了女二，其他人都长的太丑，当时看的时候就想男一怎么那么土。            
(3星)	 看到后面都疲惫了~还是小时候好看~            
(2星)	 不好看            
(2星)	 断断续续的看，翻来覆去的死            
(3星)	 悲剧里不是你死就是我死            
(3星)	 典型韩剧情节            
(4星)	 唉。这男人哭得惨。            
(NA)	 崔智友到底有什么好看的搞不懂了 不久白了点吗            
(5星)	 经典             
(4星)	 骗了我当年的眼泪            
(5星)	 超级迷恋权相佑的痴情帅气啊，嫉妒啊，只是女主实在太悲惨了，配角楠竹也超级超级好啊            
(4星)	 这个男的太会哭。。            
(4星)	 算是第一部完整看完的韩剧吧。。。- -犹记得大结局貌似是在大年三十的晚上播放的            
(4星)	 小学的时候觉得  怎么这么美好            
(3星)	 崔智友的悲惨与《冬季恋歌》里裴勇俊的悲惨遥相呼应。            
(3星)	 悲情的灰姑娘现代版。。。            
(5星)	 哭死            
(5星)	 该怎么说那份永远呢            
(5星)	 从来没有那样的喜欢过一部电视剧，真是影响太深了            
(2星)	 崔智友，讨厌。崔智友他哥，讨厌，太丑了！！！            
(4星)	 想抽人            
(3星)	 。。。跟冬季恋歌好像是个互补的孪生姐妹。。。冬 ：男主车祸，失忆+失明，女主哭戏主打天：女主车祸，失忆+失明，男主哭戏主打共同点：男主都是精英才俊，女二号狂追，且坏事做尽，男二号打落牙齿和血吞，走伟大路线；比较起来，冬季恋歌的海报很唯美；少年时的片段，天国的阶梯完胜；            
(5星)	 曾经很喜欢啊            
(NA)	 烦死崔智友了！            
(3星)	 没觉得男主角帅。。            
(3星)	 太假            
(4星)	 反正当时热播嘛，然后就看完了。喜欢不喜欢也忘了。当时应该挺喜欢，只是现在不喜欢那种风格的了。            
(5星)	 虽然放到泛滥了。可它是第一部。我被感动过。            
(NA)	 是我目前看过最惨的韩剧了，金范秀唱的插曲也让人肝肠寸断，只看了一遍，重播的时候实在看不下去……            
(4星)	 哭吧哭吧不是罪            
(5星)	 很感人。。。            
(3星)	 典型的韩剧套路，又是生病又是灰姑娘的故事            
(3星)	 那个音乐……            
(3星)	 唯一的印象就是——诚俊哥            
(4星)	 想当年看得我哭得稀里哗啦的~~            
(3星)	 哭哭啼啼的戏            
(3星)	 悲了点，我想现实中很难有这种哥哥的吧？            
(NA)	 权相佑 我爱坏坏的。大爱            
(5星)	 好感动            
(5星)	 爱的美丽            
(3星)	 大悲咒。            
(3星)	 苦情戏啊            
(3星)	 哭的唏哩哗啦            
(5星)	 我喜欢权相宇！！            
(4星)	 也是得备好充足的纸巾，擦泪用。            
(NA)	 好吧 当年俺还是相信爱情的 才会哭的稀里哗啦            
(5星)	 一个男孩子也看这个~~是不是有点尴尬呀?哈哈~~我还哭了呢~~为什么韩剧都是悲剧呢?            
(4星)	 结尾唯美            
(2星)	 我没看过 因为看片段就很受不了            
(3星)	 额滴神呀 忒苦了            
(3星)	 青梅竹马 谁也拆不散            
(4星)	 也是很悲情的那種            
(4星)	 韩剧有权相宇就成功了百分之八十            
(NA)	 太好看了，尤其是全GG， 演的太好了            
(2星)	 那个诚俊哥诚俊哥喊得呦...真执着！            
(5星)	 一颗心给崔智友的漂亮，一颗星给权相佑的眼泪，很忘不了里面的泰华，爱一个人可以做到为她牺牲自己的生命，这到底是怎么样的一种感情啊，目前的我依然是无法体会。            
(5星)	 感人            
(5星)	 看的第一部韩剧            
(5星)	 很久以前看的，这大概就是我杯具审美的启蒙，韩国人，由此变得更可恶了。            
(5星)	 演技多好！            
(5星)	 是因为这部剧让我喜欢上了权相宇，我梦里的男主角，喜欢看他那专注充满爱意的眼神，这样的痴情，让我痴迷！            
(5星)	 从头到尾哭得死去活来，那个时候，是冰跟我表白的时候。            
(3星)	 我很难想象那么拖拉的剧我那时候是怎么看下来的，有些情节太NC了            
(3星)	 为了悲剧而悲剧            
(4星)	 把坏人写的太绝对的坏了~怎么会有这么坏的人呢！看的时候气的人想磨牙~所以没看全。。。            
(3星)	 其實劇情挺老套的。            
(3星)	 很悲很悲的故事，让我印象最深的却是金泰熙的坏女人形象~~            
(4星)	 见过寄人篱下的，没见过寄人篱下这么嚣张的。嚣张到鸠占鹊巢，还害得人家鹊不得安生的！            
(4星)	 sad....            
(NA)	 这部剧爱上权相宇            
(3星)	 这女人怎么会那么倒霉            
(3星)	 悲情女王么···            
(NA)	 看过的所有韩剧中最为之动情 也是最经典的一部电视剧 还有一部就是 《伊甸园之东》            
(3星)	 韩太华极度惹人厌，一向讨厌这种不顾别人感受的铺天盖地的深情            
(5星)	 超喜欢，“不管绕行在远的路，最后还是会回来”            
(3星)	 剧情要是能换的新点该多好            
(3星)	 还眼癌，棒子是不是什么病都能得啊            
(4星)	 当时看得那是个哭得稀里哗啦的~~权同学在里边剧帅            
(4星)	 喜欢两人的组合 结局太悲没看完            
(3星)	 一直听说很经典~看后觉得一般吧~~            
(5星)	 非常感人。            
(4星)	 诚俊oppa，从青梅竹马到海枯石烂的恋人。            
(1星)	 绝对有病的一群人            
(5星)	 韩剧中的经典~~~哭的最伤心的一部~~~            
(3星)	 我妈喜欢看，不喜欢这种又虐又啰嗦的，女主太老了，男主太丑了，男二更丑，女二坏的太彻底了，但是女二真的很漂亮啊            
(3星)	 苦情韩剧的代表            
(4星)	 纠结死            
(3星)	 又是个悲剧电影，权相宇在里面长得倒是挺帅。但是此剧简直以哭剧为主，从头哭到尾。。我这么多愁善感的人都觉得不知道这有这么多的哭点吗？？            
(3星)	 几个电视台天天放　不想看也看了            
(NA)	 好像看过，基本忘了。            
(3星)	 诚俊哥爬天国的鸡批            
(5星)	 不要怀疑他们的演技。。。            
(4星)	 好纠结啊，扯不清啊！！！            
(3星)	 谁还没有年轻不懂事的时候....PS我真的曾经那么喜欢过权相宇么？！自插双目            
(3星)	 受不了的剧情啊，绝对的受虐型            
(NA)	 不好看呢,无病呻吟的一部剧            
(5星)	 特别喜欢的一个韩剧。。。            
(4星)	 看了必定会流泪的            
(5星)	 至今都无法超越  我最爱的韩剧            
(4星)	 只记得，当年各种哭……            
(4星)	 悲剧中的悲剧            
(3星)	 坏人坏到极致 好人未有好报            
(3星)	 O BA~~            
(3星)	 封面怎么成他俩了？            
(5星)	 唯一哭过的电视剧。。。            
(1星)	 完全复制蓝色生死恋，垃圾            
(4星)	 都说这部电视剧是集韩剧各种俗套剧情于一体：无血缘关系的兄妹渐生情愫（蓝色生死恋｝；失忆（冬日恋歌）失明（悲伤恋歌）癌症（韩剧主角想不得癌症都难）灰姑娘（巴黎恋人）但还是很好看，演员演技也很出彩，权相宇坐在咖啡厅前那段歇斯底里的哭戏实在是很难超越            
(3星)	 当年真是大红大紫啊，因为这部戏权相宇彻底红了。不过，剧情还真是有够狗血。            
(3星)	 小时候的一PART 很好看···后面真是看到像睡觉·。            
(3星)	 就因为看这个才超迷金泰熙，比女一漂亮多了，虽然演的是个蛇蝎美人            
(3星)	 这是我妈的大爱，陪她看的            
(NA)	 为最爱的人弹上一段钢琴曲！            
(3星)	 貌似那时候我也哭的不轻。。但是现在忘掉我为什么而哭的了 嗷&gt;&lt;            
(3星)	 没看完整            
(1星)	 太白痴了            
(3星)	 当时哭了，感人啊，比较喜欢男二，太伟大了            
(3星)	 虐            
(NA)	 太虐了            
(3星)	 苦逼这个词就是从这里领悟的。            
(3星)	 安徽台请不要再播了。            
(3星)	 陪妈妈看连续剧的时候但是 我爱权相宇            
(3星)	 喜欢朴信惠~~            
(NA)	 很经典的韩剧   都看哭了！            
(4星)	 崔智友很厉害。金泰熙演反角的一部戏。            
(4星)	 很经典的韩剧            
(4星)	 还蛮感人的            
(3星)	 看的很累。。。            
(3星)	 男二长得很奇怪            
(3星)	 曾经的我们一起迟到就为了看大结局            
(5星)	 感动，一直在哭。。            
(5星)	 高二的寒假~            
(3星)	 拖沓            
(4星)	 真的是童话故事~            
(3星)	 权相佑很有味道 剧情也很揪心 我倒是还好 但姐姐就是一遍一遍的看 真不知道是什么吸引他了 这部算是个少见的悲剧            
(4星)	 看一遍哭一遍。。。            
(4星)	 从此，崔智友开始走下坡路            
(3星)	 权相宇很耐看，可惜不爱看悲情的韩剧            
(3星)	 剧情依然比较狗血，无非就是一个恶毒的后母，一个善良可怜的女儿外加一个白马王子的故事。。。但是小时候那段还是赚走我不少眼泪的            
(3星)	 如果一切我都还记得。            
(3星)	 我也不知道这剧咋的就这么红，和冬季恋歌不就是男女调换了一下嘛···唉，棒子就会炒冷饭            
(4星)	 随便点了下发现哥原来看过不少韩剧，囧，原来哥也年轻过~            
(1星)	 两个字，烂片            
(4星)	 诶真晕高考前看的 那个痴迷 不过现在看看虽没有当初的那么狂热 但是也确实蛮经典的            
(NA)	 印象最深的就是女主角一直在跑~~~~跑啊跑，哭啊哭~~~不过真是赚了不少我的眼泪~~~~            
(4星)	 最后还是哭的不成声，唉。            
(5星)	 打这么高的分纯粹是因为它当年赚足了我的眼泪，那是还是高三啊，想想正因为这个原因我是不是要把分打低些啊……车松株啊！！！            
(NA)	 听人说很杯具，我就看了一集，没兴趣了，不讨厌杯具，但还是不太喜欢太杯具的，有些假吧.....            
(3星)	 个骗眼泪的。            
(4星)	 女主角看起来好老啊            
(5星)	 个人很喜欢这部剧 唯美悲伤 为爱执着 抵挡不了权相佑的魅力            
(NA)	 表姐看的稀里哗啦。已婚人士。            
(NA)	 看不下去            
(2星)	 没完没了  但是金熙泰真是好看            
(4星)	 好看            
(4星)	 小时候比较温馨~            
(4星)	 极具代表性的韩剧~哭死我了            
(4星)	 开始的几集真是赚足了我的眼泪。看了这部戏才让我迷了权相宇好久。            
(4星)	 很感人的爱情悲剧            
(2星)	 演员太辛苦了，一直一直在哭/.//////            
(NA)	 杯具。            
(4星)	 杯具啊。            
(5星)	 很感人            
(5星)	 太感人 后母太坏了 不过还好有好多人疼爱她             
(3星)	 喜欢权相宇。            
(3星)	 典型韩剧套路            
(3星)	 俗套剧情，赚人眼泪            
(NA)	 男女主角的诱惑。            
(5星)	 韩剧，我真的看了很多。。。            
(3星)	 哥啊~            
(4星)	 第一次撞失忆了，第二次又撞恢复了。原来回忆是可以用车撞的。对，又俗又傻又天真，但我一样看得很揪心。有时候有些事情不必非要看得太通透。            
(3星)	 太唯美的调调            
(3星)	 虽然剧情很……但是很感人。。。 = =             
(5星)	 必须高分！这里有我的白马王子~            
(3星)	 看在导演和编剧如此用心地收集所有的狗血剧情并一个不漏地如数播出的份上，我不得不给3星            
(4星)	 骗了人多少眼泪的韩剧啊。。。权相宇的魅力，恐怕只有看了剧的人才有体会。            
(5星)	 还是喜欢崔智友。            
(3星)	 崔智友姐姐还是依旧冬日恋歌的状态~不过喜欢朴信惠那里面的演技~            
(5星)	 老妈很喜欢的一部剧，但我去爱上了金泰熙~~~            
(3星)	 纠结的大悲剧。            
(4星)	 不知道为什么每次想要打发时间都会在电视上看到这部剧，嗯……            
(4星)	 跟我娘看的。男二号长的真不咋样。。            
(4星)	   ----            
(NA)	 老是哭得可烦啊            
(5星)	 完美男            
(5星)	 哭哭！            
(3星)	 还真看不完。。            
(3星)	 隔了這麼多年還是感嘆男2為啥不找帥哥來演有什麼道理帥帥的李莞長大成人變成這副德行            
(5星)	 权相宇在里面真的很帅！！~崔智友嘛~一般般！~看起来太苦情了！~            
(5星)	 好早之前看的            
(3星)	 女主角也哭 男主角也哭 苦情韩剧的代表            
(2星)	 不喜欢杯具而已            
(4星)	 呵，完全是因为我妈喜欢权相宇 我才跟着看的。 第一遍看的时候 觉得挺好看的，至少是吸引我。越看越起急 ，哎呦喂，不明白好多能说的事为什么就是得憋着 不说··哈            
(5星)	 真的 特別 特別 特別 愛            
(3星)	 真是老的片子            
(1星)	 雷死啦            
(NA)	 著名的韩国式悲剧~~典型的韩国式悲剧。。。。            
(5星)	 又让我家成为一片泪海……爱死权相宇！虽然我们金MM扮演的是坏人，不过总算成功了            
(5星)	 想当年看的时候哭的稀里哗啦，哭的很辛苦，所以记得很清楚            
(2星)	 磨机。。。            
(3星)	 想当初也是留着鼻涕看完的            
(NA)	 权相宇～～            
(3星)	 其实我还是挺DJ这部韩剧的，至少片中白马王子型权相宇还不错。            
(3星)	 典型·····            
(4星)	 还不错啊！            
(4星)	 绝对催泪！！            
(3星)	 看过一些片段            
(5星)	 超爱权相宇~~高二的时候躲在房间里，一边哭的稀里哗啦，还要一边提防着被发现开小差~~            
(4星)	 这部剧我妈超爱看，简直到了百看不厌的境界，安徽卫视放一遍，她就看一遍，所以我也就看了不少            
(3星)	 讨厌男主哭哭啼啼的。            
(NA)	 太悲了~~            
(5星)	 韩剧教材            
(5星)	 平安夜，在朋友的寝室看到第二天四点的韩剧，哭得一塌糊涂，发誓不再看悲剧版的韩剧了，伤心也伤身~            
(4星)	 依然不太喜欢权相佑。苦情悲剧。            
(3星)	 从头到尾都让人觉得是部悲剧            
(4星)	 挺感动的。            
(4星)	 我記得看的時候，哭的一塌糊塗，而現在，真的很難再有勇氣去看一部悲情的韓劇            
(3星)	 为什么韩剧都是一个套路的 王子和灰姑娘的故事 还能唬住多少人            
(2星)	 烂片            
(4星)	 看的哭死我了....            
(5星)	 迄今为止让我流泪最多最多的片片~权相宇后再无偶像。。。。            
(4星)	 权哥的神情太....勾魂了....            
(2星)	 烂就一个字            
(4星)	 连我妈都看的韩剧，实在不能不说它成功            
(5星)	 第一次喜欢这么坏的配角。。。泰熙哦泰熙。。。不过我还是原配原则，就算男女主角不是我喜欢的类型。。。            
(4星)	 权相宇演的真的很好。开始的时候那段在海边钢琴真的shock人。            
(5星)	 很多经典镜头，很多经典桥段，第一遍看的时候真是感动的不得了，看了杯具结尾难过了三天啊三天！            
(4星)	 催泪，继续催泪......            
(5星)	 唯美的爱情            
(3星)	 没有感觉。。我是冷血动物。。            
(3星)	 很悲很韩剧的韩剧。            
(3星)	 哦，真受不了，从头悲到尾，喜欢小时候的真淑和那什莫哥，承俊哥            
(NA)	 唯一钟情的韩剧……            
(NA)	 好惨 好唯美            
(4星)	 悲            
(4星)	 撇去一切不说,真的很喜欢这个故事。            
(3星)	 里面的男的都好死了。。。。            
(3星)	 假。            
(2星)	 看不下去            
(3星)	 催泪剧~            
(5星)	 好看！男女主角演技一流。喜欢上了小权。            
(5星)	 是我看过的最悲情浪漫的爱情故事            
(NA)	 以前看的            
(3星)	 都是悲情。。            
(2星)	 编剧怎么想出来这么悲的故事啊，挑战我承受力的极限啊，可是我后妈又爱看，真没办法。            
(4星)	 我只喜欢男主的眼神~            
(NA)	 百看不厌            
(2星)	 。。。。。。。。。。。。。。。想想，很无聊的电视剧            
(NA)	 主角哭，我也跟着哭，唉~             
(3星)	 陪老妈看的~            
(3星)	 苦哇～            
(3星)	 过慢的节奏，把女主虐死了！看的好累            
(4星)	 权相宇，撒郎黑哟！            
(3星)	 2008            
(3星)	 很爱哭的男人女人            
(4星)	 算是经典的韩剧 拖沓 感人。。。不知怎么从他们小时候开始就被感动的哭了。。。            
(5星)	 也是韩剧非常经典的一部~如果男主是裴勇俊演我应该会更喜欢            
(4星)	 崔智友果然是以气质取胜            
(4星)	 浪漫，感人，赞了不少眼泪！！            
(5星)	 经典的爱情悲剧,看了N遍,每遍都哭的西哩花拉类            
(3星)	 还行，帅哥美女齐上阵！！还是很感人的！！            
(4星)	 XH里面的音乐。            
(3星)	 喜欢插曲~            
(5星)	 我妈喜欢静书跟承俊            
(NA)	 纪念纯真的岁月。韩剧，看了以后，会让你活在幻想的世界里            
(NA)	 韩剧。。。。。。。。。。。            
(5星)	 太感人了！            
(NA)	 妈妈都很喜欢看的哦~~            
(1星)	 女主就像得了面瘫            
(4星)	 还可以啊            
(4星)	 俺老妈看一次哭一次。。。囧            
(NA)	 悲伤            
(5星)	 那个悲- -原声带不错            
(2星)	 太悲了，看了使人心情郁闷            
(3星)	 剧情太瞎，煽情太过，总之就是不如蓝恋和冬恋顺眼，崔智友的容貌气质亦在走下坡路            
(4星)	 典型韩剧 青梅竹马 两小无猜 最后。。。            
(NA)	 哭得我眼泪都没有了            
(3星)	 我爸爸看了因该不下20遍了 。。。。。囧            
