http://movie.douban.com/subject/6123976/	最佳爱情 최고의사랑
(4星)	 非好感的具爱贞，也可以有人爱            
(3星)	 韩剧总是像不现实的童话……我还是喜欢中国式的童话，比如《李春天的春天》，哈哈……            
(3星)	 哎，车帅是三顺的。女主看不下去了，太老了。。            
(5星)	None
(4星)	 最爱看完了，但是我觉得不如 city hall 好看。女主演技很好，但不好看啊。人物算是挺有特点，情节嘛就没什么可说的了。            
(5星)	 越看越有味道！            
(2星)	 我真的看不下去 第一集看几分钟真是各种雷 后来别人一直都推荐说如何好看 我就直接看了第二集 然后再看了几分钟 我还是决定放弃了。 刚才看到作家写过的那两部剧 额。。原来如此。            
(4星)	 第一次啊，男一男二都超喜欢。女主干脆两个都收了得了~~不过最后三集的剧情不够吸引人啊，差点弃了呢~            
(5星)	 车大叔太有型了，很搞笑的一部剧，不错            
(4星)	 情理中的笑点和泪眼会让观众更有切身的感受！说实话，一开始真小瞧车胜元这家伙的变身能力了~孔孝真美的那么真实！            
(5星)	 超喜欢南珠            
(4星)	 大叔穿正装简直，又高又帅，188不是白长的啊！剧中卖萌又搞笑，有点杰克船长的味道哦。还把胡子刮了，确实年轻好几岁，但跟有胡子时差别好大，像两个人。声音配那个形象也怪，还是小胡子造型更有魅力。女主真的不喜欢，瘦成那样，却是个包子脸，平得不行。故事一般，多的那颗星给叔的演技，太放得开了            
(5星)	 我爱。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。            
(5星)	 这个阿加西是另外一种味道            
(4星)	 对主角都不感冒的剧，补档的动力是编剧真的很厉害，幽默搞笑，所有的事情都承前启后的非常好！            
(5星)	 看此片的评价五星就知道豆瓣还是熟女大叔控的天下啊。车大叔的颜我真是无条件地爱啊~~~~大叔颜卖萌心！大龄女我为了16集的那么多粉红和车大叔也要果断地给五星哇            
(3星)	 挺失望的，这么高的分……其实剧很一般，男主演的有点过，女主还不错，看来我还是对没有玄彬的韩剧接受无能……            
(5星)	 有时候看韩剧是在找回自己失去的东西，得到一丝心理安慰。我是熬了一个通宵看完的，已经很久没看韩剧了，因为找不到上大学时看《巴厘岛的故事》那样韩剧的感觉。这种感觉回归了，感谢车大叔的精湛表演。看时几乎没有哭，看完结局后泪水决堤，心里一直很痛，虽然结局很圆满，男女主人公是经历了多少的挣            
(4星)	 那时追了一会儿的 蛮喜欢孔孝真的 终但是看剧也是那样 过了那个感觉就没感觉了 终（弃）            
(4星)	 轻松搞笑，消遣好看            
(4星)	 唉 我有大叔情节 and 古怪性格的男猪脚            
(5星)	 大叔的爱情，有包容，又体贴，不粘人。。            
(4星)	 扯得挺有意思            
(4星)	 车大叔腔调哈灵！            
(3星)	None
(5星)	 车胜元太帅了！叮咚！            
(4星)	 车叔太搞了！            
(4星)	 抢眼的车大叔.....            
(5星)	 车叔叔完美的脸谈起恋爱来总是那么萌到无以复加，以至于CH又让我欲罢不能了。            
(5星)	 演技，实力。            
(3星)	 奔着车大叔来的。一般般。。。            
(5星)	 为什么我推荐给别人别人都不看呢。。。真的很好看。。。很好看啊。。。。。            
(5星)	 现实里，爱情真的会让你放弃一切么？能够看到这部电视剧真的是很幸福的一件事情~            
(5星)	 最佳爱情，叮咚！            
(3星)	 对于偶像剧。。我对好坏分辨无能。。。            
(3星)	 完全冲着车大叔去的...剧情不够啊。貌似最近很流行平民女和大明星桥段。            
(5星)	 最近一口气看完的剧            
(5星)	 不管别人怎么看，在我眼中，你就是我的最佳爱情。            
(5星)	 2011最佳            
(4星)	 人难看了点 但真心欢乐            
(4星)	 果然不能因为城市猎人就再次对韩剧感兴趣啊。。虽然男主还ok，女主开始觉丑，后来觉得也还行。。但，那些个狗血情节，我不like~~~~~~啊，差点忘记了，我喜欢男二和女二。。要是再弄个他们的爱情故事我或许还挺buy的哦            
(4星)	 车大叔的嗓音有股魔力            
(5星)	 看完这部剧，超级喜欢长腿叔叔！！！            
(3星)	 大叔卖萌~孔大妈真心看不下去。。。            
(5星)	 完全被车大叔迷倒TVT能不能别说话动作眼神行为无一不卖萌!!!!!!!            
(5星)	 我还差最后一集 车大叔 有味道 好看 细腻             
(5星)	 ~            
(5星)	 车胜元叔叔和孔孝真姐姐都超级喜欢            
(5星)	 爱情片就是用来放空大脑的，搞那么多勾心斗角干嘛，大团圆最好。            
(3星)	 大叔不合我口味，我似乎還是比較愛花美男~            
(4星)	 很自然很欢乐            
(4星)	 大叔卖萌还这么有爱            
(4星)	 剧情很精彩            
(5星)	 大叔真的是很棒，很有爱。孝真姐姐有种别样的味道，很美好就是了。            
(4星)	 这是个抽的时代            
(5星)	 大叔和大妈的爱情故事            
(5星)	 看来是不认老都不行了，之前那些花美男怎么一个都没看上眼，却被一个已婚大叔迷得七荤八素的……但车叔也着实帅，那六块腹肌，那修长的腿，那挺直的腰板……没辜负我流的那些口水。这个暑假有车叔真精彩。            
(5星)	 2011年上半年最好看的韓劇，沒有之一            
(3星)	 总的来说是部上乘的剧吧 很少快进 主要是某方面揭示了韩国娱乐圈的内幕与运作方式 女主角就是个坚强乐观的小白菜 车大叔也真的蛮搞的..有几集女主角的独白很感动.. 其实我更喜欢男二跟女二啊~~好可爱的男二~            
(4星)	 大叔魅力还是很不错啊 那些可爱动作和表情  秒杀~ 女主长得我实在很无爱  男二完全就是我的理想型  忠厚老实还是医生 哎只可惜剧中他注定得不到女主的爱            
(5星)	 大叔大叔！！！            
(3星)	 期望太高的后果。。。。。。。。            
(5星)	 好看，好笑，彻底被车胜元迷住了~~~            
(4星)	 无聊暑假两三天就看完这部片子 最喜欢男主的经纪人            
(1星)	 怎么分会这么高！没有帅哥美女啊！喜欢大叔的我对车伯伯也没兴趣啊啊啊            
(5星)	 剧情总是出人意料，虽然剧本可能并不是特别精彩，但是演员的表演把剧得好看度提高了好多。独孤真的真实坦白令人难忘            
(5星)	 一边看一边笑 从头笑到尾!!!!            
(5星)	 很搞笑~车叔太帅了！！！            
(4星)	 很萌的车大叔，我爱。            
(5星)	 完全爱大叔！            
(4星)	 車勝元絕對的實力派啊！！！！            
(4星)	 毒菇是奇葩！华丽的外表，7岁的心智，迷死人不偿命。男女主角都演技了得，但是车大演技大发挥，孔姐发挥的空间相对不多。医生很有爱。            
(NA)	 越往后看越不能自拔了，剧情很好，揭露演艺圈的丑恶~            
(5星)	 最近喜欢看韩剧!            
(1星)	 看过一集，就当是看过吧。            
(4星)	 大叔是我的爱            
(5星)	 被车叔迷死了            
(4星)	 必周派的粉，看到结局情何以堪啊。。。不过总的来说，这部剧还是不错的，车大叔也还好了。。。。            
(4星)	 扑通扑通~            
(NA)	 孔孝真是清癯版闫妮...车叔很Jack Sparrow，迷死人~            
(5星)	 可爱大叔            
(5星)	 傲娇大叔卖萌什么的最无法抵挡了。。            
(5星)	 大爱男主            
(5星)	 车胜元，无得顶！！实在太太太好笑了            
(5星)	 超好看的韩剧，车大叔演活了孤独真这角色，表情超丰富，笑点超多。而且整部剧是有主题的，当你喜欢上一个全世界都非好感的人你会动摇吗？还能坚持相信自己眼中的她吗？有信心面对全世界的压力？不怕失去一切荣耀？很羡慕孤独真勇往直前的爱情。也让人反思是否有被谣言左右，不应该轻易去批判一个艺人。            
(4星)	 有胡子的大叔更帅啊。            
(3星)	 车大叔，迷离桃花眼            
(5星)	 难得喜欢的一部韩剧，女主角虽然不算漂亮，可是亲切自然，反而剧中那位美女有些扎眼，还散发着一股人造气息，演员们的演技不做作，剧情也比较新鲜            
(5星)	 车胜元大叔魅力无法挡            
(5星)	 看韩片看太久了有点疲劳，基本上都拉着看的，但这一部是2011年我看的最完整的。            
(5星)	 。。。男主好像强尼戴普啊= =/////// 大叔卖起萌来真无敌啊            
(5星)	 车胜元啊！！！！！！！！！！！！！！！！！！！！！            
(4星)	 好看又好笑 就是大叔大妈的爱情让我浑身起鸡皮疙瘩 车胜元大叔 好帅啊啊啊啊            
(4星)	 整理            
(4星)	 搞笑的车大叔还有优质男二。。。可惜我对这种当红男星配过气女星的搭配有个人情绪=。= 不爽的配对=。=            
(5星)	 怎么能这么搞笑            
(NA)	 笑和泪的故事··奢华和平凡的故事···谎言和真实的故事···            
(5星)	 车胜元太搞笑了~~~男二好有爱~~~~~lol            
(5星)	 洪氏姐妹果然有品质保证~            
(5星)	 真的好看，还好没一集集追，要不我的期末就废了。矮油~40岁的大叔怎么还这么有魅力^^**            
(3星)	 我对韩剧也就这样了！！            
(2星)	 是我老了吗？            
(4星)	 车大叔的各种萌把多少少女变成了大叔控            
(5星)	 可爱的大叔            
(5星)	 好好看！！大叔真的不是一般的帅气！！！！真是难以想象儿子比我大。。。。真是越看越喜欢！！！！            
(4星)	 男主有魅力！            
(4星)	 好久没看到的好韩剧了。            
(4星)	 前面很搞笑，中间很郁闷，结局很感人。还是值得一看的~            
(5星)	 车叔太帅啦·············已经完全中毒了            
(4星)	 笑点多多，很好看            
(4星)	 很好笑，喜欢这种类型的爱情剧            
(4星)	 以后我肯定别人的说话也要叮咚叮咚~            
(4星)	 我天天看韩剧天天看。            
(5星)	 这是近年看过的最好的韩剧了...            
(4星)	 许久不看韩剧~一直纠结于他的狗血剧情 但是没想到这部真的让我沉迷了~ 虽然10集以后略显力不从心 但是仍然不失为一部非常好看的剧            
(4星)	 不是很仔细的看，但是跳着看下来（专看大叔和女主的），觉得很好看，特别是女主那种坚韧。大叔好萌啊~~~            
(2星)	 剧情麻麻的,不喜欢车大叔&#39;好幼稚&#39;,纯粹打发时间还是很挣扎的看完。            
(NA)	 男女主角都是耐看型~~~洪氏姐妹的剧 确实不会令人太失望！！！！            
(5星)	 车大叔太帅了好发            
(NA)	 10集还弃咯，韩剧啊韩剧！！亘古不变滴味啊！！            
(4星)	 最后几集很感动，演技派的表现都很佳，看得过程还蛮欢乐的。其实我比较喜欢韩医师嘢～            
(4星)	 女主很想闫妮            
(3星)	 三颗星全给车叔，除了他的个人魅力秀，其他没什么看头            
(NA)	 车叔闹木闹木可爱~~~第一次连着看了四遍的韩剧~孔孔也越来越让人喜欢！卖萌的大叔是永远无法拒绝的菜……            
(5星)	 总体来说还是不错的  男主很有爱            
(2星)	 真的只能说还行，是冲着车大叔看的，但是刮了胡子的车大叔怎么如此。。。；唉，再加上我真的对女主欣赏无能，所以三颗星是我的极限了。            
(5星)	 今年看过的最好看的韩剧            
(5星)	 被车大叔彻底打败了。            
(4星)	 大叔卖萌~我的软肋            
(5星)	 车大叔魅力太无边了……            
(3星)	 看到一半就没看下去了            
(4星)	 虎头有点那个蛇尾啊...为毛我又喜欢男二了...            
(4星)	 终于有一部能看的有起伏的了~~我的尹继尚又哎了~~            
(3星)	None
(5星)	 这是我在三年内看到唯一心动的韩剧了，车叔无论戏内还是戏外的魅力那都不用说的            
(4星)	 结局太圆满，假掉了            
(5星)	 【影评http://movie.douban.com/review/5026387/】            
(5星)	 不是绚丽的人物  但是里面坚忍的具爱贞 让我感动。            
(4星)	 叮咚！            
(5星)	 这剧真的感谢这些演技派的比如车叔，比如孔J。。没有他们过硬的演技发挥，这剧没有那么让人入戏。抽抽爱卖萌的车叔，演技不是一般的赞。最让我惊艳的还是尹继尚啊，当年觉得一般般的他，因为医生这个角色让我彻底把他从路人甲划到了我待见的名单里。这是一部可乐的剧。。。轻松又好笑~~            
(5星)	 喜欢车大叔的搞笑言情剧~搞笑浪漫^^            
(3星)	 此次省略2个字            
(2星)	 男二比较讨喜呀。            
(5星)	 可惜《最佳爱情》的女主角包装不及《市政厅》的，演技也稍有些不及!但还很好看，因为车胜元让我忽略了其他不足！好希望有车胜元的类似新片出现，期盼啊！！！            
(3星)	 其实觉得很无聊啊。。看到第六集弃。            
(5星)	 车叔侧面好看到爆！！！果然大叔神马的才是真爱            
(5星)	 真特么抽的无与伦比。太经典了。            
(4星)	 车抽抽萌神啊~~~孔大姐HLL的碧欧泉面霜啊~~~            
(3星)	 朋友推荐的，看到十集左右的时候没接着看的兴趣了 = = 然后就弃了，和朋友聊起的时候朋友也表示看到差不多那个地方就觉得不好看了……其实前面的剧情还是有些出彩的~后面就进了韩剧的套路了 = =            
(5星)	 本来是冲女主角来的。。没想到男主角。。哈哈！            
(4星)	 大叔很萌啊            
(5星)	 真的是一部很搞笑，让人快乐的电视剧。  希望大家能够喜欢            
(5星)	 哈哈 成了大叔控            
(NA)	 超爱超爱，最近看过的最好看的韩剧了。迷上车大叔了。孔孝真也很有趣。强烈推荐。一分钟一分钟看下来的。            
(2星)	 不好看，，。男女主角都不好看。            
(4星)	 如果一部偶像剧中所有演员的颜，你都完全不感冒，但是却能从头到尾几乎不快进的看完，而且还看得津津有味，那应该足以说明这真的是部非常好看非常成功的偶像剧！            
(4星)	 开头很好看。。。后面几集有点儿小无聊了。。。╮(╯▽╰)╭。。。总体还算不错。。。            
(5星)	 好久没看过不用快进的韩剧了。            
(5星)	 我爱车大叔。。。            
(4星)	 是最佳爱情啊```？   韩剧里算好的了            
(4星)	 当年看韩剧看得心跳加快的感觉又回来了，其实看到最后也就那样了            
(4星)	 如果女主能换个漂亮点的就满分了            
(5星)	 真的挺不错的，大叔真的挺帅的。            
(5星)	 很好看  ，每集都精彩            
(5星)	 车大叔又爆发了！！有木有 严重怀疑女猪脚暗恋车大叔，完全漂移在角色之外了也是本剧缺憾之一            
(NA)	None
(5星)	 孔孝真真是越看越可爱 车大叔好有魅力哦 我的韩剧top5中孔姐姐的剧占了3部 谢谢 pasta 最佳爱情 再加上秘密花园和city hall（车大叔在那里超级深情啊，迷死人了，那眼神，那长腿，啧啧）            
(4星)	 大叔很萌啊            
(NA)	 XD            
(4星)	 我爱车大叔            
(3星)	 1，韩剧的分不可信,2，是所有的这种复杂的恋爱关系都是要有两个完美男性，一个闹，一个静去追求一个性格很好的女人嘛？像是看了一个加长版的单身男女……            
(5星)	 有没有那么一个人也曾为我而心跳            
(5星)	 尹先生你太美好了!偶像出身还能出落得这么有气质!每次一笑都是恶意卖萌~我无条件抱男二回家!还有叮咚那句神吐槽 叔叔你长得和柯南一模一样 =&lt;&gt;= 刮了胡子的车叔还是那么帅!车叔和姐姐的演技都好到不行~仁娜依旧可爱~赞美饱含存在感的叮咚/在锡/文代表~顺口夸OST IU酱和白jj~            
(3星)	 虽然车大叔很有型，可演这种偶像剧角色还是别扭，反而觉得男二不错            
(4星)	 我近几年来唯一看完的韩剧...不过完全没有要哭的意思真的老了啊不少女了啊。            
(5星)	 绝对是今年最爱！！！大叔！！！我也要大叔！！！！            
(5星)	 好可爱的大叔!!! 啊哈哈哈哈哈~            
(4星)	 剧情有点太夸张了，不过很搞笑，听说收视还不错。为了男主我去看战争女神，和IRIS没得比，看一般弃。            
(4星)	 永远的车大叔！！！            
(5星)	 我对车大叔浓浓的爱呀            
(4星)	 孔孝真不漂亮，但是看着很舒服很真实            
(4星)	 车胜元真心可爱啊啊啊 萌死了 大叔~~~            
(4星)	 4.5*洪氏姐妹善始善终NO.1，难得啊！            
(5星)	 车叔用自己的完美身材和完美演技诠释了一个40岁的老男人如何成为全民偶像和大众情人，骄傲、自恋、为所欲为、自说自话、毒舌他是男二号口中的大魔王是最终获得最佳爱情的独孤振。在具爱贞的面前，那个60-90的范围完全成为了摆设。这个女人总是让他无所适从却无法置之不理，于是变倾尽所有的爱了            
(NA)	 大叔的表情好q            
(4星)	 大叔40岁也可以可爱爆棚，这剧后半部分太多余了            
(4星)	 啊！！看过雅典娜再看这里面的车胜元，完全崩溃....            
(5星)	 我的车大叔一定五颗星！            
(5星)	 太搞笑了...不得不佩服车胜元...尹启相也喜欢...笑起来....怎么搞的越来越被韩国审美催眠            
(NA)	 第一集的确集合了本剧所有笑点TT            
(4星)	 大叔就是有大叔的魅力。。卖起萌来真是。。            
(4星)	 车帅和孔姐强强联手，演技是不在话下了。不过，这样的剧情，看起来实则小白了点。在韩国国内掀起了一阵狂潮。越窗治愈之吻很是传神浪漫啊……            
(5星)	 开头很搞笑 中间很感动 结局很温馨            
(5星)	 独孤真xi            
(5星)	 演的很搞笑            
(NA)	 大叔好萌啊！！！！！有时候恶俗韩剧也可以很治愈的~            
(3星)	 不是那么喜欢，称不上“最佳爱情”            
(5星)	 车大叔也太帅太MAN了吧！！！！！！！！女猪太丑了，好在人瘦，不然我倒胃口了，女2果然适合演甜美角色啊！！！！小助理很可爱啊，哈哈哈，不喜欢男2，从嫂嫂19岁就不喜欢。。。。那啥，翻译的实在是。。最后结尾怎么听也不像是克服 克服的意思啊。。。。最美的还是美娜吧。。。            
(4星)	 喜欢男二，眼镜男可爱死            
(5星)	 车胜元太么帅了。。。我考研都不复习了啊！有木有！光看他了！！大叔你的严肃脸搞笑起来太带劲了！！！            
(5星)	 我果然是要被大叔打动的类型，虽然平时都很臭屁神经质，不过深情的时候我眼睛都流汗了            
(5星)	 车大叔的魅力。            
(5星)	 车大叔很是不错！！！！            
(5星)	 洪氏姐妹V5车胜元你是个神~            
(5星)	 这是我看过的第一部从一开始怎么看怎么不顺眼的丑男主丑女主到后面彻彻底底觉得是帅哥美女的韩剧。编剧和台词的强大啊！！！            
(4星)	 莫名的迷上车大叔了~哈哈哈哈            
(5星)	 这段时间最好看的韩剧！！            
(NA)	 未看完。弃。            
(3星)	 中年版的黄泰京，耍萌不是正太的专利啊，大叔耍萌，萌翻死你~            
(4星)	 真好看&gt;&lt;我都哭了……            
(5星)	 相当正点的 偶吧剧啊            
(5星)	 车胜元演技没的说，从市政厅开始就一直在关注的型男大叔。雅典娜中大爱孙赫，男二比男一还要出彩。车胜元大叔从来就没让我失望过。            
(4星)	 车胜元太过帅气了，令人不敢逼视。女主怎么看怎么也配不上他。这样的男人一举一动就像雕塑，不愧是模特出身，超级养眼，连声音都那么有磁性。下次再拍戏要找个再靓一些的女猪吧，别让我们失望。            
(5星)	 大叔控。            
(5星)	 今年看过的最好看的的韩剧了，吼吼~~            
(5星)	 真的搞笑，撇去男主角是个已婚男人，一切都很好            
(3星)	 我说过的。。。洪氏姐妹的剧不合我的胃口。。。。即使是我稀罕的车大叔的剧，我也弃了。。。。PS 搞不懂豆瓣总和我作对一样= =分咋这么高 不理解啊不理解。。。= =            
(5星)	 叮咚！充电！大叔 我好爱你            
(1星)	 第一集没有坚持完，不管后面有多精彩，在我看来还是失败。            
(3星)	 我爱大叔！！但是还是改变不了我给3星的决定...总觉得洪氏姐妹的剧有点腻了...看到大家都给5星鸭梨好大...            
(5星)	 现实感很强，同时也不乏心酸的温情，很不错，值得一看。            
(4星)	 女主角是越看越好看的类型。            
(4星)	 前面搞笑 后面感人 大叔的演技真的没话说            
(5星)	 不要过于挑剔演员外型，先熬过前面几集，这部剧如老火靓汤，得慢慢煲            
(NA)	 10集弃/看到女主就快进            
(2星)	 男主很帅很搞笑，女主巨丑，剧情很无聊···            
(5星)	 大爱幼稚男~！！            
(5星)	 继相啊  继相啊  胜元啊 胜元  孝真啊 孝真   太好看了            
(NA)	 车叔 卖萌可耻。            
(5星)	 笑死我了。。。            
(5星)	 老逗了~车胜元大叔一如既往的帅，尹继尚OPPA好温柔，女生们也都很有爱，啧啧~            
(5星)	 好剧不需要俊男美女~            
(5星)	 我就是个大叔控……             
(5星)	 从第三集就开始哭。            
(4星)	 男主演的太好笑了            
(5星)	 喜欢车胜元阿扎希~~~            
(4星)	 现在的韩剧不得了啊 主角都好顺眼啊 孔孝真耐看 车叔有味道又有型 男二很舒服。。。            
(NA)	 车胜元大叔好欢乐            
(4星)	 如此这般,我仍是相信爱,哈哈,让BC们见鬼去吧~~~            
(4星)	 被推荐看的，本来感觉很不吸引人。但是看过之后才发现以外的好看。            
(4星)	 我爱大叔            
(5星)	 完美！车胜元和孔孝真都很可爱~            
(5星)	 叮咚！车叔依然萌，依然有腔调啊！！！本来车叔的片子我都要打5星的。可女猪我看到最后还是无法接受，减一星，全剧最有感的是车叔和叮咚的互动，太有爱了，男女猪之间的互动无感，车叔好像一人在谈恋爱似地。另外，市政厅是5星，最佳爱情明显不如它。            
(5星)	 大叔是亮点！第一集必须熬过去。            
(5星)	 车叔太有魅力了！            
(NA)	 很有趣的大叔            
(5星)	 虽然男主女主什么的都不怎么好看~但是剧情很新颖很吸引人~被大叔的霸气所迷倒~~~            
(5星)	 大叔控啊我简直。爱到快疯了真是。            
(5星)	 我终于看完了 给车大叔5分 演得真是抽搐啊~~帅帅  哈哈哈             
(4星)	 大叔很有魅力～　            
(4星)	 独孤真 真是太惹人爱了....            
(5星)	 2011最优质韩剧！            
(4星)	 车胜元！！我变大叔控了！！！            
(3星)	 叔叔真的很帅~~            
(5星)	 非常完美非常好看            
(NA)	 很有爱的大叔和叮咚…            
(4星)	 感谢邢老师推荐，我又爱上车大叔了~            
(5星)	 剧情很搞笑，男主角很有魅力！这次不是编剧成就演员，也不是演员成就编剧，双方互利共赢，才成就了这么完美的一部剧。比《秘密花园》好看。车大叔，被你迷翻了啦            
(4星)	 只看大叔部分            
(5星)	 今年期待下最佳男女主演！            
(3星)	 貌似网络版16集里有删减，激情的都删除了喏。            
(4星)	 给萌死人不偿命的大叔三星，给爱情一星。“如果我走了，她一定是会受伤害的，所以现在我要给她足够的爱，好对抗伤害。”            
(4星)	 三星半            
(4星)	 优质韩剧。            
(3星)	 如果男女主能年轻一点漂亮一点养眼一点我就给5星\(^o^)/~            
(5星)	 很感动我的一句台词“活着也告白，死了也告白，杜高振你到底有多喜欢我啊”。车大叔的演技真的是不错，帅且有型，难怪咱们南佶想成为他一样的演员，现在正在恶补《市政厅》中。。。            
(4星)	 看大叔卖萌挺搞笑的. 男二长得也比较有萌点. 剧情就不提了... 反正也没谁是因为剧情看这剧的吧            
(4星)	 요즘 보만 한 드라마,재미있어~            
(5星)	   绝对好看，看了欲罢不能通宵看！！！车帅太man了！！！            
(4星)	 看完有点迷恋车大叔了~            
(4星)	 编剧很了不起啊…………编剧比较萌            
(5星)	 大爱，大叔控            
(5星)	 这部剧让我对印象中磨磨唧唧的韩剧重拾好感，真的是既温情又搞笑的爱情剧，而且通过男主才知道：原来大叔也是可以又帅又可爱的，大爱~~~~            
(4星)	 看了就开心，笑到肚子疼~            
(4星)	 还不错 不是靠男女主角的脸蛋再撑  剧情挺好笑的            
(4星)	 车胜元，演技真是没话说……            
(3星)	 三星全部给车帅            
(5星)	 不是美型~~~可是很温暖~~            
(5星)	 2011年7月，在家养脚伤用一天半看完的，挺好看，车胜元确实有大叔范儿~~            
(2星)	 宇宙无敌超级大无聊。。。            
(4星)	 冲着洪氏姐妹的招牌看的车大叔实在是太Q了            
(4星)	 想要属于自己的最佳爱情。            
(5星)	 咆哮体的大叔卖萌            
(4星)	 有笑点诶～大叔卖萌最有爱了～            
(4星)	 大爱毒菇，太可爱了。。。            
(4星)	 独孤真这个贱贱的幼稚男真是深得我心！            
(5星)	 车大叔很可爱            
(5星)	 编剧给力车帅太帅~~            
(5星)	 身子探出车窗的那一吻，叮咚。。            
(5星)	 这段时间看的最多次的电视剧，看完了三遍，接下去是第四遍！车叔，你太牛了！！heartbreaker！！！            
(5星)	 车叔孔姐姐不是盖的阿~            
(2星)	 好吧，偶是看《犯罪心理》看的蛋疼，看到车胜元大叔，so下了全部，打算好好看看，各种无力啊，车胜元大叔颠覆了《市政厅》里的形象啊，这什么大明星啊，啊啊啊啊啊啊啊，女主一张大饼脸，还卖萌，老是做一些无辜可爱的嘴脸，要不是车大叔，果断一星啊，一星~~            
(5星)	 不能因为演员不够美型就否定这么好的剧本呀  = =！！不耍帅不炫美不纠结不做作不恶心人~~看着开心~~~谁送我一个尹启相！！            
(5星)	 一百年都不看韩剧了 好爱大叔 孔孝真也很美 衣服很好看            
(5星)	 大叔卖萌神马的好有爱啊，两个主角的演技都很不错，看完之后都不知道怎么解毒了            
(5星)	 继续太有爱的剧情和演员 逗 可爱的男二为了不看你受伤我不继续了            
(5星)	 真的太好看了，车胜元的演技实在太棒了，孔孝真的小清新风也很喜欢！推荐啊推荐！            
(4星)	 这个大叔很有爱·            
(5星)	 爱死了。。。。。。。            
(NA)	 才从大叔身上稍稍移开了点注意力，结果又来这么一剧，真是迷死我了啊！！大叔卖萌，无法抗拒啊！！坚定的爱情，也能让人梦想一下吧！！既然现实中实现不了的，那么就在剧中找吧！！既然是电视剧就应该不那么现实得让人寒心，不是吗？？有点美妙梦幻，总可以让在现实中疲惫不堪到绝望的心休息一下吧！            
(3星)	 大叔卖萌别有一份风味            
(5星)	 虽然他笑的时候分明能看到皱纹，可这丝毫不影响他迷死人的帅啊！            
(4星)	 就是冲着孝真欧尼看的，剧情其实一般……            
(3星)	 张震和闫妮的恋爱故事。。。。。。。。。。。。            
(4星)	 37岁大叔也可以这么可爱！            
(5星)	 剧情倒不算太吸引，轻松爱情喜剧挂都是这种路线，只是所谓的“影射说”让我8卦的小心灵不禁兴奋了起来XD~只可以说演员的魅力实在太强大，车胜元+孔孝真+尹启相，还有时而出来“抢镜”的金南佶，叫人怎能不爱上这部剧~最后结局嘛，团圆就好幸福就好，师奶心态又出来啦啦啦啦，叮~咚~hahaha~            
(NA)	 车大叔是表情帝！            
(5星)	 车大叔你要不要这么帅啊。孔小姐你要不要这么美好啊。            
(5星)	 N久没看过全程看完的韩剧了            
(4星)	 车胜元真是太帅了~  孔孝真也很耐看  大家都在拼演技  剧情也很好~   喜欢喜欢            
(4星)	 被车帅那华丽丽的勾魂小演技给震到了            
(4星)	 义无反顾的保护你。            
(5星)	 独孤真说话真搞笑，叮咚真好玩！！！            
(5星)	 车叔表情帝~绝对的大爱！没想到尹启相戴眼镜那么萌！！！            
(4星)	 看过这个，暑期韩剧档算是了了吧。            
(5星)	 为了车大叔的表演，五星。            
(4星)	 车叔~╭(╯3╰)╮            
(4星)	None
(5星)	 好看，爆笑！不長篇，不婆媽！喜歡那首撲通撲通的歌！我給10個讚！            
(5星)	 都是喜欢的实力派演员            
(3星)	 古瓜脸是越看越顺眼了~~~            
(5星)	 这部剧我是因为车叔看的，没想到是一部佳作啊~~~~绝对要力荐，爱情，幽默什么都恰到好处~！好片好片~~~            
(3星)	 第十集开始看不进去了            
(NA)	 囧大叔 好帅气            
(5星)	 从此变成大叔控！            
(4星)	 洪氏姊妹总是差一层，作为创作者要巧夺天工，但首先要知道什么是自然，车演员也是自然流露时好。            
(5星)	 为又抽又萌又可爱又变态又好玩的车大叔彻底疯狂……            
(4星)	 车大叔真滴很帅，不过有时候卖萌的过了点。没有阴险恶毒的女二，果然洪氏风格~            
(4星)	 好看得没话说了，车大叔，秒杀了我            
(NA)	 到一半的时候果断弃。。            
(3星)	 呃。。还蛮喜欢男二号的。男女主角始终爱无能啊~~~这部剧也太多模仿秘密花园了吧。            
(5星)	 车大叔太牛了！！！            
(4星)	 近期唯一看完了的韩剧。。。            
(5星)	 肚子笑破了。            
(3星)	 前面挺搞笑的，最后越来越俗套            
(4星)	 难得见男主女主都这么大年纪但是又特别有爱的搞怪的偶像剧，车大叔太萌了有木有？！！但是我还是偏爱男配，没办法，我就是有男配情节...            
(NA)	 后面全是快进饿            
(4星)	 男不帅，女不靓，可是两个人都有很特殊的魅力，很喜欢车胜元的笑容，很心疼孔孝真的眼泪，这类描写娱乐圈的连续剧，很现实！            
(4星)	 四颗星都给抽抽大叔的~            
(4星)	 怎么说呢，无论是6090健康生活状态，山茶花的故事等等，只要独孤真和心爱的女主在一起就会光芒四射，洪氏姐妹，( ^_^ )不错嘛            
(4星)	 小鹿般湿润的、慌张的、可怜的眼神，太萌了～            
(3星)	 孔孝真真的不咋地...            
(4星)	 看中年男主女主谈恋爱，还是慎得慌！            
(5星)	 虽然很梦幻，但是，很让人感动，每个人梦中都曾出现过这样的男人吧，期望得到保护期望被珍惜的心，每个人都是一样的吧……            
(5星)	 近几年看过的最好韩剧T T唉，觉得女主某些方面很像我，不知道什么时候我也能找到自己的杜高振            
(NA)	 无所不能的爱呀~~            
