http://movie.douban.com/subject/3284284/	光阴的故事 光陰的故事
(5星)	 其中演绎的辛酸与美好，总是与自己的往日时光映照起来，那些似曾相识的故事，让人莞尔，那些于己无关的情节，让人浮想联翩。恩，流水带走那光阴的故事...            
(5星)	 认真看完的台剧            
(NA)	 我的纪念册里,用了这个名字,MARK.            
(NA)	 片子里有我的过去 也有我的梦想            
(5星)	 像是身边的生活，平淡却不失感动。            
(5星)	 超好看            
(5星)	 很温暖 很怀旧 很感恩 很知足            
(5星)	 满满的感动....            
(5星)	 让我大笑不止大哭不止            
(5星)	 生活就是这样的            
(5星)	 很不错            
(5星)	 台语好舒服 好像在听家乡话~            
(5星)	 拖拖拉拉历时一年，终于！两行清泪啊..            
(5星)	 超感动！！整个剧里充满了爱和活力。            
(5星)	 美元恋太有爱~            
(5星)	 王伟忠就是牛            
(5星)	 一部少有的好戏，看了温暖从心底慢慢的溢出。            
(5星)	 好片子，值得一看            
(5星)	 简单的纯情的人们啊，你们是多么可爱！            
(5星)	 光阴……            
(5星)	 年少轻狂的时候，还以为自己是汪茜茜，其实时间证明，只是孙一美。可惜，没碰到我的几抠。太过美好的美元恋，应该会教坏小孩子吧。不要轻易爱上流氓哦，流氓的温柔，只存在在戏里面。            
(5星)	 我要控制我自己  每天只能一集  ^  ^            
(4星)	 最近中了王伟忠的毒，从肥皂剧里窥探眷村历史。幸福有多远？幸福就在不经意溜走的光阴里面。跳到大结局，结束这段感情，继续上路。            
(5星)	 其实我就是孙一美那样的女生，哈哈哈...            
(5星)	 看多了大陆拍的电视后, 本来以为没有电视剧能让我感动, 可是却被这部台湾电视感动得一塌糊涂....            
(4星)	 凤凰开播             
(4星)	 《光阴的故事》一个献给“珍惜我们一起走过，物资贫乏，互相扶持的时代”，一个关于成长的故事，一个给我满满感动的故事。             
(4星)	 触到了我奇妙的萌点            
(5星)	 太爱他们。时代悲剧下辛酸生活，简单爱的小人物。跟着他们哭哭笑笑，疯疯傻傻。浮生千山路，光阴昨日梦。最后的旁白说，让我们一起怀念那个物资匮乏，却互相扶持的年代。那样的年代，如今只能怀念了。            
(5星)	 偶尔会在凤凰中文台看到的电视剧，虽然断断续续，却发觉其实挺有看头，而且里面的音乐真好听。            
(4星)	 我们曾经有过的情怀            
(5星)	 赞            
(5星)	 沉迷到已经会说台语了……            
(5星)	 亲情 友情 爱情 故乡情            
(5星)	 虽然像是长得没完没了，但是光阴就是这样的呀，慢慢向前推送。然后有一天突然之间就来到了结局。            
(5星)	 终于跟着凤凰追完了。大团圆结局。            
(5星)	 连续奋斗3天，终于看完了。感动，温暖，羡慕，应该这样说，羡慕大院里成长的孩子们~~~~~~~~~~            
(4星)	 家长里短的脉脉温情。            
(5星)	 和时下很多的偶像剧比，这部电视剧处处充满了温情。令人开始怀念单纯而幸福的80年代。            
(NA)	 沉醉在罗大佑的老歌里。孙爸爸是理想的爱人和父亲。            
(3星)	 开头很精彩 也很值得回味 30集后就渐变得拖沓 总之，乡土怀旧+青春偶像+家庭婚姻=绝对老少皆宜             
(5星)	 有一种爱叫做放手，看完很痛很痛            
(5星)	 一段段的话语，讲述的是他们那个时代的事情，却是我们的回忆或是我们不曾有过的温馨。。。看着笑着，心里却很平静，这就是生活。。。。            
(5星)	 很温馨，不错的台剧            
(4星)	 我一直在想，如果哪个导演也去拍一版，80的光阴的故事，把那些儿时的游戏，还有各种电视剧也放到里面去。那一定会很火爆的。PS:老孙实在是个好老公。            
(5星)	 心甘情愿的被俘虏            
(4星)	 好吧。。除了那个烂到不行的布景之外。。都爱。好爱一元哦~帅翻            
(NA)	 就爱一元和一美             
(4星)	 怎么像大型室内剧            
(NA)	 关于眷村的一切，关于青春的一切，关于爱情的一切……美好与平淡的点滴~~            
(NA)	 曾经的眷村生活。            
(4星)	 后面有点拖沓，讲述纯纯的年少心情，对我来说已经过气了。            
(5星)	 边看边笑，边看边哭，笑了又哭，哭了又笑，为的就是那份纯真的感动~            
(5星)	 台湾终于有一部能看得进去的电视剧了！！            
(NA)	 孙一美（陈怡蓉）哎～            
(5星)	 很久很久没有这样追过一部戏了，很久很久没有被一部戏深深感动了，很久很久没有爱上那么多的角色了，虽然有着缺憾，可是能够让人回味的太多太多了……            
(4星)	 大陆这边缺失的历史 多种口音 一种情结 很写实 很感人            
(5星)	 豆瓣的分打得真是高啊，这部片子的确是部非常不错的台湾电视剧，让我们看到我们想了解那隔离三十几年的台湾。大陆整个发展比他们慢10-20年，我也看到了很多我自己成长的影子，发展中的国家和地区都是差不多的，尤其是华人区，感动也是相同。            
(4星)	 第一集很有话剧感 又怀旧又有喜感 不过这么长 有空就看 没看也不怕落下咯虽然中间还是断断续续有落下 也时不时觉得实在有点拖沓和缺乏悬念 但还是被那种光阴流失的小细节们打动了            
(5星)	 美元万岁            
(5星)	 真实的情感让平凡的人们无比伟大。王伟忠的剧总是值得推荐。            
(NA)	 温馨            
(5星)	 很温暖，很感人的，但是我是孙一美我会选择朱磊            
(4星)	 李宗盛那首同名歌曲怎么唱来着？            
(5星)	 让人想起小时候。。。。            
(4星)	 唯一看完的台湾长~~~~~~篇~~~~~~~电视剧~复古之余还有很感人的情节~续篇闪亮的日子就没意思多了，没毅力看完。。            
(3星)	 伟忠野爷            
(5星)	 仿佛回到了从小生长的地方，画面虽然简单乡土，但情节是那么得能够引起观众的共鸣，中国却的缺是这样真正用心做电视剧的电视人            
(5星)	 大院孩子在拍婆子的时候他们在追马子            
(5星)	 回归纯真年代的回忆，扶持、坚守，一切都淡淡的            
(NA)	 傻女有傻福 最好的都是无心得到的            
(5星)	 很令人感动的老时光呢~            
(5星)	 很好看就对了~虽然集数很多，有时会跳过~            
(4星)	 其实不是偶像剧，美元恋值得回味            
(5星)	 刚开始看，里面人物的很多感受，和我儿时，上学时很贴切。原来，他们的生活也和我们一样！            
(NA)	 一美&amp;一元 蹩口的山东话和东北话            
(5星)	 都是因为几抠和一美 ，很难超越的一部剧，虽然拖拖沓沓，却伴着我的笑声和泪水            
(5星)	 虽然有点长，但却是很感人，能学到很多道理            
(5星)	 回归人性的美好            
(5星)	 回忆都是过了筛的，留下的全是美好。            
(5星)	 人情味 美元实在很萌~            
(4星)	 虽然有的地方有点假，但还是感觉很好。            
(5星)	 它没有华丽的场面，也没有浪漫的台词，一直淡淡的，却让人难以忘怀，那段光阴的故事。            
(5星)	 每个情节都让人怀念            
(3星)	 喜欢黄滕浩  但是太长了  看不下去            
(NA)	 我不喜欢陈怡蓉。            
(3星)	 还好，是近年来能看的台剧            
(5星)	 一集一个半小时，一共54集，换成电视台放就 是100多集。我尽然全看完了。意尤未尽            
(5星)	 太多感动,看过光阴的故事的朋友,上网去找找记录片&lt;伟忠妈妈的眷村&gt;,就会知道很多情节都是制作人的回忆.不管是记录片还是连续剧,一个旋律,一个久违的声音,都久久在我脑子里面,感动着我......            
(5星)	 怀旧剧也能拍得这么偶像派。。            
(5星)	 很温馨！            
(5星)	 大爱            
(5星)	 小时候的孙一美。。。台版的小丸子嘛。哇哈哈哈哈哈\(^o^)/~            
(5星)	 平凡的生活中最大的感动            
(5星)	 想要幸福亦予我幸福。            
(5星)	 当初的自己，只想看看当初的他们的生活与故事！！而现在看完了，留于脑海中的，是满满的感动！！            
(5星)	 一定要慢慢看~            
(4星)	 大概是这几年来唯一值得收藏的湾湾八点档 第一次觉得五十集真的还好。。。            
(5星)	 那些在遗失在曾经里的家财万贯。            
(5星)	 很少有电视剧我能看到如此完整~~不过，不明白导演为什么非得把那几个人都撮合到一起去~~巷子里一共就那么几个男女结果一个没剩下，全在自己的巷子里解决了终身大事，当然除了许浩然，不过她母亲在面馆工作，也不算外人吧。            
(5星)	 优质戏剧~            
(5星)	 很值得一看的电视剧有种满满的幸福感            
(5星)	 演员选得好。剧本写得好。片子值得看。            
(5星)	 本来讨厌老歌，但是突然就觉得光阴的故事很好听，罗公写的词真是不错。最喜欢的当然是美元恋了，不得不说一美真得很幸福，几抠是个好的没有话说的男人，最幸福的是一元帮一美洗头吹头发那个场景。除此之外还有孙妈妈的“鸡婆”，孙爸爸的那一口河南话，陶复邦的眼泪，拍雄和朱虹的那一段&#34;不堪&#34;的……            
(5星)	 原来人情满满的光阴那样温馨和幸福，看完的时候充满不舍，所有恩怨都在此刻变成了重逢的眼泪。            
(4星)	 很舒服的故事~~好怀恋的时光~~很可爱的情感！            
(5星)	 第一名！！！！！！！！！我又开始相信幸福了            
(5星)	 有些地方会觉得剧情有点啰嗦，但还是很推荐这部电视剧的，就因为这部电视剧述说的一段段情谊。友情、亲情、爱情交错相映。我会很想生活在这样一个小小眷村里，因为有这么多可亲可爱的邻居，互相扶持走过光阴的岁月。看完整部电视剧仿佛我也是其中的一员，和他们一起经历了许多许多，很真实。            
(5星)	 意外的感动...又哭又笑 掉入回忆~~~黄嘉千的演技有吓到~            
(5星)	 很感人的故事，很多很多！！很多都很写实，很多都那么让人忍不住流下眼泪，又笑出声音！！真实的故事永远都那么感人，我们的故事也在继续，光阴的故事也在继续！！            
(5星)	 差不多看第三遍了~            
(5星)	 很忧伤的故事被演绎成了快乐的生活            
(NA)	 前面几集交待眷村来历和几家背景的很好看，后来就成了肥皂剧或者偶像剧了。靡不有初，鲜克有终啊。            
(4星)	 几扣~~            
(3星)	 太长了不看了。            
(5星)	 08年的剧竟然漏看，偏偏我还心水的不得了，大爱美元--恋 ，土豆上美元恋的剪辑版看了一遍又一遍，室内剧都是这种水平的话，我天天看室内剧好了，虽然黄同学长的不是很爱，但是几扣啊，一元那偶是爱的不得了，想起当年追看大唐双龙传的日子，看完失落中。。。            
(NA)	 杨一展是偶喜欢的            
(5星)	 以前看王伟忠和王蓉合著的《欢迎大家收看》，被所谓的“眷村”感动，脑子里全是那种温情的画面。如今，画面变成影像，加上王先生嬉皮的旁白，让人对此剧欲罢不能。            
(5星)	 看了台湾本土剧《光阴的故事》，那是一段过去的发生的给每一个人都留下深刻回忆的故事，见证了时间的流逝、每一个人的成长，亲情、爱情、友情，欢笑、失意、泪水，每一个点点滴滴都是光阴的片段，每一个点点滴滴都是成长的脚印，过去的光阴就像是留下来的老胶片，那么让人心动，因为记录了我们自己的故事，记录了那些曾经我们以为已经忘记了的故事，其实一直都在，一直在心里的某一个角落，好好的被珍藏着，无论是开心的还是难过的，都是珍贵的宝藏，是那时候的自己留给未来的见证，是那时候的自己寻找蓝色的天空，寻找闪亮的沙滩的见证，是那时候的            
(5星)	 2008年最让我震撼的            
(5星)	 如果有六星,我想给六星.故事是普通的家长里短,但是却看的人却觉得那么幸福.原来幸福很简单也很平凡.            
(5星)	        有耐心看完这么长的一部电视剧，自己都有点讶异。看光阴的故事的很多桥段，就像在看自己的生活，没有想到台湾的五、六年级生的生活轨迹与我们80后有如此多的交集——打弹珠，吃冰棒，帮父母做代工，怀揣着梦想而在高中没日没夜的学习.........在这部电视剧，看到了过去的自己            
(5星)	 昨天看到这集，冯拍雄对孙一美说：“我们都被哥哥爸爸骗了！什么只要我长大？长大懂那么多事，知道那么多事，到最后这些事情都变成我们自己的责任。”光阴的故事有太多东西要说，戏里的戏外的，成长、爱情、爸爸妈妈......            
(NA)	 真好看，不停不停地被感动            
(4星)	 孙一美跟陶富邦说，祝福也是一种爱。嗯，是的；就让我做治愈系的孙一美吧~~只是，我的“茜茜”，请你幸福，快乐，懂得珍惜，懂得爱。我将在远方为你祈祷。            
(NA)	 據說此劇開播的時候不被看好 只好棚裡將就一下 紅了以後同類型劇的錢就多了 可劇本卻爛到不行了 真慘            
(5星)	 朴实，真诚，生活得点点滴滴 都是那么的实在，让人感动，賴雅妍的角色让人心疼，结局还蛮好的，虽然有点匆忙的感觉            
(5星)	 一边看一边回忆自己的光阴故事~            
(4星)	 很好看  适合现在的心态            
(4星)	 太长，烂尾，不好意思，由于种种原因没继续，再回来看没感觉了。。。            
(5星)	 虽然有点长，但真的温暖            
(5星)	 沒看過的人一定要看這一齣!!!超級爆笑的台劇!!!!尤其是那個&#34;孫一美&#34;~~~            
(5星)	 我爱美元恋~~~            
(4星)	 很糙很感人            
(4星)	 台湾眷村温暖的故事。想起《台北人》和中文课学《台北人》的日子，有种特殊的感情..笨蛋孙一美的幸福生活，聪明倩倩的悲苦一身..            
(5星)	 回不去的地方            
(5星)	 几抠和一美~~几抠34还是35集那段对孙妈讲的话，太帅了！！            
(5星)	 很台湾很怀旧···一段家眷村的历史            
(NA)	 大爱美元！！！！！！！！            
(5星)	 以前的一村子的人像一家人，现在的一家人就像一村子的人            
(4星)	 看完真的真的会有整个人被掏空的感觉            
(4星)	 哭点也太多了吧！不过真的很好看……            
(5星)	 温情            
(5星)	 感人...            
(5星)	 谢谢王伟忠带来那么好的台剧            
(NA)	 若是傻傻如孙一美，遇见个许毅源也不错。            
(5星)	 在我们看不到的世界里果然发生那么多故事。关于青春、友谊、爱情和感动的故事。            
(4星)	 仿佛讲述的就是我们这一代人的故事，许多场景好像自己也经历过            
(5星)	 真想给它6颗星，一部剧就这样把故事讲进我们的心里去了，跟着哭跟着笑，跟着感动跟着疯狂。台湾近年来难得的上乘电视作品！            
(5星)	 如果，这就是成长，那么也是我愿再走一遍的轨迹            
(5星)	 绝对值得一看的电视剧！！！            
(5星)	 好长~我得做好心理准备...            
(5星)	 那些成长的故事 珍贵的亲情和友情            
(4星)	 不残不残            
(5星)	 带着泪光的微笑            
(3星)	 改不了台湾剧的性质，始终很家常。            
(5星)	 春天的花开，秋天的风以及冬天的落阳。            
(5星)	 导致我看的缘由是王伟忠，跟着吸引我的是剧中运用的如今已经很少听得到的当年的那些流行歌曲，奇妙的是我居然因为这部戏喜欢陈怡蓉了。。。一样那么长可是看完有种意犹未尽感！好戏！            
(5星)	 感谢《光阴》带给我的欢乐和感动。            
(5星)	 雖然很長 但是人生也確實是這樣的~ 支持美元！！！            
(NA)	 珍惜我们一起走过，物资贫乏，互相扶持的时代            
(5星)	 这周竟然忘记看光阴了。只剩2集没看，补完。喜欢眷村生活，那样的纯朴、简单，为之向往。那时的人们是最温暖的，暖到心坎里。有人说：“这样的剧粗糙。”我说：“这是一个时代的印记。”            
(5星)	 正在看            
