http://movie.douban.com/subject/4082304/	鱼跃在花见 魚躍在花見
(NA)	 是的。爱TVB            
(NA)	 虽然冲着大仙儿和寿司看的，但是撇开另外那对整天苦大仇深的脸，这部戏还是挺有看头的！！！            
(NA)	 这演员搭配的。。真是让人不予置评            
(NA)	 很纠结。不过喜欢吃寿司。。。。            
(3星)	 可以说较出彩的就是chilam那首主题曲么。。。            
(5星)	 好看，看到那些鱼口水都流下来了。好喜欢四个主演。            
(4星)	 笑着的胡杏儿比哭着的杨怡好看！            
(4星)	 除了寿司小鱼姜姜和排骨，其他都是垃圾！TVB的品质已经快到惨不忍睹的边缘了            
(4星)	 这里面给我映像最深的是寿司~            
(3星)	 其实剧情有点无聊，就是那种套公式型的，好在有美食当前，看着会有想吃寿司的冲动~            
(5星)	 看着那一堆的吃的呀，这叫一个眼馋啊             
(4星)	 蛮好看的            
(NA)	 看了就想吃寿司！！！哦依稀             
(3星)	 张智霖你是不会老的么？            
(4星)	 断断续续5个月终于看完了。戏里北海道风光无限，还有各种美味料理，其实剧情早已经不再重要，我会因为2011年的初春永远的记得你，在那天寒地冻的日子里带给我温暖欢笑。             
(5星)	 看了很想吃寿司            
(3星)	 只为张智霖            
(3星)	 小鱼和姜羌的情节很多都很仓促啊~~~有点乱·            
(5星)	 看完这部港剧，我简直就是想立马飞到日本去吃生鱼片！            
(4星)	 强烈勾起了我吃寿司的欲望！            
(4星)	 一开始还挺好看的, 后来就是老是比赛比赛,斗来斗去, 真没劲            
(3星)	 看完想吃寿司，感情线太烂            
(3星)	 不是那么喜欢那几个人            
(3星)	 最后一集姜羌车祸失意太狗血了。北海道好美好美！            
(4星)	 大仙真是十年如一啊...还是这么水嫩            
(3星)	 看到最后几集都没仔细看，直接看结局了..不过那段时间是挺想吃寿司的            
(NA)	 大仙还是闹木帅~            
(5星)	 里面的寿司很棒的！            
(4星)	 胡杏儿和刘松仁不错咯            
(4星)	 好看好看，虽然不喜欢杨怡那个大嘴，但是这剧还不错呢            
(NA)	 张智霖依然很帅啊。。。。。和胡杏儿很搭调的说！！！！就是另外一对很恶心。。。。还有百目鱼神演得很好            
(3星)	 结尾失望            
(4星)	 温馨短剧            
(4星)	 好看亚么真好吃！            
(5星)	 我想吃寿司            
(3星)	 开篇不错。好好的美食剧居然变成TVB一向擅长的兄弟反目最后言和的老套剧。尼玛的！！！坑爹啊！！！完全是张智霖和日本料理及美景撑下去的。没隔离七日情好            
(3星)	 看了才知道我吃过的寿司都是垃圾。            
(4星)	 张智霖是重点。。。            
(2星)	 看了几集看不下去了OTZ....那个真的不是和服啊不是和服!!别这样..和服很有质感很美的乃们不能这样            
(5星)	 好看、觉得chilam 点解都唔显老啊~~！！好多寿司！！~口水！！！            
(NA)	 想说看这部剧真的很难过，因为每一集都会讲寿司，每一集都是怎么做寿司，看的人好饿，正在减肥时期的我看这部电视剧十分的痛苦，十分的...            
(4星)	 寿司做得很好看。            
(3星)	 听日本放什么屁~搞点寿司就潮了？？            
(3星)	 超不DJ楊怡，所以沒看下去。            
(4星)	 好好吃的样子！我想起了我想当厨师的梦想！TVB就是轻松自在.配合CAD我表示毫无压力.            
(4星)	 好涨寿司知识啊。。。寿司是亮点！！            
(4星)	 杨怡和laughing哥很不和谐            
(4星)	 剧中料理过程挺精细的，喜欢日式料理的，值得一看。            
(3星)	 衝著張智霖那張不老的臉。            
(NA)	 喜欢            
(4星)	 张家大少 肯定要支持            
(3星)	 刘松仁 欧欧欧欧欧 可爱惨了 杨怡拉风那对真是囧死个人 编剧也太烂了点            
(NA)	 不错            
(3星)	 主要是冲着若干主演看的，很哈日，情节设计和剧情都一般般，看过印象不深刻的。不推荐！            
(NA)	 just soso            
(3星)	 不怎么好看 中间故事不连贯 谢天华演的太用力 但寿司样子是相当的赞            
(5星)	 大仙嫩的啊 萌得啊~~~~~            
(4星)	 有些地方虽然有剪接的不好，虽然剧情有点狗血。但是配乐剧情还是很温暖。            
(4星)	 张智霖还是很帅啊~            
(5星)	 不错不错 对日本料理很感兴趣的说~还有帅锅可以看 哈哈            
(4星)	 东瀛小清新风的港剧，这里的胡杏儿很讨喜，张智霖的脸上真是不见岁月的痕迹啊，谢天华剧里隐忍的性格不喜欢，杨怡也是腹黑一族，人物各有特色吧，美食印象很深            
(5星)	 看得口水直流，直接就奔到板长寿司去解决需求了！！            
(4星)	 张智霖……不解释            
(3星)	 张智霖的确萌，杨怡越看越丑            
(3星)	 剧情狗血 也不喜欢里面的杨怡  好吧 就寿司好看            
(3星)	 我看谢天华是超越不了laughing哥的巅峰了            
(NA)	 抛开狗血剧情不说，大仙果然还是没变啊多美好的颜啊~~~            
(4星)	 喜欢张的戏~一张不老的脸            
(4星)	 张智霖为什么就不老呢？            
(3星)	 情节人物都很弱智 不过寿司好勾引阿阿阿            
(3星)	 呵呵呵呵。 这段时间都没正经看什么文艺片了。 都是追动漫 追TVB。  胡杏儿我挺喜欢的呀~  张智霖也是个老妖精呀~~  谢天华演奸角很到位呀~~~~~  刘松仁很可爱有木有！            
(4星)	 为张智霖的五星            
(4星)	 看了一半左右，后来就忘记看了，故事没有多大曲折，很简单的一个电视剧。            
(3星)	 鱼跃在花见            
(3星)	 三星半吧！寿司球最爱！想吃最后一场比赛的所有寿司！            
(4星)	 若你珍惜我，不如从来没有爱恋过，互有好感的尊重，更加可贵么。            
(3星)	 还行，吃的拍的很好看！里面说的日语太好笑了~亚麻西大桑~剧情一般。最后一集搭着村咪的乱看的            
(5星)	 TVB的片一定要看~~尤其是这部~~~寿司寿司寿司            
(4星)	 哈哈  寿司哇寿司。。            
(3星)	 张智霖还是很帅啊···            
(NA)	 大仙是妖精，这么多年了，还跟寿司一样可口~~~            
(5星)	 哈哈，喜欢大仙，都不老的，可惜女猪超级不喜欢            
(5星)	 学到挺多寿司的吃法，还有日语，不错            
(3星)	 张智霖依旧很年青啊~            
(3星)	 亮点在日料。            
(4星)	 chilam!!!            
(4星)	 大仙颜不错，胡杏儿短发好看的。            
(4星)	 有的地挺有意思得啊            
(4星)	 还行吧。里面的寿司造型很好看。特别是比赛的时候。            
(4星)	 演鱼至嚣的那个人最恶心了，实在是看不顺眼！还是至嬴和羌姜美好。。。。好想吃寿司！！！            
(NA)	 大爱张智霖~~刘松仁演的很好。。。            
(4星)	 还好，主要比较喜欢张智霖            
(5星)	 看过这个对寿司有了解 想去日本看下            
(4星)	 因为这个戏 每天缠着人家去吃寿司。。  罪过罪过，花了不少钱。。            
(5星)	 一开始就是冲着张智霖才去看这部片的，片子出乎我的意料，很好看。推荐！            
(5星)	 为寿司，为初哥哥！            
(4星)	 纯的了额。。。。。  谢天华依旧有 中 抓心的魅惑哈            
(4星)	 被食物吸引来的            
(3星)	 冲着张智霖去的            
(4星)	 又是一部讲述日本料理的故事，谢天华就几乎没笑过，松哥的怪蜀黍非常棒，不过有些剧情太过俗套了，总之，值得一看。            
(3星)	 这年头TVB的东西只能叫还行             
(3星)	 寿司方面的相关东西，值得一看.剧集一般~            
(4星)	 很好笑            
(5星)	 这个不错，里面的料理和风景~~对胡杏儿很是佩服呢~            
(4星)	 还不错哟，做人就应该平常心            
(3星)	 喜歡，因為裏面好多壽司            
(4星)	 为可爱的大仙，好玩的百目鱼神，还有HLL的寿司们给四星！            
(2星)	 都是沖著明星去的咯...            
(3星)	 看着就想吃日本料理啊！！！            
(4星)	 不错 看好直接去吃sushi            
(5星)	 突然好想吃寿司哇!!口水~~            
(4星)	 张智霖~~~~~谢天华也不错~~就是太纠结了。。。            
(4星)	 张智霖还是那么帅刘松仁是个可爱的大叔            
(4星)	 看得我没其他感觉。。就是想吃寿司。。            
(NA)	 啊啊     看了之后移情别恋了        对laughing没那喜欢了         反而喜欢智霖哥了      啊      最后智霖哥做的彩虹寿司好好看啊 好想吃            
(4星)	 出彩的是刘松仁啊~            
(3星)	 亮点有三：一之美味的寿司；二之不老的大仙；三之西关大少的重现。            
(3星)	 看美食            
(3星)	 张智霖~            
(3星)	 傻子不错            
(4星)	 张智霖十年如一日啊 完全木有变老 看这剧的时候超级想吃日本料理的            
(4星)	 这种片最适合我这种吃货^^…美味的寿司            
(3星)	 风景很美～喜欢张智霖和杏儿这一对，另一对无视。            
(4星)	 张智霖看起来还是那么年轻!这些料理让人看起来好馋.            
(4星)	 做寿司也是个艺术            
(4星)	 不知道是不是因为laughing哥太深入人心，这里的谢天华不是那么讨人喜欢，总觉得整部戏他就板着张脸，后期的转变也有点突然            
(NA)	 赢师父的处世之道深得我心。嗯，又是个大团圆~可是没有做人呢最重要的是开心！这一点，还不错。哈~            
(4星)	 每看一集，就无比想吃寿司            
(4星)	 大仙还是很帅！            
(4星)	 寿司呀寿司。。。            
(4星)	 挺好看的，人好看，剧情好看，食物也很好看。讲日本料理和韩国料理的片子都显得很讲究，我们中华美食的片子就显得很有人间烟火味，我们的厨房也是最脏的。            
(4星)	 寿司，各种美味的寿司= =            
(5星)	 对寿司完全无感，但是张智霖、胡杏儿 、刘松仁的角色不错，还有呵姐实在太搞啦！！谢天华还是laughing哥好点，这个实在惹人烦            
(4星)	 结尾那个失忆太败笔了            
(4星)	 一颗星是为了刘松仁的演技            
(4星)	 寿司都好漂亮啊！北海道的景色也是。当然最喜欢的还是刘松仁， 张智霖 ，胡杏儿三个人耍宝……            
(4星)	 四星给视觉系的寿司~从看剧开始，前前后后以吃寿司为目的的吃食就不下3次了，足以可见影响之大啊~直接忽略狗血的剧情            
(4星)	 剧情比较俗，但是轻松搞笑的风格比较喜欢            
(4星)	 额 看张智霖 帅哥嘛 那个 胡杏儿 2了点 略微 杨怡依旧 坏            
(2星)	 张智霖老了 大失所望            
(5星)	 风景很美，料理很诱人，但是更让人感动的是爱与付出            
(NA)	 好想吃里面的寿司。哈哈            
(4星)	 结局的车祸是败笔...总体超萌~我开始对胡杏儿有好感了~~寿司啊 寿司~~            
(3星)	 TVB像是为了经济利益订制的寿司主题和北海道宣传。可惜播完没多久就辐射了，于是关于来自日本天然水天然鱼之类的都成了尴尬。板长寿司赞助了肯定也很郁闷。剧情最终很俗套，竟还有失忆桥段。谢天华演得太用力了。杨怡真的变丑了。快四十的张智霖在那边扑闪着大眼睛依旧萌翻了。胡杏儿为嘛老配帅哥！            
(4星)	 为了看起来如此美味的鱼生，幼稚的剧情也可以忽略不计了。料理的部分能再多一点就好了...杏儿以后走这路线挺好。            
(3星)	 多年后，张智霖依旧延续了朴实憨厚的风格~            
(4星)	 啊啊啊...北海道好美!!!!寿司看上去太诱惑了啊!!!!!            
(4星)	 ★★★☆，之所以看这部剧，据说收视好，口碑不错，一看都几惊艳，杨怡的短发和胡杏儿这次造型几好，忽略一些情节的合理性，看得几开心一部剧            
(NA)	 啊啊啊啊~~再狗血都好，张智霖你是要我好喜欢你！！！~~            
(4星)	 我就是为了等着看敖嘉年才开始看的。哈哈哈哈。不过也很爱张大仙            
(3星)	 只看张智霖部分，laughing哥表演也过于用力了一点吧            
(3星)	 谢天华嗲额 刘松仁也可爱类            
(4星)	 前面2集看得我好想看。。。laughing哥依旧帅啊  智霖还是很嫩的啊！！动画配得可爱              
(4星)	 虽然有点虐，剧情也狗血，可是有chilam在，还有如此诱人的寿司，所以一切都ok～            
(3星)	 奔着美食去看的，剧情越到后面越狗血，不过大仙还是很萌的。我想吃寿司！            
(3星)	 演员都不错,但是主题有问题.香港现在流行真爱有理,小三无罪,笑贫不笑娼了啊...            
(4星)	 喜欢美食，爱屋及乌            
(5星)	 看的我好饿………………            
(5星)	 张智霖太帅了            
(3星)	 这部剧也是一点点追的啊，由于老公是做日料的，就推荐我看，这个名字真是吸引我好久，不喜欢谢天华这里的角色。就是能看完第一遍 但是绝对不会拿出来重温的戏，剧情没看点            
(4星)	 寿司无法挡。            
(3星)	None
(3星)	 必须要排，这些海产品啊，也许以后都没有的吃了：(            
(5星)	 大爱！！            
(5星)	 大仙跟松哥绝对是亮点 可惜最后走不出狗血的套路            
(4星)	 诱人的寿司风光片。            
(3星)	 北海道风光加漂亮的寿司，远比吃寿司是件享受            
(NA)	 好久没看港片了。hoho~~~看的我想去吃正宗的日本料理。            
(4星)	 张智霖怎么也成不老的典范了，越看越嫩。这剧看的有点促进食欲。            
(5星)	 挺不错的，张智霖挺搞笑的，看美女嘛，当然就是杨怡了。。。            
(5星)	 这片子很棒啊！没有一点快进！音乐，吃的，更重要是，人是要成熟的，是想无忧无虑，那是面对不了挫折和现实；也有点迷茫也分不清，友达以上恋人未满，是一直太过依赖亲人而放不开，下个学期离开她一段日子或许自己能奋力游水不至于淹死；是你就是你的，但是首先要变的最强才有机会是你的。            
(4星)	 每天饿着肚子看他们做寿司真的是一种煎熬 赢仔每次幻想的部分太喜感了 爆笑            
(4星)	 帅哥够帅，美女够美，情节狗血，画面好看            
(4星)	 就是有戆剧情节没办法··· ps：寿司大爱！            
(3星)	 智霖还是赏心悦目！三颗星都是美食和智霖的！            
(NA)	 -“他不可能做到的，除非他是个天才。”-“要是他真是个天才呢？”什么叫一语成谶。大仙同学演起这种扮猪其外吃老虎其内的角色还真是得心那个应手熟能那个生巧啊~~~            
(5星)	 看完很想吃寿司~            
(4星)	 大仙永不老啊~美食诱惑~            
(4星)	 张智霖还是那么的萌啊啊啊啊啊啊~~            
(5星)	 我爱寿司            
(2星)	 张智霖帅，杨怡气质，寿司美味。可是为什么剧情不深入呢，喜也不欢，悲也不痛！就连什么心机暗算都是蜻蜓点水，一概而过。好失败！            
(3星)	 张智霖还是那么嫩啊啊啊啊啊啊 友达以上 恋人未满 典型的虎头蛇尾之作            
(4星)	 chilam~            
(4星)	 日本地震后再看真是。。。现在谁还敢吃真正的寿司？还用当地的海水？？不过寿司长的都挺诱人的，M~~就是植入性的广告太明显了~~            
(3星)	 张智霖就没老过，做他的夫人压力真是很大的吖，我不BUY胡杏儿，非常，所以，这剧硬是没过四颗星，但是里面寿司真有馋到我。            
(2星)	 看了个开头我就不想看了 哎 我还很期待滴说            
(3星)	 作为广告片一样的港剧中算还不错啦，起码都是有点演技的演员，不至于太突兀            
(NA)	 片子不错，不过日本料理一向无爱，不带偏见的说。            
(4星)	 我用真情可以打动寿司吗            
(4星)	 看了觉得胡杏儿也蛮可爱的，下次就别再演苦情戏了。            
(3星)	None
(4星)	 好想吃寿司呀~            
(3星)	 使唔使最后15分钟仲要玩下失忆嘅烂gag啊~为咗睇大仙，寿司同埋北海道喇~=v=            
(5星)	 张智霖真是不老神话!!!剧本身很不错看!!!            
(5星)	 难得一部好看的TVB剧啊            
(NA)	 看完以后不是对人物有兴趣 而是对里面的寿司            
(3星)	 港剧港剧 真的是港剧 虽然不喜欢胡杏儿             
(NA)	 改变了我对寿司的看法。张智霖很帅。            
(4星)	 功夫寿司加上北海道的美景为电视剧增色不少~            
(2星)	 两星送给OP            
(4星)	 我艹我只想说大鱼怎么不去死。。            
(4星)	 好想吃寿司～～            
(4星)	 张智霖是咋保养的！！！             
(4星)	 张智霖不会老啊 哇靠。            
(4星)	 看完之后想念美食            
(5星)	 馋死了            
(2星)	 一开始开头开的不错，但是后面就有点匆匆忙忙的感觉，虎头蛇尾，有点赶火车似的交代完就大结局了！            
(5星)	 超棒啦，全追完。张智霖真是年轻啊            
(4星)	 北海道好美~            
(NA)	 看了就有各種衝動去吃Sushi日料 Chilam睇上去永遠咁年輕 孖姜呢個角色都好鍾意            
(3星)	 寿司~~~北海道~~·尤其是再日本满目疮痍的时候            
(NA)	 我要吃壽司！！！！！            
(4星)	 张智霖很帅有木有！！！刘松仁很有爱！！！！其他人直接忽视了            
(3星)	 除了寿司不好看，其他都OK！寿司让人没有食欲！！！是最大的败笔！！！            
(4星)	 哎呀，其实剧情有点儿狗血！= =。。。从最开始的那个双面间谍到后来的兄弟反目情人利用到最后的和好如初车祸和失忆真是我都猜到的剧情发展。。。。。。。。。。但是大仙实在是太有爱啊！那段海边的吻戏超级带感！！而且刘松仁这个老顽童真是超级大爱！semulu~~~~~suga            
(3星)	 3.5            
(3星)	 剧情好狗血。。张智霖笑起来其实细纹还是很多的。。我实在是无能接受胡杏儿。。。            
(NA)	 张智霖的酒窝杀人法。            
(4星)	 胡杏兒也是個傳奇，可塑性很強，要丑要美要傻要精怪都能收放自如。就是看的時候容易餓……            
(3星)	 有点莫名其妙，狗血至极~            
(4星)	 爱情有点狗血，但是剧情还是不错滴，视觉、味觉的寿司盛宴~~~            
(4星)	 挺欢乐的= =            
(2星)	 这狗血洒得, 愧对苍天哪            
(5星)	 大仙一般的男人！            
(3星)	 很好吃的寿司！！！            
(3星)	 越看越餓，看了這部才發現原來張智霖挺帥的            
(4星)	 已经不追港剧几年了，《鱼跃在花见》俾人一种清新嘅感觉，剧情方面虽然给人批，撇开不说，只说寿司及跟北海道的美景，就足以让人舒心。            
(4星)	 突然觉得张智霖魅力无限～好中意啊！            
(5星)	 剧情什么的倒还好，符合一贯套路。倒是寿司诱人啊！搞得我好久都想吃生鱼片……还有，张智霖小盆友也是不老的脸啊~~            
(3星)	 喜欢张智霖这个妖孽            
(4星)	 美食美景，好久没看这么轻松的TVB了，不错            
(4星)	 好看又好吃            
(5星)	 喜欢酒窝男和杨怡。。好吧 酒窝男再一次演绎了后天成才的郭靖！            
(5星)	 其實我還沒看完 但很激動的給了五星 給張智霖和胡杏兒的 然後劉松仁的表情很豐富-.-            
(3星)	 不是有寿司看我才不要看！            
(4星)	 大仙永远那么可爱。。看完极想吃寿司。。虽然情节狗血。。            
(4星)	 谢天华.......无晒好感。张智霖~~~OH~！我中意            
(NA)	 没想像中好看            
(3星)	 整个剧集的调调还是比较清新的，寿司是亮点            
(4星)	 害我想买寿司刀了……不过我还是不喜欢吃寿司！            
(3星)	 老套的故事 但是张智霖的幽默和帅气还是加分的 颜控就是么办法            
(4星)	 寿司很棒            
(3星)	 看在张智霖和北海道的面上三星吧            
(4星)	 我最喜欢happy ending了~            
(4星)	 這幾天瘋狂的想吃壽司。。。張智霖怎麼能一直一直這麼嫩呢？劉松仁也難得的不那麼討人厭了~這個角色好有愛丫~依舊不愛胡杏兒~最近連楊怡也不愛了~難道是審美疲勞？！~            
(3星)	 张智霖肿么会一直都不老的呢。。。靓靓跟他合影一看岁数差蛮大的。。。            
(2星)	 没有张智霖是绝对不会去看的            
(4星)	 张智霖就不会老吗！？            
(3星)	 编剧有点傻，看了很多寿司，好馋，每集结尾的小知识蛮好的            
(4星)	 很轻松的一部电视剧            
(5星)	 我喜欢简简单单 很单纯的爱情 不用很浓厚 只要很温暖 只要很窝心 想到可以微笑 一丝丝甜意 就好。 张智霖和胡杏儿 这对“友达” 我喜欢 4.8分给他俩 加上刘松仁 就满分了 。其余人好不好 不重要。            
(5星)	 美食美景美人儿～（¯﹃¯）            
(4星)	 寿司好好看哦~日本又一次吸引我...松仁演的真不错            
(NA)	 好不容易坚持下来了……            
(3星)	 给张智霖和杏儿的三颗星 哦 还有帅气的百目鱼神            
(4星)	 想吃寿司~~            
(4星)	 张智霖太帅了 和胡杏儿那段儿情很好看 但是拉风哥和YY那段儿 不是很好。。。。            
(3星)	 现代版射雕            
(5星)	 看了超级想吃寿司啊！            
(5星)	 看过之后，真的有一段时间会觉得日本的寿司真是好有学问，而且，我会觉得超漂亮的，着实喜欢上了日本啊……虽然电视剧最后的结尾让还是会让我觉得有一点似曾相识的感觉……但是，还是很喜欢的一部TVB啊……            
(1星)	 没有逻辑可言。为什么那个唐先生一下子是好人一下子又非常坏？            
(4星)	 看的好想吃寿司啊~好想吃寿司啊~想吃寿司啊~吃寿司啊~寿司啊~啊~            
(3星)	 TVB越来越差了！            
(3星)	 做寿司 顺便再加点儿兄弟反目 家族恩怨            
(4星)	 好吃啊            
(4星)	 剧情三星 美食加一星  谢天华还真是第一集臭脸臭到20集            
(4星)	 不错不错~~~馋坏我了            
(4星)	 两兄弟为救寿司店，在事业、家庭及感情上连番遭遇冲击，弟弟开自己的努力做出了成绩；哥哥则是用偏激的方法来达到自己的目的，甚至不惜牺牲自己的感情。最终哥哥回头，圆满的结局.            
(NA)	 爱上小鱼寿司！！！            
(4星)	 美景+美食+张智霖+刘松仁，于是剧情变得不怎么重要了···赏心悦目啊···反正我喜欢！            
(4星)	 喜欢男女主之间的互动，那自然而然的爱情            
(3星)	 完全漫画式的励志剧情  大鱼猛然坏猛然好  理解不了...  好在张智霖和胡杏儿还挺搞笑  每次小鱼YY时都很有爱~            
(4星)	 我老觉得谢天华以前是不是演过什么变态角色啊。不过最后也是大团圆结局。稀饭            
(3星)	 每集都在坐寿司=。=            
(4星)	 馋到不行~            
(4星)	 我也想遇见一个鱼至赢，或者说一个张智霖            
(3星)	 狗血            
(4星)	 很轻松 寿司看着很好吃 可是现实中我没有觉得            
(4星)	 剧情一般，不过增加了对寿司的了解！有机会真想自己学着做！            
(NA)	 慕容san好好笑..胡杏儿D衫裤鞋袋好漂亮            
(5星)	 超级好看的，看得过程中超级想吃寿司~            
(2星)	 剧情那么狗血为虾米不少人喜欢看。。两颗星纯粹给可爱的演员们和诱人的寿司。。            
(3星)	 依旧延续TVB大团圆结局  剧情没有啥子新意  消遣之作而已  但是剧中的每款寿司都相当惹人食欲啦              
(3星)	 只觉得寿司做的很有食欲啊~            
(4星)	 看过就跑去吃了。。            
(4星)	 我冲张生看的……跟胡杏儿意外的搭！            
(4星)	 虽然后半段剧情有点狗血，但是轻松搞笑就够了。            
(5星)	 张智霖真的是超好看的。。。爱死了。。            
(3星)	 跳着看了和食物有关的部分。。好想去日本啊。。可惜            
(5星)	 除了有漂亮的寿司照片，还学到了很多料理的东西            
(NA)	 鄙视结局~虽然大圆满 但是剧情太空洞了吧 ~尤其恶人大妈的去世更是让我笑疯~淡定淡定。。。            
(4星)	 还好。谢天华太做作啦。            
(3星)	 比ONLY YOU好睇。。。。            
(NA)	 轻松搞笑的一部电视剧，里面的寿司看着很勾人食欲哦~            
(4星)	 为了祭奠日本寿司和刺身            
(4星)	 知道了什么是寿司            
(4星)	 寿司！！！！！！我想吃~啊啊啊……            
(2星)	 这个午饭剧就忽略吧。我陪她们看都看不下去了。最后只好她们看的时候我睡午觉。            
(4星)	 看得我超想吃寿司            
(3星)	 看个开头和结局，一般般，打发时间……            
(3星)	 冲着张智霖去滴！            
(4星)	 看了就想吃寿司~~            
(3星)	 整个剧集不是比赛就都在说吃的 可怜正在减肥的我啊            
(3星)	 板长要火！            
(5星)	 寿司！！！乌冬！！！            
(3星)	 剧情最后很狗血            
(5星)	 超想去日本吃寿司            
(5星)	 永远大爱CHILAM!!!            
(4星)	 比较喜欢胡杏儿在剧中的打扮，感觉很fashion。。。看了后进一步更加喜欢吃寿司了，更加认识生鱼片与米饭吃法的讲究。            
(NA)	 追的那几天晚上看得我肚子好饿啊。。5555            
(5星)	 ChiLam难得回TVB拍部戏,当然要满分支持.寿司很可口,贴纸条那段很浪漫感人!            
(NA)	 太喜欢胡杏儿的眼罩了。。            
(4星)	 3星半。。勾心斗角多多，勾得我那会儿对日本料理超有爱！            
(4星)	 大仙的片子一定要捧！！            
(4星)	 北海道的美景、张智霖不变的笑脸与深深的酒窝、还有秀色可餐的寿司……这部戏能不看吗？能不喜欢吗？            
(4星)	 很久木有看到张智霖啦！虽然老了，但是大爱。。引诱我的寿司！            
(3星)	 后面什么跟什么啊…            
(4星)	 不错，看的很开心，也很有食欲~呵呵，其实在看的第二天就迫不及待地去尝寿司了~不知道日本的核辐射会不会影响如此伟大的料理~我还要很多寿司没吃呀~( ⊙ o ⊙ )啊！            
(4星)	 好搞笑，看了开心~            
(4星)	  有笑到 关键冲着料理去看的            
(4星)	 是不是预算不足啊 张智霖穿来穿去就那么两套衣服            
(4星)	 看得好饿            
(5星)	 里面的寿司好诱人啊！！！有木有！！！            
(NA)	 喜欢sushi，喜欢北海道~喜欢张智霖~            
(3星)	 看完以后非常想吃寿司。不过现在日本出现核辐射了。            
(4星)	 前面勉强可以笑笑·后面就········            
(3星)	 大型广告有没有！            
(4星)	 千万不能在饿的时候看...会很想吃的...最后结尾真是太突然了...            
(3星)	 张智霖啊各种可爱！！寿司馋 别的没啥了~            
(3星)	 大仙&amp;寿司比较养眼外，比来比去的剧情着实老套了点。            
(NA)	 狗血烂尾 TVB烂尾了好久了谢天华演技好过程超级想吃寿司            
(4星)	 整体来说，还行            
(4星)	 为了张智霖而看！            
(3星)	 有笑点~套路比较老旧~~~后面有点拖            
(3星)	 剧情不够新颖~~寿司很诱人~~            
(3星)	 看的过程跟看完只是让我很想吃日本料理罢了。。1个多月前看的，没什么印象了现在——tvb的特点。            
(3星)	 剧情超烂，纯看食物            
(2星)	 好想吃日料！            
(4星)	 本以为谢天华是第一主角，不料张智霖才是~~            
(2星)	 男女二号长得都困难            
(5星)	 喜欢张智霖，喜欢片中的音乐，喜欢寿司，所以看得津津有味。            
(3星)	 寿司店广告            
(NA)	 张大仙还是那么年轻~~杏儿还是那么的可爱~            
(5星)	 大爱！！！强推！            
(4星)	 你知道。。。我饿了。。。 虽然剧情都很老套~~~ 但是几位主演都是我的爱~~~ 顶之！            
(4星)	 开始看的时候好馋呀 好想吃寿司 后来越看越恶心 除了寿司就是寿司结局不喜欢 失忆的段子 TVB太多了            
(5星)	 哇，和美食关系密切的当然吸引啊！地震了不能去日本旅行了，看这本电视剧就好解馋啊！还有我喜欢的张智霖，怎么这么多年都没变，保养得好好啊，胡杏儿在这本剧里的造型是我认为的最棒的啦！其他的狗血片段啊剧情啊不需理会，就看看美食美景帅哥就足够了！很赞的一本！            
(4星)	 冲着张智霖和众多寿司打分            
(3星)	 张智霖你是要多嫩啊，这么多年了。胡杏儿的衣服太好看了~北海道和寿司，眼福大饱。            
(2星)	 壽司很美很勾引食慾 張智霖依舊很帥很有觀眾緣 風景也靚 其他演員演技也基本都合格 但劇本太爛 太爛 太爛 太爛 真的太爛.......            
(4星)	 一般            
(3星)	 只觉得慕容澄好好玩 其他的就算了 杨怡很垃圾            
(5星)	 好看            
(4星)	 友达以上 恋人未满            
(NA)	 除了情节比较老套外，其他都很完美。比如n多精致的海鲜寿司……还有那首hold me like the mountain            
(2星)	 对这段时间tvb的新剧有点无语了。。。。            
(3星)	 寿司比较诱人，张智霖多少年还是年轻，剧情越到后面越一般。            
(3星)	 为了张智霖看得港剧            
(NA)	 很好            
(4星)	 逆生长的张智霖。胡的服装好美。整部剧都很好，结尾有够烂。            
(3星)	 没看完，感觉soso啦，张智霖还蛮可爱啦。。不喜欢胡杏儿啦。。。不喜欢杨怡啦。。。            
(3星)	 那里面的寿司看起来是那么的诱人，标榜着是板长寿司赞助的。可是如果你因此而去板长寻找这样的寿司，你铁定会非常失望。但不可否认，板长的乌冬面还是很不错的。            
(4星)	 结局也太不咋地了、、、前面还是蛮搞笑的~~！            
(4星)	 许久不见张智霖，完全冲他而去，剧情有点单薄，寿司看上去还不错            
(4星)	 因为这部电视剧疯狂的想吃日本寿司 呼呼~~            
(3星)	 剧情很老套，但是美食、美景、不老的张智霖、胡杏儿、刘松仁值得一看            
(5星)	 虽然剧情有点狗血，但是张智霖好帅啊~寿司好诱人啊~还有乌冬！            
(4星)	 为了吃的+1星 =。=            
(NA)	 从一开始就纠结到最后。谢天华长了一副不惹人爱的凶相。            
(3星)	 吃的东西很诱人，我喜欢这个编辑方法            
(4星)	 寿司好诱人            
(NA)	 还可以！寿司看起来就好吃！            
(2星)	 狗血到让人蛋疼的剧，台湾小言风一颗星给不老的大仙，一颗给X2            
(3星)	 稀饭孖姜  活活泼泼&amp;率真              
(3星)	 爱情来的莫名其妙，是寿司支撑着我看完的，那几天真是食欲大增，特别十分非常地想吃寿司啊！！！！            
(4星)	 喜欢张智霖~~            
