http://movie.douban.com/subject/1482394/	蓝色生死恋 가을동화
(5星)	接触的第2部韩剧啊！  当年正在中考的时候 播出~~看的我是 类牛满面啊~~那纸巾哗哗的~~
(4星)	哥。。。
(4星)	小学时不知看过多少遍- -
(4星)	不喜欢宋承宪 不过元彬还是很帅哒~ 这应该是看的第一部韩剧 恩
(4星)	当时看这部剧的时候还小 说实话 没女生那种感觉好 但是女主角还不错 比较有爱
(5星)	我表示第三集开始大人们的爱情已经无法打动我，倒是第一二集的小孩子的感情很让我动容
(4星)	元彬元彬
(5星)	没办法，回忆里尽是完美，平生第一部韩剧，感动的一塌糊涂。
(5星)	元斌好帅！
(3星)	没感觉
(5星)	我看过的第一部韩剧，我不爱看韩剧，不过元彬太帅了
(5星)	第一部韩剧
(5星)	好吧，我当年的确喜欢看  思密达
(3星)	初三的清明假期看的...
(5星)	这是我看的第一部韩剧。
(5星)	我很怀念那个时候的元斌，宋承宪，宋慧乔，虽然一切都不可能回到那时候！虽然蓝色生死恋是一个系列，但我心目中，真正的蓝色生死恋只有这一部！
(5星)	这个经典啊~~~小时候看的第一部偶像韩剧。但是不喜欢男女主人公的爱情，总有一种乱伦的错觉。
(5星)	小学就看到现在.....
(3星)	我家楼上一大妈天天看这个哭的稀里哗啦的，我相当不理解
(5星)	拉起韩流序幕的大作即时现在看来很幼稚的剧情但是这个是经典
(5星)	經典的大韓民國抒情催淚劇
(4星)	以前电视里放的时候,天天晚上和我妈一起看~
(3星)	对于这部电视最深的印象就是泰锡哥。
(3星)	戏里谁都在哭= =
(4星)	骗取不少眼泪。。
(5星)	韩剧里的最爱呐
(4星)	看的第一部韩剧吧
(4星)	经典！宋慧乔越来越有气质了，当年迷元彬啊！
(NA)	元彬好帅呀，可是女主就是不爱呀
(4星)	T^T 當年淚奔得……
(4星)	哭
(5星)	敢不敢再经典一点
(5星)	当时哭的很厉害 我同学他爸看的时候也狂哭
(5星)	我心中永远的爱情经典，在韩剧中的立意算是高远的。
(4星)	韩剧启蒙片吖。。也是唯一一部喜欢男二的
(5星)	韩剧催泪弹鼻祖。感觉从这部开始，韩剧里的人物，特别是女性的妆不是那么浓了。
(5星)	看的时候还初中呢，哭的咧。每集都哭
(5星)	悲剧经典··
(NA)	一个字：似
(NA)	当年看的第一部韩剧啦，哈哈...
(4星)	就眼泪
(NA)	全是喜欢的人
(5星)	小时候看过，没觉得什么。多年后再看，原来它影响了我很多很多。宋慧乔的长相太美太美。
(NA)	  看的第一部韩剧，真是爱呀。，她说，来生愿做一棵树。宋承宪，太帅。
(4星)	电视剧也看了，书也看了，明明知道是哭哭啼啼的一场悲剧，还是让我们忍不住一遍遍去看，唏嘘不已。如果结局能够幸福就好了...
(4星)	这个年代了再有人看它哭的话我就会表示不解了 小学看的时候我还是一副淡淡定的样子呢
(4星)	那时候乔妹还很胖，宪哥还很憨。现在都不错。
(3星)	没给四星的原因是两人的关系从头到尾纯情到令人发指！竟然死到临头只是亲吻了额头，我实在是.....!!
(5星)	第一部看的韩剧，怎么能那么唯美呢，我看得韩剧不多，这是第一部也是最喜欢的。虽然情节有点俗气（白血病什么的），宋慧乔那会也胖胖的，不过我现在看的话还是会流泪呢。喜欢这个电视剧，喜欢这部的原声，喜欢宋承宪元彬和宋慧乔
(4星)	俊熙让恩熙哭个没完，恩熙让泰锡泪流不停！我是嘻嘻耶，嘻嘻不起来了：（
(4星)	就是节奏慢了些 其它都很喜欢 看了很多遍 感人
(5星)	每一集都哭。。。
(3星)	以前就是因为看这剧..让我觉得生病也可以是件优美的事情...
(3星)	啧啧啧催泪大戏啊
(4星)	周末中伤
(5星)	第一部韓劇，哭得枕頭都濕了
(NA)	也是我第一部韩剧
(4星)	话说这是我追的第一部连续剧。
(4星)	记得小时候看的时候，哭得淅沥哗啦的
(NA)	哦~~~姐竟然把它重温了~~~还是很经典~~~
(5星)	看一次哭一次，音乐太煽情了
(4星)	看的配音版 每次恩熙软绵绵的一声“哥。。。”都能把我叫出一身鸡皮疙瘩
(4星)	经典啊经典 现在哪部韩剧能够超越？？？
(3星)	妈的 怎么看也是元彬帅啊！！！！
(5星)	想哭的时候就看这部片，小恩熙和家人分开的时候，再见妈妈的时候，后来大了再见到妈妈的时候，都抑制不住的泪啊，演的真好啊！
(NA)	小时候最爱的韩剧
(4星)	呃   从来都没有很喜欢~但这个真是韩剧的象征。。。
(3星)	对这部剧感情复杂，高考前几天开始放的，在考试的重压下，记得貌似还是高中前一天我们女生还在讨论剧情，女生爱叫喜欢的男生哥哥就是那个时候开始的吧。不过现在看起来也没那么喜欢了。
(5星)	眼泪堆成的戏，也赚足了眼泪，韩剧的启蒙~
(5星)	仓廪实而知礼节
(3星)	好歹也风靡一时...
(5星)	第一部看的韩国电影哭的稀里哗啦
(4星)	完全虐心，哭得我啊，看着经历过这么悲剧的电视剧长大太不容易了
(5星)	top 5 korean drama in my list
(4星)	当时只是觉得元彬很帅很帅，啊么哪能哭。。。
(5星)	哈哈。那个时候的经典吧。。。不明白了，太熙那么好为什么喜欢俊熙？
(5星)	看过无数次。
(3星)	越长大越讨厌惨剧……
(4星)	曾经一度很爱这个片子，很爱那首Romance~
(4星)	也是很久很久以前了...
(4星)	马克上瘾！他们那时候好稚嫩……
(3星)	那时候差点哭死
(5星)	让我老妈百看不厌的电视剧= =+ 小时候那段拍的很美~最后一集女主死后片尾那一曲回忆往昔的音乐缓缓响起，一望无尽的黄绿色田地,蜿蜒的乡间小道，两个骑自行车的男孩女孩，虐死了。┭┮﹏┭┮
(5星)	又美好又纠结！原声很棒
(5星)	当时真的有被感动到
(3星)	毕竟是韩剧催泪先驱，值得记念。
(4星)	非常感人，灵的
(4星)	就这个片子让我萌上了元彬 于是。。。他陪了我整个高中时代
(4星)	突然发现，宋慧乔当时只有18岁，哎，我年龄越大越觉得不能沉迷于偶像剧了
(NA)	太悲了吧⋯⋯
(5星)	当时哭死了反正。
(4星)	 很早前看的，想当年这部剧赚了多少人的眼泪啊？
(4星)	二月情人。。这名。。
(4星)	真的是很值得纪念的一部电视剧了~
(3星)	没看完，但事实上我还挺喜欢宋承宪、宋慧乔、元彬、韩彩英的，可是在这里面我喜欢泰锡
(5星)	第一部让我哭到死的韩剧，剧情非常俗套，不过承宪才是慧乔永远的oba，承宪背着慧乔也最经典。
(4星)	爱惨了元彬。
(5星)	我看过的第一步韩剧啊 因此喜欢上宋慧乔啊
(5星)	永远的经典 至今无人可以取代。。。我当年上高中通宵看的 哭的差点儿没抽过去 开始的时候多温暖的一家人啊 我当时就好想冲进电视里面打那个大脑门死鱼眼包子脸的尹心爱 不过后来听说扮演这个的小演员屎了。。。后来恩熙趴在俊熙背上死去的时候我泪如雨下啊 怎么阔以这么感人。。。Over~
(4星)	開始真的感動死人了，後面真肉
(5星)	哭死
(4星)	看的第一部韩剧，哭得稀里哗啦。不忍再看。
(4星)	那会多感动啊。
(4星)	第一部韩局剧
(5星)	初中时看得满脸是泪的片子
(5星)	刚开始看 并不觉得有什么 还挺俗的 但是音乐好听
(5星)	经典就是经典，不会随时间磨蚀而褪色。近年无所事事观韩剧无数，可要选最喜欢或觉最经典的还是会选这部。第一次看的时候是在夏天，于是到了喜欢怀旧的年龄后，每到夏天就会想到这部剧，那段旋律，那个片头画面，两人骑车上学经过的那片绿野，隧道，林荫小路，明媚的阳光，俊熙含泪的深情的大眼睛……这
(4星)	韩剧的鼻祖啊
(4星)	眼泪~
(4星)	第一部韩剧，现在看已经找不到感觉了，不过还记得元彬很帅，画面很唯美，音乐超好听的。
(4星)	当时跟表妹哭的一塌糊涂，现在回忆一下，好像剧情很单调啊，年轻人就是好忽悠。
(NA)	哭掉我一包抽纸
(5星)	一个韩剧时代的经典符号
(5星)	一代神话
(5星)	记忆啊
(3星)	同学的妈妈一顿看后 我才开始看这种偶像剧~~~
(5星)	那时候看一遍哭一遍，从头哭到尾，感动得要死，骗走的眼泪不止一公升啊~~~~~
(5星)	现在看来是极端俗套的剧情，但在当时，我们看得却是那么荡气回肠，甚至后来只是听到主题音乐就要泪眼朦胧~~
(3星)	就是这个慢节奏的电视剧让我对韩剧从此失去了兴趣
(4星)	当年反复看反复哭到死去活来。。。泰熙君你非要这么无私么……
(5星)	我以后要当一棵树！因为树一旦生在在一个地方后，就再也不会到其他地方去了。
(4星)	看的第一部韩国电影和韩国连续剧
(4星)	小时候的韩剧 好像更纯粹 更美好
(5星)	韩剧启蒙
(4星)	经典
(4星)	初中的时候看的 就是觉得太悲 了 
(5星)	怀念那时候~~~~~
(5星)	迷上的第一部韩剧，后来照着元彬找过男朋友。。。
(5星)	超怀念、挖 真是经典。
(5星)	哭得我哟
(5星)	 唯一看过的一部韩剧 那时候还没有那么多人得白血病
(2星)	看的时候哭的稀里哗啦，看完觉得自己就一傻b，不会再看第二遍，就算看了也绝对哭不出来。
(NA)	也是经典
(4星)	韩剧的经典
(5星)	看一遍哭一遍~
(5星)	喜爱的。很多年。一直。
(5星)	从这部片子里我找到了很喜欢而且将来也会一直喜欢的文根英！！！国民小妹妹实在是让人可爱的紧啊。。当然啦。乔妹那是很清纯。宋承宪帅气的让人心服口服。元彬这个坏小子让人在身后流口水啊。。
(3星)	老妈不知看了多少遍。当时她喜欢宋承宪，我偏爱元彬。后来随着年纪增长我开始喜欢宋承宪，可见两者的受众群。
(3星)	因为先看了冬季恋歌，才看的这部，所以我对蓝色并没有太感冒，冬季恋歌是我的最爱~
(4星)	前几集和后几集太催泪了，哭得稀里哗啦的！但剧中人张口对不起闭口谢谢你的，让人消受不了。宋慧乔很美！
(5星)	经典
(4星)	当时哭的稀里哗啦
(4星)	初中啊。。。元彬迷倒一片啊。。
(4星)	一部迄今为止，看电视哭得最多的影片了
(NA)	小时候的青涩记忆，感动ing
(4星)	还好吧，好多年前的，记得当时宣传的时候都说什么荧屏催泪弹之类的，其实只要是好东西，现在翻出来看依然可以让观众哭的稀里哗啦的。对了，元彬很帅~
(4星)	催泪。
(5星)	看哭了
(NA)	好歹也在初中时期疯狂的迷恋过~
(5星)	最早接触到的韩剧
(4星)	算是最早的韩剧了吧。初二时全班一起看。
(4星)	看过的第一部韩剧
(5星)	每看必飙泪
(5星)	小时候啊~
(5星)	初中时看的 眼泪花拉拉
(5星)	韩剧中不得不看的经典
(NA)	哥，我们就如那棵树好不好
(4星)	比较喜欢元彬的角色...没那么神
(4星)	墨迹！！
(4星)	哭着看完的
(4星)	当时还是小学生。。 早期毒害我的韩剧之一
(5星)	本人追的第一部韩剧，经典，看第一遍时迷死了，眼泪哗哗的，第二遍就觉得狗血了
(3星)	把各个不幸的桥段都凑到一起，太不幸了
(4星)	经典韩剧~~
(4星)	最喜欢的韩剧 纯美 但从这剧之后韩剧一个都不要看了 现在闻都不要闻了
(4星)	韩剧的启蒙啊。。。
(5星)	感动的一塌糊涂！
(4星)	当年在家哭了一个寒假 现在想想也不过如此 哎
(4星)	绝配！！喜欢宋承宪~~不喜欢元彬~~~
(4星)	没错 是看过
(NA)	貌似看过 但没看全···
(5星)	經典的韓劇~ 哭得死去活來~
(4星)	一度很经典的韩剧，觉得还是小时候那段赚眼泪
(4星)	小时候的戏让我哭死了- - 
(NA)	六年级看的，使劲哭啊~~~~~
(NA)	非常喜欢 每次看都会流泪
(4星)	太虐了。。。
(NA)	这个接触的较早，还是蛮有感觉的。
(4星)	初中的煽情巨作！！！
(2星)	我不喜欢磨磨唧唧哭哭啼啼的戏~
(4星)	哭掉我多少纸巾啊
(3星)	其实不怎么喜欢这部~悲了点
(4星)	初中时代的大悲剧 哟～
(5星)	入门韩剧
(4星)	经典韩剧啊，亲情每看都泪眼八叉的，喜欢两个妈妈
(5星)	每次看都要准备一包纸巾，爱情经典
(5星)	那时超迷元彬。
(5星)	好难受，稀里哗啦...
(5星)	最早的韩剧入门..记得高一的暑假哭的一塌糊涂～～
(5星)	没有一部剧让我感动这么多次，流了这么多次泪，是我太脆弱，还是故事太好……赞~超赞
(4星)	这是老娘看过的第一部韩剧，情节超狗血，但宋MM真的是很可爱的~
(3星)	喜欢它的主题歌、片尾曲、插曲等等，但是故事就免了吧，我不喜欢如此悲剧的悲剧。。
(4星)	哥……三分钟后，才有别的台词。但一众主角好美好美好美，星星眼~比较纳闷的就是那个时候的国民妹妹文根英就已经比乔妹个子高了，演她的幼年还真是喜感。
(4星)	妈求您别看了~诶~我又被迫看了一遍~~
(3星)	当年那个催泪哟~~
(5星)	元彬啊。
(4星)	曾经感动过我的单纯的爱情。
(4星)	第一部也是唯一一部爱到痴迷的韩剧。
(4星)	看的第一部韩剧。 
(4星)	俺也是追过韩剧的银啊。。最后一集哭死了。
(3星)	看过的唯一一部韩剧
(4星)	少有的看的韩剧，故事很感人
(4星)	元彬哥哥啊！！！！！！！！
(4星)	以前看的 哭傻掉了
(4星)	当年看的第一部韩剧，很感人，典型的韩式催泪。
(2星)	拖沓是它的主题，虽然一度迷恋过韩剧，但也无法忍受这么拖沓的
(4星)	我的娘喂，我身边人的眼泪都给了它，虽然我也给了点。。。。
(3星)	看过的第一部韩剧，好多年了啊。。。
(5星)	经典
(4星)	现在还时常演绎恩熙从俊熙背后冲过去抱着俊熙的戏码
(5星)	       因为最近重新关注元彬，看了他的太极旗飘扬，准备看他的母亲，期待看他的大叔，看过太极旗飘扬厚突然想来重新看一下这部剧。这是不可逾越的经典吧，看那些08年09年甚至是10年的评论，有说不出的感觉，这是回忆吧，重拾美好的东西。不论如何，我始终觉得这是无法逾越的经典
(NA)	轰动几时啊
(4星)	喜欢那个主题曲~~~
(5星)	让你感动到无语凝噎
(4星)	不错
(4星)	非要关乎生死，这爱情才能如此凄美？
(NA)	有点看不下去，太腻了
(4星)	哭 宋慧乔美爆 元彬帅翻 韩彩英 宋承宪等 在此剧中虽不惊艳 但也还养眼
(5星)	这是催泪弹的经典
(5星)	怎么还是一如既往的催泪呢，我就不明白了，看一次哭一次，就跟玩儿似的……
(4星)	最喜欢看前面几集，男女主角的小时候。
(2星)	恩熙！
(3星)	我妈哭死了。。。
(3星)	很是经典的剧集，最后一幕最感人，很是伤感！！！
(5星)	经典
(3星)	我至今不喜欢男主的眉毛...还是元彬好~
(4星)	韩剧入门...
(NA)	哭的那个惨啊~~555555555
(4星)	记得那会儿房东阿姨总在我耳边嘀咕，这小伙子真俊啊，这眉毛真浓啊……
(3星)	你知道的。
(3星)	乔妹太胖了。
(5星)	这不简单 的片子..
(5星)	这应该是看的第一部韩剧了。那个时候老妈看得也跟我说：这女主角真可怜啊。经典啊。
(4星)	感人
(5星)	话说，我人生的第一部韩剧就是从此开始，记得那时小学的时候……哎，那个眼泪啊哗哗的。。宋承宪！元彬！OMG
(2星)	初看感觉很烦，再看。。还是烦
(4星)	是韩剧的鼻祖啊~~
(2星)	不喜欢
(4星)	我看过的，不多的悲剧之一
(4星)	这好像是人生中的第一部韩剧。。一次偶然看结局的时候还在上小学。。第一次体会什么叫虐心。。。但是那个时候不懂什么叫虐心。
(3星)	韩剧入门剧！
(5星)	经典的韩剧
(5星)	大学时候看的。
(4星)	慢，太慢了
(5星)	诶。我曾经是多么喜欢宋承宪
(5星)	看的第一部韩剧那时候苦的是稀里哗啦的
(4星)	人生第一部韩剧，催阿么催泪弹！@Home
(5星)	看的第一部韩剧
(5星)	不管多少次，总是让人哭
(5星)	My memory
(4星)	那时真的好喜欢文根英啊。。。美死了
(3星)	主角皮肤都好白。。
(3星)	儿童时期那段比较好看
(4星)	哦芭~~~~~
(5星)	非常喜欢的一部韩剧
(4星)	初中看的，还逃课看，那哭的，现在想想都鄙视自己......
(4星)	人生的纠结在于全都错了位。
(4星)	怀念我的通宵
(5星)	韩剧经典啊
(NA)	最早看的一部韩剧..哭的稀里哗啦的
(4星)	 算是韩剧悲情片始祖啦！
(3星)	当时就是不待见俊熙
(3星)	乔妹第一步片子，当时哭的七荤八素的。
(4星)	遥想姐们当年，，，大半夜的一卷纸用完后没辙只能将用过的纸烤干了再回收利用= =
(4星)	第一部家庭韩剧！
(NA)	读初中时看的电影，很感动。现在看到还是会心疼。心疼恩熙的那句：哥。叫得人心里好疼，顿生怜悯。
(5星)	看的第一部韩剧。
(4星)	我流了多少眼泪？不给四星对不起我那些眼泪……好吧，我承认自己恶俗
(4星)	看过唯一的一部韩剧。
(3星)	那一阵疯狂地都是这一类题材的肥皂剧 我还真是冷血 实在感动不起来啊 倒是蛮喜欢那时候宋承宪那个心痛绝望的眼神
(4星)	上小学还是中学时，晚饭时间和妈妈一起看的电视剧，哭的唏哩哗啦。想念和妈妈看电视剧的时光！！
(4星)	基本是接触最早的韩剧了。初中的时候在家偷偷看。我妈到现在还是不知道我什么时候看了这个片。鼻祖啊
(4星)	这部韩剧还是很好看的
(4星)	纠结呀，为什么不跟元帅一起
(3星)	有啥哭头。
(5星)	还是觉得特好看
(4星)	喜欢元彬的样子
(4星)	我人生的第一部韩剧。
(3星)	看的为数不多的韩剧之一。
(5星)	当时看了哭死
(5星)	当年的宋慧乔，宋承宪以及元彬。
(4星)	当时还大哭了。
(3星)	人家也年轻过~~~~我怎么没有那样被感动什么的呢...
(3星)	我只对元彬有爱- -剧情神马的都是浮云啊
(3星)	第二集最感人
(4星)	哭死
(2星)	好无聊的片，脑残的我都觉得很脑残。。
(3星)	不喜欢这么悲情的。。
(5星)	唉 不知道看了多少遍了
(4星)	算是最早的了吧
(5星)	哭死人的韩剧时代。
(4星)	看的第一部韩剧，还是中文配音的。当时觉得悲情啊。现在回头看看真想闪自己耳光。
(4星)	NND 当年泪水无数~
(4星)	当时看的哭的一塌糊涂啊~~小时候的俩小孩真好看。
(4星)	看过不多的韩剧之一
(5星)	经典了
(NA)	看了不下30遍了吧，还是会哭，真的饿超感人。
(3星)	当时那么多人说好看 我是真没发现它哪里好 就觉得文根英还蛮有哭点的再就是元彬好帅
(4星)	想当初 我还是个走读的初中生。每天深夜偷偷摸摸把电视声音开到能承受的最小值，小恩熙让我哭的那个叫稀里哗啦啊
(5星)	表示这是我最喜欢的一部韩剧。。。
(5星)	第一部看的韩剧
(4星)	印象里看过的第一部韩剧，当时是哭了的，现在只是回忆，不想再看。
(3星)	小说自己都看过！骗人眼泪吧！
(4星)	当年觉得恩熙怎么那么好看呢。。。其实现在看回去也是个肉蛋脸
(4星)	第一部看的韩剧
(3星)	当年我净为了元彬哭了
(3星)	当时看到小恩熙跑回亲身妈妈身边的时候，痛快的哭了一场
(4星)	一直哭下来的。。这个剧情很狗血。但是当年也算奇葩。剧中全成红角了
(3星)	最晕菜的韩剧
(5星)	这个地球人都知道吧……
(5星)	13岁那年看的第一部韩剧，几乎一直在哭，10年过后再来看，还是在哭。。。太多经典的桥段了。。。
(NA)	看过就看过
(3星)	当年棒子国电视剧在中国还没那么肆虐，我也没那么看不上棒子们
(5星)	十年后再看蓝色生死恋~~
(5星)	韩剧的鼻祖啊
(5星)	loli的时候赚足眼泪的剧啊，打个五星吧
(NA)	每次看这部片子，总会想起初二寒假，暖暖的阳光洒在身上，倔强的强忍着自己不哭，倔强的不去看流星花园，傻傻的童年~
(3星)	很久以前看的，现在想来太伤感，也做作
(5星)	初中时代看的一部剧，因为时间的原因，看的断断续续，印象中也只留下了几个特别美好的片段。近来闲散无事，翻出这部剧细细看了一遍，却很是失望，
(4星)	此生看的第一部韩剧
(4星)	看一次，哭一次··
(4星)	完完整整看完的韩剧还有这一部，小时候看的时候哭得来，稀里哗啦的，诶哟我的妈，从片头哭到片尾。
(5星)	哭了，绝对哭了
(3星)	元彬的脸桧山的声音实在是太给力了！笑了我一路XDD 男主角的配音就比较悲剧了……
(4星)	我只记住了一句：哥~~
(4星)	也是不得不看的经典韩剧，宋慧乔的成名作，我爱乔乔！
(5星)	喜欢乔妹妹啊。。。
(3星)	绝症
(NA)	看上了文根英 
(4星)	初中
(5星)	从头哭到尾的一部好戏。~
(4星)	男女主角小时候分开的时候，偶哭得很惨……没想到演亲生妹妹的是韩彩英。
(4星)	开启女猪脚得白血病的经典之路
(5星)	看过的第一部韩剧(都这么短不就好了吗)
(3星)	讨厌哭剧
(3星)	从此不再看韩剧。
(5星)	韩剧的鼻祖。
(5星)	当年把我哭得淅沥哗啦的
(NA)	乔妹好肥啊
(3星)	哭吧
(5星)	虽说韩剧很脑残吧。。。不过当时看的时候真是把我感动了。。。
(4星)	看一次 哭一次
(NA)	如果我是一棵树多好啊
(5星)	我看的第一部韩剧。 情节真是发展的很慢~ 但是真的很唯美很细腻~ 再加上男女主这么nice。。
(5星)	过去看没哭。。最近看了次 哭得控制不住了。。。
(NA)	看的第一部韩剧，很唯美很经典，文根英的眼泪真的让人心疼。年轻的元彬比年轻的宋承宪帅，但是伊甸园就不一样了。
(3星)	这剧其实没有完整的看全过。。。。。老是说哥，你要幸福啊。。。就不想看
(4星)	真的是经典之作啊~~~妈妈辈的韩剧哈~~~
(4星)	看了3年没看完，真TM悲情，受不鸟~~~
(4星)	看的时间太久了。不好评论。只是男主角那常常紧缩的眉头让我有些印象。
(4星)	那个时候就觉得韩彩英很好看，小妮子现在大红大紫啊~~~偶还是蛮有眼光的~~
(3星)	看过三部韩剧，这是第一部
(4星)	当年我可是贡献了好多眼泪的。
(4星)	当我还是小萝莉的时候，就是它让我相信了爱情的美好~~
(4星)	煽情的挺过分的。。。蛮小的时候看的= =
(5星)	最早看的~
(5星)	第二部韩剧。
(4星)	呃~~~着实被小棒子感动了一把~
(4星)	这片我确实没看完。当时在大学宿舍里，室友都在看，一开播整个楼道都没人了，真火啊。但我当时也就得空看两眼。觉得演得好慢好拖啊，没看完，没看整。现在回想起来，美美的画面，美美的人儿。
(5星)	很喜欢很喜欢宋慧乔~~~~sweet~~~
(NA)	老经典了
(3星)	话说当年感动一票人啊，不包括我。
(5星)	流了好多泪，用了好多纸巾！
(4星)	这是我记忆中主角因白血病而死的始祖
(4星)	哭啊哭啊。。。
(4星)	最后奶奶都哭了
(5星)	经典
(4星)	一群女人围在一起边看边抹鼻涕，害的我还要打扫面巾纸的战场。好怀念啊！在当年这简直就是催泪弹。
(5星)	这是最初的对韩剧的印象 但是…… 
(NA)	我看的第一部韩剧。记得TW同学狂喜欢宋承宪，然后他就找了个跟宋有几分像的老公
(4星)	看了这一部韩剧，就等于看过了所有走煽情路线的韩剧了。当然，开山鼻祖为最大。
(4星)	又看了一次。两大帅哥的组合。虽不真实，但那个时代的纯情，现在早已没有了。。
(NA)	应该有十年了吧～～～泪奔～～～哈哈，也有男生喜欢看哦！！～～
(5星)	曾经  ~~看过 ~~
(3星)	哦帮哦帮叫的。。。
(4星)	我唯看过的韩剧 悲催 哭的哗啦啦～ 
(4星)	初中看的我眼泪哗啦...经典的韩剧...
(4星)	看的第一部韩剧，也是为数不多的几部韩剧之一。从此喜欢上了元彬
(3星)	韩剧的始祖啊
(4星)	太慢了吧
(5星)	小时候
(4星)	看的第一部韩剧~~~
(4星)	爱元彬！
(5星)	宋慧乔
(4星)	真正意义上看的第一部，当时很hot的呀，反正演的都很认真很投入，我还真泪在眼中打转有时，看的特别感动，现在就不相信会发生这样的blablabla
(4星)	完全是因为元彬
(3星)	小时候多萌
(3星)	不喜欢这么悲情的，但是这部片子是中国韩流的先锋
(3星)	我对这种又有人得绝症的纯爱剧真的很没兴趣
(4星)	悲剧
(NA)	很早就看的~~~
(5星)	看的我差点 哭 过去~
(5星)	结局很棒 喜欢共生死的结局
(2星)	我怀疑自己是不有恋童癖，特别喜欢小时候的恩熙，长大后就没有什么感觉了。前四集特好看~~~
(NA)	真正用心看过的第一部韩剧。很爱。
(5星)	当年的催泪炸弹 随即下辈子成为一棵树也成为了流行 看了无数遍的韩剧  
(NA)	最喜欢小时候的几集，太经典了，准备好面纸……
(NA)	催泪弹
(3星)	这个。。。
(3星)	只看过最后一集的最后十几分钟算不算是看过？
(NA)	应该是看的第一部韩剧吧，恩熙的配音那个“哥”太经典了
(4星)	看过的第一步韩剧，从此一发不可收拾了。
(3星)	哭死~
(5星)	韩剧入门篇.看的我每集都哭啊...
(5星)	经典就是经典啊，无法超越
(3星)	我净系记得当年自己讲过，点解妹妹死一个星期都死唔去……
(NA)	爱在生死边缘
(5星)	衣服可以过时爱情却不会
(5星)	悲
(4星)	也是我的韩剧启蒙啊 我把生死恋四部全看完了 还是最感动第一部了 当初好萌宋承宪啊 小恩熙追车那段 我每看必哭- -
(NA)	眼泪啊不要钱
(3星)	在小孩们长大的那一刻，我对此片就无爱了。。。
(5星)	无论看多少遍都泪奔~
(5星)	当年看的时候一把鼻涕一把眼泪啊
(4星)	我们的小文啊
(5星)	入门韩剧
(5星)	虽然现在看来许多人会觉得俗套不已，但放到当时，这是谁也不能否认的韩剧中的经典，有多少人不是因为它而开始注意韩剧的呢？所以我选择力荐！
(5星)	经典中的经典啊! 大爱乔妹! 
(5星)	第一部韩剧~
(5星)	绝对的经典韩剧！！！
(5星)	看过不下二十遍啦，最近又在看。。。有次还被肖忆撞到在边看边哭是吧……
(4星)	这部戏里我最喜欢的还是男配元彬，只是老是有人搞不清他和那个玄彬，玄彬哪有元彬的那种气质啊
(5星)	不知道看了多少遍，但是每次哭的和个泪人一样
(5星)	这是韩剧催泪鼻祖了。。豆瓣给分太吝啬了
(3星)	不喜欢悲剧。
(4星)	影响了一代人。。。
(3星)	那时候也只觉得宋承宪帅~
(5星)	喜欢他们小时候
(5星)	永远的经典！
(4星)	当年哭的跟什么似地，那俩小孩太萌了。。虽然长大之后的剧情就没怎么看了吧
(4星)	小时候很喜欢看。
(NA)	谁没年少过。。
(NA)	装忧郁的时候会翻出来看看的剧~怎么看怎么爱元斌……
(5星)	前三集看过很多遍 青春印记。。
(3星)	说是催泪大戏、、、   除了第一季小恩熙跪在教师外面 我跟着哭得一塌糊涂   再后来 就是演员自己哭了。。。
(3星)	我青涩的小时候看着哭着一头劲啊
(3星)	让我一集一落泪，韩剧啊韩剧，你是有多催泪
(3星)	当年那个哭啊 哪看着这样的帅哥美女啊
(3星)	纠结~剧情、帅哥、美女~
(4星)	经典
(NA)	好经典的韩剧~哭得稀里哗拉
(5星)	经典片
(4星)	当时哭得啊
(3星)	在一台有点破的电脑上总算断断续续看完了，很压抑，很悲伤，很合我的口味。可惜，那么好的剧情在10年内已经被用滥了……
(NA)	我看的第一部韩剧，超喜欢宋慧乔
(5星)	看过就没有忘记～～～555555
(4星)	很感人的老剧了...
(5星)	五颗星只因为这是我的第一部韩剧，真的曾为它哭的撕心裂肺。但是不得不说，直到十年后的今天我仍无法理解，二人的父母为何无法接受二者的结合？既然不是亲生的女儿，留在身边当儿媳妇岂不妙哉？
(5星)	在我心中无法超越的情感
(NA)	我看的最完整的一部
(3星)	当时看得要哭死。。宋慧乔那个时候有些肥。。
(3星)	小星星全都给元彬GG
(5星)	偶像剧套路的始祖？反正当年发挥的不错啦
(NA)	我们三哭的最多的韩剧
(4星)	催泪啊。。。
(NA)	没觉得有那么好，是一个悲剧的童话。男猪小时候太懦弱
(4星)	多么的经典啊~元彬多帅啊~
(5星)	最爱最爱的就是这部剧了~~
(NA)	催泪啊
(NA)	没什么好说的，这部是我初中电视上看的了。当时才知道韩国女人还有长宋慧乔这么漂亮的。后来看到她的就会看上一眼。不过，现在不怎么看韩剧了。
(3星)	他妈这么久都死不去
(4星)	看韩剧还是这个经典啊..下辈子我要当一棵树 永远活在他身边
(5星)	第一部韩剧
(5星)	我好像一共就看过这一部韩剧- -不过还是不错的
(4星)	是我看的第一部韩剧吧，更喜欢国语配音的版本，第一次看哭的死去活来的，特别喜欢小时候的他们。或许是第一部吧，所以那种感觉很好，一直放在心里，忘不掉。后来的韩剧就多是这个路数了，就很少再看了。
(3星)	一般般。。。
(5星)	唯美~悲剧是把人类有价值的东西毁灭了给人看~
(4星)	骗走我年幼的眼泪...
(4星)	其实我萌少年和Loli。其他情节54
