http://movie.douban.com/subject/2190927/	刑事侦缉档案
(5星)	 每天回小窝第一件事就是看这个~~~幸福            
(5星)	 那个时候 看的片子不多 这个算是最悬疑精彩的破案片了             
(4星)	 |1136:2019|            
(5星)	 被这个系列熬死了……差点儿不能接受他们各自搭另外的戏囧RZ            
(5星)	 I~IV            
(4星)	 这恐怕是我接触的最早的港剧，别的都不记得了，就觉得郭可盈气质很独特，还挺fashion的            
(5星)	 大爱……            
(NA)	 喜欢……伦理，法律，爱情——纠结，挣扎，选择            
(4星)	 看得最后几个配音港剧之一了，打那以后我来了广东，再也听不到东方卫视配溏心风暴那种恶心东西了            
(4星)	 勇捷同心！            
(4星)	 追TVB            
(NA)	 很喜欢的侦探剧            
(4星)	 记忆中的高洁 大勇            
(5星)	 太太太好看了...最爱的TVB剧。个人收藏了DVD全集，可惜由于盗版，第三部一开始的内容被盗掉了...伤心为什么TVB现在拍的大多数都没以前的老片子有质量了呢？            
(NA)	 老片了，记得当初可是一集不落的看完了。。            
(NA)	 风靡一时            
(5星)	 真的是看TVB长大的            
(4星)	 郭可盈            
(5星)	 最早看的也是最喜欢的刑侦剧            
(5星)	 强力推荐的港片。那时候的郭可盈还有点肥肥的。            
(4星)	 經典片~小學開始看的~看了還好幾遍~            
(5星)	 没的说，百看不厌            
(NA)	 喜欢            
(3星)	 我还在上初中            
(4星)	 破案剧集启蒙作品            
(4星)	 小时候记忆~            
(NA)	 我妈特喜欢陶大宇~            
(4星)	 应该算是最早看一批港剧了 算是经典            
(5星)	 童年的回忆啊~喜欢高婕            
(4星)	 年轻真好！...高婕当时真美啊~勇哥当时真美啊~忠义......咳咳。            
(4星)	 那时候最爱看的港剧！~~~            
(5星)	 幼年时期看的时候给我吓得……跟看柯南似的恐怖感觉            
(4星)	 港剧警匪片启蒙            
(5星)	 偶是TVB控            
(5星)	 经典            
(5星)	 经典            
(NA)	 算是很经典的刑侦题材影视作品了吧            
(4星)	 其实除了案件其他的都太无聊了~但是案件真的很好，那些爱情故事会变成俗套，但是案件依然蛮吸引人，哪怕已经不够新颖~            
(5星)	 想当初，偶简直是疯狂喜欢这部片啊            
(5星)	 太经典了            
(5星)	 这可是我记忆里的一道风景线啊~~            
(5星)	 感情真            
(4星)	 挺经典的，湖南台有一阵儿演完123，返回头接着演123。。。            
(NA)	 多年之后，剧情仍然记得            
(4星)	 大勇 高婕 忠义~哇塞我还记得            
(5星)	 开创刑侦片的先河之作。            
(NA)	 其实我蛮不喜欢KK的耶。。。            
(5星)	 我最爱的破案片之一啊            
(4星)	 从这部戏开始喜欢可盈的。。            
(4星)	 儿时最爱，入门之片            
(NA)	 这两位可谓是荧幕情侣            
(5星)	 一部经典 陪我走过青葱岁月的经典            
(4星)	 当年的可盈还有点青涩~~~~哈哈哈……            
(NA)	 开启90年代警匪片的新纪元，KK和大宇的经典组合陪伴成长            
(4星)	 打发时间的好东西            
(4星)	 放太多了            
(NA)	 这是记忆中我非常喜欢的一部电视剧```            
(NA)	 我怕故我爱            
(NA)	 超经典的，超爱，也是我看过很多遍的~顶~            
(4星)	 勇捷同心            
(3星)	 爱上TVB的第一部电视剧呀~~            
(5星)	 喜欢这个时候的高婕，白T恤的大勇喜欢把食指伸出来，大约胸口高度，指向对方，说起话来会不自觉点头，很有力度。还有憨憨的爱摸脖子的忠义~            
(5星)	 小时候很喜欢            
(NA)	 很早很经典            
(5星)	 经典 是我喜欢的破案题材的影片 目前又在重温~            
(4星)	  郭可盈 陶大宇 1995             
(5星)	 经典            
(4星)	 高捷~~~~            
(5星)	 初中的最爱            
(NA)	 自从换主角以后就不看了。。            
(5星)	 小时候看的第一部推理剧，当时觉得巨好看。            
(5星)	 TVB的经典之作，看这片子的时候初中时候的记忆“呼啦啦”全涌了回来            
(4星)	 好～            
(5星)	 这可是当初我最喜欢的港剧，剧情相当吸引人。            
(4星)	 也是经典。超级银幕情侣档            
(NA)	 小时候的回忆啊,百看不厌,经典            
(5星)	 这是个系列剧，好像是四部，共80集，当年我一集都不落。我喜欢香港的警匪片，虽然有时有雷同之嫌。            
(4星)	 不喜歡刑IV~不喜歡宣萱~~更不喜歡古仔配宣萱~阿佘的敗筆            
(NA)	 时隔多年还是忍不住再看一遍            
(NA)	 这系列里最经典得就是1了～～            
(5星)	 经典啊！看了不知道几遍            
(4星)	 很经典            
(5星)	 陶大宇的经典之作，值得收藏            
(NA)	 TVB又一經典            
(5星)	 感觉真的算是TVB中的经典            
(5星)	 TVB案情剧的经典之作            
(4星)	 欢喜冤家，结了好几次婚都没结成，好在有情人终成眷属            
(5星)	 以前的TVB比现在好看多了。            
(5星)	 童年大爱的电视剧            
(4星)	 被TVB迷倒了            
(4星)	 探案的片子，这个真蛮经典的            
(5星)	 接触得最早的港片之一。。。            
(NA)	 初中时超爱            
(3星)	 第一次认识郭可盈的片子~            
(4星)	 非常精彩的警匪大战，很好看。            
(NA)	 有些案子还是很精彩的。。。。有的看到后面还是能猜出来的。。。。。            
(5星)	 喜欢            
(5星)	 那绝对是经典了            
(4星)	 就这样爱上港片，什么时候有空从头再看一遍……            
(NA)	 算是经典了吧。N久前看的……            
(NA)	 經典。            
(NA)	 从这里喜欢上他们            
(4星)	 没看完。            
(NA)	 高中时酷爱的            
(4星)	 还是最早的几部好看在过去算是比较经典的警察港剧了            
(4星)	 [大学] 居然有很多剧情在北京            
