http://movie.douban.com/subject/6013886/	你为我着迷 넌 내게 반했어
(2星)	 我的容和被毁了。            
(2星)	 实在是硬着头皮快进看完的            
(4星)	 歌不错~            
(2星)	 其实内容真的很俗套，没有爆点，内容空洞也没有高潮，除了郑荣和同姜珉赫好看其他都不行。            
(2星)	 敢不敢再难看一点，编剧敢不敢再弱智一点！韩剧说你不切实际，你还真处之泰然了! 尼玛这琴是给你这么放在雨里淋的嘛！这是一个国乐系学生有的举动么！Anyway, 还是满足了我对美男里男二女一的恶趣味的，罢了。。。            
(3星)	 本来想给2星，为了小宋，加1星吧。            
(NA)	 - -已弃剧，真特么墨迹            
(4星)	 不得不说，配乐不错。            
(5星)	 好久没感觉的激动，悸动！青春啊～            
(5星)	 夏日里的小清新            
(4星)	 音乐好听，画面好看。其他一般。            
(4星)	 交响情人梦看着想睡觉，竟然把这部看完了。啊~不可思议，OST太好听了。。            
(4星)	 这剧完全是为了弥补容和在美男里没有追到朴信惠的伤吧？容和同学还是适合演深情男二不适合霸气男一....            
(NA)	 有点无聊            
(4星)	 还是那个导演，讲的爱情总让人难过。            
(5星)	 前8集应该叫姜新禹翻身记。。            
(3星)	None
(5星)	 看完了美男决定加一颗星。。            
(3星)	 弃剧果然是说说的，今年小清新大热。。            
(3星)	 主题曲还是不错的~~            
(4星)	 高潮在最后四集，前面部分各种平行线分不清主次，后半才找到感觉。演出作为背后假唱那段真心感动！            
(2星)	 要不要这么纯..            
(2星)	 可惜了几位主角们，傻蛋的剧情，拖沓的节奏，煽情都会令人作呕，可是喜欢朴信惠呀！悲催            
(5星)	 缩短成一部电影更好看 是不 喜欢郑容和啊            
(3星)	 郑容和还是姜新禹，朴信惠还是高美女 ps：唯一亮点：敏赫演的完全赞！            
(5星)	 虽然编剧一般，但是喜欢容和，五星給他            
(NA)	 朴信惠粉丝。在原来是美男啊之后讲诉郑容和与朴信惠的爱情 ，算后续吧。            
(5星)	 和其他剧情不太一样   他是音乐剧  有着一种简单的爱   是那么的自然   不像其他剧情那样   打打杀杀 的 这不是爱情吧   而且很多剧情都是这样为爱情打打杀杀的   都已经看得厌倦了             
(5星)	 因为是容和xi啊……            
(3星)	 主题曲好环绕啊。。。            
(3星)	 还行吧 比较狗血 不过很美好 我喜欢纯纯的feel            
(3星)	 很喜欢这种小清新的校园剧，虽然前几集有些幼稚，但是越到后面看着越喜欢。郑容和把角色诠释的很好，那种感觉演的很到位~~也许大家都会批评编剧俗套的剧本吧？但我觉得情感表达出来了就是成功的吧？何必苛刻何必强求？校园剧表现成这样在短短的15个小时已经不容易。            
(4星)	 最近我唯一沒有快進的電視劇。。            
(4星)	 青春有张不老的脸，整个假期，看着剧中的人哭了，笑了，团圆了，心里的某一处好像也被治愈了，刚刚大学毕业的我，多少次，疯狂思念着曾经的一切，睹物思人，梦里辗转反侧，一切都不会走远，很多东西，在我心里，我想，这就够了。            
(3星)	 编剧实在是...            
(4星)	 找到这样的男朋友就嫁了吧！！            
(2星)	 三集弃剧，唯一感冒的是那个很能吃的鼓手，很萌的说！            
(3星)	 依旧跳着看的            
(3星)	 狗血剧情 三星只为两位主角            
(3星)	 了不起的韩棒子，名扬四海+中央舞台+……真想找个时间列个清单 = =            
(3星)	 开头真的不错 久违了的青春校园音乐主题 可是这韩剧的虎头蛇尾 实在是。。。每次结尾都洒狗血 哎~~            
(3星)	 最一開始是因為是美男啊才來看的。一邊吐槽著幾度覺得把美男和新禹毀了好嗎一邊秉承著既然開始就一定要完成的固執把它看完了。至少最後結局的時候我覺得真好啊。所以就好了。那麼再把是美男啊看一遍？哈哈。            
(4星)	 就是结局不怎么的，其他的都还好            
(5星)	 真心不嫌弃圣母跟面瘫······长相最重要==            
(3星)	 我是抽风了才快进看了~三星完全是为了朴信惠还有众多好友喜欢的郑容和。。。编剧真是......            
(3星)	 就算是青春偶像剧也不用装纯吧...虽然很喜欢容和，可是不得不说，最后那个kiss也太不激情了吧....再青春也不是这个样子吧...            
(3星)	 看人来的。其实我挺期待原作者的剧情的啊喂。            
(3星)	 容和~~~~            
(4星)	 剧情很平淡，但是，平淡才是生活，生活本來就是平淡的。太多太多的偶像劇追求的是人物關係的錯綜複雜，感情的跌宕起伏，這種劇情多了感覺也會麻木。所以，這劇恰好給了我生活的真實感，我們都曾經年少輕狂，都會因為選擇而作出取捨，都會為夢想奮鬥，都會經歷劇中人物經歷的事情，那都是我們的經歷。            
(NA)	 超级喜欢郑容和演的李绅，又帅气又迷人。            
(5星)	 很喜欢            
(4星)	 难得看棒子剧啊。。男猪脚真心帅啊。。。            
(3星)	 为嘛我的眼光总和收视成反比            
(2星)	 实在看不出好看的地方~~            
(3星)	None
(3星)	 最后一集突然发现之前完全没虐有违狗血韩剧的一贯风格于是开始虐。最后拍到男猪女猪各自走过以前走过的地方居然尼玛还是哭了啊。            
(4星)	 容惠CP！！！            
(NA)	 一般般            
(4星)	 为这“新禹”看的！！            
(4星)	 我只是想到，要是徐贤的话，应该会更加完美吧            
(3星)	 最后还是狗血的让我看不下去了。如果，当这剧是为了填补《原来是美男》的遗憾的话，倒是能让人着迷。            
(5星)	 青春的爱情也可以如此美好而深刻。            
(3星)	 里面的小架子鼓手挺可爱。。。貌似女配们质量不高。。。            
(3星)	 音乐类主题，夏日小清新风格，服装很赞。女主挺喜欢，男主气场不够还有点面瘫。剧情太散，没什么亮点，尤其是前半部分完全是在打酱油，特别适合快进观看，后半部分好像是换了编剧的缘故好了一些。里面的歌有几首很好听。总之比较适合用来消磨时间。            
(4星)	 为音乐，为容初丁            
(2星)	 只有主角的脸可看啊 剧情啊剧情            
(NA)	 这学期看的唯一一部韩剧 感觉挺不错的 青春 音乐 爱情 都是我喜欢的主题 很适合年轻人看~很喜欢郑容和和朴信惠 看美男时就希望他们一对 这部剧终于在一起啦~            
(5星)	 等了两年也算等到了对新禹哥和美男的那个遗憾的弥补 冲这个也值得一看了。            
(NA)	 比想象中好看多了，校园中青春，音乐魅力，音乐剧、伽倻琴与吉他合奏，真好丰富啊。配角们都很出彩。俊熙真的好可爱，歌唱的那么美好天真，爱吃的好吃的可爱，三句离不开饿啊吃啊。主题曲都好听。容和的演技还是要磨练啊，歌还是唱的很好听，青春逼人，吉他弹的也很帅帅的。真的非常chuwa。            
(4星)	 和美男差了很多，编剧莫名其妙，不过还是力顶郑容和            
(3星)	 这里的人怎么总受伤，太假了！为了剧情轮着受伤！            
(5星)	 容和偶吧眼里有颗痣欸~好迷人╮(￣▽￣&#34;)╭             
(3星)	 演员的张力还远远不够~~~            
(4星)	 这个夏天骑着白色自行车的男子            
(5星)	 我喜欢这片子清新的色调  是你让我明白什么叫做遇上一个人生命全改变。未来就是现在            
(3星)	 小清新轻松片            
(4星)	 把4、5、6、7集都跳着迅速看了之后(实在是令人很不爽)，8集以后的剧情看着舒坦，清新的爱情，小感动，男主的线衫都非常漂亮，女主的着装实在惨不忍睹，这个剧的造型师是女的吧            
(3星)	 如果更加偏重于梦想，这片会更好些。为什么韩剧不能像日剧，拍得纯粹点？            
(5星)	 主要是觉得里面的歌都还不错            
(3星)	 是我家电脑太宽屏了么~为毛朴MM这么的宽敞。。。            
(3星)	 最后一集太狗血了。            
(3星)	 恋爱通告+glee+郑朴噱头.... 用来发花痴不错&gt;..&lt;            
(NA)	 着迷，，，看完真的着迷了，，，不知道韩国观众怎么想的，审美不同吧。。总之我们中国观众喜欢就都了            
(4星)	 期待太高，比想象中差些            
(2星)	 剧情太弱了。            
(4星)	 又一部追完的韩剧 我太有毅力了 音乐体裁很开心 有FTIsland更开心 虽然那首歌很悲伤            
(3星)	 某淡原话：中规中矩的一部戏            
(5星)	 为了荣小和，虽然它略显仓促，但是结局终于两个人在一起了，再有神马坑爹的编剧，还是顶它了            
(5星)	   太好看了 ！！            
(4星)	 跟音樂搭噶的就不膩味了好不好?!            
(3星)	 前一半看得我欲死欲死，后一半面瘫君小宇宙大爆发，总算回到原来是美男的水平了。PS：强烈建议女二再去整一次容，鼻子好歪啊。            
(3星)	 前8集都是望着一个面无表情的男主角耍帅，后4集望着一个以为自己很重要的女主角纠结，最后一集望着男女主角徘徊啊徘徊，无聊啊无聊……            
(3星)	 帅哥美女很多，结尾结得太仓促了，感觉不是很好...            
(3星)	 说实在的，这韩剧真的忒无聊。郑容和真的不适合演戏朴信惠什么时候变得如此造作，两个人貌合神离，真的无法让人喜欢啊！            
(NA)	 可算是撒点狗血又以甜蜜蜜大结局了            
(3星)	 真的是 要不是因为容和 我真是!死都不会看这部剧!我说过很讨厌配角戏很多的东西把 偏偏你要噶 三星我都觉得多            
(2星)	 画面比较好看，但是剧情很不合逻辑。。。            
(3星)	 男1女1完全是从美男穿越来的，人物也太多了点儿。。。            
(3星)	 哎，韩剧也就这样吧            
(3星)	 弃。。            
(4星)	 小清新风格啊。那个长满爬山虎的露台真好看。            
(5星)	 青春需要梦想、荣和 还有 信惠 告诉我们梦想是什么 很可爱的剧~~~音乐超级好听。、以前很不喜欢摇滚的我都爱上了这里的摇滚、魅力很大的说、他家他的男孩儿真有范儿            
(NA)	 挺好看的。发现韩剧和音乐有关的似乎都还不错。            
(4星)	 剧情神马的不好,但是喜欢信惠..            
(5星)	 或许是因为&lt;原来是美男&gt;的关系才开始关注这部，虽然剧情很乱，也有点狗血，不过还是被OST，大体上纯纯的恋情，小清新的取景所吸引，怎么说都比较养眼的说~            
(3星)	 完全是为了看容和的，剧情赶不上DREAM HIGH            
(4星)	 喜欢郑容和。            
(3星)	 主题曲倒是挺好听的。。。            
(5星)	 这不真的是我要的那种            
(3星)	 女主角苦逼             
(3星)	 演员选的很吸引人，但是剧情实在不给力，没有深入人心的感觉~            
(2星)	 无语。。。            
(5星)	 真的都迷上了，我很着迷            
(NA)	 看过，可是后来就没有看的冲动了            
(3星)	 郑容和太帅了            
(5星)	 我爱容和            
(NA)	 她们说不存在信这样又帅又温暖又有才的男生，我信有，就会出现了            
(3星)	 我只能说《是美男啊》我弃剧了，但这部没有。。。至少我觉得这部的故事设定比美男的要合理的多...（于是其实是我老了是吧= =）不是郑容和饭甚至有段时间安替过他...不过这部剧演技的确进步了，那首主题曲真的很好听~耳中自动循环了~~            
(2星)	 色彩挺靓丽……            
(4星)	 校园偶像剧啦~里面的衣服很漂亮            
(5星)	 强烈推荐            
(4星)	 里面的歌很好听，郑容和没话说，帅            
(5星)	 画面很美，主角养眼，看得很开心。            
(5星)	 你 被我迷住了。好喜欢容惠的组合啊~~~多年不看韩剧的我凌乱了！！！            
(5星)	 喜欢郑容和没话说~~~~~~            
(3星)	 实在是太拖沓了。。。            
(3星)	 完全是冲容初丁去的 以及朴信惠我要踹死你            
(3星)	 爬山虎很有感觉。            
(5星)	 好温馨~好快乐~            
(2星)	 剧情拖沓无亮点无重点。高美男还是那个高美男，无突破。姜新宇还不如那个姜新宇，脸上永远都是那几个表情。女二的鼻子歪得太华丽丽了，对于选角的人理解无能！9集弃。            
(5星)	 郑容和狠帅~、            
(4星)	 最后的结局。好吧。其实还不错啦            
(4星)	 现实中没有的对校园爱情的幻想。。。泪。。。            
(2星)	 故事太无聊，即使人物再偶像也于事无补            
(5星)	 洗眼。            
(3星)	 让我说什么好呢            
(4星)	 剧情不好 不过wuli Shinhye 太cute了~            
(NA)	 很配的一对，很好听的音乐，很纯粹的校园爱情            
(3星)	     看似蛮好看的，但剧情路线较老，有点美国歌舞青春的模版            
(3星)	 有的地方好搞笑哦 ～            
(5星)	 很喜欢朴信惠，郑容和期待两位还有好的作品带给大家~~~~            
(5星)	 荣和~~~            
(3星)	 歌曲都很好听            
(3星)	 就是对校园剧抵挡不了啊~~~            
(3星)	 Hearts Strings            
(3星)	 信慧的服装喜欢 最后结局真突兀。。。            
(4星)	 青春热血花痴的幼稚时代 深夜福利            
(5星)	 后面真的很好看！！            
(3星)	 遇到后面剧情越没法看，我就是来看朴妹妹的长裙来了，多显瘦啊  PS  眼不下去了吧  就这样草草收尾了啦            
(3星)	 弃。比起男女猪脚，我更期待男2和女2的love line，主人公们刚好是我不喜欢的内种类型的人，感脚郑容和演技不太自然，不在剧中的样子更帅气。            
(5星)	 励志，虽然有所欠缺，但是两个主角真的很震撼..            
(2星)	 只能看男女主人翁的打发时间之作            
(3星)	 男女配角不错,,小清新的感觉也不错            
(5星)	 没有跌宕起伏的剧情  蛮好的            
(4星)	 历时一年 终于看完了            
(3星)	 卡司卡司~歌很好听~剧情嘛，有点小清新，跳着看还成~结尾很仓促啊~整部片子色调拍得很清新，年轻人的爱情故事嘛~看完反倒没那么喜欢容和了~            
(3星)	 纯粹是为了演员而看，编剧你可以歇菜了，剧情真不咋地，浪费演员。            
(3星)	 只能说OST真不错            
(2星)	 烂编剧浪费好资源            
(4星)	 全是冲着朴信惠去的哦。。            
(3星)	 对不起那么美好的预告片  满眼绿色爬墙虎              
(3星)	 目前为止还行             
(NA)	 结束了  美丽的爱情。好听的歌            
(4星)	 你为我着迷。你迷上了我。            
(3星)	 看小年青            
(3星)	 我比较追求情节……            
(NA)	 跟着妈跳着看,,,= =            
(4星)	 画面很美，赏心悦目~~            
(4星)	 其实还不错拉~歌很好听！虽然容和oppa一直处于一张无比面瘫苦逼脸，但还是好喜欢~~只不过这娃也忒小了，深受打击！！            
(5星)	 为啥分这么低啊？？？大家看了城市猎人之后再看这个估计能给高分了！！多轻松愉快啊！！！要什么剧情啊啊 逻辑啊。。。            
(NA)	 前面还不错。。。。9集之后就SOSO            
(3星)	 诶。虽然没有连载完。但是拉看了很多。果然弃了。不是很好看啊。是美男也是给我这样的感觉啊。但是还是贱贱地看了。谁让我喜欢这样的青春剧呢。诶。。。。            
(5星)	 好好看,人好看剧好看.好好听!!              
(5星)	 很喜欢这部剧，也超喜欢容和!            
(5星)	 容和太帅了，朴信惠有点婴儿肥，好可爱 哒            
(3星)	 看看脸就行。            
(3星)	 哦，朴信惠发福太明显了。郑容和倒还是一如既往地帅~喜欢那首插曲《你为我着迷》~            
(2星)	 又一次完全为了男人的颜而看，很想加一个烂片的头衔，甚至看到一半就实在是看不下去，但是为了容和还是不完全贬低吧            
(5星)	 帅。            
(5星)	 大爱新宇            
(3星)	 期望值过高了。整个剧一句话可以概括——汇源要不要当女猪脚            
(4星)	 弃剧！音乐没有DreamHigh好。也没有喜欢的人在里面演。剧情拖沓。四星是因为至少让我见识了韩国的国乐            
(4星)	 一星给大学爱情，一星给容和            
(3星)	 初4星，看完3星            
(5星)	 喜歡容和哥哥的粉絲們一定要看啊~            
(4星)	 到后来就没什么感觉了            
(2星)	 对这种纯偶像的片子真心不爱了！宋昌义大叔挺实力一人干吗要演这部片子，实在不解啊啊啊            
(3星)	 表示结局没点创意            
(5星)	 看是美男啊就很喜欢容和，现在更喜欢了~~~~~~~~            
(4星)	 没有所有评论的那么差吧。除了女主角的服装全部很难看。。。            
(3星)	 音乐好于演员好于编剧~好吧我承认我是个校园控~虽然很傻很天真~也很纯很简单~            
(3星)	 因为女猪脚扣一星            
(3星)	 嗯哼~玩Band的男人都是最摸西搜的！~~敏赫是小萌物=33=~~~！最近很芭蕉CNBlue啊~嘤嘤嘤~            
(3星)	 前面几集有点意思，音乐不错，韩国国乐和西洋乐器组合演奏的卡门，效果很好。中间部分很不喜欢，女主角没点自尊，男主角被老师拒绝，女主角在旁边哭，有病啊。女老师一开始看的时候觉得嘴巴好象有点歪，看到后面觉得挺漂亮。            
(3星)	 俗不俗…            
(2星)	 木有意思。。。            
(3星)	 一部电影就能整明白的事非得十五集讲完 是得有多墨迹！            
(5星)	 这名字俗的啊，我都不好意思跟人说。。。不过吧，主角也算是弥补美男里的遗憾啦~~            
(3星)	 除了编剧。其他都不错。就是画面养眼。内容太差。            
(3星)	 这是瞎折腾什么呀。我都吐槽无能了。看看主角两只的剧照还是挺美的            
(3星)	 我急需点青春偶像爱情喜剧来缓解我的大脑   果真够青春够韩剧   只是 完完全全败在编剧大叔大婶手里了啊！！！            
(4星)	 容和偶吧的演技不行啊，要是徐贤也来就好了~~~            
(4星)	 伽倻琴~            
(4星)	 狗血又怎么样编剧不给力又怎么样我就是喜欢这种色彩鲜艳阳光铺洒的感觉            
(3星)	 配乐不错，一直都还挺喜欢古典乐的。            
(2星)	 好演员也挽救不了烂剧本。            
(4星)	 第十集好腻歪~看的我都颤抖了，李信，你是我的理想型！最后一集教授的鼻子歪到不可思议的程度了            
(3星)	 从开始的不给力到渐入佳境，有点校园偶像剧的样子了。            
(5星)	 满分中的满分/最后一集狂飙泪 我爱郑容和!!!!我爱李绅!!!!!!            
(5星)	 青春无敌             
(3星)	 水木市场萧条...  外加无聊..  就看看解闷吧.. 10集来得太陡.. 11集马上又要纠结 = = 这剧... 哎 纯属解解闷..  话说姜珉赫简直 演的太傻了!!!!!            
(4星)	 终于结束了。            
(5星)	 越来越有爱啦。~            
(3星)	 看完了  OST 很不错            
(NA)	 看了六集。实在|。。。追剧无能..            
(2星)	 又是被nc90后微博骗过来的片子！x的，冲着美男和新禹哦吧的配对过来的。这真是完整的4角恋循环圈了。以前的剧，就是有再多角，男女主角都是纯洁配对的吖。            
(4星)	 这是一部蛮妙的剧，前后两个半截几乎互不关联。人也蛮妙的，前半段郑童鞋装酷装成真正的天然呆，后半段才终于活了过来，最奇妙的是小郑明明有那么华丽丽又奔放的吉他技术，还有一副充满情感的好嗓子，却偏偏永远都是那张呆得可以的脸，只能说世界之大无奇不有了。另外小吃货很可爱，朴mm一如既往地清新            
(5星)	 他们终于在一起了~~            
(5星)	 最近唯一在追的韩剧了，虽然口碑不好但是是我的菜。            
(5星)	 大爱啊～            
(3星)	 只是为了郑容和看的。有人说和《dream high》有点像，怎么会？完全不同档次。《d》剧里除了爱情，还有关于梦想的种种，懵懂的，胆怯的，无奈的，勇敢的。“或许他们都是为了成就彼此而相遇，是否走到最后，已经不重要。”内容虽然平实，却内涵丰富。相比之下，此剧差了很多。演员诠释得也不够精彩。为            
(5星)	 很好看啊，很喜欢            
(2星)	 ╮(╯_╰)╭没看头。朴mm太胖了。。剧情么惨不忍睹            
(5星)	 灰常灰常好看滴！！！一定要看哈！            
(4星)	 后面太甜了亲 受不了！            
(5星)	 就单为这俩人而看            
(5星)	 看美男的时候就绝的挺可惜的，现在可以如愿了，不是说女主多漂亮，光是没有整容这一项就听美得，整容整出来的都一个样            
(2星)	 无限快进。            
(NA)	 终于这两人凑一起了= =            
(4星)	 清新~            
(3星)	 弃剧！~~  小帅在哪里？            
(3星)	 哎~~剧情天地可鉴啊~~真的纯粹为了演员~            
(5星)	 很久不见棒子出产这样的偶像剧了。。。。。。他们都是正常人，有正常的行为，正常的思维。清新自然，没那么多刻意的噱头和分粉红，人物性格饱满而鲜明。记住，这是部关于梦想与爱的故事，不是简简单单的男主与女主的浪漫偶像剧。            
(2星)	 一星给演员……一星给配乐………………            
(3星)	 我还蛮喜欢郑容和的。            
(2星)	 朴信惠1星 郑容和2星 剧情-1星            
(4星)	 给3.5星。郑容和演技真的不咋地，面瘫君。纯粹被姜珉赫给治愈了，演的太可爱了。剧情有点弱，但是作为轻喜剧打发无聊生活还是好的~            
(4星)	 第八集开始 集集粉红阿            
(2星)	 除了音乐 其他完全垃圾            
(4星)	 为人不为剧啊  &gt;&lt;            
(3星)	 呃···因为原来是美男看了这剧···觉得男二在这剧里终于不用悲情了···但是，的确，这剧情节什么的不如美男，有些拖沓，人物也不像美男里那么鲜明···信惠啊，你在这里面的服装让我很无语啊···但是，我还是会看的···            
(3星)	 只是觉得很一般的一部，虽然说觉得这次美男和新禹终于能相爱了，但是不能弥补惨白无力的剧情，何况在美男里我本来就爱张根锡。话说郑容和演戏怎么老同一个调调，感觉这部戏里跟在美男里的表情啊什么的都差不多。            
(5星)	 超爱！            
(3星)	 不知道為何第一時間看過新禹哥的時候還是覺得他像第二主角，感覺好拖            
(1星)	 看到第二集，果断放弃。剧情太弱，女主太瞎，男主面瘫！            
(4星)	 额。。。额。。。忽略表演部分            
(2星)	 前面没点味,后面还能看了    编剧大人还是免不了狗血了一把啊  诶  这才是韩剧啊            
(2星)	 棒子们越来越不长进了。            
(3星)	 俊熙~~~            
(3星)	 么有想象中的好~有些歌还不错            
(3星)	 啊，可以预测剧情了。            
(1星)	 朴信惠那胖子            
(NA)	 不得不说 太不给力            
(NA)	 男主角还是弱了，张根硕气场太强大了。            
(2星)	 要不是这俩人演，这剧还能看么            
(3星)	 烂尾            
(4星)	 我就是为容和而来的~            
(5星)	 因为这部剧爱上了郑容和&amp;CNBLUEPs.音乐真的不错            
(5星)	 校园的小清新  因为这个又重新去看了原来是美男              
(4星)	None
(2星)	 除了主角还有什么好看            
(4星)	 结局有那么点牵强呀= =。。。。为了两主角。。            
(5星)	 后面超级好看啊 整哭我了喂            
(4星)	 不明白为什么收视如此惨淡,青春校园剧不就是这样嘛.            
(5星)	 觉得美男和新禹终于能相爱了，所以好期待，一直在追着看。目前到第九集。虽然YY成分有点重但是真的很甜蜜啦。先给五星了！烂尾就改三。            
(4星)	 小清新。我是去看容惠cp的。编剧太差劲。OST很好听            
(4星)	 前几集主线不明 还行吧 好像没那么矫情   大剧情太狗血 - -             
(5星)	 是的微笑吧..把悲伤吓跑...            
(5星)	 超级棒！！！            
(5星)	 好看呢。。。            
(4星)	 最後令人悲傷的時間還是可以忍的。不錯。第一次追著看吖。            
(5星)	 只是觉得很一般的一部，虽然有最爱的郑容和，但是不能弥补惨白无力的剧情。            
(3星)	 剧情是及其恶俗的 但是朴信惠我是喜欢的韩国女优一枚～            
(5星)	 爱郑先森不解释。            
(4星)	 歌还行            
(5星)	 喜欢容给的感觉。淡淡的……            
(3星)	 剧情不做评论。。。冲着男主看的。。。            
(NA)	 吃货最高            
(NA)	 好难看好难看的偶像剧。朴信惠还是适合演小子。男的也不给力            
(5星)	 清新的感觉。和Dream High很像。            
(4星)	 对于剧情发展有点小小的失望，太平淡了！！幸好戏里的音乐元素很强大，不然还真没有继续看完的动力。            
(3星)	   郑容和  哈哈，你们俩再续前缘~~~8集之后终于进入主题了            
(NA)	 绝对好看            
(2星)	 6集弃之            
(3星)	 真的是为了看郑荣和才去看的这部戏，要不真的不会去看的。            
(5星)	 剧情中间还好，后面拖拉，还是五星，没办法，主角我都爱啊            
(3星)	 冲着yooong去看的            
(5星)	 原来是美男啊姜新禹复仇剧~~~BJ狗血怎嘛了！！！演员很好！！！            
(5星)	 真的是为了郑容和oppa看的~~~            
(3星)	 其实我没看完            
(4星)	 唔。可以给四星。看在整部剧的音乐都很棒的份上。            
(3星)	 为何我觉得他俩毫无火花可言！！！郑先森我还能爱你多久！！！&gt; &lt;            
(3星)	 恩，其实剧情是有够无聊，但是喜欢朴信惠和郑容和的那些照片，就一直追到现在，感觉还蛮心水的，因为city hunter剧情太紧迫有些无法喘息，这部剧到可以放松下。            
(5星)	 感觉很不错！~~            
(3星)	 一开始不清楚，慢慢有点小清新，没过瘾就结束了！            
(3星)	 最终还是弃剧了，感觉朴信惠还是跟张根锡有气场一些。。            
(5星)	 大陆同胞也太TM跟风了吧，《着迷》非单纯爱情剧，所谓的主演戏份少也属正常，是谁在那边说些有的没的。《着迷》宣传之初就设定了六大主演，是谁在那边喊两大主演的！只瞄过一两集胆敢恶评的家伙，瞎胡闹啊瞎胡闹            
(5星)	 很喜欢啊……完全着迷了……            
(4星)	 啥也不说了，剧情再狗血，也抵不过男主的帅气迷人            
(3星)	 感觉剧情缩减了很多(￣▽￣&#34;) 到最后还是撒了次狗血。。。不过，虎牙男很萌啊~~不要一直面瘫状，多笑笑嘛！很可爱的呀！            
(3星)	 追到13集，编剧太拖沓，果断弃！  又没剧看了。。%&gt;_&lt;%            
(3星)	 有好看的孩子            
(1星)	 觉得这剧只有演员的衣服是好看的。。看完了再也不替当年的姜新禹和高美男没有走到最后而惋惜了。因为两个人在这剧里面根本不配嘛。。。怎么难道我已经过了看纯爱小清新偶像剧的年龄了吗？            
(4星)	 阵容不错= =冲着人去的 有点平淡看了7集了都没进展啊            
(NA)	 老大，你太假了~            
(3星)	 这片子主人公走向怎么都咋么莫名= =哗一下就有意思了 李绅也转变的太快了 还有那个导演也好奇怪 明明都跟女老师在一起了还跟朴信惠搞暧昧= = 而且到第七集男女主人公才算是有进展真是||| 不过还是推荐 夏日里的小清新嘛            
(NA)	 剧情基调太缓慢,不太符合大众口味,换景之间的衔接太单调,有的时候甚至有点突兀;情节太一般,说话没有艺术感;最重要的一点是所有人说话的语调都是一个调都是普通人,但是又没有让人可以喜欢的对象,男主女主都没有吸引人的地方,建议作家赶快突出重点,开发点儿看点出来            
(3星)	 一般。完全是为了姜敏赫来看的 果然连中萌点嘛~            
(3星)	 为什么要叫南瓜  其实一点都不丑   有点胖而已            
(5星)	 结尾仓促了点，2个年轻人太为对方着想，看得要吐血了。飙泪~容和的演技很好！造福我们啊~~~            
(3星)	 其实没看完。已经没有那个心境看这类片子了            
(2星)	 前半部剧情混乱但至少导演的画面很美，后半部是剧情狗血画面粗糙演员各种黑眼圈            
(4星)	 感觉内容很清新 画面很明亮 是一部看了让人舒服的电视剧            
(5星)	 看喜欢的男人和女人哭，既难过又幸福。            
(1星)	 恩，跳着看了4集，加起来费时不超过20分钟            
(4星)	 青春甜美的很啊。像一个凉爽的我爱的夏天。            
(5星)	 5星是给我们家容和的。剧情发展太慢了..............            
(3星)	 狗血的剧情，仓促的结局。稀烂的剧本浪费了这么多好演员            
(5星)	 我亲爱的信禹和美男终于在一起了~~~~哈哈哈！            
(4星)	 实话实说，编辑你自己觉得自己编的怎么样吧。。朴信惠，你就当是还给姜新禹的吧。。。            
(3星)	 各种狗血各种幼稚，朴信惠明显胖了，衣服还蛮可爱的。            
(NA)	 二十分钟，弃。            
(4星)	 之前的　原来是美男啊　看着真揪心　于是抱着　终于能在一起　的心　看。。　　　内容相对平淡和现实　没有什么过分的美好　所以情绪也比较缓和　　或许也是我欣赏不来            
(3星)	 我晕死!!看个剧就是快进快进快进!!你妹怎么那么多次要人物呢???我看见那个跳舞的女面瘫我急火攻心啊!!我快进啊亲!!!!女一怎么地就喜欢上男一了类???男一怎么地就天天眼睛肿得像馒头类??到了第6集两个人还啥交集没有!!那一群群众演员就帮着拖剧情!老子冲着郑容和来的啊!尼玛!!            
(3星)	 这个，只好弃了哇            
(3星)	 这三颗星是给郑容和和他的蓝色系列！            
(5星)	 啊 新宇哥终于和美男在一起了 阿西吧！！！            
(2星)	 一般般伽倻琴不错            
(2星)	 都已经弃的差不多了，第九集突然有爱了。=====多烂的编剧才能编出这样的烂剧？！【影评http://movie.douban.com/review/5026365/】            
(4星)	 比较轻松的清纯校园偶像剧，场景很唯美，色彩很艳丽。剧情主线不是很突出，甚至让人感觉无主配角之分。这点对于期待美男和新禹能再续前缘的粉来说，非常虐。            
(3星)	 不怎么样，为了容和，值了。真的好帅、好帅、好帅！            
(4星)	 近期在追的韩剧~            
(5星)	 清新活力，唯美的拍摄，细腻的感情，动听的音乐。            
(3星)	 我是来看女主的~男主俺真不喜欢~而且，这戏节奏太慢了，情节又没啥新意......            
(3星)	 完全冲着两大主演去的。但好像剧情欠佳。哦，弃了。。。            
(3星)	 荣和的歌超好听啊！但不能和美男比拉            
(3星)	 剧情跳跃又狗血...为了男1看了7集到底值不值?=  =            
(2星)	 到第六集为止我都不知道在讲神马。。。。            
(5星)	 播到一半,給五星~很喜歡女主角,雖然臉有點普通            
(5星)	 看完了，里面的歌真心好听，有点小舍不得，呜呜~什么时候能再等到容和、信惠的新剧呢？            
(4星)	 虽然剧情很老套，但是还是很喜欢            
(5星)	 换了导演后才真正是个片，前面太虐了，信惠的演技真心没话说            
(3星)	 编剧绝对是朵奇葩啊！关系可以编的再乱点  最后两集没耐心看了            
(4星)	 题材不错，音乐不错，男女主角不错，其余人都是二等残疾啊            
