http://movie.douban.com/subject/4307476/	无法坦诚相对 素直になれなくて
(3星)	 影子也太重了- -|||不好玩。。太复杂了。。            
(4星)	 大家都找到能敞开心扉的地方了吗？大家都有属于自己的同伴吗？即使人生充满痛苦，我们也要努力的活下去            
(4星)	 黄金组合&gt;&lt;              
(4星)	 就是冲着瑛太和上野看的~~~ 有他们两个就够了            
(3星)	 还真是悲剧的俗套路线死循环啊不好看而且瑛太的衣服穿的太gay了第三颗星是因为我实在很喜欢上野            
(NA)	 看了几集，感觉有点虐心。。。            
(5星)	 日本的自杀率真有那么高嘛？            
(4星)	 晕，我竟然从2010看到2012 = = 真的拖太久了= =            
(5星)	 我觉得这剧的逻辑很混乱，但是，还是很温馨。            
(5星)	 很励志 九爷没有走向炮灰我表示点头不解释            
(NA)	 虐死了虐死了 这些个复杂的关系啊 啊啊 啊 受不了了 不过感觉很好啊  明明冲着在中去的 可是好喜欢瑛太啊 结婚啊ost一大亮点 太好听了            
(4星)	 比起last friends还是欠点            
(3星)	 如我一般，不坦诚            
(5星)	 嘛嘛~~冲着瑛太华丽丽的去了            
(4星)	 哎...            
(4星)	 结局太狗血            
(5星)	 黄金搭档            
(3星)	 其实我是冲着上野树里去看的            
(4星)	 不明白为nakaji男女通吃呢- -但是还不错啦            
(4星)	 喜欢上野和瑛太的配搭，喜欢linda，喜欢nakaji一刻不离身的小腰包，喜欢nakaji和haru约定的为彼此保留的无话不谈的空间；linda很柔软，nakaji柔中带刚，peach不如LF里的绘梨，haru明丽又有点纠结，doctor是憨直的傻小子；瑛太终于成为万人迷，撒花~            
(5星)	 一个以围脖为背景的故事，好像现在人的生活越来越多的谎言和无法坦诚相对了吧，故事还是不错滴，很喜欢里面的音乐            
(5星)	 看着有人欺负我们九爷就不开心！即使不是真的也不开心！！讨厌！            
(3星)	 有点狗血啊。。            
(NA)	 本來以為是《last friends》的姊妹篇，而且也是北川悅吏子的據 ，但是沒有我想像中的虐~~~呵呵。但也是一部聚合了多種情感的劇集。對瑛太先生的簡單的瀟灑真的是膜拜啊！！！！            
(4星)	 一开始的节奏很愉快,但是到了后面就变成谈情说爱的纠结偶像剧了~没有把微博的好玩地方说全            
(3星)	 剧情有点拧巴~            
(4星)	 为了上野和瑛太看得，题材还行，最喜欢的是主题曲，感觉还是不能超越Last friend啊            
(3星)	 大爱树理，但是说实话这部电视剧太过狗血。            
(4星)	 两个字，纠结，三个字，很纠结，四个字，实在纠结。但是纠结完了还是会忍不住一集一集看完。            
(3星)	 青年人的奋斗史，不过结尾更像韩剧了。            
(3星)	 hard to say!!金在中醬油都打的悲屈啊            
(2星)	 有两个喜欢的演员 还是没看下去。。。            
(2星)	 插曲棒！            
(1星)	 好演员 烂剧情！连字幕组都像追完全剧的人致敬了~            
(NA)	 最难说出的就是我爱你~            
(1星)	 呃~上野··瑛太··北川悦吏子····有这三个名字··竟然还能成一个烂剧····            
(4星)	 如果你喜欢KJJ，那可以勉强看看他在JP的努力，如果你喜欢EITA和JURI酱，那可以看，如果你喜欢悦吏子阿姨，那我告诉你这剧情还可以吧，狗血喷一身而已。            
(4星)	 在中啊，还是不喜欢你演戏……但是你演的            
(2星)	 实在看不下去了...            
(4星)	 上野树里果然是治愈系的。。。。            
(2星)	 我快被北川阿姨复杂的关系雷飞了~            
(5星)	 前两集没开好头 不过故事很温情 看完以后平时还经常会想起 因为这个对twitter的热情高涨了- -            
(3星)	 看到后面就不想继续了，讨厌圈子里排列组合地男女关系及男男关系。            
(3星)	 节奏太慢了            
(3星)	 树里~！            
(5星)	 超级好看呢            
(3星)	 结局狗血得让我失望啊·~！NAKAJI到底是如何让那么多人喜欢他啊！！理解无能...            
(3星)	 剧情东拼西凑的狗血            
(NA)	 瑛太...怎么也喜欢不起来            
(3星)	 金在中。。。冲着你去的。。            
(NA)	 我怎么觉得是关于万人迷和富二代们的故事- -            
(4星)	 喜欢上野树里            
(4星)	 镜头有些莫名其妙，剧情有些莫名其妙，我也开始有点莫名其妙。。。后来是我喜欢的            
(5星)	 喜欢这部剧，喜欢配乐，不只是一部谈情说爱的言情片子，反应了许多现实之中的无奈。。强烈推荐            
(3星)	 为了我家在在看的%…还有上野和瑛太…除了演员阵容强大……没有其他好的了……            
(5星)	 就是last friend续集。。。我他妈就是喜欢！            
(5星)	 剧情很虐人啊~看着好难过~大爱瑛太~~            
(4星)	 Linda の 死太不值得了，是剧情发展需要吗？后来的结局也不如想象中甜蜜美好。不过，这就是现实吧。他们已经很努力地坦诚相对了，可是心里有很多话还是没法冲动地说出口。那样小心翼翼的关系，就是现代人的相处模式吗？很值得思考的题材呢。            
(4星)	 其实不是看剧情 是看瑛太            
(3星)	 冲着瑛太和树里第八次合作和北川悦史子写的看的 可是…… 觉得失望了            
(3星)	 棒子真晃眼 一点也不像 = =            
(5星)	 有些压抑 有些虐             
(5星)	 无法坦诚相待的你我，如何迈出勇敢的一步！            
(4星)	 喜欢里面的配乐，剧情不错。            
(1星)	 开始噱头很足，期待很大。但是超级烂，不解释。            
(3星)	 作为一个仙后，作为一个日剧迷，这部剧我竟然没有看下去，感觉剧情有点无聊的说，其实也说不清哪里不好看，就是看了第一集，一点都不想再看第二集了            
(3星)	 弥漫着北川之作特有的狗血和JQ的芬芳。。。不过无疑瑛太已经可以独当一面了 完璧～            
(3星)	 看在男女主角的份上 我原谅了这部电视剧。。            
(5星)	 一群发育晚熟的大人的青春热血恋爱剧，背景音乐很感人，治愈系，Linda帅呆了            
(4星)	 感觉就是另外一半的last friend.以前搞share house ，现在搞twitter.            
(4星)	 演员演技都很好！就是编剧太扯了点。            
(5星)	 全是我的菜，剧情让我喷，让我虐            
(NA)	 不靠谱五人组。。。            
(3星)	 看了4集就弃了            
(3星)	 我不喜欢这俩口子这样子折腾阿，阿，哎...            
(4星)	 虽然内容被北川弄得很……，但我还是喜欢里面的主角~            
(4星)	 juri和瑛太好萌啊啊~~编剧为什么就不成全了他们呢！~话说仲治万人迷啊，四个人三个都喜欢他到刻骨铭心了吧，男的都不放过！所指的存在啊~            
(4星)	 有点失望             
(3星)	 视心情而定，有点压抑的平淡生活            
(5星)	 Sometimes just hard to say I love you .            
(4星)	 一如既往的喜欢树理和瑛太,但是有些剧情太啰嗦了            
(4星)	 好看~...有趣的题材            
(3星)	 剧情看得还是满艰难的···            
(NA)	 啧啧啧 一个人拖垮一部剧            
(3星)	 要不是瑛太和树里，我绝对坚持不到最后。前3集还算吸引，后来简直……            
(3星)	 喜欢great dj的慢版..            
(3星)	 差点就放弃了 为了树里和瑛太硬是看下去了            
(4星)	 很好的ieda 北川的剧本不错啊             
(NA)	 北川大师编的还是比较有水准的，虽然功力可能已经不如从前了，但还是很喜欢他的风格，而且也越来越喜欢瑛太的表演，喜欢的朋友可以去看看，还是不错的            
(2星)	 不想說了...完全沖著瑛太和上野樹裡而看的...劇情太垃圾了!!            
(3星)	 断断续续总算看完了。不禁想问，剧情可以再狗血点么：瑛太同学可以喜欢上A后立即再喜欢上B，旧识新朋全不放过，男生女生通吃到底。为什么你可以每次转身地如此自然潇洒  ？ 这算哪门子感情 ？我服了。。            
(NA)	 丢开剧情，人物的塑造和城市的风景令人舒心。            
(3星)	 听力练习好材料            
(5星)	 治愈系~~            
(3星)	 唉            
(3星)	 要不是有瑛太和莱卡。我想我肯定不会看这部片子。            
(NA)	 其实就是不能直面自己的心            
(4星)	 很好看。。。就是有点虐。。。有些剧情会让我想起L...唉            
(NA)	 喜欢！！            
(2星)	 因为doctor，我烂尾了 (‵′)             
(5星)	 喜歡瑛太，喜歡上野樹裡，這個題材很不錯，講述現代人的一些問題，通訊越發達，交際其實更多障礙，我們反而更不懂得表述自己的事情。            
(4星)	 北川悦吏子太能虐了。跟你一起，就算开始在流泪，最后也会破涕为笑。可你却不会亲口跟我说一句加油。。。。给四星吧。最后机场那两段太残了            
(5星)	 很喜欢            
(3星)	 日本鬼子的思路不过如此而已            
(3星)	 虽然很萌瑛太和上野，但是这部剧真的让我失望了。            
(4星)	 还是因为这对有爱的组合而惊喜的！            
(4星)	 挺喜欢的 没什么好 就是挺喜欢的            
(4星)	 剧情是有点那个。。。但树理大爱！还有瑛太越来越喜欢。金先生的存在感不太强啊。。            
(4星)	 在爱情里，不再那么简单的坦诚了……            
(3星)	 开头还行，中间有点拖拉，没啥兴趣了            
(5星)	 树里和瑛太最后在一起真是让人开心 哈哈            
(4星)	 难得这么华丽丽的阵容，北川阿姨的剧本真的写得狠糟糕....            
(2星)	 10.08.24又一狗血剧，5个人之间的感情路线错综复杂！~上野树里还是中性扮相好看，瑛太大露锁骨，玉山铁二就不谈了，出卖身体还搞GAY，结果自杀，看不起你！~            
(3星)	 一群纠结的人儿～            
(4星)	 为什么总是这样明明相爱，却不能坦诚面对自己的感情？            
(3星)	 我还记得猪猪字幕的那段话~            
(4星)	 也许在每个人的心灵深处都有着寂寞，彼此之间无法的坦诚相对，因为害怕失去也无法卸下自己的真实面对他人，尤其是所爱的人。于是，错过了，失去了，无法挽回了，才了解了自己真正的想法。小薰的死让大家都开始正视自己的内心。好高兴看到结尾中D和春天在一起了！            
(5星)	 和爱情白皮书特别相像的情节，不过因为有他们的加入依然好看            
(NA)	 NAKAJI总攻            
(3星)	 撇开dr这个人。与时俱进的日剧。            
(NA)	 因为有树里            
(3星)	 怎么说，反正都是这样纠结。小集团里的混乱。算什么。什么也不算。看看罢了。            
(NA)	 瑛太和树里的黄金组合，还有在中的加入            
(NA)	 某些地方有点二            
(4星)	 沖著上野樹裡和瑛太            
(3星)	 nakaji···真像啊            
(4星)	 爲什麽北川總要弄死一個。            
(3星)	 结局真的让我这个支持者都只能以快进的方式看完。血淋淋的结局~~            
(4星)	 我的小树 我的瑛太！            
(5星)	 瑛太最终话的亮相让我激动不已            
(4星)	 當然是沖著瑛太跟樹里啦··當然還有在中嘿嘿···            
(3星)	 很特别            
(4星)	 冲着在中来的 平常日剧看的不多 确实 瑛太君演技确实不错 也是美男 只是在中的演技也挺好的啊 塑造出了角色本身的性格 因为没看过太多日剧 所以就剧情来说也是很有特色的 推荐~            
(4星)	 我们似乎总是无法面对自己的心。无法坦诚相对。            
(5星)	 电视的故事缩减一下，其实讲述的很简单，推特上的邂逅，现实中的相遇，感情这种东西相互吸引，但是矛盾重重，想要解决完，又不伤害别人，却无法坦诚，其实有时候，坦诚我们心中的一切，会...瑛太的演技无话可说。树里的瑠可深入人心，但是这次更让我看到了一个真实存在在身边的haru......            
(4星)	 因为卡司是瑛太和树里是我很喜欢的演员~他们合作的剧都是我的大爱·！这剧总的来说还是不错的~树里很漂亮~瑛太很帅的~唯一遗憾的是一直没给我强烈的感觉~虽然有冲击的地方~但相对LF来说~真是差远了~！            
(4星)	 可以一下子看完的剧~            
(3星)	 追到一半看不下去了。。。            
(4星)	 大爱的瑛树组合，今年作品不够惊喜。主题够发讯，演员够时尚，剧情不够虐，友情线超越了爱情、亲情线，这显然不能让我等女女们满意。唯一记住的是树里的发型、白色Iphone手机。PS，女二是在挫了点，都不好意思多看她。换人换人            
(3星)	 看在Juri的面子上还是打还行，但实在是糟蹋了Juri和瑛太的组合。造型不仅非常老龄化，所表达的感情也闷着出不来叫人着急。最后变成了硬撑着熬到结束也没感受到北川阿姨想表达什么的片子。一个词，难受!            
(3星)	 冲着花去的~ 昨晚看到凌晨3点 终于大结局 字幕组最后一句话是感谢忍受到现在的朋友~ 是忍受吗？我个人觉得 至少他们面对了各种敏感的话题 而爱情 就是这样平淡和变化着~只是会一直问自己 我足够坦诚了吗？真的会希望自己成为Haru那样的人~            
(3星)	 日本人的细腻总是深得我心哇～～虽然这片子的故事线有点多。            
(5星)	 太棒了！            
(4星)	 瑛太和上野 是注定要在一起的            
(3星)	 什么烂剧情- - 三星只给演员和音乐            
(4星)	 年轻人的复杂感情            
(3星)	 在中真是一大败笔啊，演技是。。。哎。。。剧里的歌不错，喜欢瑛太啊  剧情比较一般啦            
(3星)	 有点烂            
(4星)	 不管是不是纯爱。。。只爱瑛太和上野树里。            
(5星)	 一部感觉一气呵成的片子，因在中而关注，却因那个“草食系男人”而极为稀饭，看来我还是喜欢性格欢型那种的~沿袭了日剧的一贯作风，从细节入手把握整体，才能看出每个人的小感情~生活重在挖掘。看完了，还是无法坦诚相对唉。            
(3星)	 开始很好看,后来就觉得剧情进展有点瞎了,讨厌金在中里面的表现            
(5星)	 近段时间最喜欢的一部日剧了！因为这个自己也去申请了推特~哈哈            
(5星)	 看了以后也开始围脖。            
(NA)	 几个因为微博走到一起的年轻人 友情 爱情 都在发酵            
(3星)	 我对玉山铁二的印象有所改观，主要指在厕所里流泪的那段            
(4星)	 喜欢大叔和纠结……            
(3星)	 开头很好看 结尾过于注重人物心理描述 故事情节没那么紧凑了 头重脚轻的感觉 不过瑛太还是很帅的啊~            
(3星)	 劇情越來越狗血～ 瑛太和上野樹里支撐我看下去，前面的劇情還是很細膩的，但從HARU和doctor拍拖之後，整部劇的感覺就開始無比粗糙，NAKAJI也失去了他的個人魅力了，最後還得把Linda整死，草草收場，浪費好演員。            
(3星)	 juri这造型太失败了我囧，弄得像惹人恼的婆娘，造型师去屎。            
(3星)	 单纯是为了看树里酱和瑛太桑 还是&lt;Last Friends&gt;比较震撼            
(3星)	 看不下去            
(NA)	 好看啊~~            
(3星)	 不是很好看，看到第五集，撑不下去了~太做作了，整部剧显得不自然.            
(5星)	 因为瑛太和树理给了满分            
(4星)	 恩，中间有点无趣。喜欢结局。            
(4星)	 延续了北川大妈狗血的习惯,不过看来MS没有超过LF的程度,PC神马的最讨厌了= =            
(4星)	 瑛太的发型时而帅气时而大妈==但相较在中还是不错的，对不起了，花花五个人，两个人自杀过，一个是gay一个是滥交找不到孩子他爸的那种，还有一个和已婚女人混，另一个就是真正的小白，真正的火星的如假包换的是压力太大了吧，寂寞杀死了人这就是现实哎本来想来梦幻一把换心情的，失败了            
(3星)	 北川姑娘+王牌男女主            
(5星)	 就是喜欢咯。推荐。            
(5星)	 我爱便利店            
(3星)	 第一集开场背景歌曲that&#39;s not my name              
(4星)	 殊途同歸。            
(3星)	 字幕组最后一句是：向忍受到最后一集的剧迷致敬。这才发现，原来我进行了艰苦卓绝的斗争，付出了常人难以想象的忍耐，才把11集熬完啊。。。其实还算好啦。有瑛太，就有了坚持的理由。野田妹还是更需要个性的角色，善良温柔类的角色会让原本就不漂亮的她，提前给人妇人的味道。又或还是榴可更好            
(4星)	 有时候，3个字，真的很难说出口。。。。。。。。。。。            
(4星)	 看到现在，对小在比较好的评价就是：他也不是很面瘫么。。。。            
(3星)	 有点看不下去了            
(3星)	 以为男女搭配和最后的朋友一样就能高收视？可笑            
(5星)	 喜欢瑛太在里面着装态度            
(3星)	 因为金在中打3星            
(4星)	 因为喜欢演员而看            
(NA)	 非常喜欢haru            
(5星)	 现实写照, 话说金在中最后当了老板的反差真是受不了...好歹以前也是个富家子,到了日本就那么弱么.            
(5星)	 嘿嘿~~从网友变成朋友，情人。生活可以如此简单~~            
(5星)	 爱在心口难开            
(5星)	 一路走来            
(2星)	 北川。。这没有逻辑的剧情。谁给你的。。            
(5星)	 很满意这个分类。看LF时最爱的一对男女。            
(5星)	 慢慢在看着虽然中间我觉得又压抑又扭曲，最后还是忽然我不那么低落了。那一句&#34;がんぱっで~&#34;.那我觉得很有力量呢~            
(3星)	 瑛太一如既往地可爱            
(4星)	 maybe tomorrow            
(3星)	 瑛太同学，真适合这类文艺剧，可拍了好几部，我看着都有点烦了            
(5星)	 每个人都有无法坦诚相对的时候，那些事，才是内心中最清澈，最本质，最值得保护的东西            
(5星)	 体现出现代人的生活观              
(4星)	 twitter。Haru。Nakaji。Linda。Doctor。Peach。相聚。酒会。假装。不假装。坦诚。无法坦诚。加油。我喜欢你。我很幸福。让自己幸福。希望你幸福。我们永远不会知道某些话说出来或是不说出来，某些事去做或是不去做，它会变成怎么样呢。所以，只能握紧拳头自己加油。            
(4星)	 莫名其妙让我想起旋爱好像呀么好像都是一群都市男女的故事也都穿着一对同志演员阵容我喜欢瑛太+上野 果然很萌就请有那么点差强人意            
(3星)	 只能说瑛太和树里好配啊            
(NA)	 唉~！            
(5星)	 玉山真可怜。            
(4星)	 为何一开始的角色会这么懦弱...= =            
(3星)	 不满            
(4星)	 没有看过《LAST FRIEND》直接追踪了《素直になれなくて》。无法坦诚相对，这样的感觉还真是纯真的。可能很多人都已经没时间去细细揣摩身边的朋友在想什么了。在什么人面前，才能把自己心底里、最柔软、最温柔的部分呈现出来呢？            
(3星)	 九爷在日剧市场的初登场，结果还好还好            
(3星)	 太纠结了。            
(NA)	 在中饰演的角色，完全是被虐型~            
(NA)	 喜欢            
(2星)	 我对这部剧的剧情非常之无语  而且很不喜欢里面nakaji和haru的恋爱模式              
(5星)	 剧情很紧凑，虽然有点出人意料但还是意料之中。结局也很完美。            
(NA)	 好钟意上野树里...            
(NA)	 很喜欢the ting tings            
(5星)	 唯一一部追着看下来的日剧 はる　なかじ 。。。            
(3星)	 玉山你让我说什么好呢，这么要死要活得结果只是催化了那两只的暧昧关系TAT            
(4星)	 最后一颗星因为其经常抽风狗血的剧情走向被扣掉,演员真的很顺眼.            
(3星)	 冲着瑛太树里去看的…前面铺垫太多了…好多条线…能虐的都虐了…集数有限交代不清…导致都草草收尾…不过还是大爱那两只~咔咔~            
(5星)	 好看...中间稍虐..大爱的野田妹和瑛太..            
(3星)	 因为瑛太，只因为瑛太，还是只因为瑛太。可是仍没有看完。            
(NA)	 哎，阿中啊，被阿姨虐那个北川真的是            
(5星)	 很好看。。喜欢的瑛太，上野树里，有他们，就有亲切感            
(4星)	 太纠结            
(4星)	 怎么开始有棒子剧的影子了            
(4星)	 题材不错，金在中演的也不错，超出期望；HARU好温柔；那个中分头有点扛不住。最后两集剧情编的有点雷人，LINDA死的有点怨，就是为了要留给大家一人一封邮件么？明明要好了，突然又不得不挂了。大结局进展超快，有点不真实。            
(5星)	 很好看 。            
(3星)	 我想给3.5颗星～除了男一其他都是悲剧。中间神马都是浮云，最后在一起才是真的～            
(4星)	 虽然一开始就知道doctor会失败。。但心里还是支持他。。。果然，我跟他是同一类人。            
(3星)	 日本纯爱教母？            
(4星)	 有点像国内的同城QQ群呢。。            
(5星)	 太爱他俩了~~~绝配绝配！！！            
(5星)	 Hard to say....不过，人与人 还是...素直にしてください！            
(5星)	 有瑛太哇。又是讲围脖的。主题曲还是GREAT DJ~超级推荐的啦。日剧。            
(3星)	 看不下了            
(4星)	 瑛太选剧本果然很挑            
(4星)	 在互联网交友泛滥的时代，本剧的出现，无疑是在告诉我们——现实总是残酷的。            
(4星)	 日剧情节都很复杂吗            
(3星)	 在中在里面真是太太太帅气了             
(4星)	 不得不说剧情让我联想到了last friends……都是一群有一群的问题青年啊，这次只不过加了twitter的时髦外套而已，也顺便满足了很多人想让上野树里和瑛太在荧幕上发生点什么化学反应的期待。不过话虽这么说，这部剧还是没有让我失望的，值得继续挖掘。            
(NA)	 很现实...            
(3星)	 失望。            
(3星)	 其实故事描述的很零散。金在中的头发怎么那么长。。。瑛太成熟了。。。当看到LINDA把脸贴向瑛太的时候，有点小不适应。。。这也解释了为嘛一大老爷们取一网名叫LINDA。。。            
(5星)	 爱情轮流转 转到的 就是幸福            
(5星)	 =U=咱们家金小在永远是最努力最棒的~            
(3星)	 就那样，看了不会死，不看也不会死。不过加入第一批开twitter确实是因为这个。            
(4星)	 笑而不语。            
(5星)	 终于走到一起了，真好            
(5星)	 虽然会看这部剧的第一要素是因为这是我们家在中的第一部日剧，但即使没有他，我还是会冲着瑛太和树里还有北川老师的剧本去看，果然，这里面有太多值得回味的东西了。            
(3星)	 北川江郎才尽了……            
(4星)	 树里好可爱~树里穿得也好美……それがいけない～            
(4星)	 北川阿姨还是走的纯爱狗血路线，其实有点像《爱情白皮书》，特别是linda性取向那点。野田妹和瑛太的搭配很欢乐，原来瑛太那么萌，野田妹还是硬硬的，演这种贤良淑德的角色有点不搭，韩国棒子比较突兀。iphone也开始出现在日剧里了，真是不习惯啊，以前里面都是日本手机的天下~            
(5星)	 加油            
(4星)	 好吧 我真的是看到第10集才豁然开朗的。剧情原来是这样的啊！  你——想要怎样的人生呢.            
(5星)	 造型失败，发型失败，他一晃悠我就直接跳过，好怂啊~            
(2星)	 编剧去死，莫名其妙的人物关系...瑛太还真是合适演文青啊...            
(3星)	 角色之间都貌合神离，没火花。上野抿嘴的动作很美。            
(5星)	 应该要有SP！            
(5星)	 想着中D和春天，面对困难时我很勇敢            
(3星)	 越看越绝望  北川真的算是江郎才尽了            
(5星)	 已经习惯了藏匿自己，却觉得是该有一中坦诚的方式，需要的不仅是一句加油的鼓励，还有实践的勇气            
(4星)	 很喜欢，很有剧构很有创意的 用微博来做线引导全剧 喜欢里面的歌。            
(5星)	 有时候我们就是缺少那份坦诚相对的勇气            
(3星)	 我觉得英太很美。。。英太很美。。。            
(4星)	 很舒服的剧，让我再一次体验了东京的浪漫，永远忘不了东京无敌夜景上红色的东铁塔，东京每一个镜头都是那么唯美浪漫，，东京在我心中是世界第一的城市。前几集瑛太和树里真的好搭，瑛太一副日系潮人的混搭装扮，很有个性。挺喜欢树里的，让很觉得很亲切，OSt也很赞~            
(4星)	 这剧 纠结            
(4星)	 不错哦~~~虽然剧情人物关系错中复杂，但是还不错，至少感觉很舒服让人不禁的继续看下去~~有些文艺有些小资...            
(4星)	 HARD TO SAY I LOVE U~            
(4星)	 这个世界腐了！！            
(4星)	 差一点什么的感觉。。。            
(4星)	 “只要想到有人陪伴，就能够继续努力了，人生本来就是什么事都有的”            
(3星)	 真是很狗血的一部电视剧            
(5星)	 刚刚大结局不久啊，上野树里，瑛太，东方神起的金在中等等，虽然是日剧中很常见的几个男女的事，但为了明星也值得一看啦~~            
(NA)	 瑛太上野树里就是观看的理由            
(4星)	 LINDA的死加一星。。。妈的 敢不敢不要死的这么惨啊！！！            
(4星)	 总觉得上野树里的演技无法超越LAST FRIEND了 不过这部戏的内容还行 与时俱进的很            
(2星)	 好吧，我无法坦诚相对这部电视剧。            
(NA)	 喜欢~            
(3星)	 额= =我承认我是为了金在中去看的= =看到后面，最讨厌他。。喜欢玉山大叔跟瑛太。不过最后金在中放手的时候，还是蛮招人喜欢的。哈哈~~话说= =情节完全没让我想到。恩。            
(NA)	 还不错~~结局好滴！            
(3星)	 3颗星是投给演员的。剧情只在让人咋舌，若是最后一集不放的话，悲剧收场也就能评个4星。其中过多情节过于琼瑶，扶额，相比之下last friend要好的多。            
(3星)	 金在中~            
(5星)	 治愈系            
(4星)	 美剧开篇，韩剧中场，然后烂尾...但为了瑛太也要多给2星（=v=）            
(5星)	 人人都爱那卡机啊.....            
(4星)	 就是有点狗血。。            
(2星)	 北川大妈退化了，太狗血的剧情，尤其把玉山君糟蹋的不成人样，真是悲哀。支持我看完这部剧的动力唯有很帅的瑛太，唉~~            
(2星)	 不说了~~            
(4星)	 人与人之间真的了解吗？朋友就真的彼此了解吗？好朋友就真的了解吗？我们的面具太多，往往会使事情更加复杂……如果真心爱他，那么，请坦诚相对吧……            
(5星)	 喜欢看的日剧之一            
(3星)	 追这剧挺累人的，看到字幕君在最后的点评我笑了。估计北川也要枯竭了，日本人本来压力就大，谁还有心情看这？纯粹为了主角来。            
(5星)	 很真实            
(3星)	 觉得剧情未免太复杂了。。。            
(5星)	 他们的搭配 我就喜欢~！            
(5星)	 依然北川酱的风格，依然很喜欢。。            
(4星)	 开头几集还是不错的。。后面就算了。。            
(4星)	 一口气看完，喜欢歌曲的开头。喜欢朋友的简单。也许这就是有情有义            
(4星)	 黄金搭档叻。。            
(5星)	 扣人心弦，人物心理表现的非常好；又是我爱的纠结片~~~            
(4星)	 坦诚相对要先从靠谱做起。            
(4星)	 更喜欢这部剧里的上野。            
(NA)	 no good            
(1星)	 er……对不起了瑛太，这日剧看得我没滋没味的            
(4星)	 北川最高，喜欢她的小说~            
(4星)	 歌挺好听的。            
(4星)	 心理承受能力不好的人、请绕道、            
(3星)	 太悲剧了 又男同 总是只有死亡和同性恋两种卖点            
(3星)	 希望你能学会坦诚学会勇敢            
(4星)	 不明白最后制作组为什么那么说..我没觉得是在忍受啊...要是的话谁会看最后一集啊...- -  我还挺喜欢的说！！..            
(5星)	 都还蛮喜欢的，            
(5星)	 我想 每个人都会犯的一个错误 一定包括 自以为。。。 他以为她是这个意思 她以为这是他想要的。然后种种误会。 还有就是 无法坦诚相对吧            
(4星)	 很喜欢剧中的中分男，还有上野合瑛太的组合。剧情发展速度还OK，不拖拉也不过快，处理OK。不过还是觉得开头有像GOSSIP GIRL。女2有像LAST FRIEND 里的另一个女的。            
(5星)	 值得一看的~            
(4星)	 Linda死的太憋屈了办公室潜规则至于嘛这。。。            
(2星)	 虎头蛇尾~烂尾！            
(2星)	 为了演员强逼自己看完一部看不下去的片子是如此痛苦·····            
(NA)	 我也说不出什么不对劲，但是还是能看，中间跳了一集，恩，一般吧            
(3星)	 主题很时尚  .... twitter +上野 就把我噱进了...            
(NA)	 如果现实中有瑛太这样的男生。。哪就好了            
(5星)	 在中演的   真的不错   请大家多支持真的和好啊   一部关于爱情和友情的电视剧东方神起加油            
(3星)	 树里的发型让我郁闷。。。            
(5星)	 萌死了瑛太和树里&gt;&lt;            
(5星)	 很好的一部剧~~映射出种种现实，是啊 ，现实中我们往往是无法坦诚相对            
(3星)	 这不是部好看的日剧，尽管第一回的时候很吸引我，但是之后就渐渐成了观看的负担，只是为了看演员而看的一部戏。实在有够失望的，明明可以是部很好的日剧。            
(NA)	 上野为什么总和瑛太对戏呢？不解            
(4星)	 瑛太.....            
(4星)	 如果能坦誠相對 那麼就更能獲得幸福吧            
(NA)	 很好看的一部日剧，喜欢LAST FREIND的朋友也一定喜欢。            
(4星)	 五個青春男女在社會中拼搏，在友情中成長，汲取力量，品味愛情。みんな頑張れ！            
(NA)	 喜欢瑛太和树理的组合，虽然北川阿姨在之前的剧中给出太多悬念让我觉得是不太好的结局，但昨天看完最终话，让人温暖的结局。。。为LINDA的死默哀~~~~~~~~~~~            
(3星)	 上野怎么总是演这种缺根筋的女生，北川大姐依然纠结            
(3星)	 北川的心思你别猜啊你别猜~~猜来猜去你也不明白啊不明白~            
(4星)	 很好看~~难得的演员阵容，看着相当舒服！讲的是因为微博揭示的五个朋友的故事。            
(4星)	 恩 反正只是喜欢大结局 喜欢瑛太和上野树里 两位演技都不错啦            
(3星)	 IPHONE3G是亮点。            
(3星)	 被称为《last friend》的续集，但是还是比不上它给予人的冲击力。唯一能吸引人的就是，利用twitter的使用来讲述故事。同时，在中的第一部电视剧也是吸引人的原因。            
(5星)	 残酷又温情            
(3星)	 失败的翻版，太像最后的朋友了            
(NA)	 刚开始看时觉得有些无厘头，剧情越往后进行越有一种被抓住的感觉，想知道那五个人最后的命运，结局还是很不错的~            
(3星)	 瑛太，上野树里，玉山铁二各得一颗星。在中不大适合演这种角色。。            
(NA)	 NAKAJI最终帮HARU坦诚了！LINDA的死也忒狗血了。。。            
(3星)	 又狗血又无聊            
(5星)	 触动            
(4星)	 好仓促的ending...金在中在里面还蛮可爱的...            
(5星)	 就是迷恋这种味道            
(4星)	 哎呦 哎呦 从一开始瑛太就是要和树里在一起~ 你看他们气场多么般配 多么欢乐 别说伤害谁 别说很自私 这段恋爱里其他人注定只能是插曲~想插足？被闹了！            
(4星)	 完全是冲着帅哥去的，看见瑛太和在中之后心想不会还有更帅的吧？有看见了LINDA，连小弟弟和老爸都那么帅！相对于男主角，上野和桃子小姐的发型有待改善，上野非常清秀，上镜很漂亮，桃子小姐身材那么好，为什么总包着呢？所以，11集看帅哥美女都看不过来，即使剧情那么狗血，我也忍了            
(3星)	 结尾狗血了 ····不过树里演得这个角色坚强而真实 挺喜欢            
