http://movie.douban.com/subject/2160565/	家有儿女
(4星)	 我妈喜欢看。- -|||            
(4星)	 还挺逗乐的            
(4星)	 哈哈，挺可爱温馨的一家~当时所有的台都在播，不看是不可能滴~            
(3星)	 到后面就不行了。            
(4星)	 我妈喜欢看。- -|||            
(NA)	 羡慕而已。            
(5星)	 看的不全~还挺有意思的~刘星~            
(4星)	 一家子真够热闹的……挺羡慕            
(3星)	 看了第一部 然后就越大越讨厌 电视啊 别再放了            
(5星)	 尤其喜欢刘星            
(3星)	 闹剧            
(4星)	 没电视剧可看的时候还是会看看它了。            
(4星)	 开心一笑            
(4星)	 前两部比较好看，剩下的就不咋地了            
(3星)	 挺逗。            
(1星)	 抄袭成长的烦恼！！            
(NA)	 几乎是和老弟一起看的            
(NA)	 无聊的时候看            
(4星)	 茶余饭后还是会去看的，特别是和父母。            
(5星)	 成长的烦恼中文版            
(3星)	 我妈喜欢看我只对那个小夏雨有印象            
(NA)	 新一代成长的烦恼～～第四部的小雪可真不好看。。            
(NA)	 前面的好看,换演员后就不想看了            
(5星)	 我很喜欢            
(3星)	 已成回忆            
(3星)	 第一部还不错~            
(1星)	 可以更幼稚吗            
(3星)	 成长的烦恼            
(NA)	 笑啊，笑一节课啊！            
(5星)	 没说的  OK            
(5星)	 长不大就好了            
(3星)	 生活需要这个，轻松点有什么不好            
(4星)	 优秀少儿片。成年人看了也可以受益。            
(4星)	 很不错的代表作情景喜剧啊            
(NA)	 不错的            
(NA)	 喜欢刘星这小家伙            
(5星)	 居然这都有！服了豆瓣了！小一山的演技实在是好啊~~            
(NA)	 中国版的成长烦恼            
(5星)	 刘星这个小槽子！哈哈            
(5星)	 像夏雨，实在是像            
(5星)	 中国版《成长的烦恼》            
(NA)	 ^_^喜欢            
(4星)	 真的很好看也~好玩好玩呢！~3孩子太逗了~养三孩子真够不容易的~            
(4星)	 轻松            
(4星)	 其实拍的不错            
(5星)	 这还是挺有意思的！            
(4星)	 见过张一山            
(5星)	 高三必備            
(5星)	 很想像他们一样有姐妹            
(NA)	 一家子的成长            
(5星)	 又是一部经典的情景剧。            
(4星)	 第一部最好看,第二部没怎么看,第三部完全没看            
(NA)	 挺好的 虽然后来的就不怎么样了            
(4星)	 難得能看的國產劇            
(NA)	 只喜欢一二部~~            
(3星)	 太长了……            
(5星)	 很喜欢，中国式的成长的烦恼            
(4星)	 开心的一家！幸福            
(4星)	 不错!            
(4星)	 9            
(NA)	 從去年秋天開始            
(NA)	 家有儿女             
(NA)	 轻松，诙谐，有教育意义            
(4星)	 搞笑，不用动脑            
(4星)	 very North China.            
(NA)	 喜欢第三部第四部的宁丹琳~            
(NA)	 全家一起成长的温馨喜剧            
(3星)	 儿童编导夏东海（高亚麟 饰）离婚后带着儿子夏雨（尤浩然 饰）回国发展，与在国内长大的女儿夏雪（杨紫 饰）团聚了。后来夏东海跟某医院护士长刘梅（宋丹丹 饰）结婚了，刘梅也是离婚了独自带着儿子刘星（张一山 饰）生活。这个一家5口的重组家庭，夫妻两人都非常关心孩子们的健康成长，但教育方式的不同，而且孩子们都十分调皮捣蛋，闹出了不少令人捧腹大笑却又让人深思的故事。            
(4星)	 几个孩子演的都很好，尤其是第一部最经典了            
(NA)	 挺真实挺搞笑的，比我爱我家更符合现代的幽默，小雨很可爱，刘星很能侃            
(1星)	 脑残            
(NA)	 喜欢            
(4星)	 它带动了中国情景喜剧的复兴            
(NA)	 喜欢张一山            
(NA)	 张一山长得真像夏雨啊~            
(NA)	 大学的时候很红            
(4星)	 没事看着挺好~            
(2星)	 没有好节目的时候可以拿来解闷儿。。。            
(NA)	 在家算是碰上电视里播就看吧，还不错～            
(5星)	 好喜欢这样温馨的家庭...            
(4星)	 孩子是怎么教成的            
(1星)	 de            
(4星)	 ……            
(NA)	 没想到小刘星也叫这个山啊,不错不错,我很看好噢~~            
(4星)	 i liked this relaxness            
(5星)	 好玩死了，喜欢小演员            
(NA)	 俩字好看            
(2星)	 部分还行            
(NA)	 怎样做好父母,父母心            
(NA)	 喜欢，家庭温馨！            
(4星)	 实在是搞笑            
(5星)	 非常有教育意义的呀，而且是寓教于乐的，保证各个家长看过之后自觉惭愧！            
(5星)	 天天看，看个没够~ 真希望将来我们家也能有这么三个猴孩子 ^-^            
