http://movie.douban.com/subject/1437322/	人间四月天
(4星)	 疯迷黄磊的时候            
(5星)	 依然是奶茶，周迅，黄磊的黄金搭档，大爱……            
(4星)	 当时很爱奶茶和黄磊。最感动于一段对白：你来了。我来了。我知道你会来。我知道你知道会回来。            
(5星)	 徐志摩與三個女人的愛恨糾纏。周迅，林徽因被妳演活了。            
(4星)	 好怀念那个年代和那些稚气的面容啊~            
(3星)	 够文艺~~            
(5星)	 最爱的电视剧            
(5星)	 本人看过的最好的电视剧，徐志摩，伟大的中国人性引导者            
(3星)	 林徽因是亮点，周迅演的可圈可点。            
(4星)	 最受不了林徽因            
(5星)	 第一次在网络上看完的片子，戏里戏外都是喜欢的人，不容易~            
(NA)	 记得徐志摩对着林徽因说：徽徽。。许我一个未来！            
(NA)	 像风一样的男子            
(3星)	 受不了徐志摩这种这么黏人的男人，受不了这种窒息的爱。虽然爱一个人没有错，不爱一个人也没有错，可是就是讨厌徐志摩干什么事都理直气壮的样子。他就是个被宠坏的孩子。喜欢他身边女人的性格，特别是林徽因。聪明的女人不会被爱情冲昏头。            
(4星)	 大爱林徽因！！            
(NA)	 唉`            
(4星)	 黄磊很有气质，刘若英演得很好            
(3星)	 实话说，感觉上不是很好看，也只是想看看徐志摩的爱情。            
(4星)	 老剧了，念念不忘的是林忆莲唱过的片尾曲            
(4星)	 仿若飘着伦敦薄雾的梦境。            
(3星)	 我觉得。。。  周迅应该和刘若英换角色！橘子红了里面很出色  林徽因不靠谱 总觉得她有点小家子味道            
(3星)	
(3星)	 刘若英很知性            
(1星)	 也太夸张了吧，很多地方还违背了事实气得我头疼~唉            
(4星)	 本故事纯属虚构。            
(5星)	 演员选的太好了            
(5星)	 刘若英黄磊周迅伊能静简直无敌了！            
(NA)	 人间四月天的时候看            
(5星)	 隔着时空 虽然故事里的人都已逝去 而没有哪个比你的离开更令人心颤 比起胡适听从父母之命呆在了自己的命运里 更喜欢你和命运抗争的勇气和会拼尽所有的力气去付出 如林徽因事后所写“我们丢掉的是极难得可爱的人格” 如你对命运如此诗意的信仰 你的生命是如此光芒四射 早已超越了生与死            
(5星)	 最是那一低头的温柔 似一朵水莲花不胜凉风的娇羞            
(5星)	 经典！            
(3星)	 那时起就对许才子没什么好感~            
(3星)	 都有点忘了~            
(NA)	 片子热播的时候还小，倒真没怎么看过。可是对于徐志摩，我是大爱的。也许对于很多人来说他风流，不负责任。但是我要讲的是他是一个真性情的诗人，独一无二的。            
(4星)	 每个女人都可爱            
(5星)	 爱情的极致表现爱也可以不拥有不拥有所以更加向往            
(5星)	 人生若只如初见。            
(5星)	 这部电视剧满足了我对爱情的一切幻想            
(5星)	 就是爱这个范儿的            
(3星)	 这多情的男人,惹得那么些女人沉伦            
(4星)	 刘若英确实具备了一位江南女子所有好的特点            
(3星)	 有点忘了，黄磊的演技不错啊~~            
(3星)	 爱与恨的纠缠 也许只有差一点得到的感情能在心里保留美好的纯真爱情飘忽不定追随爱情的人生也会跌宕起伏            
(4星)	 好看~~            
(4星)	 黄磊的气质不错。            
(3星)	 觉得很纠结,,,,和娘亲一起看的            
(4星)	 在这认识了江南式的优雅            
(5星)	 你是人间的四月天            
(4星)	 我要让徐志摩出现在我的标签里。            
(4星)	 當年不顧考試也要看下去的影片......            
(3星)	 当年也算难得的文艺连续剧吧~~~当年也是很喜欢黄磊和刘若英的~~~            
(5星)	 到如今，我的心还留在康桥            
(5星)	 诗一样的美            
(NA)	 只记得陆小曼了            
(NA)	 好吧···看了点皮毛            
(5星)	 我太喜欢幼仪了！            
(5星)	 到了高中，学了再别康桥，才知道这部电视剧背后的意义。看到后来都忘记原来有周迅了，只记得黄磊、刘若英和伊能静。没想到黄磊演徐志摩还真像。上次去杭州还看到林徽因立的什么碑了            
(3星)	 曾经我多么的文艺。。            
(4星)	 如果不是正好思成和徽因是我家一对璧人出演的……我才不对这剧敢兴趣呢囧RZ            
(3星)	 小时候看的，现在很想重新看一遍            
(NA)	 台词蛮正点，把徐志摩的诗都改成了歌也蛮不错。            
(3星)	 节奏太慢。。。。。            
(5星)	 里面的三个女人我都喜欢            
(NA)	 看的时候觉得他们多情的近乎猥琐很久以后再看海报 才回想到一种脉脉的温婉            
(5星)	 好久远的记忆~~那时家里静静地多了一本~《徐志摩作品》~~从此就牢牢地记住这四人~也记住了林徽因是徐志摩的真爱~~直到近来看到陆小曼的文集中他们的书信往来，以及徐死后小曼的简约低调，才知道原来历史还有另一面的真相。林徽因固然值得爱，小曼却是一生走过的挚爱。            
(3星)	 人物比较不立体 但是味道很足够 徐志摩的是是非非不过是因为他敢于做自己而已 不觉得张幼仪仅仅只会逆来顺受 也不觉得陆小曼仅仅只会享乐无度 至于林徽因 真的是个无比幸运的女人 不过再怎样传奇 他们也都已经远去了 黄磊那个时期怎么能这么帅             
(5星)	 我说你是人间的四月天； 笑响点亮了四面风；轻灵 在春的光艳中交舞着变。 你是四月早天里的云烟， 黄昏吹着风的软，星子在 无意中闪，细雨点洒在花前。 那轻，那娉婷你是，鲜妍 百花的冠冕你戴着，你是 天真，庄严，你是夜夜的月圆。 雪化后那篇鹅黄，你象；新鲜 初放芽的绿，你是；柔嫩喜悦 水光浮动着你梦期待中白莲。 你是一树一树的花开，是燕 在梁间呢喃，——你是爱，是暖， 是希望，你是人间的四月天！                                
(5星)	 因為黃磊.因為劉若英,因為周迅,還有什麽說的呢?            
(4星)	 Love is the most beautiful and the most difficult thing in this world, it generates joyful as well as bitter feelings. Zhimo was a character who doesn&#39;t belong to this realistic world. In another word, this hopeless and cruel world doesn&#39;t deserve a real             
(NA)	 很爱那时候周迅，奶茶            
(3星)	 很想有时间和心境再看一遍的连续剧            
(4星)	 娶妻当取林徽因。            
(5星)	 唯一一部完整看完的电视剧。            
(5星)	 我始终相信一部好的作品不在于你是否把它看完，而在于它是否能抓住你的眼睛，守住你的情感，砥砺你的灵魂。当我看了它第一眼，我就深深地被它吸引，徐志摩这个人物形象在黄磊的演绎下跃然荧幕外，栩栩如再生，太精彩了。看了这么多电视剧，仍没有看到比它更感动的电视作品，还是那句话：只要心还跳，感动永远在！            
(5星)	 人間四月天 嗯嗯 堪稱經典~            
(5星)	 因此爱上林徽因，爱上建筑            
(5星)	 那个年代，知识就是飞的翅膀～这个年代，金钱就是飞的翅膀～            
(4星)	 诗意美            
(4星)	 因为这个片子，喜欢上刘若英，感动于张幼仪所代表的传统女性的柔韧与坚强            
(4星)	 中国 电视剧 连续剧            
(3星)	 只是我没法静下心来看……            
(5星)	 四月天，梅雨厌厌，在窗前。。。。。。            
(NA)	 好像没看完            
(NA)	 喜欢奶茶的表演。。            
(5星)	 如果让我回忆，初中时候觉得最有深度的电视剧除了《雍正王朝》就是《人间四月天》了。。。永恒的经典~            
(4星)	 奶茶的张幼仪好过伊能静的陆小曼，伊能静的陆小曼又远好过周迅的林徽因，黄磊的徐志摩也太惹人厌了            
(4星)	 诗意爱情~            
(4星)	 我不明白，可我觉得很安静，很感动。            
(4星)	 很喜欢四个主演            
(NA)	 爱情             
(3星)	 感觉有欠缺，似乎可以更好            
(5星)	 徐志摩 林徽因 梁思成 张幼仪            
(5星)	 当年都吾知点解  反正 喜欢  妈妈也看            
(3星)	 演的不是特别好，但是还是深触我心            
(4星)	 因为这部电视剧知道了林徽因            
(NA)	 符合大陆台湾的统一审美标准            
(NA)	 关注编剧王蕙玲            
(5星)	 诗意的台词，唯美的音乐            
(5星)	 上海文艺频道很文艺～～～作为林徽因的粉丝这部片子还是能了解一些的。            
(5星)	 给予文字一个新的生机。            
(4星)	 即便错也刻骨铭心            
(4星)	 感性与现实的碰撞            
(5星)	 经典            
(5星)	 三个女子，一个诗人的一生。            
(NA)	 只是喜欢            
(5星)	 黄磊给我的感觉就是徐志摩             
(NA)	 啊 七年前啊 那会儿 我在哪?            
(NA)	 你是人间的四月天            
(NA)	 很喜欢            
(5星)	 真的徐志摩吗？            
(4星)	 感觉很不错.主角们都很到位.音乐也有味道.            
(NA)	 整部剧的感觉很好，也间接的让我喜欢上徐志摩的诗            
(5星)	 你是爱，是暖，是希望，你是人间的四月天            
(5星)	 “如果看过月圆的美，你会有足够的耐心等候二十九个日子，只为等那一个月圆夜。即使到那天，不幸有云遮住了她，闭上眼睛你还是能想见她在云背后的光华！”徽徽，你误他一生。            
(5星)	 人间自有四月天My April            
(NA)	 看了一半 实在看不下去            
(4星)	 只要一个淡淡的注视我都会 心跳一辈子            
(4星)	 如果这个时候，天上有风，我就有了飞的理由。            
(5星)	 里面最喜欢刘若英的演绎~            
(4星)	 奶茶,不要再演这样的戏了,记住没?            
(4星)	 就从这里开始关注奶茶。            
(4星)	 经典            
(4星)	 不知道怎么会去看这个电视剧的，反正就是看了，不错            
(NA)	 很唯美            
(NA)	 吾将以吾一生寻找人生之唯一伴侣，得之我幸不得我命，如此而已！            
(NA)	 徐志摩的爱情故事            
(4星)	 唯美的片子            
(NA)	 我最爱的电视剧            
(NA)	 名字是多么的动听            
(4星)	 心静才好看            
(4星)	 你是人间的四月天            
(NA)	 关于爱情 青春 和文化的故事 历史的惊叹            
(3星)	 周迅给我很深的印象。            
(NA)	 喜欢上黄磊＆徐志摩周迅＆林徽音            
(4星)	 另一种浪漫            
(NA)	 最喜欢的电视剧            
(5星)	 幼仪应该得到幸福。。            
(3星)	 台灣：當年好紅，一堆出色演員。            
(4星)	 不錯            
