http://movie.douban.com/subject/2229555/	大唐双龙传 大唐雙龍傳
(3星)	 其实我很喜欢寇仲的眼神            
(5星)	 仲少陵少            
(4星)	 跟原著有部分差别，不过还看得过去            
(NA)	 寇仲活得太累了，感情总是慢半拍，让人生气又让人同情~            
(4星)	 哦哦哦 唐宁！那个妖女婠婠印象深刻……            
(4星)	 欧！！。林峰。            
(5星)	 咋这想看            
(NA)	 从弯弯在河边初次吻了徐子陵开始，我就喜欢上了她。只因她的眼睛里没有犹豫，如此坦荡。相对来说，师妃暄原本看似超然物外，却被自己的心所束缚。            
(5星)	 寇仲~~大爱            
(3星)	 一般            
(5星)	 在看过这部电视剧之后，我再也没有完整的看完一部电视剧。            
(4星)	 仲致~~~            
(5星)	 我实在不知道怎么形容这戏，文字不能表现我的喜爱了。            
(5星)	 林峰的表演太出色了 先看的电视剧，然后再去看的小说，导致看小说的是很不知不觉就按照林峰的形象和演出来想想仲少，连说话的语气都逃不掉……            
(5星)	 很少看这么长的连续剧 还是古装的。这部片子里林峰真的很帅气那            
(4星)	 太喜欢婠婠            
(3星)	 话说觉得原著漫画要是能腐了就更好。            
(5星)	 虽然同学都笑我，说这部剧的名字不是很好，但是我还是义无反顾的喜欢的~就像篮球兄弟（one tree hill），多么棒的剧呀，就因为名字不好就这样被我同学们鄙视了的            
(5星)	 我很喜欢婠婠。。。            
(4星)	 有峰少 肯定看啊            
(5星)	 好喜欢里面的婠婠哦，真希望结局子陵是和她在一起            
(2星)	 讨厌激光爆炸闪电炮的武侠剧 tvb也一样            
(2星)	 石青璇不见了 好多人都不见了 原著太冗长 改编也不咋地            
(NA)	 不是很喜欢这种剧            
(4星)	 很喜欢胡定欣。            
(4星)	 我是推荐大家去看感人的兄弟情的!!!其他不用看!!!编剧给我GOGODIE一百遍啊一百遍!!!!有你这么洒狗血的么?!!!这不叫双龙传啊!!!!你TM跑题了啊!!!!这叫狗血圣母传!!!!!!!!!!!!!!!@%#^$&amp;%&amp;$&amp;#&amp;&amp;^(&amp;&amp;%#            
(5星)	 断续用一年时间才看完的片子 高考之前看 高考之后看            
(3星)	 还行            
(5星)	 永远喜欢寇仲喜欢秀宁之恋            
(NA)	 绾绾~ 还有风衣恋~            
(4星)	 充满了明日新星= =            
(5星)	 峰峰好型~            
(5星)	 超级喜欢里面的林峰，有趣又不骄傲，帅气又不滥情……            
(4星)	 只为绾绾！            
(4星)	 最喜欢那个妖女 婠婠。            
(5星)	 经典，经典，经典，要说林峰的代表作，那绝对当属这部片子。尤其是最后他死掉的时候，那个心碎啊，特憎恨编剧的不公，干嘛不让徐子陵死掉，寇仲活着多好啊！            
(NA)	 少爷和吴同学的完美组合。            
(4星)	 玉致和寇仲的爱情真让人唏嘘            
(3星)	 中午在重播= =            
(5星)	 超爱　峰　和　羲的组合　希望还可以有机会看到他们两兄弟的搭档            
(NA)	 超喜欢的一部TVB古装剧，超爱林峰            
(4星)	 至今还为仲致恋唏嘘不已            
(5星)	 谁能告诉我宋玉致的结局~！            
(4星)	 真的很讨厌李秀宁！！！！！！！！！！            
(NA)	 吴卓羲好帅啊~            
(5星)	 个人比较喜欢绾绾很敢爱敢恨的 没看过小说不知道师妃暄到底有那种气气质美  但是至少看起来是蛮顺眼的             
(1星)	 乱改原著            
(4星)	 撇开原作还是不错的            
(2星)	 看了一半就扔了。。。烂片啊。。看着当初峰少的大饼脸。。就反胃。而且我坚定地相信峰少和RON两个人应该角色互换。。= =            
(3星)	 重看之后除了师妃暄其他人难使我有涟漪 尤其寇仲感觉在篡改历史            
(3星)	 还记得我们中午疯狂奔回家看这部剧吗？            
(NA)	 喜欢婉婉和杨怡拉，喜欢怡峰拉~~~吴卓羲也不错，其实到最后还蛮好看的。。感觉阴后也是个好人阿。。            
(4星)	 看过原著，改得支离破碎，但对比后来的也算还好的了            
(5星)	 好经典啊~              
(4星)	 改得也不少,观赏度还不错            
(5星)	 喜欢里面的师妃暄唐宁，另一个绾绾也很不错            
(5星)	 超强阵容,帅哥+美女,少爷,阿Ron,唐宁,杨怡,胡定欣...太养眼了,不过悲情的大结局确实不够完美~            
(3星)	 看完原著之后，我差点想把评分改成一颗星！还我的跋锋寒来！            
(4星)	 徐子陵跟师妃暄很配~            
(4星)	 不错呀             
(2星)	 感觉不爽啊,没有原著精彩            
(4星)	 很恶心很狗血的电视剧，不知道书怎么样，总之电视剧硬是看了几集没看的下去            
(5星)	 不当李秀宁，只做宋玉致。你，就是我的天下。            
(4星)	 林峰             
(4星)	 喜欢绾绾！！            
(5星)	 看了N遍，只是宋玉致怎么可以这么丑            
(4星)	 喜欢宋玉致和寇仲，经典            
(4星)	 那个叫秀宁的女生，很为她心疼            
(3星)	 月有弯弯，人似婠婠            
(3星)	 虽然看上去不错，但没到追看的份上            
(3星)	 电视上播出的话我会看看，，但不会追看，，吴卓羲还是很帅            
(2星)	 和原著相差太远太远。。。这人设。。。            
(5星)	 玉致对寇仲，寇仲对秀宁……绾绾对徐子陵，徐子陵对师妃暄……看了N遍，尤其是结局寇仲对玉致和秀宁的两场戏，几度落泪……如果还相信爱情，也请你看一看……            
(4星)	 最后三集的爱情戏难得的好看！            
(4星)	 經典~            
(3星)	 我一直想认真看来着~            
(5星)	 虽然评价不高，收视不理想，但我很喜欢。            
(NA)	 子陵的两个女人很绝色            
(4星)	 这个我实在是不知道说啥...太爱RON拉挖哈哈!! 杨怡刚一出来很惊艳哒!!            
(NA)	 拍得很好            
(3星)	 吴卓羲这个帅啊            
(5星)	 麻烦不要被乱七八糟的绝世武功绕花了眼，你只需看这里的爱情，TVB武侠剧的制作糙的让人没法看，但是寇仲和玉致的爱情是一点一点的渗透到心里让你感动，纠结，别的一切都已经不再重要，看完的我到现在还在失落中。。。继续寻找            
(3星)	 和原著相差太大            
(5星)	 绾绾～            
(5星)	 我是青少年            
(4星)	 这两只的古装扮相不错。。            
(5星)	 我就喜欢宋玉致~~~~            
(4星)	 好讨厌李家啊！讨厌李世民讨厌李秀宁！寇仲不死就好啦，寇仲和玉致在一起就好啦！            
(4星)	 前面的比较好看，有趣。后面的太沉重了。身处乱世，心怀天下，能不沉重吗？            
(4星)	 书好看多了。。不过林峰却成了寇仲在我心中的标准形象            
(4星)	 双R……怎么能不看！            
(4星)	 喜欢玉致～            
(4星)	 仲少、陵少，一聽就超香港的。不過很輕鬆的就看完了。            
(5星)	 很不错哈            
(4星)	 一星给婠婠            
(4星)	   玉质好可爱，为什么最后寇仲死了呢            
(3星)	 前面不错            
(5星)	 很赞！演员都很养眼，就是觉得李倩差了点。唐宁，从此记住了。胡定欣的婠婠。            
(4星)	 XDDDD私心。就是結局有點糟糕= =            
(4星)	 寇仲和玉致的爱情，悄然打动我的心扉。            
(3星)	 只看了寇仲那半边            
(NA)	 嘿嘿。。。TVB小生的佼佼者            
(5星)	 不知道为什么，喜欢阿峰就是这本，所以是力荐这本的。他演活了寇仲，可惜女主不很喜欢。            
(NA)	 哎...理應失望            
(4星)	 前面的部分相当不错。            
(4星)	 不得不說，看到最後結局的時候真是有種肝腸寸斷的感覺。很久沒有看電視劇直接掉淚了。人生那麼短暫，只能夠帶上自己所愛的人的信物去赴死的時候，再不捨也只能選擇轉身比眼淚更早。            
(3星)	 显然没原著好看嘛～            
(5星)	 超爱这部电视剧···            
(3星)	 冲着两个帅哥看的，开始的节奏还可以接受            
(NA)	 双龙啊双龙~            
(3星)	 有空看看            
(3星)	 看到后面看不下去了，前面剧情都忘了~喜欢绾绾。            
(4星)	 片子其实很烂，黄大师的粉很生气的            
(5星)	 TVB小生林峰            
(NA)	 寇仲打动我心~            
(4星)	 其实这是我看林峰的第一部电视剧啊但是已经没有什么印象好吧 还有绾绾啊            
(NA)	 爱秀宁的高雅大方            
(5星)	 这部剧中的女角都很好~            
(4星)	 这部把李秀宁这个书中花瓶塑造得有血有肉，智慧与美貌兼并，又不失坚毅的女子，我很欣赏……虽然这是cut掉另外的女主角的说……宋玉致很书中形象很不符，不过很可爱            
(5星)	 这个，林峰。。。。            
(NA)	 喜欢吴卓曦            
(NA)	 仲致啊！            
(2星)	 14-a            
(5星)	 林峰            
(4星)	 虽然女主角&amp;配角长得都不咋地，嘿嘿，不过不影看，这部剧还是挺有看头的，恩，其实一直觉得扮石之轩的那个男的挺帅的，吼吼            
(4星)	 宋玉致 so fresh            
(5星)	 喜欢            
(3星)	 那时候林峰好丑，唯一好看点的就是杨怡             
(4星)	 妖女请打败圣女！            
(2星)	 跟书没法比啊！            
(4星)	 好帅...其实很喜欢绾绾,为什么他们不能在一起...和妃暄一起...还有秀宁也好可惜,柴绍...不知怎么说他...            
(5星)	 还不错 当然原著更精彩            
(3星)	 致致还是让我流泪了            
(4星)	 演员选得不错，可惜无法拍出原著过于庞大的剧情，不想苛责            
(5星)	 李倩            
(NA)	 、重情重义、雄心壮志、不甘平凡            
(4星)	 连续剧就是太长了。。。            
(5星)	 最爱寇仲            
(4星)	 巨制。。绝对是巨制。。。有关林峰在里面的扮相，好友有过精辟论断：“乍一看我还以为是新版西游记”。。。我想，不止我一个人希望看到最终的结局是寇仲和玉致在一起吧            
(5星)	 推荐。很赞，喜欢上林峰的剧，还有绾绾~            
(2星)	 無聊。唐寧和胡定欣都很漂亮。            
(2星)	 一般            
(5星)	 好q的一部戏，哈哈。结尾很感人。            
