http://movie.douban.com/subject/4903593/	万凰之王 萬凰之王
(2星)	 情节拖沓至死。。。更加是不知道是什么狗血剧情。。。从没看过那么难看的台庆剧。。那么难看的后宫斗争剧。。。            
(2星)	 当陈锦鸿遇到宣萱，他总成为一个弱者！            
(5星)	 等你发现什么都会改变的时候，夕阳已西下。            
(2星)	 当观众是草泥马啊。。。            
(2星)	 不知所谓            
(2星)	 狗血喷头，不过到后面5集还是可以跳跳看看的，开始有点意思~然后。。就结束了。。            
(2星)	 胡杏儿的演技在这里明显盖过宣萱。结局太胡烂            
(NA)	 糾結的銀~            
(2星)	 终于看完了，为了宣萱真是不忍心打一星。只能说，从未见过如此犀利的女主妆容啊……            
(2星)	 TVB的烂尾工程            
(2星)	 哎！TVB你要是实在人才荒了就赶紧过来高薪聘请我嘛！            
(3星)	 TVB今年真是力捧杏兒，角色都很討喜。明年該輪到小定了吧。一直覺得杏兒的聲音很有特點。陳山聰不錯哦。            
(3星)	 虽然雷点很多，但是感觉还可以啊            
(2星)	 宣萱的 浓妆 囧杏的 囧脸  也能算台庆么            
(3星)	 宫斗戏到何时才能超越金枝欲孽            
(NA)	 烂片            
(3星)	 萱萱同学实在不适合这种调调。。事实再一次证明金枝欲孽是不可超越滴            
(2星)	 看了5集,过!            
(2星)	 差得不能忍，竟然还高收视！！！！崩溃了，其中有一星给00的，个人爱好            
(3星)	 整体评分好低啊~其实无聊的时候可以拿来看的~话说为什么pps和ppliv上都木有甄嬛？？？            
(4星)	 全因杏儿凭它坐拥视后而看。实话说从演员来看此剧的确没吸引人之处，杏儿表现的确不错，演技飞跃但厮认为与杨怡的姚金铃相比尚有差距，若不是今年佘、邓、杨几大花旦戏份少且角色不突出，我深信杏儿仍无机会夺冠。不过《万》剧到最终令我见识了另一种风味的后宫之争斗，真正的万凰之王是这样炼成的！            
(NA)	 虽然是在很难看，还是忍到了最后，不过貌似无情却有情，貌似有情却无情，大概唯一的进步意义吧            
(NA)	 此剧为我和ahern消磨了很多无聊的饭间时光，特别是吃馄饨的时候。胡定欣完全没有认出来就是法3上的周大状，古妆扮相怎么这么不打扮她……全妃一开始总觉得和后宫斗争气氛格格不入，后几集却又异常凶猛……最讨厌看到有人吸毒堕落~~~曾经演慕容复的人为什么开始演小太监了？            
(3星)	 奴才…            
(NA)	 残了            
(2星)	 胡闹            
(2星)	 视后的演技好夸张            
(3星)	 亮点在最后两集。            
(3星)	 宫斗啊斗啊斗啊啊啊。每天听到那个音乐我就一紧= =+            
(1星)	 差点以为是于妈出品...            
(2星)	 狗血的台庆剧。。。完全看不下去了。。            
(2星)	 用看韩剧的速度看它。。。第一集前十分钟最后一集后十分钟            
(3星)	 挑了几集看，胡杏儿凭这部戏拿视后有点牵强哦，我还是最喜欢她在冲销云霄的时候。            
(4星)	 看宣萱和陈锦鸿一起总有一种在看老婆大人的赶脚- -            
(3星)	 越看越没劲！            
(3星)	 这个……真的是没事情做才追得。            
(1星)	 我的天！编剧是弱智啊！雷点如漫天繁星不断挑战我的极限让我防不胜防！居然还是巡礼片，tvb你是多想让世界看到你的没落啊！真是应了一句话：没有最烂，只有更烂！            
(4星)	 萱萱黑化值得这个分数！~大家说垃圾，我就觉得合了我那时的心意！~皇帝是废物，但是，有问题找编剧。至少，我去了解了全妃的生平历史。反而是吐槽的评论，最垃圾！1、一吐是吐，九十次吐还能吐！~佩服！2、连跳着看的都成了最有发言权的人了，更佩服！~            
(2星)	 妆真浓啊，这年头的电视剧还有这样唇红齿白滴扮相……看不下去啊！！想自己造故事就架空嘛，折腾神马道光皇帝啊，让勉强还记得一点历史滴情何以堪啊！！            
(4星)	 若宠爱 便相爱            
(NA)	 @wing_穎穎穎穎穎穎 我睇完啦~~观后感：真系唔可以得罪女人！！！！！！            
(2星)	 虽然够烂的还是看完了，最后一集伊兰转变太突兀了，虽然我觉得她也应该像太后的方向发展，但是突然之间杀太后和静贵人还是不够说服力            
(3星)	 两集后我直接pass了这个电视剧，不推荐            
(3星)	 很无奈，直接看的结局！            
(3星)	 萱萱在里面总是一副苦大仇深的样子            
(3星)	 冲着萱萱去的...但整部剧╮(╯▽╰)╭            
(4星)	 看到大结局，觉得还挺好看的。。。            
(NA)	 堪称TVB最难看宫廷剧            
(1星)	 一天就能看完， 太SB了，妆也很粗糙，情节都很白，也就皇太后演的还行            
(2星)	 绵亿是个好男人             
(2星)	 失望透顶            
(4星)	 我觉得其实还不错！看得也算纠结，看完没那么讨厌胡杏儿了诶，TVB就是比台剧好！            
(3星)	 我欠抽了。。。。我为什么要看呢。。。。萱萱那个浓妆跟日本艺妓一样。。。。            
(2星)	 毫无意义的片子~            
(4星)	 看似无情却有情，看似有情却无情，人心。。。寒            
(4星)	 萱萱演的真是不错，挺好看的 怎么分不高            
(3星)	None
(3星)	 不喜欢最后的结局，一个的本性改变起来哪有那么容易？编剧不知道是哪根筋搭错了，让本性坏的人最后都变好，本性好的人最后基本都变坏，不合常理……            
(3星)	 名侦探伊兰+1...            
(3星)	 一般般 也就打发时间。            
(2星)	  完全是消磨时间之作，之前看了是台庆剧，有事胡杏儿夺视后的作品还抱有期望，结果发现还是老一套啊老一套            
(4星)	 昨日恩情随风逝,为何当初苦追寻?琼楼玉宇万凰栖,只恨半点不由人？            
(3星)	 开始还行 后面就是为了说明这是后宫的死循环  进去了 就无法走出  没有什么新意  也有点牵强  按道理  萱萱是不会   当了那么久好人 付出了那么多  帮皇帝重新得到皇位   相处那么久  应该就了解皇帝脾气   怎么会功亏一篑  那么聪明的人   最后蠢到  静贵人扯了自己衣服角都不知道  怎么可能   衣服明            
(4星)	 宫斗不够机关算尽，但是不圆满的结局倒是打破了千篇一律的僵局。            
(4星)	 比之内地同类好之甚多，可观            
(3星)	 结局很失望....有点没劲~~ 看似无情却有情！            
(3星)	 目前为止看过的唯一一部宫廷剧，顺一下潮流            
(3星)	 永远比不上《金枝欲孽》所带来的见识。            
(3星)	 三分都给萱萱。            
(3星)	 宣萱终究是老了……            
(3星)	 连续剧这种东西就是碰不得，一追就得看完 -_||| 虽然是部烂片，但TVB还是能hold住，粗枝乱造也算跌宕起伏吧。            
(4星)	 今晚终于睇完万凰之王了。只想起在清朝漫长的历史中，只有28人当上皇后。嗯嗯~~[挖鼻屎]            
(1星)	 狗血啊。            
(NA)	 做好事存好心的伊兰经过后宫斗争的洗礼变成心狠手辣的恶毒皇后，多么难得的一个不脸谱化的结局。皇帝也是少有是在真心付出的角色，以前的选秀女的色鬼，装傻的腹黑甚至寻死觅活的少年天子都不如他。漏洞太多违背历史太多和宫什么的也并无二致了，但是也就图个快节奏以及tvb沉淀多年的道具配乐服装造型            
(3星)	 丑女人+傻皇帝 成为了万凰之王最终还不是孤独终老?            
(3星)	 演员远远好过剧情...真的是年末大戏么= =            
(2星)	 可怜之人必有可恨之处，编剧NC死了。每个角色都莫名其妙的不讨喜。            
(2星)	 不好看，剧情没什么意思，也不紧凑            
(3星)	 还好吧~~皇后的位子不是那么好做的啊            
(5星)	 前面确实烂，25集之后很精彩，尤其最后2集。            
(3星)	 结局拖沓，胡杏儿还可以            
(2星)	 人在后宫，身不由己。            
(2星)	 名侦探伊兰最后黑化了呢            
(3星)	 胡杏儿古装实在太丑了。宣萱也不年轻了。陈锦鸿有gay样无gay范，弟弟有点傻大个。最二逼的还是小饭丝。            
(2星)	 难看            
(3星)	 我发现我很喜欢古装片里面的皇帝的妃子和王爷最后会在一起。。。。这是怎么回事~l例如紫禁惊雷里面的福全和曼筠，万凰之王里面的阮宛和绵祈，还有那些孝庄和多尔衮，诸如此类。。喜欢王爷会多过于皇帝哈~阮宛和棉忻的戏份随着他们的殉情，阮宛的一句，我要我们永远在一起，终于结束了，对于他们的深情            
(3星)	 真简陋啊……            
(NA)	 胡杏儿是个谐星            
(3星)	 这斗争也太不激烈了....            
(2星)	 台庆剧居然搞了这么傻逼的一个结局是准备干咩？            
(2星)	 最终挤眉弄眼的整出一视后....期待金枝2,跪求原班上阵            
(2星)	 仓促粗糙的宫斗剧，片尾曲的那段MV简直粗糙的让人不能理解。            
(2星)	 只为看小定            
(2星)	 人性真的很奇怪，但无论多坏，都是为了保护自己~~            
(3星)	 居然看完了，宣萱气场还是很强大的，虽然剧情很狗血。。。            
(3星)	 结局很狗血            
(3星)	 TVB 打发时间            
(1星)	 话说我看了两集就看不下去了。            
(3星)	 比金枝欲孽难看很多，的确比宫心计好点。。。            
(2星)	 抛开TVB一贯的假景不说，尼玛看着皇后皇妃带着一脑袋粗糙低劣的塑料花我还真hold不住了，尼玛这造型师和化妆师是不是都来自乡土民间歌舞团的，就算是青楼的女子嘴唇也不至于抹的像是吃了死孩子似的吧，尼玛再就是最后萱萱坐着氢气球飞走了，飞走了，是不是打算续集要拍成环球八十天啊！            
(2星)	None
(3星)	 皇帝的演技真让人不敢恭维，我是冲着师姐马赛看这部剧的，她今年获得TVB飞跃进步女演员，加油。            
(2星)	 粗制滥造            
(NA)	 快看完了，到最后一集依兰的霸气和无情才展现出来。原来是慈禧啊。            
(3星)	 三颗星全部给可爱的胡杏儿。演技大涨，前途光明啊杏儿。            
(3星)	 其实最后又有谁赢了呢，可悲啊            
(3星)	None
(2星)	 看到不知哪个豆友起的别名《名侦探伊兰》，笑喷            
(3星)	 冲着胡杏儿荣获本届TVB最佳女主角的份上，看了这部戏。话说清宫戏就一定要大浓妆么？女主勾心斗角、男主谋朝篡位从来是一成不变的戏码。至于滑胎、失心疯基本上是后宫的通病。TVB的编剧看来是江郎才尽了。不如剧名改叫《名侦探依兰》还比较有新意。            
(2星)	 居然靠这玩意拿了最佳女猪脚，我打击。            
(3星)	 这皇上没用            
(3星)	 陪着老妈一起看了几集            
(3星)	 喜欢胡杏儿、陈山聪和马赛的表演，还有觉得卫公公挺可怜的。宣萱和陈锦鸿好老哦。没金枝欲孽好看，期待明年的金枝欲孽2。            
(3星)	 TVB的古装剧真的是一点都不敢恭维，但是杏儿的表现真的很出彩            
(2星)	 剧集烂，倒是对胡杏儿有再认识~            
(2星)	 下饭剧            
(3星)	 名侦探-依兰            
(3星)	 人物太少了！            
(4星)	 其实也么有那么差拉~除了那个浓艳的妆。。。皇上真TMD无能            
(2星)	 弱爆了的宫斗  不过后面反传统了一下下值得鼓励            
(2星)	 老套的故事情节            
(3星)	 没看完，不想看了             
(1星)	 真的不咋样。            
(2星)	 导演是很不错的丫，估计是编剧搞砸了            
(3星)	None
(3星)	 三星半吧~            
(3星)	 结局彻底瞎了             
(3星)	 都老了里面的女人。            
(3星)	 少了黎姿的宫廷剧总觉得少点味道，宣萱依然很漂亮。话说这是堕落少女成长记么。断断续续我总算是看完了。            
(4星)	 看似无情却有情，注定失败~            
(3星)	 看到最后居然比较喜欢沅宛，这部宣萱从头到尾都营造了距离感，让人疼惜不起来。            
(4星)	 越往后越好看            
(4星)	 宣萱当上皇贵妃之后的造型都好不能忍啊。。            
(4星)	 4到5星之间，豆瓣分打得好低。其实还不错，越到后面越好看            
(3星)	 想超越金枝欲孽真的很难            
(3星)	 看结局的时候还是忍不住有些唏嘘。或许真的得到了一些后就必须放弃爱，那是不是回想起来仍然宁愿保有那份单纯而天真的情怀？            
(3星)	 幸好是陈锦鸿演的皇上，都不喜欢            
(3星)	 很一般的一出戏。。可是里面的瑞亲王真得hold住我了            
(3星)	 虽然主演不太喜欢，不过TVB的张力还是吸引人~~这结局太无语            
(4星)	 比宫心计好看 哪存在三好一样的奇女子 胡杏儿确实是视后            
(NA)	 烂  TVB今年的奖应该颁给胡定欣好吧 角色演得让人这么恨之入骨            
(3星)	 刚开始看就不是很喜欢，因为没有别的TVB戏可以看了，着实不喜欢陈锦鸿演的皇帝，更重要我就不喜欢陈锦鸿这人，胡杏儿演的还可以，宣萱那大浓妆吓死人了，结果两人都是不翻转，胡杏儿好了，宣萱超级腹黑了，不过话说回来瑞亲王真是情种一个。。。。不过瑞亲王和皇后一起死也挺好，不然更烦。。。            
(3星)	 欲望。            
(3星)	 看着勾心斗角的剧情觉得好烦，不过胡杏儿在里面的爆发力确定很强，怪不得拿奖了呀            
(4星)	 为什么坏女人就要弄浓妆呢？            
(3星)	None
(2星)	 真的哦，老实说胡杏儿已经够ugly了，为毛看到宣萱瞬间就觉得胡杏儿美若天仙⋯⋯老女人还是太平点演演过气宫女好么            
(NA)	 剧情的大部分都扣人心弦，但是结局太过匆匆。一开始对依兰的每一步棋都佩服和欣喜，但是最后一集之后，对人物的情感归零，进而平静。            
(3星)	 一部最好的戏，在于能让人浅尝不止忘乎所以，很抱歉现实是曾经一度数字因事废止直接失忆无从记起。看豆瓣有人写又名《名侦探伊兰》，直接笑喷。最后两集占了两颗星，从皇太后一句“你最像我”，到伊兰的选择归属，才最现主旨和笔力。PS，TVB擅长刑侦，但也不用让后宫剧看上去也“真相只有一个”吧？            
(3星)	 剧情太扯，这就是个给演员飚演技、磨练演技的机会，仅此而已。            
(3星)	 珠宝首饰服装妆容打发时间            
(3星)	 说实话剧情还不错，  只是实在受不了tvb的小成本。。。。那假景我实在是很想喷血。。。。  其实tvb演员演技都还不错，只是独爱萱萱  撑起了这部戏的一半啊！            
(3星)	 快进看完的。要不是有我家小定、OO和X2~~            
(3星)	 胡杏儿真的贱的人家很喜欢啊&gt;&lt;而且她妈是一个非常屌的女人。            
(2星)	 个就是个别人说一句信一句饿没种皇帝。两人饿大浓眼真是没什么好看。            
(2星)	 宣萱真是太老了好么。和胡杏儿两个胖成一对儿了，一个双下巴一个大肿脸。妆浓的我简直是不忍心看。吸鸦片那段终于让我彻底地觉得胡定欣丑成一逼了。马赛死，到胡杏儿死，到胡定欣死，到最后宣萱坐上热气球，简直狗血死了好么。这样的剧怎么好跟金枝欲孽甚至是宫心计比呢。            
(2星)	 笑死了~   居然又名：名侦探依兰！！！  宣萱这妆真是丑的人心惊胆战╮(╯▽╰)╭            
(NA)	 名侦探伊兰。            
(2星)	 几度吐血。。全是傻逼。。            
(2星)	 讨厌皇帝，喜欢皇帝的弟弟，讨厌伊兰，喜欢沅宛。如果一个女人的聪明智慧用在工于心计，比一个单纯无知的人更为可怕。            
(3星)	 名侦探伊兰，怎么想出来的~~~哈哈哈哈~人才~~~~            
(3星)	 胡杏儿美丽了。但是论演技绝对是宣萱厉害。结局各种雷。            
(3星)	 万凰之王看完了。最后几集斗得相对精彩些。宣萱的妆容不敢恭维。嘴巴大，唇膏没涂满，感觉像日本艺伎。皇上不像皇上，无勇无谋思路混乱。没得到依兰的时候不顾一切，得到了就相信小人而对她失去信任。男人不可信。而依兰感觉还是登上皇后之位后才是真正的她。            
(4星)	 号称是金枝欲孽第二部。感觉里面斗争戏份比金枝多而强大。看的很气。但是较内涵来说还是金枝更胜一筹，万凤斗的比较露骨。。            
(3星)	  后面太鸡肋了。编剧都去吃屎了吧            
(1星)	 万凰编剧当观众是白痴？就像一个小学生在编故事。真是...不堪入目。            
(2星)	 有见过皇后在皇上面前称自己是奴才的嘛？            
(2星)	 主角差，剧情乱，无语            
(2星)	 剧情实在是＝＝那个皇帝让我想打他            
(2星)	 难看。            
(2星)	 [电影] 万凰之王 / 万凰之王 / 名侦探伊兰 ←这是毛啊！！还真贴切……            
(3星)	 “名侦探伊兰”……OMG            
(3星)	 这个别名我笑了~~【名侦探伊兰】...噗哈哈哈~~~这也是我想给你起的别名。从一开始，你就不停地破案啊破案...情节该缓的就火急火燎，该快的就绵延不绝...看得很心焦啊兄弟！近几年真是简朴。            
(2星)	 我居然看完了。。。。            
(2星)	 编得乱七八糟            
(2星)	 粗制滥造，不知所云。但我还是一天天跟着看下来了。            
(2星)	 不愧是名偵探伊蘭！抱著真相永遠只有一個的信念查案到底。到最後，也只有伊蘭可以乘著熱氣球升天，其他人都黑白了。這年頭快進看個劇也不容易啊= =那個濃妝豔抹的妝束就不提了，那個嬌柔做作的臺詞也不提了。這種劇，也只有師奶們爭著看了吧，難怪收視這麼好。            
(2星)	 名侦探伊兰            
(3星)	 TVB脑残粉看什么都好看 听到粤语整个人都飞了            
(2星)	 一颗星给 胡杏儿 一颗星给 陈山聪            
(3星)	 好久没看到宣萱姐新剧，下午突然看到这部，竟然还是清宫戏，兴奋！TVB剧水平又回到了乾隆大帝那个时候！唉！为了宣萱姐还是忍吧            
(NA)	 ==果断喜欢男二            
(NA)	 絶逼是名侦探伊兰啊！            
(2星)	 消磨时间，边骂边看            
(2星)	 31集的古装宫廷剧终于看完了，到10+集的时候才稍微入戏，不过又被荒谬的剧情雷个外焦里嫩的，真是经不起推敲啊，腹黑就腹黑吧，非得要弄一些恶俗的烂桥段，哎，只有到最后30集时候，穆章阿和皇太后的一些台词算是此剧的经典了，皇帝优柔寡断，软弱无能、沅婉看似无情却有情、依兰看似有情却无情。            
(3星)	 以前的皇帝真是精力旺盛啊，管理朝政已经日理万机了，还要卷入后宫无休止的斗争中，残辜啊            
(3星)	 名侦探依兰？囧            
(4星)	 结局实在是料想不到啊~            
(2星)	 狗血~            
(4星)	 怎么难道还有个名字叫“名侦探伊兰”么？！！！要不要这么搞笑啊！！！哈哈哈哈哈哈哈            
(3星)	 不是一贯的TVB剧情~另觅蹊径却有点奇怪~说不出的感觉~PS 这个又名真是笑死我了~哈哈哈哈~            
(3星)	 画蛇添足             
(3星)	 中间跳着看的····皇帝实在是没有气场····偶喜欢萱萱~~不喜欢胡杏儿啊~PS：剧情太多吐槽点，坑爸爸的地方太多~            
(2星)	 看完跟没看一样            
(2星)	 看到最后莫名其妙.....            
(2星)	 实在是看不下去啊～弃之...            
(2星)	 可怜的萱萱成了胡杏儿拿视后的垫脚石。            
(3星)	 陈锦良、胡杏儿、萱萱没一个喜欢的，看得很头疼。            
(3星)	None
(3星)	 以退为进，扮猪吃虎，乃为生存之道            
(1星)	 惡心 唯一一星給宣萱            
(NA)	 又名“名侦探伊兰”，笑坏我了。。。。。。。。。。。            
(3星)	 名侦探伊兰。。。。- - 其实全皇后是人才啊...蠢皇帝干嘛呢            
(1星)	 看不下去了吐死我了...这就是个古装清宫脑残没文化硬装逼伪探案狗血漫天偶像剧嘛～！到底是怎么拿奖的！！想知道每10分钟可以吐槽8000字的剧是什么样的吗亲？《名侦探伊兰》等你哟～            
(2星)	 萱萱太难看了！！！            
(1星)	 我又闲死了。。。            
(2星)	 好吧 一边吐一边看完了            
(2星)	 两颗星给女演员吧……            
(NA)	 又名：名侦探伊兰 这名字也太好笑了吧= =以前不觉得，看第一集觉得宣萱还真的挺美的。还有就是各位真的可以不要再吐槽胡杏儿的嘴巴了，看那么多年应该可以习惯了，演技还是可以的。            
(4星)	 为了绵忻。            
(1星)	 颜色艳的，晃瞎我的眼睛。至于剧情，很tvb吧。没啥意思            
(3星)	 O(∩_∩)O哈哈哈~名侦探依兰。。。豆油们太油菜了吧。。。。            
(2星)	 我滴天，这个皇帝太极品            
(2星)	 太浅显太烂俗            
(3星)	None
(3星)	 又名: 名侦探伊兰。。。.            
(3星)	 看完了，不很好也不那么差劲。一步步，最后变成万劫不复。看似赢了，谁知道呢。宣萱妆容不说啥了            
(3星)	 冲着视后去看的。老实承认就看了前四集和最后一集。宣萱更主角一点吧！为嘛在我看到的所有剧集中，只要有宣萱和陈锦鸿的地方，陈锦鸿都是对她又畏惧又深爱的。。。            
(5星)	 名侦探伊兰            
(3星)	 这个戏真的说不上是台庆剧。。。为了萱萱才多加一星            
(2星)	 此剧非常适合吐槽！！萱萱的扮相丑爆了！！又一只美人迟暮！！            
(5星)	 瑞亲王            
(3星)	 中规中矩的TVB剧            
(3星)	 弟弟都爱嫂子...皇帝不光戴绿帽子还要穿旧鞋            
(3星)	 挺无聊的            
(NA)	 最后伊兰变很坏啊，看了好震惊            
(4星)	 把后宫的尔虞我诈描述的很好，一开始不喜欢皇后，很喜欢全皇贵妃，但是最后她变的很可怕，反而皇后是个很心软的人            
(2星)	None
(3星)	 特么的名侦探伊兰……            
(4星)	 前段慢热，好在后劲十足。胡杏儿不错啊！            
(4星)	None
(2星)	 哪位豆友给起的名侦探伊兰 和~    这个编剧一定是吃unko长大的            
(3星)	 看到最后的结果是这几部剧的剧情整个全混掉。。。= =            
(3星)	 哈哈哈~又名非常确切！不过真心不喜欢胡杏儿，演技相当浮夸，真不知道视后是怎么评来的            
(2星)	 名侦探伊兰            
(4星)	 后宫斗争，勉强还行，比金枝欲孽差一些~~            
(NA)	 演员有点老了。            
(3星)	 哈哈哈哈又名: 名侦探伊兰            
(1星)	 哈哈 名侦探依兰            
(3星)	 全剧精华在最后一集            
(3星)	 最后两集使它可以加多一颗星。宣萱最后一句话可以再加一颗星。于是就变成了三星……            
(3星)	 早已不见金枝欲孽的辉煌！            
(3星)	 最后宣萱变得太恶劣了，有点接受不了，胡杏儿说到底还是不能彻底变坏            
(NA)	 暗恋再深，得到了也不在乎了，在我眼里就是一个男人把一个温婉且世俗不争的女人改变了的故事            
(3星)	 总体还行，但是还是觉得剧情不太行。宣萱确实老了呢。最后演坏的时候，感觉这个心理变化太快了。。。不过为什么豆瓣这部剧的名字叫名侦探伊兰，笑死我了。            
(2星)	 宣萱那个妆让我无语凝噎            
(3星)	 看见豆瓣在写电视剧名称的时候加了一个括号，叫名侦探伊兰。我就笑了。胡杏儿用这个拿了视后。看来TVB真是自娱自乐啊。明明宣萱是第一女猪脚。但是，整个剧情还算不错吧，人性终究就是那么慢慢蜕变的。选角不好，非常不好。好演员都不在吧。简单说，就是稍显失望            
(3星)	 这个是结局？最近TVB都好仓促。。            
(NA)	 宣萱和圆碗交换角色得那么突然，哈哈哈哈哈哈哈，谁起的又名啊？名侦探伊兰            
(3星)	 有点看腻了清宫戏，尤其是后宫争斗戏            
(3星)	 烂的有点没有看下去的动力~宫斗剧~一部金枝欲孽就够了~谢谢~            
(2星)	 又名名侦探伊兰！o(*≧▽≦)ツ┏━┓[拍桌狂笑!] 槽点无限啊！猪杏儿和三白眼萱萱倾力献丑的癜风之作！            
(3星)	 名侦探依兰我操- -            
(2星)	 一星给宣萱，一星给伊兰的结局。            
(3星)	 萱萱的亮点来的太晚了···            
(4星)	 喜欢这个结局，最讨厌胡定欣的角色和皇上！            
(3星)	 结局太仓促了,伊兰变得也太没道理了. 看了这个以后发现胡杏儿演技蛮好,盖住了宣萱的风头,最后一集才觉得宣萱有气势.            
(2星)	 哎            
(NA)	 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈~名侦探依兰~！~！~~~！            
(2星)	 我大概有强迫症，所以强迫自己看完了。跟金枝欲孽根本没有可比性。算是今年看过的TVB剧集里较差的一部了            
(4星)	 前段很无趣局限在后宫就是很无趣……20集以后觉得还不错蛮吸引人，喜欢伊兰~~至少感觉比法3好看            
(5星)	 为何评分如此低  我觉得很好看啊            
(3星)	 名侦探伊兰。。。            
(1星)	 烂成这样也不容易。。。            
(NA)	 沅苑和绵忻太让人难过了            
(4星)	 有人看了两集就打低分我只能说这样不负责任 有人嫌陈锦鸿没皇帝气质 殊不知他本就是演一个窝囊废皇帝 有人觉得饰品和背景太小气 拜托这是tvb 你第一次看吗 新红楼梦那够精致够大气了吧 你倒是给我打个高分出来 剧情上完全是渐入佳境峰回路转 演员表演也都够诚意 妆更是适合角色需要 没看完就别乱打了            
(3星)	 虽然我真心想给两颗星，但是想想TVB啊，我小时候一度是多么迷恋TVB啊……我觉得我得回去看看《妙手仁心》之类的            
(3星)	 。。。            
(2星)	 tvb的剧越来越难看了            
(4星)	 剧情还是蛮紧凑，吸引人的。尽管离史相差甚远，而且里面有些人的装扮很不喜欢，演员的安排也不合理，但总体来说还不错。            
(3星)	 “昨日恩情随风逝，为何当初苦追寻，琼楼玉宇万凰栖，只恨半点不由人”“往事点滴在心头，无悔当初苦追寻，琼楼玉宇万凰栖，只恨半点不留情”            
(3星)	 “又名: 名侦探伊兰”？太搞笑了吧~            
(1星)	 女主的妆容丑爆了！烂剧情            
(3星)	 话说20集以前都看的我很恼火   但是后面的高潮还是比较有看头的  冲着萱萱去   这是她在TVB的最后一部剧了   唔    萱萱真的老了            
(1星)	 除了胡杏儿演的还说得过去之外，本剧无亮点、剧情从头烂到尾。我能坚持看完纯属毅力和无聊~            
(NA)	 昨天刚好结局看完！！！！！            
(3星)	 妆是真心浓啊  虽然好多次拍了桌子  但还是看完了   是不是有续集的样子啊            
(1星)	 居然看完了！？我只能说，为了练好粤语，我的牺牲好大啊 QAQ            
(4星)	 这部剧里面胡杏儿很漂亮啊，以前不喜欢他的现在都喜欢了，好美啊            
(2星)	 TVB现在差不多就是这样的水准。            
(3星)	 胡杏儿的造型可真像葫芦娃里的蛇妖，宣萱真的是8好看            
(NA)	 只看了几集。你母亲啊啊～～～～～TVB编剧都编不出来了吧。所以你搞她，他搞她。乱来的～～～还你爸搞她妈～～～            
(4星)	 绵忻和沅宛最后死在了一起算是这个片唯一幸福的结局了吧！            
(1星)	 难以置信的是和潜行狙击一个监制！天壤之别啊            
(5星)	 名侦探伊兰……噗哈哈            
(3星)	 TVB无美女了，单说萱萱和胡杏儿演技还行！内心人格居然完全和脸上的妆一致变化，妆浓了就邪恶妆淡了就善良。之前奇怪皇帝塑造的太没魅力，最后看完我懂了，就是要懦弱无作为的皇帝来突出女人们的机智。剧情节奏很快，可以看但别推敲，片不深，流水账一样的剧，看完什么感觉也没留下。期待金枝欲孽2吧~            
(4星)	 反正没一个人是好人            
(2星)	 这一两个月八点半大街小巷的小饭馆都会播放的TVB剧。不得不看一眼。我给两分是给化妆。人家的脸蛋就是精致。虽然，有点艳的扎眼。。。。。            
(4星)	 其实还不错啦，除却那些浓得不行的妆~            
(3星)	 看着宣萱因父亲被害，逐渐变邪恶，而在火场出乎意料的拯救胡杏儿的婴儿，让我不那么看扁这剧。            
(2星)	 就这么个烂剧都能捧得胡杏儿坐上视后宝座，完完全全受不了啊！            
(NA)	 只能说TVB太尼玛黑暗了，宣萱的演技完全比胡杏儿这只母猩猩高万个档次！            
(3星)	 胡杏儿凭这部戏拿视后还是蛮名至实归的。 从头斗到尾，观众我看的好心力憔悴，剩了5集没看，剧透了结局作罢。 肯定比宫心计好看很多。            
(4星)	 最后一集，都是宣萱的戏，胡杏儿老早归西了，原来宣萱才是女一。            
(2星)	 作为一部宫廷剧，它又是一个烂尾。            
(2星)	 前半段扯得要命，后半段其实还有点看头，名侦探依兰太亮了…这女的是摩羯吧= =            
(1星)	 最后伊兰和热气球飞走了。。。。            
(2星)	 萱萱对着胡杏儿说“姐姐”的时候。。。            
(3星)	 中途顶福禄寿当台庆剧《万凰之王》也结束了，深宫戏还是TVB拍得入心。如果你看的是非TV版会发现剧本很多细腻的部分承上启下，每一次的争端都是事有其因可媲美当年金枝欲孽的波折度。只可惜TV版为了在台庆前播完，剪得支离破碎靠回忆来讲争端的主线，剧情变弱，最后草率结束没能引起热评再掀收视狂潮。            
(NA)	 结局收尾太粗糙            
(1星)	 因为狗血所以狗血。            
(2星)	 难道说地位越高，妆就越浓？？跟以前的宫斗戏根本没法比啊，所有谎言都当场揭穿了，皇上是250，妃子们也是250，一堆250啊~            
(NA)	 嗯？又名名侦探伊兰笑死我了...&gt;_&lt;            
(4星)	 一直追的剧，总感觉结尾收的太快了            
(2星)	 编剧就沉浸在自己的世界里乱扯吧就！            
(2星)	 名侦探依兰这个评论太经典了            
(3星)	 ＜名侦探伊兰＞这个翻译名实在太tm嗖了。不过，我就是喜欢TVB的古装戏呀。虽然，这部剧的演员换套衣服就能去酒吧了。但是古装就是百看不厌呀。            
(1星)	 烂剧。豆瓣“又名”“名侦探伊兰”恶搞得很到位            
(NA)	 已经到了我是传奇的地步            
(3星)	 我去啊！！！！ 又名 名侦探依兰！！！！！！！！！            
